アゴラのメジナは、悩んでいるようだ。			アゴラのメジナは、悩んでいるようだ。			世界を繋げ、大繁盛の輪！							
おうよ、オールド・シャーレアンから戻ってきて以来、ゆっくり陸(おか)に上がる間もないくらい、次から次へと荷運びの仕事が舞い込んできやがる。			おうよ、オールド・シャーレアンから戻ってきて以来、ゆっくり陸(おか)に上がる間もないくらい、次から次へと荷運びの仕事が舞い込んできやがる。			世界を繋げ、大繁盛の輪！							
なんだぁ、藪から棒に。装備でもなんでも、高く売れそうなブツなら大歓迎だ。最近は、荷運びの仕事で世界中あちこち飛び回ってるんでな。			なんだぁ、藪から棒に。装備でもなんでも、高く売れそうなブツなら大歓迎だ。最近は、荷運びの仕事で世界中あちこち飛び回ってるんでな。			世界を繋げ、大繁盛の輪！							
やっぱり、イルサバード派遣団に参加したのがデカかったぜ。少し前まで、海賊の世界でテッペンを取ることが、オレのすべてだったんだが……。			やっぱり、イルサバード派遣団に参加したのがデカかったぜ。少し前まで、海賊の世界でテッペンを取ることが、オレのすべてだったんだが……。			世界を繋げ、大繁盛の輪！							
……世界は広かった。各国の腕利きたちを見て、自分の小ささを思い知らされたぜ。			……世界は広かった。各国の腕利きたちを見て、自分の小ささを思い知らされたぜ。			世界を繋げ、大繁盛の輪！							
ただ、ひとつ自信を持てたこともある。エクスアダマントの輸送で、大量の物資を確実に届ける、自分たちの航海技術が、世界に通用することにも気づけたからな。			ただ、ひとつ自信を持てたこともある。エクスアダマントの輸送で、大量の物資を確実に届ける、自分たちの航海技術が、世界に通用することにも気づけたからな。			世界を繋げ、大繁盛の輪！							
それもあって、コボルド族と共同開発した金属製品の輸出に、断罪党も海運の面で協力することにしたんだよ。			それもあって、コボルド族と共同開発した金属製品の輸出に、断罪党も海運の面で協力することにしたんだよ。			世界を繋げ、大繁盛の輪！							
それもあって、サハギン族の特産品や、コボルド族と共同開発した金属製品の輸出に、断罪党も海運の面で協力することにしたんだよ。			それもあって、サハギン族の特産品や、コボルド族と共同開発した金属製品の輸出に、断罪党も海運の面で協力することにしたんだよ。			世界を繋げ、大繁盛の輪！							
で、お前はオレたちに何を売り込もうってんだ？			で、お前はオレたちに何を売り込もうってんだ？			世界を繋げ、大繁盛の輪！							
ほほーう、タタルの大繁盛商店が扱う装備を試せるってか。お前が持ってきたくらいだ、さぞ上等な品なんだろうな。			ほほーう、タタルの大繁盛商店が扱う装備を試せるってか。お前が持ってきたくらいだ、さぞ上等な品なんだろうな。			世界を繋げ、大繁盛の輪！							
となると、オレたち自身じゃ持て余すかもしれねぇ。よそに売り込むって線も、やっぱり考えるべきだろうな……。			となると、オレたち自身じゃ持て余すかもしれねぇ。よそに売り込むって線も、やっぱり考えるべきだろうな……。			世界を繋げ、大繁盛の輪！							
店がシャーレアン島にあるなら、どこの誰に卸すにせよ、船の出番はあるはずだ。そのとき、うちを使ってもらえりゃ……			店がシャーレアン島にあるなら、どこの誰に卸すにせよ、船の出番はあるはずだ。そのとき、うちを使ってもらえりゃ……			世界を繋げ、大繁盛の輪！							
よっしゃ！あのボンクラ……いやエマネランに連絡を取って、こういうのに興味を持ってる奴がいないか聞いてみっか！			よっしゃ！あのボンクラ……いやエマネランに連絡を取って、こういうのに興味を持ってる奴がいないか聞いてみっか！			世界を繋げ、大繁盛の輪！							
あいつ、顔だけはやたらと広いからな！派遣団で世話してやった分、うちと大繁盛商店が名を上げるのに、一肌脱いでもらうとするぜ。			あいつ、顔だけはやたらと広いからな！派遣団で世話してやった分、うちと大繁盛商店が名を上げるのに、一肌脱いでもらうとするぜ。			世界を繋げ、大繁盛の輪！							
じゃ、タタルにもよろしく言っといてくれや。お互いに力を合わせて、時代の波に乗ってこうぜってな！			じゃ、タタルにもよろしく言っといてくれや。お互いに力を合わせて、時代の波に乗ってこうぜってな！			世界を繋げ、大繁盛の輪！							
こちら、タタルでっす！試供品は、無事に届けられまっしたか？			こちら、タタルでっす！試供品は、無事に届けられまっしたか？			世界を繋げ、大繁盛の輪！							
おお、喜んでもらえたんでっすね！大繁盛商店としても、断罪党が海運の道に進むなら、是非とも協力関係を築いていきたいでっす！			おお、喜んでもらえたんでっすね！大繁盛商店としても、断罪党が海運の道に進むなら、是非とも協力関係を築いていきたいでっす！			世界を繋げ、大繁盛の輪！							
この調子で、ほかの方々にも、歓迎してもらえるといいでっすね……！			この調子で、ほかの方々にも、歓迎してもらえるといいでっすね……！			世界を繋げ、大繁盛の輪！							
次はア・ルン・センナさんのもとへお願いしまっす。いつも都市にいらっしゃる方ではありまっせんが、カーラインカフェの「ミューヌ」さんなら居場所をご存じかと！			次はア・ルン・センナさんのもとへお願いしまっす。いつも都市にいらっしゃる方ではありまっせんが、カーラインカフェの「ミューヌ」さんなら居場所をご存じかと！			世界を繋げ、大繁盛の輪！							
最近のシカルドは、何かが変わった。旅が成長させてくれたってことか？			最近のシカルドは、何かが変わった。旅が成長させてくれたってことか？			世界を繋げ、大繁盛の輪！							
やぁ、SurnameForename。ようこそカーラインカフェへ。			やぁ、SurnameForename。ようこそカーラインカフェへ。			世界を繋げ、大繁盛の輪！							
そのことなら、僕に声をかけて正解さ。たいていの噂話は、この耳に届くからね。			そのことなら、僕に声をかけて正解さ。たいていの噂話は、この耳に届くからね。			世界を繋げ、大繁盛の輪！							
ア・ルン様は黒衣森に戻ってきてから、精力的に友好部族の集落を訪ねておられるらしい。			ア・ルン様は黒衣森に戻ってきてから、精力的に友好部族の集落を訪ねておられるらしい。			世界を繋げ、大繁盛の輪！							
そして、訪問を終えると決まって森都に立ち寄って、カヌ・エ様に報告するのだとか……。だから「青狢門」の近くで帰りを待つといいよ。			そして、訪問を終えると決まって森都に立ち寄って、カヌ・エ様に報告するのだとか……。だから「青狢門」の近くで帰りを待つといいよ。			世界を繋げ、大繁盛の輪！							
ア・ルン様なら、しばらくすればお戻りになるはず。「青狢門」の近くで帰りを待つといい。			ア・ルン様なら、しばらくすればお戻りになるはず。「青狢門」の近くで帰りを待つといい。			世界を繋げ、大繁盛の輪！							
あれは……。			あれは……。			世界を繋げ、大繁盛の輪！							
Forenameじゃないか。こんなところで何を？			Forenameじゃないか。こんなところで何を？			世界を繋げ、大繁盛の輪！							
へえ、各国の技術の粋を集めた装備……それは興味があるね。			へえ、各国の技術の粋を集めた装備……それは興味があるね。			世界を繋げ、大繁盛の輪！							
実は、諸国との協力関係のあり方について、姉さまたちと話をしてみようと考えてるんだ。			実は、諸国との協力関係のあり方について、姉さまたちと話をしてみようと考えてるんだ。			世界を繋げ、大繁盛の輪！							
……僕は本来、黒衣森を離れることがない存在だ。派遣団のときは、カヌ・エ姉さまに任されたって形で、特別に外へ出た。			……僕は本来、黒衣森を離れることがない存在だ。派遣団のときは、カヌ・エ姉さまに任されたって形で、特別に外へ出た。			世界を繋げ、大繁盛の輪！							
その成果を示すってわけじゃないけど……諸国との協力関係のあり方について、姉さまたちと、話をしてみようと考えてるんだ。			その成果を示すってわけじゃないけど……諸国との協力関係のあり方について、姉さまたちと、話をしてみようと考えてるんだ。			世界を繋げ、大繁盛の輪！							
これまでグリダニアは、森の調和を保つことを何より重要視してきた。ときには、それを乱すものを排斥する形でね。			これまでグリダニアは、森の調和を保つことを何より重要視してきた。ときには、それを乱すものを排斥する形でね。			世界を繋げ、大繁盛の輪！							
でも、世界がひとつに繋がっていることもまた事実だったんだ。そして、異なる場所に生きる者たちが絆を育むことの効果を、イルサバード派遣団での経験を通じて知った……。			でも、世界がひとつに繋がっていることもまた事実だったんだ。そして、異なる場所に生きる者たちが絆を育むことの効果を、イルサバード派遣団での経験を通じて知った……。			世界を繋げ、大繁盛の輪！							
それを、グリダニアの未来に活かしていけたらと思う。この装備も、協力が生み出したものの一例として、姉さまに見せることができそうだよ。			それを、グリダニアの未来に活かしていけたらと思う。この装備も、協力が生み出したものの一例として、姉さまに見せることができそうだよ。			世界を繋げ、大繁盛の輪！							
僕がこんなことを言うなんて、って思ってるんだろ。自分でも意外だよ。前は、精霊の声さえ聞ければよかったんだから。			僕がこんなことを言うなんて、って思ってるんだろ。自分でも意外だよ。前は、精霊の声さえ聞ければよかったんだから。			世界を繋げ、大繁盛の輪！							
人の声を……それも、帝国民っていう異郷の民の声を聞いてみたらさ、あっけないほど、僕は普通の存在だったんだ。			人の声を……それも、帝国民っていう異郷の民の声を聞いてみたらさ、あっけないほど、僕は普通の存在だったんだ。			世界を繋げ、大繁盛の輪！							
この角だって、グリダニアでは特別扱いされてるけど、彼らにとっては、畏怖も畏敬も抱くものじゃない……草原のアウラ族と間違われたくらいだよ。			この角だって、グリダニアでは特別扱いされてるけど、彼らにとっては、畏怖も畏敬も抱くものじゃない……草原のアウラ族と間違われたくらいだよ。			世界を繋げ、大繁盛の輪！							
そう、あそこでは僕もみんなと同じ、ひと繋がりの世界に生きる、人のひとりだった。			そう、あそこでは僕もみんなと同じ、ひと繋がりの世界に生きる、人のひとりだった。			世界を繋げ、大繁盛の輪！							
……それがとても新鮮で、衝撃的だったんだ。前までは思いもしなかったことを、考えてしまうくらいにはね。			……それがとても新鮮で、衝撃的だったんだ。前までは思いもしなかったことを、考えてしまうくらいにはね。			世界を繋げ、大繁盛の輪！							
それじゃ、試供品はありがたく受け取ったよ。気に入ったら、ほかの商品も見せてもらうかもしれないから……そのときは、よろしく。			それじゃ、試供品はありがたく受け取ったよ。気に入ったら、ほかの商品も見せてもらうかもしれないから……そのときは、よろしく。			世界を繋げ、大繁盛の輪！							
こちら、タタルでっす！ア・ルンさんの方はいかがでっしたか？			こちら、タタルでっす！ア・ルンさんの方はいかがでっしたか？			世界を繋げ、大繁盛の輪！							
……フフ、ア・ルンさんのこと、少しだけ詳しくなれた気がしますね。取引の芽もありそうですし、目的達成でっす！			……フフ、ア・ルンさんのこと、少しだけ詳しくなれた気がしますね。取引の芽もありそうですし、目的達成でっす！			世界を繋げ、大繁盛の輪！							
残るピピンさんには、ゴールドコートにいる、「コロセウム財団の事務員」さんが取り次いでくださるかと！それが終わったら、また大繁盛商店でお会いしましょう！			残るピピンさんには、ゴールドコートにいる、「コロセウム財団の事務員」さんが取り次いでくださるかと！それが終わったら、また大繁盛商店でお会いしましょう！			世界を繋げ、大繁盛の輪！							
これは、Forename Surname様。ピピン様でしたら、コロセウム内で打ち合わせ中でございます。今、貴方様のことをお伝えしてきましょう。			これは、Forename Surname様。ピピン様でしたら、コロセウム内で打ち合わせ中でございます。今、貴方様のことをお伝えしてきましょう。			世界を繋げ、大繁盛の輪！							
待たせたね。まさか君が訪ねに来てくれるとは、どんな要件かな？			待たせたね。まさか君が訪ねに来てくれるとは、どんな要件かな？			世界を繋げ、大繁盛の輪！							
なるほど、タタルの店と取引ができないかということだな。			なるほど、タタルの店と取引ができないかということだな。			世界を繋げ、大繁盛の輪！							
それは良い話を持ってきてくれた。ちょうど、私なりに考えていたことがあってな。			それは良い話を持ってきてくれた。ちょうど、私なりに考えていたことがあってな。			世界を繋げ、大繁盛の輪！							
これまで私は、己の剣技を磨くことに集中してきた。しかし、あのイルサバード派遣団に参加したときには、呪剣ティソーナに……剣そのものに助けられたのだ。			これまで私は、己の剣技を磨くことに集中してきた。しかし、あのイルサバード派遣団に参加したときには、呪剣ティソーナに……剣そのものに助けられたのだ。			世界を繋げ、大繁盛の輪！							
これに宿りし炎の魔力は、凍てつく大地で活路を拓いた。また、困難な戦いの局面を覆し、希望という熱を与えてくれた。			これに宿りし炎の魔力は、凍てつく大地で活路を拓いた。また、困難な戦いの局面を覆し、希望という熱を与えてくれた。			世界を繋げ、大繁盛の輪！							
何より、柄(つか)を握るたびに感じた想い……呪剣の一方を託してくれた義父の想いに応えたいという心が、幾度となく私を奮い立たせたのだ。			何より、柄(つか)を握るたびに感じた想い……呪剣の一方を託してくれた義父の想いに応えたいという心が、幾度となく私を奮い立たせたのだ。			世界を繋げ、大繁盛の輪！							
だからこの機に、部下たちの装備を見直そうと考えていてな。彼らにも、自分たちが護るべき人や覚悟を思い出させる、特別な装備が必要なのではないだろうか？			だからこの機に、部下たちの装備を見直そうと考えていてな。彼らにも、自分たちが護るべき人や覚悟を思い出させる、特別な装備が必要なのではないだろうか？			世界を繋げ、大繁盛の輪！							
大繁盛商店で扱っているのが、各国の技術の粋を集めて作られた装備となれば、エオルゼアの護り手として、これ以上、相応しいものはない。			大繁盛商店で扱っているのが、各国の技術の粋を集めて作られた装備となれば、エオルゼアの護り手として、これ以上、相応しいものはない。			世界を繋げ、大繁盛の輪！							
いずれ、特別に発注させてもらうことを視野に入れつつ……ひとまずはこの試供品を、自分が管理するコロセウムで、試験させてもらっても？			いずれ、特別に発注させてもらうことを視野に入れつつ……ひとまずはこの試供品を、自分が管理するコロセウムで、試験させてもらっても？			世界を繋げ、大繁盛の輪！							
感謝する、使い心地を聞くのが楽しみだ。さっそく運ばせるとしよう。			感謝する、使い心地を聞くのが楽しみだ。さっそく運ばせるとしよう。			世界を繋げ、大繁盛の輪！							
……しかし、試供品とはいえ無償でもらうのはよくないな。このウルダハでは、タダより怖いものはないのでね。何かお返しにあげられるものは……。			……しかし、試供品とはいえ無償でもらうのはよくないな。このウルダハでは、タダより怖いものはないのでね。何かお返しにあげられるものは……。			世界を繋げ、大繁盛の輪！							
ふむ……タタルといえば「アレ」があるが……あの状態で渡していいものかどうか……。			ふむ……タタルといえば「アレ」があるが……あの状態で渡していいものかどうか……。			世界を繋げ、大繁盛の輪！							
実は、彼女とは同郷同族ということで、以前から懇意にさせてもらっていたのだ。それで、お互いの身の上話をしたことがある。			実は、彼女とは同郷同族ということで、以前から懇意にさせてもらっていたのだ。それで、お互いの身の上話をしたことがある。			世界を繋げ、大繁盛の輪！							
タタルが幼い頃、父親が事業に失敗して破産したそうでね。家財一式を借金のカタとして失ったと言っていた。			タタルが幼い頃、父親が事業に失敗して破産したそうでね。家財一式を借金のカタとして失ったと言っていた。			世界を繋げ、大繁盛の輪！							
その中にあった、母親が大切にしていたネックレス……どうしてもそれだけは取り戻したいということで、長じて独立したあとも、行方を探していたらしい。			その中にあった、母親が大切にしていたネックレス……どうしてもそれだけは取り戻したいということで、長じて独立したあとも、行方を探していたらしい。			世界を繋げ、大繁盛の輪！							
そして、つい先日のこと……コロセウムの賞品として集められた品の中に、件のネックレスと特徴が一致するものを見つけたのだ。			そして、つい先日のこと……コロセウムの賞品として集められた品の中に、件のネックレスと特徴が一致するものを見つけたのだ。			世界を繋げ、大繁盛の輪！							
ただ……質に流れてから、ずいぶん転々としたようでな。もっとも大きなサファイアこそ無傷だったものの、ほかの部品が汚れたり欠けていて、酷い有り様なのだ。			ただ……質に流れてから、ずいぶん転々としたようでな。もっとも大きなサファイアこそ無傷だったものの、ほかの部品が汚れたり欠けていて、酷い有り様なのだ。			世界を繋げ、大繁盛の輪！							
このまま返すのは、さすがにためらわれてな……君は、どう思う？			このまま返すのは、さすがにためらわれてな……君は、どう思う？			世界を繋げ、大繁盛の輪！							
何と言う？			何と言う？			世界を繋げ、大繁盛の輪！							
大事なのは形じゃない、思い出だ			大事なのは形じゃない、思い出だ			世界を繋げ、大繁盛の輪！							
代わりになる部品があれば、仕立て直せるかもしれない			代わりになる部品があれば、仕立て直せるかもしれない			世界を繋げ、大繁盛の輪！							
つまり、形が多少違っても良いということだろうか。主となるサファイアは残しつつ、仕立て直してみる……と？			つまり、形が多少違っても良いということだろうか。主となるサファイアは残しつつ、仕立て直してみる……と？			世界を繋げ、大繁盛の輪！							
新しいネックレスとして仕立て直す、と？			新しいネックレスとして仕立て直す、と？			世界を繋げ、大繁盛の輪！							
……なるほど、それは良い考えだな。			……なるほど、それは良い考えだな。			世界を繋げ、大繁盛の輪！							
であれば、私からも提案がある。仕立て直しを彫金師ギルドに依頼するのではなく、よりタタルにふさわしい形で、進められないだろうか？			であれば、私からも提案がある。仕立て直しを彫金師ギルドに依頼するのではなく、よりタタルにふさわしい形で、進められないだろうか？			世界を繋げ、大繁盛の輪！							
たとえば……そう、君はこれからも各地を冒険するはずだ。その中で、新たなネックレスに適した部品を、手にすることもあるかもしれない。			たとえば……そう、君はこれからも各地を冒険するはずだ。その中で、新たなネックレスに適した部品を、手にすることもあるかもしれない。			世界を繋げ、大繁盛の輪！							
それらが十分に集まったときに、ネックレスを仕立て直し、タタルに返す。……どうだ？			それらが十分に集まったときに、ネックレスを仕立て直し、タタルに返す。……どうだ？			世界を繋げ、大繁盛の輪！							
