リダ・ラーンのアンデンは、引っかかることがあるようだ。			リダ・ラーンのアンデンは、引っかかることがあるようだ。			アンデンの選択							
エオ＝ティル、落ち着いてよ！ちょっと出かけるだけだし、話が聞けたら戻ってくるからさぁ。			エオ＝ティル、落ち着いてよ！ちょっと出かけるだけだし、話が聞けたら戻ってくるからさぁ。			アンデンの選択							
やだぁ～～！里にはいっぱい女のヒトがいるっていうし、そのヒトたちに囲まれちゃって、きっと戻ってこないんだわ！			やだぁ～～！里にはいっぱい女のヒトがいるっていうし、そのヒトたちに囲まれちゃって、きっと戻ってこないんだわ！			アンデンの選択							
だからダメなの……！アンデンさん、お願いだからここにいてよぉ……。			だからダメなの……！アンデンさん、お願いだからここにいてよぉ……。			アンデンの選択							
待たせてごめん～～！久しぶりの森で迷っちゃってさ……。			待たせてごめん～～！久しぶりの森で迷っちゃってさ……。			アンデンの選択							
(-凛とした女性の声-)そこの者たち、止まりなさい……！			(-凛とした女性の声-)そこの者たち、止まりなさい……！			アンデンの選択							
(-凛とした女性-)見知らぬヴィース族の男が森に現れたうえに、その顔立ちが私に似ていると、見張りの者に聞いて来てみれば……			(-凛とした女性-)見知らぬヴィース族の男が森に現れたうえに、その顔立ちが私に似ていると、見張りの者に聞いて来てみれば……			アンデンの選択							
(-凛とした女性-)驚いたわ。ジルテ、まさかあなただったなんて……。			(-凛とした女性-)驚いたわ。ジルテ、まさかあなただったなんて……。			アンデンの選択							
ジルテ……？			ジルテ……？			アンデンの選択							
あ、ああ～～っ、そうそう、ジルテ！というか君、ティリナだよね！？			あ、ああ～～っ、そうそう、ジルテ！というか君、ティリナだよね！？			アンデンの選択							
えっと、ようやく思い出せたんだけど……「アンデン」は本名じゃなくて、昔は「ジルテ」って名乗ってて。それで、俺と似ている彼女は……			えっと、ようやく思い出せたんだけど……「アンデン」は本名じゃなくて、昔は「ジルテ」って名乗ってて。それで、俺と似ている彼女は……			アンデンの選択							
こんにちは、ロンカの同盟者さん。私は、ティリナ……あなたの隣にいる人の妹よ。			こんにちは、ロンカの同盟者さん。私は、ティリナ……あなたの隣にいる人の妹よ。			アンデンの選択							
ジルテが外へ出ていったことは、森が教えてくれたから知っていたわ。でも、光の氾濫が起きて……もう会えないものと諦めていたのよ。			ジルテが外へ出ていったことは、森が教えてくれたから知っていたわ。でも、光の氾濫が起きて……もう会えないものと諦めていたのよ。			アンデンの選択							
さっきの反応から察するに、自分の名前すら、忘れていたようだけれど……あなた、いったい森の外で、どんな暮らしをしていたの！？			さっきの反応から察するに、自分の名前すら、忘れていたようだけれど……あなた、いったい森の外で、どんな暮らしをしていたの！？			アンデンの選択							
それはその、どう説明したらいいやら……。			それはその、どう説明したらいいやら……。			アンデンの選択							
羊かわいさに罪喰いから逃げようともせず、ピクシー族に草人に変えられたあげく、記憶喪失……？しかもその状況から、ロンカの同盟者さんが助けてくれたと。			羊かわいさに罪喰いから逃げようともせず、ピクシー族に草人に変えられたあげく、記憶喪失……？しかもその状況から、ロンカの同盟者さんが助けてくれたと。			アンデンの選択							
呆れた……こっちが大変なときに、ジルテったら……ファノヴの里への避難だって、一筋縄じゃいかなかったんだから！			呆れた……こっちが大変なときに、ジルテったら……ファノヴの里への避難だって、一筋縄じゃいかなかったんだから！			アンデンの選択							
じゃあ、俺たちの里は、もう……？			じゃあ、俺たちの里は、もう……？			アンデンの選択							
光の氾濫が森に迫ったとき、里長が、里を放棄して避難することを決めたの。判断が速かったおかげで、被害が出る前にみんなで逃げられたわ。			光の氾濫が森に迫ったとき、里長が、里を放棄して避難することを決めたの。判断が速かったおかげで、被害が出る前にみんなで逃げられたわ。			アンデンの選択							
ただ、罪喰いの犠牲になったり、森を出たりした者もいたから、ジルテの知っている顔は、もう少なくなっているわね。			ただ、罪喰いの犠牲になったり、森を出たりした者もいたから、ジルテの知っている顔は、もう少なくなっているわね。			アンデンの選択							
それで、ジルテはこれからどうするつもりなの？森へ戻ってくるのなら、私は妹として嬉しいけれど。			それで、ジルテはこれからどうするつもりなの？森へ戻ってくるのなら、私は妹として嬉しいけれど。			アンデンの選択							
いやぁ、このままイル・メグ暮らしかなぁ～～。羊たちを置き去りにするのは、さすがに無責任だしさ。			いやぁ、このままイル・メグ暮らしかなぁ～～。羊たちを置き去りにするのは、さすがに無責任だしさ。			アンデンの選択							
それに、あそこには恩返しをしたい子がいるんだよねぇ。俺を草人にしようって言い出した張本人なんだけど、単なるいたずらってわけじゃなかったんだよ……。			それに、あそこには恩返しをしたい子がいるんだよねぇ。俺を草人にしようって言い出した張本人なんだけど、単なるいたずらってわけじゃなかったんだよ……。			アンデンの選択							
その子が言うには、俺が化け物にならないように、羊と一緒にいられるように、草人にしたらしくてさぁ。そんな恩を受けたのに、さっさと立ち去るのはちょっとねぇ。			その子が言うには、俺が化け物にならないように、羊と一緒にいられるように、草人にしたらしくてさぁ。そんな恩を受けたのに、さっさと立ち去るのはちょっとねぇ。			アンデンの選択							
とはいえ、ティリナたちを受け入れてもらった恩もあるし、必要ならファノヴの里へ定期的に顔を出したりはするよ！ただ、こっちに定住するのはちょっと違うかなぁって。			とはいえ、ティリナたちを受け入れてもらった恩もあるし、必要ならファノヴの里へ定期的に顔を出したりはするよ！ただ、こっちに定住するのはちょっと違うかなぁって。			アンデンの選択							
自由気ままなわりに、妙に律儀なところは相変わらずね。まあ、たまにはファノヴの里まで来てほしいわ、今、数が減っているから……			自由気ままなわりに、妙に律儀なところは相変わらずね。まあ、たまにはファノヴの里まで来てほしいわ、今、数が減っているから……			アンデンの選択							
そう、減っているのよね、ヴィース族の男の子。里の女の子たちに捕まると大変なことになるだろうから、帰るつもりなら急いだほうがいいわよ、今回は見逃してあげる。			そう、減っているのよね、ヴィース族の男の子。里の女の子たちに捕まると大変なことになるだろうから、帰るつもりなら急いだほうがいいわよ、今回は見逃してあげる。			アンデンの選択							
ロンカの同盟者さんもね。ジルテだけじゃなくて、あなたも気をつけたほうがいいわよ？			ロンカの同盟者さんもね。ジルテだけじゃなくて、あなたも気をつけたほうがいいわよ？			アンデンの選択							
理解ある妹の慈悲に感謝……！会えてよかったよティリナ、また改めてゆっくり話そう！			理解ある妹の慈悲に感謝……！会えてよかったよティリナ、また改めてゆっくり話そう！			アンデンの選択							
それじゃあ、私は狩りに出るからそろそろ行くわね。兄と再会させてくれて、本当にありがとう。			それじゃあ、私は狩りに出るからそろそろ行くわね。兄と再会させてくれて、本当にありがとう。			アンデンの選択							
え～～ん！アンデンさんが帰ってきてよかったわ～～っ！			え～～ん！アンデンさんが帰ってきてよかったわ～～っ！			アンデンの選択							
あ～～危ない、危ない！ファノヴの里で囲まれる前に戻れてよかったぁ……。			あ～～危ない、危ない！ファノヴの里で囲まれる前に戻れてよかったぁ……。			アンデンの選択							
故郷のことは残念だったけど……妹のティリナと再会できたのは、本当によかった！おかげで、本名も思い出せたし……。			故郷のことは残念だったけど……妹のティリナと再会できたのは、本当によかった！おかげで、本名も思い出せたし……。			アンデンの選択							
別にね、本名が嫌いだったわけじゃないんだよ！？ここで暮らそうって決めたときに変えたんだ、懐かしいなぁ！			別にね、本名が嫌いだったわけじゃないんだよ！？ここで暮らそうって決めたときに変えたんだ、懐かしいなぁ！			アンデンの選択							
地元に馴染めるように、フッブート風の名前を拝借して……そうして「羊飼いのアンデンさん」が生まれたんだよね！			地元に馴染めるように、フッブート風の名前を拝借して……そうして「羊飼いのアンデンさん」が生まれたんだよね！			アンデンの選択							
というわけだから、今後とも「アンデン」として親しくしてもらえたら嬉しいよ！			というわけだから、今後とも「アンデン」として親しくしてもらえたら嬉しいよ！			アンデンの選択							
は～～これでようやく、頭もすっきり！ここまで付き合ってくれて、本当にありがとうね、Forename！			は～～これでようやく、頭もすっきり！ここまで付き合ってくれて、本当にありがとうね、Forename！			アンデンの選択							
アンデンさんが帰ってきてくれて、本当によかった！約束を破ったら、こわ～～い夢に落としちゃうところだったわ！			アンデンさんが帰ってきてくれて、本当によかった！約束を破ったら、こわ～～い夢に落としちゃうところだったわ！			アンデンの選択							
戻ってくるって約束したし、羊たちの世話ができるようになったのに出ていかないって！それに、エオ＝ティルには草人にしてもらった恩を返さないと。			戻ってくるって約束したし、羊たちの世話ができるようになったのに出ていかないって！それに、エオ＝ティルには草人にしてもらった恩を返さないと。			アンデンの選択							
あら、ふふふ～～っ！そう言ってもらえるのは嬉しいけど、あなたにしてあげたことは、むしろ「お返し」だったのよ？			あら、ふふふ～～っ！そう言ってもらえるのは嬉しいけど、あなたにしてあげたことは、むしろ「お返し」だったのよ？			アンデンの選択							
ねえ、アンデンさん。甘いお菓子と羊乳を、いつもおうちに用意してくれていたこと、思い出せているかしら？			ねえ、アンデンさん。甘いお菓子と羊乳を、いつもおうちに用意してくれていたこと、思い出せているかしら？			アンデンの選択							
ああ～～あれね！このあたりはピクシーが暮らしているって伝承を聞いて、森で精霊へ供え物をしていた習慣の延長線上でやっていたなぁ。			ああ～～あれね！このあたりはピクシーが暮らしているって伝承を聞いて、森で精霊へ供え物をしていた習慣の延長線上でやっていたなぁ。			アンデンの選択							
ここがヒトの国だったころ、私たちは、幻惑の魔法で姿を隠して遊びに来ていたの。だから、ヒトにとって私たちは物語上の存在に等しかった。			ここがヒトの国だったころ、私たちは、幻惑の魔法で姿を隠して遊びに来ていたの。だから、ヒトにとって私たちは物語上の存在に等しかった。			アンデンの選択							
それなのに、あなたったら私たちの存在を意識して、お菓子と羊乳を用意しておいてくれた……！私はね、それがとっても嬉しかったの！			それなのに、あなたったら私たちの存在を意識して、お菓子と羊乳を用意しておいてくれた……！私はね、それがとっても嬉しかったの！			アンデンの選択							
そんな素敵なアンデンさんをそばで見守っていたら、危ない状況になっても、羊たちが心配だとか言って逃げないのよ！？			そんな素敵なアンデンさんをそばで見守っていたら、危ない状況になっても、羊たちが心配だとか言って逃げないのよ！？			アンデンの選択							
もう見ていられなくて、お菓子と羊乳の「お返し」として草人にしてあげた、というわけ！			もう見ていられなくて、お菓子と羊乳の「お返し」として草人にしてあげた、というわけ！			アンデンの選択							
まあ、ど～～してもお礼がしたいというのなら、受け取るわ。私、あなたのそういう律儀なところが好きだもの！			まあ、ど～～してもお礼がしたいというのなら、受け取るわ。私、あなたのそういう律儀なところが好きだもの！			アンデンの選択							
そうやってまた好きとか言う……！まあ、君が俺に好意的なのは十分わかってるし、恩返しは俺の勝手だから、お菓子と羊乳をまた用意してあげるよ。			そうやってまた好きとか言う……！まあ、君が俺に好意的なのは十分わかってるし、恩返しは俺の勝手だから、お菓子と羊乳をまた用意してあげるよ。			アンデンの選択							
ふふ、ふふふふ～！そうよ、そうよ、私はあなたが大好きだから、いつまでも楽しく一緒に暮らしてちょうだいね、アンデンさん！			ふふ、ふふふふ～！そうよ、そうよ、私はあなたが大好きだから、いつまでも楽しく一緒に暮らしてちょうだいね、アンデンさん！			アンデンの選択							
妖精王はイル・メグを出るって選択肢も示してくれたけど、羊がいるし、恩返しのこともあるし、住み心地もいいし……。ここに残るっていうのは、俺らしい選択かなと思うんだよねぇ。			妖精王はイル・メグを出るって選択肢も示してくれたけど、羊がいるし、恩返しのこともあるし、住み心地もいいし……。ここに残るっていうのは、俺らしい選択かなと思うんだよねぇ。			アンデンの選択							
そんなに人付き合いが多くなかったのもあるけど、むしろ、不思議な隣人さんのほうが抵抗感もないからね！小屋に元俺や元羊飼い仲間の草人がいるのは、不気味だけど！			そんなに人付き合いが多くなかったのもあるけど、むしろ、不思議な隣人さんのほうが抵抗感もないからね！小屋に元俺や元羊飼い仲間の草人がいるのは、不気味だけど！			アンデンの選択							
これからは思う存分、羊の世話や物作りもできそうだし……君に用立ててもらった品も活用しながら、外部との取引は考えておこうかなぁ。			これからは思う存分、羊の世話や物作りもできそうだし……君に用立ててもらった品も活用しながら、外部との取引は考えておこうかなぁ。			アンデンの選択							
それと、そうだ！せっかくここに留まることにしたんだし、迷い込んじゃった人のために、案内人やるのもいいよねぇ～～！			それと、そうだ！せっかくここに留まることにしたんだし、迷い込んじゃった人のために、案内人やるのもいいよねぇ～～！			アンデンの選択							
取引にせよ案内にせよ、気軽に話しかけてもらえそうな服装があれば教えてよ！最近は、みんなどういう恰好が主流なのかわからないからさ！			取引にせよ案内にせよ、気軽に話しかけてもらえそうな服装があれば教えてよ！最近は、みんなどういう恰好が主流なのかわからないからさ！			アンデンの選択							
今後の依頼は、一週間に一度、これまでの依頼品の中からランダムで選ばれます。			今後の依頼は、一週間に一度、これまでの依頼品の中からランダムで選ばれます。			アンデンの選択							
[???]に話しかけて、「依頼品を渡す」を選んで確認してみましょう。			[???]に話しかけて、「依頼品を渡す」を選んで確認してみましょう。			アンデンの選択							
なお「かわいらしい返礼品」「かわいらしい返礼品の素材」、「イル・リダ」については、多くの報酬が得られます。リストに含まれていた場合は、積極的に納品してみましょう。			なお「かわいらしい返礼品」「かわいらしい返礼品の素材」、「イル・リダ」については、多くの報酬が得られます。リストに含まれていた場合は、積極的に納品してみましょう。			アンデンの選択							
また、以後アンデンに、武具投影を行うことができるようになりました。			また、以後アンデンに、武具投影を行うことができるようになりました。			アンデンの選択							
リダ・ラーンのエオ＝ティルは、冒険者と話がしたいようだ。			リダ・ラーンのエオ＝ティルは、冒険者と話がしたいようだ。			素敵なヒトの葉を紡ぎ							
アンデンさんにそっくりな子を探す			アンデンさんにそっくりな子を探す			素敵なヒトの葉を紡ぎ							
妖精王の若木！私、あなたに見せたいものがあるの！			妖精王の若木！私、あなたに見せたいものがあるの！			素敵なヒトの葉を紡ぎ							
でも「あの子」ったら、お散歩に行っちゃったみたい。そんなに遠くへは行っていないはずだから、ちょっと探してみてくれる？			でも「あの子」ったら、お散歩に行っちゃったみたい。そんなに遠くへは行っていないはずだから、ちょっと探してみてくれる？			素敵なヒトの葉を紡ぎ							
どんな子かっていうと……ふふ～っ！「アンデンさんにそっくりな子」だから、すぐわかると思うわ！			どんな子かっていうと……ふふ～っ！「アンデンさんにそっくりな子」だから、すぐわかると思うわ！			素敵なヒトの葉を紡ぎ							
そんなに遠くへは行っていないはずだから、「アンデンさんにそっくりな子」を探してみて！			そんなに遠くへは行っていないはずだから、「アンデンさんにそっくりな子」を探してみて！			素敵なヒトの葉を紡ぎ							
かつてのアンデンを彷彿とさせる姿をしている。エオ＝ティルが見せたがっていたのは、この子だろうか……。			かつてのアンデンを彷彿とさせる姿をしている。エオ＝ティルが見せたがっていたのは、この子だろうか……。			素敵なヒトの葉を紡ぎ							
……！…………！………………！？			……！…………！………………！？			素敵なヒトの葉を紡ぎ							
初めて会ったときのアンデンのように、何かを訴えている。しかし、どうやら話すことはできないようだ。			初めて会ったときのアンデンのように、何かを訴えている。しかし、どうやら話すことはできないようだ。			素敵なヒトの葉を紡ぎ							
(-エオ＝ティルの声-)見つかったみたいでよかったわ！			(-エオ＝ティルの声-)見つかったみたいでよかったわ！			素敵なヒトの葉を紡ぎ							
このフサフサ葉っぱのかわいい子について説明する前に、まずは私から、あなたに伝えたいことがあるの！聞いてもらってもいいかしら？			このフサフサ葉っぱのかわいい子について説明する前に、まずは私から、あなたに伝えたいことがあるの！聞いてもらってもいいかしら？			素敵なヒトの葉を紡ぎ							
私ね、ここがヒトの国だったころからずっと、アンデンさんとおしゃべりしてみたいって思っていたの！ふふふ、私ったらと～～っても一途でしょ？			私ね、ここがヒトの国だったころからずっと、アンデンさんとおしゃべりしてみたいって思っていたの！ふふふ、私ったらと～～っても一途でしょ？			素敵なヒトの葉を紡ぎ							
そうして突然、その願いが叶ったわ！しかも、あなたがお手伝いをしてくれたおかげで、こんなに面白くて、楽しいことになって……！			そうして突然、その願いが叶ったわ！しかも、あなたがお手伝いをしてくれたおかげで、こんなに面白くて、楽しいことになって……！			素敵なヒトの葉を紡ぎ							
だから、あなたには本当に感謝しているの！それで「お返し」をしようと思って用意したのが、この子……「アンデンIII世」よ！			だから、あなたには本当に感謝しているの！それで「お返し」をしようと思って用意したのが、この子……「アンデンIII世」よ！			素敵なヒトの葉を紡ぎ							
(-アンデンIII世-)……、……！？			(-アンデンIII世-)……、……！？			素敵なヒトの葉を紡ぎ							
厩舎にいる初代アンデンさんの剪定をしたときに、葉っぱを少し残しておいて、それでこの子をね……ふふ！おしゃべり草人のアンデンさんだと思って、大事にしてあげてね！			厩舎にいる初代アンデンさんの剪定をしたときに、葉っぱを少し残しておいて、それでこの子をね……ふふ！おしゃべり草人のアンデンさんだと思って、大事にしてあげてね！			素敵なヒトの葉を紡ぎ							
さて、あなたとふたりで話してばかりいると、妖精王に怒られちゃう！			さて、あなたとふたりで話してばかりいると、妖精王に怒られちゃう！			素敵なヒトの葉を紡ぎ							
そろそろ、アンデンさんのところへ戻りましょう！			そろそろ、アンデンさんのところへ戻りましょう！			素敵なヒトの葉を紡ぎ							
特殊ルール： レベルアジャストリダ・ラーンにいる甘党のピクシーは、冒険者をじっと見つめている。			特殊ルール： レベルアジャストリダ・ラーンにいる甘党のピクシーは、冒険者をじっと見つめている。			恐ろしい依頼							
サミアドからサミアドの脚を入手			サミアドからサミアドの脚を入手			恐ろしい依頼							
サミアドの脚を甘党のピクシーに渡す			サミアドの脚を甘党のピクシーに渡す			恐ろしい依頼							
アン＝ヤラに黄金色の花蜜を渡す			アン＝ヤラに黄金色の花蜜を渡す			恐ろしい依頼							
甘党のピクシーと話す			甘党のピクシーと話す			恐ろしい依頼							
ねえねえ旅人さん、ボクのために、「サミアドの脚」を2本、取ってきてくれないかなぁ……？お願いだよぉ、ねっ！　キミは強そうだし、簡単だと思うよ！			ねえねえ旅人さん、ボクのために、「サミアドの脚」を2本、取ってきてくれないかなぁ……？お願いだよぉ、ねっ！　キミは強そうだし、簡単だと思うよ！			恐ろしい依頼							
甘党のピクシーの頼みを聞く？			甘党のピクシーの頼みを聞く？			恐ろしい依頼							
はい			はい			恐ろしい依頼							
いいえ			いいえ			恐ろしい依頼							
やだやだやだぁ～！キミにしか頼めないんだよぉ、ねっ、お願い～！ボクのために「サミアドの脚」を取ってきてよお～！			やだやだやだぁ～！キミにしか頼めないんだよぉ、ねっ、お願い～！ボクのために「サミアドの脚」を取ってきてよお～！			恐ろしい依頼							
やったあ～！「サミアド」は、ここから南西のあたりにいるはずだよ。2本集まったら、ボクのところに持ってきてね！			やったあ～！「サミアド」は、ここから南西のあたりにいるはずだよ。2本集まったら、ボクのところに持ってきてね！			恐ろしい依頼							
