クガネの東アルデナード商会の丁稚は、誰かを探しているようだ。			クガネの東アルデナード商会の丁稚は、誰かを探しているようだ。			人魚の肉							
第二波止場の指定地点で待機			第二波止場の指定地点で待機			人魚の肉							
クガネ城前のアルパと話す			クガネ城前のアルパと話す			人魚の肉							
望海楼のアルパと話す			望海楼のアルパと話す			人魚の肉							
アルパと再度話す			アルパと再度話す			人魚の肉							
ジャ・オルミンと話す			ジャ・オルミンと話す			人魚の肉							
ナザ・ア・ジャーブの目撃者を探す			ナザ・ア・ジャーブの目撃者を探す			人魚の肉							
小波止場のジャ・オルミンと話す			小波止場のジャ・オルミンと話す			人魚の肉							
メ・ゼト・ティアを救助			メ・ゼト・ティアを救助			人魚の肉							
XLII式グレネードをメ・ゼト・ティアに当てる			XLII式グレネードをメ・ゼト・ティアに当てる			人魚の肉							
Surnameさん、ちょうどよいところに。			Surnameさん、ちょうどよいところに。			人魚の肉							
ハンコックさんに頼まれて、あなたを探していたんですよ。なんでも、協力をお願いしたい案件があるとか。			ハンコックさんに頼まれて、あなたを探していたんですよ。なんでも、協力をお願いしたい案件があるとか。			人魚の肉							
詳しいお話は、港の方で、ハンコックさん本人からお伝えしたいとのことです。少しばかり、お時間をいただいてもよろしいですか？			詳しいお話は、港の方で、ハンコックさん本人からお伝えしたいとのことです。少しばかり、お時間をいただいてもよろしいですか？			人魚の肉							
ありがとうございます！では、急いでハンコックさんを呼んできますので、「第二波止場」にてお待ちください。			ありがとうございます！では、急いでハンコックさんを呼んできますので、「第二波止場」にてお待ちください。			人魚の肉							
オォ～、Forenameさん！これはこれは、お待たせを……！			オォ～、Forenameさん！これはこれは、お待たせを……！			人魚の肉							
急にお呼び立てして、申し訳ありません。折り入って、アナタにお願いしたいことがあるのデス！			急にお呼び立てして、申し訳ありません。折り入って、アナタにお願いしたいことがあるのデス！			人魚の肉							
そう警戒なさらずに、話だけでも聞いてほしいのデ～ス！			そう警戒なさらずに、話だけでも聞いてほしいのデ～ス！			人魚の肉							
実は、アラミゴ解放軍からクガネ視察の案内役を頼まれまして……なんでも、長年鎖国を続ける「ひんがしの国」を見て回り、国防の参考にしたいのだとか……。			実は、アラミゴ解放軍からクガネ視察の案内役を頼まれまして……なんでも、長年鎖国を続ける「ひんがしの国」を見て回り、国防の参考にしたいのだとか……。			人魚の肉							
解放軍の方々は、まもなく到着される予定でして……彼らと浅からぬ付き合いのあるアナタに、仲介役として、出迎えの場に同席していただきたいのデス！			解放軍の方々は、まもなく到着される予定でして……彼らと浅からぬ付き合いのあるアナタに、仲介役として、出迎えの場に同席していただきたいのデス！			人魚の肉							
何と答える？			何と答える？			人魚の肉							
任せてほしいのデ～ス！			任せてほしいのデ～ス！			人魚の肉							
顔を貸すだけなら……			顔を貸すだけなら……			人魚の肉							
オォ～、助かりマ～ス！では、解放軍の方々の到着まで、しばしお待ちを……！			オォ～、助かりマ～ス！では、解放軍の方々の到着まで、しばしお待ちを……！			人魚の肉							
そろそろ、到着する頃合いのはずデスが……。			そろそろ、到着する頃合いのはずデスが……。			人魚の肉							
オォ～、噂をすればデ～ス！			オォ～、噂をすればデ～ス！			人魚の肉							
「アラミゴ解放軍」の方々とお見受けしマス。私の名はハンコック……この度のクガネ視察の案内役を務める、東アルデナード商会の番頭デス。			「アラミゴ解放軍」の方々とお見受けしマス。私の名はハンコック……この度のクガネ視察の案内役を務める、東アルデナード商会の番頭デス。			人魚の肉							
しゅ～……手厚い出迎え、痛み入るのじゃ。わらわは、アラミゴ解放軍国境警備隊警備隊長、アルパと申すのじゃ。			しゅ～……手厚い出迎え、痛み入るのじゃ。わらわは、アラミゴ解放軍国境警備隊警備隊長、アルパと申すのじゃ。			人魚の肉							
オレは副官のジャ・オルミンだ。よろしく頼む。			オレは副官のジャ・オルミンだ。よろしく頼む。			人魚の肉							
って、Forenameじゃないか。こんなところで何をしてるんだい？			って、Forenameじゃないか。こんなところで何をしてるんだい？			人魚の肉							
しゅ～……久しぶりに逢えて嬉しいのじゃ！もしや、おぬしがクガネを案内してくれるのかの？			しゅ～……久しぶりに逢えて嬉しいのじゃ！もしや、おぬしがクガネを案内してくれるのかの？			人魚の肉							
オォ～、それは名案デ～ス！気心の知れた者同士の方が楽しいでしょうし、いかがでしょう、このまま案内をお任せしても……？			オォ～、それは名案デ～ス！気心の知れた者同士の方が楽しいでしょうし、いかがでしょう、このまま案内をお任せしても……？			人魚の肉							
ではでは、おふたりとも長旅でお疲れでしょうから、私は宿の手配をしてまいりマス！			ではでは、おふたりとも長旅でお疲れでしょうから、私は宿の手配をしてまいりマス！			人魚の肉							
……なんか、悪いね。面倒ごとを押しつけられたみたいで……。			……なんか、悪いね。面倒ごとを押しつけられたみたいで……。			人魚の肉							
早速じゃが、この国の城を見てみたいのじゃ。Forename、案内してもらえるかの？			早速じゃが、この国の城を見てみたいのじゃ。Forename、案内してもらえるかの？			人魚の肉							
使いの者から聞いていると思いマスガ、アナタにお願いしたいことがあるのデス！詳しい話は、「第二波止場」で……ネ。			使いの者から聞いていると思いマスガ、アナタにお願いしたいことがあるのデス！詳しい話は、「第二波止場」で……ネ。			人魚の肉							
しゅぉぉ～……立派な城なのじゃぁ……。			しゅぉぉ～……立派な城なのじゃぁ……。			人魚の肉							
確かに外観は立派だけど、これで砦としての役割を果たせるのかねぇ。			確かに外観は立派だけど、これで砦としての役割を果たせるのかねぇ。			人魚の肉							
もし……このあたりでは見かけぬ格好をしているが、そなたらはいったい？			もし……このあたりでは見かけぬ格好をしているが、そなたらはいったい？			人魚の肉							
むむっ、その魚のような尾びれと鱗……もしや人魚か！？			むむっ、その魚のような尾びれと鱗……もしや人魚か！？			人魚の肉							
しゅ～……わらわは魚ではない、アナンタ族じゃ！			しゅ～……わらわは魚ではない、アナンタ族じゃ！			人魚の肉							
驚かせて悪いね。オレたちは、ここから遙か西にあるエオルゼアから来たんだ。			驚かせて悪いね。オレたちは、ここから遙か西にあるエオルゼアから来たんだ。			人魚の肉							
なるほど……人魚ではなく、西洋よりお越しの方々であったか。これは、まこと失礼をいたした。			なるほど……人魚ではなく、西洋よりお越しの方々であったか。これは、まこと失礼をいたした。			人魚の肉							
しゅ～……気にせずともよいのじゃ。それよりも、差し支えなければ、この城について教えてほしいのじゃ。			しゅ～……気にせずともよいのじゃ。それよりも、差し支えなければ、この城について教えてほしいのじゃ。			人魚の肉							
無礼を働いた詫び代わりと言っては何だが、拙者に話せる範囲で構わなければ、お話いたそう。			無礼を働いた詫び代わりと言っては何だが、拙者に話せる範囲で構わなければ、お話いたそう。			人魚の肉							
クガネ城の中核たる天守閣は、そこに至るまでに、様々な仕掛けが施されておってな。			クガネ城の中核たる天守閣は、そこに至るまでに、様々な仕掛けが施されておってな。			人魚の肉							
たとえば、城壁には狭間(さま)と呼ばれる穴が開いており、近くの通路へと矢や銃弾を、雨あられと降り注ぐことができる。つまり、正面から城に入り込むのは不可能に近い。			たとえば、城壁には狭間(さま)と呼ばれる穴が開いており、近くの通路へと矢や銃弾を、雨あられと降り注ぐことができる。つまり、正面から城に入り込むのは不可能に近い。			人魚の肉							
かと言って、城壁を昇ろうとすれば……石落としと呼ばれる櫓(やぐら)の開口部から、石に加えて、熱した油や湯が注がれることだろう。			かと言って、城壁を昇ろうとすれば……石落としと呼ばれる櫓(やぐら)の開口部から、石に加えて、熱した油や湯が注がれることだろう。			人魚の肉							
さらに城内は迷路のように入り組んでおり、忍び込んだ賊を逃がさない造りになっておるのだ。			さらに城内は迷路のように入り組んでおり、忍び込んだ賊を逃がさない造りになっておるのだ。			人魚の肉							
しゅわぁ～……雅な外観でありながら、それだけの防衛機能を持ち合わせているとは、見事の一言じゃ！			しゅわぁ～……雅な外観でありながら、それだけの防衛機能を持ち合わせているとは、見事の一言じゃ！			人魚の肉							
そうは言っても、以前カゲヤマという悪党に城を乗っ取られたことがあるのだがな。			そうは言っても、以前カゲヤマという悪党に城を乗っ取られたことがあるのだがな。			人魚の肉							
カゲヤマらは多くの客人が出入りする舞の催しを利用して、配下を潜入させ内側から門を開けたのだ。			カゲヤマらは多くの客人が出入りする舞の催しを利用して、配下を潜入させ内側から門を開けたのだ。			人魚の肉							
いかに外の守りを固めようと、中に入られては終い、ということだ。			いかに外の守りを固めようと、中に入られては終い、ということだ。			人魚の肉							
うむ、しかし慢心は禁物……いかに外の守りを固めようと、内側に間諜が入り込めば、中から扉を開けられてしまうのだからな。			うむ、しかし慢心は禁物……いかに外の守りを固めようと、内側に間諜が入り込めば、中から扉を開けられてしまうのだからな。			人魚の肉							
しゅ～……なるほどのう、肝に銘じておくのじゃ。			しゅ～……なるほどのう、肝に銘じておくのじゃ。			人魚の肉							
オォ～、こちらにおられましたか！			オォ～、こちらにおられましたか！			人魚の肉							
宿の手配ができましたので、本格的な視察を始める前に、まずはクガネ名物の露天風呂で長旅の疲れを癒やしては？			宿の手配ができましたので、本格的な視察を始める前に、まずはクガネ名物の露天風呂で長旅の疲れを癒やしては？			人魚の肉							
それじゃ、お言葉に甘えるとしようかねぇ。			それじゃ、お言葉に甘えるとしようかねぇ。			人魚の肉							
では、クガネの北西にある「望海楼」という宿へ向かってくだサイ。私は、いったんウルダハ商館に戻りますが、話は通してありますので、ご安心を！			では、クガネの北西にある「望海楼」という宿へ向かってくだサイ。私は、いったんウルダハ商館に戻りますが、話は通してありますので、ご安心を！			人魚の肉							
しゅ～……露天風呂か……楽しみなのじゃ！一緒に行くのじゃ、Forename！			しゅ～……露天風呂か……楽しみなのじゃ！一緒に行くのじゃ、Forename！			人魚の肉							
しかし、まっこと人魚の如し……望海泉の入浴客は、さぞや驚くだろうな……。			しかし、まっこと人魚の如し……望海泉の入浴客は、さぞや驚くだろうな……。			人魚の肉							
へえ、たいしたもんだねぇ。			へえ、たいしたもんだねぇ。			人魚の肉							
案内役の件、頼みましたヨ？			案内役の件、頼みましたヨ？			人魚の肉							
しゅ～……なんとも雅な雰囲気の宿じゃのう！すでに宿泊の手続きは済ませてあるのじゃ。			しゅ～……なんとも雅な雰囲気の宿じゃのう！すでに宿泊の手続きは済ませてあるのじゃ。			人魚の肉							
ゲイルスにも見せてやりたかったのじゃ。……いつものように、豹変して暴れられても困るがの。			ゲイルスにも見せてやりたかったのじゃ。……いつものように、豹変して暴れられても困るがの。			人魚の肉							
それにしても……遅いのう、オルミン。入浴の準備をするとかで、宿から出てくる気配がないのじゃ。			それにしても……遅いのう、オルミン。入浴の準備をするとかで、宿から出てくる気配がないのじゃ。			人魚の肉							
まあよい、先に「望海泉」に向かうとするのじゃ。クガネ名物と名高い露天風呂……楽しみなのじゃ～！			まあよい、先に「望海泉」に向かうとするのじゃ。クガネ名物と名高い露天風呂……楽しみなのじゃ～！			人魚の肉							
……我が国の伝承に登場する人魚は、蓋を開けてみれば、海を渡ってきたアナンタ族、ということもありえるかもしれぬな。			……我が国の伝承に登場する人魚は、蓋を開けてみれば、海を渡ってきたアナンタ族、ということもありえるかもしれぬな。			人魚の肉							
案内役の件、頼みましたヨ？			案内役の件、頼みましたヨ？			人魚の肉							
しゅ～……早速、入浴したいところじゃが……オルミンの着替えが終わるのを待つとするのじゃ……。			しゅ～……早速、入浴したいところじゃが……オルミンの着替えが終わるのを待つとするのじゃ……。			人魚の肉							
クガネの温泉では、水着での入浴が推奨されておるようじゃからな。おぬしも、着替えたければ今の内じゃぞ。			クガネの温泉では、水着での入浴が推奨されておるようじゃからな。おぬしも、着替えたければ今の内じゃぞ。			人魚の肉							
現在の装備でカットシーンを進行しますか？			現在の装備でカットシーンを進行しますか？			人魚の肉							
しゅ～……これが温泉というものか！気持ちよいのじゃ～！！			しゅ～……これが温泉というものか！気持ちよいのじゃ～！！			人魚の肉							
たまにはこういうのも悪くないねぇ。			たまにはこういうのも悪くないねぇ。			人魚の肉							
お、おい！人魚だ、人魚がいるぞ！			お、おい！人魚だ、人魚がいるぞ！			人魚の肉							
あの魚のような足と鱗……どう見ても人魚だ！まさか実在するとは！			あの魚のような足と鱗……どう見ても人魚だ！まさか実在するとは！			人魚の肉							
しゅ～……わらわは魚ではないのじゃが……。			しゅ～……わらわは魚ではないのじゃが……。			人魚の肉							
ハハハ、無理もないさ、東方の連中は、アナンタ族を見たことがないんだから。			ハハハ、無理もないさ、東方の連中は、アナンタ族を見たことがないんだから。			人魚の肉							
あれはどう見ても人魚だろう……。			あれはどう見ても人魚だろう……。			人魚の肉							
(-仮面の冒険者-)人魚……だと？			(-仮面の冒険者-)人魚……だと？			人魚の肉							
人魚……だと？			人魚……だと？			人魚の肉							
(-仮面の冒険者-)人魚と聞いて見てみれば、やれやれ、貧相なサンシーカー女とはな……。			(-仮面の冒険者-)人魚と聞いて見てみれば、やれやれ、貧相なサンシーカー女とはな……。			人魚の肉							
人魚と聞いて見てみれば、やれやれ、貧相なサンシーカー女とはな……。			人魚と聞いて見てみれば、やれやれ、貧相なサンシーカー女とはな……。			人魚の肉							
……ずいぶん不躾だねぇ。趣味の悪い仮面野郎に、品評されたくないってもんだ！			……ずいぶん不躾だねぇ。趣味の悪い仮面野郎に、品評されたくないってもんだ！			人魚の肉							
やれやれ、見たところエオルゼアから来た者のようだが、このナザ・ア・ジャーブを知らぬとはな……。			やれやれ、見たところエオルゼアから来た者のようだが、このナザ・ア・ジャーブを知らぬとはな……。			人魚の肉							
なるほどな、蛇女を人魚と見間違えたというわけか。ククク、この宝玉に続いて、こうも早く獲物に行き着くとは、なかなかに俺の運もいいらしい……。			なるほどな、蛇女を人魚と見間違えたというわけか。ククク、この宝玉に続いて、こうも早く獲物に行き着くとは、なかなかに俺の運もいいらしい……。			人魚の肉							
気持ち悪い目でアルパを見るんじゃないよ！			気持ち悪い目でアルパを見るんじゃないよ！			人魚の肉							
しゅ～……おぬし、何をするのじゃ！離すのじゃ……うぐぅっ！！			しゅ～……おぬし、何をするのじゃ！離すのじゃ……うぐぅっ！！			人魚の肉							
どうした、アルパ！？			どうした、アルパ！？			人魚の肉							
おい、変態仮面野郎！うちの隊長に何をしやがった！			おい、変態仮面野郎！うちの隊長に何をしやがった！			人魚の肉							
異国での小遣い稼ぎのつもりで引き受けた仕事だったが、よくよく俺は蛮族と縁があるらしいな。			異国での小遣い稼ぎのつもりで引き受けた仕事だったが、よくよく俺は蛮族と縁があるらしいな。			人魚の肉							
蛇女はいただいていく、できるものなら取り返してみるがいい。この俺を「熱狂」させるためにな！フフフ……フハハハハハハハハハ！			蛇女はいただいていく、できるものなら取り返してみるがいい。この俺を「熱狂」させるためにな！フフフ……フハハハハハハハハハ！			人魚の肉							
くそっ……オレがついていながら、アルパをさらわれちまった！あの変態仮面野郎、ナザとか言ったね……いったい何者なんだ！			くそっ……オレがついていながら、アルパをさらわれちまった！あの変態仮面野郎、ナザとか言ったね……いったい何者なんだ！			人魚の肉							
いや、今は考えてる場合じゃないね……ヤツはアルパを背負って逃げている、となれば目撃者がいるはずだ、探しに行こう！			いや、今は考えてる場合じゃないね……ヤツはアルパを背負って逃げている、となれば目撃者がいるはずだ、探しに行こう！			人魚の肉							
はぁ……「みこって」族の男ねぇ……。そいつは、どんな種族なんだい？			はぁ……「みこって」族の男ねぇ……。そいつは、どんな種族なんだい？			人魚の肉							
そうか、東方の連中はミコッテ族に馴染みがないのか。オレみたいな耳の生えた男を捜してる……って言えばわかるかい？			そうか、東方の連中はミコッテ族に馴染みがないのか。オレみたいな耳の生えた男を捜してる……って言えばわかるかい？			人魚の肉							
なるほど。そんなナリの男なら、小波止場の方で見ましたよ。			なるほど。そんなナリの男なら、小波止場の方で見ましたよ。			人魚の肉							
「小波止場」ってのは、港のことだね？助かった、礼を言うよ！			「小波止場」ってのは、港のことだね？助かった、礼を言うよ！			人魚の肉							
教えてくれ、ミコッテ族の男を見かけなかったか！？			教えてくれ、ミコッテ族の男を見かけなかったか！？			人魚の肉							
ナザを追って来てみれば、なぜこいつがいるのさ……。			ナザを追って来てみれば、なぜこいつがいるのさ……。			人魚の肉							
ともかく、話を聞いてみよう。Forename、起こしてくれるかい？			ともかく、話を聞いてみよう。Forename、起こしてくれるかい？			人魚の肉							
あなたたちが探している「みこって」とやらは、「小波止場」の方で見かけましたよ。			あなたたちが探している「みこって」とやらは、「小波止場」の方で見かけましたよ。			人魚の肉							
ミコッテ族が行き倒れている。見間違いではない、ミコッテ族が行き倒れている。			ミコッテ族が行き倒れている。見間違いではない、ミコッテ族が行き倒れている。			人魚の肉							
………………起きないねぇ。			………………起きないねぇ。			人魚の肉							
なら、メ・ゼトがいつも持ち歩いているアレを借りるとするよ。			なら、メ・ゼトがいつも持ち歩いているアレを借りるとするよ。			人魚の肉							
この「XLII式グレネード」を使って、メ・ゼトを起こしてくれるかい？火薬は抜いてあるはずだから、丁度いい目覚ましになるだろうさ。			この「XLII式グレネード」を使って、メ・ゼトを起こしてくれるかい？火薬は抜いてあるはずだから、丁度いい目覚ましになるだろうさ。			人魚の肉							
念のため、オレは離れておくよ。			念のため、オレは離れておくよ。			人魚の肉							
ともかく、話を聞いてみよう。Forename、起こしてくれるかい？			ともかく、話を聞いてみよう。Forename、起こしてくれるかい？			人魚の肉							
あびゃあああぁぁぁぁぁぁぁぁぁぁぁぁぁ！！！！！			あびゃあああぁぁぁぁぁぁぁぁぁぁぁぁぁ！！！！！			人魚の肉							
あいたたたたたた……こんな過激な目覚め方は、生まれて初めてだぜ……。			あいたたたたたた……こんな過激な目覚め方は、生まれて初めてだぜ……。			人魚の肉							
師匠！異国の地でお会いできたことは嬉しいんですけど、もうちょっと優しく起こしてくださいよ！			師匠！異国の地でお会いできたことは嬉しいんですけど、もうちょっと優しく起こしてくださいよ！			人魚の肉							
ハハハ……まさか、あんなに爆発するとは……てっきり、火薬を抜いているものかと思ってたよ……。			ハハハ……まさか、あんなに爆発するとは……てっきり、火薬を抜いているものかと思ってたよ……。			人魚の肉							
ところで、なんでアンタがクガネにいるのさ。			ところで、なんでアンタがクガネにいるのさ。			人魚の肉							
げげっ、オルミン！？			げげっ、オルミン！？			人魚の肉							
って、なんでそんな格好してやがるんだよ！？			って、なんでそんな格好してやがるんだよ！？			人魚の肉							
ああ……そういえば、急いでて着替えるのを忘れてたよ。			ああ……そういえば、急いでて着替えるのを忘れてたよ。			人魚の肉							
そんなことより、メ・ゼト……			そんなことより、メ・ゼト……			人魚の肉							
メ・ゼト？　オレの話を聞いてるのか？			メ・ゼト？　オレの話を聞いてるのか？			人魚の肉							
聞いてる！　聞いてるから！			聞いてる！　聞いてるから！			人魚の肉							
そ、そんなことより、大変だぜ！アルパが怪しい仮面の男に連れ去られちまったんだ！			そ、そんなことより、大変だぜ！アルパが怪しい仮面の男に連れ去られちまったんだ！			人魚の肉							
アンタ、あの変態仮面野郎を見たのか！？			アンタ、あの変態仮面野郎を見たのか！？			人魚の肉							
あ、ああ……お前たちと同じ船に密航してクガネまで来たはいいものの、道に迷っちまって、ブラブラ歩き回ってたんだ。			あ、ああ……お前たちと同じ船に密航してクガネまで来たはいいものの、道に迷っちまって、ブラブラ歩き回ってたんだ。			人魚の肉							
そしたら、アルパを担いだ怪しい仮面の男を目撃してな。声をかけようとしたら、いきなり殴りかかってきたんだ。で、気づいたらここにぶっ倒れてたってわけだ。			そしたら、アルパを担いだ怪しい仮面の男を目撃してな。声をかけようとしたら、いきなり殴りかかってきたんだ。で、気づいたらここにぶっ倒れてたってわけだ。			人魚の肉							
だが、気を失う寸前、オレは確かに見た。アルパを連れた仮面の男が、小舟に乗り込むところを。			だが、気を失う寸前、オレは確かに見た。アルパを連れた仮面の男が、小舟に乗り込むところを。			人魚の肉							
おそらく、海の向こうへと出航したはずだ！			おそらく、海の向こうへと出航したはずだ！			人魚の肉							
よし……絶対に追いついて、アルパを連れ戻すよ！メ・ゼト、アンタもついてきな！			よし……絶対に追いついて、アルパを連れ戻すよ！メ・ゼト、アンタもついてきな！			人魚の肉							
そりゃアルパのためならどこにだって行くけどよ……まずはその格好をどうにかしてくれよ！			そりゃアルパのためならどこにだって行くけどよ……まずはその格好をどうにかしてくれよ！			人魚の肉							
アルパの一大事だ、景気よくぶつけてやんな！			アルパの一大事だ、景気よくぶつけてやんな！			人魚の肉							
うわぁっ！			うわぁっ！			人魚の肉							
危うく、水着が破れるかと思ったよ……。どうやら、ちゃんと火薬は抜けてるみたいだねぇ。って、オレで試すんじゃないよ！			危うく、水着が破れるかと思ったよ……。どうやら、ちゃんと火薬は抜けてるみたいだねぇ。って、オレで試すんじゃないよ！			人魚の肉							
クガネのジャ・オルミンは、すぐにナザ・ア・ジャーブを追いかけたいようだ。			クガネのジャ・オルミンは、すぐにナザ・ア・ジャーブを追いかけたいようだ。			魂宿る宝玉							
ジャ・オルミンと話した。紅玉海の紅玉台場にいる「ジャ・オルミン」と話そう。			ジャ・オルミンと話した。紅玉海の紅玉台場にいる「ジャ・オルミン」と話そう。			魂宿る宝玉							
ジャ・オルミンと話した。紅玉台場で情報を集めよう。			ジャ・オルミンと話した。紅玉台場で情報を集めよう。			魂宿る宝玉							
紅玉台場で聞き込みを行ったが、有力な情報は得られなかった。紅玉台場の「ジャ・オルミン」に報告しよう。			紅玉台場で聞き込みを行ったが、有力な情報は得られなかった。紅玉台場の「ジャ・オルミン」に報告しよう。			魂宿る宝玉							
ジャ・オルミンに報告した。メ・ゼト・ティアの悲鳴がした方へ行ってみると、碧の宝探衆頭目のカブトと再会した。カブトは、ナザ・ア・ジャーブに奪われたツクモを取り返すために、冒険者たちに同行するようだ。イサリ村の「ジャ・オルミン」と話そう。			ジャ・オルミンに報告した。メ・ゼト・ティアの悲鳴がした方へ行ってみると、碧の宝探衆頭目のカブトと再会した。カブトは、ナザ・ア・ジャーブに奪われたツクモを取り返すために、冒険者たちに同行するようだ。イサリ村の「ジャ・オルミン」と話そう。			魂宿る宝玉							
ジャ・オルミンと話した。イサリ村で情報を集めよう。			ジャ・オルミンと話した。イサリ村で情報を集めよう。			魂宿る宝玉							
イサリ村で聞き込みを行った。仮面をつけた男の目撃情報によると、ナザ・ア・ジャーブは、アジムステップ、もしくはヤンサへ向かったようだ。また、クガネでは三種の至宝という幻の宝が有名だという情報も得た。イサリ村の「ジャ・オルミン」に報告しよう。			イサリ村で聞き込みを行った。仮面をつけた男の目撃情報によると、ナザ・ア・ジャーブは、アジムステップ、もしくはヤンサへ向かったようだ。また、クガネでは三種の至宝という幻の宝が有名だという情報も得た。イサリ村の「ジャ・オルミン」に報告しよう。			魂宿る宝玉							
ジャ・オルミンに報告した。ジャ・オルミンは、ナザ・ア・ジャーブの目的は三種の至宝を集めることではないかと推察する。三種の至宝のひとつ、人魚の肉の代わりにされるであろうアルパの身が危険に晒される前に、急いでナザ・ア・ジャーブの足跡を追おう。			ジャ・オルミンに報告した。ジャ・オルミンは、ナザ・ア・ジャーブの目的は三種の至宝を集めることではないかと推察する。三種の至宝のひとつ、人魚の肉の代わりにされるであろうアルパの身が危険に晒される前に、急いでナザ・ア・ジャーブの足跡を追おう。			魂宿る宝玉							
紅玉台場のジャ・オルミンと話す			紅玉台場のジャ・オルミンと話す			魂宿る宝玉							
紅玉台場で情報を集める			紅玉台場で情報を集める			魂宿る宝玉							
ジャ・オルミンに報告			ジャ・オルミンに報告			魂宿る宝玉							
イサリ村のジャ・オルミンと話す			イサリ村のジャ・オルミンと話す			魂宿る宝玉							
イサリ村で情報を集める			イサリ村で情報を集める			魂宿る宝玉							
ジャ・オルミンに報告			ジャ・オルミンに報告			魂宿る宝玉							
急いでナザを追いかけるよ！			急いでナザを追いかけるよ！			魂宿る宝玉							
メ・ゼトの話だと、ヤツは小舟で海の向こうへ渡ったんだったねぇ。どこへ行けばいいかわかるかい、Forename？			メ・ゼトの話だと、ヤツは小舟で海の向こうへ渡ったんだったねぇ。どこへ行けばいいかわかるかい、Forename？			魂宿る宝玉							
