テイルフェザーのルーパルは、いい報せを受けたようだ。			テイルフェザーのルーパルは、いい報せを受けたようだ。			センス爆発							
へへん、話は聞いてたよ！相方さん、さっそく狩りにいこうじゃない！			へへん、話は聞いてたよ！相方さん、さっそく狩りにいこうじゃない！			センス爆発							
そうそう、例のブツも渡しておくね！ロウソクダケの粉末を振りかけた、特製の「匂い立つ野菜」だよ、大事にしてよぉ？			そうそう、例のブツも渡しておくね！ロウソクダケの粉末を振りかけた、特製の「匂い立つ野菜」だよ、大事にしてよぉ？			センス爆発							
目的のチョコボは、集落の南で目撃されたらしいわ。ほかの猟師たちも、その辺りに罠を仕掛けてるみたい！でも、私、ちょっと考えてみたの……。			目的のチョコボは、集落の南で目撃されたらしいわ。ほかの猟師たちも、その辺りに罠を仕掛けてるみたい！でも、私、ちょっと考えてみたの……。			センス爆発							
たくさんの猟師たちが罠を張ったなら、その場所には人の匂いが強く残ってしまうはず……。そうなると、チョコボも警戒するんじゃないかしら？			たくさんの猟師たちが罠を張ったなら、その場所には人の匂いが強く残ってしまうはず……。そうなると、チョコボも警戒するんじゃないかしら？			センス爆発							
……だとすると、多少の危険を冒しても、バンダースナッチの縄張りまで逃げているかも。だから、私たちは……北に罠を仕掛けましょ！			……だとすると、多少の危険を冒しても、バンダースナッチの縄張りまで逃げているかも。だから、私たちは……北に罠を仕掛けましょ！			センス爆発							
獰猛なバンダースナッチだって、注意すれば大丈夫！さあ、行くわよ！手分けして、匂い立つ野菜を設置しましょ！			獰猛なバンダースナッチだって、注意すれば大丈夫！さあ、行くわよ！手分けして、匂い立つ野菜を設置しましょ！			センス爆発							
あぁ、それから……エサを仕掛け終わったら、北にある猟師のキャンプに集合ね！よろしく～！			あぁ、それから……エサを仕掛け終わったら、北にある猟師のキャンプに集合ね！よろしく～！			センス爆発							
もう、遅いわよ～、待ってたんだから！匂い立つ野菜、ちゃんと置いてきたでしょうね～？			もう、遅いわよ～、待ってたんだから！匂い立つ野菜、ちゃんと置いてきたでしょうね～？			センス爆発							
よーしよし♪あの野菜にはね、眠り薬もかけておいたの。チョコボがあれを食べたら、グウグウ寝ちゃうはずよ！			よーしよし♪あの野菜にはね、眠り薬もかけておいたの。チョコボがあれを食べたら、グウグウ寝ちゃうはずよ！			センス爆発							
……いま、チョコボの鳴き声がしたわよね！？場所は……あなたが罠を仕掛けた方だわ！行ってみましょ！！			……いま、チョコボの鳴き声がしたわよね！？場所は……あなたが罠を仕掛けた方だわ！行ってみましょ！！			センス爆発							
うっそ～、信じられる！？チョコボよ、チョコボ！本物のチョ、コ、ボ！！　やったわ～！			うっそ～、信じられる！？チョコボよ、チョコボ！本物のチョ、コ、ボ！！　やったわ～！			センス爆発							
この子は、私がちゃ～んと連れていくから、あなたは先に戻って、ルーパルさんに伝えておいてくれる？			この子は、私がちゃ～んと連れていくから、あなたは先に戻って、ルーパルさんに伝えておいてくれる？			センス爆発							
この子は、私がちゃ～んと連れていくから、あなたは先に戻って、ルーパルさんに伝えておいてくれる？			この子は、私がちゃ～んと連れていくから、あなたは先に戻って、ルーパルさんに伝えておいてくれる？			センス爆発							
よう、ヤンターはうまくやってたか？			よう、ヤンターはうまくやってたか？			センス爆発							
なんだって！？ヤンターが、チョコボを獲っただって！？			なんだって！？ヤンターが、チョコボを獲っただって！？			センス爆発							
どうなることかと思っていたが、まさか、初陣で成果があるとは見事なもんだな……。さすがは生まれついての狩人、ミコッテ族といったところか。			どうなることかと思っていたが、まさか、初陣で成果があるとは見事なもんだな……。さすがは生まれついての狩人、ミコッテ族といったところか。			センス爆発							
それに君の協力も功を奏したようだな。礼を言わせてほしい……どうもありがとう！			それに君の協力も功を奏したようだな。礼を言わせてほしい……どうもありがとう！			センス爆発							
テイルフェザーのマルスシャンは、人手を探しているようだ。			テイルフェザーのマルスシャンは、人手を探しているようだ。			巡回調査							
マルスシャンから、テイルフェザー周辺のキャンプで、狩りの状況を聞いてくるように頼まれた。高地ドラヴァニアのチョコボの森にある3箇所のキャンプで、話を聞こう。			マルスシャンから、テイルフェザー周辺のキャンプで、狩りの状況を聞いてくるように頼まれた。高地ドラヴァニアのチョコボの森にある3箇所のキャンプで、話を聞こう。			巡回調査							
すべてのキャンプで、狩りの状況を確認した。テイルフェザーの「マルスシャン」に報告しよう。			すべてのキャンプで、狩りの状況を確認した。テイルフェザーの「マルスシャン」に報告しよう。			巡回調査							
テイルフェザーのマルスシャンに報告した。マルスシャンは、いつも報告を求めているようだが、そう上手くはいかないようだ。また困っているようであれば声をかけよう。			テイルフェザーのマルスシャンに報告した。マルスシャンは、いつも報告を求めているようだが、そう上手くはいかないようだ。また困っているようであれば声をかけよう。			巡回調査							
テイルフェザー付近のキャンプで話を聞く			テイルフェザー付近のキャンプで話を聞く			巡回調査							
マルスシャンに報告			マルスシャンに報告			巡回調査							
ここでできる仕事を探しているのか？ふーむ、そうだな……。			ここでできる仕事を探しているのか？ふーむ、そうだな……。			巡回調査							
チョコボの森の中には、テイルフェザー以外に、猟師たちが滞在するためのキャンプ地が、3ヶ所あるんだ。そこを巡回して、狩りの状況を確認してきてくれないか？			チョコボの森の中には、テイルフェザー以外に、猟師たちが滞在するためのキャンプ地が、3ヶ所あるんだ。そこを巡回して、狩りの状況を確認してきてくれないか？			巡回調査							
今、狩りに出ているのは、「レオニュルフ」、「ゲナレ」、それに「エムベル」だったな。こいつら3人に話を聞いてくれりゃあいい。頼んだぞ。			今、狩りに出ているのは、「レオニュルフ」、「ゲナレ」、それに「エムベル」だったな。こいつら3人に話を聞いてくれりゃあいい。頼んだぞ。			巡回調査							
チョコボの森の中には、テイルフェザー以外に、猟師たちが滞在するためのキャンプ地が、3ヶ所あるんだ。そこを巡回して、狩りの状況を確認してきてくれないか？			チョコボの森の中には、テイルフェザー以外に、猟師たちが滞在するためのキャンプ地が、3ヶ所あるんだ。そこを巡回して、狩りの状況を確認してきてくれないか？			巡回調査							
……あぁ、狩りについては順調さ。ただ最近は、チョコボの羽根につくノミ……「フェザーフリー」が多いのが気になるくらいかな。			……あぁ、狩りについては順調さ。ただ最近は、チョコボの羽根につくノミ……「フェザーフリー」が多いのが気になるくらいかな。			巡回調査							
……そうですね、特に大きな問題じゃないですが。いや、報告する必要があることでもないでしょう。隊長には、特に問題無いとお伝えください。			……そうですね、特に大きな問題じゃないですが。いや、報告する必要があることでもないでしょう。隊長には、特に問題無いとお伝えください。			巡回調査							
現状か……あまりよくないな。捕らえたチョコボが魔物に襲われてな。腕の立つ助っ人が必要かもしれんと、隊長に伝えてくれ。			現状か……あまりよくないな。捕らえたチョコボが魔物に襲われてな。腕の立つ助っ人が必要かもしれんと、隊長に伝えてくれ。			巡回調査							
……なるほどな。大小違いはあるが、それぞれ問題を抱えてるか。まったく、あいつらはすぐに報告をサボりやがる。			……なるほどな。大小違いはあるが、それぞれ問題を抱えてるか。まったく、あいつらはすぐに報告をサボりやがる。			巡回調査							
俺はチョコボを回収できるよう準備する。もし手が空いたら、あいつらの手助けを頼みたい。腕利きの冒険者の手伝いなら、いつでも歓迎だからな。			俺はチョコボを回収できるよう準備する。もし手が空いたら、あいつらの手助けを頼みたい。腕利きの冒険者の手伝いなら、いつでも歓迎だからな。			巡回調査							
テイルフェザーのヴィルジョームは、何かを気にしているようだ。			テイルフェザーのヴィルジョームは、何かを気にしているようだ。			賢いヤツら							
ヴィルジョームに罠の確認を頼まれた。高地ドラヴァニアのチョコボの森にある彼が仕掛けた罠に、「ギサールの野菜」が残っているかどうか確かめよう。			ヴィルジョームに罠の確認を頼まれた。高地ドラヴァニアのチョコボの森にある彼が仕掛けた罠に、「ギサールの野菜」が残っているかどうか確かめよう。			賢いヤツら							
罠にギサールの野菜は残っていなかった。テイルフェザーの「ヴィルジョーム」に報告しよう。			罠にギサールの野菜は残っていなかった。テイルフェザーの「ヴィルジョーム」に報告しよう。			賢いヤツら							
ヴィルジョームに報告した。チョコボは見えない落とし穴を避けるほど賢いようだ。			ヴィルジョームに報告した。チョコボは見えない落とし穴を避けるほど賢いようだ。			賢いヤツら							
猟師の罠を調べる			猟師の罠を調べる			賢いヤツら							
ヴィルジョームに報告			ヴィルジョームに報告			賢いヤツら							
数日前に、罠をいくつか仕掛けたんだ。もちろん、野生のチョコボを捕まえるためのもんさ。そろそろ様子を確かめたいんだが……手伝いを頼めるか？			数日前に、罠をいくつか仕掛けたんだ。もちろん、野生のチョコボを捕まえるためのもんさ。そろそろ様子を確かめたいんだが……手伝いを頼めるか？			賢いヤツら							
罠を仕掛けた場所は計2ヶ所、あんたの地図に記しておくよ。仕掛けた罠に、エサの「ギサールの野菜」が残ってないか、しっかり確かめてきてくれよな。			罠を仕掛けた場所は計2ヶ所、あんたの地図に記しておくよ。仕掛けた罠に、エサの「ギサールの野菜」が残ってないか、しっかり確かめてきてくれよな。			賢いヤツら							
罠を仕掛けた場所は計2ヶ所、あんたの地図に記しておくよ。仕掛けた罠に、エサの「ギサールの野菜」が残ってないか、しっかり確かめてきてくれよな。			罠を仕掛けた場所は計2ヶ所、あんたの地図に記しておくよ。仕掛けた罠に、エサの「ギサールの野菜」が残ってないか、しっかり確かめてきてくれよな。			賢いヤツら							
ヴィルジョームが設置した罠のようだ。ギサールの野菜は、残っていない……。			ヴィルジョームが設置した罠のようだ。ギサールの野菜は、残っていない……。			賢いヤツら							
ヴィルジョームが設置した罠のようだ。ギサールの野菜は、残っていない……。			ヴィルジョームが設置した罠のようだ。ギサールの野菜は、残っていない……。			賢いヤツら							
……ふむふむ、罠はそのままで、ギサールの野菜は残ってなかったって？あっちゃー、やられてたかぁ。			……ふむふむ、罠はそのままで、ギサールの野菜は残ってなかったって？あっちゃー、やられてたかぁ。			賢いヤツら							
全部避けて、餌だけ持っていくなんて……。周囲に掘った落とし穴は、完璧に偽装できてたはずなのに……。活きが良いだけじゃなく、頭も良いヤツらだよまったく！			全部避けて、餌だけ持っていくなんて……。周囲に掘った落とし穴は、完璧に偽装できてたはずなのに……。活きが良いだけじゃなく、頭も良いヤツらだよまったく！			賢いヤツら							
何にせよ、ありがとうよ！……そういえば……あんたもよく落とし穴に落ちなかったな。			何にせよ、ありがとうよ！……そういえば……あんたもよく落とし穴に落ちなかったな。			賢いヤツら							
テイルフェザー周辺キャンプのゲナレは、鳴き続けるチョコボを気にしているようだ。			テイルフェザー周辺キャンプのゲナレは、鳴き続けるチョコボを気にしているようだ。			鳴いている理由							
ゲナレに、チョコボを捕まえた場所を調べるよう頼まれた。高地ドラヴァニアのチョコボの森の「チョコボの巣」を調べよう。			ゲナレに、チョコボを捕まえた場所を調べるよう頼まれた。高地ドラヴァニアのチョコボの森の「チョコボの巣」を調べよう。			鳴いている理由							
チョコボの巣には、チョコボのタマゴが残っていた。テイルフェザー周辺キャンプの「ゲナレ」に報告しよう。			チョコボの巣には、チョコボのタマゴが残っていた。テイルフェザー周辺キャンプの「ゲナレ」に報告しよう。			鳴いている理由							
タマゴが残っていたことをゲナレに報告した。タマゴを温めているチョコボを捕らえるのは、将来的な取り分が減るため禁じられているそうだ。ゲナレは、今回捕えたチョコボを放すことにした。			タマゴが残っていたことをゲナレに報告した。タマゴを温めているチョコボを捕らえるのは、将来的な取り分が減るため禁じられているそうだ。ゲナレは、今回捕えたチョコボを放すことにした。			鳴いている理由							
チョコボの巣を調べる			チョコボの巣を調べる			鳴いている理由							
ゲナレに報告			ゲナレに報告			鳴いている理由							
檻の中でチョコボが鳴き続けている……。			檻の中でチョコボが鳴き続けている……。			鳴いている理由							
ふむ……どうしたんでしょう？捕まえたばかりのチョコボが鳴き続けているのですが、怪我はさせていないし、病気でもなさそうです。			ふむ……どうしたんでしょう？捕まえたばかりのチョコボが鳴き続けているのですが、怪我はさせていないし、病気でもなさそうです。			鳴いている理由							
……ひとつ心当たりがあるんですが、冒険者殿の手を貸してはいただけないでしょうか？			……ひとつ心当たりがあるんですが、冒険者殿の手を貸してはいただけないでしょうか？			鳴いている理由							
この子を捕まえた場所を地図に記しますから、その辺りに「チョコボの巣」がないか探してきてほしいのです。よろしくお願いしますよ。			この子を捕まえた場所を地図に記しますから、その辺りに「チョコボの巣」がないか探してきてほしいのです。よろしくお願いしますよ。			鳴いている理由							
この子を捕まえた場所を地図に記しますから、そこを見てきてほしいのです。よろしくお願いします。			この子を捕まえた場所を地図に記しますから、そこを見てきてほしいのです。よろしくお願いします。			鳴いている理由							
チョコボの巣を見つけた。大振りのタマゴが置かれている……。			チョコボの巣を見つけた。大振りのタマゴが置かれている……。			鳴いている理由							
チョコボが暴れないように捕えられている。心配そうな顔をしているようだ……。			チョコボが暴れないように捕えられている。心配そうな顔をしているようだ……。			鳴いている理由							
あぁ、やはりタマゴがありましたか……。放す用意はしてあります、この子は逃がしてあげないと。闘争心が高く頭も良い、優れたチョコボなんですけどね。			あぁ、やはりタマゴがありましたか……。放す用意はしてあります、この子は逃がしてあげないと。闘争心が高く頭も良い、優れたチョコボなんですけどね。			鳴いている理由							
タマゴを温めているチョコボを捕らえるのは、猟師仲間の掟で禁じられているんですよ……。将来的な取り分が減ってしまいますからね。			タマゴを温めているチョコボを捕らえるのは、猟師仲間の掟で禁じられているんですよ……。将来的な取り分が減ってしまいますからね。			鳴いている理由							
私たちの仕事は、チョコボを捕まえること……。つまりは、チョコボに生かされているってわけです。その恩恵を忘れてはいけませんよね。			私たちの仕事は、チョコボを捕まえること……。つまりは、チョコボに生かされているってわけです。その恩恵を忘れてはいけませんよね。			鳴いている理由							
テイルフェザー周辺キャンプのレオニュルフは、見張りをしているようだ。			テイルフェザー周辺キャンプのレオニュルフは、見張りをしているようだ。			ノミ退治							
レオニュルフにフェザーフリーの討伐を頼まれた。高地ドラヴァニアのチョコボの森で「フェザーフリー」を4体討伐しよう。			レオニュルフにフェザーフリーの討伐を頼まれた。高地ドラヴァニアのチョコボの森で「フェザーフリー」を4体討伐しよう。			ノミ退治							
フェザーフリーを討伐した。テイルフェザー周辺キャンプの「レオニュルフ」に報告しよう。			フェザーフリーを討伐した。テイルフェザー周辺キャンプの「レオニュルフ」に報告しよう。			ノミ退治							
レオニュルフに報告した。チョコボは、フェザーフリーに刺されると大暴れしてしまうらしい。			レオニュルフに報告した。チョコボは、フェザーフリーに刺されると大暴れしてしまうらしい。			ノミ退治							
フェザーフリーを討伐			フェザーフリーを討伐			ノミ退治							
レオニュルフに報告			レオニュルフに報告			ノミ退治							
最近、この辺りで「フェザーフリー」を多く見かけるんだ。正直目障りだし、チョコボにとっても害だし、さっさとどうにかしたいんだけど……。			最近、この辺りで「フェザーフリー」を多く見かけるんだ。正直目障りだし、チョコボにとっても害だし、さっさとどうにかしたいんだけど……。			ノミ退治							
ノミ退治に夢中になって、活きの良いチョコボを、見逃したとあっちゃ、話にならないからな。代わりに駆除してくれるか？			ノミ退治に夢中になって、活きの良いチョコボを、見逃したとあっちゃ、話にならないからな。代わりに駆除してくれるか？			ノミ退治							
とりあえず、「フェザーフリー」を4体ぐらい倒せば、しばらくは大丈夫だと思うんだ。悪いね、頼んだよ。			とりあえず、「フェザーフリー」を4体ぐらい倒せば、しばらくは大丈夫だと思うんだ。悪いね、頼んだよ。			ノミ退治							
とりあえず、「フェザーフリー」を4体ぐらい倒せば、しばらくは大丈夫だと思うんだ。悪いね、頼んだよ。			とりあえず、「フェザーフリー」を4体ぐらい倒せば、しばらくは大丈夫だと思うんだ。悪いね、頼んだよ。			ノミ退治							
やるなぁ、あんた。ありがとうね。			やるなぁ、あんた。ありがとうね。			ノミ退治							
奴ら、こっそりチョコボに忍び寄って、チクっとやるんだ。そうなったらもう、チョコボが暴れる暴れる！ほんと、狩りどころじゃなくなるから、助かったよ。			奴ら、こっそりチョコボに忍び寄って、チクっとやるんだ。そうなったらもう、チョコボが暴れる暴れる！ほんと、狩りどころじゃなくなるから、助かったよ。			ノミ退治							
テイルフェザーのルーパルは、冒険者に新米猟師の面倒を見てもらいたいようだ。			テイルフェザーのルーパルは、冒険者に新米猟師の面倒を見てもらいたいようだ。			狩猟一族の子							
ルーパルに、新米猟師の相方になるよう頼まれた。高地ドラヴァニアのテイルフェザーにいる、新米猟師の「キ・ヤンター」と話そう。			ルーパルに、新米猟師の相方になるよう頼まれた。高地ドラヴァニアのテイルフェザーにいる、新米猟師の「キ・ヤンター」と話そう。			狩猟一族の子							
キ・ヤンターの作戦を聞いた。テイルフェザーの東のチョコボの森で「ロウソクダケ」を入手しよう。			キ・ヤンターの作戦を聞いた。テイルフェザーの東のチョコボの森で「ロウソクダケ」を入手しよう。			狩猟一族の子							
ロウソクダケを採集した。テイルフェザーの「キ・ヤンター」に「ロウソクダケ」を渡そう。			ロウソクダケを採集した。テイルフェザーの「キ・ヤンター」に「ロウソクダケ」を渡そう。			狩猟一族の子							
キ・ヤンターにロウソクダケを渡した。テイルフェザーの「ルーパル」に報告しよう。			キ・ヤンターにロウソクダケを渡した。テイルフェザーの「ルーパル」に報告しよう。			狩猟一族の子							
ルーパルと話した。彼はキ・ヤンターの思いついた考えに、猟師としてのセンスを感じているようだ。			ルーパルと話した。彼はキ・ヤンターの思いついた考えに、猟師としてのセンスを感じているようだ。			狩猟一族の子							
キ・ヤンターと話す			キ・ヤンターと話す			狩猟一族の子							
ロウソクダケを入手			ロウソクダケを入手			狩猟一族の子							
キ・ヤンターにロウソクダケを渡す			キ・ヤンターにロウソクダケを渡す			狩猟一族の子							
ルーパルに報告			ルーパルに報告			狩猟一族の子							
あ～あ、もう……！私も早く、狩りに出てみたい！			あ～あ、もう……！私も早く、狩りに出てみたい！			狩猟一族の子							
お、冒険者さんじゃないか？ちょいとばかし、付き合ってくれやしないかい？			お、冒険者さんじゃないか？ちょいとばかし、付き合ってくれやしないかい？			狩猟一族の子							
ありがとよ、そうこなくっちゃな！そんじゃ、まずは俺たち猟師について説明しよう。			ありがとよ、そうこなくっちゃな！そんじゃ、まずは俺たち猟師について説明しよう。			狩猟一族の子							
テイルフェザーの猟師は、野生のチョコボを捕まえて、飼育が盛んなイシュガルドに売ることで、生計を立てている。			テイルフェザーの猟師は、野生のチョコボを捕まえて、飼育が盛んなイシュガルドに売ることで、生計を立てている。			狩猟一族の子							
簡単そうに聞こえるが、そうでもないんだぜ？ここは、ドラゴン族が棲息する地域だからな……。そのうえ凶暴な魔物も多く、猟はいつだって命がけさ。			簡単そうに聞こえるが、そうでもないんだぜ？ここは、ドラゴン族が棲息する地域だからな……。そのうえ凶暴な魔物も多く、猟はいつだって命がけさ。			狩猟一族の子							
だから、高地ドラヴァニアで猟師をやろうってやつは、食い詰めた貧民か、危険を物ともしないあらくれ者……あとは、一攫千金を夢見てやって来た流れ者くらいか。			だから、高地ドラヴァニアで猟師をやろうってやつは、食い詰めた貧民か、危険を物ともしないあらくれ者……あとは、一攫千金を夢見てやって来た流れ者くらいか。			狩猟一族の子							
この集落に、イシュガルド以外の出身者がいるのは、そういう訳だ……な、ヤンター？			この集落に、イシュガルド以外の出身者がいるのは、そういう訳だ……な、ヤンター？			狩猟一族の子							
はいはーい！　どうも、私はキ・ヤンター！冒険者さんも、ヤンターって呼んでねっ！			はいはーい！　どうも、私はキ・ヤンター！冒険者さんも、ヤンターって呼んでねっ！			狩猟一族の子							
チョコボ猟は、ふたり組で動くのが基本だが、新米のヤンターには、まだ相方がいなくってね。こいつに相方が見つかるまで、君に組んでほしいんだよ。			チョコボ猟は、ふたり組で動くのが基本だが、新米のヤンターには、まだ相方がいなくってね。こいつに相方が見つかるまで、君に組んでほしいんだよ。			狩猟一族の子							
ありがとうな、礼はちゃんとさせてもらうからさ！じゃ、詳しい話はヤンターに聞いてくれ。			ありがとうな、礼はちゃんとさせてもらうからさ！じゃ、詳しい話はヤンターに聞いてくれ。			狩猟一族の子							
ヤンターに相方が見つかるまで、面倒をみてくれ。悪いが、よろしく頼むな。			ヤンターに相方が見つかるまで、面倒をみてくれ。悪いが、よろしく頼むな。			狩猟一族の子							
やったーやったー相方だー！ねぇ、さっそくチョコボを捕まえに行きましょ！			やったーやったー相方だー！ねぇ、さっそくチョコボを捕まえに行きましょ！			狩猟一族の子							
今回は、ギサールの野菜でチョコボをおびき寄せるよ！でも、人の匂いが付いてるギサールの野菜じゃ、敏感な野生のチョコボは、騙せないんだなぁ。			今回は、ギサールの野菜でチョコボをおびき寄せるよ！でも、人の匂いが付いてるギサールの野菜じゃ、敏感な野生のチョコボは、騙せないんだなぁ。			狩猟一族の子							
……でも、私にいい案があるのっ！この間、すっご～く臭いキノコを見つけてね。あれを利用すれば、人の匂いをごまかせると思うんだ！			……でも、私にいい案があるのっ！この間、すっご～く臭いキノコを見つけてね。あれを利用すれば、人の匂いをごまかせると思うんだ！			狩猟一族の子							
罠に使うギサールの野菜の準備は、私にまかせて！だから相方さんには、そのキノコを採ってきてほしいの。			罠に使うギサールの野菜の準備は、私にまかせて！だから相方さんには、そのキノコを採ってきてほしいの。			狩猟一族の子							
確か名前は「ロウソクダケ」だったかな。「テイルフェザー」を出て、東に行った辺りに生えてるよ！5個くらいあれば十分だと思うから、よろしくねっ！			確か名前は「ロウソクダケ」だったかな。「テイルフェザー」を出て、東に行った辺りに生えてるよ！5個くらいあれば十分だと思うから、よろしくねっ！			狩猟一族の子							
確か名前は「ロウソクダケ」だったかな。「テイルフェザー」を出て、東に行った辺りに生えてるよ！5個くらいあれば十分だと思うから、よろしくねっ！			確か名前は「ロウソクダケ」だったかな。「テイルフェザー」を出て、東に行った辺りに生えてるよ！5個くらいあれば十分だと思うから、よろしくねっ！			狩猟一族の子							
どうどう！？すっご～く臭いキノコ、採れた？？			どうどう！？すっご～く臭いキノコ、採れた？？			狩猟一族の子							
これよ～、これこれ！それにしても、ほんっと強烈な匂いがするね……。			これよ～、これこれ！それにしても、ほんっと強烈な匂いがするね……。			狩猟一族の子							
よ～し、さっそくキノコを粉末にして、ギサールの野菜にふりかけてみよ～っと！！……そうそう、ルーパルさんから、何か話があるみたいだよ！			よ～し、さっそくキノコを粉末にして、ギサールの野菜にふりかけてみよ～っと！！……そうそう、ルーパルさんから、何か話があるみたいだよ！			狩猟一族の子							
キノコを採ってきてくれて、ありがとうねっ！ルーパルさんから、何か話があるみたいだよ！			キノコを採ってきてくれて、ありがとうねっ！ルーパルさんから、何か話があるみたいだよ！			狩猟一族の子							
ふふ……なかなかうまくやれてるみたいじゃないか。それに、人の匂いをキノコの匂いで誤魔化す……か。成功するかはわからんが、おもしろい考えだな。			ふふ……なかなかうまくやれてるみたいじゃないか。それに、人の匂いをキノコの匂いで誤魔化す……か。成功するかはわからんが、おもしろい考えだな。			狩猟一族の子							
ヤンターたちミコッテ族は、狩猟民族として知られているからな。きっと、生まれ持ったセンスがあると思うんだ。			ヤンターたちミコッテ族は、狩猟民族として知られているからな。きっと、生まれ持ったセンスがあると思うんだ。			狩猟一族の子							
君との相性も悪くなさそうだな。それじゃあ、この調子でよろしく頼むよ。			君との相性も悪くなさそうだな。それじゃあ、この調子でよろしく頼むよ。			狩猟一族の子							
テイルフェザー周辺キャンプのエムベルは、戦える者を探しているようだ。			テイルフェザー周辺キャンプのエムベルは、戦える者を探しているようだ。			生存競争							
エムベルにバンダースナッチの討伐を頼まれた。高地ドラヴァニアのチョコボの森で、「バンダースナッチ」を3体討伐しよう。			エムベルにバンダースナッチの討伐を頼まれた。高地ドラヴァニアのチョコボの森で、「バンダースナッチ」を3体討伐しよう。			生存競争							
バンダースナッチを討伐した。テイルフェザー周辺キャンプの「エムベル」に報告しよう。			バンダースナッチを討伐した。テイルフェザー周辺キャンプの「エムベル」に報告しよう。			生存競争							
エムベルに報告した。肉食獣との絶え間なき生存競争が、ここのチョコボたちを強く、逞しく育て上げているようだ。			エムベルに報告した。肉食獣との絶え間なき生存競争が、ここのチョコボたちを強く、逞しく育て上げているようだ。			生存競争							
バンダースナッチを討伐			バンダースナッチを討伐			生存競争							
エムベルに報告			エムベルに報告			生存競争							
むむむ……ここ数日で、もう3回目か……。いや、罠に掛かったままのチョコボが喰われていたのだ。			むむむ……ここ数日で、もう3回目か……。いや、罠に掛かったままのチョコボが喰われていたのだ。			生存競争							
犯人は、バンダースナッチだ。奴らめ、罠に捕らわれ抵抗できないチョコボを、食い殺す旨みを覚えてしまったようだな……。			犯人は、バンダースナッチだ。奴らめ、罠に捕らわれ抵抗できないチョコボを、食い殺す旨みを覚えてしまったようだな……。			生存競争							
冒険者よ、「バンダースナッチ」狩りを頼めんか？3体ほど倒せば、この辺りが危険だと思い知ることだろう。危険な野獣だが、よろしく頼むぞ。			冒険者よ、「バンダースナッチ」狩りを頼めんか？3体ほど倒せば、この辺りが危険だと思い知ることだろう。危険な野獣だが、よろしく頼むぞ。			生存競争							
