聖ロエル広場のフランセルは、演奏会の余韻に浸っている。			聖ロエル広場のフランセルは、演奏会の余韻に浸っている。			蒼天の下、笑顔で							
英雄であるキミは背負うものが多いかもしれないけれど、それ以上の、溢れんばかりの幸福が降りそそぐよう、ハルオーネに祈るよ。			英雄であるキミは背負うものが多いかもしれないけれど、それ以上の、溢れんばかりの幸福が降りそそぐよう、ハルオーネに祈るよ。			蒼天の下、笑顔で							
(-？？？？-)総監殿ーーーー！！			(-？？？？-)総監殿ーーーー！！			蒼天の下、笑顔で							
総監殿、大変です！いま蒼天街の前に、あ、あのお方が……！すぐに「名も無き者たちの広場」までお越しください！			総監殿、大変です！いま蒼天街の前に、あ、あのお方が……！すぐに「名も無き者たちの広場」までお越しください！			蒼天の下、笑顔で							
なにごとだろう……！？Forename、行ってみよう！			なにごとだろう……！？Forename、行ってみよう！			蒼天の下、笑顔で							
なにか、恐ろしいことではないと良いのですが……。			なにか、恐ろしいことではないと良いのですが……。			蒼天の下、笑顔で							
あのお方って、まさか……。通してもらうようトメリンに伝えておいたから、ここで待とう！			あのお方って、まさか……。通してもらうようトメリンに伝えておいたから、ここで待とう！			蒼天の下、笑顔で							
突然すまない、フランセル卿。失礼するよ。			突然すまない、フランセル卿。失礼するよ。			蒼天の下、笑顔で							
Forename！君もここにいるということは、私はどうやら、少し出遅れてしまったようだな。			Forename！君もここにいるということは、私はどうやら、少し出遅れてしまったようだな。			蒼天の下、笑顔で							
蒼天街の復興は、皇都の大きな悲願だった。完遂の報せと、それを祝う催しがあると聞きつけ、公務の合間を縫って駆けつけたのだが……。			蒼天街の復興は、皇都の大きな悲願だった。完遂の報せと、それを祝う催しがあると聞きつけ、公務の合間を縫って駆けつけたのだが……。			蒼天の下、笑顔で							
催しは、市民が私的に開催してくれたもので……！お招きできず、申し訳ございません。			催しは、市民が私的に開催してくれたもので……！お招きできず、申し訳ございません。			蒼天の下、笑顔で							
いや、どうか気にしないでくれ、フランセル卿。突然訪れたのは私の方なのだから。			いや、どうか気にしないでくれ、フランセル卿。突然訪れたのは私の方なのだから。			蒼天の下、笑顔で							
ちなみに個人的な興味なのだが、どんな催しだったか、聞いてもいいだろうか？			ちなみに個人的な興味なのだが、どんな催しだったか、聞いてもいいだろうか？			蒼天の下、笑顔で							
はい……！蒼天街の住人たちが楽団を用意してくれ、演奏会を行いました。Forenameと一緒に……！			はい……！蒼天街の住人たちが楽団を用意してくれ、演奏会を行いました。Forenameと一緒に……！			蒼天の下、笑顔で							
ほう、Forenameが……？			ほう、Forenameが……？			蒼天の下、笑顔で							
そうか……。市民が演奏会を企画し、人々が聴きに集まる……。そんな豊かで穏やかな時間が、この国にも生じているのだな。			そうか……。市民が演奏会を企画し、人々が聴きに集まる……。そんな豊かで穏やかな時間が、この国にも生じているのだな。			蒼天の下、笑顔で							
かつて戦争で心身ともに疲弊した者や、雲霧街で明日の食事も困っていた者たちが、前を向き、文化が花開いていくのは、非常に喜ばしいことだ。			かつて戦争で心身ともに疲弊した者や、雲霧街で明日の食事も困っていた者たちが、前を向き、文化が花開いていくのは、非常に喜ばしいことだ。			蒼天の下、笑顔で							
音楽に代表される「文化」とは、人の心をより豊かにしてくれる。蒼天街は、今後イシュガルドがより発展していくための、礎となっていくだろう。			音楽に代表される「文化」とは、人の心をより豊かにしてくれる。蒼天街は、今後イシュガルドがより発展していくための、礎となっていくだろう。			蒼天の下、笑顔で							
総監として、復興事業に参加したすべての者、そして民への、手厚い保障策を打ち出したあなたのおかげだ。感謝する、フランセル卿。			総監として、復興事業に参加したすべての者、そして民への、手厚い保障策を打ち出したあなたのおかげだ。感謝する、フランセル卿。			蒼天の下、笑顔で							
恐れ入ります、アイメリク卿……！今後も邁進してまいります。			恐れ入ります、アイメリク卿……！今後も邁進してまいります。			蒼天の下、笑顔で							
つかの間だが、この街の様子を知ることができてよかった。後日改めて、視察に来させてもらうとしよう。では失礼するよ。			つかの間だが、この街の様子を知ることができてよかった。後日改めて、視察に来させてもらうとしよう。では失礼するよ。			蒼天の下、笑顔で							
アイメリク卿とご歓談なさる、Surname様と坊ちゃんのお姿……！とても凛々しゅうございました。			アイメリク卿とご歓談なさる、Surname様と坊ちゃんのお姿……！とても凛々しゅうございました。			蒼天の下、笑顔で							
はぁ、緊張したぁ！まさかアイメリク卿も来てくれるなんて。			はぁ、緊張したぁ！まさかアイメリク卿も来てくれるなんて。			蒼天の下、笑顔で							
思えば、蒼天街の復興は……この広場から始まったんだよね。			思えば、蒼天街の復興は……この広場から始まったんだよね。			蒼天の下、笑顔で							
最初は不安ばかりで、空回りもして、キミに迷惑かけちゃったけど……僕はキミがいたからこそ、ここまでやってこれたんだ。			最初は不安ばかりで、空回りもして、キミに迷惑かけちゃったけど……僕はキミがいたからこそ、ここまでやってこれたんだ。			蒼天の下、笑顔で							
僕は、この街は、もう大丈夫。本当にありがとう。			僕は、この街は、もう大丈夫。本当にありがとう。			蒼天の下、笑顔で							
もちろん、総監としての仕事が終わったわけじゃない。ここに住む人々の生活は、ずっと続いていくんだから。僕はこれからも、この街を支え続けるよ。			もちろん、総監としての仕事が終わったわけじゃない。ここに住む人々の生活は、ずっと続いていくんだから。僕はこれからも、この街を支え続けるよ。			蒼天の下、笑顔で							
Forename。キミもよかったら、たまに顔を出しにきて。僕たちみんな、いつでも待ってるから。			Forename。キミもよかったら、たまに顔を出しにきて。僕たちみんな、いつでも待ってるから。			蒼天の下、笑顔で							
冒険者の活躍により、「イシュガルド復興」の事業計画が完遂しました！			冒険者の活躍により、「イシュガルド復興」の事業計画が完遂しました！			蒼天の下、笑顔で							
なお、引き続きディアデム諸島での採集や、名も無き者たちの広場で製作物を納品することができます。今後も、蒼天街に協力をしていきましょう！			なお、引き続きディアデム諸島での採集や、名も無き者たちの広場で製作物を納品することができます。今後も、蒼天街に協力をしていきましょう！			蒼天の下、笑顔で							
また、「聖ロエル広場」の「マリオリー」から、いつでも「蒼天街復興記念演奏会」が開催できるようになりました！詳しくは彼女から話を聞いてみましょう。			また、「聖ロエル広場」の「マリオリー」から、いつでも「蒼天街復興記念演奏会」が開催できるようになりました！詳しくは彼女から話を聞いてみましょう。			蒼天の下、笑顔で							
さらに、「名も無き者たちの広場」の「画商の男」から、蒼天街の様子を描いた絵画が購入できるようになりました！			さらに、「名も無き者たちの広場」の「画商の男」から、蒼天街の様子を描いた絵画が購入できるようになりました！			蒼天の下、笑顔で							
聖ロエル広場のマリオリーは、演奏会の準備を進めている。			聖ロエル広場のマリオリーは、演奏会の準備を進めている。			私設イシュガルド楽団							
マリオリーと話し、ついにフランセルに演奏会のサプライズを企画していたことを伝えた。準備が整ったら蒼天街の聖ロエル広場の「マリオリー」と話し、蒼天街復興記念演奏会を始めよう。			マリオリーと話し、ついにフランセルに演奏会のサプライズを企画していたことを伝えた。準備が整ったら蒼天街の聖ロエル広場の「マリオリー」と話し、蒼天街復興記念演奏会を始めよう。			私設イシュガルド楽団							
蒼天街復興記念演奏会は大盛況に終わり、華やかな時間が流れた。ひとまず聖ロエル広場の「マリオリー」に報告しよう。			蒼天街復興記念演奏会は大盛況に終わり、華やかな時間が流れた。ひとまず聖ロエル広場の「マリオリー」に報告しよう。			私設イシュガルド楽団							
マリオリーから演奏会の感想を聞いた。蒼天街復興記念演奏会は大成功のようだ。			マリオリーから演奏会の感想を聞いた。蒼天街復興記念演奏会は大成功のようだ。			私設イシュガルド楽団							
聖ロエル広場のマリオリーと話し、蒼天街復興記念演奏会に参加する			聖ロエル広場のマリオリーと話し、蒼天街復興記念演奏会に参加する			私設イシュガルド楽団							
マリオリーと話す			マリオリーと話す			私設イシュガルド楽団							
楽器はすべて、俺の手製です！音が響きやすいように風のクリスタルを仕込んだりと、ちょっと工夫しているんですよ！			楽器はすべて、俺の手製です！音が響きやすいように風のクリスタルを仕込んだりと、ちょっと工夫しているんですよ！			私設イシュガルド楽団							
この規模なら……どのくらい人が呼べるだろうか……。			この規模なら……どのくらい人が呼べるだろうか……。			私設イシュガルド楽団							
Forename様！お待たせいたしました！奏者の方々が、もうすぐ到着されるそうですよ！			Forename様！お待たせいたしました！奏者の方々が、もうすぐ到着されるそうですよ！			私設イシュガルド楽団							
お招きいただきありがとう、Forename殿。			お招きいただきありがとう、Forename殿。			私設イシュガルド楽団							
昨今は、穏やかに家族と過ごす時間が増えてな。娘の楽器の練習に付き合っていたから、演奏は任せてくれ。			昨今は、穏やかに家族と過ごす時間が増えてな。娘の楽器の練習に付き合っていたから、演奏は任せてくれ。			私設イシュガルド楽団							
兄貴から話は聞いてるぜ！オレもフルートとして参加させてもらうぞ！			兄貴から話は聞いてるぜ！オレもフルートとして参加させてもらうぞ！			私設イシュガルド楽団							
麗しのラニエットの心を掴むべく、たいていの楽器は弾けるように練習してあるからな！			麗しのラニエットの心を掴むべく、たいていの楽器は弾けるように練習してあるからな！			私設イシュガルド楽団							
ふたりとも、どうしたんですか？そろいの服を着て……。			ふたりとも、どうしたんですか？そろいの服を着て……。			私設イシュガルド楽団							
Forename、フォンクリノーさんに呼ばれてきたんだけど、いったい、なにが起こっているの……？			Forename、フォンクリノーさんに呼ばれてきたんだけど、いったい、なにが起こっているの……？			私設イシュガルド楽団							
何と言う？			何と言う？			私設イシュガルド楽団							
君の夢を叶えよう			君の夢を叶えよう			私設イシュガルド楽団							
復興事業完遂のお祝いだ			復興事業完遂のお祝いだ			私設イシュガルド楽団							
えっ、それってもしかして……。			えっ、それってもしかして……。			私設イシュガルド楽団							
えっ、みんなが準備していたの？			えっ、みんなが準備していたの？			私設イシュガルド楽団							
はい、フランセル卿！蒼天街復興のお祝いと、あなたへの感謝の気持ちを込めて、「私設イシュガルド楽団」をご用意しました！			はい、フランセル卿！蒼天街復興のお祝いと、あなたへの感謝の気持ちを込めて、「私設イシュガルド楽団」をご用意しました！			私設イシュガルド楽団							
さあ、演奏会を始めましょう！			さあ、演奏会を始めましょう！			私設イシュガルド楽団							
始めましょう、って……僕も参加していいのかい？			始めましょう、って……僕も参加していいのかい？			私設イシュガルド楽団							
参加するもなにも、お前のための演奏会だぜ？相棒もみんなも、お前に喜んでもらおうと、内緒で話を進めてたんだってさ！			参加するもなにも、お前のための演奏会だぜ？相棒もみんなも、お前に喜んでもらおうと、内緒で話を進めてたんだってさ！			私設イシュガルド楽団							
自分たちは、本当にあなたに良くしてもらいました。だからお礼がしたいと思って、マルセロアくんたちと企画し、英雄様や、貴族の方々が協力してくださったんです。			自分たちは、本当にあなたに良くしてもらいました。だからお礼がしたいと思って、マルセロアくんたちと企画し、英雄様や、貴族の方々が協力してくださったんです。			私設イシュガルド楽団							
あの堅物な兄貴が嬉しそうにしながら、自分が作曲した楽譜を持ってきたときは驚いたよ。それに、こんな楽しそうな催し、参加しない手はないぜ！			あの堅物な兄貴が嬉しそうにしながら、自分が作曲した楽譜を持ってきたときは驚いたよ。それに、こんな楽しそうな催し、参加しない手はないぜ！			私設イシュガルド楽団							
ほらフランセル、お前の分の楽譜も預かってるんだ。お前には、Forenameとふたりで、ピアノの連弾をやってもらうぜ。			ほらフランセル、お前の分の楽譜も預かってるんだ。お前には、Forenameとふたりで、ピアノの連弾をやってもらうぜ。			私設イシュガルド楽団							
アルトアレールさんまで……！？すごい、すごいよ！　みんなありがとう……！まさか僕の夢が叶うなんて！			アルトアレールさんまで……！？すごい、すごいよ！　みんなありがとう……！まさか僕の夢が叶うなんて！			私設イシュガルド楽団							
それに、キミと連弾できるなんて、すごく嬉しいよ！キミの演奏に合わせるから、いっしょに楽しく弾けるといいな……！			それに、キミと連弾できるなんて、すごく嬉しいよ！キミの演奏に合わせるから、いっしょに楽しく弾けるといいな……！			私設イシュガルド楽団							
ほかの奏者さんたちも、準備は済んでいるそうです。演奏を聴きにいらっしゃる方々へのご案内も進めております。いつでも演奏会を始められますよ！			ほかの奏者さんたちも、準備は済んでいるそうです。演奏を聴きにいらっしゃる方々へのご案内も進めております。いつでも演奏会を始められますよ！			私設イシュガルド楽団							
英雄様の最終的な準備が整いましたら、私「マリオリー」へ、もう一度お声かけください！			英雄様の最終的な準備が整いましたら、私「マリオリー」へ、もう一度お声かけください！			私設イシュガルド楽団							
じゃあオレたちも、楽器の最終調整をしてくるぜ。相棒の準備が整ったら呼んでくれよな！			じゃあオレたちも、楽器の最終調整をしてくるぜ。相棒の準備が整ったら呼んでくれよな！			私設イシュガルド楽団							
楽譜には目を通したから、問題なく弾けると思うよ。でも、英雄であるキミと息を合わせて演奏だなんて、なんだかドキドキするな……！			楽譜には目を通したから、問題なく弾けると思うよ。でも、英雄であるキミと息を合わせて演奏だなんて、なんだかドキドキするな……！			私設イシュガルド楽団							
ほかの奏者の皆さんには、音の最終調整などを行ってもらっています。ピアノの調律は、ばっちりですよ！			ほかの奏者の皆さんには、音の最終調整などを行ってもらっています。ピアノの調律は、ばっちりですよ！			私設イシュガルド楽団							
いよいよですね……！			いよいよですね……！			私設イシュガルド楽団							
ご準備できましたか？では「蒼天街復興記念演奏会」を開催いたしましょう！			ご準備できましたか？では「蒼天街復興記念演奏会」を開催いたしましょう！			私設イシュガルド楽団							
「蒼天街復興記念演奏会」では、ノーツと呼ばれるアイコンが、リズムに合わせて画面上に表示されます。ノーツに合わせてキーを押し、演奏会を成功させましょう！			「蒼天街復興記念演奏会」では、ノーツと呼ばれるアイコンが、リズムに合わせて画面上に表示されます。ノーツに合わせてキーを押し、演奏会を成功させましょう！			私設イシュガルド楽団							
左の通常ノーツ：ひし形が重なるときにキーを押してください。中央の連打ノーツ：重なってから一定時間キーを連打してください。右の長押しノーツ：重なってから一定時間キーを押し続けてください。			左の通常ノーツ：ひし形が重なるときにキーを押してください。中央の連打ノーツ：重なってから一定時間キーを連打してください。右の長押しノーツ：重なってから一定時間キーを押し続けてください。			私設イシュガルド楽団							
対応するキーは、次の通りです。			対応するキーは、次の通りです。			私設イシュガルド楽団							
マウス：画面上のいずれかの場所で左クリック、右クリックキーボード：修飾キーを除くアルファベットなどの標準キーなお、プレイ中はダイレクトチャットが無効になります。コントローラーゲームパッド：[???]を除く各種入力全般　[???] [???] [???] [???] [???]など			マウス：画面上のいずれかの場所で左クリック、右クリックキーボード：修飾キーを除くアルファベットなどの標準キーなお、プレイ中はダイレクトチャットが無効になります。コントローラーゲームパッド：[???]を除く各種入力全般　[???] [???] [???] [???] [???]など			私設イシュガルド楽団							
［escEsc］キー、もしくは[???]ボタンを押すと、「蒼天街復興記念演奏会」を途中で終了することができますが、クエストが進行してしまうので、ご注意ください。			［escEsc］キー、もしくは[???]ボタンを押すと、「蒼天街復興記念演奏会」を途中で終了することができますが、クエストが進行してしまうので、ご注意ください。			私設イシュガルド楽団							
「蒼天街復興記念演奏会」をはじめますか？			「蒼天街復興記念演奏会」をはじめますか？			私設イシュガルド楽団							
演奏会に参加する			演奏会に参加する			私設イシュガルド楽団							
ちょっと待って			ちょっと待って			私設イシュガルド楽団							
もう一度、遊び方を教えてほしい			もう一度、遊び方を教えてほしい			私設イシュガルド楽団							
かしこまりました！ご準備が整いましたら、再度お声かけください！			かしこまりました！ご準備が整いましたら、再度お声かけください！			私設イシュガルド楽団							
素晴らしい演奏会だった……！ま、まだ胸が高鳴っているよ……！			素晴らしい演奏会だった……！ま、まだ胸が高鳴っているよ……！			私設イシュガルド楽団							
Forename様！みんな楽しそうで……あったかい音色で……とっても素敵な演奏会でしたねぇ！			Forename様！みんな楽しそうで……あったかい音色で……とっても素敵な演奏会でしたねぇ！			私設イシュガルド楽団							
ほら、フランセル卿も、あなたと話したい様子でソワソワしてらっしゃいますよ！お声をかけてあげてください！			ほら、フランセル卿も、あなたと話したい様子でソワソワしてらっしゃいますよ！お声をかけてあげてください！			私設イシュガルド楽団							
私の方も、今後も演奏会を開催できるよう、手続きを進めておきますので、のちほどお立ち寄りくださいね！			私の方も、今後も演奏会を開催できるよう、手続きを進めておきますので、のちほどお立ち寄りくださいね！			私設イシュガルド楽団							
セブンスセージのフランセルは、商談が決まってほっとしているようだ。			セブンスセージのフランセルは、商談が決まってほっとしているようだ。			皇都が豊かになるために							
フランセルと話した。無事商談が締結できたので、イシュガルドの蒼天街の十字鍬通りにいるフランセルと話そう。			フランセルと話した。無事商談が締結できたので、イシュガルドの蒼天街の十字鍬通りにいるフランセルと話そう。			皇都が豊かになるために							
フランセルと話し、アインハルト家の面々と再会した。三国の商店を迎える場所を紹介してくれるというので、蒼天街のフェザーフォール商業区の「フランセル」と再度話そう。			フランセルと話し、アインハルト家の面々と再会した。三国の商店を迎える場所を紹介してくれるというので、蒼天街のフェザーフォール商業区の「フランセル」と再度話そう。			皇都が豊かになるために							
フランセル、シャルルマン・ド・デュランデル伯爵と話し、同行したことを感謝された。今後も、イシュガルドの貴族たちの頑張りを見守ろう。			フランセル、シャルルマン・ド・デュランデル伯爵と話し、同行したことを感謝された。今後も、イシュガルドの貴族たちの頑張りを見守ろう。			皇都が豊かになるために							
十字鍬通りのフランセルと話す			十字鍬通りのフランセルと話す			皇都が豊かになるために							
フランセルと再度話す			フランセルと再度話す			皇都が豊かになるために							
おふたりのおかげで、無事に商談がまとまりました……！なんとお礼を言ったらいいか！			おふたりのおかげで、無事に商談がまとまりました……！なんとお礼を言ったらいいか！			皇都が豊かになるために							
よい、よい。それよりも、三国の商会を誘致するなら、下準備がいるのではないか？			よい、よい。それよりも、三国の商会を誘致するなら、下準備がいるのではないか？			皇都が豊かになるために							
はい！実はもう、商店を誘致するための候補地がありまして、よかったらおふたりに、ご紹介したいのですが……！			はい！実はもう、商店を誘致するための候補地がありまして、よかったらおふたりに、ご紹介したいのですが……！			皇都が豊かになるために							
ふむ、よかろう。案内を頼もうか。			ふむ、よかろう。案内を頼もうか。			皇都が豊かになるために							
では、おふたりとも、蒼天街の「十字鍬通り」まで来てくれると嬉しいです！			では、おふたりとも、蒼天街の「十字鍬通り」まで来てくれると嬉しいです！			皇都が豊かになるために							
さあ、皇都へ帰りましょう！			さあ、皇都へ帰りましょう！			皇都が豊かになるために							
我が家もついに、商談をとりつけたぞ！これで大手を振って皇都へ戻ることができる！			我が家もついに、商談をとりつけたぞ！これで大手を振って皇都へ戻ることができる！			皇都が豊かになるために							
遅かったな、英雄殿。			遅かったな、英雄殿。			皇都が豊かになるために							
三国の商会を誘致する、フェザーフォール商業区はあちらです！さあ、見に行きましょう！			三国の商会を誘致する、フェザーフォール商業区はあちらです！さあ、見に行きましょう！			皇都が豊かになるために							
この街も、ずいぶんきれいになったものだな。			この街も、ずいぶんきれいになったものだな。			皇都が豊かになるために							
(-？？？？-)フランセル、よく戻ってきたな！			(-？？？？-)フランセル、よく戻ってきたな！			皇都が豊かになるために							
兄上！　姉上！			兄上！　姉上！			皇都が豊かになるために							
オールヴァエルとフォンクリノーさんから、話は聞いたぞ！三国から商談をとりつけて帰ってきたとは、やるじゃないか！			オールヴァエルとフォンクリノーさんから、話は聞いたぞ！三国から商談をとりつけて帰ってきたとは、やるじゃないか！			皇都が豊かになるために							
蒼天街事業は順調のようだな。ディアデム諸島での活動が公的な事業になったのも、素材の有用性を説いたお前のおかげだ。			蒼天街事業は順調のようだな。ディアデム諸島での活動が公的な事業になったのも、素材の有用性を説いたお前のおかげだ。			皇都が豊かになるために							
よく働いているようだな、フランセル。姉として誇らしく思うぞ。			よく働いているようだな、フランセル。姉として誇らしく思うぞ。			皇都が豊かになるために							
いえいえ……！三国に詳しいForenameの案内と、デュランデル伯爵閣下の交渉術のおかげですよ！			いえいえ……！三国に詳しいForenameの案内と、デュランデル伯爵閣下の交渉術のおかげですよ！			皇都が豊かになるために							
Surname殿。日頃からの蒼天街への協力、話には聞いている。まったく、貴公には頭が上がらないな。			Surname殿。日頃からの蒼天街への協力、話には聞いている。まったく、貴公には頭が上がらないな。			皇都が豊かになるために							
それに、デュランデル伯爵閣下。此度は未熟な末弟の商談にご同行くださり……感謝いたします。			それに、デュランデル伯爵閣下。此度は未熟な末弟の商談にご同行くださり……感謝いたします。			皇都が豊かになるために							
い、いや、私は…………。			い、いや、私は…………。			皇都が豊かになるために							
それでだな、フランセル。今日我ら兄妹が集まったのは、そんな末弟の事業を、家全体でさらに支援していくためだ。			それでだな、フランセル。今日我ら兄妹が集まったのは、そんな末弟の事業を、家全体でさらに支援していくためだ。			皇都が豊かになるために							
ああ、三国の商会と取引をとりつけたと言っても、我が国からの輸出がなければ、金は外へ流出するばかり。対等な取引とは言えぬだろう。			ああ、三国の商会と取引をとりつけたと言っても、我が国からの輸出がなければ、金は外へ流出するばかり。対等な取引とは言えぬだろう。			皇都が豊かになるために							
ほら、フェザーフォール商業区の一角に、スカイスチール機工房の分館ができただろう？			ほら、フェザーフォール商業区の一角に、スカイスチール機工房の分館ができただろう？			皇都が豊かになるために							
俺は、そこで職人道具のメンテナンスを請け負うと同時に、諸国向けの製品の展示や販売を始めようと思う。			俺は、そこで職人道具のメンテナンスを請け負うと同時に、諸国向けの製品の展示や販売を始めようと思う。			皇都が豊かになるために							
私とオールヴァエル兄様は、アバラシア雲海やディアデム諸島の、豊かな資源を輸出できるように工面しよう。			私とオールヴァエル兄様は、アバラシア雲海やディアデム諸島の、豊かな資源を輸出できるように工面しよう。			皇都が豊かになるために							
わぁ……！　ありがとうございます！兄上、姉上！			わぁ……！　ありがとうございます！兄上、姉上！			皇都が豊かになるために							
…………彼らは、強いな。			…………彼らは、強いな。			皇都が豊かになるために							
貴族からも平民からも「斜陽」と揶揄され、戦争では肉親や、友や、部下の命を失って……それでも、前を向き続けていたのだろう。			貴族からも平民からも「斜陽」と揶揄され、戦争では肉親や、友や、部下の命を失って……それでも、前を向き続けていたのだろう。			皇都が豊かになるために							
真面目で温厚な彼らの長所は、平和な世にあってこそ生かされるものだったのだな。			真面目で温厚な彼らの長所は、平和な世にあってこそ生かされるものだったのだな。			皇都が豊かになるために							
息子がここにいてくれたら、あの者たちのように、祖国の未来を担ってくれていたら……どんなに良かっただろうと思うが……。			息子がここにいてくれたら、あの者たちのように、祖国の未来を担ってくれていたら……どんなに良かっただろうと思うが……。			皇都が豊かになるために							
