潮風亭のエストリルドは、道行く人を見定めているようだ。			潮風亭のエストリルドは、道行く人を見定めているようだ。			ベテラン・モブハント（初級）							
なに、誤解だと？しかし、お前ほどの強者を準クラン員に留めておくのは、我がクランにとっては勿体ない話だ。			なに、誤解だと？しかし、お前ほどの強者を準クラン員に留めておくのは、我がクランにとっては勿体ない話だ。			ベテラン・モブハント（初級）							
ならば、私の権限を以て、「ベテラン・モブ手配書：初級」に挑戦する権利を与えておこう。依頼をこなしていけば、いずれ正クラン員への道も拓けるはずだ。			ならば、私の権限を以て、「ベテラン・モブ手配書：初級」に挑戦する権利を与えておこう。依頼をこなしていけば、いずれ正クラン員への道も拓けるはずだ。			ベテラン・モブハント（初級）							
言っておくが、初級といえど、その強さは、これまでお前が挑んできた相手とは比較にならんぞ。注意して討伐にあたるように。			言っておくが、初級といえど、その強さは、これまでお前が挑んできた相手とは比較にならんぞ。注意して討伐にあたるように。			ベテラン・モブハント（初級）							
クガネとラールガーズリーチの「セントリオボード」から、「ベテラン・モブ手配書：初級」を入手できるようになりました。			クガネとラールガーズリーチの「セントリオボード」から、「ベテラン・モブ手配書：初級」を入手できるようになりました。			ベテラン・モブハント（初級）							
手配書に記載されたモブの討伐に成功すると、「クラン・セントリオ」から、特別な報酬と交換できる、「セントリオ記章」を得ることができます。			手配書に記載されたモブの討伐に成功すると、「クラン・セントリオ」から、特別な報酬と交換できる、「セントリオ記章」を得ることができます。			ベテラン・モブハント（初級）							
なお、報酬との交換は、潮風亭の「エストリルド」、「サツヤ」、ラールガーズリーチの、「ビレボー」、「リューキン」より、行うことができます。			なお、報酬との交換は、潮風亭の「エストリルド」、「サツヤ」、ラールガーズリーチの、「ビレボー」、「リューキン」より、行うことができます。			ベテラン・モブハント（初級）							
また、「レベル63」以上になると、潮風亭のエストリルドから、新たなクエストが受注でき、「ベテラン・モブ手配書：中級」に挑戦可能となります。			また、「レベル63」以上になると、潮風亭のエストリルドから、新たなクエストが受注でき、「ベテラン・モブ手配書：中級」に挑戦可能となります。			ベテラン・モブハント（初級）							
「モブ」についての詳しい話は、酒場の外にいる「ウルヴィヴァ」から聞いてね！			「モブ」についての詳しい話は、酒場の外にいる「ウルヴィヴァ」から聞いてね！			ベテラン・モブハント（初級）							
潮風亭のエストリルドは、また道行く人を見定めているようだ。			潮風亭のエストリルドは、また道行く人を見定めているようだ。			ベテラン・モブハント（中級）							
ウルヴィヴァと話す			ウルヴィヴァと話す			ベテラン・モブハント（中級）							
わあ、キミ、すごーく強そうだね！私は「クラン・セントリオ」のエストリルド！一緒に「モブハント」しようよ！			わあ、キミ、すごーく強そうだね！私は「クラン・セントリオ」のエストリルド！一緒に「モブハント」しようよ！			ベテラン・モブハント（中級）							
って、素行に問題があって正クラン員になれない、準クラン員のForenameじゃーん！			って、素行に問題があって正クラン員になれない、準クラン員のForenameじゃーん！			ベテラン・モブハント（中級）							
……へぇ、少し見ない間に、ずいぶんといい目をするようになったじゃねぇか……。多くの死闘を経験してきた、猛者の目だ。			……へぇ、少し見ない間に、ずいぶんといい目をするようになったじゃねぇか……。多くの死闘を経験してきた、猛者の目だ。			ベテラン・モブハント（中級）							
今のテメェには、「初級」の仕事は役不足だろうなァ。「中級」に挑戦できるよう、「ウルヴィヴァ」に頼んでみろよ。そうすりゃ、もっと強いヤツと戦えるぜ……クックック……。			今のテメェには、「初級」の仕事は役不足だろうなァ。「中級」に挑戦できるよう、「ウルヴィヴァ」に頼んでみろよ。そうすりゃ、もっと強いヤツと戦えるぜ……クックック……。			ベテラン・モブハント（中級）							
それじゃ、頑張ってね～！			それじゃ、頑張ってね～！			ベテラン・モブハント（中級）							
Forenameか。エストリルドからの紹介を受けてきたのか？なるほど、「中級」に挑戦する頃合いということか……。			Forenameか。エストリルドからの紹介を受けてきたのか？なるほど、「中級」に挑戦する頃合いということか……。			ベテラン・モブハント（中級）							
どうやら、お前は彼女に気に入られたようだぞ。エストリルドは、強い女男が好みだから、悪いことではないのだろう……おそらくな。			どうやら、お前は彼女に気に入られたようだぞ。エストリルドは、強い女男が好みだから、悪いことではないのだろう……おそらくな。			ベテラン・モブハント（中級）							
よし、「中級」に挑戦できるように手配しておこう。だが、言うまでもないが、その危険度は「初級」の比ではない。これまで以上に、心してかかるように。			よし、「中級」に挑戦できるように手配しておこう。だが、言うまでもないが、その危険度は「初級」の比ではない。これまで以上に、心してかかるように。			ベテラン・モブハント（中級）							
「ベテラン・モブ手配書：中級」が開放された！			「ベテラン・モブ手配書：中級」が開放された！			ベテラン・モブハント（中級）							
クガネとラールガーズリーチの「セントリオボード」から、「ベテラン・モブ手配書：中級」を入手できるようになりました。			クガネとラールガーズリーチの「セントリオボード」から、「ベテラン・モブ手配書：中級」を入手できるようになりました。			ベテラン・モブハント（中級）							
また、「レベル66」以上になると、潮風亭のエストリルドから、新たなクエストが受注でき、「ベテラン・モブ手配書：上級」に挑戦可能となります。			また、「レベル66」以上になると、潮風亭のエストリルドから、新たなクエストが受注でき、「ベテラン・モブ手配書：上級」に挑戦可能となります。			ベテラン・モブハント（中級）							
「中級」に挑戦できるよう、「ウルヴィヴァ」に頼んでみろよ。そうすりゃ、もっと強いヤツと戦えるぜ……クックック……。			「中級」に挑戦できるよう、「ウルヴィヴァ」に頼んでみろよ。そうすりゃ、もっと強いヤツと戦えるぜ……クックック……。			ベテラン・モブハント（中級）							
潮風亭のエストリルドは、またまた道行く人を見定めているようだ。			潮風亭のエストリルドは、またまた道行く人を見定めているようだ。			ベテラン・モブハント（上級）							
ウルヴィヴァと話す			ウルヴィヴァと話す			ベテラン・モブハント（上級）							
あ、Forenameちゃんくんだ～。さてさて、あれからキミがどれぐらい成長できたか、私がチェックしてあげる！			あ、Forenameちゃんくんだ～。さてさて、あれからキミがどれぐらい成長できたか、私がチェックしてあげる！			ベテラン・モブハント（上級）							
……また一段と腕を上げやがったみたいだな！クックック、やっぱりテメェはおもしれェ！			……また一段と腕を上げやがったみたいだな！クックック、やっぱりテメェはおもしれェ！			ベテラン・モブハント（上級）							
よし、「ウルヴィヴァ」と話して、「上級」に挑戦してこい！クックック……果たして、テメェは生きて帰って来られるかな？			よし、「ウルヴィヴァ」と話して、「上級」に挑戦してこい！クックック……果たして、テメェは生きて帰って来られるかな？			ベテラン・モブハント（上級）							
それじゃ、怪我しないように気をつけてね～！			それじゃ、怪我しないように気をつけてね～！			ベテラン・モブハント（上級）							
ほう……エストリルドから、「上級」に挑戦しろと言われたのか。彼女がそこまで言うとは、お前の腕はよほどのものらしいな。			ほう……エストリルドから、「上級」に挑戦しろと言われたのか。彼女がそこまで言うとは、お前の腕はよほどのものらしいな。			ベテラン・モブハント（上級）							
よし、わかった。「上級」への挑戦を認めよう。			よし、わかった。「上級」への挑戦を認めよう。			ベテラン・モブハント（上級）							
しかし、「上級」のモブは一筋縄ではいかないぞ。自分の実力をしっかりと把握した上で、敵の力量を見誤らないように注意しろ。			しかし、「上級」のモブは一筋縄ではいかないぞ。自分の実力をしっかりと把握した上で、敵の力量を見誤らないように注意しろ。			ベテラン・モブハント（上級）							
「ベテラン・モブ手配書：上級」が開放された！			「ベテラン・モブ手配書：上級」が開放された！			ベテラン・モブハント（上級）							
クガネとラールガーズリーチの「セントリオボード」から、「ベテラン・モブ手配書：上級」を入手できるようになりました。			クガネとラールガーズリーチの「セントリオボード」から、「ベテラン・モブ手配書：上級」を入手できるようになりました。			ベテラン・モブハント（上級）							
また、「レベル70」になると、潮風亭のエストリルドから、新たなクエストが受注でき、「ベテラン・リスキーモブ手配書」に挑戦可能となります。			また、「レベル70」になると、潮風亭のエストリルドから、新たなクエストが受注でき、「ベテラン・リスキーモブ手配書」に挑戦可能となります。			ベテラン・モブハント（上級）							
よし、「ウルヴィヴァ」と話して、「上級」に挑戦してこい！クックック……果たして、テメェは生きて帰って来られるかな？			よし、「ウルヴィヴァ」と話して、「上級」に挑戦してこい！クックック……果たして、テメェは生きて帰って来られるかな？			ベテラン・モブハント（上級）							
クガネのツルバミは、冒険者に頼みたいことがあるようだ。			クガネのツルバミは、冒険者に頼みたいことがあるようだ。			嗚呼、憧れのシロガネ							
ツルバミから、異人居留地「シロガネ」について調べるように依頼された。船着場：第二波止場にいる「奉行所の役人」に話しかけよう。			ツルバミから、異人居留地「シロガネ」について調べるように依頼された。船着場：第二波止場にいる「奉行所の役人」に話しかけよう。			嗚呼、憧れのシロガネ							
「シロガネ」では、異人にかぎって土地が分譲されているらしい。船着場：第二波止場の「キマチ」に話しかけ、「シロガネ」へ行こう。			「シロガネ」では、異人にかぎって土地が分譲されているらしい。船着場：第二波止場の「キマチ」に話しかけ、「シロガネ」へ行こう。			嗚呼、憧れのシロガネ							
「シロガネ」に着いた。案内をしている「シロガネの役人」に話を聞こう。			「シロガネ」に着いた。案内をしている「シロガネの役人」に話を聞こう。			嗚呼、憧れのシロガネ							
シロガネの役人に話を聞いた。クガネへ戻り「ツルバミ」に報告しよう。			シロガネの役人に話を聞いた。クガネへ戻り「ツルバミ」に報告しよう。			嗚呼、憧れのシロガネ							
ツルバミに報告することができた。異人の冒険者ならば「シロガネ」の土地を手に入れ、家を建てることができるようだ。詳しいことが知りたくなったら、「シロガネ」の居住区担当官に話しかけてみるといいだろう。			ツルバミに報告することができた。異人の冒険者ならば「シロガネ」の土地を手に入れ、家を建てることができるようだ。詳しいことが知りたくなったら、「シロガネ」の居住区担当官に話しかけてみるといいだろう。			嗚呼、憧れのシロガネ							
奉行所の役人と話す			奉行所の役人と話す			嗚呼、憧れのシロガネ							
船着場：第二波止場からシロガネに行く			船着場：第二波止場からシロガネに行く			嗚呼、憧れのシロガネ							
シロガネの役人と話す			シロガネの役人と話す			嗚呼、憧れのシロガネ							
クガネのツルバミに報告			クガネのツルバミに報告			嗚呼、憧れのシロガネ							
そこの道行く異人さん。貴方に頼みたいことがあるのです。			そこの道行く異人さん。貴方に頼みたいことがあるのです。			嗚呼、憧れのシロガネ							
実は、ここクガネを管理するお奉行様が、異人のための居留地を作ったという噂を聞きましてね。一軒家を夢見る私としては、気になって仕方がないのです！			実は、ここクガネを管理するお奉行様が、異人のための居留地を作ったという噂を聞きましてね。一軒家を夢見る私としては、気になって仕方がないのです！			嗚呼、憧れのシロガネ							
ですが、あいにく私は異人ではありません。もしも見物に行こうとして、人前で追い返されでもしたら……恥ずかしいでしょう？			ですが、あいにく私は異人ではありません。もしも見物に行こうとして、人前で追い返されでもしたら……恥ずかしいでしょう？			嗚呼、憧れのシロガネ							
ですから、どうか私の代わりに、シロガネについて、詳しく調べてきてほしいのです。			ですから、どうか私の代わりに、シロガネについて、詳しく調べてきてほしいのです。			嗚呼、憧れのシロガネ							
桟橋にいる「奉行所の役人」さんに声をかければ、件の異人居留地「シロガネ」について教えてくれるはずですわ……。ふふふ……どんな場所なのか、楽しみに待っていますわね？			桟橋にいる「奉行所の役人」さんに声をかければ、件の異人居留地「シロガネ」について教えてくれるはずですわ……。ふふふ……どんな場所なのか、楽しみに待っていますわね？			嗚呼、憧れのシロガネ							
桟橋にいる「奉行所の役人」さんに声をかければ、件の異人居留地「シロガネ」について教えてくれるはずですわ……。ふふふ……どんな場所なのか、楽しみに待っていますわね？			桟橋にいる「奉行所の役人」さんに声をかければ、件の異人居留地「シロガネ」について教えてくれるはずですわ……。ふふふ……どんな場所なのか、楽しみに待っていますわね？			嗚呼、憧れのシロガネ							
よくぞいらした、異邦からの客人よ。拙者は、クガネ奉行に仕える者……何か困り事でもおありかな？			よくぞいらした、異邦からの客人よ。拙者は、クガネ奉行に仕える者……何か困り事でもおありかな？			嗚呼、憧れのシロガネ							
ふむ、なるほど、シロガネに興味があると？ならば拙者が解説して進ぜよう！			ふむ、なるほど、シロガネに興味があると？ならば拙者が解説して進ぜよう！			嗚呼、憧れのシロガネ							
クガネが開港場となって以来、外つ国から訪れる異人は増える一方。この地に長く留まり活動を続ける者も、年々増加しており、都市内の宿だけでは、不便が生じておってな。			クガネが開港場となって以来、外つ国から訪れる異人は増える一方。この地に長く留まり活動を続ける者も、年々増加しており、都市内の宿だけでは、不便が生じておってな。			嗚呼、憧れのシロガネ							
そこで、クガネ奉行が考えられたのが、隣接するシロガネ島に、異人居留地を作るという策なのだ。			そこで、クガネ奉行が考えられたのが、隣接するシロガネ島に、異人居留地を作るという策なのだ。			嗚呼、憧れのシロガネ							
貴方のような異人も相応の地代を払えば、土地を買い、意のままに家を建てることもできる！どうだ、素晴らしい妙案であろう？			貴方のような異人も相応の地代を払えば、土地を買い、意のままに家を建てることもできる！どうだ、素晴らしい妙案であろう？			嗚呼、憧れのシロガネ							
興味があるなら、横にいる「キマチ」に声をかけ船に乗り、現地に着いたならば、「シロガネの役人」から話を聞くといい。さらなる案内を受けることができるだろう。			興味があるなら、横にいる「キマチ」に声をかけ船に乗り、現地に着いたならば、「シロガネの役人」から話を聞くといい。さらなる案内を受けることができるだろう。			嗚呼、憧れのシロガネ							
「シロガネ」などの冒険者居住区は、いくつかの「区」にわかれています。どの「区」に行ってもクエストを進行することができます。			「シロガネ」などの冒険者居住区は、いくつかの「区」にわかれています。どの「区」に行ってもクエストを進行することができます。			嗚呼、憧れのシロガネ							
興味があるなら、横にいる「キマチ」に声をかけ船に乗り、現地に着いたならば、「シロガネの役人」から話を聞くといい。さらなる案内を受けることができるだろう。			興味があるなら、横にいる「キマチ」に声をかけ船に乗り、現地に着いたならば、「シロガネの役人」から話を聞くといい。さらなる案内を受けることができるだろう。			嗚呼、憧れのシロガネ							
「シロガネ」などの冒険者居住区は、いくつかの「区」にわかれています。どの「区」に行ってもクエストを進行することができます。			「シロガネ」などの冒険者居住区は、いくつかの「区」にわかれています。どの「区」に行ってもクエストを進行することができます。			嗚呼、憧れのシロガネ							
ここは、開港場「クガネ」に併設された、異人居留地「シロガネ」でございます。			ここは、開港場「クガネ」に併設された、異人居留地「シロガネ」でございます。			嗚呼、憧れのシロガネ							
どうやら、貴方様はひんがしの国の出ではないようですね？ならば、土地を買い、家を建てる権利がございます。			どうやら、貴方様はひんがしの国の出ではないようですね？ならば、土地を買い、家を建てる権利がございます。			嗚呼、憧れのシロガネ							
個人でも団体でも、土地代を支払っていただけるならば大歓迎。手続きについて、より詳細な解説をお望みでしたら、奥にいる「居住区担当官」にお声がけください。			個人でも団体でも、土地代を支払っていただけるならば大歓迎。手続きについて、より詳細な解説をお望みでしたら、奥にいる「居住区担当官」にお声がけください。			嗚呼、憧れのシロガネ							
そうそう、もしお知り合いに、シロガネに興味を持っておられる方がいらっしゃいましたら、ぜひ見聞したことを伝えて差し上げてくださいね。			そうそう、もしお知り合いに、シロガネに興味を持っておられる方がいらっしゃいましたら、ぜひ見聞したことを伝えて差し上げてくださいね。			嗚呼、憧れのシロガネ							
個人でも団体でも、土地代を支払っていただけるならば大歓迎。手続きについて、より詳細な解説をお望みでしたら、奥にいる「居住区担当官」にお声がけください。			個人でも団体でも、土地代を支払っていただけるならば大歓迎。手続きについて、より詳細な解説をお望みでしたら、奥にいる「居住区担当官」にお声がけください。			嗚呼、憧れのシロガネ							
おかえりなさい、異人さん！シロガネについて、見聞きしたことを教えてくださいな！			おかえりなさい、異人さん！シロガネについて、見聞きしたことを教えてくださいな！			嗚呼、憧れのシロガネ							
なるほど、そんなにも風光明媚な場所だったのですね。嗚呼、ますますシロガネが気になってきました！			なるほど、そんなにも風光明媚な場所だったのですね。嗚呼、ますますシロガネが気になってきました！			嗚呼、憧れのシロガネ							
ひんがしの国の出では、土地を買えぬとのことですが、異人の殿方に嫁入りすれば、何も問題がないということ……。それでは、さっそく婿候補を探してきますわ！			ひんがしの国の出では、土地を買えぬとのことですが、異人の殿方に嫁入りすれば、何も問題がないということ……。それでは、さっそく婿候補を探してきますわ！			嗚呼、憧れのシロガネ							
「クガネ」のエーテライトから、「シロガネ」への転送が可能になりました！			「クガネ」のエーテライトから、「シロガネ」への転送が可能になりました！			嗚呼、憧れのシロガネ							
クガネの近東風の商人は、何かを頼みたいようだ。			クガネの近東風の商人は、何かを頼みたいようだ。			職人の矜恃							
腰の低い使用人と話す			腰の低い使用人と話す			職人の矜恃							
熟練の提灯職人を探す			熟練の提灯職人を探す			職人の矜恃							
近東風の商人に提灯入りの木箱を渡す			近東風の商人に提灯入りの木箱を渡す			職人の矜恃							
あらやだ……貴方、エオルゼアの冒険者じゃない？アタシはサベネア出身の商人なんだけど……ちょうどいいわ、話をお聞きなさいな。			あらやだ……貴方、エオルゼアの冒険者じゃない？アタシはサベネア出身の商人なんだけど……ちょうどいいわ、話をお聞きなさいな。			職人の矜恃							
注文した品を、楽座街まで取りに行かせた使用人が、半日経っても、まだ帰ってこないのよ。細部までこだわった特注品なんだから、早く手元に欲しいじゃない？			注文した品を、楽座街まで取りに行かせた使用人が、半日経っても、まだ帰ってこないのよ。細部までこだわった特注品なんだから、早く手元に欲しいじゃない？			職人の矜恃							
ちゃんと、お駄賃はあげるから、どこかでサボってる使用人の、お尻を叩いてきなさいな。場所は「楽座街」よ、わかったわね？			ちゃんと、お駄賃はあげるから、どこかでサボってる使用人の、お尻を叩いてきなさいな。場所は「楽座街」よ、わかったわね？			職人の矜恃							
ちゃんと、お駄賃はあげるから、どこかでサボってる使用人の、お尻を叩いてきなさいな。場所は「楽座街」よ、わかったわね？			ちゃんと、お駄賃はあげるから、どこかでサボってる使用人の、お尻を叩いてきなさいな。場所は「楽座街」よ、わかったわね？			職人の矜恃							
な、なるほど……旦那様に頼まれて、帰りが遅い私のことを呼びに来たのですね？お尻のことは……いつものことなので、忘れてください。			な、なるほど……旦那様に頼まれて、帰りが遅い私のことを呼びに来たのですね？お尻のことは……いつものことなので、忘れてください。			職人の矜恃							
職人の仕事場まで出向き、直接商品を受け取る約束だったのですが、慣れない異国の街並みに、迷ってしまったのです。世界を渡り歩く旅人さんなら、そんなことはないのでしょうが……。			職人の仕事場まで出向き、直接商品を受け取る約束だったのですが、慣れない異国の街並みに、迷ってしまったのです。世界を渡り歩く旅人さんなら、そんなことはないのでしょうが……。			職人の矜恃							
あの……私の代わりに「楽座街」で「熟練の提灯職人」を探し、「提灯入りの木箱」を受け取って来てもらえないでしょうか？私は、旦那様に叱られてまいりますので……。			あの……私の代わりに「楽座街」で「熟練の提灯職人」を探し、「提灯入りの木箱」を受け取って来てもらえないでしょうか？私は、旦那様に叱られてまいりますので……。			職人の矜恃							
使用人から聞いたわ、ありがとう。それにしても、あぁ……楽しみだわ。船のどこに、飾ってあげようかしら。			使用人から聞いたわ、ありがとう。それにしても、あぁ……楽しみだわ。船のどこに、飾ってあげようかしら。			職人の矜恃							
遅えじゃねえか！ったく、これだから金持ちって奴ぁ、いけすかねえんだ。ほれ、約束の品だ……受け取れ。			遅えじゃねえか！ったく、これだから金持ちって奴ぁ、いけすかねえんだ。ほれ、約束の品だ……受け取れ。			職人の矜恃							
まったく、七面倒な注文をつけやがって。おかげで、また腕が上がっちまったぜ！			まったく、七面倒な注文をつけやがって。おかげで、また腕が上がっちまったぜ！			職人の矜恃							
そいつは、次にオレが提灯を作るまでは、クガネで最高の一品さ。ほら、とっとと持ってきな。三日三晩寝てねえから、オレぁ、帰るとするぜ。			そいつは、次にオレが提灯を作るまでは、クガネで最高の一品さ。ほら、とっとと持ってきな。三日三晩寝てねえから、オレぁ、帰るとするぜ。			職人の矜恃							
使用人から聞いてるわよ。「提灯入りの木箱」は、どこかしら？			使用人から聞いてるわよ。「提灯入りの木箱」は、どこかしら？			職人の矜恃							
あらやだ、カワイイ！アタシの感性と、異国情緒溢れる風情とが相まって、最高じゃない！となると……あの件はどうなってるの？			あらやだ、カワイイ！アタシの感性と、異国情緒溢れる風情とが相まって、最高じゃない！となると……あの件はどうなってるの？			職人の矜恃							
船首像の彫刻でしたら、一点を除いて、滞りなく。ただ、クガネの船大工は、仕事に対しての矜恃が少々高いもので、無理に頼んだ分、予定よりも金額が……。			船首像の彫刻でしたら、一点を除いて、滞りなく。ただ、クガネの船大工は、仕事に対しての矜恃が少々高いもので、無理に頼んだ分、予定よりも金額が……。			職人の矜恃							
お金なんて、いくらでも使っていいわ。言うことを聞かなければ、約束手形で顔をはたいてやればいいのよ。さあ、さっそく船に行って、この提灯を飾り付けましょ。			お金なんて、いくらでも使っていいわ。言うことを聞かなければ、約束手形で顔をはたいてやればいいのよ。さあ、さっそく船に行って、この提灯を飾り付けましょ。			職人の矜恃							
あらやだ、お駄賃あげてなかったわね。またね、エオルゼアの冒険者さん。			あらやだ、お駄賃あげてなかったわね。またね、エオルゼアの冒険者さん。			職人の矜恃							
「提灯入りの木箱」を、受け取ってきていただけたのですね。大変お手数をおかけしました。それでは、旦那様にお渡しください。			「提灯入りの木箱」を、受け取ってきていただけたのですね。大変お手数をおかけしました。それでは、旦那様にお渡しください。			職人の矜恃							
クガネの気弱そうな女は、旅慣れた者を探しているようだ。			クガネの気弱そうな女は、旅慣れた者を探しているようだ。			故郷を思いて							
イバラに「不満を表す」をする			イバラに「不満を表す」をする			故郷を思いて							
イバラに再度「不満を表す」をする			イバラに再度「不満を表す」をする			故郷を思いて							
気弱そうな女と話す			気弱そうな女と話す			故郷を思いて							
あ、あの……旅の方ですか？それなら、少しお話を聞いていただきたいのです。			あ、あの……旅の方ですか？それなら、少しお話を聞いていただきたいのです。			故郷を思いて							
さきほど、お屋敷の主人に頼まれたものを市で購入したのですが、言われるままに支払ってしまった金額が、相場よりも高くて……。店主に抗議しに行ったところ、相手にもされませんでした。			さきほど、お屋敷の主人に頼まれたものを市で購入したのですが、言われるままに支払ってしまった金額が、相場よりも高くて……。店主に抗議しに行ったところ、相手にもされませんでした。			故郷を思いて							
主人は厳しい方で、このままではお給金が減らされてしまいます。旅慣れたあなたでしたら、交渉にも長けているのではないかと、こうしてお話をさせていただきました。			主人は厳しい方で、このままではお給金が減らされてしまいます。旅慣れたあなたでしたら、交渉にも長けているのではないかと、こうしてお話をさせていただきました。			故郷を思いて							
私の代わりに、イバラさんに「不満を表して」いただけませんか？そして、お金を取り戻していただきたいんです。			私の代わりに、イバラさんに「不満を表して」いただけませんか？そして、お金を取り戻していただきたいんです。			故郷を思いて							
私の代わりに、イバラさんに「不満を表して」いただけませんか？そして、お金を取り戻していただきたいんです。			私の代わりに、イバラさんに「不満を表して」いただけませんか？そして、お金を取り戻していただきたいんです。			故郷を思いて							
言いがかりかい？あの女だって、ちゃんと納得して買っていったんだ。関係ない奴は、とっとと失せな！			言いがかりかい？あの女だって、ちゃんと納得して買っていったんだ。関係ない奴は、とっとと失せな！			故郷を思いて							
なんだい？　こっちは忙しいんだ。客じゃないなら、どっかに行きな。			なんだい？　こっちは忙しいんだ。客じゃないなら、どっかに行きな。			故郷を思いて							
し、しつこい奴だね。ほかのカモ……じゃない、客に聞かれたらどうするんだい。			し、しつこい奴だね。ほかのカモ……じゃない、客に聞かれたらどうするんだい。			故郷を思いて							
わかった、わかった！どうせ、端金さ。			わかった、わかった！どうせ、端金さ。			故郷を思いて							
返してやるから取りに来いって、あの女に伝えな。アンタが盗まないとも、限らないからね。			返してやるから取りに来いって、あの女に伝えな。アンタが盗まないとも、限らないからね。			故郷を思いて							
返してやるから取りに来いって、あの女に伝えな。アンタが盗まないとも、限らないからね。			返してやるから取りに来いって、あの女に伝えな。アンタが盗まないとも、限らないからね。			故郷を思いて							
ありがとうございます！取りに行くくらいは、自分でできるようにならないとですね。あなたが優しい人で、本当によかった。			ありがとうございます！取りに行くくらいは、自分でできるようにならないとですね。あなたが優しい人で、本当によかった。			故郷を思いて							
なんだか、故郷の父のことを思い出します。父は、いつも家族のために働いてくれて……。そのせいで、仕事中に大怪我を負って、今は治療中なんです。			なんだか、故郷の父のことを思い出します。父は、いつも家族のために働いてくれて……。そのせいで、仕事中に大怪我を負って、今は治療中なんです。			故郷を思いて							
代わりに私が出稼ぎに出てきたのですが、辛くはありません。家族のためにも、もっと頑張らないと……。本当に、ありがとうございました。			代わりに私が出稼ぎに出てきたのですが、辛くはありません。家族のためにも、もっと頑張らないと……。本当に、ありがとうございました。			故郷を思いて							
クガネのアマジは、旅人に頼みたいことがあるようだ。			クガネのアマジは、旅人に頼みたいことがあるようだ。			至高の湯							
コトカゼと話し、ひんがしの酒を入手			コトカゼと話し、ひんがしの酒を入手			至高の湯							
アマジと話す			アマジと話す			至高の湯							
指定地点にひんがしの酒を使う			指定地点にひんがしの酒を使う			至高の湯							
アマジと話す			アマジと話す			至高の湯							
お前さん、旅のお客さんかね？こんなこと頼むのは気が引けるんじゃが、背に腹は代えられん……ひとつ、頼まれてくれんか。			お前さん、旅のお客さんかね？こんなこと頼むのは気が引けるんじゃが、背に腹は代えられん……ひとつ、頼まれてくれんか。			至高の湯							
ここ「望海泉」では、温泉に酒を入れる、酒風呂というモンをやっていてな、そりゃ大反響なんじゃ！……が、ちと張り切りすぎて、腰をやられちまってのう。			ここ「望海泉」では、温泉に酒を入れる、酒風呂というモンをやっていてな、そりゃ大反響なんじゃ！……が、ちと張り切りすぎて、腰をやられちまってのう。			至高の湯							
