ミンフィリアは、さっそく冒険者に蛮神問題に関する依頼をしたいようだ。			ミンフィリアは、さっそく冒険者に蛮神問題に関する依頼をしたいようだ。			蛮神の真なる力							
人はみな、闇の淵で力を求めるもの……。それはあなたも、私も、そして蛮族も変わりありません……。			人はみな、闇の淵で力を求めるもの……。それはあなたも、私も、そして蛮族も変わりありません……。			蛮神の真なる力							
始まりの闇は、猛き赤熱の民……アマルジャ族。新たな力宿せし焔神「イフリート」が、すでに現に顕れている可能性は高いと言えます……。			始まりの闇は、猛き赤熱の民……アマルジャ族。新たな力宿せし焔神「イフリート」が、すでに現に顕れている可能性は高いと言えます……。			蛮神の真なる力							
砂の都の言葉の如く、速さこそが勝利を呼びましょう。ウルダハの担当である、サンクレッドから指示を受けるのです……。			砂の都の言葉の如く、速さこそが勝利を呼びましょう。ウルダハの担当である、サンクレッドから指示を受けるのです……。			蛮神の真なる力							
双蛇党：統合司令部のスカーレット少牙士は、闘神「オーディン」の討伐計画に協力してほしいようだ。			双蛇党：統合司令部のスカーレット少牙士は、闘神「オーディン」の討伐計画に協力してほしいようだ。			漆黒の闘神オーディン							
スカーレット少牙士から、闘神「オーディン」の討伐計画に参加してほしいと頼まれた。南部森林のウルズの泉で指揮を執っている「オ・アパ・ペシ」に計画について尋ねよう。			スカーレット少牙士から、闘神「オーディン」の討伐計画に参加してほしいと頼まれた。南部森林のウルズの泉で指揮を執っている「オ・アパ・ペシ」に計画について尋ねよう。			漆黒の闘神オーディン							
オ・アパ・ペシから計画について聞いた。彼らは、何度も姿を変えて再出現する「オーディン」の謎を解くため、討伐の様子を観測したいそうだ。冒険者部隊を率い、「オーディン」を討伐しよう。※コンテンツファインダーから攻略に参加できます。			オ・アパ・ペシから計画について聞いた。彼らは、何度も姿を変えて再出現する「オーディン」の謎を解くため、討伐の様子を観測したいそうだ。冒険者部隊を率い、「オーディン」を討伐しよう。※コンテンツファインダーから攻略に参加できます。			漆黒の闘神オーディン							
「オーディン」を討伐した。ウルズの泉の「オ・アパ・ペシ」から、観測の成果を聞こう。			「オーディン」を討伐した。ウルズの泉の「オ・アパ・ペシ」から、観測の成果を聞こう。			漆黒の闘神オーディン							
オ・アパ・ペシとエ・スミ・ヤンは、「斬鉄剣」こそが「オーディン」の本体である可能性を語った。しかし、回収された斬鉄剣は、移送を受け持った神勇隊の隊士に持ち去られてしまった。オ・アパ・ペシらが討伐計画を練り直し、再びオーディンに挑むときには、改めて力を貸そう。			オ・アパ・ペシとエ・スミ・ヤンは、「斬鉄剣」こそが「オーディン」の本体である可能性を語った。しかし、回収された斬鉄剣は、移送を受け持った神勇隊の隊士に持ち去られてしまった。オ・アパ・ペシらが討伐計画を練り直し、再びオーディンに挑むときには、改めて力を貸そう。			漆黒の闘神オーディン							
ウルズの泉のオ・アパ・ペシと話す			ウルズの泉のオ・アパ・ペシと話す			漆黒の闘神オーディン							
闘神「オーディン」を討伐			闘神「オーディン」を討伐			漆黒の闘神オーディン							
ウルズの泉のオ・アパ・ペシと話す			ウルズの泉のオ・アパ・ペシと話す			漆黒の闘神オーディン							
Forename殿、よいところに。貴官君は、「オーディン」を知っているな？そう、貴官君が以前に調査した古の蛮神だ。			Forename殿、よいところに。貴官君は、「オーディン」を知っているな？そう、貴官君が以前に調査した古の蛮神だ。			漆黒の闘神オーディン							
かの蛮神は、聖典に「闘神」とも記されている強大な存在……。今、その討伐計画が動いている。これに、貴官君も参加してほしいのだ。			かの蛮神は、聖典に「闘神」とも記されている強大な存在……。今、その討伐計画が動いている。これに、貴官君も参加してほしいのだ。			漆黒の闘神オーディン							
本計画の指揮は「オ・アパ・ペシ」様がお執りになっている。まずは、「ウルズの泉」にいらっしゃる、かの御方に会って、計画の内容を確認してくれ……頼んだぞ！			本計画の指揮は「オ・アパ・ペシ」様がお執りになっている。まずは、「ウルズの泉」にいらっしゃる、かの御方に会って、計画の内容を確認してくれ……頼んだぞ！			漆黒の闘神オーディン							
本計画の指揮は「オ・アパ・ペシ」様がお執りになっている。まずは、「ウルズの泉」にいらっしゃる、かの御方に会って、計画の内容を確認してくれ……頼んだぞ！			本計画の指揮は「オ・アパ・ペシ」様がお執りになっている。まずは、「ウルズの泉」にいらっしゃる、かの御方に会って、計画の内容を確認してくれ……頼んだぞ！			漆黒の闘神オーディン							
ああ、久し振りだね、冒険者さん。あなたの協力に感謝するよ。……さっそくだけど、計画について説明しよう。			ああ、久し振りだね、冒険者さん。あなたの協力に感謝するよ。……さっそくだけど、計画について説明しよう。			漆黒の闘神オーディン							
実を言うと、闘神「オーディン」の討伐自体は、冒険者の活躍で、すでに幾度も成功しているんだよ。			実を言うと、闘神「オーディン」の討伐自体は、冒険者の活躍で、すでに幾度も成功しているんだよ。			漆黒の闘神オーディン							
だけど、件の蛮神は、しばらくすると必ず再出現している。しかも、召喚者となる信者の存在が確認されていない上、出現の度に姿が変わるなど、謎だらけだ。			だけど、件の蛮神は、しばらくすると必ず再出現している。しかも、召喚者となる信者の存在が確認されていない上、出現の度に姿が変わるなど、謎だらけだ。			漆黒の闘神オーディン							
この性質は、ほかの蛮神たちと、あまりにかけ離れている。聖典を紐解いても、謎の答えとなるような記述はなかった。			この性質は、ほかの蛮神たちと、あまりにかけ離れている。聖典を紐解いても、謎の答えとなるような記述はなかった。			漆黒の闘神オーディン							
そこで、今回の計画だ。まず、冒険者部隊によって、再度「オーディン」討伐を敢行。その様子を僕と、僕の師匠であるエ・スミ様で観測する。			そこで、今回の計画だ。まず、冒険者部隊によって、再度「オーディン」討伐を敢行。その様子を僕と、僕の師匠であるエ・スミ様で観測する。			漆黒の闘神オーディン							
直に討伐の瞬間を見ることができれば、「オーディン」の謎に繋がる何かが、わかるかもしれない。			直に討伐の瞬間を見ることができれば、「オーディン」の謎に繋がる何かが、わかるかもしれない。			漆黒の闘神オーディン							
あなたにお願いしたいのは、その冒険者部隊を率いて、「オーディン」を討伐することさ。光の戦士としての腕を見こんで、ぜひとも頼む。			あなたにお願いしたいのは、その冒険者部隊を率いて、「オーディン」を討伐することさ。光の戦士としての腕を見こんで、ぜひとも頼む。			漆黒の闘神オーディン							
では、準備ができたら、声をかけてくれるかい？精霊の力を借りて、「オーディン」を泉におびき寄せよう。			では、準備ができたら、声をかけてくれるかい？精霊の力を借りて、「オーディン」を泉におびき寄せよう。			漆黒の闘神オーディン							
あなたの準備ができたら、声をかけてくれ。精霊の力を借りて、「オーディン」を泉におびき寄せよう。よろしく頼むよ、冒険者さん。			あなたの準備ができたら、声をかけてくれ。精霊の力を借りて、「オーディン」を泉におびき寄せよう。よろしく頼むよ、冒険者さん。			漆黒の闘神オーディン							
闘神「オーディン」の討伐、お見事だったね。やはり、あなたに依頼したのは正解だったよ。			闘神「オーディン」の討伐、お見事だったね。やはり、あなたに依頼したのは正解だったよ。			漆黒の闘神オーディン							
おかげで、「オーディン」討伐の瞬間を、直に観測できた。その成果について、エ・スミ様を交えて話そう。……ああ、ちょうどいらっしゃったようだ。			おかげで、「オーディン」討伐の瞬間を、直に観測できた。その成果について、エ・スミ様を交えて話そう。……ああ、ちょうどいらっしゃったようだ。			漆黒の闘神オーディン							
Forename、戦いを見せていただきました。シルフィーに、良い土産話ができそうです。あなたの活躍を聞けば、あの子も喜ぶでしょう。			Forename、戦いを見せていただきました。シルフィーに、良い土産話ができそうです。あなたの活躍を聞けば、あの子も喜ぶでしょう。			漆黒の闘神オーディン							
Forename、戦いを見せていただきました。さすがは光の戦士、実に頼もしい活躍ぶりでしたね。			Forename、戦いを見せていただきました。さすがは光の戦士、実に頼もしい活躍ぶりでしたね。			漆黒の闘神オーディン							
この度は、計画へのご協力、ありがとうございました。私はエ・スミ・ヤン。幻術士ギルドのギルドマスターを務める者です。			この度は、計画へのご協力、ありがとうございました。私はエ・スミ・ヤン。幻術士ギルドのギルドマスターを務める者です。			漆黒の闘神オーディン							
さて、肝心の「オーディン」についてですが……。あなたが討伐してくれたおかげで、いくつかの「謎」が解明しました。			さて、肝心の「オーディン」についてですが……。あなたが討伐してくれたおかげで、いくつかの「謎」が解明しました。			漆黒の闘神オーディン							
通常、蛮神が討伐されると、その肉体はエーテルに還り、大地へ還元されます……ここまではいいですね？			通常、蛮神が討伐されると、その肉体はエーテルに還り、大地へ還元されます……ここまではいいですね？			漆黒の闘神オーディン							
僕らが確認したかぎり、「オーディン」も同様だったよ。けれど、あなたも見たとおり、かの蛮神が持つ魔剣、「斬鉄剣」だけは、消えずにその場に遺された……。			僕らが確認したかぎり、「オーディン」も同様だったよ。けれど、あなたも見たとおり、かの蛮神が持つ魔剣、「斬鉄剣」だけは、消えずにその場に遺された……。			漆黒の闘神オーディン							
件の剣を確認しましたが、恐ろしいほどのエーテル密度を保っていました。……おそらく、あの剣こそが「オーディン」の本体なのでしょう。			件の剣を確認しましたが、恐ろしいほどのエーテル密度を保っていました。……おそらく、あの剣こそが「オーディン」の本体なのでしょう。			漆黒の闘神オーディン							
つまり、これまでは完全に討伐できていなかったんだ。生き残った「斬鉄剣」は、最後に触れた者の肉体を模倣し、新たな「オーディン」を作り上げる……これが再出現の仕組みさ。			つまり、これまでは完全に討伐できていなかったんだ。生き残った「斬鉄剣」は、最後に触れた者の肉体を模倣し、新たな「オーディン」を作り上げる……これが再出現の仕組みさ。			漆黒の闘神オーディン							
ただし、クリスタルを捧げる信者がいない以上、肉体を構成するには、森に漂うエーテルを使うしかありません。それゆえに、再出現に時間がかかるのでしょう。			ただし、クリスタルを捧げる信者がいない以上、肉体を構成するには、森に漂うエーテルを使うしかありません。それゆえに、再出現に時間がかかるのでしょう。			漆黒の闘神オーディン							
この仮説で、「再出現に一定の時間がかかること」や、「再出現の度に姿が変わること」という謎が説明できるね。			この仮説で、「再出現に一定の時間がかかること」や、「再出現の度に姿が変わること」という謎が説明できるね。			漆黒の闘神オーディン							
しかし、「信者の存在もなく存在を維持できるのか」という謎は、解明できませんでした。召喚者の思いが、それだけ強かったのか、それとも……。			しかし、「信者の存在もなく存在を維持できるのか」という謎は、解明できませんでした。召喚者の思いが、それだけ強かったのか、それとも……。			漆黒の闘神オーディン							
「オーディン」が、あえて「闘神」と呼ばれたのには、理由があるのかもしれません……。「蛮神」という存在について、再検証の余地がありそうです。			「オーディン」が、あえて「闘神」と呼ばれたのには、理由があるのかもしれません……。「蛮神」という存在について、再検証の余地がありそうです。			漆黒の闘神オーディン							
念のために僕の方から、「暁」のウリエンジェ殿に、今回判明した情報を伝えておくよ。あなたも、何か気がついたら、彼に伝えてほしい。			念のために僕の方から、「暁」のウリエンジェ殿に、今回判明した情報を伝えておくよ。あなたも、何か気がついたら、彼に伝えてほしい。			漆黒の闘神オーディン							
……謎は残ったけど、「斬鉄剣」を回収することができた。あとは、この剣を封印すれば、闘神「オーディン」が再出現することもないはずさ。			……謎は残ったけど、「斬鉄剣」を回収することができた。あとは、この剣を封印すれば、闘神「オーディン」が再出現することもないはずさ。			漆黒の闘神オーディン							
角尊様方、お話中に申し訳ありません！緊急事態です！			角尊様方、お話中に申し訳ありません！緊急事態です！			漆黒の闘神オーディン							
回収した「斬鉄剣」を神勇隊が移送していたところ、隊士のひとりがそれを奪い、行方をくらませました。私がついていながら……申し訳ありません！			回収した「斬鉄剣」を神勇隊が移送していたところ、隊士のひとりがそれを奪い、行方をくらませました。私がついていながら……申し訳ありません！			漆黒の闘神オーディン							
馬鹿な！？あんな危険な物を持ち去るだなんて……。奪った理由に、心当たりはあるのかい？			馬鹿な！？あんな危険な物を持ち去るだなんて……。奪った理由に、心当たりはあるのかい？			漆黒の闘神オーディン							
いえ、それがまったく……。消えたのは実に模範的な隊士で、前科もありませんでした。そもそも、あのような物を奪ったところで、利はありません。			いえ、それがまったく……。消えたのは実に模範的な隊士で、前科もありませんでした。そもそも、あのような物を奪ったところで、利はありません。			漆黒の闘神オーディン							
オ・アパ、蛮神は人をテンパード化させる能力を持ちます。……もし本当に「斬鉄剣」が「オーディン」の本体ならば、人を操ることができたとして、何の不思議があるでしょう。			オ・アパ、蛮神は人をテンパード化させる能力を持ちます。……もし本当に「斬鉄剣」が「オーディン」の本体ならば、人を操ることができたとして、何の不思議があるでしょう。			漆黒の闘神オーディン							
確かに……その可能性は否定できません。くっ、予想できて当然なのに、考えもしなかった……！			確かに……その可能性は否定できません。くっ、予想できて当然なのに、考えもしなかった……！			漆黒の闘神オーディン							
リュウィン隊長、すまない……。僕の考えが甘かったばかりに、君と、君の部下には、申し訳ないことをしてしまった……。			リュウィン隊長、すまない……。僕の考えが甘かったばかりに、君と、君の部下には、申し訳ないことをしてしまった……。			漆黒の闘神オーディン							
「斬鉄剣」を持ち去った隊士については、神勇隊と鬼哭隊を動員して、捜索するとしましょう。ですが、「オーディン」の討伐計画は見直さなければ……			「斬鉄剣」を持ち去った隊士については、神勇隊と鬼哭隊を動員して、捜索するとしましょう。ですが、「オーディン」の討伐計画は見直さなければ……			漆黒の闘神オーディン							
ええ、「斬鉄剣」の対処法を確立する必要がありますね。このような被害を、また出す訳にはいきませんから。			ええ、「斬鉄剣」の対処法を確立する必要がありますね。このような被害を、また出す訳にはいきませんから。			漆黒の闘神オーディン							
……冒険者さん、今回は計画に参加してくれてありがとう。次の機会は必ず作るから、また力を貸してほしい。			……冒険者さん、今回は計画に参加してくれてありがとう。次の機会は必ず作るから、また力を貸してほしい。			漆黒の闘神オーディン							
無事、「オーディン」の討伐に成功したそうだな。こちらにも連絡が来ているぞ。さすがは、光の戦士だ。			無事、「オーディン」の討伐に成功したそうだな。こちらにも連絡が来ているぞ。さすがは、光の戦士だ。			漆黒の闘神オーディン							
「オ・アパ・ペシ」様が、討伐の結果について、貴官君と話がしたいとおっしゃっている。「ウルズの泉」で待っておられるゆえ、すぐに向かってくれ。			「オ・アパ・ペシ」様が、討伐の結果について、貴官君と話がしたいとおっしゃっている。「ウルズの泉」で待っておられるゆえ、すぐに向かってくれ。			漆黒の闘神オーディン							
「暁の血盟」のサンクレッドは、蛮神「イフリート」を討伐してほしいようだ。			「暁の血盟」のサンクレッドは、蛮神「イフリート」を討伐してほしいようだ。			真なる焔神イフリート							
蛮神「イフリート」が再召喚されてしまったらしい。ウルダハの不滅隊：作戦本部にいる「スウィフト大闘佐」に話を聞こう。			蛮神「イフリート」が再召喚されてしまったらしい。ウルダハの不滅隊：作戦本部にいる「スウィフト大闘佐」に話を聞こう。			真なる焔神イフリート							
スウィフト大闘佐によると「イフリート」のいる「炎帝祭跡」に行くためには、南ザナラーンのザハラク戦陣奥地にある「エーテライト」を使うといいらしい。			スウィフト大闘佐によると「イフリート」のいる「炎帝祭跡」に行くためには、南ザナラーンのザハラク戦陣奥地にある「エーテライト」を使うといいらしい。			真なる焔神イフリート							
エーテライトと交感した。仲間と共に、再召喚された蛮神「イフリート」を倒そう。※コンテンツファインダーから攻略に参加できます。			エーテライトと交感した。仲間と共に、再召喚された蛮神「イフリート」を倒そう。※コンテンツファインダーから攻略に参加できます。			真なる焔神イフリート							
不滅隊：作戦本部のスウィフト大闘佐と話す			不滅隊：作戦本部のスウィフト大闘佐と話す			真なる焔神イフリート							
ザハラク戦陣奥地のエーテライトと交感			ザハラク戦陣奥地のエーテライトと交感			真なる焔神イフリート							
さっそく、俺の出番さ。よろしくな！			さっそく、俺の出番さ。よろしくな！			真なる焔神イフリート							
アマルジャ族による神降ろし……。ウルダハの「不滅隊」からの連絡によれば、蛮神「イフリート」は、すでに再召喚されたようだ。			アマルジャ族による神降ろし……。ウルダハの「不滅隊」からの連絡によれば、蛮神「イフリート」は、すでに再召喚されたようだ。			真なる焔神イフリート							
俺も一緒に向かいたいところだが……バルデシオン委員会から止められていてね。……すまないが、できるのは情報の共有だけだ。			俺も一緒に向かいたいところだが……バルデシオン委員会から止められていてね。……すまないが、できるのは情報の共有だけだ。			真なる焔神イフリート							
……なんでも、アシエンに憑依された影響で、今の俺は、テンパード化しやすい体らしい。			……なんでも、アシエンに憑依された影響で、今の俺は、テンパード化しやすい体らしい。			真なる焔神イフリート							
これ以上迷惑をかけれないからな……。悔しいけど、今回は自重して情報解析に回るつもりだ。			これ以上迷惑をかけれないからな……。悔しいけど、今回は自重して情報解析に回るつもりだ。			真なる焔神イフリート							
蛮神「イフリート」については、「不滅隊」が先行調査を行っているはずだ。			蛮神「イフリート」については、「不滅隊」が先行調査を行っているはずだ。			真なる焔神イフリート							
ウルダハ「不滅隊：作戦本部」の、「スウィフト大闘佐」に話を聞くといい。			ウルダハ「不滅隊：作戦本部」の、「スウィフト大闘佐」に話を聞くといい。			真なる焔神イフリート							
ミンフィリアが言っていたとおり、今回のは手強いぞ……。冒険者の仲間を集めて、十分に注意をして向かってくれ。			ミンフィリアが言っていたとおり、今回のは手強いぞ……。冒険者の仲間を集めて、十分に注意をして向かってくれ。			真なる焔神イフリート							
[GC Rank]Forename、……来たか「暁」の者よ。数々の強敵を屠ってきた、貴公の腕を借りたい。これは、ラウバーン局長からの任務でもある。			[GC Rank]Forename、……来たか「暁」の者よ。数々の強敵を屠ってきた、貴公の腕を借りたい。これは、ラウバーン局長からの任務でもある。			真なる焔神イフリート							
すでに「暁」に情報を伝えてあるとおり、アマルジャ族による神降ろしが確認された。			すでに「暁」に情報を伝えてあるとおり、アマルジャ族による神降ろしが確認された。			真なる焔神イフリート							
貴公には、再召喚された蛮神「イフリート」の撃退に向かってほしいのだ。			貴公には、再召喚された蛮神「イフリート」の撃退に向かってほしいのだ。			真なる焔神イフリート							
蛮神「イフリート」を強襲するには、アマルジャ族の拠点「ザハラク戦陣」の奥深くにある、奴らのエーテライトを利用するのが良かろう。			蛮神「イフリート」を強襲するには、アマルジャ族の拠点「ザハラク戦陣」の奥深くにある、奴らのエーテライトを利用するのが良かろう。			真なる焔神イフリート							
どうやら連中は、破棄されたエーテライトの残骸を回収し、独自にエーテライト網を作りあげたようだ。これならば、我ら人も利用できよう。			どうやら連中は、破棄されたエーテライトの残骸を回収し、独自にエーテライト網を作りあげたようだ。これならば、我ら人も利用できよう。			真なる焔神イフリート							
だが、再召喚された「イフリート」の強さは未知数……。彼の神が座する「炎帝祭跡」に乗り込む際は、8名は冒険者を集めたほうがいいだろう。			だが、再召喚された「イフリート」の強さは未知数……。彼の神が座する「炎帝祭跡」に乗り込む際は、8名は冒険者を集めたほうがいいだろう。			真なる焔神イフリート							
どうか、蛮神「イフリート」を倒し、このウルダハに平和を！……貴公の健闘を祈る！			どうか、蛮神「イフリート」を倒し、このウルダハに平和を！……貴公の健闘を祈る！			真なる焔神イフリート							
「暁の血盟」のパパリモは、蛮神「ガルーダ」を討伐してほしいようだ。			「暁の血盟」のパパリモは、蛮神「ガルーダ」を討伐してほしいようだ。			真なる嵐神ガルーダ							
蛮神「イフリート」に続き、蛮神「ガルーダ」までもが再召喚されてしまったようだ。グリダニアの双蛇党：統合司令部にいる「ボルセル大牙佐」に話を聞こう。			蛮神「イフリート」に続き、蛮神「ガルーダ」までもが再召喚されてしまったようだ。グリダニアの双蛇党：統合司令部にいる「ボルセル大牙佐」に話を聞こう。			真なる嵐神ガルーダ							
ボルセル大牙佐によると「ガルーダ」のいる「ハウリングアイ石塔群」に行くためには、クルザス中央高地のナタラン入植地にある「エーテライト」を使うといいらしい。			ボルセル大牙佐によると「ガルーダ」のいる「ハウリングアイ石塔群」に行くためには、クルザス中央高地のナタラン入植地にある「エーテライト」を使うといいらしい。			真なる嵐神ガルーダ							
エーテライトと交感した。仲間と共に、再召喚された蛮神「ガルーダ」を倒そう！※コンテンツファインダーから攻略に参加できます。			エーテライトと交感した。仲間と共に、再召喚された蛮神「ガルーダ」を倒そう！※コンテンツファインダーから攻略に参加できます。			真なる嵐神ガルーダ							
双蛇党：統合司令部のボルセル大牙佐と話す			双蛇党：統合司令部のボルセル大牙佐と話す			真なる嵐神ガルーダ							
ナタラン入植地のエーテライトと交感			ナタラン入植地のエーテライトと交感			真なる嵐神ガルーダ							
やあ、Surname。蛮神「イフリート」を倒したらしいじゃないか！さすが、エオルゼアを救った光の戦士だね。			やあ、Surname。蛮神「イフリート」を倒したらしいじゃないか！さすが、エオルゼアを救った光の戦士だね。			真なる嵐神ガルーダ							
……だが、君に頼みたいことはまだある。イクサル族の蛮神「ガルーダ」までもが、再召喚されてしまったんだ。			……だが、君に頼みたいことはまだある。イクサル族の蛮神「ガルーダ」までもが、再召喚されてしまったんだ。			真なる嵐神ガルーダ							
元々「ガルーダ」は、好戦的かつ凶暴だった。再召喚によって、更に悪化してしまったみたいでね。……君には、早急に討伐に向かってもらいたい。			元々「ガルーダ」は、好戦的かつ凶暴だった。再召喚によって、更に悪化してしまったみたいでね。……君には、早急に討伐に向かってもらいたい。			真なる嵐神ガルーダ							
僕とイダは「双蛇党」の応援に行ってくる。周辺の被害が、かなり深刻みたいなんだ……。			僕とイダは「双蛇党」の応援に行ってくる。周辺の被害が、かなり深刻みたいなんだ……。			真なる嵐神ガルーダ							
蛮神「ガルーダ」については、「双蛇党」が先行調査を行っているよ。どうやら、新しいエーテライトを発見したようなんだ。			蛮神「ガルーダ」については、「双蛇党」が先行調査を行っているよ。どうやら、新しいエーテライトを発見したようなんだ。			真なる嵐神ガルーダ							
以前、君はエンタープライズを使用したらしいけど、力強さを増したガルーダの嵐の前に無茶は禁物さ。			以前、君はエンタープライズを使用したらしいけど、力強さを増したガルーダの嵐の前に無茶は禁物さ。			真なる嵐神ガルーダ							
ここは確実な作戦を採って、エーテライトを利用したほうがいいと思う。			ここは確実な作戦を採って、エーテライトを利用したほうがいいと思う。			真なる嵐神ガルーダ							
詳しい話は、グリダニア「双蛇党：統合司令部」にいる、「ボルセル大牙佐」に聞いてくれるかい。			詳しい話は、グリダニア「双蛇党：統合司令部」にいる、「ボルセル大牙佐」に聞いてくれるかい。			真なる嵐神ガルーダ							
