流星の間のイシュガルドの駐在武官は、強き心を持つ者を求めているようだ。			流星の間のイシュガルドの駐在武官は、強き心を持つ者を求めているようだ。			傷ついた皇都の魂は							
イシュガルドのエーテライト・プラザ付近にて、「アルトアレール」卿が出迎えてくださることになりました。どうか、ご武運を！			イシュガルドのエーテライト・プラザ付近にて、「アルトアレール」卿が出迎えてくださることになりました。どうか、ご武運を！			傷ついた皇都の魂は							
あなたが協力を引き受けてくださったことは、さきほどリンクパールで皇都へ伝達いたしました。			あなたが協力を引き受けてくださったことは、さきほどリンクパールで皇都へ伝達いたしました。			傷ついた皇都の魂は							
イシュガルドのエーテライト・プラザ付近にて、「アルトアレール」卿が出迎えてくださることになってます。どうか、ご武運を！			イシュガルドのエーテライト・プラザ付近にて、「アルトアレール」卿が出迎えてくださることになってます。どうか、ご武運を！			傷ついた皇都の魂は							
Forename殿！待っていたぞ！			Forename殿！待っていたぞ！			傷ついた皇都の魂は							
(-アイメリクの声-)ああ。要請に応じてくれたこと、感謝する。			(-アイメリクの声-)ああ。要請に応じてくれたこと、感謝する。			傷ついた皇都の魂は							
皇都における偽神獣の対策には、私とアルトアレール卿を中心に、精鋭の騎士たちであたっている。ここに君が加われば、盤石の布陣となるだろう。			皇都における偽神獣の対策には、私とアルトアレール卿を中心に、精鋭の騎士たちであたっている。ここに君が加われば、盤石の布陣となるだろう。			傷ついた皇都の魂は							
ではさっそくだが、こちらの状況を説明させてほしい。まずは皇都に現れた偽神獣についてだ。			ではさっそくだが、こちらの状況を説明させてほしい。まずは皇都に現れた偽神獣についてだ。			傷ついた皇都の魂は							
獣化が起きたのは、ラザハンでの終末現象発生の数日後。場所は皇都上層、グランド・ホプロンの周辺だ。			獣化が起きたのは、ラザハンでの終末現象発生の数日後。場所は皇都上層、グランド・ホプロンの周辺だ。			傷ついた皇都の魂は							
ふらふらと足元がおぼつかない様子で歩いていた、エレゼン族の男性が、突如として苦しみ始め……竜の如き姿に変異した。			ふらふらと足元がおぼつかない様子で歩いていた、エレゼン族の男性が、突如として苦しみ始め……竜の如き姿に変異した。			傷ついた皇都の魂は							
さらに、その姿を目撃した者数名が、連鎖的に獣化を発症。現場に駆けつけた神殿騎士と交戦し、いずれも討伐された。			さらに、その姿を目撃した者数名が、連鎖的に獣化を発症。現場に駆けつけた神殿騎士と交戦し、いずれも討伐された。			傷ついた皇都の魂は							
だが、最初に転化した竜型の獣……つまり、我が国における偽神獣は、翼を広げて舞い上がり、そのまま何処かへと飛び去っていった。			だが、最初に転化した竜型の獣……つまり、我が国における偽神獣は、翼を広げて舞い上がり、そのまま何処かへと飛び去っていった。			傷ついた皇都の魂は							
我々は、この偽神獣を、皇都に伝わる竜人伝説にちなみ「ファーヴニル」と命名、討伐隊を編成したところだ。			我々は、この偽神獣を、皇都に伝わる竜人伝説にちなみ「ファーヴニル」と命名、討伐隊を編成したところだ。			傷ついた皇都の魂は							
ただし、状況は芳しくない。ファーヴニルは、それ以降、たびたび皇都上空に現れ、脅かすように姿を見せつけては飛び去っていくのだ。			ただし、状況は芳しくない。ファーヴニルは、それ以降、たびたび皇都上空に現れ、脅かすように姿を見せつけては飛び去っていくのだ。			傷ついた皇都の魂は							
その度に、呼応するように獣化する者がいてな。皇都の混乱は深まるばかりだ……。			その度に、呼応するように獣化する者がいてな。皇都の混乱は深まるばかりだ……。			傷ついた皇都の魂は							
それから、偽神獣に転じた者の正体だが、未だ判明していない。目撃者に男の名を知る者はなく、神殿騎士団の捜査でも、身元の特定にはいたっていない……。			それから、偽神獣に転じた者の正体だが、未だ判明していない。目撃者に男の名を知る者はなく、神殿騎士団の捜査でも、身元の特定にはいたっていない……。			傷ついた皇都の魂は							
だが、ひとつだけ確かなことがある。それは、皇都における獣化が、聖職者や異端審問官など、イシュガルド正教の敬虔な信徒だけに起こっているということだ。			だが、ひとつだけ確かなことがある。それは、皇都における獣化が、聖職者や異端審問官など、イシュガルド正教の敬虔な信徒だけに起こっているということだ。			傷ついた皇都の魂は							
ラザハンからの報告によれば、獣化は、絶望などの負の感情によって引き起こされるという。			ラザハンからの報告によれば、獣化は、絶望などの負の感情によって引き起こされるという。			傷ついた皇都の魂は							
イシュガルド正教の教えが、根底から覆されたことは、君も知ってのとおり。心の拠り所を失った者ほど、絶望に堕ちやすいということだろう。			イシュガルド正教の教えが、根底から覆されたことは、君も知ってのとおり。心の拠り所を失った者ほど、絶望に堕ちやすいということだろう。			傷ついた皇都の魂は							
だが……いや、だからこそ、我々はこの獣化を容認できない。千年に亘って続いてきた戦争が、ようやく終わったのだ。これ以上の悲しみを広げてはならない……！			だが……いや、だからこそ、我々はこの獣化を容認できない。千年に亘って続いてきた戦争が、ようやく終わったのだ。これ以上の悲しみを広げてはならない……！			傷ついた皇都の魂は							
そこで我々は実態把握のため、正教関係者に対する聞き込みを行おうとしていてな。合流してくれた貴殿にも、同行してもらいたい。			そこで我々は実態把握のため、正教関係者に対する聞き込みを行おうとしていてな。合流してくれた貴殿にも、同行してもらいたい。			傷ついた皇都の魂は							
対象者は、偽神獣転化の場に居合わせながら、絶望によって獣に転じなかった、唯一の聖職者だ。			対象者は、偽神獣転化の場に居合わせながら、絶望によって獣に転じなかった、唯一の聖職者だ。			傷ついた皇都の魂は							
「クレム」という名の助祭で、イシュガルド上層の「聖レマノー大聖堂」で待ち合わせている。さっそく向かってみよう。			「クレム」という名の助祭で、イシュガルド上層の「聖レマノー大聖堂」で待ち合わせている。さっそく向かってみよう。			傷ついた皇都の魂は							
同盟に復帰してから、神殿騎士たちも国外での任務へ就く機会が増えた。			同盟に復帰してから、神殿騎士たちも国外での任務へ就く機会が増えた。			傷ついた皇都の魂は							
ルキアやエマネラン卿が、イルサバード派遣団に加わったことも知ってのとおり。皇都は確実に変わってきているよ。			ルキアやエマネラン卿が、イルサバード派遣団に加わったことも知ってのとおり。皇都は確実に変わってきているよ。			傷ついた皇都の魂は							
偽神獣について、こちらのクレム助祭から、詳しく聞いておきたいのだ。			偽神獣について、こちらのクレム助祭から、詳しく聞いておきたいのだ。			傷ついた皇都の魂は							
お待ちしておりました。アイメリク卿、アルトアレール卿。それに、英雄殿までいらっしゃるとは……。			お待ちしておりました。アイメリク卿、アルトアレール卿。それに、英雄殿までいらっしゃるとは……。			傷ついた皇都の魂は							
わたくしが、聖レマノー大聖堂にて助祭を務めるクレムでございます。			わたくしが、聖レマノー大聖堂にて助祭を務めるクレムでございます。			傷ついた皇都の魂は							
先日のグランド・ホプロンの一件では、現場に居合わせたそうだが……無事でなによりだった。			先日のグランド・ホプロンの一件では、現場に居合わせたそうだが……無事でなによりだった。			傷ついた皇都の魂は							
我々は、終末の獣による被害の拡大を防ぎたい。そのためには、どんな小さなことでも情報が必要だ。			我々は、終末の獣による被害の拡大を防ぎたい。そのためには、どんな小さなことでも情報が必要だ。			傷ついた皇都の魂は							
思い出すのも辛かろうが、もう一度、我々にあの時のことを教えてもらえるだろうか。獣化への歯止めをかけるためにも、どうか頼む。			思い出すのも辛かろうが、もう一度、我々にあの時のことを教えてもらえるだろうか。獣化への歯止めをかけるためにも、どうか頼む。			傷ついた皇都の魂は							
……わかりました。			……わかりました。			傷ついた皇都の魂は							
現在、教皇庁では政教分離に基づき、一部の聖典などを聖レマノー大聖堂へ移転させています。仲間とともに獣に遭遇したのは、その帰りでございました。			現在、教皇庁では政教分離に基づき、一部の聖典などを聖レマノー大聖堂へ移転させています。仲間とともに獣に遭遇したのは、その帰りでございました。			傷ついた皇都の魂は							
ふらふらと歩いていた若者が立ち止まり……突如、異端者のように竜のような姿に変身したのです。そして、わたくしたちをじっと見つめてきました。			ふらふらと歩いていた若者が立ち止まり……突如、異端者のように竜のような姿に変身したのです。そして、わたくしたちをじっと見つめてきました。			傷ついた皇都の魂は							
あまりの恐ろしさに、わたくしたちは叫び、逃げ惑いました。			あまりの恐ろしさに、わたくしたちは叫び、逃げ惑いました。			傷ついた皇都の魂は							
と、ところが、仲間たちまでもが、わたくしの目の前で、獣へと転じたのです……！			と、ところが、仲間たちまでもが、わたくしの目の前で、獣へと転じたのです……！			傷ついた皇都の魂は							
(-？？？？-)クレム助祭、あなただけでも無事で本当に良かった。同志たちが人ならざるものに変貌するのは、さぞ恐ろしかったでしょう。			(-？？？？-)クレム助祭、あなただけでも無事で本当に良かった。同志たちが人ならざるものに変貌するのは、さぞ恐ろしかったでしょう。			傷ついた皇都の魂は							
ヴァルティノア主教猊下……！			ヴァルティノア主教猊下……！			傷ついた皇都の魂は							
失礼、此度の獣化事件について、対策を進めている方々が来ていると聞きつけたもので、どうしても一言、ご挨拶がしたく……。			失礼、此度の獣化事件について、対策を進めている方々が来ていると聞きつけたもので、どうしても一言、ご挨拶がしたく……。			傷ついた皇都の魂は							
事件への対応、心から感謝いたします。同志や敬虔な信徒たちに被害が及んでいるこの問題、少しでも早く解決することを祈るばかりです。			事件への対応、心から感謝いたします。同志や敬虔な信徒たちに被害が及んでいるこの問題、少しでも早く解決することを祈るばかりです。			傷ついた皇都の魂は							
私たちにできることがあったら、どうかいつでも協力をさせてください。			私たちにできることがあったら、どうかいつでも協力をさせてください。			傷ついた皇都の魂は							
お心遣い感謝する、ヴァルティノア主教猊下。			お心遣い感謝する、ヴァルティノア主教猊下。			傷ついた皇都の魂は							
さきほどの御方は、ヴァルティノア主教猊下……ここ聖レマノー大聖堂を統べる主教だ。			さきほどの御方は、ヴァルティノア主教猊下……ここ聖レマノー大聖堂を統べる主教だ。			傷ついた皇都の魂は							
教皇に進言できる諮問機関「聖徒評議会」の一員でもある。その教皇の座が空位である現在、イシュガルド正教における、事実上の最高権力者といえるだろう。			教皇に進言できる諮問機関「聖徒評議会」の一員でもある。その教皇の座が空位である現在、イシュガルド正教における、事実上の最高権力者といえるだろう。			傷ついた皇都の魂は							
そのとおりです。ですが、そのような高位な御身でありながら、いつもお優しくていらっしゃるのですよ。			そのとおりです。ですが、そのような高位な御身でありながら、いつもお優しくていらっしゃるのですよ。			傷ついた皇都の魂は							
未曾有の獣に脅かされているのは、みな同じ。わたくしも、不安な信徒たちの支えになりとうございます。			未曾有の獣に脅かされているのは、みな同じ。わたくしも、不安な信徒たちの支えになりとうございます。			傷ついた皇都の魂は							
そこで、ひとつお願いしたいことがございまして……。よければわたくしの話も、少し聞いていただけないでしょうか？			そこで、ひとつお願いしたいことがございまして……。よければわたくしの話も、少し聞いていただけないでしょうか？			傷ついた皇都の魂は							
ああ、貴殿の心に沿おう。詳しく教えてくれ。			ああ、貴殿の心に沿おう。詳しく教えてくれ。			傷ついた皇都の魂は							
ありがとうございます……！			ありがとうございます……！			傷ついた皇都の魂は							
クレム助祭……。彼もほかの者たちと同じように獣に怯えていたなら、なぜ……。			クレム助祭……。彼もほかの者たちと同じように獣に怯えていたなら、なぜ……。			傷ついた皇都の魂は							
クレム助祭の話とはいったい、なんであろうな？			クレム助祭の話とはいったい、なんであろうな？			傷ついた皇都の魂は							
実は敬虔な信徒たちが獣化したことで、恐れをなした数名の聖職者が、無断で皇都を離れたのです。			実は敬虔な信徒たちが獣化したことで、恐れをなした数名の聖職者が、無断で皇都を離れたのです。			傷ついた皇都の魂は							
ですが、獣化の原因がわからぬ状況で、皇都を離れるのは、賢明な判断だとは思えません。それでなくとも、都市外は魔物などの危険が多いでしょう？			ですが、獣化の原因がわからぬ状況で、皇都を離れるのは、賢明な判断だとは思えません。それでなくとも、都市外は魔物などの危険が多いでしょう？			傷ついた皇都の魂は							
かくいうわたくしも、戦いの心得はなく、独りで探し歩ける自信はありません。どうか同志たちを呼び戻す、手助けをお願いできないでしょうか？			かくいうわたくしも、戦いの心得はなく、独りで探し歩ける自信はありません。どうか同志たちを呼び戻す、手助けをお願いできないでしょうか？			傷ついた皇都の魂は							
なるほど、それはもっともだ。協力させてもらおう。ちなみに、彼らの居場所はわかっているのか？			なるほど、それはもっともだ。協力させてもらおう。ちなみに、彼らの居場所はわかっているのか？			傷ついた皇都の魂は							
ええ、彼らが向かったのは、クルザス西部高地のようです。彼の地には、ゴルガニュ牧場やヘムロックなど、放棄された民家が多いですから……。			ええ、彼らが向かったのは、クルザス西部高地のようです。彼の地には、ゴルガニュ牧場やヘムロックなど、放棄された民家が多いですから……。			傷ついた皇都の魂は							
わかった、みなで手分けして捜索するとしよう。私とアルトアレール卿で廃村となっているヘムロックに向かう。			わかった、みなで手分けして捜索するとしよう。私とアルトアレール卿で廃村となっているヘムロックに向かう。			傷ついた皇都の魂は							
君とクレム助祭は「ゴルガニュ牧場」を頼む。			君とクレム助祭は「ゴルガニュ牧場」を頼む。			傷ついた皇都の魂は							
こんな過酷なところで、暮らしていらっしゃったのですね……。			こんな過酷なところで、暮らしていらっしゃったのですね……。			傷ついた皇都の魂は							
あなたは、英雄の……！			あなたは、英雄の……！			傷ついた皇都の魂は							
(-アイメリクの声-)見つかったか！			(-アイメリクの声-)見つかったか！			傷ついた皇都の魂は							
ええ、全員無事のようです……！			ええ、全員無事のようです……！			傷ついた皇都の魂は							
みなさん……突然押しかけるような真似をして、申し訳ございません。			みなさん……突然押しかけるような真似をして、申し訳ございません。			傷ついた皇都の魂は							
ですが、悪しき獣の災厄は、いつ何時、正教の信徒に降りかかるかわからないのです。主教猊下も、正教会に連なる者の安否を心配しておられます。			ですが、悪しき獣の災厄は、いつ何時、正教の信徒に降りかかるかわからないのです。主教猊下も、正教会に連なる者の安否を心配しておられます。			傷ついた皇都の魂は							
どうか、あなた方の身の安全のために、騎士様たちの保護のある、皇都へ戻ってきてくださいませんか？			どうか、あなた方の身の安全のために、騎士様たちの保護のある、皇都へ戻ってきてくださいませんか？			傷ついた皇都の魂は							
そ、その皇都が危険だと考えたから、我々は……！			そ、その皇都が危険だと考えたから、我々は……！			傷ついた皇都の魂は							
も、もとはと言えば、アイメリク卿、あなたのせいだ……！あなたが正教の歴史を覆したがゆえに聖職者が糾弾され、市民から後ろ指をさされる！			も、もとはと言えば、アイメリク卿、あなたのせいだ……！あなたが正教の歴史を覆したがゆえに聖職者が糾弾され、市民から後ろ指をさされる！			傷ついた皇都の魂は							
それに加えて、聖職者ばかりが獣になるなんて、正教を快く思わぬ者たちが、なにか仕組んだに違いない！皇都になんて、戻るものかぁ！			それに加えて、聖職者ばかりが獣になるなんて、正教を快く思わぬ者たちが、なにか仕組んだに違いない！皇都になんて、戻るものかぁ！			傷ついた皇都の魂は							
なんだ…………！？			なんだ…………！？			傷ついた皇都の魂は							
いやだ、いやだ……もう誰かに批判されたくない……！わたしは、わたしは悪くなんて……！			いやだ、いやだ……もう誰かに批判されたくない……！わたしは、わたしは悪くなんて……！			傷ついた皇都の魂は							
(-怯えた様子の修道女-)イヤアアアァァァァァッ！！！			(-怯えた様子の修道女-)イヤアアアァァァァァッ！！！			傷ついた皇都の魂は							
Forename！すまないが彼を追って討伐してくれないか！彼に他者を傷つけさせてはいけない……！			Forename！すまないが彼を追って討伐してくれないか！彼に他者を傷つけさせてはいけない……！			傷ついた皇都の魂は							
我々は、残った者たちが獣に転じぬよう落ち着かせる！どうか頼む！			我々は、残った者たちが獣に転じぬよう落ち着かせる！どうか頼む！			傷ついた皇都の魂は							
クレム助祭、彼らが落ち着くように声をかけ続けてくれ。			クレム助祭、彼らが落ち着くように声をかけ続けてくれ。			傷ついた皇都の魂は							
ええ、わかりました……！			ええ、わかりました……！			傷ついた皇都の魂は							
こちらは心配無用だから、獣を追ってくれ！まだ遠くには行っていないはずだ！			こちらは心配無用だから、獣を追ってくれ！まだ遠くには行っていないはずだ！			傷ついた皇都の魂は							
さあ、祈りの言葉を思い出して……大丈夫ですよ。			さあ、祈りの言葉を思い出して……大丈夫ですよ。			傷ついた皇都の魂は							
セ、セイキョウハゼッタイ…			セ、セイキョウハゼッタイ…			傷ついた皇都の魂は							
セイサイ…ヲ…			セイサイ…ヲ…			傷ついた皇都の魂は							
彼らの警護は任せてくれ。			彼らの警護は任せてくれ。			傷ついた皇都の魂は							
Forename、彼は……？			Forename、彼は……？			傷ついた皇都の魂は							
そうか、討伐してくれたか。咄嗟のこととはいえ、辛い役目を任せてしまい、すまなかった。だが、おかげで彼は誰も傷つけることがなかった……。			そうか、討伐してくれたか。咄嗟のこととはいえ、辛い役目を任せてしまい、すまなかった。だが、おかげで彼は誰も傷つけることがなかった……。			傷ついた皇都の魂は							
この者たちはクレム助祭の熱心な説得の末に、皇都に戻ることを了承してくれたよ。			この者たちはクレム助祭の熱心な説得の末に、皇都に戻ることを了承してくれたよ。			傷ついた皇都の魂は							
彼らを連れて皇都に戻らねば。詳しい話はそちらで聞かせてくれ。			彼らを連れて皇都に戻らねば。詳しい話はそちらで聞かせてくれ。			傷ついた皇都の魂は							
神殿騎士団本部の「作戦立案室」を、偽神獣対策のために確保してもらっている。「神殿騎士団の衛兵」に声をかければ、通してくれるはずだ。			神殿騎士団本部の「作戦立案室」を、偽神獣対策のために確保してもらっている。「神殿騎士団の衛兵」に声をかければ、通してくれるはずだ。			傷ついた皇都の魂は							
偽神獣対策の会議などは、ここで行うことになる。なにかあれば「神殿騎士団の衛兵」に言って、この部屋に通してもらってくれ。			偽神獣対策の会議などは、ここで行うことになる。なにかあれば「神殿騎士団の衛兵」に言って、この部屋に通してもらってくれ。			傷ついた皇都の魂は							
Forename様、お待ちしておりました。「作戦立案室」へは、こちらからご案内いたします。中でアイメリク卿と「アルトアレール」卿もお待ちですよ。			Forename様、お待ちしておりました。「作戦立案室」へは、こちらからご案内いたします。中でアイメリク卿と「アルトアレール」卿もお待ちですよ。			傷ついた皇都の魂は							
「作戦立案室」へ移動しますか？			「作戦立案室」へ移動しますか？			傷ついた皇都の魂は							
苦労をかけたな、Forename殿。保護した者たちは、聖レマノー大聖堂で休んでもらっている。			苦労をかけたな、Forename殿。保護した者たちは、聖レマノー大聖堂で休んでもらっている。			傷ついた皇都の魂は							
ああ、獣に転じる可能性のある者が、正教の保護下に戻ることについて、不安は残るが……			ああ、獣に転じる可能性のある者が、正教の保護下に戻ることについて、不安は残るが……			傷ついた皇都の魂は							
無理に正教から遠ざけることがむしろ、獣に転じる引き金になる可能性が捨てきれない。			無理に正教から遠ざけることがむしろ、獣に転じる引き金になる可能性が捨てきれない。			傷ついた皇都の魂は							
……あの異端審問官は、まるで旧体制を望んでいたようでありましたね。			……あの異端審問官は、まるで旧体制を望んでいたようでありましたね。			傷ついた皇都の魂は							
イシュガルド正教上層部における、歴史の隠蔽と偽装。そして蛮神の力を利用して、敵味方なくテンパードとすることで、恒久平和の実現を目指したトールダン7世の計画……。			イシュガルド正教上層部における、歴史の隠蔽と偽装。そして蛮神の力を利用して、敵味方なくテンパードとすることで、恒久平和の実現を目指したトールダン7世の計画……。			傷ついた皇都の魂は							
その真実を暴いたことにより、イシュガルド正教会は混迷を極めている。			その真実を暴いたことにより、イシュガルド正教会は混迷を極めている。			傷ついた皇都の魂は							
共和制への移行により、政治との分離は成し遂げられたものの、正教そのものの改革は、いまだ一進一退の状況だ。信仰は、皇都の人々の「心」に根ざしているからな。			共和制への移行により、政治との分離は成し遂げられたものの、正教そのものの改革は、いまだ一進一退の状況だ。信仰は、皇都の人々の「心」に根ざしているからな。			傷ついた皇都の魂は							
心の拠り所だった正教をいまだに信じたい思いと、その正教に裏切られた悲しみ、そして教皇不在の不安……。みな、何を信じたらいいか迷っているのだ。			心の拠り所だった正教をいまだに信じたい思いと、その正教に裏切られた悲しみ、そして教皇不在の不安……。みな、何を信じたらいいか迷っているのだ。			傷ついた皇都の魂は							
それが最も顕著なのが、正教の僕たる聖職者たちだ。敬虔であったがゆえに彼らの迷いや不安は計り知れない。ときには、絶望に至ることもあるだろう。			それが最も顕著なのが、正教の僕たる聖職者たちだ。敬虔であったがゆえに彼らの迷いや不安は計り知れない。ときには、絶望に至ることもあるだろう。			傷ついた皇都の魂は							
やはり、獣化する者が、聖職者など敬虔な信徒に集中していることと、無縁ではないでしょうね……。			やはり、獣化する者が、聖職者など敬虔な信徒に集中していることと、無縁ではないでしょうね……。			傷ついた皇都の魂は							
とはいえ、これらはまだ憶測の域を出ない。充分な調査と、慎重な対策の検討が必要になる。			とはいえ、これらはまだ憶測の域を出ない。充分な調査と、慎重な対策の検討が必要になる。			傷ついた皇都の魂は							
竜詩戦争の終結によって、新たな時代に一歩踏み出した我々はいま、その先の歩み方を問われているのかもしれない。			竜詩戦争の終結によって、新たな時代に一歩踏み出した我々はいま、その先の歩み方を問われているのかもしれない。			傷ついた皇都の魂は							
Forename。君のおかげでたどり着いた真実と今の皇都を、そう簡単に手放したりするものか。			Forename。君のおかげでたどり着いた真実と今の皇都を、そう簡単に手放したりするものか。			傷ついた皇都の魂は							
では、獣に転じた異端審問官について……聖レマノー大聖堂に保護された者たちの容体が落ち着き次第、クレム助祭から話を聞きだしてもらいましょう。			では、獣に転じた異端審問官について……聖レマノー大聖堂に保護された者たちの容体が落ち着き次第、クレム助祭から話を聞きだしてもらいましょう。			傷ついた皇都の魂は							
ああ、私は部下たちに情報を共有してこよう。アルトアレール卿はここを頼む。			ああ、私は部下たちに情報を共有してこよう。アルトアレール卿はここを頼む。			傷ついた皇都の魂は							
Forename、君はまた近いうちに、アルトアレール卿のもとを訊ねてくれ。それでは、また会おう。			Forename、君はまた近いうちに、アルトアレール卿のもとを訊ねてくれ。それでは、また会おう。			傷ついた皇都の魂は							
偽神獣対策における、作戦立案室のご利用ですね？ご案内いたします。			偽神獣対策における、作戦立案室のご利用ですね？ご案内いたします。			傷ついた皇都の魂は							
