ワチュメキメキ万貨街のラルソジは、冒険者の到来に胸を撫でおろしているようだ。			ワチュメキメキ万貨街のラルソジは、冒険者の到来に胸を撫でおろしているようだ。			街の金荒物屋さん							
金荒物屋ラルソジの貢献ランクが上昇しました！ラルソジはあなたの事を、「腕の立つ金荒物職人」と感じているようです！			金荒物屋ラルソジの貢献ランクが上昇しました！ラルソジはあなたの事を、「腕の立つ金荒物職人」と感じているようです！			金荒物屋の顧客							
次のクエストは「鍛冶師／甲冑師／彫金師」の、いずれかがレベル93以上になると、ワチュメキメキ万貨街の「ラルソジ」から受注可能です。			次のクエストは「鍛冶師／甲冑師／彫金師」の、いずれかがレベル93以上になると、ワチュメキメキ万貨街の「ラルソジ」から受注可能です。			金荒物屋の顧客							
ワチュメキメキ万貨街のラルソジのもとには、日用品の注文が舞い込んでいるようだ。			ワチュメキメキ万貨街のラルソジのもとには、日用品の注文が舞い込んでいるようだ。			便利な金荒物屋							
ラルソジと話し、次はタコスのチーちゃんから依頼があったと聞いた。「トルティーヤプレス」を6つ製作し、トライヨラのワチュメキメキ万貨街にいるラルソジに納品しよう。※納品は、収集価値「210」以上で可能となりますが、「430」以上で納品した場合、より多くの報酬が得られます。			ラルソジと話し、次はタコスのチーちゃんから依頼があったと聞いた。「トルティーヤプレス」を6つ製作し、トライヨラのワチュメキメキ万貨街にいるラルソジに納品しよう。※納品は、収集価値「210」以上で可能となりますが、「430」以上で納品した場合、より多くの報酬が得られます。			便利な金荒物屋							
ラルソジにトルティーヤプレスを納品し、チーソジャに品物を渡した。パパーニは使い勝手のために加工を繰り返しているうち、ひとつしか完成できなかったようだ。店の先行きが不安だが、大丈夫だろうか……？			ラルソジにトルティーヤプレスを納品し、チーソジャに品物を渡した。パパーニは使い勝手のために加工を繰り返しているうち、ひとつしか完成できなかったようだ。店の先行きが不安だが、大丈夫だろうか……？			便利な金荒物屋							
ラルソジにトルティーヤプレスを納品			ラルソジにトルティーヤプレスを納品			便利な金荒物屋							
実際に使ってくれる人から直接お礼を言われるのって……こんなに嬉しいんだ……！！			実際に使ってくれる人から直接お礼を言われるのって……こんなに嬉しいんだ……！！			便利な金荒物屋							
よう、Forename。顔を出してくれて助かるよ。			よう、Forename。顔を出してくれて助かるよ。			便利な金荒物屋							
この前、お客が宣伝してくれたおかげで、葦刈鎌を手早く仕上げたって噂が広まったらしくてな。また大口注文が入ったんだが……協力してくれるか？			この前、お客が宣伝してくれたおかげで、葦刈鎌を手早く仕上げたって噂が広まったらしくてな。また大口注文が入ったんだが……協力してくれるか？			便利な金荒物屋							
あの、今回の依頼品はどういったもので？			あの、今回の依頼品はどういったもので？			便利な金荒物屋							
……チーちゃんの「トルティーヤプレス」だ。			……チーちゃんの「トルティーヤプレス」だ。			便利な金荒物屋							
えっ……チーちゃん……って誰……？			えっ……チーちゃん……って誰……？			便利な金荒物屋							
「タコスのチーちゃん」だ。あそこはトライヨラでも一、二を争う人気店なんだぞ。			「タコスのチーちゃん」だ。あそこはトライヨラでも一、二を争う人気店なんだぞ。			便利な金荒物屋							
「トルティーヤプレス」って、そう何個も必要になるものでしたっけ……？私が街での生活を知らないだけ……？			「トルティーヤプレス」って、そう何個も必要になるものでしたっけ……？私が街での生活を知らないだけ……？			便利な金荒物屋							
あの店用のトルティーヤを焼いている工房で、調理器具を一新することにしたらしい。予備を含めて重厚なプレス器を大量に用意してほしいそうだ。			あの店用のトルティーヤを焼いている工房で、調理器具を一新することにしたらしい。予備を含めて重厚なプレス器を大量に用意してほしいそうだ。			便利な金荒物屋							
Forenameには引き続き……そうだな、6つほど作ってもらいたい。残りは俺とパパーニでなんとかしよう。			Forenameには引き続き……そうだな、6つほど作ってもらいたい。残りは俺とパパーニでなんとかしよう。			便利な金荒物屋							
先方は、うちの店の仕事の早さを見込んで選んでくれたんだ。なるべく早めに作業に入ってもらえると助かる。			先方は、うちの店の仕事の早さを見込んで選んでくれたんだ。なるべく早めに作業に入ってもらえると助かる。			便利な金荒物屋							
はい！またお客さんに喜んでほしいから……頑張るぞおお！			はい！またお客さんに喜んでほしいから……頑張るぞおお！			便利な金荒物屋							
プレス器はトルティーヤを均一な厚さにできることが、なによりも最重要なんだとか！これは精巧な板金技術が必要だぁ……！			プレス器はトルティーヤを均一な厚さにできることが、なによりも最重要なんだとか！これは精巧な板金技術が必要だぁ……！			便利な金荒物屋							
タコスのチーちゃん用の「トルティーヤプレス」を頼む。俺も店番の合間に作っておこう。			タコスのチーちゃん用の「トルティーヤプレス」を頼む。俺も店番の合間に作っておこう。			便利な金荒物屋							
おお、もうできたのか、助かる。この品質ならいいトルティーヤができるはずだ。			おお、もうできたのか、助かる。この品質ならいいトルティーヤができるはずだ。			便利な金荒物屋							
おお、もうできたのか、助かる。この適度な重量感と、歪みのない盤面ならきっと、最高のトルティーヤができるはずだ。			おお、もうできたのか、助かる。この適度な重量感と、歪みのない盤面ならきっと、最高のトルティーヤができるはずだ。			便利な金荒物屋							
品物が揃ったんで、さっそくチーちゃんに来てもらった。			品物が揃ったんで、さっそくチーちゃんに来てもらった。			便利な金荒物屋							
どうも、「タコスのチーちゃん」店主の、チーソジャでございます～！トルティーヤプレスの製作、助かるわぁ！			どうも、「タコスのチーちゃん」店主の、チーソジャでございます～！トルティーヤプレスの製作、助かるわぁ！			便利な金荒物屋							
今までは木製のプレス器を使ってたんだけど、ちょっと油断して力を入れすぎると、す～ぐ壊れちゃって！金属製のプレス器なら、もう安心だわね！			今までは木製のプレス器を使ってたんだけど、ちょっと油断して力を入れすぎると、す～ぐ壊れちゃって！金属製のプレス器なら、もう安心だわね！			便利な金荒物屋							
ああ、使い倒してやってくれ。			ああ、使い倒してやってくれ。			便利な金荒物屋							
ええ、もちろんですとも！おたくのお店は仕事も早くって、ありがたいったらないわぁ。これからも調理器具の注文はおたくに頼みます！			ええ、もちろんですとも！おたくのお店は仕事も早くって、ありがたいったらないわぁ。これからも調理器具の注文はおたくに頼みます！			便利な金荒物屋							
じゃ、こちらを工房へ運び込まなくてはいけませんから、このあたりで失礼いたしますわぁ～！皆さんも、タコスを食べに来てちょうだいね！			じゃ、こちらを工房へ運び込まなくてはいけませんから、このあたりで失礼いたしますわぁ～！皆さんも、タコスを食べに来てちょうだいね！			便利な金荒物屋							
Forename、今回もありがとう。あんたのおかげで、なんとか店がまわってるよ。			Forename、今回もありがとう。あんたのおかげで、なんとか店がまわってるよ。			便利な金荒物屋							
Forenameさん、ラルソジさん……。ごめんなさい、私、今回も手が遅くて、ひとつしかできなくて……。			Forenameさん、ラルソジさん……。ごめんなさい、私、今回も手が遅くて、ひとつしかできなくて……。			便利な金荒物屋							
パパーニ……あんたは精いっぱい仕事に向き合ってるんだろう。それはわかっている。			パパーニ……あんたは精いっぱい仕事に向き合ってるんだろう。それはわかっている。			便利な金荒物屋							
だが今後もうちで働くのなら、課題は自覚しているとおりだ。本来であれば、Forenameに頼んでる分も、作れるようになってもらわないと困る。			だが今後もうちで働くのなら、課題は自覚しているとおりだ。本来であれば、Forenameに頼んでる分も、作れるようになってもらわないと困る。			便利な金荒物屋							
そばで見ているかぎりだと、ひとつに時間をかけすぎているように思うが……。			そばで見ているかぎりだと、ひとつに時間をかけすぎているように思うが……。			便利な金荒物屋							
す、すみません！前回お礼を言ってもらえたのが嬉しくて、もっと喜んでもらいたいと思って……			す、すみません！前回お礼を言ってもらえたのが嬉しくて、もっと喜んでもらいたいと思って……			便利な金荒物屋							
その、軋みや歪みが出ないようにしたり、長く使えるよう手入れをしやすくしたりと考えて……いろいろ工夫しているうちに、時間が……。			その、軋みや歪みが出ないようにしたり、長く使えるよう手入れをしやすくしたりと考えて……いろいろ工夫しているうちに、時間が……。			便利な金荒物屋							
いい品を作ろうとしているのはわかったが、客にとって普段使いの日用品は、大抵すぐに使いたいものだ。次からは意識してみてくれ。			いい品を作ろうとしているのはわかったが、客にとって普段使いの日用品は、大抵すぐに使いたいものだ。次からは意識してみてくれ。			便利な金荒物屋							
Forenameも、引き続き頼む。あんたの技術を頼りに……してばかりじゃダメだが、いましばらくは力を貸してくれ。			Forenameも、引き続き頼む。あんたの技術を頼りに……してばかりじゃダメだが、いましばらくは力を貸してくれ。			便利な金荒物屋							
金荒物屋ラルソジの貢献ランクが上昇しました！ラルソジはあなたの事を、「頼りになる金荒物職人」と感じているようです！			金荒物屋ラルソジの貢献ランクが上昇しました！ラルソジはあなたの事を、「頼りになる金荒物職人」と感じているようです！			便利な金荒物屋							
次のクエストは「鍛冶師／甲冑師／彫金師」の、いずれかがレベル95以上になると、ワチュメキメキ万貨街の「ラルソジ」から受注可能です。			次のクエストは「鍛冶師／甲冑師／彫金師」の、いずれかがレベル95以上になると、ワチュメキメキ万貨街の「ラルソジ」から受注可能です。			便利な金荒物屋							
ワチュメキメキ万貨街のラルソジは、急ぎの注文を受けたようだ。			ワチュメキメキ万貨街のラルソジは、急ぎの注文を受けたようだ。			仕事の早い金荒物屋							
ラルソジと話し、ペルペル族の行商人から急ぎの大口依頼があったと聞いた。「トラベルランタン」を6つ製作し、トライヨラのワチュメキメキ万貨街にいるラルソジに納品しよう。※納品は、収集価値「230」以上で可能となりますが、「470」以上で納品した場合、より多くの報酬が得られます。			ラルソジと話し、ペルペル族の行商人から急ぎの大口依頼があったと聞いた。「トラベルランタン」を6つ製作し、トライヨラのワチュメキメキ万貨街にいるラルソジに納品しよう。※納品は、収集価値「230」以上で可能となりますが、「470」以上で納品した場合、より多くの報酬が得られます。			仕事の早い金荒物屋							
ラルソジにトラベルランタンを納品し、無事にペルペル族の行商人の出発に間に合わせることができた。一方で品質にこだわるあまり、ひとつも完成できなかったパパーニが壺匠に戻ると言って飛び出していってしまった。ラルソジとパパーニの関係が修復できるよう、引き続き見守っていこう。			ラルソジにトラベルランタンを納品し、無事にペルペル族の行商人の出発に間に合わせることができた。一方で品質にこだわるあまり、ひとつも完成できなかったパパーニが壺匠に戻ると言って飛び出していってしまった。ラルソジとパパーニの関係が修復できるよう、引き続き見守っていこう。			仕事の早い金荒物屋							
ラルソジにトラベルランタンを納品			ラルソジにトラベルランタンを納品			仕事の早い金荒物屋							
すみません、私どうしても作業が遅くて……。			すみません、私どうしても作業が遅くて……。			仕事の早い金荒物屋							
Forename！声をかけてくれて助かった、急ぎの仕事が入ったんだ。			Forename！声をかけてくれて助かった、急ぎの仕事が入ったんだ。			仕事の早い金荒物屋							
