潮風亭のエストリルドは、またまた道行く人を見定めているようだ。			潮風亭のエストリルドは、またまた道行く人を見定めているようだ。			ベテラン・モブハント（上級）							
知らないなぁ？			知らないなぁ？			崖っぷち亭に迫る影							
このポーキーがアドキラーだ！			このポーキーがアドキラーだ！			崖っぷち亭に迫る影							
…………			…………			崖っぷち亭に迫る影							
兄貴が家畜のような格好をするはずもないだろうが……。噂が真実であれば、崖っぷち亭の店主をやっているという男は、豚のマスクを被っており、兄貴の名前を名乗っているという。			兄貴が家畜のような格好をするはずもないだろうが……。噂が真実であれば、崖っぷち亭の店主をやっているという男は、豚のマスクを被っており、兄貴の名前を名乗っているという。			崖っぷち亭に迫る影							
……そこのアンタ、マスクを外してもらおうか？			……そこのアンタ、マスクを外してもらおうか？			崖っぷち亭に迫る影							
待ってください……！			待ってください……！			崖っぷち亭に迫る影							
て、店長は……そのっ、えっと……顔にひどい傷があって、マスクを被っているのです！だから、マスクは外せません……！			て、店長は……そのっ、えっと……顔にひどい傷があって、マスクを被っているのです！だから、マスクは外せません……！			崖っぷち亭に迫る影							
たしかに、初対面の人に素顔を見せろというのは、無礼であった。ならば、この街の住人に話を聞けば、崖っぷち亭の店主とやらの素性もわかるはずだな。			たしかに、初対面の人に素顔を見せろというのは、無礼であった。ならば、この街の住人に話を聞けば、崖っぷち亭の店主とやらの素性もわかるはずだな。			崖っぷち亭に迫る影							
Forenameよ……。我が部族の問題に巻き込んでしまってすまぬが、「ブルガン」の様子を見に行ってもらえぬだろうか？			Forenameよ……。我が部族の問題に巻き込んでしまってすまぬが、「ブルガン」の様子を見に行ってもらえぬだろうか？			崖っぷち亭に迫る影							
付けられたのはオイラじゃないでやんすよ～！			付けられたのはオイラじゃないでやんすよ～！			崖っぷち亭に迫る影							
テレボゲ！お前ブルガンさんに付けられやがって！			テレボゲ！お前ブルガンさんに付けられやがって！			崖っぷち亭に迫る影							
みんなで店長を守らないと……！			みんなで店長を守らないと……！			崖っぷち亭に迫る影							
なんだか、大変なことになっている……のかしら？			なんだか、大変なことになっている……のかしら？			崖っぷち亭に迫る影							
ほう、再会の市に続き、ここでもまた、俺を手助けしてくれるというのか？ありがたい……未知の土地ゆえ、心強いというものだ。			ほう、再会の市に続き、ここでもまた、俺を手助けしてくれるというのか？ありがたい……未知の土地ゆえ、心強いというものだ。			崖っぷち亭に迫る影							
まずは、この街のゴブリン族とやらの話を聞いてみるとしよう。それにしても、人と獣人がかくも協力し合っているとは。西方にも、不思議な土地はあるものだな。			まずは、この街のゴブリン族とやらの話を聞いてみるとしよう。それにしても、人と獣人がかくも協力し合っているとは。西方にも、不思議な土地はあるものだな。			崖っぷち亭に迫る影							
俺は東方から失踪した兄を連れ戻しにきた者だ。ときに、ここの崖っぷち亭の店主は、アジムステップ出身のアウラ・ゼラだろうか？			俺は東方から失踪した兄を連れ戻しにきた者だ。ときに、ここの崖っぷち亭の店主は、アジムステップ出身のアウラ・ゼラだろうか？			崖っぷち亭に迫る影							
スローフィクスと視線が合った。何か合図を送るべきだろうか……。			スローフィクスと視線が合った。何か合図を送るべきだろうか……。			崖っぷち亭に迫る影							
どうする？			どうする？			崖っぷち亭に迫る影							
首を横に振る			首を横に振る			崖っぷち亭に迫る影							
アピールする			アピールする			崖っぷち亭に迫る影							
聞いていないフリをする			聞いていないフリをする			崖っぷち亭に迫る影							
シュコォ……シュコォ……イディルシャイアは新興都市　ヒトとゴブリン　仲良く暮らす！出身　種族　関係なし　みんな大切　仲間ゴブ！			シュコォ……シュコォ……イディルシャイアは新興都市　ヒトとゴブリン　仲良く暮らす！出身　種族　関係なし　みんな大切　仲間ゴブ！			崖っぷち亭に迫る影							
ゴブたち知ってる　よく知ってる！崖っぷち亭　マスターちゃん　一文無しから努力してとうとう立派な　お店　構えた！			ゴブたち知ってる　よく知ってる！崖っぷち亭　マスターちゃん　一文無しから努力してとうとう立派な　お店　構えた！			崖っぷち亭に迫る影							
いったいぜんたい　お前さんゴブの仲間を　どうする気ゴブ～？			いったいぜんたい　お前さんゴブの仲間を　どうする気ゴブ～？			崖っぷち亭に迫る影							
俺はただ兄貴を……。い、いや……失礼する。			俺はただ兄貴を……。い、いや……失礼する。			崖っぷち亭に迫る影							
次は、トレジャーハンターに話を聞いてみるか……。この街の自治も担っていると聞いたから知らないことはないだろう。			次は、トレジャーハンターに話を聞いてみるか……。この街の自治も担っていると聞いたから知らないことはないだろう。			崖っぷち亭に迫る影							
ミッドナイト・デューと視線が合った。何か合図を送るべきだろうか……。			ミッドナイト・デューと視線が合った。何か合図を送るべきだろうか……。			崖っぷち亭に迫る影							
どうする？			どうする？			崖っぷち亭に迫る影							
首を横に振る			首を横に振る			崖っぷち亭に迫る影							
ウィンクする			ウィンクする			崖っぷち亭に迫る影							
何もしない			何もしない			崖っぷち亭に迫る影							
アドキラーというアダルキム族の男を知らないだろうか？崖っぷち亭の店主をやっていると聞いたのだが。			アドキラーというアダルキム族の男を知らないだろうか？崖っぷち亭の店主をやっていると聞いたのだが。			崖っぷち亭に迫る影							
アダルキム族？　……さぁねえ？崖っぷち亭のマスターのことだったら、よく知ってるよ。ヘンテコな格好してるけど、いいマスターでね。			アダルキム族？　……さぁねえ？崖っぷち亭のマスターのことだったら、よく知ってるよ。ヘンテコな格好してるけど、いいマスターでね。			崖っぷち亭に迫る影							
アタシらトレジャーハンターが疲れて帰って来た日には、あったかい料理で迎えてくれてさ。愚痴だっていくらでも付き合ってくれる。			アタシらトレジャーハンターが疲れて帰って来た日には、あったかい料理で迎えてくれてさ。愚痴だっていくらでも付き合ってくれる。			崖っぷち亭に迫る影							
この街には欠かせないマスターだよ。アンタが探してるアダル……なんとかっていう奴かどうかは、アタシは知らないねぇ？			この街には欠かせないマスターだよ。アンタが探してるアダル……なんとかっていう奴かどうかは、アタシは知らないねぇ？			崖っぷち亭に迫る影							
ううむ……。			ううむ……。			崖っぷち亭に迫る影							
アンタも、兄貴の肩を持つのかい？わかっているさ、昔から兄貴の周りには仲間が大勢いた。誰からも慕われる彼のようになりたいと思ったものだ。			アンタも、兄貴の肩を持つのかい？わかっているさ、昔から兄貴の周りには仲間が大勢いた。誰からも慕われる彼のようになりたいと思ったものだ。			崖っぷち亭に迫る影							
アドキラーというアダルキム族の男を知らないだろうか？崖っぷち亭の店主をやっていると聞いたのだが。			アドキラーというアダルキム族の男を知らないだろうか？崖っぷち亭の店主をやっていると聞いたのだが。			崖っぷち亭に迫る影							
アダルキム族？　……さぁねえ？崖っぷち亭のマスターのことだったら、よく知ってるよ。ヘンテコな格好してるけど、いいマスターでね。			アダルキム族？　……さぁねえ？崖っぷち亭のマスターのことだったら、よく知ってるよ。ヘンテコな格好してるけど、いいマスターでね。			崖っぷち亭に迫る影							
アタシらトレジャーハンターが疲れて帰って来た日には、あったかい料理で迎えてくれてさ。愚痴だっていくらでも付き合ってくれる。			アタシらトレジャーハンターが疲れて帰って来た日には、あったかい料理で迎えてくれてさ。愚痴だっていくらでも付き合ってくれる。			崖っぷち亭に迫る影							
この街には欠かせないマスターだよ。アンタが探してるアダル……なんとかっていう奴かどうかは、アタシは知らないねぇ？			この街には欠かせないマスターだよ。アンタが探してるアダル……なんとかっていう奴かどうかは、アタシは知らないねぇ？			崖っぷち亭に迫る影							
ううむ……。			ううむ……。			崖っぷち亭に迫る影							
アンタ、もしかして俺を見守ってくれているのか？わかっているさ、昔から兄貴の周りには仲間が大勢いた。誰からも慕われる彼のようになりたいと思ったものだ。			アンタ、もしかして俺を見守ってくれているのか？わかっているさ、昔から兄貴の周りには仲間が大勢いた。誰からも慕われる彼のようになりたいと思ったものだ。			崖っぷち亭に迫る影							
だが、俺は兄貴じゃない……！兄貴の代わりに命を狙われ続けるなんて、まっぴらさ！！			だが、俺は兄貴じゃない……！兄貴の代わりに命を狙われ続けるなんて、まっぴらさ！！			崖っぷち亭に迫る影							
はぁ……子供なら正直に話してくれるだろう。お嬢ちゃん、崖っぷち亭のアドキラーを知っているかい？			はぁ……子供なら正直に話してくれるだろう。お嬢ちゃん、崖っぷち亭のアドキラーを知っているかい？			崖っぷち亭に迫る影							
アドキラーおじちゃん、知ってるよ！いつも私とお友達に楽しいお話を聞かせてくれるの！			アドキラーおじちゃん、知ってるよ！いつも私とお友達に楽しいお話を聞かせてくれるの！			崖っぷち亭に迫る影							
たくさんアンサツされそうになったこととか、たくさんケッコンサギにあったこととか！			たくさんアンサツされそうになったこととか、たくさんケッコンサギにあったこととか！			崖っぷち亭に迫る影							
それから、それからね！おじちゃんの故郷には、すっごく頼りになる弟がいて、すっごく尊敬してるんだって！			それから、それからね！おじちゃんの故郷には、すっごく頼りになる弟がいて、すっごく尊敬してるんだって！			崖っぷち亭に迫る影							
私もお姉ちゃんにそう思って貰えるように、頑張らなきゃ！			私もお姉ちゃんにそう思って貰えるように、頑張らなきゃ！			崖っぷち亭に迫る影							
………………。			………………。			崖っぷち亭に迫る影							
崖っぷち亭のアドキラーは兄貴で間違いないようだな。俺は「崖っぷち亭」に戻るとするよ。……アンタも、よかったら見届けてくれ。			崖っぷち亭のアドキラーは兄貴で間違いないようだな。俺は「崖っぷち亭」に戻るとするよ。……アンタも、よかったら見届けてくれ。			崖っぷち亭に迫る影							
げげっ！戻って来たでやんす！			げげっ！戻って来たでやんす！			崖っぷち亭に迫る影							
どうなろうと、親分に付いていくだけさァ！			どうなろうと、親分に付いていくだけさァ！			崖っぷち亭に迫る影							
店長は、ぜーったいに渡さないんだから！			店長は、ぜーったいに渡さないんだから！			崖っぷち亭に迫る影							
あら、戻ってこられたのですね。えっと、何かお出しした方がよろしいかしら……？			あら、戻ってこられたのですね。えっと、何かお出しした方がよろしいかしら……？			崖っぷち亭に迫る影							
まったく、俺はただ静かに暮らしたいだけだというのに、理不尽な運命だぜ。			まったく、俺はただ静かに暮らしたいだけだというのに、理不尽な運命だぜ。			崖っぷち亭に迫る影							
だが……腹を括り自分の運命と向き合うか、運命に抗い別の道を模索するか、どちらも自ら行動を起こさない限りは、何も変わらないのだな。			だが……腹を括り自分の運命と向き合うか、運命に抗い別の道を模索するか、どちらも自ら行動を起こさない限りは、何も変わらないのだな。			崖っぷち亭に迫る影							
この地へ来てそれがよくわかった。俺も、覚悟を決めなければな。			この地へ来てそれがよくわかった。俺も、覚悟を決めなければな。			崖っぷち亭に迫る影							
イディルシャイアのアドキラーは偽者だったと、一族の者たちに伝えるとしよう。			イディルシャイアのアドキラーは偽者だったと、一族の者たちに伝えるとしよう。			崖っぷち亭に迫る影							
……待ちたまえ。			……待ちたまえ。			崖っぷち亭に迫る影							
我がすべてを賭けても守りたいものを見付けたように、貴様も貴様にしか守れないものが、きっとあるだろう。崖っぷちな人生に疲れた時は、いつでも杯を傾けに来るがよいぞ。			我がすべてを賭けても守りたいものを見付けたように、貴様も貴様にしか守れないものが、きっとあるだろう。崖っぷちな人生に疲れた時は、いつでも杯を傾けに来るがよいぞ。			崖っぷち亭に迫る影							
それにしても、店長が族長候補だったなんて、驚いてしまいましたわ！			それにしても、店長が族長候補だったなんて、驚いてしまいましたわ！			崖っぷち亭に迫る影							
て、店長ぉ～～～！！！連れていかれないで良かったよ～～！			て、店長ぉ～～～！！！連れていかれないで良かったよ～～！			崖っぷち亭に迫る影							
これで、一件落着でやんすね！			これで、一件落着でやんすね！			崖っぷち亭に迫る影							
ブルガンさん……。			ブルガンさん……。			崖っぷち亭に迫る影							
貴様らにも、いろいろと心配かけたな！崖っぷち亭が店主不在となる危機は免れた！一族の連中が我を連れ戻しに来ることは、当分無いであろう。			貴様らにも、いろいろと心配かけたな！崖っぷち亭が店主不在となる危機は免れた！一族の連中が我を連れ戻しに来ることは、当分無いであろう。			崖っぷち亭に迫る影							
な、なんだ貴様ら、眺めてばかりで！何か言ったらどうだ！素顔の我は、ダンディーだろうにッ！			な、なんだ貴様ら、眺めてばかりで！何か言ったらどうだ！素顔の我は、ダンディーだろうにッ！			崖っぷち亭に迫る影							
改めて礼を言うぞ、Forenameよ！			改めて礼を言うぞ、Forenameよ！			崖っぷち亭に迫る影							
……うん？ブルガンが気になるか？			……うん？ブルガンが気になるか？			崖っぷち亭に迫る影							
心配はいらぬ。奴は上に立つ者として才のある、誇り高きアダルキム族の男。いつも冷静沈着な奴のようになりたいと、幾度となく思ったものだ。			心配はいらぬ。奴は上に立つ者として才のある、誇り高きアダルキム族の男。いつも冷静沈着な奴のようになりたいと、幾度となく思ったものだ。			崖っぷち亭に迫る影							
あいつが族長に就任した日には、祝い酒でも持っていくとしよう。その時は、貴様にも我の故郷を紹介したいものだなぁ！			あいつが族長に就任した日には、祝い酒でも持っていくとしよう。その時は、貴様にも我の故郷を紹介したいものだなぁ！			崖っぷち亭に迫る影							
うむ、何はともあれ！これで、我も堂々とこの地に腰を据えることができる！			うむ、何はともあれ！これで、我も堂々とこの地に腰を据えることができる！			崖っぷち亭に迫る影							
さあ、今日からまた、いつもの「崖っぷち亭」に戻るぞ！			さあ、今日からまた、いつもの「崖っぷち亭」に戻るぞ！			崖っぷち亭に迫る影							
