ヤ・シュトラは冒険者に、タイタン討伐の報告を頼みたいようだ。			ヤ・シュトラは冒険者に、タイタン討伐の報告を頼みたいようだ。			灯りの消えた日							
イフリートに続いて、タイタン討伐にまで成功するなんて、キミって、ほんとにすっごい冒険者なんだねッ！エオルゼアの英雄と言っても、過言じゃないよ！			イフリートに続いて、タイタン討伐にまで成功するなんて、キミって、ほんとにすっごい冒険者なんだねッ！エオルゼアの英雄と言っても、過言じゃないよ！			灯りの消えた日							
タイタン討伐とその報告、ご苦労さま！「暁」のみんなにも、よろしく伝えてねッ！			タイタン討伐とその報告、ご苦労さま！「暁」のみんなにも、よろしく伝えてねッ！			灯りの消えた日							
……聞こえる？わたしよ、ミンフィリア。			……聞こえる？わたしよ、ミンフィリア。			灯りの消えた日							
ヤ・シュトラから報告を聞いたわ。まさか、蛮神「タイタン」を討伐するだなんて！			ヤ・シュトラから報告を聞いたわ。まさか、蛮神「タイタン」を討伐するだなんて！			灯りの消えた日							
あなたも、ヤ・シュトラも無事でよかった……。心配してたんだからね！			あなたも、ヤ・シュトラも無事でよかった……。心配してたんだからね！			灯りの消えた日							
例によって、一度「砂の家」に帰ってきてくれるかしら。今後の方針を詰めましょう。……じゃ、待ってるわね！			例によって、一度「砂の家」に帰ってきてくれるかしら。今後の方針を詰めましょう。……じゃ、待ってるわね！			灯りの消えた日							
アンタ、この建物に用事があるのか？……だったら丁度いい、中の様子を見てきてくれよ。物騒な音がしたきり、急に静かになっちまったんだ……。			アンタ、この建物に用事があるのか？……だったら丁度いい、中の様子を見てきてくれよ。物騒な音がしたきり、急に静かになっちまったんだ……。			灯りの消えた日							
さっき、この建物の中からすごい音がしてたのよ……。悲鳴も聞こえたんだけど……いったい、何があったのかしら……？			さっき、この建物の中からすごい音がしてたのよ……。悲鳴も聞こえたんだけど……いったい、何があったのかしら……？			灯りの消えた日							
何が起こったのかを調べる（シルフの亡骸に触る）			何が起こったのかを調べる（シルフの亡骸に触る）			灯りの消えた日							
無事で……よかったので……ふっち……。			無事で……よかったので……ふっち……。			灯りの消えた日							
例によって、一度「砂の家」に帰ってきてくれるかしら。今後の方針を詰めましょう。……じゃ、待ってるわね！			例によって、一度「砂の家」に帰ってきてくれるかしら。今後の方針を詰めましょう。……じゃ、待ってるわね！			灯りの消えた日							
本当に無事でよかった……。			本当に無事でよかった……。			灯りの消えた日							
ルイゾワ様、みてますか……。あなたの尊い意思は、勇敢な冒険者の手によって、再びエオルゼアに広がろうとしていますよ。			ルイゾワ様、みてますか……。あなたの尊い意思は、勇敢な冒険者の手によって、再びエオルゼアに広がろうとしていますよ。			灯りの消えた日							
ッ！？			ッ！？			灯りの消えた日							
うわぁぁぁっ！！			うわぁぁぁっ！！			灯りの消えた日							
ぎゃああ！			ぎゃああ！			灯りの消えた日							
敵しゅ……ぐはッ！！			敵しゅ……ぐはッ！！			灯りの消えた日							
(-暁の血盟員-)貴様ら何者だ！？がっ……。			(-暁の血盟員-)貴様ら何者だ！？がっ……。			灯りの消えた日							
ここに、蛮神「イフリート」と「タイタン」を沈めた冒険者が居るはずだ！			ここに、蛮神「イフリート」と「タイタン」を沈めた冒険者が居るはずだ！			灯りの消えた日							
出てこい！隠れていると、こいつら皆殺しだぞぉ？			出てこい！隠れていると、こいつら皆殺しだぞぉ？			灯りの消えた日							
ハァ……ハァ……。			ハァ……ハァ……。			灯りの消えた日							
……クソッ。			……クソッ。			灯りの消えた日							
あなたは隠れていなさい。いいわね……。そして、あの人が帰ってきたら、こう伝えて。			あなたは隠れていなさい。いいわね……。そして、あの人が帰ってきたら、こう伝えて。			灯りの消えた日							
おとなしく従います。だから、無関係な人を殺すのは止めなさい。			おとなしく従います。だから、無関係な人を殺すのは止めなさい。			灯りの消えた日							
あら？「暁」の親玉さん、見いつけた。			あら？「暁」の親玉さん、見いつけた。			灯りの消えた日							
丸腰で出てくるなんて、勇気あるわねぇ。			丸腰で出てくるなんて、勇気あるわねぇ。			灯りの消えた日							
あの人は居ないわ。探したって無駄よ。			あの人は居ないわ。探したって無駄よ。			灯りの消えた日							
……本当みたいね。			……本当みたいね。			灯りの消えた日							
でも、ここがどうやって……。まさか！？			でも、ここがどうやって……。まさか！？			灯りの消えた日							
おしゃべりは、そこまでよ。			おしゃべりは、そこまでよ。			灯りの消えた日							
どうして……。			どうして……。			灯りの消えた日							
……興が冷めたわ。			……興が冷めたわ。			灯りの消えた日							
やめろッ！			やめろッ！			灯りの消えた日							
くそ……ッ。			くそ……ッ。			灯りの消えた日							
キャッ！			キャッ！			灯りの消えた日							
やめなさいッ！			やめなさいッ！			灯りの消えた日							
もう十分だ。止めろ。			もう十分だ。止めろ。			灯りの消えた日							
冒険者は居なかったけど……。「暁」の親玉さんを捕らえたことで、この場は良しとしてあげるか。			冒険者は居なかったけど……。「暁」の親玉さんを捕らえたことで、この場は良しとしてあげるか。			灯りの消えた日							
あの力、親玉さんにも在るみたいだしね。フフフ……。楽しみだわ。			あの力、親玉さんにも在るみたいだしね。フフフ……。楽しみだわ。			灯りの消えた日							
いつまでやっている。			いつまでやっている。			灯りの消えた日							
退くぞ。連れて行け。			退くぞ。連れて行け。			灯りの消えた日							
伝え……いので……ふっち……。			伝え……いので……ふっち……。			灯りの消えた日							
ミンフィ……頼まれ……。伝えること……あるので……ふっち……。			ミンフィ……頼まれ……。伝えること……あるので……ふっち……。			灯りの消えた日							
東ザナラーンの……。……聖アダマ・ランダマ教会へ……。身を隠して……っち……。			東ザナラーンの……。……聖アダマ・ランダマ教会へ……。身を隠して……っち……。			灯りの消えた日							
ごめんでふっち……。ミンフィを……みんなを……。……守れなかったのでふっち……。			ごめんでふっち……。ミンフィを……みんなを……。……守れなかったのでふっち……。			灯りの消えた日							
せっかく……みんなと……仲間に……。			せっかく……みんなと……仲間に……。			灯りの消えた日							
みんなを……助け……て……。			みんなを……助け……て……。			灯りの消えた日							
どうかなさいましたか？このように寂れた教会ですが、お力になれることがあれば伺いましょう。			どうかなさいましたか？このように寂れた教会ですが、お力になれることがあれば伺いましょう。			灯りの消えた日							
イリュドに合言葉を告げる？			イリュドに合言葉を告げる？			灯りの消えた日							
「いのり」			「いのり」			灯りの消えた日							
「のろい」			「のろい」			灯りの消えた日							
「のばら」			「のばら」			灯りの消えた日							
キャンセル			キャンセル			灯りの消えた日							
では、目を閉じて、心を穏やかに……。祈りはすべての魂に、穏やかな救いをもたらしましょう。……また、いつでもいらしてください。			では、目を閉じて、心を穏やかに……。祈りはすべての魂に、穏やかな救いをもたらしましょう。……また、いつでもいらしてください。			灯りの消えた日							
はて、冒険者どのは呪われてなどいない様子。呪術士のことをおっしゃっているのでしたら、ウルダハのギルドに向かわれてはいかがですかな？			はて、冒険者どのは呪われてなどいない様子。呪術士のことをおっしゃっているのでしたら、ウルダハのギルドに向かわれてはいかがですかな？			灯りの消えた日							
「のばら」ですと……！？その合言葉を知るとは、あなたはいったい……。			「のばら」ですと……！？その合言葉を知るとは、あなたはいったい……。			灯りの消えた日							
まさか、そんなことが……。			まさか、そんなことが……。			灯りの消えた日							
……では、ミンフィリアさんや、「暁」の皆さんの行方も、わかっていないのですか？			……では、ミンフィリアさんや、「暁」の皆さんの行方も、わかっていないのですか？			灯りの消えた日							
おお、神よ……。どうか皆をお護りください……。			おお、神よ……。どうか皆をお護りください……。			灯りの消えた日							
あなたも、大変な想いをされましたな……。少し休まれなさい。			あなたも、大変な想いをされましたな……。少し休まれなさい。			灯りの消えた日							
ミンフィリアさんとは古い仲でしてね。彼女が小さな頃は、よく遊んだものです。			ミンフィリアさんとは古い仲でしてね。彼女が小さな頃は、よく遊んだものです。			灯りの消えた日							
それに、彼女が「暁の血盟」を立ち上げてからは、いささかではあるものの、私も一員として、協力させてもらっていたのです。			それに、彼女が「暁の血盟」を立ち上げてからは、いささかではあるものの、私も一員として、協力させてもらっていたのです。			灯りの消えた日							
だから、遠慮することはない。しばらくは、この教会を使われるといい。			だから、遠慮することはない。しばらくは、この教会を使われるといい。			灯りの消えた日							
……そうだ、彼を紹介しておきましょう。マルケズ、こっちへ来てもらえるかな？			……そうだ、彼を紹介しておきましょう。マルケズ、こっちへ来てもらえるかな？			灯りの消えた日							
……はい、神父。			……はい、神父。			灯りの消えた日							
この男はマルケズと申す者。先の第七霊災のおり、記憶を無くしておりましてな。この教会で保護しておるのです。			この男はマルケズと申す者。先の第七霊災のおり、記憶を無くしておりましてな。この教会で保護しておるのです。			灯りの消えた日							
無口ですが、心優しい男です。ここで過ごす間、不便なことがあれば、彼に言うといいでしょう。			無口ですが、心優しい男です。ここで過ごす間、不便なことがあれば、彼に言うといいでしょう。			灯りの消えた日							
マルケズ、この方を頼みましたよ。			マルケズ、この方を頼みましたよ。			灯りの消えた日							
……わかりました。			……わかりました。			灯りの消えた日							
キャンプ・ブロンズレイクのリオルは、冒険者にタイタンの情報を教えたいようだ。			キャンプ・ブロンズレイクのリオルは、冒険者にタイタンの情報を教えたいようだ。			憤怒の岩神タイタン							
コボルド族の「蛮風エーテライト」を使えば、タイタンのもとへ直接行けるらしい。高地ラノシアのゼルマ渓谷で「蛮風エーテライト」を探そう。			コボルド族の「蛮風エーテライト」を使えば、タイタンのもとへ直接行けるらしい。高地ラノシアのゼルマ渓谷で「蛮風エーテライト」を探そう。			憤怒の岩神タイタン							
蛮風エーテライトを見つけた。タイタンの神殿に乗り込み、蛮神「タイタン」を倒そう※進入地点を調べて「サポートNPCと突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、サポートNPCと一緒に攻略できます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。			蛮風エーテライトを見つけた。タイタンの神殿に乗り込み、蛮神「タイタン」を倒そう※進入地点を調べて「サポートNPCと突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、サポートNPCと一緒に攻略できます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。			憤怒の岩神タイタン							
タイタンを討った後、ガレマール帝国軍のネロ、リットアティンとアシエン・ラハブレアが現れた。彼らの目的は、いったい……？　ひとまず、キャンプ・ブロンズレイクで「ヤ・シュトラ」と合流しよう。			タイタンを討った後、ガレマール帝国軍のネロ、リットアティンとアシエン・ラハブレアが現れた。彼らの目的は、いったい……？　ひとまず、キャンプ・ブロンズレイクで「ヤ・シュトラ」と合流しよう。			憤怒の岩神タイタン							
ヤ・シュトラと合流した。目的であったタイタン討伐を完遂したことで、彼女も少し安心しているようだ。			ヤ・シュトラと合流した。目的であったタイタン討伐を完遂したことで、彼女も少し安心しているようだ。			憤怒の岩神タイタン							
ゼルマ渓谷の蛮風エーテライトを調べる			ゼルマ渓谷の蛮風エーテライトを調べる			憤怒の岩神タイタン							
蛮神「タイタン」を討伐			蛮神「タイタン」を討伐			憤怒の岩神タイタン							
キャンプ・ブロンズレイクのヤ・シュトラに報告			キャンプ・ブロンズレイクのヤ・シュトラに報告			憤怒の岩神タイタン							
その昔「海雄旅団」でコボルド族の調査といえば、俺の仕事だったんだ。すでに「蛮風エーテライト」の位置は特定してあるぞ。			その昔「海雄旅団」でコボルド族の調査といえば、俺の仕事だったんだ。すでに「蛮風エーテライト」の位置は特定してあるぞ。			憤怒の岩神タイタン							
なに？　蛮風エーテライトを知らないだって？			なに？　蛮風エーテライトを知らないだって？			憤怒の岩神タイタン							
蛮族が独自に設置したエーテライトのことよ。私たちが日頃使うエーテライトとは、似て非なるもの。原理は同じはずだけどね。			蛮族が独自に設置したエーテライトのことよ。私たちが日頃使うエーテライトとは、似て非なるもの。原理は同じはずだけどね。			憤怒の岩神タイタン							
よう、ねーちゃん。帰ってきたのかい。			よう、ねーちゃん。帰ってきたのかい。			憤怒の岩神タイタン							
ちょうど、蛮風エーテライトの情報を調べていたのよ。			ちょうど、蛮風エーテライトの情報を調べていたのよ。			憤怒の岩神タイタン							
コボルド族が棲んでいたオ・ゴモロ山は、険しい岩山。そうそうと移動はできないはず。きっと、何らかの移動手段があると考えたの。			コボルド族が棲んでいたオ・ゴモロ山は、険しい岩山。そうそうと移動はできないはず。きっと、何らかの移動手段があると考えたの。			憤怒の岩神タイタン							
コボルド族は迷宮のような穴ぐらに棲むからな。それを、ひとつひとつ調べていくのは果てしない話だ。			コボルド族は迷宮のような穴ぐらに棲むからな。それを、ひとつひとつ調べていくのは果てしない話だ。			憤怒の岩神タイタン							
それに、そんなことをしでかしたら、あっという間に退路を断たれて、袋叩きさ。			それに、そんなことをしでかしたら、あっという間に退路を断たれて、袋叩きさ。			憤怒の岩神タイタン							
目的は、蛮神「タイタン」なんだろ？奴を叩くだけなら、奴らのエーテライトを使って、直接、火口にある神殿に飛ぶのが手っ取り早いのさ。			目的は、蛮神「タイタン」なんだろ？奴を叩くだけなら、奴らのエーテライトを使って、直接、火口にある神殿に飛ぶのが手っ取り早いのさ。			憤怒の岩神タイタン							
でも、私たちには蛮風エーテライトは使えないわ。そもそも、あれは蛮族たちが交感するために作られたものだから。			でも、私たちには蛮風エーテライトは使えないわ。そもそも、あれは蛮族たちが交感するために作られたものだから。			憤怒の岩神タイタン							
海雄旅団があったころは、俺たちは、シャーレアン人の魔道士に協力してもらって、蛮風エーテライトを使っていたのさ。			海雄旅団があったころは、俺たちは、シャーレアン人の魔道士に協力してもらって、蛮風エーテライトを使っていたのさ。			憤怒の岩神タイタン							
ねーちゃんもシャーレアンの出なんだろう？同じようにできるんじゃないのかい？			ねーちゃんもシャーレアンの出なんだろう？同じようにできるんじゃないのかい？			憤怒の岩神タイタン							
……そうか、地脈を利用している原理が同じなら、エーテライトと人を結ぶ仲介役が流れを安定させてやれば……。			……そうか、地脈を利用している原理が同じなら、エーテライトと人を結ぶ仲介役が流れを安定させてやれば……。			憤怒の岩神タイタン							
うん、いけそうよ。エーテライト技術は、私たちシャーレアンの専売特許よ。きっと、やってみせるわ！			うん、いけそうよ。エーテライト技術は、私たちシャーレアンの専売特許よ。きっと、やってみせるわ！			憤怒の岩神タイタン							
へへっ、大丈夫のようだな。今は使われてない警備の手薄な蛮風エーテライトが、ここからほど近い「ゼルマ渓谷」にある。			へへっ、大丈夫のようだな。今は使われてない警備の手薄な蛮風エーテライトが、ここからほど近い「ゼルマ渓谷」にある。			憤怒の岩神タイタン							
あの辺りは、魔物の住処だ。蛮神「タイタン」を討つ前に、くたばるんじゃねぇぞ！			あの辺りは、魔物の住処だ。蛮神「タイタン」を討つ前に、くたばるんじゃねぇぞ！			憤怒の岩神タイタン							
棄てられた蛮族エーテライトにアクセスコンテンツ解放、Ncut			棄てられた蛮族エーテライトにアクセスコンテンツ解放、Ncut			憤怒の岩神タイタン							
これが、蛮神「タイタン」の神殿へ通じるという、蛮風エーテライトね。			これが、蛮神「タイタン」の神殿へ通じるという、蛮風エーテライトね。			憤怒の岩神タイタン							
……なるほど。パパリモからの情報のとおりだわ。			……なるほど。パパリモからの情報のとおりだわ。			憤怒の岩神タイタン							
まともに手入れされてなかったためか、常にエーテルを流し続けないと機能しないみたいね。			まともに手入れされてなかったためか、常にエーテルを流し続けないと機能しないみたいね。			憤怒の岩神タイタン							
私はここに残って、蛮風エーテライトが機能するように、エーテルを送り続ける。あなただけでも、先に神殿へ飛びなさい。			私はここに残って、蛮風エーテライトが機能するように、エーテルを送り続ける。あなただけでも、先に神殿へ飛びなさい。			憤怒の岩神タイタン							
心配してくれるのね、ありがとう。でも、大丈夫よ。この周辺は、黒渦団が守ってくれているわ。			心配してくれるのね、ありがとう。でも、大丈夫よ。この周辺は、黒渦団が守ってくれているわ。			憤怒の岩神タイタン							
……戦いになれば、エーテルが大きく乱れるはず。その流れを追って、後から駆けつけるわ。			……戦いになれば、エーテルが大きく乱れるはず。その流れを追って、後から駆けつけるわ。			憤怒の岩神タイタン							
……それじゃ、いくわよ！			……それじゃ、いくわよ！			憤怒の岩神タイタン							
情報どおりなら、飛んだ先は敵陣のど真ん中よ。……気を付けて！			情報どおりなら、飛んだ先は敵陣のど真ん中よ。……気を付けて！			憤怒の岩神タイタン							
ひー　ヒトだあ！ヒトがー　乗り込んできたー！オラたちのー　エーテライト使ったんかー！			ひー　ヒトだあ！ヒトがー　乗り込んできたー！オラたちのー　エーテライト使ったんかー！			憤怒の岩神タイタン							
ヒトめー！　だいーちは　コボルド族のもんだー！侵略者めー！タイタンさーまの　聖域を侵すつもりーか！			ヒトめー！　だいーちは　コボルド族のもんだー！侵略者めー！タイタンさーまの　聖域を侵すつもりーか！			憤怒の岩神タイタン							
(-コボルド族たち-)でてーけ！　でてーけ！だいーちは　オラたーち　コボルド族のもんだー！ヒトはでてーけ！			(-コボルド族たち-)でてーけ！　でてーけ！だいーちは　オラたーち　コボルド族のもんだー！ヒトはでてーけ！			憤怒の岩神タイタン							
しずまーれー！　しずまーれー！タイタンさーまの　御前なるーぞ！！			しずまーれー！　しずまーれー！タイタンさーまの　御前なるーぞ！！			憤怒の岩神タイタン							
我らが聖域にー　迷い込みしヒトの子よー！我らはタイタンさーまを　およーびしたー！古のー協定をーやぶったヒトを罰する－ためー！			我らが聖域にー　迷い込みしヒトの子よー！我らはタイタンさーまを　およーびしたー！古のー協定をーやぶったヒトを罰する－ためー！			憤怒の岩神タイタン							
まずーは　きさーまをータイタンさーまのー生贄にーささげるー！そのうえーで　ヒトのみやーこに　攻め入ろうぞー！			まずーは　きさーまをータイタンさーまのー生贄にーささげるー！そのうえーで　ヒトのみやーこに　攻め入ろうぞー！			憤怒の岩神タイタン							
だいーちを統べるー我らが父よー！きたりまーせー！　きたりまーせー！岩神タイタンよー　きたりまーせー！！			だいーちを統べるー我らが父よー！きたりまーせー！　きたりまーせー！岩神タイタンよー　きたりまーせー！！			憤怒の岩神タイタン							
(-コボルド族たち-)タイタンさーま！タイタンさーま！			(-コボルド族たち-)タイタンさーま！タイタンさーま！			憤怒の岩神タイタン							
我が聖域を踏みにじるヒトの子よ……コボルド族の……我が愛しき子らの嘆きが聞こえた……。			我が聖域を踏みにじるヒトの子よ……コボルド族の……我が愛しき子らの嘆きが聞こえた……。			憤怒の岩神タイタン							
己の欲望のままに、大地を侵し、我が子らを殺す者よ……。その行い許すまじ！			己の欲望のままに、大地を侵し、我が子らを殺す者よ……。その行い許すまじ！			憤怒の岩神タイタン							
……その気配……。お主、もしや焔神「イフリート」を屠ったか！？			……その気配……。お主、もしや焔神「イフリート」を屠ったか！？			憤怒の岩神タイタン							
ぬぬぬぬぬぬ、侮りがたし、ヒトの子よ！それでも、我が内から湧きいずる大地の怒りは止められん。この場で圧殺してくれようぞぉぉぉぉぉ！			ぬぬぬぬぬぬ、侮りがたし、ヒトの子よ！それでも、我が内から湧きいずる大地の怒りは止められん。この場で圧殺してくれようぞぉぉぉぉぉ！			憤怒の岩神タイタン							
タイタンを討伐する			タイタンを討伐する			憤怒の岩神タイタン							
(-コボルド族たち-)あー　タイタンさーま……。きえちゃだーめ　タイタンさーま……。			(-コボルド族たち-)あー　タイタンさーま……。きえちゃだーめ　タイタンさーま……。			憤怒の岩神タイタン							
タイタンさーまに　仇なーすヒトの子よー！覚えておくーがいいー！			タイタンさーまに　仇なーすヒトの子よー！覚えておくーがいいー！			憤怒の岩神タイタン							
お前たーちが　盟約をたがえーなけれーば我らーも　山をおりーることーは　なかったーのだ！			お前たーちが　盟約をたがえーなけれーば我らーも　山をおりーることーは　なかったーのだ！			憤怒の岩神タイタン							
お前たーちが　大地を侵すーかぎーり我らーも　抵抗をー　やめなーい！覚えておくーがいいー！			お前たーちが　大地を侵すーかぎーり我らーも　抵抗をー　やめなーい！覚えておくーがいいー！			憤怒の岩神タイタン							
蛮神「タイタン」か、大した数値だったぜ。			蛮神「タイタン」か、大した数値だったぜ。			憤怒の岩神タイタン							
よし、これで十分なデータが得られたな。いよいよ大詰めってわけだ。			よし、これで十分なデータが得られたな。いよいよ大詰めってわけだ。			憤怒の岩神タイタン							
(-？？？？-)お前が造っている例の玩具……。本当に、想定どおりの力があるのだろうな？			(-？？？？-)お前が造っている例の玩具……。本当に、想定どおりの力があるのだろうな？			憤怒の岩神タイタン							
リットアティン、オレを誰だと思ってるンだ？この程度の蛮神なら、片手で捻り潰せるだろうぜ。脅威の存在ってヤツだ。			リットアティン、オレを誰だと思ってるンだ？この程度の蛮神なら、片手で捻り潰せるだろうぜ。脅威の存在ってヤツだ。			憤怒の岩神タイタン							
それに、あの話が本当なら、エオルゼアを焼き尽くすことだってできる。……そうなンだろ、大将？			それに、あの話が本当なら、エオルゼアを焼き尽くすことだってできる。……そうなンだろ、大将？			憤怒の岩神タイタン							
無論だとも……。脅威の存在は、究極の存在へと昇華するであろう。			無論だとも……。脅威の存在は、究極の存在へと昇華するであろう。			憤怒の岩神タイタン							
戦(いくさ)は数だ……。個の力が大局を左右するなど、信じられんわ。			戦(いくさ)は数だ……。個の力が大局を左右するなど、信じられんわ。			憤怒の岩神タイタン							
それを可能にしちまうンだよ。オレの「玩具」はな。			それを可能にしちまうンだよ。オレの「玩具」はな。			憤怒の岩神タイタン							
フン……。どうにも好かんな。			フン……。どうにも好かんな。			憤怒の岩神タイタン							
俗物が……。			俗物が……。			憤怒の岩神タイタン							
これで4属性目の光のクリスタルか。……面白い。			これで4属性目の光のクリスタルか。……面白い。			憤怒の岩神タイタン							
ハイデリンの使徒よ……。せいぜい、利用させてもらうとしよう。			ハイデリンの使徒よ……。せいぜい、利用させてもらうとしよう。			憤怒の岩神タイタン							
エーテルの痕跡を残さずに転移した……？まさか、今のは「エスケプ」なの？			エーテルの痕跡を残さずに転移した……？まさか、今のは「エスケプ」なの？			憤怒の岩神タイタン							
時空転移の魔法を軽々と使うだなんて。……あの存在、間違いなく「アシエン」ね。			時空転移の魔法を軽々と使うだなんて。……あの存在、間違いなく「アシエン」ね。			憤怒の岩神タイタン							
……そして、ここにも帝国の陰。まさか手を組んでいるとは思わなかったわ。			……そして、ここにも帝国の陰。まさか手を組んでいるとは思わなかったわ。			憤怒の岩神タイタン							
いったい、何を考えているのかしら。少し探りを入れたほうがよさそうね……。			いったい、何を考えているのかしら。少し探りを入れたほうがよさそうね……。			憤怒の岩神タイタン							
蛮神「タイタン」を倒したのね。無事でよかったわ……。			蛮神「タイタン」を倒したのね。無事でよかったわ……。			憤怒の岩神タイタン							
ここに来る道中で、ちょっとした罠を仕掛けてきたの。しばらくの間、コボルド族たちは身動きができないはず。今のうちに脱出しましょう。			ここに来る道中で、ちょっとした罠を仕掛けてきたの。しばらくの間、コボルド族たちは身動きができないはず。今のうちに脱出しましょう。			憤怒の岩神タイタン							
今なら、蛮神「タイタン」から放出されたエーテルで、ここへ来た蛮風エーテライトへ送り届けることができる。			今なら、蛮神「タイタン」から放出されたエーテルで、ここへ来た蛮風エーテライトへ送り届けることができる。			憤怒の岩神タイタン							
私は調査したいことがあるから、ここからは別行動よ。……すぐに戻るわ。「キャンプ・ブロンズレイク」で落ち合いましょう。			私は調査したいことがあるから、ここからは別行動よ。……すぐに戻るわ。「キャンプ・ブロンズレイク」で落ち合いましょう。			憤怒の岩神タイタン							
……よかった、無事落ちあえたわね。ここまで来れば安心よ、お疲れさま。			……よかった、無事落ちあえたわね。ここまで来れば安心よ、お疲れさま。			憤怒の岩神タイタン							
私はここに残って、蛮風エーテライトが機能するように、エーテルを送り続ける。飛んだ先は敵陣のど真ん中よ、気をつけて！			私はここに残って、蛮風エーテライトが機能するように、エーテルを送り続ける。飛んだ先は敵陣のど真ん中よ、気をつけて！			憤怒の岩神タイタン							
キャンプ・ブロンズレイクの治療院のア・ルンリカは、冒険者に頼みがあるようだ。			キャンプ・ブロンズレイクの治療院のア・ルンリカは、冒険者に頼みがあるようだ。			あったかスパイスワイン							
ウォームワインを作ってくれるように頼まれた。「指定地点」に「スパイスワイン」を置こう。			ウォームワインを作ってくれるように頼まれた。「指定地点」に「スパイスワイン」を置こう。			あったかスパイスワイン							
ワインが温まったようだ。「指定地点」から「ウォームワイン」を手に入れよう。			ワインが温まったようだ。「指定地点」から「ウォームワイン」を手に入れよう。			あったかスパイスワイン							
ウォームワインを手に入れた。キャンプ・ブロンズレイクの傷病兵たちに配ろう。			ウォームワインを手に入れた。キャンプ・ブロンズレイクの傷病兵たちに配ろう。			あったかスパイスワイン							
傷病兵にウォームワインを配り終えた。キャンプ・ブロンズレイクの「ア・ルンリカ」に報告しよう。			傷病兵にウォームワインを配り終えた。キャンプ・ブロンズレイクの「ア・ルンリカ」に報告しよう。			あったかスパイスワイン							
ア・ルンリカに報告した。都市民のために戦い、怪我をした傷病兵たちに、彼女は英気を養ってほしいと考えているようだ。			ア・ルンリカに報告した。都市民のために戦い、怪我をした傷病兵たちに、彼女は英気を養ってほしいと考えているようだ。			あったかスパイスワイン							
指定地点にスパイスワインを使う			指定地点にスパイスワインを使う			あったかスパイスワイン							
指定地点からウォームワインを入手			指定地点からウォームワインを入手			あったかスパイスワイン							
