酒房「バスカロンドラザーズ」のバスカロンは、冒険者にお使いを頼みたいようだ。			酒房「バスカロンドラザーズ」のバスカロンは、冒険者にお使いを頼みたいようだ。			懐かしき忘れ物							
「第七霊災」の直後のことだ。黒衣森で行き倒れていたキキルン族を助けてやったことがあってな。			「第七霊災」の直後のことだ。黒衣森で行き倒れていたキキルン族を助けてやったことがあってな。			懐かしき忘れ物							
しばらく、この店で働いていたんだが、俺のように商売を始めるとか言い出して、ラノシアに向かう商人に付いていっちまった。			しばらく、この店で働いていたんだが、俺のように商売を始めるとか言い出して、ラノシアに向かう商人に付いていっちまった。			懐かしき忘れ物							
この間、店の片付けをしていたら、そのキキルン族……「テテルン」が忘れていった荷物を見つけてな、届けてやってほしいのさ。			この間、店の片付けをしていたら、そのキキルン族……「テテルン」が忘れていった荷物を見つけてな、届けてやってほしいのさ。			懐かしき忘れ物							
リムサ・ロミンサの「国際街商通り」に、俺の知り合いの「ベーンシング」というルガディン族がいる。あいつなら、何か知っているだろう。			リムサ・ロミンサの「国際街商通り」に、俺の知り合いの「ベーンシング」というルガディン族がいる。あいつなら、何か知っているだろう。			懐かしき忘れ物							
国際街商通りへようこそ。……「バスカロンドラザーズ」で働いていたキキルン族？覚えているとも、「テテルン」のことだろう。			国際街商通りへようこそ。……「バスカロンドラザーズ」で働いていたキキルン族？覚えているとも、「テテルン」のことだろう。			懐かしき忘れ物							
偶然にも、そこの「キョキョルン」の親戚だったらしく、ふたりで賑やかにしていたんだがね。しばらく前にリムサ・ロミンサを去っていったよ。			偶然にも、そこの「キョキョルン」の親戚だったらしく、ふたりで賑やかにしていたんだがね。しばらく前にリムサ・ロミンサを去っていったよ。			懐かしき忘れ物							
今の居場所を知りたければ、キョキョルンに聞くといいさ。奴は「鶏卵」が大好物だ。土産に持っていけば、話がしやすいだろう。			今の居場所を知りたければ、キョキョルンに聞くといいさ。奴は「鶏卵」が大好物だ。土産に持っていけば、話がしやすいだろう。			懐かしき忘れ物							
しかし、バスカロンも相変わらずだな。照れくさいからって冒険者に依頼を出すとは。……たまには飲みに行ってやるか。			しかし、バスカロンも相変わらずだな。照れくさいからって冒険者に依頼を出すとは。……たまには飲みに行ってやるか。			懐かしき忘れ物							
お客ちゃん、いらっしゃい。あれあれ、お客、違うっちゃ？キョキョルン、なにか、用だっちゃ？			お客ちゃん、いらっしゃい。あれあれ、お客、違うっちゃ？キョキョルン、なにか、用だっちゃ？			懐かしき忘れ物							
うきうき、「鶏卵」いただいたっちゃ！キョキョルン、これこれ、大好きっちゃ！キョキョルン、とてとて、幸せっちゃ！			うきうき、「鶏卵」いただいたっちゃ！キョキョルン、これこれ、大好きっちゃ！キョキョルン、とてとて、幸せっちゃ！			懐かしき忘れ物							
なになに、テテルン、探してるっちゃ？テテルン、ここから、旅立ったっちゃ。ちゃりちゃり、求めて、旅立ったっちゃ。			なになに、テテルン、探してるっちゃ？テテルン、ここから、旅立ったっちゃ。ちゃりちゃり、求めて、旅立ったっちゃ。			懐かしき忘れ物							
テテルン、みせみせ、働いてるっちゃ。「高地ラノシア」に、行ってみるっちゃ。「メメルン交易商店」に、行ってみるっちゃ。			テテルン、みせみせ、働いてるっちゃ。「高地ラノシア」に、行ってみるっちゃ。「メメルン交易商店」に、行ってみるっちゃ。			懐かしき忘れ物							
「高地ラノシア」、ちょっと遠いっちゃ。行き方、「船着場：リムサ・ロミンサ」の「ワインバーグ」に聞いてみるっちゃ。			「高地ラノシア」、ちょっと遠いっちゃ。行き方、「船着場：リムサ・ロミンサ」の「ワインバーグ」に聞いてみるっちゃ。			懐かしき忘れ物							
「ワインバーグ」、いい人っちゃ。きっときっと、親切に教えてくれるっちゃ。			「ワインバーグ」、いい人っちゃ。きっときっと、親切に教えてくれるっちゃ。			懐かしき忘れ物							
へぇ、テテルンってぇ奴を追っかけて、この船着場から「高地ラノシア」まで行きてぇのか？だったら「エールポート」行きの船に乗んな！			へぇ、テテルンってぇ奴を追っかけて、この船着場から「高地ラノシア」まで行きてぇのか？だったら「エールポート」行きの船に乗んな！			懐かしき忘れ物							
それとエールポートに着いたら、商人をやっている「アルドフート」って男を探して、「メメルン交易商店」の場所を聞いてみるといいぜ。			それとエールポートに着いたら、商人をやっている「アルドフート」って男を探して、「メメルン交易商店」の場所を聞いてみるといいぜ。			懐かしき忘れ物							
アルドフートは、エールポートにいる商人では古株でな。商売のため、周辺の地理にも精通しているんだよ。			アルドフートは、エールポートにいる商人では古株でな。商売のため、周辺の地理にも精通しているんだよ。			懐かしき忘れ物							
「高地ラノシア」に行くってぇなら、「エールポート」行きの船に乗るんだな。着いたら「アルドフート」って男に話を聞くといいぜ。			「高地ラノシア」に行くってぇなら、「エールポート」行きの船に乗るんだな。着いたら「アルドフート」って男に話を聞くといいぜ。			懐かしき忘れ物							
テテルンに会いたくて、「高地ラノシア」に行きたい？渡す物があるってのかい、そりゃごくろうさんだァ。			テテルンに会いたくて、「高地ラノシア」に行きたい？渡す物があるってのかい、そりゃごくろうさんだァ。			懐かしき忘れ物							
「高地ラノシア」に行きたいなら、ここから「スカルバレー」を越えて、北に向かいな。			「高地ラノシア」に行きたいなら、ここから「スカルバレー」を越えて、北に向かいな。			懐かしき忘れ物							
山ひとつ越えれば、そこは「高地ラノシア」だ。その先にあるオークウッドを道なりに北へ進めば、やっこさんのいる「メメルン交易商店」に辿り着くぜ。			山ひとつ越えれば、そこは「高地ラノシア」だ。その先にあるオークウッドを道なりに北へ進めば、やっこさんのいる「メメルン交易商店」に辿り着くぜ。			懐かしき忘れ物							
お客ちゃん、いらっしゃい。あらあら、お客、違うっちゃ？……テテルン、なにか、もらえるっちゃ？			お客ちゃん、いらっしゃい。あらあら、お客、違うっちゃ？……テテルン、なにか、もらえるっちゃ？			懐かしき忘れ物							
これこれ、テテルン、忘れ物っちゃ！テテルン、ドキドキ、隠せないっちゃ！届けて、くれて、ありがとーっちゃ！			これこれ、テテルン、忘れ物っちゃ！テテルン、ドキドキ、隠せないっちゃ！届けて、くれて、ありがとーっちゃ！			懐かしき忘れ物							
バスカロン、元気にしてるっちゃ？テテルン、お世話に、なったっちゃ。テテルン、なんだか、懐かしいっちゃ……。			バスカロン、元気にしてるっちゃ？テテルン、お世話に、なったっちゃ。テテルン、なんだか、懐かしいっちゃ……。			懐かしき忘れ物							
メメルン交易商店のテテルンは、冒険者に手伝ってほしいことがあるようだ。			メメルン交易商店のテテルンは、冒険者に手伝ってほしいことがあるようだ。			テテルンのふるまい酒							
キキルン濁酒を作る手伝いを頼まれた。高地ラノシアの愚か者の滝付近にいる「クァール・パップ」を討伐して「クァール・パップの髭」を3本入手しよう。			キキルン濁酒を作る手伝いを頼まれた。高地ラノシアの愚か者の滝付近にいる「クァール・パップ」を討伐して「クァール・パップの髭」を3本入手しよう。			テテルンのふるまい酒							
メメルン交易商店の「テテルン」に集めた材料を渡そう。			メメルン交易商店の「テテルン」に集めた材料を渡そう。			テテルンのふるまい酒							
冒険者の集めてきた材料で、キキルン濁酒の仕込みができた。完成までは少し時間がかかるらしい。			冒険者の集めてきた材料で、キキルン濁酒の仕込みができた。完成までは少し時間がかかるらしい。			テテルンのふるまい酒							
クァール・パップからクァール・パップの髭を入手			クァール・パップからクァール・パップの髭を入手			テテルンのふるまい酒							
テテルンにクァール・パップの髭を渡す			テテルンにクァール・パップの髭を渡す			テテルンのふるまい酒							
受注するには、進行中のメインクエストを破棄する必要があります。メインコマンドの「コンテンツ情報」から、「ジャーナル」を選び、破棄してください。			受注するには、進行中のメインクエストを破棄する必要があります。メインコマンドの「コンテンツ情報」から、「ジャーナル」を選び、破棄してください。			テテルンのふるまい酒							
テテルン、バスカロンに、お礼するっちゃ。バスカロン、「キキルン濁酒」好きだったっちゃ。酒酒、もりもり、作るっちゃ。			テテルン、バスカロンに、お礼するっちゃ。バスカロン、「キキルン濁酒」好きだったっちゃ。酒酒、もりもり、作るっちゃ。			テテルンのふるまい酒							
いっしょに、酒酒、作るっちゃ？酒酒、材料、取ってくるっちゃ。			いっしょに、酒酒、作るっちゃ？酒酒、材料、取ってくるっちゃ。			テテルンのふるまい酒							
テテルン、美味しい水水、用意するっちゃ。その間、「クァール・パップ」倒して、「クァール・パップの髭」、3本、取ってくるっちゃ。			テテルン、美味しい水水、用意するっちゃ。その間、「クァール・パップ」倒して、「クァール・パップの髭」、3本、取ってくるっちゃ。			テテルンのふるまい酒							
酒酒、もりもり、作るっちゃ。……材料、もりもり、取ってきたっちゃ？			酒酒、もりもり、作るっちゃ。……材料、もりもり、取ってきたっちゃ？			テテルンのふるまい酒							
酒酒、材料、そろったっちゃ！テテルン、感謝で、いっぱいだっちゃ！			酒酒、材料、そろったっちゃ！テテルン、感謝で、いっぱいだっちゃ！			テテルンのふるまい酒							
さっそく、酒酒、作るっちゃ。酒酒、できるの、待ってるっちゃ。少しの間、待ってるっちゃ。			さっそく、酒酒、作るっちゃ。酒酒、できるの、待ってるっちゃ。少しの間、待ってるっちゃ。			テテルンのふるまい酒							
メメルン交易商店のテテルンは、冒険者に手伝ってほしいことがあるようだ。			メメルン交易商店のテテルンは、冒険者に手伝ってほしいことがあるようだ。			テテルンのふるまい酒							
*本クエストは調整されました。一度破棄し、メメルン交易商店の「テテルン」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			*本クエストは調整されました。一度破棄し、メメルン交易商店の「テテルン」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			テテルンのふるまい酒							
メメルン交易商店の「テテルン」に集めた材料を渡そう。			メメルン交易商店の「テテルン」に集めた材料を渡そう。			テテルンのふるまい酒							
冒険者の集めてきた材料で、キキルン濁酒の仕込みができた。完成までは少し時間がかかるらしい。			冒険者の集めてきた材料で、キキルン濁酒の仕込みができた。完成までは少し時間がかかるらしい。			テテルンのふるまい酒							
*本クエストは調整されました。一度破棄し、メメルン交易商店のテテルンから再受注してください			*本クエストは調整されました。一度破棄し、メメルン交易商店のテテルンから再受注してください			テテルンのふるまい酒							
テテルン、バスカロンに、お礼するっちゃ。バスカロン、「キキルン濁酒」好きだったっちゃ。酒酒、もりもり、作るっちゃ。			テテルン、バスカロンに、お礼するっちゃ。バスカロン、「キキルン濁酒」好きだったっちゃ。酒酒、もりもり、作るっちゃ。			テテルンのふるまい酒							
いっしょに、酒酒、作るっちゃ？酒酒、材料、取ってくるっちゃ。			いっしょに、酒酒、作るっちゃ？酒酒、材料、取ってくるっちゃ。			テテルンのふるまい酒							
「清水入りの樽」、ひとつ、汲んでくるっちゃ。これこれ、いっぱい、入れてくるっちゃ。「クァール・パップの髭」、5本、取ってくるっちゃ。			「清水入りの樽」、ひとつ、汲んでくるっちゃ。これこれ、いっぱい、入れてくるっちゃ。「クァール・パップの髭」、5本、取ってくるっちゃ。			テテルンのふるまい酒							
（愚か者の滝の指定地点に空のタルを使用し滝の水を入手）			（愚か者の滝の指定地点に空のタルを使用し滝の水を入手）			テテルンのふるまい酒							
（クアールを討伐して「クアールの髭」を入手×５）			（クアールを討伐して「クアールの髭」を入手×５）			テテルンのふるまい酒							
酒酒、もりもり、作るっちゃ。……材料、もりもり、取ってきたっちゃ？			酒酒、もりもり、作るっちゃ。……材料、もりもり、取ってきたっちゃ？			テテルンのふるまい酒							
酒酒、材料、そろったっちゃ！テテルン、感謝で、いっぱいだっちゃ！			酒酒、材料、そろったっちゃ！テテルン、感謝で、いっぱいだっちゃ！			テテルンのふるまい酒							
さっそく、酒酒、作るっちゃ。酒酒、できるの、待ってるっちゃ。少しの間、待ってるっちゃ。			さっそく、酒酒、作るっちゃ。酒酒、できるの、待ってるっちゃ。少しの間、待ってるっちゃ。			テテルンのふるまい酒							
メメルン交易商店のテテルンはバスカロンへ配達を頼みたいようだ。			メメルン交易商店のテテルンはバスカロンへ配達を頼みたいようだ。			熟成される友情							
配達を頼まれた。グリダニアの酒房「バスカロンドラザーズ」へ向かい、「バスカロン」に「キキルン濁酒」を渡そう。			配達を頼まれた。グリダニアの酒房「バスカロンドラザーズ」へ向かい、「バスカロン」に「キキルン濁酒」を渡そう。			熟成される友情							
バスカロンにキキルン濁酒を渡した。テテルンの心遣いにバスカロンも嬉しそうだ。			バスカロンにキキルン濁酒を渡した。テテルンの心遣いにバスカロンも嬉しそうだ。			熟成される友情							
酒房「バスカロンドラザーズ」のバスカロンにキキルン濁酒を渡す			酒房「バスカロンドラザーズ」のバスカロンにキキルン濁酒を渡す			熟成される友情							
ようやく「キキルン濁酒」、できたっちゃ！酒酒、もりもり、作ったっちゃ！これこれ、「バスカロン」に、届けてっちゃ。			ようやく「キキルン濁酒」、できたっちゃ！酒酒、もりもり、作ったっちゃ！これこれ、「バスカロン」に、届けてっちゃ。			熟成される友情							
酒酒、1年しっかり、寝かすっちゃ。そしたら、うまうま、しょーてんっちゃ！			酒酒、1年しっかり、寝かすっちゃ。そしたら、うまうま、しょーてんっちゃ！			熟成される友情							
バスカロン、うきうき、するっちゃかな？テテルン、伝えて、ほしいっちゃ。バスカロン、ホントに、ありがとうっちゃ。			バスカロン、うきうき、するっちゃかな？テテルン、伝えて、ほしいっちゃ。バスカロン、ホントに、ありがとうっちゃ。			熟成される友情							
いつか、バスカロンに、勝つ勝つっちゃ！大きな、みせみせ、作ってやるっちゃ！ちゃりちゃり、もりもり、集めるっちゃ！			いつか、バスカロンに、勝つ勝つっちゃ！大きな、みせみせ、作ってやるっちゃ！ちゃりちゃり、もりもり、集めるっちゃ！			熟成される友情							
よう、帰ってきたか。無事に届けてくれたんだな、ありがとうよ。……あいつから、俺に贈り物だって？			よう、帰ってきたか。無事に届けてくれたんだな、ありがとうよ。……あいつから、俺に贈り物だって？			熟成される友情							
これは「キキルン濁酒」じゃねぇか！俺が、この酒を好きだったのを覚えていたんだな。あいつ……嬉しいことをしてくれるじゃないか。			これは「キキルン濁酒」じゃねぇか！俺が、この酒を好きだったのを覚えていたんだな。あいつ……嬉しいことをしてくれるじゃないか。			熟成される友情							
このまま1年間、寝かせておけばいいんだな？キキルンの酒は、独特の臭みと風味がたまらねぇ。じっくり寝かせることで、うまうま、しょーてんさ！			このまま1年間、寝かせておけばいいんだな？キキルンの酒は、独特の臭みと風味がたまらねぇ。じっくり寝かせることで、うまうま、しょーてんさ！			熟成される友情							
……まったく、今から1年後が楽しみだぜ！お前さんも、その時はまた来てくれよな！			……まったく、今から1年後が楽しみだぜ！お前さんも、その時はまた来てくれよな！			熟成される友情							
酒房「バスカロンドラザーズ」のバスカロンは冒険者にシルフ族に関する情報を与えたいようだ。			酒房「バスカロンドラザーズ」のバスカロンは冒険者にシルフ族に関する情報を与えたいようだ。			木立を縫う者							
森の中でシルフ族が目撃されたそうだ。バスカロンが地図に印をつけてくれた「指定地点」で周囲を調査してみよう。			森の中でシルフ族が目撃されたそうだ。バスカロンが地図に印をつけてくれた「指定地点」で周囲を調査してみよう。			木立を縫う者							
印のついた場所を全て見回った。酒房「バスカロンドラザーズ」に戻り「バスカロン」と相談してみよう。			印のついた場所を全て見回った。酒房「バスカロンドラザーズ」に戻り「バスカロン」と相談してみよう。			木立を縫う者							
バスカロンによると、本来、帝国兵でも森の奥まで入り込むことはできないそうだ。グリダニアの中に裏切り者がいるのだろうか？			バスカロンによると、本来、帝国兵でも森の奥まで入り込むことはできないそうだ。グリダニアの中に裏切り者がいるのだろうか？			木立を縫う者							
指定地点を調査			指定地点を調査			木立を縫う者							
バスカロンに報告			バスカロンに報告			木立を縫う者							
お前さんが仕事をしている間に、情報が入ってきたぜ。最近、この辺りでシルフが目撃された場所がある。しかも、どの場所も普段のシルフの活動範囲ではない。			お前さんが仕事をしている間に、情報が入ってきたぜ。最近、この辺りでシルフが目撃された場所がある。しかも、どの場所も普段のシルフの活動範囲ではない。			木立を縫う者							
