シェシェネ青燐泉付近のエレンヴィルは、町中を観察しているようだ。			シェシェネ青燐泉付近のエレンヴィルは、町中を観察しているようだ。			荒野の掟							
え、そうなの！？誰か知らねえけど……もしかして、このデコワ様のファンとか？			え、そうなの！？誰か知らねえけど……もしかして、このデコワ様のファンとか？			エヘヘケヤー作戦							
まあ、誰でもいいや！助けてくれたこと、本当に感謝してるぜ！			まあ、誰でもいいや！助けてくれたこと、本当に感謝してるぜ！			エヘヘケヤー作戦							
それよりも、おたくがヴァルチャーと呼んでいる人物……野盗どもに「ボス」と呼ばれていた男の顔に、見覚えがある。			それよりも、おたくがヴァルチャーと呼んでいる人物……野盗どもに「ボス」と呼ばれていた男の顔に、見覚えがある。			エヘヘケヤー作戦							
あいつは……フーサタイ宿場町で、おたくと言い争いをしてた奴じゃなかったか？			あいつは……フーサタイ宿場町で、おたくと言い争いをしてた奴じゃなかったか？			エヘヘケヤー作戦							
ああ、そうだ……。あるときは「ヴァルチャー」の異名で知られる悪党、またあるときは、自警隊の副隊長「ウィフーテ」ってわけさ。			ああ、そうだ……。あるときは「ヴァルチャー」の異名で知られる悪党、またあるときは、自警隊の副隊長「ウィフーテ」ってわけさ。			エヘヘケヤー作戦							
法を司る自警隊の中に、無法者の親玉が潜り込んでる……。本当だったってことか……。			法を司る自警隊の中に、無法者の親玉が潜り込んでる……。本当だったってことか……。			エヘヘケヤー作戦							
なあ……礼と言っちゃなんだが、俺様にも協力させてくれねぇか？あんたら、ヴァルチャーが持ってる盗品を取り戻したいんだろ？			なあ……礼と言っちゃなんだが、俺様にも協力させてくれねぇか？あんたら、ヴァルチャーが持ってる盗品を取り戻したいんだろ？			エヘヘケヤー作戦							
あのクソジジイがいつも盗品を隠す場所なら、心当たりがある。きっと今も、そこに向かったはず！			あのクソジジイがいつも盗品を隠す場所なら、心当たりがある。きっと今も、そこに向かったはず！			エヘヘケヤー作戦							
だからさ……俺様を仲間に加えてくれよ。どうしても、あいつと決着をつけなきゃなんねぇんだ……！			だからさ……俺様を仲間に加えてくれよ。どうしても、あいつと決着をつけなきゃなんねぇんだ……！			エヘヘケヤー作戦							
……まだおたくのことを信用したわけじゃない。事情があるなら話してくれ。			……まだおたくのことを信用したわけじゃない。事情があるなら話してくれ。			エヘヘケヤー作戦							
トナテニャイにいた奴ら……「荒野の夜明け団」は、俺様とダチが立ち上げた組織さ。			トナテニャイにいた奴ら……「荒野の夜明け団」は、俺様とダチが立ち上げた組織さ。			エヘヘケヤー作戦							
も、もちろん、野盗の組織なんかじゃないぞ？			も、もちろん、野盗の組織なんかじゃないぞ？			エヘヘケヤー作戦							
子どもとか貧しい奴らとか、とにかく弱い立場の労働者を、悪徳採掘業者から護るために作った、正義の組織だったんだ！			子どもとか貧しい奴らとか、とにかく弱い立場の労働者を、悪徳採掘業者から護るために作った、正義の組織だったんだ！			エヘヘケヤー作戦							
今から3年前……俺様はふたりのダチと「荒野の夜明け団」を作った。そんで、陰で悪さを働くクソどもを成敗してきたのさ！			今から3年前……俺様はふたりのダチと「荒野の夜明け団」を作った。そんで、陰で悪さを働くクソどもを成敗してきたのさ！			エヘヘケヤー作戦							
俺様たちが得意な……「決闘」でよ！			俺様たちが得意な……「決闘」でよ！			エヘヘケヤー作戦							
なるほど、揉め事があった場合には決闘で白黒つける……その「荒野の掟」がある限り、決闘で勝ちさえすれば、大人の悪党相手でも意思を通せていたわけか。			なるほど、揉め事があった場合には決闘で白黒つける……その「荒野の掟」がある限り、決闘で勝ちさえすれば、大人の悪党相手でも意思を通せていたわけか。			エヘヘケヤー作戦							
ああ、そうやって活動しているうちに、身寄りのない奴らが俺様たちのとこに集まるようになって、「荒野の夜明け団」は、そこそこの人数になったよ。			ああ、そうやって活動しているうちに、身寄りのない奴らが俺様たちのとこに集まるようになって、「荒野の夜明け団」は、そこそこの人数になったよ。			エヘヘケヤー作戦							
だけど……1年前にヴァルチャーが手下を連れてやってきて、みんなボコボコにされてさ……組織を乗っ取られちまった。			だけど……1年前にヴァルチャーが手下を連れてやってきて、みんなボコボコにされてさ……組織を乗っ取られちまった。			エヘヘケヤー作戦							
そっからみんな、ヴァルチャーが怖くて従うようになったんだ。あいつが掲げる楽な稼ぎに、目がくらんだ奴もいるけどさ。			そっからみんな、ヴァルチャーが怖くて従うようになったんだ。あいつが掲げる楽な稼ぎに、目がくらんだ奴もいるけどさ。			エヘヘケヤー作戦							
今じゃ「荒野の夜明け団」は最低の野盗集団だ……。護るべき弱い奴から金品を巻き上げて、大笑いしてるんだからよ。			今じゃ「荒野の夜明け団」は最低の野盗集団だ……。護るべき弱い奴から金品を巻き上げて、大笑いしてるんだからよ。			エヘヘケヤー作戦							
だから、俺様たち3人は最後の手を使うことにした。ヴァルチャーに「決闘」を挑んだのさ。			だから、俺様たち3人は最後の手を使うことにした。ヴァルチャーに「決闘」を挑んだのさ。			エヘヘケヤー作戦							
奴は受けて立つと豪語したよ。それなのに……			奴は受けて立つと豪語したよ。それなのに……			エヘヘケヤー作戦							
決闘の日、約束の場所に現れたヴァルチャーは、自警隊の副隊長として、クイカナとリウィネを逮捕したんだ。強盗行為を働いたっていう濡れ衣を着せてな。			決闘の日、約束の場所に現れたヴァルチャーは、自警隊の副隊長として、クイカナとリウィネを逮捕したんだ。強盗行為を働いたっていう濡れ衣を着せてな。			エヘヘケヤー作戦							
おまけにあのジジイ、仲間を釈放してほしかったら、アホみたいな額の金を用意しろと脅してきたんだぜ！？			おまけにあのジジイ、仲間を釈放してほしかったら、アホみたいな額の金を用意しろと脅してきたんだぜ！？			エヘヘケヤー作戦							
信頼できるダチふたりは牢の中……かつての仲間も、自警隊も頼ることはできなくて、どうすればいいのか、わからなくてよぉ……。			信頼できるダチふたりは牢の中……かつての仲間も、自警隊も頼ることはできなくて、どうすればいいのか、わからなくてよぉ……。			エヘヘケヤー作戦							
それで、ヤケになって直談判しにいったってわけか。			それで、ヤケになって直談判しにいったってわけか。			エヘヘケヤー作戦							
ああ、軽くあしらわれて頭にきてさ！銃で撃とうとしたところで、変な槍使いのおっさんに止められた。			ああ、軽くあしらわれて頭にきてさ！銃で撃とうとしたところで、変な槍使いのおっさんに止められた。			エヘヘケヤー作戦							
そのうえフーサタイ宿場町から出たところで、ヴァルチャーの手下たちに、不意打ち食らわされて捕まってさ。……まあ、今に至るってカンジだ。			そのうえフーサタイ宿場町から出たところで、ヴァルチャーの手下たちに、不意打ち食らわされて捕まってさ。……まあ、今に至るってカンジだ。			エヘヘケヤー作戦							
……なるほどな。自警隊は、全員がグルなのか？			……なるほどな。自警隊は、全員がグルなのか？			エヘヘケヤー作戦							
いや、それはないな。ヴァルチャーと、その側近くらいだと思うぜ。			いや、それはないな。ヴァルチャーと、その側近くらいだと思うぜ。			エヘヘケヤー作戦							
ケマッカ隊長の正義感は本物さ。ただ、かなり鈍感だから、いいように騙されてるんだ。			ケマッカ隊長の正義感は本物さ。ただ、かなり鈍感だから、いいように騙されてるんだ。			エヘヘケヤー作戦							
自警団に垂れ込んだところで、悪ガキとしか思われてない俺様と副隊長の意見、どっちを聞くと思う？			自警団に垂れ込んだところで、悪ガキとしか思われてない俺様と副隊長の意見、どっちを聞くと思う？			エヘヘケヤー作戦							
