アドネール占星台のカリローは、冒険者へひそかに仕事を頼みたいようだ。			アドネール占星台のカリローは、冒険者へひそかに仕事を頼みたいようだ。			アインハルト家の受難							
たしかに、アインハルト家の紋章は「薔薇」だ。……それが、どうかしたのだろうか？			たしかに、アインハルト家の紋章は「薔薇」だ。……それが、どうかしたのだろうか？			アインハルト家の受難							
「薄雪草」……この地が氷に閉ざされる前、母上が好んでいた花の名だ。どうやら、キミとは安心して話せるらしい。			「薄雪草」……この地が氷に閉ざされる前、母上が好んでいた花の名だ。どうやら、キミとは安心して話せるらしい。			アインハルト家の受難							
僕に宛てた荷物から「竜眼の祈鎖」が……！？そうか……恐れていたことが、ついに……。			僕に宛てた荷物から「竜眼の祈鎖」が……！？そうか……恐れていたことが、ついに……。			アインハルト家の受難							
「竜眼の祈鎖」とは、異端者の装飾具。彼らはそれを以て、同志であることを確かめあうという。それが荷物から出てきたなら、嫌疑をかけられて当然だ。			「竜眼の祈鎖」とは、異端者の装飾具。彼らはそれを以て、同志であることを確かめあうという。それが荷物から出てきたなら、嫌疑をかけられて当然だ。			アインハルト家の受難							
だが、僕は違うんだ……一族の皆だって……最近の異端者騒動はおかしい。誰かが、アインハルト家を陥れようとしている……。			だが、僕は違うんだ……一族の皆だって……最近の異端者騒動はおかしい。誰かが、アインハルト家を陥れようとしている……。			アインハルト家の受難							
信じてくれたカリローとキミに、感謝しなくてはならないな。できることなら力になってあげたいが……異端者の嫌疑を受けた身では、言葉のひとつも通せない。			信じてくれたカリローとキミに、感謝しなくてはならないな。できることなら力になってあげたいが……異端者の嫌疑を受けた身では、言葉のひとつも通せない。			アインハルト家の受難							
かわりに、砦の北にある「キャンプ・ドラゴンヘッド」を預かる騎士、「オルシュファン」への紹介状を書いてあげよう。			かわりに、砦の北にある「キャンプ・ドラゴンヘッド」を預かる騎士、「オルシュファン」への紹介状を書いてあげよう。			アインハルト家の受難							
彼は、四大名家の中でも傭兵や冒険者の受け入れに積極的なフォルタン家の騎士で……僕の親友だ。きっと、キミの力になってくれるよ。			彼は、四大名家の中でも傭兵や冒険者の受け入れに積極的なフォルタン家の騎士で……僕の親友だ。きっと、キミの力になってくれるよ。			アインハルト家の受難							
その風体、冒険者だな。「キャンプ・ドラゴンヘッド」は来訪者を拒まない。滞在の間、お前の持つ技術や知識を、おおいに…………			その風体、冒険者だな。「キャンプ・ドラゴンヘッド」は来訪者を拒まない。滞在の間、お前の持つ技術や知識を、おおいに…………			アインハルト家の受難							
…………イイ……すごくイイぞ……！はぁ、なんてそそる……鍛え上げられた肉体だ……！美しき[Race]族よ、用件を言ってみるといい！			…………イイ……すごくイイぞ……！はぁ、なんてそそる……鍛え上げられた肉体だ……！美しき[Race]族よ、用件を言ってみるといい！			アインハルト家の受難							
これは、フランセルの……。異端者の嫌疑をかけられて、何を頼むかと思えば、『Forenameに協力しろ』ときたか。			これは、フランセルの……。異端者の嫌疑をかけられて、何を頼むかと思えば、『Forenameに協力しろ』ときたか。			アインハルト家の受難							
そこまでされては、断るわけにもいくまい。あいつのことも気がかりではあるが、まずは、お前の用件を聞かせてくれ。			そこまでされては、断るわけにもいくまい。あいつのことも気がかりではあるが、まずは、お前の用件を聞かせてくれ。			アインハルト家の受難							
飛空艇「エンタープライズ」……しかも霊災前の話とは。……イシュガルドも、あの時期は混乱を極めたからな。目撃者を探すにしても、少々てこずるかもしれん。			飛空艇「エンタープライズ」……しかも霊災前の話とは。……イシュガルドも、あの時期は混乱を極めたからな。目撃者を探すにしても、少々てこずるかもしれん。			アインハルト家の受難							
無論、こちらも最善を尽くすが、Forename自身の力が不可欠になるだろう。お前の力を、すみずみまで見せてくれ……！			無論、こちらも最善を尽くすが、Forename自身の力が不可欠になるだろう。お前の力を、すみずみまで見せてくれ……！			アインハルト家の受難							
ここまでの旅程、大変ご苦労だった。友とフォルタン家の名にかけて、現下より、このオルシュファンが力を貸そう！			ここまでの旅程、大変ご苦労だった。友とフォルタン家の名にかけて、現下より、このオルシュファンが力を貸そう！			アインハルト家の受難							
キャンプ・ドラゴンヘッドのオルシュファンは、冒険者にある頼みがあるようだ。			キャンプ・ドラゴンヘッドのオルシュファンは、冒険者にある頼みがあるようだ。			フォルタン家のとてもイイ試合							
*本クエストは調整されました。一度破棄し、キャンプ・ドラゴンヘッドの「オルシュファン」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			*本クエストは調整されました。一度破棄し、キャンプ・ドラゴンヘッドの「オルシュファン」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			フォルタン家のとてもイイ試合							
フォルタン家の騎兵たちを打ち負かした。キャンプ・ドラゴンヘッドの「オルシュファン」に報告しよう。			フォルタン家の騎兵たちを打ち負かした。キャンプ・ドラゴンヘッドの「オルシュファン」に報告しよう。			フォルタン家のとてもイイ試合							
フォルタン家の騎士であるオルシュファンは、イシュガルドの在りように一家言を持っているらしい。飛空艇「エンタープライズ」の調査にも期待できそうだ。			フォルタン家の騎士であるオルシュファンは、イシュガルドの在りように一家言を持っているらしい。飛空艇「エンタープライズ」の調査にも期待できそうだ。			フォルタン家のとてもイイ試合							
*本クエストは調整されました。一度破棄し、キャンプ・ドラゴンヘッドのオルシュファンから再受注してください			*本クエストは調整されました。一度破棄し、キャンプ・ドラゴンヘッドのオルシュファンから再受注してください			フォルタン家のとてもイイ試合							
飛空艇の調査をはじめる前に、ひとつ頼みがある。私の部下たちと……手合わせしてもらえないか？			飛空艇の調査をはじめる前に、ひとつ頼みがある。私の部下たちと……手合わせしてもらえないか？			フォルタン家のとてもイイ試合							
冒険者の戦い方は、我らのソレとは大きく異なる。その技は強く、たくましく、荒々しい……！部下には、イイ勉強となるに違いない！			冒険者の戦い方は、我らのソレとは大きく異なる。その技は強く、たくましく、荒々しい……！部下には、イイ勉強となるに違いない！			フォルタン家のとてもイイ試合							
部下は、キャンプ・ドラゴンヘッドの西で待たせている。遠慮は無用、存分に打ち負かしてやってくれ！			部下は、キャンプ・ドラゴンヘッドの西で待たせている。遠慮は無用、存分に打ち負かしてやってくれ！			フォルタン家のとてもイイ試合							
むっ、貴殿が件のイイ冒険者だな。騎兵たちとの手合わせ、よろしく頼むぞ！			むっ、貴殿が件のイイ冒険者だな。騎兵たちとの手合わせ、よろしく頼むぞ！			フォルタン家のとてもイイ試合							
ふむ……隊長のお眼鏡にかなっただけのことはある。なかなかどうして、イイ体つきだな。			ふむ……隊長のお眼鏡にかなっただけのことはある。なかなかどうして、イイ体つきだな。			フォルタン家のとてもイイ試合							
はぁ……たまらないな……。お前と部下たちの、熱い吐息……イイ……。			はぁ……たまらないな……。お前と部下たちの、熱い吐息……イイ……。			フォルタン家のとてもイイ試合							
我がフォルタン家は、積極的に冒険者や傭兵を雇っている。今は他家の反感も強いが、お前のような猛者が活躍すれば、理解を得られる日もくるだろう。			我がフォルタン家は、積極的に冒険者や傭兵を雇っている。今は他家の反感も強いが、お前のような猛者が活躍すれば、理解を得られる日もくるだろう。			フォルタン家のとてもイイ試合							
そもそも、彼らは狭量なのだ。細かいことに囚われず、好きなものを愛で、睦む……イイ……大変結構ではないか！			そもそも、彼らは狭量なのだ。細かいことに囚われず、好きなものを愛で、睦む……イイ……大変結構ではないか！			フォルタン家のとてもイイ試合							
ともかく、手合わせご苦労だった。礼もかねて、都に使者を送っておいたぞ。吉報を待ちながら、こちらでも調査を進めるとしよう。			ともかく、手合わせご苦労だった。礼もかねて、都に使者を送っておいたぞ。吉報を待ちながら、こちらでも調査を進めるとしよう。			フォルタン家のとてもイイ試合							
敵の気配を感じた！！			敵の気配を感じた！！			フォルタン家のとてもイイ試合							
アドネール占星台のポルトゥレーンは、冒険者に捜索の仕事を頼みたいようだ。			アドネール占星台のポルトゥレーンは、冒険者に捜索の仕事を頼みたいようだ。			砦に宛てられた荷物							
ポルトゥレーンは賊に襲われた行商人の荷物を取り戻して欲しいそうだ。アドネール占星台の西の街道に赴き「奪われた荷物」を回収しよう。			ポルトゥレーンは賊に襲われた行商人の荷物を取り戻して欲しいそうだ。アドネール占星台の西の街道に赴き「奪われた荷物」を回収しよう。			砦に宛てられた荷物							
賊の妨害があったが、見事奪われた荷物の回収に成功した。アドネール占星台のポルトゥレーンに渡そう。			賊の妨害があったが、見事奪われた荷物の回収に成功した。アドネール占星台のポルトゥレーンに渡そう。			砦に宛てられた荷物							
「竜眼の祈鎖」とは、異端者の証であるらしい。証が入っていた荷物の宛先は四大名家の縁類、フランセル卿だった。ポルトゥレーンは、異端審問官に報告すると息巻いているが……。			「竜眼の祈鎖」とは、異端者の証であるらしい。証が入っていた荷物の宛先は四大名家の縁類、フランセル卿だった。ポルトゥレーンは、異端審問官に報告すると息巻いているが……。			砦に宛てられた荷物							
荷物を回収			荷物を回収			砦に宛てられた荷物							
ポルトゥレーンに荷物を渡す			ポルトゥレーンに荷物を渡す			砦に宛てられた荷物							
先ほど、アートボルグ砦群に向かっていた荷運び人が道中で賊に襲われたと逃げこんできた。			先ほど、アートボルグ砦群に向かっていた荷運び人が道中で賊に襲われたと逃げこんできた。			砦に宛てられた荷物							
荷運び人が襲われたという場所は、西の街道だ。ただちに現地へ向かい、賊から荷を取り戻せ。			荷運び人が襲われたという場所は、西の街道だ。ただちに現地へ向かい、賊から荷を取り戻せ。			砦に宛てられた荷物							
荷は四大名家のひとつ、アインハルト家が管轄する「アートボルグ砦群」に宛てられたものだ。無事に取り戻せたら、砦に紹介してやろう。			荷は四大名家のひとつ、アインハルト家が管轄する「アートボルグ砦群」に宛てられたものだ。無事に取り戻せたら、砦に紹介してやろう。			砦に宛てられた荷物							
（アドネールとゼーメルの中間地点、荷物EOBJに近寄ると賊（フードの異端）×３がＰＯＰ荷物EOBJにアクセスし拾う）			（アドネールとゼーメルの中間地点、荷物EOBJに近寄ると賊（フードの異端）×３がＰＯＰ荷物EOBJにアクセスし拾う）			砦に宛てられた荷物							
荷は取り戻せたか？念のため、中身を確認させてもらうぞ。			荷は取り戻せたか？念のため、中身を確認させてもらうぞ。			砦に宛てられた荷物							
ああ、よかった！わたくしが運んでいた荷物は、これで全部…………おや、ひとつ多いようです。			ああ、よかった！わたくしが運んでいた荷物は、これで全部…………おや、ひとつ多いようです。			砦に宛てられた荷物							
こちらの小箱は、荷車に積み込んだ覚えがありません。もしや、賊の持っていた別の荷物が混じったのでは？			こちらの小箱は、荷車に積み込んだ覚えがありません。もしや、賊の持っていた別の荷物が混じったのでは？			砦に宛てられた荷物							
宛先は……フランセル卿？……ああ、アインハルト家のぱっとしない四男坊か。少々、中身を確認させてもらおう。			宛先は……フランセル卿？……ああ、アインハルト家のぱっとしない四男坊か。少々、中身を確認させてもらおう。			砦に宛てられた荷物							
こ、これは「竜眼の祈鎖」だとッ！？異端者の証が、何故ここに！？			こ、これは「竜眼の祈鎖」だとッ！？異端者の証が、何故ここに！？			砦に宛てられた荷物							
そういえば……このところ、アインハルト家の縁者から、多くの異端者が見つかっていると聞く。だが、まさかフランセル卿まで……？			そういえば……このところ、アインハルト家の縁者から、多くの異端者が見つかっていると聞く。だが、まさかフランセル卿まで……？			砦に宛てられた荷物							
お前をアートボルグ砦群に紹介するのは取りやめだ。なにせ、フランセル卿は……その「アートボルグ砦群」の責任者なのだからな！			お前をアートボルグ砦群に紹介するのは取りやめだ。なにせ、フランセル卿は……その「アートボルグ砦群」の責任者なのだからな！			砦に宛てられた荷物							
我がイシュガルドにおいて、ドラゴン族とそれに与する異端者は、根絶すべき不浄の存在。すぐに異端審問官様に報告し、真実を暴いてくれる！			我がイシュガルドにおいて、ドラゴン族とそれに与する異端者は、根絶すべき不浄の存在。すぐに異端審問官様に報告し、真実を暴いてくれる！			砦に宛てられた荷物							
敵の気配を感じた！！			敵の気配を感じた！！			砦に宛てられた荷物							
その行動は出現した敵を倒さないと実行できません			その行動は出現した敵を倒さないと実行できません			砦に宛てられた荷物							
アドネール占星台のヨシアは、冒険者にこっそり仕事を頼みたいようだ。			アドネール占星台のヨシアは、冒険者にこっそり仕事を頼みたいようだ。			デュランデル家の流儀							
ヨシアは危険な場所へ観測に行った仲間を連れ戻したいらしい。アドネール占星台の東の崖へ行き「気品ある占星術士」を救助しよう。			ヨシアは危険な場所へ観測に行った仲間を連れ戻したいらしい。アドネール占星台の東の崖へ行き「気品ある占星術士」を救助しよう。			デュランデル家の流儀							
気品ある占星術士と話し、身の安全を確認した。彼は「デュランデル家」というイシュガルド名家の縁者らしい。アドネール占星台の「ヨシア」に報告しよう。			気品ある占星術士と話し、身の安全を確認した。彼は「デュランデル家」というイシュガルド名家の縁者らしい。アドネール占星台の「ヨシア」に報告しよう。			デュランデル家の流儀							
「デュランデル家」は四大名家のひとつで、排他主義を掲げる家柄らしい。クルザスをもっと知るため、詰所にいる「ポルトゥレーン」に話しを聞こう。			「デュランデル家」は四大名家のひとつで、排他主義を掲げる家柄らしい。クルザスをもっと知るため、詰所にいる「ポルトゥレーン」に話しを聞こう。			デュランデル家の流儀							
ポルトゥレーンと話した。くわしい情報を聞きだすには、彼からの仕事を請けないといけないらしいが……。			ポルトゥレーンと話した。くわしい情報を聞きだすには、彼からの仕事を請けないといけないらしいが……。			デュランデル家の流儀							
東の崖の気品ある占星術士を救助			東の崖の気品ある占星術士を救助			デュランデル家の流儀							
アドネール占星台のヨシアに報告			アドネール占星台のヨシアに報告			デュランデル家の流儀							
詰所のポルトゥレーンと話す			詰所のポルトゥレーンと話す			デュランデル家の流儀							
うう、この頼みごとをしにくい雰囲気……。だけど、こんなこと冒険者さんにしか頼めないし、背に腹は替えられません！			うう、この頼みごとをしにくい雰囲気……。だけど、こんなこと冒険者さんにしか頼めないし、背に腹は替えられません！			デュランデル家の流儀							
東の崖へ観測に行った仲間を、連れ戻してくれませんか？あの周辺は、イクサル族が徘徊する危険な場所なんです。本人は平気だと言っていましたが、どうしても心配で……。			東の崖へ観測に行った仲間を、連れ戻してくれませんか？あの周辺は、イクサル族が徘徊する危険な場所なんです。本人は平気だと言っていましたが、どうしても心配で……。			デュランデル家の流儀							
助かった……！隙を見て観測を済ませようとしたら、イクサル族が戻ってきて、もう駄目かと……！			助かった……！隙を見て観測を済ませようとしたら、イクサル族が戻ってきて、もう駄目かと……！			デュランデル家の流儀							
って、オマエ冒険者か！？早く言えよ、危うく借りを作るところだった……！			って、オマエ冒険者か！？早く言えよ、危うく借りを作るところだった……！			デュランデル家の流儀							
オレだって、デュランデル家の男。外から厄介ごとを持ち込んでくる冒険者とは、関わらないんだからな！　フンッ！			オレだって、デュランデル家の男。外から厄介ごとを持ち込んでくる冒険者とは、関わらないんだからな！　フンッ！			デュランデル家の流儀							
ああ、お待ちしてました！おかげさまで彼が戻ってきたのですが、冒険者に助けられたと、ひどく不機嫌で……。			ああ、お待ちしてました！おかげさまで彼が戻ってきたのですが、冒険者に助けられたと、ひどく不機嫌で……。			デュランデル家の流儀							
イシュガルドには、四大名家という大貴族がいます。中でも、デュランデル家は排他的性格の強い一族……彼はその縁者なのです。			イシュガルドには、四大名家という大貴族がいます。中でも、デュランデル家は排他的性格の強い一族……彼はその縁者なのです。			デュランデル家の流儀							
騎兵たちの盾に刻まれた、警鐘の意匠を見ましたか？あれこそデュランデル家の紋章……このアドネール占星台は、彼らの管轄地なのです。			騎兵たちの盾に刻まれた、警鐘の意匠を見ましたか？あれこそデュランデル家の紋章……このアドネール占星台は、彼らの管轄地なのです。			デュランデル家の流儀							
……聞けば、冒険者さんは飛空艇を探しているとか。クルザスを調べたいなら、早々にほかをあたるべきです。			……聞けば、冒険者さんは飛空艇を探しているとか。クルザスを調べたいなら、早々にほかをあたるべきです。			デュランデル家の流儀							
詰所にいる「ポルトゥレーン」隊長なら、ほかの家にも顔が利くはずです。相談してみてはいかがでしょう？			詰所にいる「ポルトゥレーン」隊長なら、ほかの家にも顔が利くはずです。相談してみてはいかがでしょう？			デュランデル家の流儀							
デュランデル家以外の名家を紹介して欲しいと？なるほど、その程度の礼儀は心得ているのだな。			デュランデル家以外の名家を紹介して欲しいと？なるほど、その程度の礼儀は心得ているのだな。			デュランデル家の流儀							
お膳立てしてやる理由はないが……ここに長居されても厄介だ。ちょうどいい雑務を、お前にくれてやろう。			お膳立てしてやる理由はないが……ここに長居されても厄介だ。ちょうどいい雑務を、お前にくれてやろう。			デュランデル家の流儀							
アドネール占星台のルドヴォアは、冒険者に人探しの仕事を頼みたいようだ。			アドネール占星台のルドヴォアは、冒険者に人探しの仕事を頼みたいようだ。			凍てつく大地							
ルドヴォアの仲間が、時間になっても戻らないらしい。問題の人物を探して話しかけよう。			ルドヴォアの仲間が、時間になっても戻らないらしい。問題の人物を探して話しかけよう。			凍てつく大地							
襲撃者らは、イシュガルドの使命に背いた国賊「異端者」であったらしい。アドネール占星台の「ルドヴォア」に報告しよう。			襲撃者らは、イシュガルドの使命に背いた国賊「異端者」であったらしい。アドネール占星台の「ルドヴォア」に報告しよう。			凍てつく大地							
ルドヴォアは冒険者に感謝しているようだ。紹介された占星術士「エドメル」に話しかけよう。			ルドヴォアは冒険者に感謝しているようだ。紹介された占星術士「エドメル」に話しかけよう。			凍てつく大地							
情報を得たければ、最上階にいる台長から許可を得る必要があるようだ。台長「フォルルモル」と話そう。			情報を得たければ、最上階にいる台長から許可を得る必要があるようだ。台長「フォルルモル」と話そう。			凍てつく大地							
ドラゴン族や異端者と戦うイシュガルドは、その他の事態には不干渉を貫くことを是とする向きがあるらしい。どうやら、独力での捜索を続けるしかないようだ……。			ドラゴン族や異端者と戦うイシュガルドは、その他の事態には不干渉を貫くことを是とする向きがあるらしい。どうやら、独力での捜索を続けるしかないようだ……。			凍てつく大地							
負傷した騎兵と話す			負傷した騎兵と話す			凍てつく大地							
ルドヴォアに報告			ルドヴォアに報告			凍てつく大地							
エドメルに相談する			エドメルに相談する			凍てつく大地							
フォルルモルに相談する			フォルルモルに相談する			凍てつく大地							
……ふむ、立ち去るつもりはないと？ならば、せめて俺の邪魔をするな。まったく……今日は厄介ごとばかりだ。			……ふむ、立ち去るつもりはないと？ならば、せめて俺の邪魔をするな。まったく……今日は厄介ごとばかりだ。			凍てつく大地							
黒衣森方面へ巡回に出た仲間が、既定の時間になっても戻らなくてな。俺と同じ……イカした鉄仮面をつけた奴なんだが。			黒衣森方面へ巡回に出た仲間が、既定の時間になっても戻らなくてな。俺と同じ……イカした鉄仮面をつけた奴なんだが。			凍てつく大地							
貴様がこの地に留まるというなら、どこかで見かけることがあるやもしれん。そのときは、俺に報告するように。			貴様がこの地に留まるというなら、どこかで見かけることがあるやもしれん。そのときは、俺に報告するように。			凍てつく大地							
（アドネール占星の外で膝をつく騎兵に近づくフード異端２体ＰＯＰ）			（アドネール占星の外で膝をつく騎兵に近づくフード異端２体ＰＯＰ）			凍てつく大地							
すまない、手間をかけた……。巡回中に怪しい奴を見つけたんだが、急に襲われてな。			すまない、手間をかけた……。巡回中に怪しい奴を見つけたんだが、急に襲われてな。			凍てつく大地							
奴らは、仇敵「ドラゴン族」に手を貸す者……イシュガルドの使命に背いた国賊どもだ。			奴らは、仇敵「ドラゴン族」に手を貸す者……イシュガルドの使命に背いた国賊どもだ。			凍てつく大地							
近頃は活動が盛んだと報告されていたが、まさか、こんな町のそばに潜んでいるとは！きたない……きたないぞ「異端者」め……！			近頃は活動が盛んだと報告されていたが、まさか、こんな町のそばに潜んでいるとは！きたない……きたないぞ「異端者」め……！			凍てつく大地							
巡回に出ていた仲間が戻った。……まさか、貴様に助けられるとはな。			巡回に出ていた仲間が戻った。……まさか、貴様に助けられるとはな。			凍てつく大地							
我々は、誉れ高き神の兵。よそ者は排斥せよとの勅命だが、礼を失するつもりもない。			我々は、誉れ高き神の兵。よそ者は排斥せよとの勅命だが、礼を失するつもりもない。			凍てつく大地							
貴様を占星台の者に紹介しよう。1階にいる「エドメル」という占星術士に事情を話せ。……占星台の入り口は集落の南側、高台の上にある。			貴様を占星台の者に紹介しよう。1階にいる「エドメル」という占星術士に事情を話せ。……占星台の入り口は集落の南側、高台の上にある。			凍てつく大地							
……飛空艇を探している？はて、場所をお間違えではないですか。ルドヴォアは、おかしな方をよこしたものですね。			……飛空艇を探している？はて、場所をお間違えではないですか。ルドヴォアは、おかしな方をよこしたものですね。			凍てつく大地							
ここにあるのは、星々の動きを記した記録ばかり。ドラゴン族の活動周期を測るための機密情報ですから、私の一存では見せられませんわ。			ここにあるのは、星々の動きを記した記録ばかり。ドラゴン族の活動周期を測るための機密情報ですから、私の一存では見せられませんわ。			凍てつく大地							
最上階に台長様がいらっしゃるから、お伺いを立ててみてはいかがです？……異郷の冒険者では、難しいと思いますけど。			最上階に台長様がいらっしゃるから、お伺いを立ててみてはいかがです？……異郷の冒険者では、難しいと思いますけど。			凍てつく大地							
飛空艇の情報……。それをアドネール占星台に求めるのは、いささかお門違いであろう。			飛空艇の情報……。それをアドネール占星台に求めるのは、いささかお門違いであろう。			凍てつく大地							
我らがドラゴン族と戦うのは、これが「聖戦」だからだ。彼奴らを滅亡させたとき、我らの魂は、主神ハルオーネ様のお導きにより天界へ招かれるという。			我らがドラゴン族と戦うのは、これが「聖戦」だからだ。彼奴らを滅亡させたとき、我らの魂は、主神ハルオーネ様のお導きにより天界へ招かれるという。			凍てつく大地							
占星台もまた、ドラゴン族を倒さんという意思の賜物。飛空艇の情報があったとして、それを探してやる道理はあるまい。			占星台もまた、ドラゴン族を倒さんという意思の賜物。飛空艇の情報があったとして、それを探してやる道理はあるまい。			凍てつく大地							
オヤ、お取り込み中でしたか。近隣で「異端者」が出たと報告を受けたので、様子を見に来たのですが。			オヤ、お取り込み中でしたか。近隣で「異端者」が出たと報告を受けたので、様子を見に来たのですが。			凍てつく大地							
これは、異端審問官様！申し訳ない、来訪者がおりますので、異端者については後ほど……。			これは、異端審問官様！申し訳ない、来訪者がおりますので、異端者については後ほど……。			凍てつく大地							
ホウ、ずいぶんと腕の立つ冒険者のようですね。この地へは何かを探しに？構いませんよ、好きに探索するといい。			ホウ、ずいぶんと腕の立つ冒険者のようですね。この地へは何かを探しに？構いませんよ、好きに探索するといい。			凍てつく大地							
ただし、協力は望まないことです。イシュガルドは、他者の干渉を避けることで、この混沌の時代に平定を保っている……。			ただし、協力は望まないことです。イシュガルドは、他者の干渉を避けることで、この混沌の時代に平定を保っている……。			凍てつく大地							
おわかりいただけますね？我々の事情には、決して深入りしないことです。			おわかりいただけますね？我々の事情には、決して深入りしないことです。			凍てつく大地							
……必要ならば、占星台に滞在することは許そう。だが、認めるのはそれだけだ。			……必要ならば、占星台に滞在することは許そう。だが、認めるのはそれだけだ。			凍てつく大地							
敵の気配を感じた！！			敵の気配を感じた！！			凍てつく大地							
その行動は出現した敵を倒さないと実行できません			その行動は出現した敵を倒さないと実行できません			凍てつく大地							
フロランテル監視哨のヴォルトゥフォール少牙士は、飛空艇「エンタープライズ」の情報を教えてくれるようだ。			フロランテル監視哨のヴォルトゥフォール少牙士は、飛空艇「エンタープライズ」の情報を教えてくれるようだ。			あの山を越えて							
ヴォルトゥフォール少牙士の話によると「エンタープライズ」はクルザス山中に消えたという。クルザス中央高地のアドネール占星台に行き、衛士「ルドヴォア」に話しかけよう。			ヴォルトゥフォール少牙士の話によると「エンタープライズ」はクルザス山中に消えたという。クルザス中央高地のアドネール占星台に行き、衛士「ルドヴォア」に話しかけよう。			あの山を越えて							
アドネール占星台のルドヴォアと話した。彼らイシュガルドの民は、排他的な性質を持っているらしい。占星台の記録は見せてもらえないようだ……。			アドネール占星台のルドヴォアと話した。彼らイシュガルドの民は、排他的な性質を持っているらしい。占星台の記録は見せてもらえないようだ……。			あの山を越えて							
アドネール占星台の衛士ルドヴォアと話す			アドネール占星台の衛士ルドヴォアと話す			あの山を越えて							
あれは、カルテノーの戦いが始まる直前のことだ……戦地へ招集されず、ひとり監視哨を守っていたワシの頭上を立派な飛空艇が通り過ぎていってな。			あれは、カルテノーの戦いが始まる直前のことだ……戦地へ招集されず、ひとり監視哨を守っていたワシの頭上を立派な飛空艇が通り過ぎていってな。			あの山を越えて							
こんな緊急時にどこへ行くのかと思えば、クルザスの山中に消えていきおった。			こんな緊急時にどこへ行くのかと思えば、クルザスの山中に消えていきおった。			あの山を越えて							
