空の坑道のアジトのエレンヴィルは、複雑な表情をしている。			空の坑道のアジトのエレンヴィルは、複雑な表情をしている。			魂を扱う者たち							
元はといえば、こうした仕組みは、数百年前に起こった大災害を克服するために考案されたそうだ。都市を囲ってる障壁と同じだな。			元はといえば、こうした仕組みは、数百年前に起こった大災害を克服するために考案されたそうだ。都市を囲ってる障壁と同じだな。			魂を扱う者たち							
大勢の人が亡くなっていく中で、どうにか国を維持するために開発されたらしい。エレクトロープという万能の物質を用いてな。			大勢の人が亡くなっていく中で、どうにか国を維持するために開発されたらしい。エレクトロープという万能の物質を用いてな。			魂を扱う者たち							
ひとまず、アレクサンドリアの人たちの考え方はわかった。けど、融合した世界の……トライヨラのみんなまで、その仕組みを受け入れてるなんて……。			ひとまず、アレクサンドリアの人たちの考え方はわかった。けど、融合した世界の……トライヨラのみんなまで、その仕組みを受け入れてるなんて……。			魂を扱う者たち							
そりゃあ、あたしたちも最初は驚いたよ。拒絶反応を示す人も大勢いたさ。			そりゃあ、あたしたちも最初は驚いたよ。拒絶反応を示す人も大勢いたさ。			魂を扱う者たち							
だから、スフェーン様は強制はしなかった。納得できないなら、レギュレーターを着けなくてもいい、ってね。			だから、スフェーン様は強制はしなかった。納得できないなら、レギュレーターを着けなくてもいい、ってね。			魂を扱う者たち							
たしかに、あのスフェーンなら、無理強いするような真似はしなさそうだけどよ……。			たしかに、あのスフェーンなら、無理強いするような真似はしなさそうだけどよ……。			魂を扱う者たち							
へえ、もう会ったことがあるんだ？			へえ、もう会ったことがあるんだ？			魂を扱う者たち							
ああ、ここに向かうように勧めてきたのも彼女だ。ゾラージャを止めたいとも言っていたが……。			ああ、ここに向かうように勧めてきたのも彼女だ。ゾラージャを止めたいとも言っていたが……。			魂を扱う者たち							
スフェーン様がここを……。寛容なんだか、何考えてらっしゃるんだか。			スフェーン様がここを……。寛容なんだか、何考えてらっしゃるんだか。			魂を扱う者たち							
とにかく、彼女はトライヨラの民に提示したんだ。不慮の事故で死ぬ可能性を許容するか、魂資源という保険を手に入れるか、自分で選んでほしいってさ。			とにかく、彼女はトライヨラの民に提示したんだ。不慮の事故で死ぬ可能性を許容するか、魂資源という保険を手に入れるか、自分で選んでほしいってさ。			魂を扱う者たち							
生物は生きてりゃいつか死ぬ。それが自然のことだろう……。			生物は生きてりゃいつか死ぬ。それが自然のことだろう……。			魂を扱う者たち							
…………まあ、レギュレーターのある生き方が実際どういうものかは、直接見た方が理解しやすいんじゃないかな。			…………まあ、レギュレーターのある生き方が実際どういうものかは、直接見た方が理解しやすいんじゃないかな。			魂を扱う者たち							
今ならちょうど、彼らの仕事の時間だから……よし、見学させてもらおう！			今ならちょうど、彼らの仕事の時間だから……よし、見学させてもらおう！			魂を扱う者たち							
見学？			見学？			魂を扱う者たち							
一度外に出るよ、あたしについておいで！			一度外に出るよ、あたしについておいで！			魂を扱う者たち							
ナミーカの様子から、死期が間近なのは覚悟してたんだ。けどよ、レギュレーターのせいでナミーカが忘れられたなんて、そんなの……寂しいじゃねぇか……。			ナミーカの様子から、死期が間近なのは覚悟してたんだ。けどよ、レギュレーターのせいでナミーカが忘れられたなんて、そんなの……寂しいじゃねぇか……。			魂を扱う者たち							
人の魂を資源にしてるなんて……。受け入れられそうにないわ……。			人の魂を資源にしてるなんて……。受け入れられそうにないわ……。			魂を扱う者たち							
直接見るって……まさかね。			直接見るって……まさかね。			魂を扱う者たち							
魂に刻まれた記憶を、機械的に取り除く技術、か……。			魂に刻まれた記憶を、機械的に取り除く技術、か……。			魂を扱う者たち							
いったい何を見せられるっていうんだ……。			いったい何を見せられるっていうんだ……。			魂を扱う者たち							
よし、全員集まったみたいだね！			よし、全員集まったみたいだね！			魂を扱う者たち							
魔物の討伐を仕事にしている人たちは、「駆除人」って呼ばれてるんだ。			魔物の討伐を仕事にしている人たちは、「駆除人」って呼ばれてるんだ。			魂を扱う者たち							
この先の蓄雷増幅施設に「ストリカ」って名前の駆除人がいる。あたしの知り合いなんだけど、その子に話を聞きにいくよ。			この先の蓄雷増幅施設に「ストリカ」って名前の駆除人がいる。あたしの知り合いなんだけど、その子に話を聞きにいくよ。			魂を扱う者たち							
……やっぱりナミーカのこと考えちまう。せめて、言葉を交わせてたらな。			……やっぱりナミーカのこと考えちまう。せめて、言葉を交わせてたらな。			魂を扱う者たち							
蓄雷増幅施設……って言うからには、ここに雷のエネルギーを集めてるのよね。			蓄雷増幅施設……って言うからには、ここに雷のエネルギーを集めてるのよね。			魂を扱う者たち							
たしかに、このエレクトロープという物質……バルデシオン委員会としても詳しく調査したいところね。			たしかに、このエレクトロープという物質……バルデシオン委員会としても詳しく調査したいところね。			魂を扱う者たち							
レギュレーターもエレクトロープで出来ているらしい。とても便利な素材のようだが……だからこそ、脅威にもなり得るよな。			レギュレーターもエレクトロープで出来ているらしい。とても便利な素材のようだが……だからこそ、脅威にもなり得るよな。			魂を扱う者たち							
ウクラマトは気丈に振舞ってるが、ナミーカさんのこと、相当気にしてるな……無理もない。			ウクラマトは気丈に振舞ってるが、ナミーカさんのこと、相当気にしてるな……無理もない。			魂を扱う者たち							
そこにいるのが駆除人のストリカさ。さっそく彼女に話を聞いてみよう。			そこにいるのが駆除人のストリカさ。さっそく彼女に話を聞いてみよう。			魂を扱う者たち							
ええ、なになに……？こんなにぞろぞろ集まってきてさ。			ええ、なになに……？こんなにぞろぞろ集まってきてさ。			魂を扱う者たち							
仕事中に悪いね。ちょっとばかし、あんたの仕事を見学させてほしくてさ。			仕事中に悪いね。ちょっとばかし、あんたの仕事を見学させてほしくてさ。			魂を扱う者たち							
駆除人の仕事ってこと？まあ、別にいいけど……。			駆除人の仕事ってこと？まあ、別にいいけど……。			魂を扱う者たち							
……って！この子たちレギュレーター着けてないじゃん！？スフェーン様の王冠みたいに特別仕様ってわけじゃあるまいし。			……って！この子たちレギュレーター着けてないじゃん！？スフェーン様の王冠みたいに特別仕様ってわけじゃあるまいし。			魂を扱う者たち							
ダメダメ、危ないよお。レギュレーターもなしにサンダーヤードを歩くなんて、何かあったらどうするのさ？			ダメダメ、危ないよお。レギュレーターもなしにサンダーヤードを歩くなんて、何かあったらどうするのさ？			魂を扱う者たち							
ああ、それなら心配いらないよ。この子たちの腕っぷしの強さは保証するし、責任はあたしが取るからさ。			ああ、それなら心配いらないよ。この子たちの腕っぷしの強さは保証するし、責任はあたしが取るからさ。			魂を扱う者たち							
んー、それならまあいいけど……。別に見てて面白いもんじゃないと思うよ。			んー、それならまあいいけど……。別に見てて面白いもんじゃないと思うよ。			魂を扱う者たち							
駆除人……っていったか？ここらの魔物を狩る仕事なんだろ？			駆除人……っていったか？ここらの魔物を狩る仕事なんだろ？			魂を扱う者たち							
そうそう、軍が使ってる機械兵は落雷に弱くてさ。サンダーヤードには入らないように躾けられてるんだよ。			そうそう、軍が使ってる機械兵は落雷に弱くてさ。サンダーヤードには入らないように躾けられてるんだよ。			魂を扱う者たち							
ポンコツだよねえ。でも、サンダーヤードにはこういう超重要設備があるから、私たち駆除人が魔物をやっつけてるってわけ。			ポンコツだよねえ。でも、サンダーヤードにはこういう超重要設備があるから、私たち駆除人が魔物をやっつけてるってわけ。			魂を扱う者たち							
危険だけどその分得点も高いから、稼ぐには、うってつけの仕事なんだ。			危険だけどその分得点も高いから、稼ぐには、うってつけの仕事なんだ。			魂を扱う者たち							
駆除人には、特別な魂資源も供給されるしね。			駆除人には、特別な魂資源も供給されるしね。			魂を扱う者たち							
この子たちに、その危険な仕事ってやつを見せてやりたいんだよ。悪いけど、そういうわけだからさ……。			この子たちに、その危険な仕事ってやつを見せてやりたいんだよ。悪いけど、そういうわけだからさ……。			魂を扱う者たち							
……あー、了解。そういうことなら、雑魚相手に使うのはもったいないから、それなりの奴をおびきださないとね。			……あー、了解。そういうことなら、雑魚相手に使うのはもったいないから、それなりの奴をおびきださないとね。			魂を扱う者たち							
ねえねえ、君たちって強いんでしょ？なら、その辺りにいる魔物を何匹か狩ってくれない？そうすりゃ、大物が現れるはずだからさ。			ねえねえ、君たちって強いんでしょ？なら、その辺りにいる魔物を何匹か狩ってくれない？そうすりゃ、大物が現れるはずだからさ。			魂を扱う者たち							
よくわからないけど……戦えるメンバーで、その辺りの魔物を討伐するとしましょうか。			よくわからないけど……戦えるメンバーで、その辺りの魔物を討伐するとしましょうか。			魂を扱う者たち							
……戦えなくて悪かったな。状況をよく観察して適切に対処すれば、グリーナーの仕事をする上では困らなかったんだ。			……戦えなくて悪かったな。状況をよく観察して適切に対処すれば、グリーナーの仕事をする上では困らなかったんだ。			魂を扱う者たち							
あたしもこの体じゃなければ、多少は戦えたんだけどね。もっとも、戦いのセンスってものは遺伝しないみたいで、エレネッシパは昔からダメダメだったけど。			あたしもこの体じゃなければ、多少は戦えたんだけどね。もっとも、戦いのセンスってものは遺伝しないみたいで、エレネッシパは昔からダメダメだったけど。			魂を扱う者たち							
よし、ちょうどよさそうなのが出てきたねえ。まずは小手調べといこうか！			よし、ちょうどよさそうなのが出てきたねえ。まずは小手調べといこうか！			魂を扱う者たち							
助太刀するわ！			助太刀するわ！			魂を扱う者たち							
へーき、へーき。このくらいなら大丈夫、そこで見てて。			へーき、へーき。このくらいなら大丈夫、そこで見てて。			魂を扱う者たち							
無理すんなって！やっぱりアタシも……			無理すんなって！やっぱりアタシも……			魂を扱う者たち							
やばっ……！			やばっ……！			魂を扱う者たち							
危ない！			危ない！			魂を扱う者たち							
ぐあっ……！			ぐあっ……！			魂を扱う者たち							
え……うそ……。			え……うそ……。			魂を扱う者たち							
治療しないと！			治療しないと！			魂を扱う者たち							
いやあ、今のはちょっとびっくりしたなあ。			いやあ、今のはちょっとびっくりしたなあ。			魂を扱う者たち							
おいおい……見てらんねぇよ！			おいおい……見てらんねぇよ！			魂を扱う者たち							
へーき、心配しないで。			へーき、心配しないで。			魂を扱う者たち							
でも、さすがにこのままじゃ勝てないかな。			でも、さすがにこのままじゃ勝てないかな。			魂を扱う者たち							
あのときの、ゾラージャみたいだ……。			あのときの、ゾラージャみたいだ……。			魂を扱う者たち							
んじゃ、安全なところに移動しよっか。			んじゃ、安全なところに移動しよっか。			魂を扱う者たち							
今のも、レギュレーターの機能だって言うのか……？			今のも、レギュレーターの機能だって言うのか……？			魂を扱う者たち							
この目で見て、ようやく知ることができた。オヤジに倒されたはずのゾラージャが、どうやって蘇って、そして強くなったのか……。			この目で見て、ようやく知ることができた。オヤジに倒されたはずのゾラージャが、どうやって蘇って、そして強くなったのか……。			魂を扱う者たち							
レギュレーターが赤く光ると同時に、まるで魔物の力を得たみたいに、動きが変わってたわ。			レギュレーターが赤く光ると同時に、まるで魔物の力を得たみたいに、動きが変わってたわ。			魂を扱う者たち							
魔物……まさか、魔物の魂で肉体を強化したのか！？だとすれば、ヴァンガードで対峙した、半身が蛇のようになったアイツも……。			魔物……まさか、魔物の魂で肉体を強化したのか！？だとすれば、ヴァンガードで対峙した、半身が蛇のようになったアイツも……。			魂を扱う者たち							
武王の精鋭兵を見たの？あいつらは、肉体が変わるほど多くの魂を使うからな……。			武王の精鋭兵を見たの？あいつらは、肉体が変わるほど多くの魂を使うからな……。			魂を扱う者たち							
理屈は同じだけど、私たちはあんな無茶はしないよ。そもそも配給される魂資源の数が限られてるしね。			理屈は同じだけど、私たちはあんな無茶はしないよ。そもそも配給される魂資源の数が限られてるしね。			魂を扱う者たち							
じゃあ、私はそろそろ仕事に戻らせてもらうよ。君たちも命を大事にね！			じゃあ、私はそろそろ仕事に戻らせてもらうよ。君たちも命を大事にね！			魂を扱う者たち							
これでわかったろう？レギュレーターにストックできる魂には2種類があるのさ。人の魂と、魔物の魂……。			これでわかったろう？レギュレーターにストックできる魂には2種類があるのさ。人の魂と、魔物の魂……。			魂を扱う者たち							
まず、生きている人間に「人の魂」を注入すれば、生命力が増幅されて、普段よりも強い力を得ることができる。			まず、生きている人間に「人の魂」を注入すれば、生命力が増幅されて、普段よりも強い力を得ることができる。			魂を扱う者たち							
もちろん、ストックされた人の魂は、負傷による死に対する蘇生にも利用可能だ。			もちろん、ストックされた人の魂は、負傷による死に対する蘇生にも利用可能だ。			魂を扱う者たち							
じゃあ「魔物の魂」は、魔物の力を得るための強化用ってことか？			じゃあ「魔物の魂」は、魔物の力を得るための強化用ってことか？			魂を扱う者たち							
そのとおり。たとえば「狼の魂」を注入すれば、一時的に狼の力を得ることができる。			そのとおり。たとえば「狼の魂」を注入すれば、一時的に狼の力を得ることができる。			魂を扱う者たち							
「狼の魂」をひとつ注入した程度じゃ、さっきのストリカみたいに、俊敏、かつ少し獰猛になる程度だ。			「狼の魂」をひとつ注入した程度じゃ、さっきのストリカみたいに、俊敏、かつ少し獰猛になる程度だ。			魂を扱う者たち							
でも、複数個の「狼の魂」を注入すれば肉体にも変化が及ぶ。歯や爪が鋭くなり、あっという間に人狼の出来上がりさ。			でも、複数個の「狼の魂」を注入すれば肉体にも変化が及ぶ。歯や爪が鋭くなり、あっという間に人狼の出来上がりさ。			魂を扱う者たち							
異なる種の魂を得て肉体を変貌させる……ますます妖異じみてるな。			異なる種の魂を得て肉体を変貌させる……ますます妖異じみてるな。			魂を扱う者たち							
命の巡りが破壊されたヴォイドと違って、ここでは魂を星海に還る前に機械的に回収して利用する。方法論は違えど、現象としては同じなのかもしれないな。			命の巡りが破壊されたヴォイドと違って、ここでは魂を星海に還る前に機械的に回収して利用する。方法論は違えど、現象としては同じなのかもしれないな。			魂を扱う者たち							
障壁の中だけで、命が巡っている……。			障壁の中だけで、命が巡っている……。			魂を扱う者たち							
歪んでる……正しくないわ、こんなの……！			歪んでる……正しくないわ、こんなの……！			魂を扱う者たち							
そうね、とても好意的には受け入れられないわ。私たちが信じてきた死生観とは、あまりにもかけ離れているもの……。			そうね、とても好意的には受け入れられないわ。私たちが信じてきた死生観とは、あまりにもかけ離れているもの……。			魂を扱う者たち							
それに加えて、こんなことを可能にする高度な技術が、数百年も前から確立していたという事実にも驚かされるわ。			それに加えて、こんなことを可能にする高度な技術が、数百年も前から確立していたという事実にも驚かされるわ。			魂を扱う者たち							
鏡像世界のいくつかには、驚くべき文明が興っている、か……。			鏡像世界のいくつかには、驚くべき文明が興っている、か……。			魂を扱う者たち							
星海をこの目で見てきた者としては……この歪な環境には、どうしても抵抗があるわ。			星海をこの目で見てきた者としては……この歪な環境には、どうしても抵抗があるわ。			魂を扱う者たち							
環境が違えば文化も違う……。それはわかっているのだけれど、少しショックで……。			環境が違えば文化も違う……。それはわかっているのだけれど、少しショックで……。			魂を扱う者たち							
エメトセルクが語っていた、鏡像世界に興った「驚くべき文明」……。そのひとつが、アレクサンドリアを示すのかもしれないな。			エメトセルクが語っていた、鏡像世界に興った「驚くべき文明」……。そのひとつが、アレクサンドリアを示すのかもしれないな。			魂を扱う者たち							
スフェーンが、あの見た目で30年以上前の話をすることを、妙だとは思っていたんだがな……。これほど技術が進んでるなら、あり得ないことでもない……か？			スフェーンが、あの見た目で30年以上前の話をすることを、妙だとは思っていたんだがな……。これほど技術が進んでるなら、あり得ないことでもない……か？			魂を扱う者たち							
そうそう……強大な魔物の魂だったら、1つ注入しただけでも、同じく肉体は変貌するって話も聞いたことがあるよ。			そうそう……強大な魔物の魂だったら、1つ注入しただけでも、同じく肉体は変貌するって話も聞いたことがあるよ。			魂を扱う者たち							
思うところはいろいろあるけどよ……。今大事なのは、これだけの技術や力が、武王であるゾラージャの手中にあるってことだな。			思うところはいろいろあるけどよ……。今大事なのは、これだけの技術や力が、武王であるゾラージャの手中にあるってことだな。			魂を扱う者たち							
ああ……生物が体内に宿すエーテルは、大きく「生命力のエーテル」と「魂のエーテル」に分かれるが、魂から記憶を漂白して資源化する技術なんて、前代未聞だぞ……。			ああ……生物が体内に宿すエーテルは、大きく「生命力のエーテル」と「魂のエーテル」に分かれるが、魂から記憶を漂白して資源化する技術なんて、前代未聞だぞ……。			魂を扱う者たち							
そうね、これはトライヨラだけの問題じゃない……。ここでゾラージャを止めないと、世界の脅威になり得るわ。			そうね、これはトライヨラだけの問題じゃない……。ここでゾラージャを止めないと、世界の脅威になり得るわ。			魂を扱う者たち							
ああ、あいつの思想は危険だ。絶対にここで止めてみせる……。			ああ、あいつの思想は危険だ。絶対にここで止めてみせる……。			魂を扱う者たち							
ユーペ円形農地のスフェーンは、仕事の見学を終えるようだ。			ユーペ円形農地のスフェーンは、仕事の見学を終えるようだ。			雲の上へ							
ウクラマトと話す			ウクラマトと話す			雲の上へ							
ウクラマトと再度話す			ウクラマトと再度話す			雲の上へ							
アウトスカーツの住人と話す			アウトスカーツの住人と話す			雲の上へ							
指定地点で待機			指定地点で待機			雲の上へ							
指定地点で見渡す			指定地点で見渡す			雲の上へ							
エレンヴィルと話す			エレンヴィルと話す			雲の上へ							
エレンヴィルと再度話す			エレンヴィルと再度話す			雲の上へ							
空の坑道のアジトのエレンヴィルと話す			空の坑道のアジトのエレンヴィルと話す			雲の上へ							
ゾラージャ……。			ゾラージャ……。			雲の上へ							
それじゃあ、一度「アウトスカーツ」の方に戻ろうか！キミたちの仲間も、そろそろ集まっているころかも。			それじゃあ、一度「アウトスカーツ」の方に戻ろうか！キミたちの仲間も、そろそろ集まっているころかも。			雲の上へ							
魔物退治ありがとね！またいつでも遊びにきておくれ！			魔物退治ありがとね！またいつでも遊びにきておくれ！			雲の上へ							
……奥の方が騒がしいな。			……奥の方が騒がしいな。			雲の上へ							
キミたちに、もっといろんな場所を紹介したくなっちゃった！			キミたちに、もっといろんな場所を紹介したくなっちゃった！			雲の上へ							
私だって、スフェーン様のことが大好きさ。そんな照れくさいこと、面と向かって言えないけどね。			私だって、スフェーン様のことが大好きさ。そんな照れくさいこと、面と向かって言えないけどね。			雲の上へ							
……どういうことだよ！この短時間で、何が起きたっていうんだ！			……どういうことだよ！この短時間で、何が起きたっていうんだ！			雲の上へ							
まるでナミーカのことなんて、最初から知らなかったみてぇだ……。			まるでナミーカのことなんて、最初から知らなかったみてぇだ……。			雲の上へ							
嫌な予感がするわね……。ペポーネさん以外の住人たちにも話を聞きたいわ。			嫌な予感がするわね……。ペポーネさん以外の住人たちにも話を聞きたいわ。			雲の上へ							
