潮風亭のエストリルドは、また道行く人を見定めているようだ。			潮風亭のエストリルドは、また道行く人を見定めているようだ。			ベテラン・モブハント（中級）							
エーテル波形を分析することで、お嬢様ご主人様が最近、使用した術の威力や精度がわかります。正確な判定を下すには、試練を受けていただく必要がありますが。			エーテル波形を分析することで、お嬢様ご主人様が最近、使用した術の威力や精度がわかります。正確な判定を下すには、試練を受けていただく必要がありますが。			プリンクの試練							
…………第二の試練は、「技」の試練。限定された条件での戦いぶりを分析するため、対戦相手の召喚士を複数名、お借りしたいのですが……。			…………第二の試練は、「技」の試練。限定された条件での戦いぶりを分析するため、対戦相手の召喚士を複数名、お借りしたいのですが……。			プリンクの試練							
複数の召喚士……？そんなの、簡単に用意できるわけがないでしょう？			複数の召喚士……？そんなの、簡単に用意できるわけがないでしょう？			プリンクの試練							
なあ、嬢ちゃん。ちょうど、俺が乗っかれそうな話になってるじゃないか！			なあ、嬢ちゃん。ちょうど、俺が乗っかれそうな話になってるじゃないか！			プリンクの試練							
Forename、実はな……蛮神との戦いに、召喚士の力を借りようという動きが出ている。お前の評判が、不滅隊のお偉いさんに伝わったんだ！			Forename、実はな……蛮神との戦いに、召喚士の力を借りようという動きが出ている。お前の評判が、不滅隊のお偉いさんに伝わったんだ！			プリンクの試練							
すでに俺の傘下で、駆けだしの召喚士たちが特訓中だ。イフリート討滅戦の生還者から、指折りの猛者を選んで、アシエンから回収したソウルクリスタルを授与してある。			すでに俺の傘下で、駆けだしの召喚士たちが特訓中だ。イフリート討滅戦の生還者から、指折りの猛者を選んで、アシエンから回収したソウルクリスタルを授与してある。			プリンクの試練							
彼らに本格的な稽古をつけたいから、Forenameを借りたいって、この間から、ダンシング・ウルフ大闘士がうるさくってね……。			彼らに本格的な稽古をつけたいから、Forenameを借りたいって、この間から、ダンシング・ウルフ大闘士がうるさくってね……。			プリンクの試練							
どのみち「試練」とやらに、召喚士が必要なんだろう？こっちは全面的に協力する。かわりに、ちょいと俺の部下たちに胸を貸してくれればいいさ！			どのみち「試練」とやらに、召喚士が必要なんだろう？こっちは全面的に協力する。かわりに、ちょいと俺の部下たちに胸を貸してくれればいいさ！			プリンクの試練							
……よいお話に思えますね。新しい召喚士の方々に、私めから基礎を指南することもできますし。			……よいお話に思えますね。新しい召喚士の方々に、私めから基礎を指南することもできますし。			プリンクの試練							
乗るしかないわね……こちらにも益があるのだし。			乗るしかないわね……こちらにも益があるのだし。			プリンクの試練							
決まりだな！北ザナラーンの「キャンプ・ブルーフォグ」で待っているぞ。			決まりだな！北ザナラーンの「キャンプ・ブルーフォグ」で待っているぞ。			プリンクの試練							
そこの3人が、今回の試練に協力してくれる召喚士だそうよ。おたがい怪我のないように、真剣にいきましょう。			そこの3人が、今回の試練に協力してくれる召喚士だそうよ。おたがい怪我のないように、真剣にいきましょう。			プリンクの試練							
よろしくお願いします、お嬢様ご主人様。準備ができしだい、第二の試練を始めさせていただきます。			よろしくお願いします、お嬢様ご主人様。準備ができしだい、第二の試練を始めさせていただきます。			プリンクの試練							
今回は、召喚士どうしの実地訓練のような内容と聞いております。どうぞ、よろしくお願いします。			今回は、召喚士どうしの実地訓練のような内容と聞いております。どうぞ、よろしくお願いします。			プリンクの試練							
特務隊のデニース闘軍曹だよ。今回はよろしく！			特務隊のデニース闘軍曹だよ。今回はよろしく！			プリンクの試練							
ん……オレに用か？まだ、試練は始まっていないよな？			ん……オレに用か？まだ、試練は始まっていないよな？			プリンクの試練							
プリンクの第二の試練は、北ザナラーンの「キャンプ・ブルーフォグ」で行われるわ。			プリンクの第二の試練は、北ザナラーンの「キャンプ・ブルーフォグ」で行われるわ。			プリンクの試練							
ダンシング・ウルフ大闘士には、忙しいForenameに、あなたの部下の訓練まで頼めないわよ、って断っていたのだけどね。			ダンシング・ウルフ大闘士には、忙しいForenameに、あなたの部下の訓練まで頼めないわよ、って断っていたのだけどね。			プリンクの試練							
第二の試練は、「技」の試練。お嬢様ご主人様の動きが、どれだけ洗練されたものかを、確かめさせていただきます……！			第二の試練は、「技」の試練。お嬢様ご主人様の動きが、どれだけ洗練されたものかを、確かめさせていただきます……！			プリンクの試練							
さて……全員そろったな！それでは第二の試練ってヤツの内容を、説明してもらおう。			さて……全員そろったな！それでは第二の試練ってヤツの内容を、説明してもらおう。			プリンクの試練							
はい。先にも申しましたとおり、この試練は「技」の試練。単純な魔力の強さではなく、技術的成熟度を評価するものです。			はい。先にも申しましたとおり、この試練は「技」の試練。単純な魔力の強さではなく、技術的成熟度を評価するものです。			プリンクの試練							
3人の召喚士の召喚獣に、私めが特別な補助魔法を付与します。お嬢様ご主人様は、彼らの召喚獣と戦ってください。			3人の召喚士の召喚獣に、私めが特別な補助魔法を付与します。お嬢様ご主人様は、彼らの召喚獣と戦ってください。			プリンクの試練							
補助魔法で、詳細な戦闘記録を保存できるらしいわ。分析して、あなたの技の洗練度を測るんだって。何だか魔法大学の実証試験じみてきたけど、がんばってね……！			補助魔法で、詳細な戦闘記録を保存できるらしいわ。分析して、あなたの技の洗練度を測るんだって。何だか魔法大学の実証試験じみてきたけど、がんばってね……！			プリンクの試練							
それでは、3人から自己紹介してもらおう！全員、特務隊の俺の部下たちだ。			それでは、3人から自己紹介してもらおう！全員、特務隊の俺の部下たちだ。			プリンクの試練							
クリスピン上等闘兵と申します。何やら知的興味をそそられる試練ですね。Forenameさん、どうぞよろしく。			クリスピン上等闘兵と申します。何やら知的興味をそそられる試練ですね。Forenameさん、どうぞよろしく。			プリンクの試練							
デニース闘軍曹だよ。召喚士としちゃ新米だけど、実戦経験はそれなりのつもりさ！今回はクリスピンと、二人一組で対戦させてもらうよ。			デニース闘軍曹だよ。召喚士としちゃ新米だけど、実戦経験はそれなりのつもりさ！今回はクリスピンと、二人一組で対戦させてもらうよ。			プリンクの試練							
ジャジャサム少闘士だ。あんたが、噂に名高いForenameか……。お手柔らかに頼むぜ！			ジャジャサム少闘士だ。あんたが、噂に名高いForenameか……。お手柔らかに頼むぜ！			プリンクの試練							
では、それぞれ所定の位置へ！Forename、準備ができたら、まずは、「クリスピン上等闘兵」とデニース闘軍曹の組に声をかけてくれ。			では、それぞれ所定の位置へ！Forename、準備ができたら、まずは、「クリスピン上等闘兵」とデニース闘軍曹の組に声をかけてくれ。			プリンクの試練							
その次は、「ジャジャサム少闘士」の召喚獣との対戦になる。連戦だ、締めてかかれよ！			その次は、「ジャジャサム少闘士」の召喚獣との対戦になる。連戦だ、締めてかかれよ！			プリンクの試練							
Forename、準備ができたら、まずは、「クリスピン上等闘兵」とデニース闘軍曹の組に声をかけてくれ。			Forename、準備ができたら、まずは、「クリスピン上等闘兵」とデニース闘軍曹の組に声をかけてくれ。			プリンクの試練							
まずは、あたしたちの召喚獣が相手だよ！準備万端整ったら、クリスピンに声をかけて！			まずは、あたしたちの召喚獣が相手だよ！準備万端整ったら、クリスピンに声をかけて！			プリンクの試練							
……まずはお手並み拝見だな。あんたの戦いぶり、じっくり見せてもらうぜ。			……まずはお手並み拝見だな。あんたの戦いぶり、じっくり見せてもらうぜ。			プリンクの試練							
いま、北ザナラーンの「ブルーフォグ」で、第二の試練をやっているところよ。			いま、北ザナラーンの「ブルーフォグ」で、第二の試練をやっているところよ。			プリンクの試練							
お嬢様ご主人様、第二の試練の舞台は、北ザナラーンの「ブルーフォグ」でございます。			お嬢様ご主人様、第二の試練の舞台は、北ザナラーンの「ブルーフォグ」でございます。			プリンクの試練							
それでは、いきますよ？僕とデニース闘軍曹の召喚する、イフリート・エギが相手です！			それでは、いきますよ？僕とデニース闘軍曹の召喚する、イフリート・エギが相手です！			プリンクの試練							
ハハッ！2体同時に、相手できるかな！			ハハッ！2体同時に、相手できるかな！			プリンクの試練							
さすがだな！次は「ジャジャサム少闘士」に声をかけて、試練を続けてくれ。			さすがだな！次は「ジャジャサム少闘士」に声をかけて、試練を続けてくれ。			プリンクの試練							
補助魔法で、少しは強化されていたはずだけど……さすがに相手にならなかったわね。			補助魔法で、少しは強化されていたはずだけど……さすがに相手にならなかったわね。			プリンクの試練							
お嬢様ご主人様、おみごとでございます。それでは、試練を続行いたしましょう。			お嬢様ご主人様、おみごとでございます。それでは、試練を続行いたしましょう。			プリンクの試練							
完敗でした……。鮮やかな手並み、思わず見とれてしまいました。			完敗でした……。鮮やかな手並み、思わず見とれてしまいました。			プリンクの試練							
……こりゃ、負けても仕方ないね。悔しくないって言えば、嘘になるけどさ！			……こりゃ、負けても仕方ないね。悔しくないって言えば、嘘になるけどさ！			プリンクの試練							
クリスピンとデニースじゃ、話にならなかったか。悪いがオレの呼びだす召喚獣は、あいつらふたりのを合わせたより、ずっと強いぜ？			クリスピンとデニースじゃ、話にならなかったか。悪いがオレの呼びだす召喚獣は、あいつらふたりのを合わせたより、ずっと強いぜ？			プリンクの試練							
いくぜ！こいつがホンモノの……イフリート・エギだ！			いくぜ！こいつがホンモノの……イフリート・エギだ！			プリンクの試練							
次の相手も「ジャジャサム少闘士」の召喚獣だぞ。あいつは負けずぎらいで、加減を知らないからな。油断はするなよ！			次の相手も「ジャジャサム少闘士」の召喚獣だぞ。あいつは負けずぎらいで、加減を知らないからな。油断はするなよ！			プリンクの試練							
Forenameが一枚上だったけど、今度のイフリート・エギは、なかなか強力だったわね。			Forenameが一枚上だったけど、今度のイフリート・エギは、なかなか強力だったわね。			プリンクの試練							
お嬢様ご主人様、おつかれではありませんか？充分に休息を取ってから、対戦に臨んでください。			お嬢様ご主人様、おつかれではありませんか？充分に休息を取ってから、対戦に臨んでください。			プリンクの試練							
ジャジャサム少闘士の召喚獣も、やられましたか……。もう誰も敵いませんね。			ジャジャサム少闘士の召喚獣も、やられましたか……。もう誰も敵いませんね。			プリンクの試練							
まだ終わりじゃないよ。ジャジャサムは、やる気みたいだ！			まだ終わりじゃないよ。ジャジャサムは、やる気みたいだ！			プリンクの試練							
チッ……認めるよ。オレの召喚獣の負け……それも惨敗だってな！			チッ……認めるよ。オレの召喚獣の負け……それも惨敗だってな！			プリンクの試練							
だがこの程度じゃ、あんたの「試練」にならないだろ？さいわいオレは、むかし海雄旅団にいて、イフリート以外の蛮神とも、戦ったことがあるんだ。			だがこの程度じゃ、あんたの「試練」にならないだろ？さいわいオレは、むかし海雄旅団にいて、イフリート以外の蛮神とも、戦ったことがあるんだ。			プリンクの試練							
そう……複数の召喚獣を使役できるのは、あんただけじゃねえのさ！Forename、あんたの最後の相手は、このタイタン・エギだ！			そう……複数の召喚獣を使役できるのは、あんただけじゃねえのさ！Forename、あんたの最後の相手は、このタイタン・エギだ！			プリンクの試練							
海雄旅団あがりの隊士がいたなんて、驚きね。いずれ、いい召喚士になるんじゃないかしら。			海雄旅団あがりの隊士がいたなんて、驚きね。いずれ、いい召喚士になるんじゃないかしら。			プリンクの試練							
お嬢様ご主人様の戦闘記録を、分析中です。みごとな戦いぶりで、結果は言うまでもないと思いますが……。			お嬢様ご主人様の戦闘記録を、分析中です。みごとな戦いぶりで、結果は言うまでもないと思いますが……。			プリンクの試練							
タイタン・エギならば、少しはいけるかと思ったのですが。さすがに、無理でしたね……。			タイタン・エギならば、少しはいけるかと思ったのですが。さすがに、無理でしたね……。			プリンクの試練							
いいものを見せてもらったよ。戻ったら、猛特訓しなきゃ……！			いいものを見せてもらったよ。戻ったら、猛特訓しなきゃ……！			プリンクの試練							
できれば、自分自身も戦闘に参加したかったぜ。まあ、結果は同じだっただろうけどな……。			できれば、自分自身も戦闘に参加したかったぜ。まあ、結果は同じだっただろうけどな……。			プリンクの試練							
おつかれさん！これで第二の試練とやらは、合格ってことでいいんだよな？			おつかれさん！これで第二の試練とやらは、合格ってことでいいんだよな？			プリンクの試練							
はい、ただいま分析結果が出ました。お嬢様ご主人様の「技」のキレは、間違いなく一級のもの。今回の試練も、堂々と乗り越えられました。			はい、ただいま分析結果が出ました。お嬢様ご主人様の「技」のキレは、間違いなく一級のもの。今回の試練も、堂々と乗り越えられました。			プリンクの試練							
そいつはめでたい！しかし、すごいものだな……蛮神戦から生還した猛者の召喚獣を、赤子の手をひねるように、次々と撃破するなんてな！			そいつはめでたい！しかし、すごいものだな……蛮神戦から生還した猛者の召喚獣を、赤子の手をひねるように、次々と撃破するなんてな！			プリンクの試練							
……感謝するよ。目の前で「ホンモノ」の召喚魔法を見せつけられて、おのれの未熟さを思い知った。			……感謝するよ。目の前で「ホンモノ」の召喚魔法を見せつけられて、おのれの未熟さを思い知った。			プリンクの試練							
お役に立ったようで、何よりね。それじゃ、私たちはグリダニアへ戻るわ。			お役に立ったようで、何よりね。それじゃ、私たちはグリダニアへ戻るわ。			プリンクの試練							
Forenameさん、ありがとうございました。今回の経験を、無駄にはしませんよ！			Forenameさん、ありがとうございました。今回の経験を、無駄にはしませんよ！			プリンクの試練							
また相手してくれよ、じゃあね！			また相手してくれよ、じゃあね！			プリンクの試練							
残る試練は、あとひとつでございます。召喚魔法の大いなる秘法……どうか、勝ち取ってくださいませ。			残る試練は、あとひとつでございます。召喚魔法の大いなる秘法……どうか、勝ち取ってくださいませ。			プリンクの試練							
Forename、おめでとう。これで3つの試練のうち、「力」「技」のふたつの試練を乗り越えたことになるわね！			Forename、おめでとう。これで3つの試練のうち、「力」「技」のふたつの試練を乗り越えたことになるわね！			プリンクの試練							
そうそう、最後の試練について話す前に……プリンクがまた、召喚魔法の歴史を講釈してくれるそうよ。			そうそう、最後の試練について話す前に……プリンクがまた、召喚魔法の歴史を講釈してくれるそうよ。			プリンクの試練							
そもそも召喚魔法は、蛮神を倒すために生まれた魔法体系です。召喚士は蛮神討滅で大きな戦功をあげ、一時は英雄視されました。			そもそも召喚魔法は、蛮神を倒すために生まれた魔法体系です。召喚士は蛮神討滅で大きな戦功をあげ、一時は英雄視されました。			プリンクの試練							
でも一部の者がその力を悪用し……一転、弾圧の対象になった。たしか、そうだったわね？			でも一部の者がその力を悪用し……一転、弾圧の対象になった。たしか、そうだったわね？			プリンクの試練							
はい……私めを創造したサリ様は、現在でいう第三星暦の末期、弾圧から逃れつつ、蛮神討滅に力をつくした方。ベリアスを手始めに、弟子とともに多くの蛮神を葬ったのです。			はい……私めを創造したサリ様は、現在でいう第三星暦の末期、弾圧から逃れつつ、蛮神討滅に力をつくした方。ベリアスを手始めに、弟子とともに多くの蛮神を葬ったのです。			プリンクの試練							
トリスタンの力の源となった、蛮神ベリアスを倒したのも、アラグの大召喚士サリだったのね……。			トリスタンの力の源となった、蛮神ベリアスを倒したのも、アラグの大召喚士サリだったのね……。			プリンクの試練							
サリ様は、先人たちが築いた、偉大な召喚魔法が失われぬよう、文献の収集と保存、後継者の育成につとめました。			サリ様は、先人たちが築いた、偉大な召喚魔法が失われぬよう、文献の収集と保存、後継者の育成につとめました。			プリンクの試練							
一方で魔科学にも造詣が深く、特に情報技術に注目されていました。たとえば魔道書を使わない魔紋構築や、機械の力を借りて、召喚獣をより強化する技術など。			一方で魔科学にも造詣が深く、特に情報技術に注目されていました。たとえば魔道書を使わない魔紋構築や、機械の力を借りて、召喚獣をより強化する技術など。			プリンクの試練							
結局、それらの技術は未完成で、遺すには不向きだと判断されたようです。そしてサリ様は、後世の平和のために、私めを書き遺したのです。			結局、それらの技術は未完成で、遺すには不向きだと判断されたようです。そしてサリ様は、後世の平和のために、私めを書き遺したのです。			プリンクの試練							
すごい召喚士だったのね……。ただアラグの記録に、サリの名はほとんど見られないの。これは、なぜなのかしら？			すごい召喚士だったのね……。ただアラグの記録に、サリの名はほとんど見られないの。これは、なぜなのかしら？			プリンクの試練							
私めの生きた時代、召喚士は徹底的に弾圧されていました。実際、弟子たちの多くも、弾圧によって命を落としています。おそらく、サリ様の功績も抹消されたのでしょう。			私めの生きた時代、召喚士は徹底的に弾圧されていました。実際、弟子たちの多くも、弾圧によって命を落としています。おそらく、サリ様の功績も抹消されたのでしょう。			プリンクの試練							
もっとも私めは、ある時期から保管庫で眠りについていたため、サリ様の晩年については、存じあげないのですが……。			もっとも私めは、ある時期から保管庫で眠りについていたため、サリ様の晩年については、存じあげないのですが……。			プリンクの試練							
召喚士の歴史じゃなく、プリンクの思い出話になってしまったわね。でも、プリンクが創造主のサリを尊敬していることは、よくわかったわ。			召喚士の歴史じゃなく、プリンクの思い出話になってしまったわね。でも、プリンクが創造主のサリを尊敬していることは、よくわかったわ。			プリンクの試練							
あいにく使い魔である私めに、そのような感情の持ちあわせはございませんが……。長くなりましたので、講義はこのへんで終わりといたしましょう。			あいにく使い魔である私めに、そのような感情の持ちあわせはございませんが……。長くなりましたので、講義はこのへんで終わりといたしましょう。			プリンクの試練							
そっけないのね。Forename、次はいよいよ最後の試練よ。最高の状態で臨めるよう、しっかり準備を整えてきてね！			そっけないのね。Forename、次はいよいよ最後の試練よ。最高の状態で臨めるよう、しっかり準備を整えてきてね！			プリンクの試練							
錬金術師ギルドのセヴェリアンは、報告したいことがあるようだ。			錬金術師ギルドのセヴェリアンは、報告したいことがあるようだ。			禁忌の刃							
セヴェリアンの調査の結果、遺体には「死者の蘇生」を試みた痕跡が残されていたという。ウルダハの呪術士ギルドにいる「ヤヤロク」と話し、禁忌を犯した大導師の噂について聞きだそう。			セヴェリアンの調査の結果、遺体には「死者の蘇生」を試みた痕跡が残されていたという。ウルダハの呪術士ギルドにいる「ヤヤロク」と話し、禁忌を犯した大導師の噂について聞きだそう。			禁忌の刃							
ヤヤロクは、過去に禁忌を犯した大導師の名前をど忘れしてしまったという。苦味のない知力の秘薬を製作するため、錬金術師ギルドの「セヴェリアン」に相談しよう。			ヤヤロクは、過去に禁忌を犯した大導師の名前をど忘れしてしまったという。苦味のない知力の秘薬を製作するため、錬金術師ギルドの「セヴェリアン」に相談しよう。			禁忌の刃							
セヴェリアンによれば、知力の秘薬にバーチシロップを加えることで、甘口の知力の秘薬を作ることができるという。秘薬の材料をもとに「知力の甘口秘薬」を製作し、呪術士ギルドの「ヤヤロク」に納品しよう。※「秘薬の材料」を失った場合は、セヴェリアンに話しかけましょう。材料を入手し、再挑戦が可能になります。			セヴェリアンによれば、知力の秘薬にバーチシロップを加えることで、甘口の知力の秘薬を作ることができるという。秘薬の材料をもとに「知力の甘口秘薬」を製作し、呪術士ギルドの「ヤヤロク」に納品しよう。※「秘薬の材料」を失った場合は、セヴェリアンに話しかけましょう。材料を入手し、再挑戦が可能になります。			禁忌の刃							
ヤヤロクに知力の甘口秘薬を渡した。元大導師のムムエポが「心の臓の刃」という呪具を使って、死者の蘇生を試みたという噂があるらしい。エラリグ墓地の「イードギサ」と話し、ムムエポが埋葬権を持つ棺を調べよう。			ヤヤロクに知力の甘口秘薬を渡した。元大導師のムムエポが「心の臓の刃」という呪具を使って、死者の蘇生を試みたという噂があるらしい。エラリグ墓地の「イードギサ」と話し、ムムエポが埋葬権を持つ棺を調べよう。			禁忌の刃							
イードギサは、ムムエポの許可のない者が棺に触れることは許さないという。錬金術師ギルドの「セヴェリアン」と話そう。			イードギサは、ムムエポの許可のない者が棺に触れることは許さないという。錬金術師ギルドの「セヴェリアン」と話そう。			禁忌の刃							
セヴェリアンは、ムムエポの許可を得るための面会を申し入れるようだ。結果を待つまでの間、錬金術の新発見を探して学問を磨こう。※錬金術師のレベルが65以上になると、錬金術師ギルドのセヴェリアンから次の錬金術師クエストを受注することができます。			セヴェリアンは、ムムエポの許可を得るための面会を申し入れるようだ。結果を待つまでの間、錬金術の新発見を探して学問を磨こう。※錬金術師のレベルが65以上になると、錬金術師ギルドのセヴェリアンから次の錬金術師クエストを受注することができます。			禁忌の刃							
アルダネス聖櫃堂のヤヤロクと話す			アルダネス聖櫃堂のヤヤロクと話す			禁忌の刃							
錬金術師ギルドのセヴェリアンと話す			錬金術師ギルドのセヴェリアンと話す			禁忌の刃							
製作手帳 クラスクエスト：知力の甘口秘薬を製作アルダネス聖櫃堂のヤヤロクに知力の甘口秘薬を納品			製作手帳 クラスクエスト：知力の甘口秘薬を製作アルダネス聖櫃堂のヤヤロクに知力の甘口秘薬を納品			禁忌の刃							
エラリグ墓地のイードギサと話す			エラリグ墓地のイードギサと話す			禁忌の刃							
錬金術師ギルドのセヴェリアンと話す			錬金術師ギルドのセヴェリアンと話す			禁忌の刃							
来たか、我が助手よ。例の件についてだが、私も確認してきたぞ。確かにあの死体は、何か奇妙な現象に見舞われているようだ。			来たか、我が助手よ。例の件についてだが、私も確認してきたぞ。確かにあの死体は、何か奇妙な現象に見舞われているようだ。			禁忌の刃							
