赤誠組屯所前のゴウセツは、どこか申し訳なさそうにしている。			赤誠組屯所前のゴウセツは、どこか申し訳なさそうにしている。			再会と旅立ち							
それじゃあ、「ウルダハ商館応接室」に戻って、アルフィノやタタルたちと合流しましょう。			それじゃあ、「ウルダハ商館応接室」に戻って、アルフィノやタタルたちと合流しましょう。			再会と旅立ち							
ゴウセツ殿！			ゴウセツ殿！			再会と旅立ち							
心配をおかけしたようで、申し訳ない。しかし、このとおり拙者はピンピンとしておりますぞ！			心配をおかけしたようで、申し訳ない。しかし、このとおり拙者はピンピンとしておりますぞ！			再会と旅立ち							
ムッ……！おぬしは、拙者を騙したナマズ男ではないか！ここで会ったが百年目……三枚おろしにしてくれようぞ！			ムッ……！おぬしは、拙者を騙したナマズ男ではないか！ここで会ったが百年目……三枚おろしにしてくれようぞ！			再会と旅立ち							
ぺぺぺぺぺ……すまないっぺよ。受け取ったゼニは、出世払いで返すから、どうか許してほしいっぺな……。			ぺぺぺぺぺ……すまないっぺよ。受け取ったゼニは、出世払いで返すから、どうか許してほしいっぺな……。			再会と旅立ち							
まぁまぁ、その件はおいおい……。ところでゴウセツ殿、お尋ねしたいことがあるのです。ユウギリ殿がいっしょではないようですが……。			まぁまぁ、その件はおいおい……。ところでゴウセツ殿、お尋ねしたいことがあるのです。ユウギリ殿がいっしょではないようですが……。			再会と旅立ち							
うむ、ヒエン様の行方を探るため、二手に分かれたのでござる。拙者はクガネにて、ユウギリは大陸側にて、それぞれが捜索を行うつもりでな。			うむ、ヒエン様の行方を探るため、二手に分かれたのでござる。拙者はクガネにて、ユウギリは大陸側にて、それぞれが捜索を行うつもりでな。			再会と旅立ち							
そのヒエンって人は？			そのヒエンって人は？			再会と旅立ち							
おぉ、説明していなかったのを、忘れておったわ。ヒエン様とは、代々、ドマを治めてこられた国主一族の当主、拙者やユウギリが仕える主君でござる。			おぉ、説明していなかったのを、忘れておったわ。ヒエン様とは、代々、ドマを治めてこられた国主一族の当主、拙者やユウギリが仕える主君でござる。			再会と旅立ち							
ドマは、25年前に帝国に占領されてからも、独立を求める声は強く、度々、反乱が起こってきた。つい最近も、大きな反乱があったのは知ってのとおり……。			ドマは、25年前に帝国に占領されてからも、独立を求める声は強く、度々、反乱が起こってきた。つい最近も、大きな反乱があったのは知ってのとおり……。			再会と旅立ち							
帝国の次期皇帝を巡る内乱に乗じて、ドマの民が決起したという戦いですね？そして、それを鎮圧したのが現アラミゴ総督ゼノスだと……。			帝国の次期皇帝を巡る内乱に乗じて、ドマの民が決起したという戦いですね？そして、それを鎮圧したのが現アラミゴ総督ゼノスだと……。			再会と旅立ち							
然り、皇太子ゼノスの力は圧倒的でござった……。一時はドマ城を奪還するまでに、勢力を盛り返した我らであったが、ヤツの第XII軍団が現れて、形勢は逆転……。			然り、皇太子ゼノスの力は圧倒的でござった……。一時はドマ城を奪還するまでに、勢力を盛り返した我らであったが、ヤツの第XII軍団が現れて、形勢は逆転……。			再会と旅立ち							
敗北を悟ったヒエン様は、ユウギリに民を託し、落ち延びるように命じると、少数の手勢を率いて残ったのだ。民を逃がす、時間を稼ぐために……。			敗北を悟ったヒエン様は、ユウギリに民を託し、落ち延びるように命じると、少数の手勢を率いて残ったのだ。民を逃がす、時間を稼ぐために……。			再会と旅立ち							
ヒエン様は、拙者とともに当地で戦いをつづけておったが、激戦の最中で窮地に陥り、今や行方知れず……。ゆえに忍びの技に長けたユウギリを呼び戻したのだ。			ヒエン様は、拙者とともに当地で戦いをつづけておったが、激戦の最中で窮地に陥り、今や行方知れず……。ゆえに忍びの技に長けたユウギリを呼び戻したのだ。			再会と旅立ち							
現在、ドマはゼノスから総督の責務を任された、「ヨツユ」という女狐の下で、より締め付けが厳しくなっておる。このままでは、残された民も、そう長くは保つまい……。			現在、ドマはゼノスから総督の責務を任された、「ヨツユ」という女狐の下で、より締め付けが厳しくなっておる。このままでは、残された民も、そう長くは保つまい……。			再会と旅立ち							
事情はよくわかりました……。どうやら、かなり苦しい状況のようですね。			事情はよくわかりました……。どうやら、かなり苦しい状況のようですね。			再会と旅立ち							
そこで提案なのですが、我々も反乱軍に協力させてもらえませんか？東方での反帝国運動の盛り上がりが、ギラバニアにおける戦いの、一助になると考え、私たちは遠征してきたのです。			そこで提案なのですが、我々も反乱軍に協力させてもらえませんか？東方での反帝国運動の盛り上がりが、ギラバニアにおける戦いの、一助になると考え、私たちは遠征してきたのです。			再会と旅立ち							
なんと、ありがたい！どの道、クガネでは有益な情報を得ることができず、拠点に帰らねばと思っていたところでござる。			なんと、ありがたい！どの道、クガネでは有益な情報を得ることができず、拠点に帰らねばと思っていたところでござる。			再会と旅立ち							
ヤンサの地にある我らの拠点にて、ユウギリと合流する手はずになっておってな……。まずは紅玉海を越え、大陸を目指しましょうぞ！			ヤンサの地にある我らの拠点にて、ユウギリと合流する手はずになっておってな……。まずは紅玉海を越え、大陸を目指しましょうぞ！			再会と旅立ち							
そういうことなら、アルフィノはクガネに残って、タタルと協力しながら、情報支援をお願いね。この街には、ガレマール帝国の大使館があることだし……。			そういうことなら、アルフィノはクガネに残って、タタルと協力しながら、情報支援をお願いね。この街には、ガレマール帝国の大使館があることだし……。			再会と旅立ち							
なっ……！？確かに情報が重要なのは道理だが、私も同行して力に……！			なっ……！？確かに情報が重要なのは道理だが、私も同行して力に……！			再会と旅立ち							
一兵卒として働きたいって言ったのは、誰だったかしら？このメンバーの中で、政治と諜報の最前線で戦えるのは、あなたたちふたりだって、見込んだんだけど？			一兵卒として働きたいって言ったのは、誰だったかしら？このメンバーの中で、政治と諜報の最前線で戦えるのは、あなたたちふたりだって、見込んだんだけど？			再会と旅立ち							
確かに、帝国の情報を集めつつ、反乱軍の偽情報を流せれば、味方を利し、敵を混乱させることもできる……か。わかった……大人しく従うよ……。			確かに、帝国の情報を集めつつ、反乱軍の偽情報を流せれば、味方を利し、敵を混乱させることもできる……か。わかった……大人しく従うよ……。			再会と旅立ち							
ではでは、みなさん、いってらっしゃいでっす！渡し船は「第二波止場」にいる「ソロバン」さんが、準備してくれているはずでっすよ！			ではでは、みなさん、いってらっしゃいでっす！渡し船は「第二波止場」にいる「ソロバン」さんが、準備してくれているはずでっすよ！			再会と旅立ち							
やれやれ、ここまで来て居残りとは……。しかし、情報支援も重要な使命ではあるからね。気を取り直して、しっかり務めを果たすさ。			やれやれ、ここまで来て居残りとは……。しかし、情報支援も重要な使命ではあるからね。気を取り直して、しっかり務めを果たすさ。			再会と旅立ち							
ぺぺぺ……オレは無罪放免ってことでいいっぺか？			ぺぺぺ……オレは無罪放免ってことでいいっぺか？			再会と旅立ち							
ドマは交易先としては、大きな魅力を持っています。博打ではありますが、ドマ解放運動を支援するのは、悪くない先行投資といえるでしょうネ。			ドマは交易先としては、大きな魅力を持っています。博打ではありますが、ドマ解放運動を支援するのは、悪くない先行投資といえるでしょうネ。			再会と旅立ち							
Forenameさん、どうかお気を付けて、いってらっしゃいまっせ！			Forenameさん、どうかお気を付けて、いってらっしゃいまっせ！			再会と旅立ち							
今度は、ミゼリー号と違って、えらく小さい船だね。ちょっと心許ないけど……大丈夫だよね？			今度は、ミゼリー号と違って、えらく小さい船だね。ちょっと心許ないけど……大丈夫だよね？			再会と旅立ち							
実際問題、アルフィノは戦いよりも、細かい仕事の方が向いてるのよ。あなたも、そう思うでしょ？			実際問題、アルフィノは戦いよりも、細かい仕事の方が向いてるのよ。あなたも、そう思うでしょ？			再会と旅立ち							
ユウギリは海を渡る術を会得しておるゆえ、ひとり先行して、大陸へ向かってもらったのだ。それにしても、コウジン族の船頭とは心強い！			ユウギリは海を渡る術を会得しておるゆえ、ひとり先行して、大陸へ向かってもらったのだ。それにしても、コウジン族の船頭とは心強い！			再会と旅立ち							
あっ、いらっしゃ～い。船の準備は、ばっちりだよぉ～。			あっ、いらっしゃ～い。船の準備は、ばっちりだよぉ～。			再会と旅立ち							
そろそろ紅玉海に向けて出港するけど、忘れ物はないかなぁ～？			そろそろ紅玉海に向けて出港するけど、忘れ物はないかなぁ～？			再会と旅立ち							
紅玉海へと出発する？			紅玉海へと出発する？			再会と旅立ち							
準備完了だよぉ～！			準備完了だよぉ～！			再会と旅立ち							
準備できてないよぉ～！			準備できてないよぉ～！			再会と旅立ち							
いい返事だねぇ～！よ～し、出発するから船に乗り込んでちょうだぁ～い！まずは紅玉海の玄関口、「紅玉台場」を目指すよぉ～！			いい返事だねぇ～！よ～し、出発するから船に乗り込んでちょうだぁ～い！まずは紅玉海の玄関口、「紅玉台場」を目指すよぉ～！			再会と旅立ち							
この海の向こうにあるのが、オサード小大陸、ユウギリやゴウセツたちの故郷なんだよね。			この海の向こうにあるのが、オサード小大陸、ユウギリやゴウセツたちの故郷なんだよね。			再会と旅立ち							
ずいぶんと厳重な警戒態勢ね……。もっとも、帝国軍が本気で空から攻めてくれば、ひとたまりもないとは思うけれど……。			ずいぶんと厳重な警戒態勢ね……。もっとも、帝国軍が本気で空から攻めてくれば、ひとたまりもないとは思うけれど……。			再会と旅立ち							
ここ紅玉台場は、ひんがしの国の防衛施設……。紅玉海を警戒するために建造された、人工島でござる。			ここ紅玉台場は、ひんがしの国の防衛施設……。紅玉海を警戒するために建造された、人工島でござる。			再会と旅立ち							
さぁ、紅玉台場に着いたよぉ～。う～ん、やっぱり紅玉海は、ひ～ろび～ろしてて最高だぁ～！商品をいっぱい仕入れた後だと、なおさら気分いいよねぇ～！			さぁ、紅玉台場に着いたよぉ～。う～ん、やっぱり紅玉海は、ひ～ろび～ろしてて最高だぁ～！商品をいっぱい仕入れた後だと、なおさら気分いいよねぇ～！			再会と旅立ち							
紅玉台場のソロバンは、のんびり何かを考えているようだ。			紅玉台場のソロバンは、のんびり何かを考えているようだ。			水をかきわけて							
リセと話す			リセと話す			水をかきわけて							
ソロバンと話す			ソロバンと話す			水をかきわけて							
タンスイを探す			タンスイを探す			水をかきわけて							
この海の向こうにあるのが、オサード小大陸、ユウギリやゴウセツたちの故郷なんだよね。			この海の向こうにあるのが、オサード小大陸、ユウギリやゴウセツたちの故郷なんだよね。			水をかきわけて							
ずいぶんと厳重な警戒態勢ね……。もっとも、帝国軍が本気で空から攻めてくれば、ひとたまりもないとは思うけれど……。			ずいぶんと厳重な警戒態勢ね……。もっとも、帝国軍が本気で空から攻めてくれば、ひとたまりもないとは思うけれど……。			水をかきわけて							
ここ紅玉台場は、ひんがしの国の防衛施設……。紅玉海を警戒するために建造された、人工島でござる。			ここ紅玉台場は、ひんがしの国の防衛施設……。紅玉海を警戒するために建造された、人工島でござる。			水をかきわけて							
さぁて、アンタたちを大陸側に送り届けるには、この紅玉海を横断しなきゃいけないんだけどぉ～……ちょっと準備がいるんだよねぇ～。			さぁて、アンタたちを大陸側に送り届けるには、この紅玉海を横断しなきゃいけないんだけどぉ～……ちょっと準備がいるんだよねぇ～。			水をかきわけて							
紅玉海にはさぁ～、昔から「海賊衆」っていうヒトたちがいて、通行する船から略奪をしてるわけぇ～。			紅玉海にはさぁ～、昔から「海賊衆」っていうヒトたちがいて、通行する船から略奪をしてるわけぇ～。			水をかきわけて							
ただし、通行料……「帆別銭」ってのを払えば大丈夫。礼儀としきたりを守る奴には味方して、そうじゃない奴からは、容赦なく奪うのが海賊衆さぁ～！			ただし、通行料……「帆別銭」ってのを払えば大丈夫。礼儀としきたりを守る奴には味方して、そうじゃない奴からは、容赦なく奪うのが海賊衆さぁ～！			水をかきわけて							
……ってなわけでぇ～、まずは、すぐ西の島にある「サカズキ島」まで、帆別銭を払いに行くよぉ～。			……ってなわけでぇ～、まずは、すぐ西の島にある「サカズキ島」まで、帆別銭を払いに行くよぉ～。			水をかきわけて							
ねえ、Forename！すぐそこの島なら、泳いでいってみない？小さな船に乗ってたから、体がバッキバキでさ……。			ねえ、Forename！すぐそこの島なら、泳いでいってみない？小さな船に乗ってたから、体がバッキバキでさ……。			水をかきわけて							
あ～、それは気持ちよさそうだねぇ～！うんうん、やってみるといいよぉ～。			あ～、それは気持ちよさそうだねぇ～！うんうん、やってみるといいよぉ～。			水をかきわけて							
オイラは船を移動させなきゃならないから、泳がないヒトは乗せてってあげる。……じゃ、西の島で合流ねぇ～。			オイラは船を移動させなきゃならないから、泳がないヒトは乗せてってあげる。……じゃ、西の島で合流ねぇ～。			水をかきわけて							
私だって、泳いでもよかったんだけど……先の見えない旅なのに、いきなり全身ビショ濡れなのは……ね？			私だって、泳いでもよかったんだけど……先の見えない旅なのに、いきなり全身ビショ濡れなのは……ね？			水をかきわけて							
おぬしは、泳ぎまで得意でござったか！すすんで体を動かす、その心意気やよし！			おぬしは、泳ぎまで得意でござったか！すすんで体を動かす、その心意気やよし！			水をかきわけて							
あれぇ～、リセはぁ～？			あれぇ～、リセはぁ～？			水をかきわけて							
うん、大丈夫そうだね！たまにはこういうのも、戦いの前の、いい準備運動になりそう。			うん、大丈夫そうだね！たまにはこういうのも、戦いの前の、いい準備運動になりそう。			水をかきわけて							
それじゃ、島まで一気に行っちゃおう！			それじゃ、島まで一気に行っちゃおう！			水をかきわけて							
おつかれ！付き合ってくれて、ありがとうね！			おつかれ！付き合ってくれて、ありがとうね！			水をかきわけて							
あ、きたきたぁ～！こっちも無事に、揃ってるよぉ～。			あ、きたきたぁ～！こっちも無事に、揃ってるよぉ～。			水をかきわけて							
それじゃあさっそく、海賊衆のところへ行こう。いつもどおりなら、上の見張り台のとこに、副頭領の「タンスイ」ってヒトがいると思うんだぁ～。			それじゃあさっそく、海賊衆のところへ行こう。いつもどおりなら、上の見張り台のとこに、副頭領の「タンスイ」ってヒトがいると思うんだぁ～。			水をかきわけて							
う……服は乾いてきたけど、ちょっとベタベタする……。			う……服は乾いてきたけど、ちょっとベタベタする……。			水をかきわけて							
リムサ・ロミンサにも海賊はいたけれど、こっちの海賊は、どんなものかしらね。			リムサ・ロミンサにも海賊はいたけれど、こっちの海賊は、どんなものかしらね。			水をかきわけて							
ドマの民にとっても、海賊衆は身近な存在でござる。賊ではあるが、紅玉海の治安の守り手でもあるゆえな。			ドマの民にとっても、海賊衆は身近な存在でござる。賊ではあるが、紅玉海の治安の守り手でもあるゆえな。			水をかきわけて							
そうそう、このヒトがタンスイだよぉ～。			そうそう、このヒトがタンスイだよぉ～。			水をかきわけて							
ほぉ……ここらじゃ珍しいナリだ。お前、名前は？			ほぉ……ここらじゃ珍しいナリだ。お前、名前は？			水をかきわけて							
……Forename御一行様、な。俺は、タンスイ。海賊衆の副頭領を務めさせてもらってる。			……Forename御一行様、な。俺は、タンスイ。海賊衆の副頭領を務めさせてもらってる。			水をかきわけて							
ソロバンを連れてるなら、偶然ここに立ち寄ったってわけじゃねぇな？……じゃ、筋を通してもらおうか。			ソロバンを連れてるなら、偶然ここに立ち寄ったってわけじゃねぇな？……じゃ、筋を通してもらおうか。			水をかきわけて							
潮風亭のコウジン族の下働きは、周囲をキョロキョロと見渡している。			潮風亭のコウジン族の下働きは、周囲をキョロキョロと見渡している。			お得意様クレナイ							
碧のタマミズでアウラ・スイの女官と話す			碧のタマミズでアウラ・スイの女官と話す			お得意様クレナイ							
お～や～……その物腰、さては冒険者だろぉ～。君、Forenameって人を知らないかい～？			お～や～……その物腰、さては冒険者だろぉ～。君、Forenameって人を知らないかい～？			お得意様クレナイ							
おお～、君がそうかぁ～！　こいつは運が良かったよぉ～。紫水宮の……えっと「女官」とかいう人に頼まれてぇ～、君を探してたんだぁ～！			おお～、君がそうかぁ～！　こいつは運が良かったよぉ～。紫水宮の……えっと「女官」とかいう人に頼まれてぇ～、君を探してたんだぁ～！			お得意様クレナイ							
僕ら碧甲羅のコウジン族は、アウラ・スイの依頼を受けてぇ～、今、彼らに協力しているんだけどさぁ～。ちょっと困っちゃってるんだよねぇ～。			僕ら碧甲羅のコウジン族は、アウラ・スイの依頼を受けてぇ～、今、彼らに協力しているんだけどさぁ～。ちょっと困っちゃってるんだよねぇ～。			お得意様クレナイ							
それで、その女官が、君の手を借りたいって言ってるんだぁ～。よければ、「碧のタマミズ」まで来ておくれよぉ～。			それで、その女官が、君の手を借りたいって言ってるんだぁ～。よければ、「碧のタマミズ」まで来ておくれよぉ～。			お得意様クレナイ							
アウラ・スイの女官が、君の手を借りたいって言ってるんだぁ～。よければ、「碧のタマミズ」まで来ておくれよぉ～。			アウラ・スイの女官が、君の手を借りたいって言ってるんだぁ～。よければ、「碧のタマミズ」まで来ておくれよぉ～。			お得意様クレナイ							
ん、その身なり……さてはエオルゼア人か！ってことは、アンタがForenameだな？			ん、その身なり……さてはエオルゼア人か！ってことは、アンタがForenameだな？			お得意様クレナイ							
ああ、Forename様……！良かった、あなた様との縁は切れていなかったのですね……。			ああ、Forename様……！良かった、あなた様との縁は切れていなかったのですね……。			お得意様クレナイ							
あら……もしや女官のヒスイが変装した姿かと、お疑いで？こうして女官の衣装に扮しておりますが、私は正真正銘、アウラ・スイを統べる「紅玉姫」のクレナイにございます。			あら……もしや女官のヒスイが変装した姿かと、お疑いで？こうして女官の衣装に扮しておりますが、私は正真正銘、アウラ・スイを統べる「紅玉姫」のクレナイにございます。			お得意様クレナイ							
何と言う？			何と言う？			お得意様クレナイ							
何故、ここに？			何故、ここに？			お得意様クレナイ							
紫水宮を離れていいの？			紫水宮を離れていいの？			お得意様クレナイ							
碧甲羅の手をお借りして、成そうとしていることがあるのです。それは、スイの民を「外」との交わりへ導くという、私たちの生き方、そのものを変える改革……！			碧甲羅の手をお借りして、成そうとしていることがあるのです。それは、スイの民を「外」との交わりへ導くという、私たちの生き方、そのものを変える改革……！			お得意様クレナイ							
禁を破ってでも、成し遂げたいことができたのです。それは、スイの民を「外」との交わりへ導くという、私たちの生き方、そのものを変える改革……！			禁を破ってでも、成し遂げたいことができたのです。それは、スイの民を「外」との交わりへ導くという、私たちの生き方、そのものを変える改革……！			お得意様クレナイ							
きっかけは、あなた様との旅路でした……。里を出て、見聞きした知識や品々に、私は驚かされ、そして有益さを思い知ったのです。			きっかけは、あなた様との旅路でした……。里を出て、見聞きした知識や品々に、私は驚かされ、そして有益さを思い知ったのです。			お得意様クレナイ							
ご存知のとおり、現在スイの里は、陸とは断絶状態。ドマが帝国に占領される前は、多少の交流もあったようですが、今では、碧のタマミズからわずかな必需品を輸入している程度……。			ご存知のとおり、現在スイの里は、陸とは断絶状態。ドマが帝国に占領される前は、多少の交流もあったようですが、今では、碧のタマミズからわずかな必需品を輸入している程度……。			お得意様クレナイ							
しかし、紅玉海から帝国の影が消えた今こそ、閉鎖的だったスイの里を「外」へと開いていくべきと考えたのです。ただ、問題もありまして……。			しかし、紅玉海から帝国の影が消えた今こそ、閉鎖的だったスイの里を「外」へと開いていくべきと考えたのです。ただ、問題もありまして……。			お得意様クレナイ							
紅玉姫といえど、強引にことを進めりゃ反発する奴も出てくる。開国をこばむ保守的層の理解を得るために、姉ちゃん兄ちゃんの協力が必要……って話だろ？			紅玉姫といえど、強引にことを進めりゃ反発する奴も出てくる。開国をこばむ保守的層の理解を得るために、姉ちゃん兄ちゃんの協力が必要……って話だろ？			お得意様クレナイ							
よう、こんな海底でエオルゼア人に会えるとはね。アタシは、サナナ……ロウェナ商会の者だっていやあ、それ以上の自己紹介は不要だよな？			よう、こんな海底でエオルゼア人に会えるとはね。アタシは、サナナ……ロウェナ商会の者だっていやあ、それ以上の自己紹介は不要だよな？			お得意様クレナイ							
ご紹介いたしましょう、彼女はサナナさん。ロウェナ商会なる組織の新人で、東方交易に向かう船が難破し、漂流しているところを、里の民が助け出したのです。			ご紹介いたしましょう、彼女はサナナさん。ロウェナ商会なる組織の新人で、東方交易に向かう船が難破し、漂流しているところを、里の民が助け出したのです。			お得意様クレナイ							
ま、命を救ってくれた礼に、アタシも一肌脱ごうと思ってね！クレナイの、開国という目標に協力させてもらってんのさ。			ま、命を救ってくれた礼に、アタシも一肌脱ごうと思ってね！クレナイの、開国という目標に協力させてもらってんのさ。			お得意様クレナイ							
彼女の意見は、とても新鮮でした。里の暮らしを助ける品を「外」から取り入れて民に届け、その実利から、開国の利点を訴えたらどうか……と。			彼女の意見は、とても新鮮でした。里の暮らしを助ける品を「外」から取り入れて民に届け、その実利から、開国の利点を訴えたらどうか……と。			お得意様クレナイ							
たしかに、理念や道理を説かれるよりも、日々の暮らしに直結した品々を取り入れるほうが、民にとっても、改革の利を実感しやすいでしょう……！			たしかに、理念や道理を説かれるよりも、日々の暮らしに直結した品々を取り入れるほうが、民にとっても、改革の利を実感しやすいでしょう……！			お得意様クレナイ							
幸い、しばらくは大きな儀式もありません。そのため、宮司のシオサイと、ヒスイにわがままを言い、姫の代役をヒスイに託し、活動を開始したのですが……。			幸い、しばらくは大きな儀式もありません。そのため、宮司のシオサイと、ヒスイにわがままを言い、姫の代役をヒスイに託し、活動を開始したのですが……。			お得意様クレナイ							
船が難破したせいで、アタシも手元にいい品がなくてねえ。碧甲羅の協力を得ながら、スイの里に供給する品を、確保しようと奮闘してるものの……芳しくないのが実情さ。			船が難破したせいで、アタシも手元にいい品がなくてねえ。碧甲羅の協力を得ながら、スイの里に供給する品を、確保しようと奮闘してるものの……芳しくないのが実情さ。			お得意様クレナイ							
そこで、広く世界を知るあなた様の力を、ふたたび頼らせていただければと思い、探していたのです。サナナさんいわく、あなた様は腕利きの職人でもあるとか……。			そこで、広く世界を知るあなた様の力を、ふたたび頼らせていただければと思い、探していたのです。サナナさんいわく、あなた様は腕利きの職人でもあるとか……。			お得意様クレナイ							
Forenameの名は、ロウェナ商会じゃお馴染みさ。冒険者としてはもちろん、職人としても凄腕なのはよく知ってる。			Forenameの名は、ロウェナ商会じゃお馴染みさ。冒険者としてはもちろん、職人としても凄腕なのはよく知ってる。			お得意様クレナイ							
難破船から、多少の物資は持ち出せた。報酬がほしけりゃ、アタシがスクリップで支払ってやるから、どうか、クレナイの計画に協力してくれないかい？			難破船から、多少の物資は持ち出せた。報酬がほしけりゃ、アタシがスクリップで支払ってやるから、どうか、クレナイの計画に協力してくれないかい？			お得意様クレナイ							
……なに、そんな警戒しなさんな。ロウェナ商会の者だって、恩義を理由に行動することもあるのさ。			……なに、そんな警戒しなさんな。ロウェナ商会の者だって、恩義を理由に行動することもあるのさ。			お得意様クレナイ							
それに、アンタだって里の様子は見ただろう？自給自足を誇っちゃいるが、実際は限界まで切り詰めてるだけ。この暮らしで、うしなう命も結構なもんだそうだ……。			それに、アンタだって里の様子は見ただろう？自給自足を誇っちゃいるが、実際は限界まで切り詰めてるだけ。この暮らしで、うしなう命も結構なもんだそうだ……。			お得意様クレナイ							
すべてを外の世界と同様にすべきだとは思わないがね。商売……つまり、品物のやり取りを通じて消せる不幸ってのも、世の中にはあるのさ。			すべてを外の世界と同様にすべきだとは思わないがね。商売……つまり、品物のやり取りを通じて消せる不幸ってのも、世の中にはあるのさ。			お得意様クレナイ							
ああ、ありがとうございます……！おふたりのおかげで、まだ希望を捨てずにすみそうです。			ああ、ありがとうございます……！おふたりのおかげで、まだ希望を捨てずにすみそうです。			お得意様クレナイ							
さーて、そうと決まれば、さっそく動き出そうぜ！実際問題、あまり時間も残されていなくてね、そうなんだろ？			さーて、そうと決まれば、さっそく動き出そうぜ！実際問題、あまり時間も残されていなくてね、そうなんだろ？			お得意様クレナイ							
ええ……この季節になると、スイの里では、流行り病が広がって、犠牲者が出ることも少なくないんです。ただ、これといった特効薬が東方地域にはなく……。			ええ……この季節になると、スイの里では、流行り病が広がって、犠牲者が出ることも少なくないんです。ただ、これといった特効薬が東方地域にはなく……。			お得意様クレナイ							
症例を聞いたかぎりじゃ、特定の栄養が足りてないのが問題らしい。ギラバニアに伝わる滋養強壮に優れた薬茶なんかを使えば、病の流行そのものを防げるかもしれないんだ。			症例を聞いたかぎりじゃ、特定の栄養が足りてないのが問題らしい。ギラバニアに伝わる滋養強壮に優れた薬茶なんかを使えば、病の流行そのものを防げるかもしれないんだ。			お得意様クレナイ							
ですから、まずは、その「ギラバニア医薬品」を、調達してきていただけますでしょうか……。これから、どうぞよろしくお願いいたします。			ですから、まずは、その「ギラバニア医薬品」を、調達してきていただけますでしょうか……。これから、どうぞよろしくお願いいたします。			お得意様クレナイ							
サカズキ島のタンスイは、冒険者を用心深く眺めている。			サカズキ島のタンスイは、冒険者を用心深く眺めている。			海賊衆の苦境							
指定地点で見渡す			指定地点で見渡す			海賊衆の苦境							
ゴウセツと話す			ゴウセツと話す			海賊衆の苦境							
ソロバンを探す			ソロバンを探す			海賊衆の苦境							
う……服は乾いてきたけど、ちょっとベタベタする……。			う……服は乾いてきたけど、ちょっとベタベタする……。			海賊衆の苦境							
