アプカル滝のヤ・ミトラは、最後の試練の開始を告げようとしている。			アプカル滝のヤ・ミトラは、最後の試練の開始を告げようとしている。			不可視の脅威							
ごめんなさい……油断したわ……。			ごめんなさい……油断したわ……。			不可視の脅威							
(-？？？？-)…………ターゲットを規格外の存在と認定。走査、開始します。			(-？？？？-)…………ターゲットを規格外の存在と認定。走査、開始します。			不可視の脅威							
(-？？？？-)潜在エーテル量…………計測不能。想定単位を大幅に上回っています。システム再起動、ターゲットに再コンタクト。			(-？？？？-)潜在エーテル量…………計測不能。想定単位を大幅に上回っています。システム再起動、ターゲットに再コンタクト。			不可視の脅威							
……あの野郎、まだやる気か！？			……あの野郎、まだやる気か！？			不可視の脅威							
……サリ様！？どうして、ここにおられるのです？			……サリ様！？どうして、ここにおられるのです？			不可視の脅威							
サリって、まさか……あなたを創りだした、アラグの召喚士！？			サリって、まさか……あなたを創りだした、アラグの召喚士！？			不可視の脅威							
おっと、「プリンキピア」まで覚醒していたとはね。ふむ……ならば…………			おっと、「プリンキピア」まで覚醒していたとはね。ふむ……ならば…………			不可視の脅威							
何をしたの！？			何をしたの！？			不可視の脅威							
なに……「彼」の機能に、ちょっとばかり制限を加えただけさ。			なに……「彼」の機能に、ちょっとばかり制限を加えただけさ。			不可視の脅威							
……次に会うときが楽しみだ。待っているよ、当代最高の召喚士さん。			……次に会うときが楽しみだ。待っているよ、当代最高の召喚士さん。			不可視の脅威							
妙な……消え方をしたわね。あれは、転移の魔法というより…………			妙な……消え方をしたわね。あれは、転移の魔法というより…………			不可視の脅威							
クソッ……いったい何なんだ、あいつは！？			クソッ……いったい何なんだ、あいつは！？			不可視の脅威							
いや…………それよりも、いまは怪我人の安全確保が先か。ひとまず島を出て、ウルダハへ帰投するぞ！			いや…………それよりも、いまは怪我人の安全確保が先か。ひとまず島を出て、ウルダハへ帰投するぞ！			不可視の脅威							
シールロックで会った敵……。何者なのかしら？			シールロックで会った敵……。何者なのかしら？			不可視の脅威							
なぜ、サリ様がシールロックに……。私めにも、皆目見当がつきません。			なぜ、サリ様がシールロックに……。私めにも、皆目見当がつきません。			不可視の脅威							
デニース闘軍曹の傷が深かったけれど、治癒の魔法が効いたわ。駆けつけるのが少し遅れたら、危なかった……。			デニース闘軍曹の傷が深かったけれど、治癒の魔法が効いたわ。駆けつけるのが少し遅れたら、危なかった……。			不可視の脅威							
彼らを救っていただき、感謝いたします！迅速な行動が、功を奏しました。			彼らを救っていただき、感謝いたします！迅速な行動が、功を奏しました。			不可視の脅威							
敵は間違いなく、召喚士でした。あれほど多くの召喚獣を同時に使役するなど、いったい、どうやって……。			敵は間違いなく、召喚士でした。あれほど多くの召喚獣を同時に使役するなど、いったい、どうやって……。			不可視の脅威							
心配かけて、ごめん……もう大丈夫さ。助けてくれて、ほんと、ありがと！			心配かけて、ごめん……もう大丈夫さ。助けてくれて、ほんと、ありがと！			不可視の脅威							
たったひとりで、多数の召喚獣を展開……いや、召喚獣とは思えない敵もいた。あんな非常識な術を使うヤツは、見たことがないぞ？			たったひとりで、多数の召喚獣を展開……いや、召喚獣とは思えない敵もいた。あんな非常識な術を使うヤツは、見たことがないぞ？			不可視の脅威							
Forename、助かったぞ！部下の3人も、怪我が癒えれば復帰できそうだ。			Forename、助かったぞ！部下の3人も、怪我が癒えれば復帰できそうだ。			不可視の脅威							
……僕たちからも、お礼を言わせてください。あなたが駆けつけなければ、確実に全滅していました。			……僕たちからも、お礼を言わせてください。あなたが駆けつけなければ、確実に全滅していました。			不可視の脅威							
それにしても、あの敵……大召喚士、サリだと言っていたか？アラグの召喚士が、数千年の時を超えて甦ったとでも……？			それにしても、あの敵……大召喚士、サリだと言っていたか？アラグの召喚士が、数千年の時を超えて甦ったとでも……？			不可視の脅威							
そんなバカなことが、あるわけないだろう！			そんなバカなことが、あるわけないだろう！			不可視の脅威							
見たこともない召喚魔法を、連発してたのは確かだよ。プリンクが何か知ってるだろうから、そっちで聞いといてもらえる？			見たこともない召喚魔法を、連発してたのは確かだよ。プリンクが何か知ってるだろうから、そっちで聞いといてもらえる？			不可視の脅威							
……そうさせてもらうわ。Forename、グリダニアへ戻りましょう。			……そうさせてもらうわ。Forename、グリダニアへ戻りましょう。			不可視の脅威							
お嬢様ご主人様、このたびは大変おつかれさまでした。まさか、最後の試練を始めようという折に、あのような事件が起きるとは……。			お嬢様ご主人様、このたびは大変おつかれさまでした。まさか、最後の試練を始めようという折に、あのような事件が起きるとは……。			不可視の脅威							
前に、ヤ・ミトラの嬢ちゃんに一杯くわされたことがあったが……今回はいきなり襲われて、身内を疑う余地などなかった。敵の正体が、見えないのも不気味だな……。			前に、ヤ・ミトラの嬢ちゃんに一杯くわされたことがあったが……今回はいきなり襲われて、身内を疑う余地などなかった。敵の正体が、見えないのも不気味だな……。			不可視の脅威							
最後の試練のはずが、大変なことになってしまったわね。プリンク、あの敵が「サリ」だというのは本当なの？			最後の試練のはずが、大変なことになってしまったわね。プリンク、あの敵が「サリ」だというのは本当なの？			不可視の脅威							
はい……声紋にエーテル波形、あらゆる証拠が、私めを創造したサリ様に間違いないことを示しております。			はい……声紋にエーテル波形、あらゆる証拠が、私めを創造したサリ様に間違いないことを示しております。			不可視の脅威							
しかしながら、あのような言動……とてもサリ様とは思われません。お優しいサリ様が、ほかの召喚士を攻撃するなど……。			しかしながら、あのような言動……とてもサリ様とは思われません。お優しいサリ様が、ほかの召喚士を攻撃するなど……。			不可視の脅威							
いえ……もっと根本的におかしな点があるわ。何千年も前の人が、突然、現在に甦るなんて！			いえ……もっと根本的におかしな点があるわ。何千年も前の人が、突然、現在に甦るなんて！			不可視の脅威							
これは、可能性のひとつにすぎませんが……。アラグ帝国では人体を複製し、人造の生命体、クローンを創造する研究が進められておりました。			これは、可能性のひとつにすぎませんが……。アラグ帝国では人体を複製し、人造の生命体、クローンを創造する研究が進められておりました。			不可視の脅威							
そしてシールロックは、アラグ帝国の遺構。お嬢様ご主人様が交戦したのが、仮にサリ様のクローンであるならば、私めの認証機能では、区別がつきません。			そしてシールロックは、アラグ帝国の遺構。お嬢様ご主人様が交戦したのが、仮にサリ様のクローンであるならば、私めの認証機能では、区別がつきません。			不可視の脅威							
人造の生命体……クローンか。そう考えると、説明のつく点は多いわね……。			人造の生命体……クローンか。そう考えると、説明のつく点は多いわね……。			不可視の脅威							
そうだ、プリンク……あいつに何をされたの！？たしか「機能に制限を加えた」とか言われてたわよね？			そうだ、プリンク……あいつに何をされたの！？たしか「機能に制限を加えた」とか言われてたわよね？			不可視の脅威							
申し訳ありません……実はあのとき、お嬢様ご主人様に伝授するはずだった秘法を、封印されてしまったのです。その権能を有するのは、私めを創造したサリ様のみなのですが……。			申し訳ありません……実はあのとき、お嬢様ご主人様に伝授するはずだった秘法を、封印されてしまったのです。その権能を有するのは、私めを創造したサリ様のみなのですが……。			不可視の脅威							
秘法を封印されたの！？試練は、まだ終わっていないのに……！			秘法を封印されたの！？試練は、まだ終わっていないのに……！			不可視の脅威							
いいえ……すでにお嬢様ご主人様は、最後の試練を越えていらっしゃいます。			いいえ……すでにお嬢様ご主人様は、最後の試練を越えていらっしゃいます。			不可視の脅威							
第三の試練は、召喚士の「心」を見る試練。ゆえに仲間とともに挑む、実戦形式を取ったのです。サリ様の襲撃そのものは、まったく予期せぬ事件でしたが……			第三の試練は、召喚士の「心」を見る試練。ゆえに仲間とともに挑む、実戦形式を取ったのです。サリ様の襲撃そのものは、まったく予期せぬ事件でしたが……			不可視の脅威							
お嬢様ご主人様は、ためらうことなく仲間の召喚士のもとにかけつけ、危地から全員を救出してみせました。お嬢様ご主人様には、間違いなく秘法を継ぐ資格がございます。			お嬢様ご主人様は、ためらうことなく仲間の召喚士のもとにかけつけ、危地から全員を救出してみせました。お嬢様ご主人様には、間違いなく秘法を継ぐ資格がございます。			不可視の脅威							
最後に試されるのは「心」……。力と技が優れていても、「心」が邪な者に秘法は授けられない。プリンクを創造した当時のサリは、そう考えたのね。			最後に試されるのは「心」……。力と技が優れていても、「心」が邪な者に秘法は授けられない。プリンクを創造した当時のサリは、そう考えたのね。			不可視の脅威							
はい、召喚魔法を決して悪用させぬようにと。ですからサリ様自身が、魔法で人に害をなすなど……。			はい、召喚魔法を決して悪用させぬようにと。ですからサリ様自身が、魔法で人に害をなすなど……。			不可視の脅威							
……ますます、サリの姿をした偽者に思えるわね。ともあれ正体が何者だとしても、見つけだして、プリンクの封印を解除させないといけないわ。			……ますます、サリの姿をした偽者に思えるわね。ともあれ正体が何者だとしても、見つけだして、プリンクの封印を解除させないといけないわ。			不可視の脅威							
私めも協力いたします……私めはサリ様の被造物ですが、現在のあの方の行動は、許されるものではありません。			私めも協力いたします……私めはサリ様の被造物ですが、現在のあの方の行動は、許されるものではありません。			不可視の脅威							
よく言ってくれたわ。あなたって見かけによらず、まっすぐな心の持ち主なのね……！			よく言ってくれたわ。あなたって見かけによらず、まっすぐな心の持ち主なのね……！			不可視の脅威							
私めは、心など持ちあわせておりません。善き心を持つ召喚士に、秘法を伝えよという命令に忠実なだけ……。ちなみに見かけによらずとは、どういった意味でございましょう？			私めは、心など持ちあわせておりません。善き心を持つ召喚士に、秘法を伝えよという命令に忠実なだけ……。ちなみに見かけによらずとは、どういった意味でございましょう？			不可視の脅威							
ごめんごめん！その話は忘れて、プリンク。			ごめんごめん！その話は忘れて、プリンク。			不可視の脅威							
私も、サリに関するアラグの記録を探してみるわ。Forename、新たな戦いにそなえて、いまはゆっくり休んでちょうだい。			私も、サリに関するアラグの記録を探してみるわ。Forename、新たな戦いにそなえて、いまはゆっくり休んでちょうだい。			不可視の脅威							
錬金術師ギルドのセヴェリアンは、報告したいことがあるようだ。			錬金術師ギルドのセヴェリアンは、報告したいことがあるようだ。			眠れる彫金師							
セヴェリアンは、「心の臓の刃」について、ムムエポから話を聞くことができなかったようだ。ウルダハのエラリグ墓地にいる「イードギサ」と話し、棺に眠る遺体の遺族について聞きだそう。			セヴェリアンは、「心の臓の刃」について、ムムエポから話を聞くことができなかったようだ。ウルダハのエラリグ墓地にいる「イードギサ」と話し、棺に眠る遺体の遺族について聞きだそう。			眠れる彫金師							
イードギサから、遺体の遺族がフ・ラミンであることを聞き出した。モードゥナのレヴナンツトールにいる「フ・ラミン」と話そう。			イードギサから、遺体の遺族がフ・ラミンであることを聞き出した。モードゥナのレヴナンツトールにいる「フ・ラミン」と話そう。			眠れる彫金師							
フ・ラミンによると、棺の中には、元恋人のニエルフレーヌが眠っているという。彼女の旧友と合流するため、エラリグ墓地へ向かい、「フ・ラミン」と話そう。			フ・ラミンによると、棺の中には、元恋人のニエルフレーヌが眠っているという。彼女の旧友と合流するため、エラリグ墓地へ向かい、「フ・ラミン」と話そう。			眠れる彫金師							
フ・ラミンの旧友、グレインファルとともに、「心の臓の刃」の行方を追うことになった。エラリグ墓地の外に出て、「グレインファル」と話そう。			フ・ラミンの旧友、グレインファルとともに、「心の臓の刃」の行方を追うことになった。エラリグ墓地の外に出て、「グレインファル」と話そう。			眠れる彫金師							
グレインファルから、ムムエポから真相を聞き出すための、「差し入れ」を用意するよう頼まれた。錬金術師ギルドの「セヴェリアン」と話そう。			グレインファルから、ムムエポから真相を聞き出すための、「差し入れ」を用意するよう頼まれた。錬金術師ギルドの「セヴェリアン」と話そう。			眠れる彫金師							
セヴェリアンは、前回ムムエポと面会したときから、口を割らせるための薬を用意していたようだ。「差し入れの材料」をもとに「特製ムントゥイジュース」を製作し、エラリグ墓地前の「グレインファル」に納品しよう。※「差し入れの材料」を失った場合は、セヴェリアンに話しかけましょう。材料を入手し、再挑戦が可能になります。			セヴェリアンは、前回ムムエポと面会したときから、口を割らせるための薬を用意していたようだ。「差し入れの材料」をもとに「特製ムントゥイジュース」を製作し、エラリグ墓地前の「グレインファル」に納品しよう。※「差し入れの材料」を失った場合は、セヴェリアンに話しかけましょう。材料を入手し、再挑戦が可能になります。			眠れる彫金師							
グレインファルに特製ムントゥイジュースを渡した。グレインファルの報告を待とう。※錬金術師のレベルが68以上になると、エラリグ墓地前のグレインファルから次の錬金術師クエストを受注することができます。			グレインファルに特製ムントゥイジュースを渡した。グレインファルの報告を待とう。※錬金術師のレベルが68以上になると、エラリグ墓地前のグレインファルから次の錬金術師クエストを受注することができます。			眠れる彫金師							
エラリグ墓地のイードギサと話す			エラリグ墓地のイードギサと話す			眠れる彫金師							
レヴナンツトールのフ・ラミンと話す			レヴナンツトールのフ・ラミンと話す			眠れる彫金師							
エラリグ墓地のフ・ラミンと話す			エラリグ墓地のフ・ラミンと話す			眠れる彫金師							
グレインファルと話す			グレインファルと話す			眠れる彫金師							
錬金術師ギルドのセヴェリアンと話す			錬金術師ギルドのセヴェリアンと話す			眠れる彫金師							
製作手帳 クラスクエスト：特製ムントゥイジュースを製作エラリグ墓地前のグレインファルに特製ムントゥイジュースを納品			製作手帳 クラスクエスト：特製ムントゥイジュースを製作エラリグ墓地前のグレインファルに特製ムントゥイジュースを納品			眠れる彫金師							
……うむ、助手か。あの後、ムムエポに面会を試みたのだが……「心の臓の刃」について聞き出すことはできなかった。			……うむ、助手か。あの後、ムムエポに面会を試みたのだが……「心の臓の刃」について聞き出すことはできなかった。			眠れる彫金師							
ただでさえ、大罪を犯して収監されている身だ。死者の蘇生などという禁忌を犯した余罪が明らかになれば、刑期が延びることは必至……それを危惧するのは当然といえる。			ただでさえ、大罪を犯して収監されている身だ。死者の蘇生などという禁忌を犯した余罪が明らかになれば、刑期が延びることは必至……それを危惧するのは当然といえる。			眠れる彫金師							
棺を調べる許可だけでも、と思ったが……それも叶わなかった。だが、死体を調べる方法がほかにないわけではない。所有者以外にも、棺を開けることが許されている存在はいる。			棺を調べる許可だけでも、と思ったが……それも叶わなかった。だが、死体を調べる方法がほかにないわけではない。所有者以外にも、棺を開けることが許されている存在はいる。			眠れる彫金師							
それは、死体の親族や恋人……つまり、遺族だ。当事者の立ち会いの下でなら、墓守も何も言うまい。お前は気が進まないかもしれないが……致し方ないのだ。			それは、死体の親族や恋人……つまり、遺族だ。当事者の立ち会いの下でなら、墓守も何も言うまい。お前は気が進まないかもしれないが……致し方ないのだ。			眠れる彫金師							
……よし、助手よ。エラリグ墓地へと向かい、墓守の「イードギサ」から、棺に眠る人物の遺族について聞き出してくるのだ。			……よし、助手よ。エラリグ墓地へと向かい、墓守の「イードギサ」から、棺に眠る人物の遺族について聞き出してくるのだ。			眠れる彫金師							
なんだ、また来たのか。立ち去れと申したはずだが？			なんだ、また来たのか。立ち去れと申したはずだが？			眠れる彫金師							
……なに？錬金術師ギルドのセヴェリアンからの使いで、遺体の遺族について聞きに来たと？			……なに？錬金術師ギルドのセヴェリアンからの使いで、遺体の遺族について聞きに来たと？			眠れる彫金師							
……ふうむ。錬金術師には、遺体の保存方法について相談する間柄だ。それぐらいなら話してもよかろう。			……ふうむ。錬金術師には、遺体の保存方法について相談する間柄だ。それぐらいなら話してもよかろう。			眠れる彫金師							
棺に納められている者の遺族は、かつてウルダハで名を馳せていた歌姫「フ・ラミン」さ。ここ最近はレヴナンツトールに居を移したようだが。			棺に納められている者の遺族は、かつてウルダハで名を馳せていた歌姫「フ・ラミン」さ。ここ最近はレヴナンツトールに居を移したようだが。			眠れる彫金師							
もし、彼女を連れて来ることができれば、遺族の許可の下、棺に触れることを許そうではないか。そういう決まりなのでな。			もし、彼女を連れて来ることができれば、遺族の許可の下、棺に触れることを許そうではないか。そういう決まりなのでな。			眠れる彫金師							
我がギルドは、墓守からの依頼を受けて、死体保存のための薬品などを提供している。私の名前を出せば、あの老婆も少しはおしゃべりになるはずだ。			我がギルドは、墓守からの依頼を受けて、死体保存のための薬品などを提供している。私の名前を出せば、あの老婆も少しはおしゃべりになるはずだ。			眠れる彫金師							
あら、Forenameさん。どうかしたの？			あら、Forenameさん。どうかしたの？			眠れる彫金師							
エラリグ墓地に埋葬された遺体について、教えてほしい……ですって？			エラリグ墓地に埋葬された遺体について、教えてほしい……ですって？			眠れる彫金師							
