シャバーブチェ付近のウクラマトは、次なる試練に挑みたいようだ。			シャバーブチェ付近のウクラマトは、次なる試練に挑みたいようだ。			本当の自分							
トラル大陸随一の職人たちが集まるこの万貨街なら、これぐらいの修理はお手の物さ。少し待ってもらえれば直してみせるよ、元通りに。			トラル大陸随一の職人たちが集まるこの万貨街なら、これぐらいの修理はお手の物さ。少し待ってもらえれば直してみせるよ、元通りに。			本当の自分							
そうか！んじゃ、ちょっくら頼むぜ！			そうか！んじゃ、ちょっくら頼むぜ！			本当の自分							
ところで、そちらは？			ところで、そちらは？			本当の自分							
ああ、こいつはアタシが外つ国から連れてきた、Forenameって冒険者だ！			ああ、こいつはアタシが外つ国から連れてきた、Forenameって冒険者だ！			本当の自分							
今後、万貨街を訪ねることもあるかもしれねぇから、紹介しておきたくてな！			今後、万貨街を訪ねることもあるかもしれねぇから、紹介しておきたくてな！			本当の自分							
ういうい。私はこのワチュメキメキ万貨街の顔役、ローペリだ。Forename、よろしく。			ういうい。私はこのワチュメキメキ万貨街の顔役、ローペリだ。Forename、よろしく。			本当の自分							
そこのきみ！そんなところから隠れて見てないで、出てきたらどうだい、いい加減に！			そこのきみ！そんなところから隠れて見てないで、出てきたらどうだい、いい加減に！			本当の自分							
あいつ、どっかで見たことあるような……。			あいつ、どっかで見たことあるような……。			本当の自分							
トライヨラに来る途中の船で出会った彫金師……？			トライヨラに来る途中の船で出会った彫金師……？			本当の自分							
ああ、アタシも話した気がするぞ！たしかフォンジャンテーンとかいう……。			ああ、アタシも話した気がするぞ！たしかフォンジャンテーンとかいう……。			本当の自分							
どういうつもりか聞かせてもらえるかな、きみ。何度も何度も物陰からこちらを覗いているだけで、声もかけず。私に用があるなら話してくれたまえ。			どういうつもりか聞かせてもらえるかな、きみ。何度も何度も物陰からこちらを覗いているだけで、声もかけず。私に用があるなら話してくれたまえ。			本当の自分							
僕は…………その……………！			僕は…………その……………！			本当の自分							
どうしたというのだろう、彼は……。			どうしたというのだろう、彼は……。			本当の自分							
なんか心配だな……。探して声をかけてみようぜ。見つけたらリンクパールで教えてくれ。			なんか心配だな……。探して声をかけてみようぜ。見つけたらリンクパールで教えてくれ。			本当の自分							
こちらを覗いていた彼は、シャバーブチェの方へ走り去ったようだよ。			こちらを覗いていた彼は、シャバーブチェの方へ走り去ったようだよ。			本当の自分							
あ、あなたはローペリさんと話していた……そういえば、船でもお会いしたような……。			あ、あなたはローペリさんと話していた……そういえば、船でもお会いしたような……。			本当の自分							
フォンジャンテーンを見つけたのか？よし、すぐに行くぜ！			フォンジャンテーンを見つけたのか？よし、すぐに行くぜ！			本当の自分							
探したぜ。こんなところで何してんだ。ローペリに何か話があったんじゃねぇのか？			探したぜ。こんなところで何してんだ。ローペリに何か話があったんじゃねぇのか？			本当の自分							
聞かないでください！どうせ僕みたいな奴は、どこにも居場所なんてないんですから！			聞かないでください！どうせ僕みたいな奴は、どこにも居場所なんてないんですから！			本当の自分							
え、そりゃどういうことだ？			え、そりゃどういうことだ？			本当の自分							
だから聞かないでくださいって言ってるでしょう！！			だから聞かないでくださいって言ってるでしょう！！			本当の自分							
いや、聞くだろ……。そんな顔されたら放っておけるわけはねぇ。			いや、聞くだろ……。そんな顔されたら放っておけるわけはねぇ。			本当の自分							
優しい方なんですね。それでは、僕の話を少しだけ…………			優しい方なんですね。それでは、僕の話を少しだけ…………			本当の自分							
トライヨラを訪れる前は、ウルダハ随一の名店と呼ばれる、宝飾店「エシュテム」専属の彫金師として働いていたんです！始めは順調でしたが、徐々に仕事が上手くいかなくなった！			トライヨラを訪れる前は、ウルダハ随一の名店と呼ばれる、宝飾店「エシュテム」専属の彫金師として働いていたんです！始めは順調でしたが、徐々に仕事が上手くいかなくなった！			本当の自分							
理由ですか？　それは明白ですよ、わかっているんです！周囲の優秀な職人と自分を比較して自信をなくしてしまう！己を奮い立たせようと虚勢を張ってもすぐにメッキが剥がれる！			理由ですか？　それは明白ですよ、わかっているんです！周囲の優秀な職人と自分を比較して自信をなくしてしまう！己を奮い立たせようと虚勢を張ってもすぐにメッキが剥がれる！			本当の自分							
ならば心機一転、新天地で頑張ろうと海を渡り仕事を探すも、やっぱり自信がなくて話しかけることすらできない！こんな生きるのが下手な自分に落ちこんでいたところでした！			ならば心機一転、新天地で頑張ろうと海を渡り仕事を探すも、やっぱり自信がなくて話しかけることすらできない！こんな生きるのが下手な自分に落ちこんでいたところでした！			本当の自分							
お、おう……。軽くどころか何から何まで教えてくれたぜ……。			お、おう……。軽くどころか何から何まで教えてくれたぜ……。			本当の自分							
お前、誰かに話を聞いてほしかったんじゃないか？アタシでよけりゃ相談に乗るぜ。			お前、誰かに話を聞いてほしかったんじゃないか？アタシでよけりゃ相談に乗るぜ。			本当の自分							
じゃあ……僕みたいに自分と優秀な誰かを比べて、自信をなくしてしまうことはありますか？			じゃあ……僕みたいに自分と優秀な誰かを比べて、自信をなくしてしまうことはありますか？			本当の自分							
自分と優秀な誰かを……			自分と優秀な誰かを……			本当の自分							
そ、そんなことあるわけねぇだろ！アタシはトライヨラの王女、ウクラマトなんだぜ！			そ、そんなことあるわけねぇだろ！アタシはトライヨラの王女、ウクラマトなんだぜ！			本当の自分							
そうだ……アタシはトライヨラの王女なんだ……。			そうだ……アタシはトライヨラの王女なんだ……。			本当の自分							
こ、これは失礼しました！まさかこの国の王女様だったとは……。			こ、これは失礼しました！まさかこの国の王女様だったとは……。			本当の自分							
では、あなたはいかがですか……？自分を誰かと比較して、自信をなくすようなことはありますか？			では、あなたはいかがですか……？自分を誰かと比較して、自信をなくすようなことはありますか？			本当の自分							
何と言う？			何と言う？			本当の自分							
他人と比べても仕方がない！			他人と比べても仕方がない！			本当の自分							
そういうときもある			そういうときもある			本当の自分							
他人と比べるなって、そんなこと無理ですよ。優秀な職人と示せなければ、仕事がなくなってしまう！そうなったら、彫金師になった意味が……			他人と比べるなって、そんなこと無理ですよ。優秀な職人と示せなければ、仕事がなくなってしまう！そうなったら、彫金師になった意味が……			本当の自分							
王女様のお連れの方でも、僕と同じ想いを……？なおさら、この先も上手く生きていける自信がありません。これでは、せっかく彫金師になった意味が……			王女様のお連れの方でも、僕と同じ想いを……？なおさら、この先も上手く生きていける自信がありません。これでは、せっかく彫金師になった意味が……			本当の自分							
そういえば僕は、父の影響で彫金師を目指したのでした。いつも美しい作品を作って、お客さんを笑顔にする父のことを、心から尊敬していたのです。			そういえば僕は、父の影響で彫金師を目指したのでした。いつも美しい作品を作って、お客さんを笑顔にする父のことを、心から尊敬していたのです。			本当の自分							
そんな父のような偉大な彫金師になろうと腕を磨いていたら、いつしかそれ自体が目的になってしまっていた……。			そんな父のような偉大な彫金師になろうと腕を磨いていたら、いつしかそれ自体が目的になってしまっていた……。			本当の自分							
なりたかった「本当の自分」は、父のような誰かを笑顔にする職人だったというのに……。			なりたかった「本当の自分」は、父のような誰かを笑顔にする職人だったというのに……。			本当の自分							
僕……もう一度頑張ってみようと思います。そのためにはローペリさんとお話ししないと。おふたりとも、ありがとうございました！			僕……もう一度頑張ってみようと思います。そのためにはローペリさんとお話ししないと。おふたりとも、ありがとうございました！			本当の自分							
「本当の自分」か……。			「本当の自分」か……。			本当の自分							
…………。			…………。			本当の自分							
あ、悪い悪い！ちょっと考えごとしてた。			あ、悪い悪い！ちょっと考えごとしてた。			本当の自分							
何はともあれ、フォンジャンテーンが吹っ切れたようで良かったぜ、うん！			何はともあれ、フォンジャンテーンが吹っ切れたようで良かったぜ、うん！			本当の自分							
ゴーニトルクの宝浜のウクラマトは、フォンジャンテーンが気になるようだ。			ゴーニトルクの宝浜のウクラマトは、フォンジャンテーンが気になるようだ。			みんなのために							
ウクラマトと話した。トライヨラのワチュメキメキ万貨街にいる「フォンジャンテーン」と話そう。			ウクラマトと話した。トライヨラのワチュメキメキ万貨街にいる「フォンジャンテーン」と話そう。			みんなのために							
フォンジャンテーンが、ワチュメキメキ万貨街で雇ってもらえるまで見届けたあと、エレンヴィルからリンクパール通信が入る。トライヨラの満ちた玄関にいる「エレンヴィル」と話そう。			フォンジャンテーンが、ワチュメキメキ万貨街で雇ってもらえるまで見届けたあと、エレンヴィルからリンクパール通信が入る。トライヨラの満ちた玄関にいる「エレンヴィル」と話そう。			みんなのために							
コザマル・カのモブリン族の集落へ向かうため、エレンヴィルが用意したのは船とそれを牽引する動物、プヌティーだった。船を眺める一行のもとにコーナが現れ、彼が協力者として選んだ相手が、サンクレッドとウリエンジェであることが判明する。モブリン族の集落を目指すべく、「イフイカ・トゥム」を攻略しよう。※進入地点付近にいる仲間たちと話し「パーティを編成して突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、仲間NPCと一緒に攻略ができます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。			コザマル・カのモブリン族の集落へ向かうため、エレンヴィルが用意したのは船とそれを牽引する動物、プヌティーだった。船を眺める一行のもとにコーナが現れ、彼が協力者として選んだ相手が、サンクレッドとウリエンジェであることが判明する。モブリン族の集落を目指すべく、「イフイカ・トゥム」を攻略しよう。※進入地点付近にいる仲間たちと話し「パーティを編成して突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、仲間NPCと一緒に攻略ができます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。			みんなのために							
一行を乗せた船は満ちた玄関を発ったあと、バクージャジャの妨害に遭いながらもイフイカ・トゥムを抜ける。ウクラマトたちとともに、モブリン族の集落があるコザマル・カを目指そう。			一行を乗せた船は満ちた玄関を発ったあと、バクージャジャの妨害に遭いながらもイフイカ・トゥムを抜ける。ウクラマトたちとともに、モブリン族の集落があるコザマル・カを目指そう。			みんなのために							
一行を乗せた船は、無事にコザマル・カへとたどり着く。これまで幾度も醜態を晒してしまったウクラマトは、吐きかけた弱音を呑みこむ。コザマル・カのトゥム停船所前にいる「ウクラマト」と話そう。			一行を乗せた船は、無事にコザマル・カへとたどり着く。これまで幾度も醜態を晒してしまったウクラマトは、吐きかけた弱音を呑みこむ。コザマル・カのトゥム停船所前にいる「ウクラマト」と話そう。			みんなのために							
ウクラマトは、偉大な父親の名を汚さぬように、これまで誰にも弱音を吐けなかったようだ。コザマル・カの朋友の灯火付近にいる「アルフィノ」と話そう。			ウクラマトは、偉大な父親の名を汚さぬように、これまで誰にも弱音を吐けなかったようだ。コザマル・カの朋友の灯火付近にいる「アルフィノ」と話そう。			みんなのために							
ウクラマトは、ふたりの兄と比べて自分は未熟だと嘆く。しかし、冒険者とクルルの言葉により、知らなかったことを知りながら、自分らしく路を進んでいくことを決意した。朋友の灯火の「ウクラマト」と話そう。			ウクラマトは、ふたりの兄と比べて自分は未熟だと嘆く。しかし、冒険者とクルルの言葉により、知らなかったことを知りながら、自分らしく路を進んでいくことを決意した。朋友の灯火の「ウクラマト」と話そう。			みんなのために							
皆と話して、ウクラマトは胸のモヤモヤが消えたと言う。この旅をとおして、今後彼女がどのように変わっていくのか、最後まで見届けよう。			皆と話して、ウクラマトは胸のモヤモヤが消えたと言う。この旅をとおして、今後彼女がどのように変わっていくのか、最後まで見届けよう。			みんなのために							
フォンジャンテーンと話す			フォンジャンテーンと話す			みんなのために							
エレンヴィルと話す			エレンヴィルと話す			みんなのために							
「濁流遡上 イフイカ・トゥム」を攻略			「濁流遡上 イフイカ・トゥム」を攻略			みんなのために							
ウクラマトと話す			ウクラマトと話す			みんなのために							
アルフィノと話す			アルフィノと話す			みんなのために							
ウクラマトと話す			ウクラマトと話す			みんなのために							
さて、フォンジャンテーンが上手くやれるか見守ってやるか。万貨街へ行ってみようぜ！			さて、フォンジャンテーンが上手くやれるか見守ってやるか。万貨街へ行ってみようぜ！			みんなのために							
彼、さっきまでと雰囲気が違うような……同じ人なのかい、本当に？			彼、さっきまでと雰囲気が違うような……同じ人なのかい、本当に？			みんなのために							
頑張れよ、フォンジャンテーン……！			頑張れよ、フォンジャンテーン……！			みんなのために							
おふたりも来てくれたんですね。では、そこで見ていてください。今度こそ、ちゃんとやってみせますから！			おふたりも来てくれたんですね。では、そこで見ていてください。今度こそ、ちゃんとやってみせますから！			みんなのために							
先ほどは突然逃げ出したりして、すみませんでした。			先ほどは突然逃げ出したりして、すみませんでした。			みんなのために							
僕はフォンジャンテーンと言います。ここより東方のウルダハという国で、彫金師をしていました。			僕はフォンジャンテーンと言います。ここより東方のウルダハという国で、彫金師をしていました。			みんなのために							
不躾なお願いになってしまいますが、よろしければ、この万貨街で働かせてください！僕はもう一度……誰かを笑顔にするために頑張りたいんです！			不躾なお願いになってしまいますが、よろしければ、この万貨街で働かせてください！僕はもう一度……誰かを笑顔にするために頑張りたいんです！			みんなのために							
なるほど、仕事を求めて万貨街を訪ねてきた職人だったのか。			なるほど、仕事を求めて万貨街を訪ねてきた職人だったのか。			みんなのために							
だとしたら、断る理由はないよ。我らが万貨街は、いつだって腕のいい職人を探している。			だとしたら、断る理由はないよ。我らが万貨街は、いつだって腕のいい職人を探している。			みんなのために							
さっそく進めておこう、きみを雇用する手続きを。明日から来てくれるかい？			さっそく進めておこう、きみを雇用する手続きを。明日から来てくれるかい？			みんなのために							
はい、もちろんです！			はい、もちろんです！			みんなのために							
これもおふたりのおかげです。ありがとうございました。			これもおふたりのおかげです。ありがとうございました。			みんなのために							
まぁ、アタシはたいしたこと言ってねぇけどな……。			まぁ、アタシはたいしたこと言ってねぇけどな……。			みんなのために							
そんなことありません。ウクラマト王女が僕のことを心配して声をかけてくれたから、自分を見つめ直すことができたんですから。			そんなことありません。ウクラマト王女が僕のことを心配して声をかけてくれたから、自分を見つめ直すことができたんですから。			みんなのために							
(-エレンヴィル-)こっちの準備は整った。「満ちた玄関」の入口に集まってくれ。			(-エレンヴィル-)こっちの準備は整った。「満ちた玄関」の入口に集まってくれ。			みんなのために							
そうだローペリ、頼んでた斧の修理は終わったか？			そうだローペリ、頼んでた斧の修理は終わったか？			みんなのために							
もちろん。我らがワチュメキメキ万貨街にかかれば、このとおり。			もちろん。我らがワチュメキメキ万貨街にかかれば、このとおり。			みんなのために							
ははっ、新品みてぇに綺麗さっぱり直ってやがる！ありがとよ！			ははっ、新品みてぇに綺麗さっぱり直ってやがる！ありがとよ！			みんなのために							
じゃあ頑張れよ、フォンジャンテーン。つらくなったら、また話ぐらい聞くからよ。			じゃあ頑張れよ、フォンジャンテーン。つらくなったら、また話ぐらい聞くからよ。			みんなのために							
エレンヴィルに言われたとおりに、「満ちた玄関」に向かうとしようぜ！			エレンヴィルに言われたとおりに、「満ちた玄関」に向かうとしようぜ！			みんなのために							
きみたちには、いい職人を紹介してもらった。また何かあれば頼むよ。			きみたちには、いい職人を紹介してもらった。また何かあれば頼むよ。			みんなのために							
これからは自分と誰かを比べるのではなく、誰かを笑顔にするための職人になってみせますよ。			これからは自分と誰かを比べるのではなく、誰かを笑顔にするための職人になってみせますよ。			みんなのために							
エレンヴィルの奴……大階段が壊れてるってのに、どうやってモブリン族の集落に行くつもりだ？			エレンヴィルの奴……大階段が壊れてるってのに、どうやってモブリン族の集落に行くつもりだ？			みんなのために							
ベイサイド・ベヴィーを見て回っていたら、おじいちゃんが残した物とよく似た耳飾りが売られていたの。マーブルさんの言うとおり、定番の旅のお守りみたいね。			ベイサイド・ベヴィーを見て回っていたら、おじいちゃんが残した物とよく似た耳飾りが売られていたの。マーブルさんの言うとおり、定番の旅のお守りみたいね。			みんなのために							
私はトライヨラ叙事詩を見直してきたんだ。旅を続けていけば、あの連王を超える巨体で描かれている、ヨカフイ族とも会うことになるのだろうね。			私はトライヨラ叙事詩を見直してきたんだ。旅を続けていけば、あの連王を超える巨体で描かれている、ヨカフイ族とも会うことになるのだろうね。			みんなのために							
待ってる間にお腹が空いたから、シャバーブチェと、タコスのチーちゃんをはしごしてきたわ。私の好みは、よりスパイスが効いてるチーちゃんのタコスね。			待ってる間にお腹が空いたから、シャバーブチェと、タコスのチーちゃんをはしごしてきたわ。私の好みは、よりスパイスが効いてるチーちゃんのタコスね。			みんなのために							
なあ、勿体ぶるのはやめにして、そろそろ秘策ってのを教えてくれよ！			なあ、勿体ぶるのはやめにして、そろそろ秘策ってのを教えてくれよ！			みんなのために							
あれがそうだ。			あれがそうだ。			みんなのために							
な、なんだぁ！？			な、なんだぁ！？			みんなのために							
プヌティーだ。あいつが船を引っ張って川を遡上してくれる。			プヌティーだ。あいつが船を引っ張って川を遡上してくれる。			みんなのために							
大暴れして、逆に船を沈めたりしねぇだろうな……。			大暴れして、逆に船を沈めたりしねぇだろうな……。			みんなのために							
基本的には、温厚で臆病な動物だ。こちらから攻撃でもしないかぎり、暴れることはない。			基本的には、温厚で臆病な動物だ。こちらから攻撃でもしないかぎり、暴れることはない。			みんなのために							
今回の旅は、なにかと動物に縁があるわね。			今回の旅は、なにかと動物に縁があるわね。			みんなのために							
動物に詳しいグリーナーがガイド役で頼もしいわ。			動物に詳しいグリーナーがガイド役で頼もしいわ。			みんなのために							
それにしても、また船かよ……。			それにしても、また船かよ……。			みんなのために							
トライヨラの王女をナメるな、と言ったのは誰だ？			トライヨラの王女をナメるな、と言ったのは誰だ？			みんなのために							
うぐぅ……！			うぐぅ……！			みんなのために							
その昔、部族間の争いが激しかった頃、コザマル・カで暮らす連中は、移動に川船を利用していた。他部族の領土をすばやく通り抜けるためにな。			その昔、部族間の争いが激しかった頃、コザマル・カで暮らす連中は、移動に川船を利用していた。他部族の領土をすばやく通り抜けるためにな。			みんなのために							
平和になった今では、その必要もなくなり、あまり使われなくなったようだ。ほんの数艘だけ残っていたものを借りてきた。			平和になった今では、その必要もなくなり、あまり使われなくなったようだ。ほんの数艘だけ残っていたものを借りてきた。			みんなのために							
気球が使えないかとも思ったんだが……大瀑布に巻き上げられた風に煽られて、着陸が難しいらしい。			気球が使えないかとも思ったんだが……大瀑布に巻き上げられた風に煽られて、着陸が難しいらしい。			みんなのために							
見たところ、同型の船が何艘かあるようだが……。			見たところ、同型の船が何艘かあるようだが……。			みんなのために							
コーナ兄さん！			コーナ兄さん！			みんなのために							
ラマチ。君たちも船で川上りを？			ラマチ。君たちも船で川上りを？			みんなのために							
ああ。兄さんも同じってことは、秘石をふたつ集めたんだろ？ひとりなのにすげえや！			ああ。兄さんも同じってことは、秘石をふたつ集めたんだろ？ひとりなのにすげえや！			みんなのために							
始めから、僕はひとりじゃないよ。ずっと裏で彼らに動いてもらっていたんだ。			始めから、僕はひとりじゃないよ。ずっと裏で彼らに動いてもらっていたんだ。			みんなのために							
(-？？？？-)久しぶり……ってほどでもないか？			(-？？？？-)久しぶり……ってほどでもないか？			みんなのために							
サンクレッド、ウリエンジェ！ここで何してるのよ！			サンクレッド、ウリエンジェ！ここで何してるのよ！			みんなのために							
見てのとおり、お前たちと同じだ。			見てのとおり、お前たちと同じだ。			みんなのために							
魔法大学に留学中、「賢人」の噂はよく耳にしていましてね。この継承の儀が決まったとき、これ以上の助っ人はないと考え、学長に頼んで、彼らを紹介していただいたのです。			魔法大学に留学中、「賢人」の噂はよく耳にしていましてね。この継承の儀が決まったとき、これ以上の助っ人はないと考え、学長に頼んで、彼らを紹介していただいたのです。			みんなのために							
コーナ王子が、助っ人を探す上でこだわった条件はふたつ。賢人の中でも、未知の環境下での旅に適していることと、魔法学の知識に秀でていることでした。			コーナ王子が、助っ人を探す上でこだわった条件はふたつ。賢人の中でも、未知の環境下での旅に適していることと、魔法学の知識に秀でていることでした。			みんなのために							
それで、サバイバル技術に長けたサンクレッドと……多少なりとも魔法に心得のある私に、白羽の矢が立ったのです。			それで、サバイバル技術に長けたサンクレッドと……多少なりとも魔法に心得のある私に、白羽の矢が立ったのです。			みんなのために							
僕自身が魔法大学で学んでいたのは、民が活用しやすい技術……魔導技術や工学といった、素養に関わらず扱えるものが中心でした。			僕自身が魔法大学で学んでいたのは、民が活用しやすい技術……魔導技術や工学といった、素養に関わらず扱えるものが中心でした。			みんなのために							
なので、魔法に関しては、基礎的な知識しか持ち合わせていないのですよ。			なので、魔法に関しては、基礎的な知識しか持ち合わせていないのですよ。			みんなのために							
……ふたりのことだわ、何か考えがあって引き受けたんでしょう？			……ふたりのことだわ、何か考えがあって引き受けたんでしょう？			みんなのために							
まあな……。なにせトライヨラは大陸を統べる大国だ、選ばれた後継者次第では、世界がまた揺らぎかねない。			まあな……。なにせトライヨラは大陸を統べる大国だ、選ばれた後継者次第では、世界がまた揺らぎかねない。			みんなのために							
