イディルシャイアのイロアズは、冒険者に興味があるようだ。			イディルシャイアのイロアズは、冒険者に興味があるようだ。			イシュガルドのモブハント（上級）							
フォルタン家の騎兵から、冒険者宛ての手紙を受け取った。ドラヴァニア雲海のモグモグホーム付近にいる「モグール」と話そう。			フォルタン家の騎兵から、冒険者宛ての手紙を受け取った。ドラヴァニア雲海のモグモグホーム付近にいる「モグール」と話そう。			謎の手紙の差出人							
モグールは、空のモーグリ族と森のモーグリ族の歴史について知りたいようだ。モグモグホームにいる長老「モグリン」と話そう。			モグールは、空のモーグリ族と森のモーグリ族の歴史について知りたいようだ。モグモグホームにいる長老「モグリン」と話そう。			謎の手紙の差出人							
モグリンは、森のモーグリ族がモグモグホームに来たら、昔話をしてくれるという。モグールは、森のモーグリ族を迎えに戻っていった。モグモグホーム付近の「モグール」と合流しよう。			モグリンは、森のモーグリ族がモグモグホームに来たら、昔話をしてくれるという。モグールは、森のモーグリ族を迎えに戻っていった。モグモグホーム付近の「モグール」と合流しよう。			謎の手紙の差出人							
モグールは、森のモーグリ族の到着が遅れていることを気にしているようだ。もしかして、何かトラブルがあったのだろうか……？			モグールは、森のモーグリ族の到着が遅れていることを気にしているようだ。もしかして、何かトラブルがあったのだろうか……？			謎の手紙の差出人							
モグモグホーム付近のモグールと話す			モグモグホーム付近のモグールと話す			謎の手紙の差出人							
モグリンと話す			モグリンと話す			謎の手紙の差出人							
モグールと合流			モグールと合流			謎の手紙の差出人							
おぉ、ちょうどいいところに……。Forename様宛ての手紙が、屋敷に届いていたのです。何か急ぎの用件かもしれませんし、中身を確認してみては？			おぉ、ちょうどいいところに……。Forename様宛ての手紙が、屋敷に届いていたのです。何か急ぎの用件かもしれませんし、中身を確認してみては？			謎の手紙の差出人							
(-クポロ・コップ-)Forename、元気でやってるクポ～？			(-クポロ・コップ-)Forename、元気でやってるクポ～？			謎の手紙の差出人							
(-クポロ・コップ-)モグは、しっかりばっちり元気クポ！あれから、お空のモーグリたちと話し合って、今度、森のモーグリたちとの交流会を開くことになったクポ！			(-クポロ・コップ-)モグは、しっかりばっちり元気クポ！あれから、お空のモーグリたちと話し合って、今度、森のモーグリたちとの交流会を開くことになったクポ！			謎の手紙の差出人							
(-クポロ・コップ-)この会で、もっとお互いのことを知り合えたら素敵クポ！Forenameにも、ぜひぜひ立ち会ってほしいから、「モグモグホーム」に向かってほしいクポ～！			(-クポロ・コップ-)この会で、もっとお互いのことを知り合えたら素敵クポ！Forenameにも、ぜひぜひ立ち会ってほしいから、「モグモグホーム」に向かってほしいクポ～！			謎の手紙の差出人							
(-クポロ・コップ-)ちなみに、モグは用事があるので、仲間のモーグリを向かわせることになってるクポ。			(-クポロ・コップ-)ちなみに、モグは用事があるので、仲間のモーグリを向かわせることになってるクポ。			謎の手紙の差出人							
(-クポロ・コップ-)お空のモーグリの「モグール」くんが、お出迎えしてくれるはずクポ♪　よろしくクポ～！！　　　　　　　　　　　　　クポロ・コップより			(-クポロ・コップ-)お空のモーグリの「モグール」くんが、お出迎えしてくれるはずクポ♪　よろしくクポ～！！　　　　　　　　　　　　　クポロ・コップより			謎の手紙の差出人							
Forename様宛ての手紙が、屋敷に届いていたのです。何か急ぎの用件かもしれませんし、中身を確認してみては？			Forename様宛ての手紙が、屋敷に届いていたのです。何か急ぎの用件かもしれませんし、中身を確認してみては？			謎の手紙の差出人							
おぉ、冒険者さん、来てくれたくぽ！森のモーグリたちは、まだきてないくぽ。			おぉ、冒険者さん、来てくれたくぽ！森のモーグリたちは、まだきてないくぽ。			謎の手紙の差出人							
それにしても、モグはビックリくぽ！地上にもモーグリがいるなんて知らなかったくぽ！			それにしても、モグはビックリくぽ！地上にもモーグリがいるなんて知らなかったくぽ！			謎の手紙の差出人							
なんで、空にも森にもモーグリがいるのか……どうして一緒にいないのか、不思議くぽ！モグは、知りたいことだらけくぽ！			なんで、空にも森にもモーグリがいるのか……どうして一緒にいないのか、不思議くぽ！モグは、知りたいことだらけくぽ！			謎の手紙の差出人							
森のモーグリたちも、そのうち来ると思うくぽ。ひとまず一緒に、長老さまにお話を聞きにいくくぽ～♪			森のモーグリたちも、そのうち来ると思うくぽ。ひとまず一緒に、長老さまにお話を聞きにいくくぽ～♪			謎の手紙の差出人							
森のモーグリたちも、そのうち来ると思うくぽ。ひとまず一緒に、長老さまにお話を聞きにいくくぽ～♪			森のモーグリたちも、そのうち来ると思うくぽ。ひとまず一緒に、長老さまにお話を聞きにいくくぽ～♪			謎の手紙の差出人							
ダサい名前のForenameよ。モグールまで来て、いったいどうしたくぽ？			ダサい名前のForenameよ。モグールまで来て、いったいどうしたくぽ？			謎の手紙の差出人							
長老さま、長老さま！モグ、森にもモーグリがいたと知って、びっくりくぽ！なんで空と森に分かれたか、とっても気になるくぽ！			長老さま、長老さま！モグ、森にもモーグリがいたと知って、びっくりくぽ！なんで空と森に分かれたか、とっても気になるくぽ！			謎の手紙の差出人							
だから、長老さまが知っている言い伝えを、ぜひ聞かせてほしいくぽ！			だから、長老さまが知っている言い伝えを、ぜひ聞かせてほしいくぽ！			謎の手紙の差出人							
そうは言っても、この話は森のモーグリたちも、聞きたいのではないかくぽ？			そうは言っても、この話は森のモーグリたちも、聞きたいのではないかくぽ？			謎の手紙の差出人							
ハッ！　そうくぽ！森のモーグリたちも、きっと聞きたいと思うくぽ。			ハッ！　そうくぽ！森のモーグリたちも、きっと聞きたいと思うくぽ。			謎の手紙の差出人							
二回も同じ話をするのはめんど……じゃなくて、お互いを知り合うことが大切くぽ。ではでは、森のモーグリが来たら、呼んでほしいくぽ。			二回も同じ話をするのはめんど……じゃなくて、お互いを知り合うことが大切くぽ。ではでは、森のモーグリが来たら、呼んでほしいくぽ。			謎の手紙の差出人							
確かに、長老さまのおっしゃることは一理あるくぽ。じゃあ、森のモーグリたちが来たら、また来るくぽ～！			確かに、長老さまのおっしゃることは一理あるくぽ。じゃあ、森のモーグリたちが来たら、また来るくぽ～！			謎の手紙の差出人							
それじゃあ、冒険者さん、森のモーグリたちを出迎えに行くくぽ。そろそろ来ているかもしれないくぽ！			それじゃあ、冒険者さん、森のモーグリたちを出迎えに行くくぽ。そろそろ来ているかもしれないくぽ！			謎の手紙の差出人							
言い伝えは、森のモーグリたちが来たら話すくぽ。…………そうすれば、長話は一回で済むくぽ。			言い伝えは、森のモーグリたちが来たら話すくぽ。…………そうすれば、長話は一回で済むくぽ。			謎の手紙の差出人							
……おかしいくぽ。もう到着してもいい頃なのに、森のモーグリたちが来ないくぽ。			……おかしいくぽ。もう到着してもいい頃なのに、森のモーグリたちが来ないくぽ。			謎の手紙の差出人							
う～ん、心配になってきたくぽ。もしかして、迷子になっちゃったくぽ？			う～ん、心配になってきたくぽ。もしかして、迷子になっちゃったくぽ？			謎の手紙の差出人							
イディルシャイアのヤ・シュトラは、マトーヤの洞窟に向けて出発したいようだ。			イディルシャイアのヤ・シュトラは、マトーヤの洞窟に向けて出発したいようだ。			隠者マトーヤ							
ヤ・シュトラと話し、マトーヤの洞窟に出発することになった。シャーレアン学士街を南に抜け、崖下の隠れた場所を目指せばいいらしい。低地ドラヴァニアのマトーヤの洞窟付近にいる「ヤ・シュトラ」と話そう。			ヤ・シュトラと話し、マトーヤの洞窟に出発することになった。シャーレアン学士街を南に抜け、崖下の隠れた場所を目指せばいいらしい。低地ドラヴァニアのマトーヤの洞窟付近にいる「ヤ・シュトラ」と話そう。			隠者マトーヤ							
ヤ・シュトラに言われた場所へやって来たが、洞窟の入口が見当たらない。「冷たい岩壁」を調べて、魔法仕掛けの罠が発動したら、これを排除しよう。			ヤ・シュトラに言われた場所へやって来たが、洞窟の入口が見当たらない。「冷たい岩壁」を調べて、魔法仕掛けの罠が発動したら、これを排除しよう。			隠者マトーヤ							
冷たい岩壁に触れたところ、ポロッゴ・マウストラップに襲われたので退けた。マトーヤの洞窟付近の「ヤ・シュトラ」と話そう。			冷たい岩壁に触れたところ、ポロッゴ・マウストラップに襲われたので退けた。マトーヤの洞窟付近の「ヤ・シュトラ」と話そう。			隠者マトーヤ							
ヤ・シュトラによって、マトーヤの洞窟の入口が開かれた。洞窟の中には、シャーレアンの誇るエーテル学の権威、マトーヤがいた。小言を言い合いつつも、再会を喜んでいる様子の、ヤ・シュトラとマトーヤ。マトーヤに魔大陸の話をすると、手を貸す気になってくれたようだ。			ヤ・シュトラによって、マトーヤの洞窟の入口が開かれた。洞窟の中には、シャーレアンの誇るエーテル学の権威、マトーヤがいた。小言を言い合いつつも、再会を喜んでいる様子の、ヤ・シュトラとマトーヤ。マトーヤに魔大陸の話をすると、手を貸す気になってくれたようだ。			隠者マトーヤ							
マトーヤの洞窟付近のヤ・シュトラと話す			マトーヤの洞窟付近のヤ・シュトラと話す			隠者マトーヤ							
冷たい岩壁を調べて罠が発動したら排除			冷たい岩壁を調べて罠が発動したら排除			隠者マトーヤ							
ヤ・シュトラと話す			ヤ・シュトラと話す			隠者マトーヤ							
「マトーヤ」が住んでいるのは、低地ドラヴァニアの南部にある洞窟……。一見するとわかりにくい場所だから、私が先導するわ。			「マトーヤ」が住んでいるのは、低地ドラヴァニアの南部にある洞窟……。一見するとわかりにくい場所だから、私が先導するわ。			隠者マトーヤ							
このまま道なりに、サリャク河の西岸を南へ進み、崖下に隠れた場所まで進みましょう。			このまま道なりに、サリャク河の西岸を南へ進み、崖下に隠れた場所まで進みましょう。			隠者マトーヤ							
……ただし、廃墟と化したシャーレアンの都には、どんな魔物が入り込んでいるかわからないわ。油断せずに行くわよ。			……ただし、廃墟と化したシャーレアンの都には、どんな魔物が入り込んでいるかわからないわ。油断せずに行くわよ。			隠者マトーヤ							
こちらの出発準備は完了さ。さあ、マトーヤ老を訪ねにいこうじゃないか。			こちらの出発準備は完了さ。さあ、マトーヤ老を訪ねにいこうじゃないか。			隠者マトーヤ							
ここが「マトーヤの洞窟」の入口よ。……洞窟があるようには見えないですって？まぁ、見てのお楽しみってところかしら。			ここが「マトーヤの洞窟」の入口よ。……洞窟があるようには見えないですって？まぁ、見てのお楽しみってところかしら。			隠者マトーヤ							
ところで、戦いの準備はいい？前にも言ったけど、マトーヤはかなりの頑固者なの。			ところで、戦いの準備はいい？前にも言ったけど、マトーヤはかなりの頑固者なの。			隠者マトーヤ							
エーテル学の知識は海よりも深く、魔法の扱いに関しても、精通している。そんな人物が、度を超して偏屈だったらどうなるか……。			エーテル学の知識は海よりも深く、魔法の扱いに関しても、精通している。そんな人物が、度を超して偏屈だったらどうなるか……。			隠者マトーヤ							
来訪者を追い返すための、魔法仕掛けの罠くらい、たっぷり用意していることは想像に難くないわ。ひとまず、奥の壁を触ってみて？			来訪者を追い返すための、魔法仕掛けの罠くらい、たっぷり用意していることは想像に難くないわ。ひとまず、奥の壁を触ってみて？			隠者マトーヤ							
薬草や香草の類いが植えられているようだね。よく手入れされているようだが、洞窟はどこなんだ？			薬草や香草の類いが植えられているようだね。よく手入れされているようだが、洞窟はどこなんだ？			隠者マトーヤ							
ひとまず、奥の壁を触ってみて？			ひとまず、奥の壁を触ってみて？			隠者マトーヤ							
マトーヤ様を守るケロ！			マトーヤ様を守るケロ！			隠者マトーヤ							
やっぱりね……。ふふふ、ごめんなさい、怒らないで。この程度の使い魔なら、簡単に倒せると思っていたのよ。			やっぱりね……。ふふふ、ごめんなさい、怒らないで。この程度の使い魔なら、簡単に倒せると思っていたのよ。			隠者マトーヤ							
さあ、門番役の使い魔たちも排除したことだし、「マトーヤ」に会いに行きましょう。			さあ、門番役の使い魔たちも排除したことだし、「マトーヤ」に会いに行きましょう。			隠者マトーヤ							
第III転送リングの誘導システムは、案内を続行するつもりのようだ。			第III転送リングの誘導システムは、案内を続行するつもりのようだ。			キメラの棲む島							
誘導システムによると、ベータ管区にはキメラ生物の培養施設が集中しているそうだ。アジス・ラーの第IV転送リングにいる「誘導システム」と話そう。			誘導システムによると、ベータ管区にはキメラ生物の培養施設が集中しているそうだ。アジス・ラーの第IV転送リングにいる「誘導システム」と話そう。			キメラの棲む島							
誘導システムと話した。キメラ生物が不正にエネルギーを取得しているせいで、転送装置が起動できないらしい。アジス・ラーのキメラ生成ラボにある「指定地点」3箇所で見渡し、キメラ生物を討伐しよう。			誘導システムと話した。キメラ生物が不正にエネルギーを取得しているせいで、転送装置が起動できないらしい。アジス・ラーのキメラ生成ラボにある「指定地点」3箇所で見渡し、キメラ生物を討伐しよう。			キメラの棲む島							
キメラ生成ラボのキメラ生物を討伐した。第IV転送リングの「誘導システム」と話そう。			キメラ生成ラボのキメラ生物を討伐した。第IV転送リングの「誘導システム」と話そう。			キメラの棲む島							
誘導システムと話した。仲間たちもキメラ生物を討伐し終えたことで、転送装置が再起動したようだ。第IV転送リングの「アラグの転送装置」を調べて移動しよう。			誘導システムと話した。仲間たちもキメラ生物を討伐し終えたことで、転送装置が再起動したようだ。第IV転送リングの「アラグの転送装置」を調べて移動しよう。			キメラの棲む島							
転送に成功し、ガンマ管区へ渡ることができた。この区には、帝国軍が侵入しているようだ。なるべく接触を避け、消耗を抑えたいが……。			転送に成功し、ガンマ管区へ渡ることができた。この区には、帝国軍が侵入しているようだ。なるべく接触を避け、消耗を抑えたいが……。			キメラの棲む島							
第IV転送リングの誘導システムと話す			第IV転送リングの誘導システムと話す			キメラの棲む島							
指定地点で見渡してキメラ生物を討伐			指定地点で見渡してキメラ生物を討伐			キメラの棲む島							
第IV転送リングの誘導システムと話す			第IV転送リングの誘導システムと話す			キメラの棲む島							
アラグの転送装置を調べて移動			アラグの転送装置を調べて移動			キメラの棲む島							
ピピ……奇跡的に、転送装置が正常作動しましたので、「魔科学研究所」へのご案内を続行いたしマス。			ピピ……奇跡的に、転送装置が正常作動しましたので、「魔科学研究所」へのご案内を続行いたしマス。			キメラの棲む島							
ここ「ベータ管区」は、キメラ生物の培養施設が集中。さまざまな生物の有用な因子を組み合わせたキメラ生物が、軍民問わず利用されているのは、ご存知のとおりデス。			ここ「ベータ管区」は、キメラ生物の培養施設が集中。さまざまな生物の有用な因子を組み合わせたキメラ生物が、軍民問わず利用されているのは、ご存知のとおりデス。			キメラの棲む島							
