リトルシャーレアンのウリエンジェは、一息ついたようだ。			リトルシャーレアンのウリエンジェは、一息ついたようだ。			右往左往そして……							
それから、ウリエンジェのことも……。この子はうちの息子みたいなものだからさ、良い仲間がいるようで、安心したよ。			それから、ウリエンジェのことも……。この子はうちの息子みたいなものだからさ、良い仲間がいるようで、安心したよ。			右往左往そして……							
レポリットと研究員たちの話し合いにつきましても、見守っていただき、ありがとうございました……。			レポリットと研究員たちの話し合いにつきましても、見守っていただき、ありがとうございました……。			右往左往そして……							
第一陣で集まっていた方の多くは、無事に相談を終えて、持ち場にお戻りになった様子……。レポリットのうち数名は、そのまま彼らに同行したようです。			第一陣で集まっていた方の多くは、無事に相談を終えて、持ち場にお戻りになった様子……。レポリットのうち数名は、そのまま彼らに同行したようです。			右往左往そして……							
このあとも相談者が来るやもしれませんので、私はここに残りますが……ほかに見回るべき場所があれば、どうぞご遠慮なく……。			このあとも相談者が来るやもしれませんので、私はここに残りますが……ほかに見回るべき場所があれば、どうぞご遠慮なく……。			右往左往そして……							
だったら、アリゼーを手伝ってやったらどうだ？さっき、馬鹿デカい荷物を抱えて、そこの西門を出ていったぞ。			だったら、アリゼーを手伝ってやったらどうだ？さっき、馬鹿デカい荷物を抱えて、そこの西門を出ていったぞ。			右往左往そして……							
俺が行っても構わないが……そこは黙って彼女の気持ちを汲んでやるのが大人ってもんだ。			俺が行っても構わないが……そこは黙って彼女の気持ちを汲んでやるのが大人ってもんだ。			右往左往そして……							
というわけで、俺は別の手伝いに行ってくる。またあとで、集合のときにな！			というわけで、俺は別の手伝いに行ってくる。またあとで、集合のときにな！			右往左往そして……							
なるほど……。アリゼー様が巨大な荷物を運んでおられるなら、それをお助けするのは、確かに急務かと。			なるほど……。アリゼー様が巨大な荷物を運んでおられるなら、それをお助けするのは、確かに急務かと。			右往左往そして……							
私からも、是非お願いいたします。この場は私とリヴィングウェイたちで、続けておくといたしましょう……。			私からも、是非お願いいたします。この場は私とリヴィングウェイたちで、続けておくといたしましょう……。			右往左往そして……							
Forename！奇遇ね、あなたもこっちの方で仕事？			Forename！奇遇ね、あなたもこっちの方で仕事？			右往左往そして……							
えっ、手伝いにきてくれたの！？ただの荷運びだけど……いい……？			えっ、手伝いにきてくれたの！？ただの荷運びだけど……いい……？			右往左往そして……							
ありがとう！なら、そこに重ねてある木箱を、道の先……「アポリア本部」まで運んでほしいの。			ありがとう！なら、そこに重ねてある木箱を、道の先……「アポリア本部」まで運んでほしいの。			右往左往そして……							
木箱の中には、貴重な生体サンプルが入ってるとかで、丁寧に運んでほしいって頼まれたわ。			木箱の中には、貴重な生体サンプルが入ってるとかで、丁寧に運んでほしいって頼まれたわ。			右往左往そして……							
「アポリア本部」側には、先に荷物を運んでいったアルフィノがいるはずよ。そこまでよろしくね！			「アポリア本部」側には、先に荷物を運んでいったアルフィノがいるはずよ。そこまでよろしくね！			右往左往そして……							
それにしても、この木箱……依頼を受けたときに聞いた数より、ひとつ多い気がするのよね。どこかで別の荷物でも混ざったかしら……？			それにしても、この木箱……依頼を受けたときに聞いた数より、ひとつ多い気がするのよね。どこかで別の荷物でも混ざったかしら……？			右往左往そして……							
おや、君もここに用事かい……？			おや、君もここに用事かい……？			右往左往そして……							
アルフィノのもとまで、生体サンプル入りの木箱を運んでこよう。			アルフィノのもとまで、生体サンプル入りの木箱を運んでこよう。			右往左往そして……							
おや、君が運んできてくれたのかい？助かるよ、この木箱の隣に置いてくれ。			おや、君が運んできてくれたのかい？助かるよ、この木箱の隣に置いてくれ。			右往左往そして……							
ありがとう。しかし、どうして君が……？			ありがとう。しかし、どうして君が……？			右往左往そして……							
なるほど……。それは、あとでサンクレッドにも感謝しないといけないね。			なるほど……。それは、あとでサンクレッドにも感謝しないといけないね。			右往左往そして……							
私たちは、リトルシャーレアンにいた職員から、ここ「アポリア本部」へ荷物を運ぶよう、頼まれたんだ。			私たちは、リトルシャーレアンにいた職員から、ここ「アポリア本部」へ荷物を運ぶよう、頼まれたんだ。			右往左往そして……							
聞けば、この場所こそが、大撤収の計画を指揮する基地なのだという。			聞けば、この場所こそが、大撤収の計画を指揮する基地なのだという。			右往左往そして……							
恐らく、父もここにいるのだろうね……。			恐らく、父もここにいるのだろうね……。			右往左往そして……							
お待たせ、残りは全部運んできたわよ。			お待たせ、残りは全部運んできたわよ。			右往左往そして……							
無茶をする……！こんなところで怪我でもしたら、どうするんだい？			無茶をする……！こんなところで怪我でもしたら、どうするんだい？			右往左往そして……							
平気よ、なんだか見た目よりずっと軽かったし！			平気よ、なんだか見た目よりずっと軽かったし！			右往左往そして……							
……で、次はどうするんだったかしら？誰かに報告をするんだったわよね。			……で、次はどうするんだったかしら？誰かに報告をするんだったわよね。			右往左往そして……							
ああ、アポリア本部の広場にいるという、「テオポルダン」氏に報告すれば、依頼は完了でいいそうだ。			ああ、アポリア本部の広場にいるという、「テオポルダン」氏に報告すれば、依頼は完了でいいそうだ。			右往左往そして……							
あなたも運んでくれたんだもの、一緒に報告に行くでしょ？ここにいる人なら計画を主導する立場でしょうし、ついでに有益な話が聞けるといいわね！			あなたも運んでくれたんだもの、一緒に報告に行くでしょ？ここにいる人なら計画を主導する立場でしょうし、ついでに有益な話が聞けるといいわね！			右往左往そして……							
なんだろう……どこかで会った覚えがあるような……。			なんだろう……どこかで会った覚えがあるような……。			右往左往そして……							
この人が、テオポルダンさんみたい！			この人が、テオポルダンさんみたい！			右往左往そして……							
やっと来客が途切れたと思ったら、今度はいったい何事だ？			やっと来客が途切れたと思ったら、今度はいったい何事だ？			右往左往そして……							
テオポルダンさん、リトルシャーレアンから、110番台の生体サンプルを運んできたわ。言われたとおり、入口の前に置いたわよ。			テオポルダンさん、リトルシャーレアンから、110番台の生体サンプルを運んできたわ。言われたとおり、入口の前に置いたわよ。			右往左往そして……							
ああ、はいはい、その件か。しかしまさか、職員以外が運んでくるなんて……ん？			ああ、はいはい、その件か。しかしまさか、職員以外が運んでくるなんて……ん？			右往左往そして……							
お前ら、もしかして、フルシュノんとこの双子か！？			お前ら、もしかして、フルシュノんとこの双子か！？			右往左往そして……							
ええ……。父はともかく、私たちをご存知なのですか？			ええ……。父はともかく、私たちをご存知なのですか？			右往左往そして……							
おうとも、生まれる前からな！俺とフルシュノ、それからアメリアンスは、魔法大学時代の学友だったんだよ。			おうとも、生まれる前からな！俺とフルシュノ、それからアメリアンスは、魔法大学時代の学友だったんだよ。			右往左往そして……							
いやー、もう何年も姿を見てなかったが、ふたりとも大きくなったもんだ。アルフィノなんてお前、懐かしい賢具まで背負って！			いやー、もう何年も姿を見てなかったが、ふたりとも大きくなったもんだ。アルフィノなんてお前、懐かしい賢具まで背負って！			右往左往そして……							
お父様とお母様の知り合いなの！？すごい、昔の話を聞かせてよ！			お父様とお母様の知り合いなの！？すごい、昔の話を聞かせてよ！			右往左往そして……							
いくらでも……と言いたいところだが、俺もこれでいて、研究員たちをまとめる立場にあるんでね。このあと、いくつか書類を配りに行かなくちゃならないのさ。			いくらでも……と言いたいところだが、俺もこれでいて、研究員たちをまとめる立場にあるんでね。このあと、いくつか書類を配りに行かなくちゃならないのさ。			右往左往そして……							
だったら、私もそれを手伝うわ！仕事の邪魔はしないから、浮いた時間の分だけでも、昔の話を聞かせてほしいの。			だったら、私もそれを手伝うわ！仕事の邪魔はしないから、浮いた時間の分だけでも、昔の話を聞かせてほしいの。			右往左往そして……							
まあ、それくらいなら……。じゃあ、ちょうど3通あるから、ひとり1通ずつ頼むわ。			まあ、それくらいなら……。じゃあ、ちょうど3通あるから、ひとり1通ずつ頼むわ。			右往左往そして……							
了解、行ってくるわね！			了解、行ってくるわね！			右往左往そして……							
お前は、あいつらの保護者か？付き合わせて悪いが、何かの縁だと思って、そいつを「この本部の南の端にある建物」へ持っていってくれ。			お前は、あいつらの保護者か？付き合わせて悪いが、何かの縁だと思って、そいつを「この本部の南の端にある建物」へ持っていってくれ。			右往左往そして……							
建物の前で、受取役の議員が待ってるはずだ。よろしく頼んだぞ。			建物の前で、受取役の議員が待ってるはずだ。よろしく頼んだぞ。			右往左往そして……							
さっき渡した書類は、この本部の南の端にある建物へ頼む。建物の前で、受取役の議員が待ってるはずだ。			さっき渡した書類は、この本部の南の端にある建物へ頼む。建物の前で、受取役の議員が待ってるはずだ。			右往左往そして……							
あら、あなたは「暁の血盟」の……。エーテル縮退炉の件にあたっているはずなのに、どうしてここへ……？			あら、あなたは「暁の血盟」の……。エーテル縮退炉の件にあたっているはずなのに、どうしてここへ……？			右往左往そして……							
まあ……！テオポルダンに頼んでいた書類を、届けにきてくれたのね。			まあ……！テオポルダンに頼んでいた書類を、届けにきてくれたのね。			右往左往そして……							
ありがとう、助かるわ。……立場上あまり大きな声では言えないけれど、私個人としては、ずっとあなたたちを応援しているの。			ありがとう、助かるわ。……立場上あまり大きな声では言えないけれど、私個人としては、ずっとあなたたちを応援しているの。			右往左往そして……							
哲学者議会にとって、大撤収は、何に代えても遂げなければならない責務よ。だからどうしても、厳しく、慎重になってしまうわ。			哲学者議会にとって、大撤収は、何に代えても遂げなければならない責務よ。だからどうしても、厳しく、慎重になってしまうわ。			右往左往そして……							
けれどもシャーレアンは本来、探求せし者に応える知の都……真実を求めようとする、あなたたちの真っ直ぐな意志は、押さえつけるべきものではないと思うの。			けれどもシャーレアンは本来、探求せし者に応える知の都……真実を求めようとする、あなたたちの真っ直ぐな意志は、押さえつけるべきものではないと思うの。			右往左往そして……							
だから……がんばってね。臨時会で交わされた取引が、いい結果になることを、私もそっと願っているわ。			だから……がんばってね。臨時会で交わされた取引が、いい結果になることを、私もそっと願っているわ。			右往左往そして……							
おっ、渡す相手はすぐに見つかったみたいだな。			おっ、渡す相手はすぐに見つかったみたいだな。			右往左往そして……							
双子に頼んだ書類も、宛先はこの敷地内だ。間もなく戻ってくるだろうよ。			双子に頼んだ書類も、宛先はこの敷地内だ。間もなく戻ってくるだろうよ。			右往左往そして……							
書類、ちゃんと届けてきたわ……！			書類、ちゃんと届けてきたわ……！			右往左往そして……							
ああ、助かった。お前らにはもう、簡単すぎるお使いだったかな。昔は、屋敷の近くでさえ……			ああ、助かった。お前らにはもう、簡単すぎるお使いだったかな。昔は、屋敷の近くでさえ……			右往左往そして……							
わ、私たちの話はいいから！お父様とお母様の話をしてってば……！			わ、私たちの話はいいから！お父様とお母様の話をしてってば……！			右往左往そして……							
そうだなぁ……俺はどちらかというとフルシュノとの付き合いが長いから、友人から見た、若いころのあいつの話でもしてやるか。			そうだなぁ……俺はどちらかというとフルシュノとの付き合いが長いから、友人から見た、若いころのあいつの話でもしてやるか。			右往左往そして……							
前提として……当人たちを前にして俺が語るのも妙だが……ルヴェユール家っていうのは、数少ない「純粋なシャーレアン人から続く家系」なんだ。			前提として……当人たちを前にして俺が語るのも妙だが……ルヴェユール家っていうのは、数少ない「純粋なシャーレアン人から続く家系」なんだ。			右往左往そして……							
つまりは、開祖ニュンクレフの方舟の乗船者……その直系であると認められている名家だな。			つまりは、開祖ニュンクレフの方舟の乗船者……その直系であると認められている名家だな。			右往左往そして……							
ほとんど建前みたいなものだと思うけどね。直系っていったって、建国者たちとの繋がりは薄いわ。			ほとんど建前みたいなものだと思うけどね。直系っていったって、建国者たちとの繋がりは薄いわ。			右往左往そして……							
……とはいえ、それをひとつの誇りにしてきたのは、まぎれもない事実さ。			……とはいえ、それをひとつの誇りにしてきたのは、まぎれもない事実さ。			右往左往そして……							
だからこそ、ニュンクレフの教えである、「争いから身を離し、知識と理性によって人を進歩させる」ということを、一族の信条としてきた……。			だからこそ、ニュンクレフの教えである、「争いから身を離し、知識と理性によって人を進歩させる」ということを、一族の信条としてきた……。			右往左往そして……							
そう、しかしそんな一族に、建国の歴史を別解釈する異端児が現れた。……お前たちの祖父、偉大なるルイゾワ様だ。			そう、しかしそんな一族に、建国の歴史を別解釈する異端児が現れた。……お前たちの祖父、偉大なるルイゾワ様だ。			右往左往そして……							
ルイゾワ様は、ニュンクレフが大洪水に際して、溺れる人々を誰であろうと助けていったという点を、「争いを避ける」という点よりも重要視した。			ルイゾワ様は、ニュンクレフが大洪水に際して、溺れる人々を誰であろうと助けていったという点を、「争いを避ける」という点よりも重要視した。			右往左往そして……							
予言詩の研究者として、数々の文明の盛衰を学んだからこそ、大洪水のような災害や、人の争いは避けられるものではないと、考えていたのかもしれない……。			予言詩の研究者として、数々の文明の盛衰を学んだからこそ、大洪水のような災害や、人の争いは避けられるものではないと、考えていたのかもしれない……。			右往左往そして……							
災害も争いも、なくせはしない……その上で……			災害も争いも、なくせはしない……その上で……			右往左往そして……							
助けられる人が目の前にいるときに、我が身を案じて助けぬというのは怠惰というものだ……確かに、お祖父様はそう言っていたわ。			助けられる人が目の前にいるときに、我が身を案じて助けぬというのは怠惰というものだ……確かに、お祖父様はそう言っていたわ。			右往左往そして……							
よく覚えてたな。ルイゾワ様はその考えのもと、国外の危機に対しても、積極的に手を貸していらっしゃったんだ。			よく覚えてたな。ルイゾワ様はその考えのもと、国外の危機に対しても、積極的に手を貸していらっしゃったんだ。			右往左往そして……							
……フルシュノは、ルイゾワ様のことを深く尊敬していたよ。			……フルシュノは、ルイゾワ様のことを深く尊敬していたよ。			右往左往そして……							
一方で、旧来の一族の考え方を良しとする彼自身や、彼の周りにいた人々にとって、ルイゾワ様の行いは、野蛮とさえ思えるものだった。			一方で、旧来の一族の考え方を良しとする彼自身や、彼の周りにいた人々にとって、ルイゾワ様の行いは、野蛮とさえ思えるものだった。			右往左往そして……							
尊敬する父と、良しとする道が異なることについて、あいつはずいぶん悩んでいたものだ……。			尊敬する父と、良しとする道が異なることについて、あいつはずいぶん悩んでいたものだ……。			右往左往そして……							
そうか……父も……お祖父様と……。			そうか……父も……お祖父様と……。			右往左往そして……							
ま、親子だからって、選ぶものまで同じになるわけじゃないという話さ。			ま、親子だからって、選ぶものまで同じになるわけじゃないという話さ。			右往左往そして……							
お前らとフルシュノだって、衝突することがあるだろう？……だがな、だからといってお前らが大事じゃないなんて、そんなことがあるもんか！			お前らとフルシュノだって、衝突することがあるだろう？……だがな、だからといってお前らが大事じゃないなんて、そんなことがあるもんか！			右往左往そして……							
あの堅物のフルシュノが、お前らが生まれるときに、どれだけ右往左往して……どれだけ喜んだか……。			あの堅物のフルシュノが、お前らが生まれるときに、どれだけ右往左往して……どれだけ喜んだか……。			右往左往そして……							
あいつは本当に……間違いなく、お前らふたりを愛してるよ。			あいつは本当に……間違いなく、お前らふたりを愛してるよ。			右往左往そして……							
だが、何せ頑固で生真面目だからな。子どもたちのためになると思ったことなら、嫌われようが何しようが、貫こうとするだろう。			だが、何せ頑固で生真面目だからな。子どもたちのためになると思ったことなら、嫌われようが何しようが、貫こうとするだろう。			右往左往そして……							
そういうのが、当の子どもにとっちゃ、いちばん煩わしいんだが……なぁ？			そういうのが、当の子どもにとっちゃ、いちばん煩わしいんだが……なぁ？			右往左往そして……							
……ええ、まったくだわ！			……ええ、まったくだわ！			右往左往そして……							
貴重な話を、ありがとうございました。父や母と話せる機会があれば、テオポルダン殿と話したと、伝えておきます。			貴重な話を、ありがとうございました。父や母と話せる機会があれば、テオポルダン殿と話したと、伝えておきます。			右往左往そして……							
おう、よく伝えておいてくれよ！議員に睨まれると面倒だからな！			おう、よく伝えておいてくれよ！議員に睨まれると面倒だからな！			右往左往そして……							
それじゃ、俺は次の仕事に向かう。お前らが運んでくれた荷物も、ちゃーんと移送しておくからな。手伝い、ありがとよ！			それじゃ、俺は次の仕事に向かう。お前らが運んでくれた荷物も、ちゃーんと移送しておくからな。手伝い、ありがとよ！			右往左往そして……							
(-？？？？-)おーい！三人とも、ちょっと待ってくれ……！			(-？？？？-)おーい！三人とも、ちょっと待ってくれ……！			右往左往そして……							
ラハ……？ククロの工房の方はもういいの？			ラハ……？ククロの工房の方はもういいの？			右往左往そして……							
いや、ククロさんに頼まれて、ちょっと作業の手伝いをな。			いや、ククロさんに頼まれて、ちょっと作業の手伝いをな。			右往左往そして……							
ただ、それをするには、最低でもふたり必要で……誰かを呼びに行かなきゃって思ってたところで、三人を見かけたってわけさ。			ただ、それをするには、最低でもふたり必要で……誰かを呼びに行かなきゃって思ってたところで、三人を見かけたってわけさ。			右往左往そして……							
なるほど……。ただ、私とアリゼーは、もうひとつ手伝いの約束をしていてね。これからそちらに向かわなければならないんだ。			なるほど……。ただ、私とアリゼーは、もうひとつ手伝いの約束をしていてね。これからそちらに向かわなければならないんだ。			右往左往そして……							
あなたは、どう？ラハの方に手を貸せそう……？			あなたは、どう？ラハの方に手を貸せそう……？			右往左往そして……							
助かる……！それじゃ、少しの間、力を貸してくれ！			助かる……！それじゃ、少しの間、力を貸してくれ！			右往左往そして……							
工匠殿のジュードは、星見鏡の製作を続けたいようだ。			工匠殿のジュードは、星見鏡の製作を続けたいようだ。			ジュードの成長							
ジュードから部品の製作を依頼された。「エーテル伝導部材」を6個製作し、工匠殿の「ジュード」へ納品しよう。※納品は、収集価値「160」以上で可能となりますが、「340」以上で納品した場合、より多くの報酬が得られます。			ジュードから部品の製作を依頼された。「エーテル伝導部材」を6個製作し、工匠殿の「ジュード」へ納品しよう。※納品は、収集価値「160」以上で可能となりますが、「340」以上で納品した場合、より多くの報酬が得られます。			ジュードの成長							
ジュードに「エーテル伝導部材」を納品した。星見鏡完成へと向けて、準備が整い次第ふたたびジュードに声をかけよう。			ジュードに「エーテル伝導部材」を納品した。星見鏡完成へと向けて、準備が整い次第ふたたびジュードに声をかけよう。			ジュードの成長							
ジュードにエーテル伝導部材を納品			ジュードにエーテル伝導部材を納品			ジュードの成長							
それでは、星見鏡の製作を続行しましょう。			それでは、星見鏡の製作を続行しましょう。			ジュードの成長							
光を集めて像を結ぶ従来の望遠鏡とは違い、星見鏡は、とらえたエーテルのゆらめきを水面に投写することで、観測を可能とするんです。			光を集めて像を結ぶ従来の望遠鏡とは違い、星見鏡は、とらえたエーテルのゆらめきを水面に投写することで、観測を可能とするんです。			ジュードの成長							
これまで製作していただいた部品を組み合わせたところ、投写に必要なエーテル伝導率が不足していることがわかりました。			これまで製作していただいた部品を組み合わせたところ、投写に必要なエーテル伝導率が不足していることがわかりました。			ジュードの成長							
そこで、今回あなたに作っていただきたいのは、「エーテル伝導部材」です！			そこで、今回あなたに作っていただきたいのは、「エーテル伝導部材」です！			ジュードの成長							
星見鏡の完成まで、あと一歩……ご協力お願いします！			星見鏡の完成まで、あと一歩……ご協力お願いします！			ジュードの成長							
エーテルのゆらめきを水面に投写するために必要な、「エーテル伝導部材」の製作をお願いします！			エーテルのゆらめきを水面に投写するために必要な、「エーテル伝導部材」の製作をお願いします！			ジュードの成長							
ありがとうございます！何としても「蒼の星」を見つけてみせますよ！			ありがとうございます！何としても「蒼の星」を見つけてみせますよ！			ジュードの成長							
ご協力感謝します！これだけの腕を持つ職人さんと出会えるなんて、これも「蒼の星」のめぐり合わせかもしれませんね……！			ご協力感謝します！これだけの腕を持つ職人さんと出会えるなんて、これも「蒼の星」のめぐり合わせかもしれませんね……！			ジュードの成長							
よし、これで必要な数の「エーテル伝導部材」が揃いました。			よし、これで必要な数の「エーテル伝導部材」が揃いました。			ジュードの成長							
いよいよ、星見鏡の完成に必要な部品は、あと1種類です。			いよいよ、星見鏡の完成に必要な部品は、あと1種類です。			ジュードの成長							
あなたとの星見鏡製作を通して、僕は夢を叶えるための「諦めない心」を知ることができました。だから、たとえ「蒼の星」が見つからなかったとしても……			あなたとの星見鏡製作を通して、僕は夢を叶えるための「諦めない心」を知ることができました。だから、たとえ「蒼の星」が見つからなかったとしても……			ジュードの成長							
なんてことは、言いません！星見鏡を完成させて、なんとしても「蒼の星」を見つけてみせます！なんせ、ここまで10年待ち続けたんですから！			なんてことは、言いません！星見鏡を完成させて、なんとしても「蒼の星」を見つけてみせます！なんせ、ここまで10年待ち続けたんですから！			ジュードの成長							
何と言う？			何と言う？			ジュードの成長							
その意気だ			その意気だ			ジュードの成長							
うじうじしてない！！！！			うじうじしてない！！！！			ジュードの成長							
はい！いまは僕にやれることをやってみせますよ！			はい！いまは僕にやれることをやってみせますよ！			ジュードの成長							
うじうじするのは、いつだってできますから。いまは僕にやれることをやってみせますよ！			うじうじするのは、いつだってできますから。いまは僕にやれることをやってみせますよ！			ジュードの成長							
それでは、Surnameさん。最後の部品製作に入る準備ができたら、声をかけてください。あと一歩、ともに頑張りましょう！			それでは、Surnameさん。最後の部品製作に入る準備ができたら、声をかけてください。あと一歩、ともに頑張りましょう！			ジュードの成長							
Surnameさんに認められて、僕の心が「ボム並み」の熱血ハートから、「イフリート並み」の激情ハートに成長した気がするぞ……！			Surnameさんに認められて、僕の心が「ボム並み」の熱血ハートから、「イフリート並み」の激情ハートに成長した気がするぞ……！			ジュードの成長							
天文学部の貢献ランクが上昇しました！ジュードはあなたの事を、「お母さんのように心を許せる人」と感じているようです！			天文学部の貢献ランクが上昇しました！ジュードはあなたの事を、「お母さんのように心を許せる人」と感じているようです！			ジュードの成長							
また、魔法大学取引のストーリークエストが発行されました！「木工師／革細工師／裁縫師」のいずれかが、レベル90以上になると工匠殿の「ジュード」から受注可能です。			また、魔法大学取引のストーリークエストが発行されました！「木工師／革細工師／裁縫師」のいずれかが、レベル90以上になると工匠殿の「ジュード」から受注可能です。			ジュードの成長							
工匠殿のデブロイは、困り果てているようだ。			工匠殿のデブロイは、困り果てているようだ。			美味しい完全食							
デブロイからアスコルビン酸の製作を依頼された。「特製の添加物」を6個製作し、工匠殿の「デブロイ」へ納品しよう。※納品は、収集価値「160」以上で可能となりますが、「340」以上で納品した場合、より多くの報酬が得られます。			デブロイからアスコルビン酸の製作を依頼された。「特製の添加物」を6個製作し、工匠殿の「デブロイ」へ納品しよう。※納品は、収集価値「160」以上で可能となりますが、「340」以上で納品した場合、より多くの報酬が得られます。			美味しい完全食							
デブロイに「特製の添加物」を納品した。ついに完成したメルヴィンブレッドが品評会に出される日を心待ちにしておこう。			デブロイに「特製の添加物」を納品した。ついに完成したメルヴィンブレッドが品評会に出される日を心待ちにしておこう。			美味しい完全食							
デブロイに特製の添加物を納品			デブロイに特製の添加物を納品			美味しい完全食							
これは、同志Forename……。			これは、同志Forename……。			美味しい完全食							
あれから、アスコルビン酸を合成してみたのですが……何度やってもうまくいきません。			あれから、アスコルビン酸を合成してみたのですが……何度やってもうまくいきません。			美味しい完全食							
ジャルヴァズさんに教わった手順どおりのはずなのに、どうしても、失敗してしまいます。			ジャルヴァズさんに教わった手順どおりのはずなのに、どうしても、失敗してしまいます。			美味しい完全食							
恥ずかしながら、これは単純に私の技術不足……アスコルビン酸の合成は、かなりの腕がいるようです。			恥ずかしながら、これは単純に私の技術不足……アスコルビン酸の合成は、かなりの腕がいるようです。			美味しい完全食							
結局、最後まで頼ってしまって、大変申し訳ないのですが……			結局、最後まで頼ってしまって、大変申し訳ないのですが……			美味しい完全食							
どうか、アスコルビン酸を合成して、メルヴィンブレッド完成への最後の鍵……「特製の添加物」の製作をお願いします！			どうか、アスコルビン酸を合成して、メルヴィンブレッド完成への最後の鍵……「特製の添加物」の製作をお願いします！			美味しい完全食							
アスコルビン酸を合成して、メルヴィンブレッド完成への最後の鍵……「特製の添加物」の製作を、どうかお願いいたします！			アスコルビン酸を合成して、メルヴィンブレッド完成への最後の鍵……「特製の添加物」の製作を、どうかお願いいたします！			美味しい完全食							
助かりました、ありがとうございます！これがココナッツミルクから合成されたアスコルビン酸！さすがです、私には何度やってもできませんでした……。			助かりました、ありがとうございます！これがココナッツミルクから合成されたアスコルビン酸！さすがです、私には何度やってもできませんでした……。			美味しい完全食							
こ、これは美しい！合成されたアスコルビン酸が、輝いて見えます！これさえあれば、残された課題もクリアできるでしょう！			こ、これは美しい！合成されたアスコルビン酸が、輝いて見えます！これさえあれば、残された課題もクリアできるでしょう！			美味しい完全食							
納品、どうもありがとうございます。さっそく、メルヴィンブレッドを作ってみました。もう少しで焼き上がりますので、少々、お待ちくださいね！			納品、どうもありがとうございます。さっそく、メルヴィンブレッドを作ってみました。もう少しで焼き上がりますので、少々、お待ちくださいね！			美味しい完全食							
私の方でも独自に試行錯誤を繰り返し、最終的にこのような、ふっくらしたパンになりました。			私の方でも独自に試行錯誤を繰り返し、最終的にこのような、ふっくらしたパンになりました。			美味しい完全食							
何と言う？			何と言う？			美味しい完全食							
美味しそう……！			美味しそう……！			美味しい完全食							
ど、どこかで見た気が……！？			ど、どこかで見た気が……！？			美味しい完全食							
とにかく、早く食べてみてくださいな！			とにかく、早く食べてみてくださいな！			美味しい完全食							
まずは、味の感想からきかせてもらえますか……？			まずは、味の感想からきかせてもらえますか……？			美味しい完全食							
