クォーリーミルのスィミは、冒険者に託したいものがあるようだ。			クォーリーミルのスィミは、冒険者に託したいものがあるようだ。			聖典の真実							
第七霊災から5年……。人々の顔に、やっと笑顔が戻ってまいりました。			第七霊災から5年……。人々の顔に、やっと笑顔が戻ってまいりました。			エオルゼアの明日のために							
その人々を、ふたたび戦場に送ることなど、たやすく決意できるものではありません。			その人々を、ふたたび戦場に送ることなど、たやすく決意できるものではありません。			エオルゼアの明日のために							
特に、ガイウス卿が申すとおり、三蛮神をたやすく討つ力があるのであれば、なおのこと。戦となれば、戦場は死地となりましょう……。			特に、ガイウス卿が申すとおり、三蛮神をたやすく討つ力があるのであれば、なおのこと。戦となれば、戦場は死地となりましょう……。			エオルゼアの明日のために							
それに「双蛇党」は、国内の不測の事態に備えておく必要があります。			それに「双蛇党」は、国内の不測の事態に備えておく必要があります。			エオルゼアの明日のために							
エオルゼア諸国が抱える蛮神問題。大きな犠牲を払い、蛮神と永遠に戦い続ける未来は、まさに暗黒……。			エオルゼア諸国が抱える蛮神問題。大きな犠牲を払い、蛮神と永遠に戦い続ける未来は、まさに暗黒……。			エオルゼアの明日のために							
このまま消耗戦を続けることは、我が「黒渦団」に限らず、皆が望まぬはず。			このまま消耗戦を続けることは、我が「黒渦団」に限らず、皆が望まぬはず。			エオルゼアの明日のために							
ガイウス率いる第XIV軍団が、本国の意向を離れ、独自に動いているとの情報もある。			ガイウス率いる第XIV軍団が、本国の意向を離れ、独自に動いているとの情報もある。			エオルゼアの明日のために							
奴らに従わないまでも、同調の道を探ることもできるのではないか？			奴らに従わないまでも、同調の道を探ることもできるのではないか？			エオルゼアの明日のために							
「鋼鉄」と呼ばれた女提督殿も、弱気なことだ。結局は、グリダニアもリムサ・ロミンサも、国内問題を優先したいのであろう？			「鋼鉄」と呼ばれた女提督殿も、弱気なことだ。結局は、グリダニアもリムサ・ロミンサも、国内問題を優先したいのであろう？			エオルゼアの明日のために							
ウルダハも人のことを言えぬか……。恥ずかしい話だがな。			ウルダハも人のことを言えぬか……。恥ずかしい話だがな。			エオルゼアの明日のために							
迫るアマルジャ族に、押し寄せる難民……。そして、一枚岩になりきれぬ砂蠍衆。これでは「不滅隊」も簡単には動かせん。			迫るアマルジャ族に、押し寄せる難民……。そして、一枚岩になりきれぬ砂蠍衆。これでは「不滅隊」も簡単には動かせん。			エオルゼアの明日のために							
大層な演説で国民を沸き立たせたところで、目の前の問題が、すぐに片付くわけではない。			大層な演説で国民を沸き立たせたところで、目の前の問題が、すぐに片付くわけではない。			エオルゼアの明日のために							
……ラウバーン。それは、どこの国も同じじゃ。誰もそれを責めることはできぬ。			……ラウバーン。それは、どこの国も同じじゃ。誰もそれを責めることはできぬ。			エオルゼアの明日のために							
皆、戦いに疲れておるのじゃ。消沈した民を導くには、きれい事の言葉も必要……。政(まつりごと)とは、かようなものじゃろう？			皆、戦いに疲れておるのじゃ。消沈した民を導くには、きれい事の言葉も必要……。政(まつりごと)とは、かようなものじゃろう？			エオルゼアの明日のために							
ガイウスなる者が、それを責めようとも、わらわはラウバーン、そちを責めん。力なきは、わらわも同じじゃ。			ガイウスなる者が、それを責めようとも、わらわはラウバーン、そちを責めん。力なきは、わらわも同じじゃ。			エオルゼアの明日のために							
元より、エオルゼアと帝国は敵じゃ。ただ、復興に明け暮れる日々の中で、それを忘れていただけに過ぎぬ。			元より、エオルゼアと帝国は敵じゃ。ただ、復興に明け暮れる日々の中で、それを忘れていただけに過ぎぬ。			エオルゼアの明日のために							
私たちが、復興を目指す陰で、帝国は刃を研ぎ続けていた……。			私たちが、復興を目指す陰で、帝国は刃を研ぎ続けていた……。			エオルゼアの明日のために							
森を抜ける風の如く、過ぎ去っていったこの5年……。私たちと帝国が成してきたことは、あまりに違います。			森を抜ける風の如く、過ぎ去っていったこの5年……。私たちと帝国が成してきたことは、あまりに違います。			エオルゼアの明日のために							
今や「暁の血盟」は失われた……。			今や「暁の血盟」は失われた……。			エオルゼアの明日のために							
彼らは、蛮神問題の担い手としてだけでなく、エオルゼアの精神の主柱でもあったのだ。			彼らは、蛮神問題の担い手としてだけでなく、エオルゼアの精神の主柱でもあったのだ。			エオルゼアの明日のために							
「暁の血盟」は、失われてなぞいないッ！			「暁の血盟」は、失われてなぞいないッ！			エオルゼアの明日のために							
ミンフィリア、アルフィノ殿、それに……シド！？			ミンフィリア、アルフィノ殿、それに……シド！？			エオルゼアの明日のために							
あなたも……みんな無事で……。			あなたも……みんな無事で……。			エオルゼアの明日のために							
お前たち……生きていたのか！！			お前たち……生きていたのか！！			エオルゼアの明日のために							
どうしたのだ、諸国の首領よ！エオルゼアの民はみな、気高く、誇り高く、雄々しいのではなかったのか！			どうしたのだ、諸国の首領よ！エオルゼアの民はみな、気高く、誇り高く、雄々しいのではなかったのか！			エオルゼアの明日のために							
蛮神を倒すために、大きな力に頼るのは間違っています！			蛮神を倒すために、大きな力に頼るのは間違っています！			エオルゼアの明日のために							
大きな力を用いて蛮神を倒したとしても、結局は、それより大きな力を求めて、新たな民が新たな蛮神を生み出すだけ……。			大きな力を用いて蛮神を倒したとしても、結局は、それより大きな力を求めて、新たな民が新たな蛮神を生み出すだけ……。			エオルゼアの明日のために							
蛮神とは、混乱と絶望の内に、民が祈り、願うことで生まれいずるもの。			蛮神とは、混乱と絶望の内に、民が祈り、願うことで生まれいずるもの。			エオルゼアの明日のために							
ならば、その世を正さない限り、蛮神は生まれ続けるのです！			ならば、その世を正さない限り、蛮神は生まれ続けるのです！			エオルゼアの明日のために							
それに、帝国と同調などありえない。奴らが力でエオルゼアを支配する未来……。それこそ、暗黒の時代が訪れるぞ！			それに、帝国と同調などありえない。奴らが力でエオルゼアを支配する未来……。それこそ、暗黒の時代が訪れるぞ！			エオルゼアの明日のために							
目の前の問題は、自分たちで解くことに意味があります。安易に力という解答に頼るのは怠惰よ。			目の前の問題は、自分たちで解くことに意味があります。安易に力という解答に頼るのは怠惰よ。			エオルゼアの明日のために							
エオルゼアの平和とは何だ！？5年前、みなが命がけで戦ったのは何故だ！？真の平和と自由を勝ち取るためだろう！？			エオルゼアの平和とは何だ！？5年前、みなが命がけで戦ったのは何故だ！？真の平和と自由を勝ち取るためだろう！？			エオルゼアの明日のために							
エオルゼアは、まだ牙を失っていない。そうだろう！？			エオルゼアは、まだ牙を失っていない。そうだろう！？			エオルゼアの明日のために							
わたしたち「暁」の明かりは、再び灯ったのです！			わたしたち「暁」の明かりは、再び灯ったのです！			エオルゼアの明日のために							
今こそ、もう一度心をひとつに！エオルゼアを救うために！			今こそ、もう一度心をひとつに！エオルゼアを救うために！			エオルゼアの明日のために							
真の商人は、未来の利のために財を投じるもの。そうなんだろ、牛親父。			真の商人は、未来の利のために財を投じるもの。そうなんだろ、牛親父。			エオルゼアの明日のために							
シド……。			シド……。			エオルゼアの明日のために							
……自分の愚かしさに腹が立ちます。大地と豊穣の女神ノフィカ様の教えを、今になって思い出すとは。			……自分の愚かしさに腹が立ちます。大地と豊穣の女神ノフィカ様の教えを、今になって思い出すとは。			エオルゼアの明日のために							
豊穣の恵みは、先人の血と汗の中にこそ得られるもの。それを森の恵みだなどと、享受することに馴れきっていた私は、なんと情けないことか……。			豊穣の恵みは、先人の血と汗の中にこそ得られるもの。それを森の恵みだなどと、享受することに馴れきっていた私は、なんと情けないことか……。			エオルゼアの明日のために							
グリダニアは、エオルゼアの気高き民……。			グリダニアは、エオルゼアの気高き民……。			エオルゼアの明日のために							
私たちグリダニアは、歴史上も侵略者に対して、一歩も引かずに戦ってきたのです。今更、何を及び腰になる必要がありましょうか。			私たちグリダニアは、歴史上も侵略者に対して、一歩も引かずに戦ってきたのです。今更、何を及び腰になる必要がありましょうか。			エオルゼアの明日のために							
「双蛇党」は動きます。この神々に愛されし美しい大地から帝国を放逐し、私たちのエオルゼアを取り戻すために！			「双蛇党」は動きます。この神々に愛されし美しい大地から帝国を放逐し、私たちのエオルゼアを取り戻すために！			エオルゼアの明日のために							
くくくくく……。あは、あはははは！			くくくくく……。あは、あはははは！			エオルゼアの明日のために							
面白い、面白いぞ、カヌ・エ！			面白い、面白いぞ、カヌ・エ！			エオルゼアの明日のために							
フフフフフ……			フフフフフ……			エオルゼアの明日のために							
ハッハッハッハッ！！			ハッハッハッハッ！！			エオルゼアの明日のために							
そうじゃ、その顔じゃ。お主らに、エオルゼアに足らなかったものじゃ！			そうじゃ、その顔じゃ。お主らに、エオルゼアに足らなかったものじゃ！			エオルゼアの明日のために							
ラウバーン！ウルダハも負けてはおれぬぞ！			ラウバーン！ウルダハも負けてはおれぬぞ！			エオルゼアの明日のために							
いつのまにか吾輩は恐れていた……。また、祖国を失うことを。			いつのまにか吾輩は恐れていた……。また、祖国を失うことを。			エオルゼアの明日のために							
戦わずして、祖国を守れようか？困難こそ、勝機かつ商機と解っていたはずではないか。			戦わずして、祖国を守れようか？困難こそ、勝機かつ商機と解っていたはずではないか。			エオルゼアの明日のために							
我らウルダハは、エオルゼアの雄々しき民。涸れた砂地に倒れようとも、砂金をつかみ立ち上がるまでよ。			我らウルダハは、エオルゼアの雄々しき民。涸れた砂地に倒れようとも、砂金をつかみ立ち上がるまでよ。			エオルゼアの明日のために							
吾輩たちは、何度背中を押されたのだろうな……。この熱き心を持つ者たちに。			吾輩たちは、何度背中を押されたのだろうな……。この熱き心を持つ者たちに。			エオルゼアの明日のために							
さすが、グランドカンパニーの盟主たち。どいつもこいつも、裏をかえせば曲者揃いってわけか。			さすが、グランドカンパニーの盟主たち。どいつもこいつも、裏をかえせば曲者揃いってわけか。			エオルゼアの明日のために							
私だって、気骨一筋の海賊あがりだ！たとえ相手が帝国だろうと、やってやろうじゃないか！			私だって、気骨一筋の海賊あがりだ！たとえ相手が帝国だろうと、やってやろうじゃないか！			エオルゼアの明日のために							
面倒な奴は、味方につけるか海に沈めろ。海賊の掟に従うまでだ！			面倒な奴は、味方につけるか海に沈めろ。海賊の掟に従うまでだ！			エオルゼアの明日のために							
エオルゼアの誇り高き民。リムサ・ロミンサという巨艦の底力を見せてやる！			エオルゼアの誇り高き民。リムサ・ロミンサという巨艦の底力を見せてやる！			エオルゼアの明日のために							
このエオルゼアの危機、わらわたちで守ってみせようぞ！			このエオルゼアの危機、わらわたちで守ってみせようぞ！			エオルゼアの明日のために							
(-盟主たち-)おう！			(-盟主たち-)おう！			エオルゼアの明日のために							
まずは、アルテマウェポンの……			まずは、アルテマウェポンの……			エオルゼアの明日のために							
海上拠点は我らが……			海上拠点は我らが……			エオルゼアの明日のために							
お願いする。では、不滅隊は……			お願いする。では、不滅隊は……			エオルゼアの明日のために							
世話を焼かせたな「暁」の者。もう心配はいらぬぞ。			世話を焼かせたな「暁」の者。もう心配はいらぬぞ。			エオルゼアの明日のために							
軍略は我らに任せよ。砂の家に控え、号令を待つがよいぞ。			軍略は我らに任せよ。砂の家に控え、号令を待つがよいぞ。			エオルゼアの明日のために							
バラバラになりかけていたエオルゼアが、またひとつになってくれたわね。			バラバラになりかけていたエオルゼアが、またひとつになってくれたわね。			エオルゼアの明日のために							
そして、エオルゼアの牙が、まだ折れていないことが証明された。			そして、エオルゼアの牙が、まだ折れていないことが証明された。			エオルゼアの明日のために							
