朋友の灯火のエレンヴィルは、何やら注意を促したいようだ。			朋友の灯火のエレンヴィルは、何やら注意を促したいようだ。			捕集の民、モブリン族							
そうしたいのは　山々だけどそれどころじゃない　事情あり！			そうしたいのは　山々だけどそれどころじゃない　事情あり！			捕集の民、モブリン族							
村を襲った大嵐　岩を落とし　崖を崩し！壺匠(つぼだくみ)の世話人たちに　とてとてたくさん　ケガ人続出！試練を開く　余裕なし！			村を襲った大嵐　岩を落とし　崖を崩し！壺匠(つぼだくみ)の世話人たちに　とてとてたくさん　ケガ人続出！試練を開く　余裕なし！			捕集の民、モブリン族							
大階段が壊れたぐらいだから、ここも少なからず被害を受けただろうとは思ってたけど……その「壺匠」ってのは何なんだ？			大階段が壊れたぐらいだから、ここも少なからず被害を受けただろうとは思ってたけど……その「壺匠」ってのは何なんだ？			捕集の民、モブリン族							
モブリン族と契約してる金細工職人のことだ。壺のような工房で働くから、壺匠というわけさ。			モブリン族と契約してる金細工職人のことだ。壺のような工房で働くから、壺匠というわけさ。			捕集の民、モブリン族							
なんでも工房だけじゃなく、道具から素材まで、すべての創作環境を整えてもらえるそうでな。彼らが造る金細工は大陸随一の品質を誇るんだとか。			なんでも工房だけじゃなく、道具から素材まで、すべての創作環境を整えてもらえるそうでな。彼らが造る金細工は大陸随一の品質を誇るんだとか。			捕集の民、モブリン族							
(-落胆した様子の職人-)ここでなら、ずっとものづくりに没頭できると思っていたのに、こんなことになるなんて……。			(-落胆した様子の職人-)ここでなら、ずっとものづくりに没頭できると思っていたのに、こんなことになるなんて……。			捕集の民、モブリン族							
(-落胆した様子の職人-)約束された環境が与えられないんじゃ、また万貨街で雇ってもらうしかないか……。			(-落胆した様子の職人-)約束された環境が与えられないんじゃ、また万貨街で雇ってもらうしかないか……。			捕集の民、モブリン族							
とてとてたくさん　壺匠　今みたいに　去っていく！それもこれも　世話人　ケガして　人手足りなくなったから！最高の環境　与える約束　守れなくなったから！			とてとてたくさん　壺匠　今みたいに　去っていく！それもこれも　世話人　ケガして　人手足りなくなったから！最高の環境　与える約束　守れなくなったから！			捕集の民、モブリン族							
これ以上　壺匠　去っていったら　一族　集落　立ち行かない！溜まったお世話　片付くまで　試練できない！そんな余裕　どこにもなし！			これ以上　壺匠　去っていったら　一族　集落　立ち行かない！溜まったお世話　片付くまで　試練できない！そんな余裕　どこにもなし！			捕集の民、モブリン族							
だったら、アタシらが壺匠の世話を手伝ってやるよ！仕事を手伝えば、お前らのことを少しは知れるだろうしな。その上、試練の開始も早まるなら、良いことずくめだぜ！			だったら、アタシらが壺匠の世話を手伝ってやるよ！仕事を手伝えば、お前らのことを少しは知れるだろうしな。その上、試練の開始も早まるなら、良いことずくめだぜ！			捕集の民、モブリン族							
これは継承の儀の一環ってわけじゃねぇから、お前らは休んでてもいいぜ！			これは継承の儀の一環ってわけじゃねぇから、お前らは休んでてもいいぜ！			捕集の民、モブリン族							
何と言う？			何と言う？			捕集の民、モブリン族							
自分も手伝う！			自分も手伝う！			捕集の民、モブリン族							
ではお言葉に甘えて……			ではお言葉に甘えて……			捕集の民、モブリン族							
お前も付き合ってくれるのか！？実は、アタシひとりでやりきれるか自信がなかったんだ！ありがとよ！			お前も付き合ってくれるのか！？実は、アタシひとりでやりきれるか自信がなかったんだ！ありがとよ！			捕集の民、モブリン族							
俺たちも手伝うぞ。足止めなんてごめんだからな。			俺たちも手伝うぞ。足止めなんてごめんだからな。			捕集の民、モブリン族							
そうしたいのは山々だが、俺たちも手伝うぞ。足止めなんてごめんだからな。			そうしたいのは山々だが、俺たちも手伝うぞ。足止めなんてごめんだからな。			捕集の民、モブリン族							
お前たちも付き合ってくれるのか！？実は、アタシひとりでやりきれるか自信がなかったんだ！ありがとよ！			お前たちも付き合ってくれるのか！？実は、アタシひとりでやりきれるか自信がなかったんだ！ありがとよ！			捕集の民、モブリン族							
人手増えるの　大歓迎！壺匠たちに　約束してた　最高の環境　用意できたら試練開くと　約束するモブ！			人手増えるの　大歓迎！壺匠たちに　約束してた　最高の環境　用意できたら試練開くと　約束するモブ！			捕集の民、モブリン族							
あなたと王女の　ふたりにお願い！世話人ラコロク　手伝いお願い！			あなたと王女の　ふたりにお願い！世話人ラコロク　手伝いお願い！			捕集の民、モブリン族							
そっちの4人は　ついてきて！ほかの世話人　紹介するモブ！			そっちの4人は　ついてきて！ほかの世話人　紹介するモブ！			捕集の民、モブリン族							
お前が手を貸してくれて嬉しいぜ。			お前が手を貸してくれて嬉しいぜ。			捕集の民、モブリン族							
朋友の灯火でも話したけどさ。アタシはトライヨラの王女だから、アタシが何とかするんだ……なんて強がりは、もう言わねぇ。			朋友の灯火でも話したけどさ。アタシはトライヨラの王女だから、アタシが何とかするんだ……なんて強がりは、もう言わねぇ。			捕集の民、モブリン族							
困ってる奴を助けるのは、冒険者のお前の方がずっと上手い。それはここまでの旅でよくわかってる。			困ってる奴を助けるのは、冒険者のお前の方がずっと上手い。それはここまでの旅でよくわかってる。			捕集の民、モブリン族							
だからアタシは、アタシよりもすごい奴を手本にして、これからもっと成長してみせるぜ！			だからアタシは、アタシよりもすごい奴を手本にして、これからもっと成長してみせるぜ！			捕集の民、モブリン族							
さて、頼まれたのは、壺匠の世話人「ラコロク」の手伝いだったよな。探して話を聞いてみようぜ！			さて、頼まれたのは、壺匠の世話人「ラコロク」の手伝いだったよな。探して話を聞いてみようぜ！			捕集の民、モブリン族							
こいつがラコロクって奴らしい。試練を受けるために、まずはモブリン族が抱えている問題を解決しようぜ！			こいつがラコロクって奴らしい。試練を受けるために、まずはモブリン族が抱えている問題を解決しようぜ！			捕集の民、モブリン族							
フゴォ……フゴォ……どうしよ　こうしよ　人手が足りない！このまま　そのまま　約束守れず　壺匠も帰っちゃう！			フゴォ……フゴォ……どうしよ　こうしよ　人手が足りない！このまま　そのまま　約束守れず　壺匠も帰っちゃう！			捕集の民、モブリン族							
あなたと　王女が　世話人手伝い！？恐れ多くも　とてとて助かる！			あなたと　王女が　世話人手伝い！？恐れ多くも　とてとて助かる！			捕集の民、モブリン族							
ふたりがいれば　できる気がする！壺匠が喜ぶ　おもてなし！			ふたりがいれば　できる気がする！壺匠が喜ぶ　おもてなし！			捕集の民、モブリン族							
ああ、頑張ろうな！			ああ、頑張ろうな！			捕集の民、モブリン族							
釉薬の工房前のラコロクは、壺匠の希望を一緒に考えてほしいようだ。			釉薬の工房前のラコロクは、壺匠の希望を一緒に考えてほしいようだ。			壺匠の世話人							
ラコロクと話した。コザマル・カの釉薬の工房前にいる「ウクラマト」と話そう。			ラコロクと話した。コザマル・カの釉薬の工房前にいる「ウクラマト」と話そう。			壺匠の世話人							
ウクラマトと工房内を観察した。釉薬の工房前の「ラコロク」と話そう。			ウクラマトと工房内を観察した。釉薬の工房前の「ラコロク」と話そう。			壺匠の世話人							
手分けしてカーヘの望みを叶えることになった。風生みの結晶を探しに行くため、コザマル・カのアースンシャイア南西にある「指定地点」で見渡し、洞窟を見つけよう。			手分けしてカーヘの望みを叶えることになった。風生みの結晶を探しに行くため、コザマル・カのアースンシャイア南西にある「指定地点」で見渡し、洞窟を見つけよう。			壺匠の世話人							
指定地点で見渡していると、コーナとサンクレッドと出会った。コザマル・カの敗者の船で「風生みの結晶」を探そう。			指定地点で見渡していると、コーナとサンクレッドと出会った。コザマル・カの敗者の船で「風生みの結晶」を探そう。			壺匠の世話人							
風生みの結晶を入手した。釉薬の工房前の「ラコロク」に「風生みの結晶」を渡そう。			風生みの結晶を入手した。釉薬の工房前の「ラコロク」に「風生みの結晶」を渡そう。			壺匠の世話人							
カーヘは、見事なオイルランプを創った。そこへ、試練の開始を伝えにコーナがやってくる。釉薬の工房の「ラコロク」と話そう。			カーヘは、見事なオイルランプを創った。そこへ、試練の開始を伝えにコーナがやってくる。釉薬の工房の「ラコロク」と話そう。			壺匠の世話人							
ラコロクは、冒険者たちに感謝した。次は壺の試練に挑もう。			ラコロクは、冒険者たちに感謝した。次は壺の試練に挑もう。			壺匠の世話人							
ウクラマトと話す			ウクラマトと話す			壺匠の世話人							
ラコロクと話す			ラコロクと話す			壺匠の世話人							
指定地点で見渡す			指定地点で見渡す			壺匠の世話人							
風生みの結晶を探す			風生みの結晶を探す			壺匠の世話人							
ラコロクに風生みの結晶を渡す			ラコロクに風生みの結晶を渡す			壺匠の世話人							
ラコロクと話す			ラコロクと話す			壺匠の世話人							
試練を受けるために、まずは壺匠の問題を解決しようぜ！			試練を受けるために、まずは壺匠の問題を解決しようぜ！			壺匠の世話人							
フゴォ……フゴォ……ふたりに　お願いしたいのは！カーヘという名の壺匠のため　最高の環境　用意すること！			フゴォ……フゴォ……ふたりに　お願いしたいのは！カーヘという名の壺匠のため　最高の環境　用意すること！			壺匠の世話人							
元々　彼を担当してた　世話人　別人だったけど……大ケガ負って　負傷中……モブが代わりに　引き受けた！でもでもモブは　カーヘを知らない！			元々　彼を担当してた　世話人　別人だったけど……大ケガ負って　負傷中……モブが代わりに　引き受けた！でもでもモブは　カーヘを知らない！			壺匠の世話人							
何したいか　何ほしいか　全然まったくわからない！直接要望　尋ねてしまう　世話人の恥！気を使わせず　すべてを用意　それが世話人　役目モブ！			何したいか　何ほしいか　全然まったくわからない！直接要望　尋ねてしまう　世話人の恥！気を使わせず　すべてを用意　それが世話人　役目モブ！			壺匠の世話人							
だから一緒に　考えて！カーヘ何したいか　何ほしいか　彼の望みを考えて！			だから一緒に　考えて！カーヘ何したいか　何ほしいか　彼の望みを考えて！			壺匠の世話人							
よっしゃ、アタシらに任せとけ！			よっしゃ、アタシらに任せとけ！			壺匠の世話人							
カーヘのほかにも　まだまだたくさん　お世話待つ壺匠いる！モブたち　寝ないで　頑張ってるけど人手不足で追いつかない！			カーヘのほかにも　まだまだたくさん　お世話待つ壺匠いる！モブたち　寝ないで　頑張ってるけど人手不足で追いつかない！			壺匠の世話人							
この工房の中にカーヘがいるんだな？			この工房の中にカーヘがいるんだな？			壺匠の世話人							
よし、さっそく入って様子をうかがってみようぜ！			よし、さっそく入って様子をうかがってみようぜ！			壺匠の世話人							
あいつが壺匠のカーヘか。世話人への要望を直接、聞ければ早いんだけど……それは御法度らしいからな。			あいつが壺匠のカーヘか。世話人への要望を直接、聞ければ早いんだけど……それは御法度らしいからな。			壺匠の世話人							
工房の中を観察して、カーヘの望みを推理してみようぜ！			工房の中を観察して、カーヘの望みを推理してみようぜ！			壺匠の世話人							
釉薬の工房内の観察を開始します。気になる部分にズームし、左クリック[???]ボタン/[???]ボタンで確認しましょう！			釉薬の工房内の観察を開始します。気になる部分にズームし、左クリック[???]ボタン/[???]ボタンで確認しましょう！			壺匠の世話人							
ひととおり観察してわかったぜ。カーヘが望んでいるであろうことがな……！			ひととおり観察してわかったぜ。カーヘが望んでいるであろうことがな……！			壺匠の世話人							
よし、外に出てラコロクと話し合うぞ！			よし、外に出てラコロクと話し合うぞ！			壺匠の世話人							
工房内を見て感じたことを、ラコロクに伝えようぜ！			工房内を見て感じたことを、ラコロクに伝えようぜ！			壺匠の世話人							
フゴォ……フゴォ……工房観察して　何かわかった？			フゴォ……フゴォ……工房観察して　何かわかった？			壺匠の世話人							
まず、メシに一切手をつけてないのが気になったな。腹が減ったら集中力が落ちるだろうに……。			まず、メシに一切手をつけてないのが気になったな。腹が減ったら集中力が落ちるだろうに……。			壺匠の世話人							
もしかしてよ、お前らが作るメシが、カーヘの好みと合わないんじゃねぇか？			もしかしてよ、お前らが作るメシが、カーヘの好みと合わないんじゃねぇか？			壺匠の世話人							
とてとて　美味しい料理なのに……お腹いっぱい　思ってた！			とてとて　美味しい料理なのに……お腹いっぱい　思ってた！			壺匠の世話人							
でもでも　モブはわからない！カーヘの好み　なんにも知らない！			でもでも　モブはわからない！カーヘの好み　なんにも知らない！			壺匠の世話人							
アタシに任せろ。カーヘは、コーナ兄さんと同じヘイザ・アロ族だからな。大まかな得意不得意くらいなら想像がつくぜ。			アタシに任せろ。カーヘは、コーナ兄さんと同じヘイザ・アロ族だからな。大まかな得意不得意くらいなら想像がつくぜ。			壺匠の世話人							
ヘイザ・アロ族は猫舌だから、あのアツアツの料理には手をつけられなかったんだろうさ。かと言って、冷ませば不味くなっちまう。			ヘイザ・アロ族は猫舌だから、あのアツアツの料理には手をつけられなかったんだろうさ。かと言って、冷ませば不味くなっちまう。			壺匠の世話人							
つまり、冷めても美味い料理を用意すりゃいいんだよ！			つまり、冷めても美味い料理を用意すりゃいいんだよ！			壺匠の世話人							
なるほど　それなら　王女様！ヘイザ・アロ族の　好みについて……調理担当モブリンに　助言頼める？			なるほど　それなら　王女様！ヘイザ・アロ族の　好みについて……調理担当モブリンに　助言頼める？			壺匠の世話人							
おう、任せな。ただカーヘが集中できない理由は、ひとつじゃねぇと思う。			おう、任せな。ただカーヘが集中できない理由は、ひとつじゃねぇと思う。			壺匠の世話人							
乾燥した荒野地帯出身で、暑さに慣れてるヘイザ・アロ族でも、炉の前で仕事するのはつらそうだったぜ。何か涼しくする方法はねぇのか？			乾燥した荒野地帯出身で、暑さに慣れてるヘイザ・アロ族でも、炉の前で仕事するのはつらそうだったぜ。何か涼しくする方法はねぇのか？			壺匠の世話人							
それなら　涼しい風を吹かせる　風生みの結晶がピッタリ！			それなら　涼しい風を吹かせる　風生みの結晶がピッタリ！			壺匠の世話人							
そいつは、どこで手に入るんだ？			そいつは、どこで手に入るんだ？			壺匠の世話人							
「敗者の船」で　拾えるはずモブ！黄金郷を　探したけれど　見つからなくて諦めて……船乗りたちが　捨てていった　廃船沈んだ場所のこと！			「敗者の船」で　拾えるはずモブ！黄金郷を　探したけれど　見つからなくて諦めて……船乗りたちが　捨てていった　廃船沈んだ場所のこと！			壺匠の世話人							
座礁した船から回収しろってことか。そっちはお前に頼んでもいいか？			座礁した船から回収しろってことか。そっちはお前に頼んでもいいか？			壺匠の世話人							
そうそう。あと、カーヘの彫金道具がかなりすり減ってるみたいだったぜ。新しい物に変えた方が、作業が捗るんじゃねぇか？			そうそう。あと、カーヘの彫金道具がかなりすり減ってるみたいだったぜ。新しい物に変えた方が、作業が捗るんじゃねぇか？			壺匠の世話人							
なんとなんと　それ問題！素材の用意に　気を取られ　大事なことを　見逃してた！道具調達　モブの責任　新品の道具　用意するモブ！			なんとなんと　それ問題！素材の用意に　気を取られ　大事なことを　見逃してた！道具調達　モブの責任　新品の道具　用意するモブ！			壺匠の世話人							
それぞれ、やるべきことが決まったな！終わったらここで集まろうぜ。			それぞれ、やるべきことが決まったな！終わったらここで集まろうぜ。			壺匠の世話人							
「敗者の船」は　岩山向こう！集落を西に出たら　すぐに周りを見渡し　トンネル探して！その先　抜ければ　見つかるはずモブ！			「敗者の船」は　岩山向こう！集落を西に出たら　すぐに周りを見渡し　トンネル探して！その先　抜ければ　見つかるはずモブ！			壺匠の世話人							
あなたは、ラマチの……こんなところで何を？			あなたは、ラマチの……こんなところで何を？			壺匠の世話人							
ああ、壺匠の世話を頼まれたのですね。			ああ、壺匠の世話を頼まれたのですね。			壺匠の世話人							
僕も同様の相談を受けたので、金細工を作りたいなら、シャーレアンに発注すればいいと助言をしたのです。かの都市には確かな技術力がありますから。			僕も同様の相談を受けたので、金細工を作りたいなら、シャーレアンに発注すればいいと助言をしたのです。かの都市には確かな技術力がありますから。			壺匠の世話人							
しかし、どうやらそれは彼らが望む解決法ではなかったようで、採り入れてはもらえませんでしたがね。			しかし、どうやらそれは彼らが望む解決法ではなかったようで、採り入れてはもらえませんでしたがね。			壺匠の世話人							
能力も思想もバラバラな個人に依頼するよりも、より洗練された集団に任せた方が効率が良いはずなのに……なぜ壺匠にこだわるのか理解できませんよ。			能力も思想もバラバラな個人に依頼するよりも、より洗練された集団に任せた方が効率が良いはずなのに……なぜ壺匠にこだわるのか理解できませんよ。			壺匠の世話人							
さあ、どうだかな。「壺の試練」とやらと向き合うことで、わかることもあるかもしれない。			さあ、どうだかな。「壺の試練」とやらと向き合うことで、わかることもあるかもしれない。			壺匠の世話人							
とまぁ、俺たちに壺匠の世話は務まらないと思われたのか、代わりに怪我したモブリン族の治療を頼まれたわけだ。今はウリエンジェ先生のおつかいで、薬草を調達した帰りさ。			とまぁ、俺たちに壺匠の世話は務まらないと思われたのか、代わりに怪我したモブリン族の治療を頼まれたわけだ。今はウリエンジェ先生のおつかいで、薬草を調達した帰りさ。			壺匠の世話人							
コザマル・カでも、大嵐の影響で集落が孤立してしまっている。僕らが来なければ、負傷したモブリン族がどうなっていたか。			コザマル・カでも、大嵐の影響で集落が孤立してしまっている。僕らが来なければ、負傷したモブリン族がどうなっていたか。			壺匠の世話人							
王位についたらすぐに、王都との交通路を整備しなくては。シャーレアンへの留学で学んだ技術を使って、みんなの暮らしをもっと豊かにしてみせる……。			王位についたらすぐに、王都との交通路を整備しなくては。シャーレアンへの留学で学んだ技術を使って、みんなの暮らしをもっと豊かにしてみせる……。			壺匠の世話人							
失礼。つい考えごとに集中していました。			失礼。つい考えごとに集中していました。			壺匠の世話人							
それでは、僕たちはこれで。			それでは、僕たちはこれで。			壺匠の世話人							
じゃあな、そっちも気をつけろよ。			じゃあな、そっちも気をつけろよ。			壺匠の世話人							
ラコロクから聞いたトンネルを見つけた。トンネルを通って「敗者の船」に向かい、「風生みの結晶」を探そう。			ラコロクから聞いたトンネルを見つけた。トンネルを通って「敗者の船」に向かい、「風生みの結晶」を探そう。			壺匠の世話人							
赤色に光輝く結晶は仄かに熱を帯びている。探している風生みの結晶ではなさそうだ。			赤色に光輝く結晶は仄かに熱を帯びている。探している風生みの結晶ではなさそうだ。			壺匠の世話人							
青色に光輝く結晶は水を噴きだしている。探している風生みの結晶ではなさそうだ。			青色に光輝く結晶は水を噴きだしている。探している風生みの結晶ではなさそうだ。			壺匠の世話人							
緑色に光輝く結晶は涼しげな風を放っている。探している風生みの結晶で間違いなさそうだ。			緑色に光輝く結晶は涼しげな風を放っている。探している風生みの結晶で間違いなさそうだ。			壺匠の世話人							
フゴォ……フゴォ……お願いした　「風生みの結晶」！手に入ったなら　渡してちょうだい！			フゴォ……フゴォ……お願いした　「風生みの結晶」！手に入ったなら　渡してちょうだい！			壺匠の世話人							
フゴォ……フゴォ……風生みの結晶　入手感謝！こっちも　ばっちり　道具調達！			フゴォ……フゴォ……風生みの結晶　入手感謝！こっちも　ばっちり　道具調達！			壺匠の世話人							
アタシの方もヘイザ・アロ族が、思わずがっつくような料理が用意できたぜ。もうすぐ運ばれてくるはずだ！			アタシの方もヘイザ・アロ族が、思わずがっつくような料理が用意できたぜ。もうすぐ運ばれてくるはずだ！			壺匠の世話人							
そんじゃさっそく、壺匠殿をもてなしてやるか！			そんじゃさっそく、壺匠殿をもてなしてやるか！			壺匠の世話人							
君たちが突然押しかけてきたときは何かと思ったが……			君たちが突然押しかけてきたときは何かと思ったが……			壺匠の世話人							
美味い料理、快適な空調、そして洗練された仕事道具……。これぞまさに、私が求める最高の創作環境だ！			美味い料理、快適な空調、そして洗練された仕事道具……。これぞまさに、私が求める最高の創作環境だ！			壺匠の世話人							
お三方の素晴らしいもてなしに感謝する！ここまでしてもらったのだ、最高の作品でお応えしよう！			お三方の素晴らしいもてなしに感謝する！ここまでしてもらったのだ、最高の作品でお応えしよう！			壺匠の世話人							
ヴォロク連王宮に献上するオイルランプだ。この出来栄えなら、モブリン族の顔を汚さずに済むだろう。			ヴォロク連王宮に献上するオイルランプだ。この出来栄えなら、モブリン族の顔を汚さずに済むだろう。			壺匠の世話人							
フゴォ……フゴォ……この艶　輝き　最高傑作！さすがは壺匠　腕利き職人！			フゴォ……フゴォ……この艶　輝き　最高傑作！さすがは壺匠　腕利き職人！			壺匠の世話人							
ありがとう。遅れを取り戻すべく、この調子でどんどん作っていくとも。			ありがとう。遅れを取り戻すべく、この調子でどんどん作っていくとも。			壺匠の世話人							
私はそのために、契約を結んだのだからね！			私はそのために、契約を結んだのだからね！			壺匠の世話人							
盛り上がっているところ、失礼します。			盛り上がっているところ、失礼します。			壺匠の世話人							
ラマチ、集落の状況が落ち着いてきたらしい。そろそろ試練を始められる見込み、とのことだよ。			ラマチ、集落の状況が落ち着いてきたらしい。そろそろ試練を始められる見込み、とのことだよ。			壺匠の世話人							
お、そうなのか！わざわざ教えにきてくれて、ありがとな！			お、そうなのか！わざわざ教えにきてくれて、ありがとな！			壺匠の世話人							
それが壺匠の手による作品ですか。なるほど、確かに素晴らしい出来栄えです。			それが壺匠の手による作品ですか。なるほど、確かに素晴らしい出来栄えです。			壺匠の世話人							
お褒めの言葉をありがとう。自然豊かなコザマル・カだからこそ得られる、インスピレーションを創作にぶつけてみたんだ。			お褒めの言葉をありがとう。自然豊かなコザマル・カだからこそ得られる、インスピレーションを創作にぶつけてみたんだ。			壺匠の世話人							
なぜ便利なトライヨラに工房を開かないのか、疑問でしたが、そうした利点もあるのか……。			なぜ便利なトライヨラに工房を開かないのか、疑問でしたが、そうした利点もあるのか……。			壺匠の世話人							
いくら技術に秀でたシャーレアンでも、一朝一夕で真似できるものではありませんね。			いくら技術に秀でたシャーレアンでも、一朝一夕で真似できるものではありませんね。			壺匠の世話人							
創作意欲がなければ、良い物は作れないからね。もっとも、基礎的な技術を身につけようと思えば、トライヨラで働くのは非常に有意義だ。			創作意欲がなければ、良い物は作れないからね。もっとも、基礎的な技術を身につけようと思えば、トライヨラで働くのは非常に有意義だ。			壺匠の世話人							
私なんかは、ヘイザ・アロ族の中でも、古典的な暮らしをする一団の生まれだったから……多部族によって洗練された技術には驚いたものだよ。			私なんかは、ヘイザ・アロ族の中でも、古典的な暮らしをする一団の生まれだったから……多部族によって洗練された技術には驚いたものだよ。			壺匠の世話人							
