自由弁論館の水晶公は、とっておきの提案があるようだ。			自由弁論館の水晶公は、とっておきの提案があるようだ。			クリスタリウムの意気							
星見の間で、水晶公とランジートの対談に立ち会った。クリスタリウムの博物陳列館にいる「モーレン」と話そう。			星見の間で、水晶公とランジートの対談に立ち会った。クリスタリウムの博物陳列館にいる「モーレン」と話そう。			招かれざる客							
モーレンから本を探すよう頼まれた。博物陳列館の「巨大な本棚」を調べ「光の巫女の物語」を入手しよう。			モーレンから本を探すよう頼まれた。博物陳列館の「巨大な本棚」を調べ「光の巫女の物語」を入手しよう。			招かれざる客							
目的の本を手に入れた。博物陳列館の「モーレン」に「光の巫女の物語」を渡そう。			目的の本を手に入れた。博物陳列館の「モーレン」に「光の巫女の物語」を渡そう。			招かれざる客							
モーレンから光の巫女ミンフィリアについて聞いた。クリスタリウムの自由弁論館にいる「アルフィノ」と話そう。			モーレンから光の巫女ミンフィリアについて聞いた。クリスタリウムの自由弁論館にいる「アルフィノ」と話そう。			招かれざる客							
アルフィノたちと話し、ミンフィリア救出の意志を固めた。そこに現れた水晶公は、彼女の救出を、クリスタリウムに任せてはどうかと提案してきたが……。			アルフィノたちと話し、ミンフィリア救出の意志を固めた。そこに現れた水晶公は、彼女の救出を、クリスタリウムに任せてはどうかと提案してきたが……。			招かれざる客							
星見の間に向かう			星見の間に向かう			招かれざる客							
博物陳列館のモーレンと話す			博物陳列館のモーレンと話す			招かれざる客							
巨大な本棚から光の巫女の物語を入手			巨大な本棚から光の巫女の物語を入手			招かれざる客							
モーレンに光の巫女の物語を渡す			モーレンに光の巫女の物語を渡す			招かれざる客							
アルフィノと話す			アルフィノと話す			招かれざる客							
おや、お目覚めになられたのですね。これからお出かけですか？			おや、お目覚めになられたのですね。これからお出かけですか？			招かれざる客							
だとしたら、街の外には出ない方がいいかもしれません。なんでも、ユールモア軍の飛空艇が突然やってきて、湖畔に駐留しはじめたらしいのです。			だとしたら、街の外には出ない方がいいかもしれません。なんでも、ユールモア軍の飛空艇が突然やってきて、湖畔に駐留しはじめたらしいのです。			招かれざる客							
今、水晶公が「星見の間」で対応に当たっているようですが、やはり、夜の闇を取り戻したことについての尋問でしょうか。軍隊を連れてくるなんて、不穏ですね……。			今、水晶公が「星見の間」で対応に当たっているようですが、やはり、夜の闇を取り戻したことについての尋問でしょうか。軍隊を連れてくるなんて、不穏ですね……。			招かれざる客							
あなたは、博物陳列館に向かうといい。それにしても、本当にミンフィリアが捕まったというのなら、「彼」が沈黙しているはずはないのだが……。			あなたは、博物陳列館に向かうといい。それにしても、本当にミンフィリアが捕まったというのなら、「彼」が沈黙しているはずはないのだが……。			招かれざる客							
ユールモア軍の動向については、引き続き確認しておきます。			ユールモア軍の動向については、引き続き確認しておきます。			招かれざる客							
最後にミンフィリアと会ったのは、ちょうど、「闇の戦士」にまつわる戦いをしていたときだったね。			最後にミンフィリアと会ったのは、ちょうど、「闇の戦士」にまつわる戦いをしていたときだったね。			招かれざる客							
ミンフィリアについて、前に説明は受けてたんだけど……私もまだ、理解しきれてないのよね。			ミンフィリアについて、前に説明は受けてたんだけど……私もまだ、理解しきれてないのよね。			招かれざる客							
おや、みなさんどうなさったのですか？「闇の戦士」や夜にまつわる本でしたら、人気急上昇につき、ほとんど貸し出し中ですが……。			おや、みなさんどうなさったのですか？「闇の戦士」や夜にまつわる本でしたら、人気急上昇につき、ほとんど貸し出し中ですが……。			招かれざる客							
なるほど、「光の巫女ミンフィリア」について学びたいと！ええ、ええ、喜んでご協力いたしますともっ！			なるほど、「光の巫女ミンフィリア」について学びたいと！ええ、ええ、喜んでご協力いたしますともっ！			招かれざる客							
僕は急いで今の作業を終わらせてしまうので、その間に、説明に使う本を探してきてください。			僕は急いで今の作業を終わらせてしまうので、その間に、説明に使う本を探してきてください。			招かれざる客							
『光の巫女の物語』という題の本です。これは児童書でありながら実にうまくまとめられた本で、彼女について学ぶのであれば、最初の1冊として外せない……			『光の巫女の物語』という題の本です。これは児童書でありながら実にうまくまとめられた本で、彼女について学ぶのであれば、最初の1冊として外せない……			招かれざる客							
……っと、そのへんはどうでもいいですよね、ハイ。ともかくその『光の巫女の物語』は、普段ならひとつ下にある本棚に収められています。			……っと、そのへんはどうでもいいですよね、ハイ。ともかくその『光の巫女の物語』は、普段ならひとつ下にある本棚に収められています。			招かれざる客							
ただ時折、借りた本をもとの位置に戻さない人がいるので……もしないようでしたら、ほかの棚も探してみてください。			ただ時折、借りた本をもとの位置に戻さない人がいるので……もしないようでしたら、ほかの棚も探してみてください。			招かれざる客							
『光の巫女の物語』は、普段ならひとつ下にある本棚に収められています。もしないようでしたら、ほかの棚も探してみてください。			『光の巫女の物語』は、普段ならひとつ下にある本棚に収められています。もしないようでしたら、ほかの棚も探してみてください。			招かれざる客							
ここにはないようだな……。			ここにはないようだな……。			招かれざる客							
それにしても大きな本棚よね。脚立、借りてこようかしら？			それにしても大きな本棚よね。脚立、借りてこようかしら？			招かれざる客							
ここには、目的の本はないようだ。			ここには、目的の本はないようだ。			招かれざる客							
『光の巫女の物語』を発見した！			『光の巫女の物語』を発見した！			招かれざる客							
本が見つかったのかい？			本が見つかったのかい？			招かれざる客							
あら、その手に持ってる本って……。			あら、その手に持ってる本って……。			招かれざる客							
どうでしょう？『光の巫女の物語』は見つかりましたか？			どうでしょう？『光の巫女の物語』は見つかりましたか？			招かれざる客							
ああ、間違いありません！探してきてくださって、ありがとうございます。			ああ、間違いありません！探してきてくださって、ありがとうございます。			招かれざる客							
僕の作業も、もうじき一区切りがつきますので、あとのおふたりも呼んで、光の巫女にまつわるお話をいたしましょう。			僕の作業も、もうじき一区切りがつきますので、あとのおふたりも呼んで、光の巫女にまつわるお話をいたしましょう。			招かれざる客							
それでは、はじめさせていただきます。			それでは、はじめさせていただきます。			招かれざる客							
ことのはじまりは、100年前の「光の氾濫」。ノルヴラントを呑まんとしていた光の波が、ひとりの女性によって止められたことでした。			ことのはじまりは、100年前の「光の氾濫」。ノルヴラントを呑まんとしていた光の波が、ひとりの女性によって止められたことでした。			招かれざる客							
金の髪に、水晶色の目を持つ女性……誰かがその背に「ミンフィリア」と声をかけたことから、のちに「光の巫女ミンフィリア」と名付けられました。			金の髪に、水晶色の目を持つ女性……誰かがその背に「ミンフィリア」と声をかけたことから、のちに「光の巫女ミンフィリア」と名付けられました。			招かれざる客							
彼女は氾濫を止めると同時に消えてしまいましたが、およそ15年後、再びその名前が歴史の表舞台に現れるのです。			彼女は氾濫を止めると同時に消えてしまいましたが、およそ15年後、再びその名前が歴史の表舞台に現れるのです。			招かれざる客							
きっかけは、罪喰いによって襲撃を受けたフッブート王国にて、罪喰い化に耐性のある少女が発見されたことでした。			きっかけは、罪喰いによって襲撃を受けたフッブート王国にて、罪喰い化に耐性のある少女が発見されたことでした。			招かれざる客							
伝説の光の巫女と同じ、金の髪と水晶色の目を有していたため、彼女もまた「ミンフィリア」と呼ばれるようになりました。			伝説の光の巫女と同じ、金の髪と水晶色の目を有していたため、彼女もまた「ミンフィリア」と呼ばれるようになりました。			招かれざる客							
ミンフィリアは、当時のユールモア軍に合流し、数多くの罪喰いを討伐しました。			ミンフィリアは、当時のユールモア軍に合流し、数多くの罪喰いを討伐しました。			招かれざる客							
しかし彼女も、とめどのない罪喰いとの戦いで、ついには傷つき倒れてしまいました。			しかし彼女も、とめどのない罪喰いとの戦いで、ついには傷つき倒れてしまいました。			招かれざる客							
死の間際、彼女は悲しむ仲間たちに、「ミンフィリアはまた生まれてくる」と語ったそうです。			死の間際、彼女は悲しむ仲間たちに、「ミンフィリアはまた生まれてくる」と語ったそうです。			招かれざる客							
……数年後、彼女の言葉どおりに、同じ特徴をもった、罪喰い化に耐性のある少女が見つかりました。ミンフィリアは、本当に生まれ変わったのです。			……数年後、彼女の言葉どおりに、同じ特徴をもった、罪喰い化に耐性のある少女が見つかりました。ミンフィリアは、本当に生まれ変わったのです。			招かれざる客							
新しいミンフィリアもまた、ユールモア軍に保護されて、罪喰いと戦い、その果てに亡くなりました。それが幾度も繰り返されて、今日に至るのです……。			新しいミンフィリアもまた、ユールモア軍に保護されて、罪喰いと戦い、その果てに亡くなりました。それが幾度も繰り返されて、今日に至るのです……。			招かれざる客							
……というのが、『光の巫女の物語』の概要です。			……というのが、『光の巫女の物語』の概要です。			招かれざる客							
彼女たちが命懸けで戦ってくれたことが、これまで何度も、ノルヴラントの危機を救ってきました。			彼女たちが命懸けで戦ってくれたことが、これまで何度も、ノルヴラントの危機を救ってきました。			招かれざる客							
大罪喰いという存在と、その性質を知ることができたのも、ミンフィリアたちの功労だと言われています。			大罪喰いという存在と、その性質を知ることができたのも、ミンフィリアたちの功労だと言われています。			招かれざる客							
ということは、ミンフィリアはかなり強いのね……？			ということは、ミンフィリアはかなり強いのね……？			招かれざる客							
……どうでしょう。光の巫女は、特徴こそ生まれ変わっても継承しているものの、記憶や知識まで継いでいるわけではないそうです。			……どうでしょう。光の巫女は、特徴こそ生まれ変わっても継承しているものの、記憶や知識まで継いでいるわけではないそうです。			招かれざる客							
つまり、発見された時点では誰しも、戦いの経験を持たない、普通の女の子だった……。			つまり、発見された時点では誰しも、戦いの経験を持たない、普通の女の子だった……。			招かれざる客							
そこから努力をして……あるいは周りに強いられて、罪喰いとの戦いの最前線に上がったわけです。真実に至るのにだって、多くの犠牲を払ったことでしょう。			そこから努力をして……あるいは周りに強いられて、罪喰いとの戦いの最前線に上がったわけです。真実に至るのにだって、多くの犠牲を払ったことでしょう。			招かれざる客							
モーレン、君は「今」のミンフィリアについて、何か知っているかい？			モーレン、君は「今」のミンフィリアについて、何か知っているかい？			招かれざる客							
現在のミンフィリアは、10年ほど前にユールモア軍が発見、保護した子です。			現在のミンフィリアは、10年ほど前にユールモア軍が発見、保護した子です。			招かれざる客							
ただ、その当時すでに、ユールモアはヴァウスリーによって方向転換していた……。			ただ、その当時すでに、ユールモアはヴァウスリーによって方向転換していた……。			招かれざる客							
保護というのは建前で、実際は罪喰いを倒し得る彼女を、危険因子として手元で管理しておきたかったのだと思います。いわば幽閉、監禁です。			保護というのは建前で、実際は罪喰いを倒し得る彼女を、危険因子として手元で管理しておきたかったのだと思います。いわば幽閉、監禁です。			招かれざる客							
以来、ミンフィリアについての情報は完璧に遮断され、外部からは、生存の確認さえできなくなりました。			以来、ミンフィリアについての情報は完璧に遮断され、外部からは、生存の確認さえできなくなりました。			招かれざる客							
しかし、ついに3年前、心ある勇士がユールモアに潜り込み、彼女を逃がしたらしいのです。まるで物語に出てくるヒーローですね！			しかし、ついに3年前、心ある勇士がユールモアに潜り込み、彼女を逃がしたらしいのです。まるで物語に出てくるヒーローですね！			招かれざる客							
……なるほど、よくわかった。貴重な話をありがとう。			……なるほど、よくわかった。貴重な話をありがとう。			招かれざる客							
さて、Forename。これらの情報をふまえた上で、話をしたいのだが……この部屋を出たところにある会議場まで来てくれるかい？			さて、Forename。これらの情報をふまえた上で、話をしたいのだが……この部屋を出たところにある会議場まで来てくれるかい？			招かれざる客							
確かにここなら、もう少し込み入った話もできそうね。			確かにここなら、もう少し込み入った話もできそうね。			招かれざる客							
君ならもう気づいているかもしれないが……3年前にミンフィリアを助け出したのは、サンクレッドだ。			君ならもう気づいているかもしれないが……3年前にミンフィリアを助け出したのは、サンクレッドだ。			招かれざる客							
水晶公から聞いた話によれば、以来彼はミンフィリアを連れて旅暮らしをしているらしい。それで私たちも、こちらではまだ会えていないんだ。			水晶公から聞いた話によれば、以来彼はミンフィリアを連れて旅暮らしをしているらしい。それで私たちも、こちらではまだ会えていないんだ。			招かれざる客							
私たちの知る、原初世界のミンフィリアは、ハイデリンの使徒として、「光の氾濫」を止めるために第一世界に旅立ったわよね。			私たちの知る、原初世界のミンフィリアは、ハイデリンの使徒として、「光の氾濫」を止めるために第一世界に旅立ったわよね。			招かれざる客							
それがきっと、第一世界の人たちが見た、最初のミンフィリアだった……。			それがきっと、第一世界の人たちが見た、最初のミンフィリアだった……。			招かれざる客							
とすれば、その生まれ変わりだという今のミンフィリアも、大元の彼女と無関係ってわけじゃないんでしょうけど……それでもやっぱり、記憶すら継いでいない別人でしょう？			とすれば、その生まれ変わりだという今のミンフィリアも、大元の彼女と無関係ってわけじゃないんでしょうけど……それでもやっぱり、記憶すら継いでいない別人でしょう？			招かれざる客							
サンクレッドは……わかっているのかしら。			サンクレッドは……わかっているのかしら。			招かれざる客							
当然、理解はしているだろう。それをどう思っているかまでは、答えようもないがね。			当然、理解はしているだろう。それをどう思っているかまでは、答えようもないがね。			招かれざる客							
何にせよ、これまでミンフィリアと共にいたサンクレッドが、急に彼女を見放すとは思えない。			何にせよ、これまでミンフィリアと共にいたサンクレッドが、急に彼女を見放すとは思えない。			招かれざる客							
今、ユールモア軍に彼女が捕まったというのなら、サンクレッドの安否も気になるところだ。			今、ユールモア軍に彼女が捕まったというのなら、サンクレッドの安否も気になるところだ。			招かれざる客							
まわりくどいわねぇ。つまるところ、捕まったミンフィリアの様子を見に行きたい、っていうか助けてあげたいって言いたいんでしょ？			まわりくどいわねぇ。つまるところ、捕まったミンフィリアの様子を見に行きたい、っていうか助けてあげたいって言いたいんでしょ？			招かれざる客							
ま、私も同感なんだけどね。			ま、私も同感なんだけどね。			招かれざる客							
罪喰い化に耐性があるってことはきっと、元のミンフィリアから、Forenameと同じ、光の加護を受け継いでるんだわ。			罪喰い化に耐性があるってことはきっと、元のミンフィリアから、Forenameと同じ、光の加護を受け継いでるんだわ。			招かれざる客							
だったら、むざむざ敵の手に渡すより、仲間になってもらった方がいいじゃない？			だったら、むざむざ敵の手に渡すより、仲間になってもらった方がいいじゃない？			招かれざる客							
何と言う？			何と言う？			招かれざる客							
自分も同感だ			自分も同感だ			招かれざる客							
ふたりがそう言うなら……			ふたりがそう言うなら……			招かれざる客							
(-？？？？-)意志は固まったようだな。			(-？？？？-)意志は固まったようだな。			招かれざる客							
水晶公！どうしてここに……？			水晶公！どうしてここに……？			招かれざる客							
ふむ……。報告がひとつと、提案がひとつ。あなた方に、いち早く伝えようと思ったのだ。			ふむ……。報告がひとつと、提案がひとつ。あなた方に、いち早く伝えようと思ったのだ。			招かれざる客							
まず、報告だが……偵察部隊によって、ラクサン城に駐留しているユールモア軍が、ミンフィリアを捕縛しているという確証がとれた。			まず、報告だが……偵察部隊によって、ラクサン城に駐留しているユールモア軍が、ミンフィリアを捕縛しているという確証がとれた。			招かれざる客							
今はまだ城内に留め置かれているようだが、いつ本国に移送されるかわからない状態だ。そうなると、彼女を救出するのは非常に難しくなる。			今はまだ城内に留め置かれているようだが、いつ本国に移送されるかわからない状態だ。そうなると、彼女を救出するのは非常に難しくなる。			招かれざる客							
だとしたら、とっとと行動を起こした方がよさそうね……。			だとしたら、とっとと行動を起こした方がよさそうね……。			招かれざる客							
そこで、提案の方だ。			そこで、提案の方だ。			招かれざる客							
ミンフィリアの救出は、私と、このクリスタリウムの街に、任せてみてはくれないだろうか？			ミンフィリアの救出は、私と、このクリスタリウムの街に、任せてみてはくれないだろうか？			招かれざる客							
テメノスルカリー牧場のゼム・ジェンマイは、何かに思い当たったようだ。			テメノスルカリー牧場のゼム・ジェンマイは、何かに思い当たったようだ。			帯の道を進め！							
ゼム・ジェンマイと話す			ゼム・ジェンマイと話す			帯の道を進め！							
アマロに騎乗して物見塔の衛兵のもとへ向かう			アマロに騎乗して物見塔の衛兵のもとへ向かう			帯の道を進め！							
アマロに騎乗してゼリ・ヴァンシューのもとへ向かう			アマロに騎乗してゼリ・ヴァンシューのもとへ向かう			帯の道を進め！							
ゼリ・ヴァンシューと話す			ゼリ・ヴァンシューと話す			帯の道を進め！							
ライナと話す			ライナと話す			帯の道を進め！							
ちょうど今から、ドリームパウダーの散布にあたるアマロを1体、レイクランドの拠点に届けるところなんだ。			ちょうど今から、ドリームパウダーの散布にあたるアマロを1体、レイクランドの拠点に届けるところなんだ。			帯の道を進め！							
届け先は、君が目指す「オスタル厳命城」の手前にある、「ラディスカ物見塔」でね。そこまででよければ、君が乗っていくといい。			届け先は、君が目指す「オスタル厳命城」の手前にある、「ラディスカ物見塔」でね。そこまででよければ、君が乗っていくといい。			帯の道を進め！							
……では、すぐにアマロの準備をして、出発しよう。			……では、すぐにアマロの準備をして、出発しよう。			帯の道を進め！							
では、このアマロに乗って、北西にある「ラディスカ物見塔」を目指してくれ。訓練を受けている子だから、飛行も可能だよ。			では、このアマロに乗って、北西にある「ラディスカ物見塔」を目指してくれ。訓練を受けている子だから、飛行も可能だよ。			帯の道を進め！							
「物見塔の衛兵」のそばまで行けば、あとのことは、指示してくれるはずだ。			「物見塔の衛兵」のそばまで行けば、あとのことは、指示してくれるはずだ。			帯の道を進め！							
もし途中で降りるようなことがあっても、アマロはここへと戻ってくるはずだから、焦らなくていい。では、君が良い乗り手たらんことを。			もし途中で降りるようなことがあっても、アマロはここへと戻ってくるはずだから、焦らなくていい。では、君が良い乗り手たらんことを。			帯の道を進め！							
アマロなら、ここへと戻ってきているよ。さあ、もう一度乗せてあげよう。			アマロなら、ここへと戻ってきているよ。さあ、もう一度乗せてあげよう。			帯の道を進め！							
急いでアマロたちの準備を整えないと……！			急いでアマロたちの準備を整えないと……！			帯の道を進め！							
あっ、もしかして、アマロを配備しにきてくれたんですか！？			あっ、もしかして、アマロを配備しにきてくれたんですか！？			帯の道を進め！							
すみません、ちょうど今しがた、風向きを考慮して計画に変更があって……。ここのアマロは、今いる子だけで十分なんです！			すみません、ちょうど今しがた、風向きを考慮して計画に変更があって……。ここのアマロは、今いる子だけで十分なんです！			帯の道を進め！							
その子は、西の「オスタル厳命城」にいる、獣牧士の「ゼリ・ヴァンシュー」さんのところへお願いします。迷って降りてしまった場合は、ご案内するのでお声がけを！			その子は、西の「オスタル厳命城」にいる、獣牧士の「ゼリ・ヴァンシュー」さんのところへお願いします。迷って降りてしまった場合は、ご案内するのでお声がけを！			帯の道を進め！							
従者の門にいる「ゼム・ジェンマイ」に話しかけ、「アマロ」に騎乗した状態で、「物見塔の衛兵」のもとに来ましょう。			従者の門にいる「ゼム・ジェンマイ」に話しかけ、「アマロ」に騎乗した状態で、「物見塔の衛兵」のもとに来ましょう。			帯の道を進め！							
あなたの乗っていたアマロなら、ここに戻ってきていますよ。「オスタル厳命城」はここから道なりに西ですので、よろしくお願いしますね！			あなたの乗っていたアマロなら、ここに戻ってきていますよ。「オスタル厳命城」はここから道なりに西ですので、よろしくお願いしますね！			帯の道を進め！							
どのアマロも、調子は万全だぜ！			どのアマロも、調子は万全だぜ！			帯の道を進め！							
…………。			…………。			帯の道を進め！							
ギュイッ、ギュイッ！			ギュイッ、ギュイッ！			帯の道を進め！							
ギュー……。			ギュー……。			帯の道を進め！							
ギュギュッ、ギュイー！			ギュギュッ、ギュイー！			帯の道を進め！							
ギュ～？			ギュ～？			帯の道を進め！							
おっ、アマロをつれてきてくれたんだな！ありがとな、もう降りていいぜ！			おっ、アマロをつれてきてくれたんだな！ありがとな、もう降りていいぜ！			帯の道を進め！							
