ヘディンは、冒険者に偏属性クリスタルを返したいようだ。			ヘディンは、冒険者に偏属性クリスタルを返したいようだ。			始動！ エンタープライズ							
*本クエストは調整されました。一度破棄し、エールポートの「シアーナ」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			*本クエストは調整されました。一度破棄し、エールポートの「シアーナ」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			最後の偏属性クリスタル							
はぐれスプリガンは「シルフの仮宿」の方に行ったらしい。「コムシオ」から話を聞いてみよう。			はぐれスプリガンは「シルフの仮宿」の方に行ったらしい。「コムシオ」から話を聞いてみよう。			最後の偏属性クリスタル							
コムシオと話した。ヘディンの言ったとおり、はぐれスプリガンがシルフ族に目撃されているようだ。			コムシオと話した。ヘディンの言ったとおり、はぐれスプリガンがシルフ族に目撃されているようだ。			最後の偏属性クリスタル							
*本クエストは調整されました。一度破棄し、エールポートのシアーナから再受注してください			*本クエストは調整されました。一度破棄し、エールポートのシアーナから再受注してください			最後の偏属性クリスタル							
さってと！がんばった君に、良いニュースと悪いニュースがあるよ？			さってと！がんばった君に、良いニュースと悪いニュースがあるよ？			最後の偏属性クリスタル							
どどーん！　良いニュースねー！君の探す偏属性クリスタルの発見情報だーっ！			どどーん！　良いニュースねー！君の探す偏属性クリスタルの発見情報だーっ！			最後の偏属性クリスタル							
私たち「零組」の頼もしき仲間から、ついさっきモグレターで受け取った情報だよ！ピッチピチだよっ！			私たち「零組」の頼もしき仲間から、ついさっきモグレターで受け取った情報だよ！ピッチピチだよっ！			最後の偏属性クリスタル							
ででーん！　悪いニュース……。それは、ここで私と君がお別れってことかな？楽しかったから残念だよー。			ででーん！　悪いニュース……。それは、ここで私と君がお別れってことかな？楽しかったから残念だよー。			最後の偏属性クリスタル							
仲間の「ヘディン」は「グリダニア」にいるの！いってらっしゃい！　また会おうねー！			仲間の「ヘディン」は「グリダニア」にいるの！いってらっしゃい！　また会おうねー！			最後の偏属性クリスタル							
あっハイ、僕が「零組」のヘディンです……。どど、どうも……ハイ。			あっハイ、僕が「零組」のヘディンです……。どど、どうも……ハイ。			最後の偏属性クリスタル							
せ、先生から……「水属性を土属性に変換する偏属性クリスタル」を、お探しになっていると聞きました……ハイ。			せ、先生から……「水属性を土属性に変換する偏属性クリスタル」を、お探しになっていると聞きました……ハイ。			最後の偏属性クリスタル							
僕の計算によると、大食いスプリガン「ゴギー」が、その偏属性クリスタルを持っているはずです……ハイ。			僕の計算によると、大食いスプリガン「ゴギー」が、その偏属性クリスタルを持っているはずです……ハイ。			最後の偏属性クリスタル							
霊災時、巨大な偏属性クリスタルが、白狼門の先「枯骨の森」に発生したのです、ハイ。ただ、ゴギーがほとんど食べてしまったようです、ハイ。			霊災時、巨大な偏属性クリスタルが、白狼門の先「枯骨の森」に発生したのです、ハイ。ただ、ゴギーがほとんど食べてしまったようです、ハイ。			最後の偏属性クリスタル							
偏属性クリスタルの残りも、ゴギーが抱えています。で、でも、クリスタルを食べて精がついたようで、素早く凶暴、誰にも捕まえられませんです、ハイ……。			偏属性クリスタルの残りも、ゴギーが抱えています。で、でも、クリスタルを食べて精がついたようで、素早く凶暴、誰にも捕まえられませんです、ハイ……。			最後の偏属性クリスタル							
ゴギーは、弱いスプリガンたちを迫害しているらしく、「スプリガンの巣窟」を追い出されたスプリガンたちは、ほうぼうで、はぐれスプリガンになっているとか……。			ゴギーは、弱いスプリガンたちを迫害しているらしく、「スプリガンの巣窟」を追い出されたスプリガンたちは、ほうぼうで、はぐれスプリガンになっているとか……。			最後の偏属性クリスタル							
「シルフの仮宿」に、はぐれスプリガンの目撃談があります。そいつがゴギーの弱点を知っているかもしれませんです……。シルフ族の「コムシオ」に聞くと良いと思うです、ハイ。			「シルフの仮宿」に、はぐれスプリガンの目撃談があります。そいつがゴギーの弱点を知っているかもしれませんです……。シルフ族の「コムシオ」に聞くと良いと思うです、ハイ。			最後の偏属性クリスタル							
アナタ！　また、来てくれたのでふっち！？……ええ？　「ヘンゾクセイクリスタル」を集めるために、まいごの黒モジャを探しにきたのでふっち？			アナタ！　また、来てくれたのでふっち！？……ええ？　「ヘンゾクセイクリスタル」を集めるために、まいごの黒モジャを探しにきたのでふっち？			最後の偏属性クリスタル							
たちか～、ひとりぼっちの黒モジャなら、ちょっと前にフラフラと来たでふっち？			たちか～、ひとりぼっちの黒モジャなら、ちょっと前にフラフラと来たでふっち？			最後の偏属性クリスタル							
シルフの仮宿のコムシオは、冒険者に情報を与えたいようだ。			シルフの仮宿のコムシオは、冒険者に情報を与えたいようだ。			はぐれスプリガンの救出							
*本クエストは調整されました。一度破棄し、エールポートの「シアーナ」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			*本クエストは調整されました。一度破棄し、エールポートの「シアーナ」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			はぐれスプリガンの救出							
ティギーはシルフの仮宿に向かうようだ。シルフの仮宿の「コムシオ」と話そう。			ティギーはシルフの仮宿に向かうようだ。シルフの仮宿の「コムシオ」と話そう。			はぐれスプリガンの救出							
悪い大食いスプリガンの「ゴギー」の情報を入手した。十二神大聖堂に向かい「メルウィン」と話してみよう。			悪い大食いスプリガンの「ゴギー」の情報を入手した。十二神大聖堂に向かい「メルウィン」と話してみよう。			はぐれスプリガンの救出							
メルウィンに事情を話した。目的の石は珍しいもののようだ……。			メルウィンに事情を話した。目的の石は珍しいもののようだ……。			はぐれスプリガンの救出							
*本クエストは調整されました。一度破棄し、エールポートのシアーナから再受注してください			*本クエストは調整されました。一度破棄し、エールポートのシアーナから再受注してください			はぐれスプリガンの救出							
テンパードシルフに襲われているスプリガンを救助			テンパードシルフに襲われているスプリガンを救助			はぐれスプリガンの救出							
たぶん、アナタが探ちてる黒モジャなら、中央森林のほうからやってきて、何かを探してウロウロ走りまわってたでふっち。			たぶん、アナタが探ちてる黒モジャなら、中央森林のほうからやってきて、何かを探してウロウロ走りまわってたでふっち。			はぐれスプリガンの救出							
この仮宿にも来たんだけど、お目当てのものは、なかったみたいでふっちね……。「ラークスコール」のほうに行っちゃったのでふっち。			この仮宿にも来たんだけど、お目当てのものは、なかったみたいでふっちね……。「ラークスコール」のほうに行っちゃったのでふっち。			はぐれスプリガンの救出							
……悪い子シルフに、いぢめられたら危ないでふっち。アナタに、助けに行ってほぴいでふっち！			……悪い子シルフに、いぢめられたら危ないでふっち。アナタに、助けに行ってほぴいでふっち！			はぐれスプリガンの救出							
ティギー、ウルシイ！　アロガト、ミジラヌヒト！……ココ、ワリイシルフ、イッパイ……。ティギー、コワクナイ、シルフノトコ、モドリ……。			ティギー、ウルシイ！　アロガト、ミジラヌヒト！……ココ、ワリイシルフ、イッパイ……。ティギー、コワクナイ、シルフノトコ、モドリ……。			はぐれスプリガンの救出							
アナタ！　お帰りなのでふっち～！この黒モジャは、ティギーってお名前らちいでふっち。			アナタ！　お帰りなのでふっち～！この黒モジャは、ティギーってお名前らちいでふっち。			はぐれスプリガンの救出							
ティギーは、悪い子大食い黒モジャの「ゴギー」を、倒ちてくれるヒトを、探してたらぴいのでふっち。			ティギーは、悪い子大食い黒モジャの「ゴギー」を、倒ちてくれるヒトを、探してたらぴいのでふっち。			はぐれスプリガンの救出							
ゴギーは、とってもすばちっこくて、誰も捕まえられないから、倒ちぇないでふっち。			ゴギーは、とってもすばちっこくて、誰も捕まえられないから、倒ちぇないでふっち。			はぐれスプリガンの救出							
でも「赤心石」っていう、珍ちい鉱石で誘えば、珍し物好きのゴギーはきっと現れる……らちいのでふっち！			でも「赤心石」っていう、珍ちい鉱石で誘えば、珍し物好きのゴギーはきっと現れる……らちいのでふっち！			はぐれスプリガンの救出							
わたぴたちは、石には詳しくないでふっち！珍ちい石なら、彫金師ってヒトのほうが詳しいでふっち！			わたぴたちは、石には詳しくないでふっち！珍ちい石なら、彫金師ってヒトのほうが詳しいでふっち！			はぐれスプリガンの救出							
「十二神大聖堂」の近くにお散歩に行ったとき、石をたくさん持ったヒトがいたのでふっち。きっと彫金師だと思うでふっち。行ってみるのでふっち！			「十二神大聖堂」の近くにお散歩に行ったとき、石をたくさん持ったヒトがいたのでふっち。きっと彫金師だと思うでふっち。行ってみるのでふっち！			はぐれスプリガンの救出							
ゴギー、ワリイヤツ……。ゴギー、ミンナ、イジメル……。ティギー、ゴギーコワイ……。			ゴギー、ワリイヤツ……。ゴギー、ミンナ、イジメル……。ティギー、ゴギーコワイ……。			はぐれスプリガンの救出							
……「赤心石」を探しているの？たしかに、滅多にお目にかからない石だけど……あれは実用的な価値はゼロに等しいわよ。			……「赤心石」を探しているの？たしかに、滅多にお目にかからない石だけど……あれは実用的な価値はゼロに等しいわよ。			はぐれスプリガンの救出							
……どうしても見つけたいの？えーと、ちょっと待って、どこかにメモが残っていたはずだわ……。			……どうしても見つけたいの？えーと、ちょっと待って、どこかにメモが残っていたはずだわ……。			はぐれスプリガンの救出							
敵の気配を感じた！！			敵の気配を感じた！！			はぐれスプリガンの救出							
その行動は出現した敵を倒さないと実行できません			その行動は出現した敵を倒さないと実行できません			はぐれスプリガンの救出							
十二神大聖堂のメルウィンは冒険者に情報を与えたいようだ。			十二神大聖堂のメルウィンは冒険者に情報を与えたいようだ。			悪食ゴギーを捕まえろ							
*本クエストは調整されました。一度破棄し、エールポートの「シアーナ」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			*本クエストは調整されました。一度破棄し、エールポートの「シアーナ」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			悪食ゴギーを捕まえろ							
このままでは十分ではない。「鱗紋岩」に「石兵のソウルストーン」をかざそう。			このままでは十分ではない。「鱗紋岩」に「石兵のソウルストーン」をかざそう。			悪食ゴギーを捕まえろ							
赤心石を入手した。鱗紋岩の「ティギー」と話してみよう。			赤心石を入手した。鱗紋岩の「ティギー」と話してみよう。			悪食ゴギーを捕まえろ							
これで、ゴギーをおびき寄せることができる。「指定地点」に「赤心石」を使い、クリスタルベアラーから「偏属性クリスタル」を入手しよう。			これで、ゴギーをおびき寄せることができる。「指定地点」に「赤心石」を使い、クリスタルベアラーから「偏属性クリスタル」を入手しよう。			悪食ゴギーを捕まえろ							
やっと「偏属性クリスタル」を入手することができた。グリダニア：旧市街の「ヘディン」に渡そう。			やっと「偏属性クリスタル」を入手することができた。グリダニア：旧市街の「ヘディン」に渡そう。			悪食ゴギーを捕まえろ							
ヘディンに偏属性クリスタルを渡した。飛空艇「エンタープライズ」を改良するクリスタルが、ようやくそろったようだ。			ヘディンに偏属性クリスタルを渡した。飛空艇「エンタープライズ」を改良するクリスタルが、ようやくそろったようだ。			悪食ゴギーを捕まえろ							
*本クエストは調整されました。一度破棄し、エールポートのシアーナから再受注してください			*本クエストは調整されました。一度破棄し、エールポートのシアーナから再受注してください			悪食ゴギーを捕まえろ							
指定地点で待機し、popしたゴーレムを倒して「珠石」を入手			指定地点で待機し、popしたゴーレムを倒して「珠石」を入手			悪食ゴギーを捕まえろ							
鮫肌岩に「珠石」を使い、「赤心石」を作る			鮫肌岩に「珠石」を使い、「赤心石」を作る			悪食ゴギーを捕まえろ							
巣窟の指定地点に、黒鮫肌石を置く大食いスプリガンがpopするので倒す→偏属性クリスタル入手			巣窟の指定地点に、黒鮫肌石を置く大食いスプリガンがpopするので倒す→偏属性クリスタル入手			悪食ゴギーを捕まえろ							
えーっと、赤心石のページは……これね。チャートゴーレムの核である「石兵のソウルストーン」が、この石でできているそうよ。			えーっと、赤心石のページは……これね。チャートゴーレムの核である「石兵のソウルストーン」が、この石でできているそうよ。			悪食ゴギーを捕まえろ							
でも、「鱗紋岩」の輝きで浄化しないと元に戻せないみたい。チャートゴーレムは、ラークスコールの泉付近で、見つかるらしいから、どうしても欲しいなら行ってみるといいわ。			でも、「鱗紋岩」の輝きで浄化しないと元に戻せないみたい。チャートゴーレムは、ラークスコールの泉付近で、見つかるらしいから、どうしても欲しいなら行ってみるといいわ。			悪食ゴギーを捕まえろ							
イシ、ヒカリ、カザス！イイイシ、デキル、イシシ！			イシ、ヒカリ、カザス！イイイシ、デキル、イシシ！			悪食ゴギーを捕まえろ							
ヤタ！　イイイシ、デキタ！イイイシ、ウマソウ！！			ヤタ！　イイイシ、デキタ！イイイシ、ウマソウ！！			悪食ゴギーを捕まえろ							
イイイシ、ティギーノオウチ、オク！ゴギー、クル、ゼッタイ！			イイイシ、ティギーノオウチ、オク！ゴギー、クル、ゼッタイ！			悪食ゴギーを捕まえろ							
オマエ、ゴギーノクリスタル、ホシイ。ゴギー、ツヨイ、オマエ、モットツヨイ！オマエ、ゴギー、ヤッツケレ！！			オマエ、ゴギーノクリスタル、ホシイ。ゴギー、ツヨイ、オマエ、モットツヨイ！オマエ、ゴギー、ヤッツケレ！！			悪食ゴギーを捕まえろ							
わわわ！　もう帰ってきたんですか……！？もしや「偏属性クリスタル」を……？			わわわ！　もう帰ってきたんですか……！？もしや「偏属性クリスタル」を……？			悪食ゴギーを捕まえろ							
わ、わわわわ……ハイ！素晴らしい、本当に手に入れてきたのですね！			わ、わわわわ……ハイ！素晴らしい、本当に手に入れてきたのですね！			悪食ゴギーを捕まえろ							
う、うわぁ……。……なんかこれ、スプリガンの体液で、ぬっちょぬちょじゃないですか……。			う、うわぁ……。……なんかこれ、スプリガンの体液で、ぬっちょぬちょじゃないですか……。			悪食ゴギーを捕まえろ							
あ、でもこれが「絶霊体」のかわりになって、エーテルの干渉から偏属性クリスタルを保護していたようですね。			あ、でもこれが「絶霊体」のかわりになって、エーテルの干渉から偏属性クリスタルを保護していたようですね。			悪食ゴギーを捕まえろ							
……どれどれ。やりましたです、ハイ！　これはまさに「水属性を土属性に換えるクリスタル」です！			……どれどれ。やりましたです、ハイ！　これはまさに「水属性を土属性に換えるクリスタル」です！			悪食ゴギーを捕まえろ							
僕たち「零組」の後学のため、少しばかり分けて……。い、いえいえ、冗談ですよ……ハイ。			僕たち「零組」の後学のため、少しばかり分けて……。い、いえいえ、冗談ですよ……ハイ。			悪食ゴギーを捕まえろ							
敵の気配を感じた！！			敵の気配を感じた！！			悪食ゴギーを捕まえろ							
不滅隊：作戦本部のスウィフト大闘佐は、冒険者に折り入って頼みたいことがあるようだ。			不滅隊：作戦本部のスウィフト大闘佐は、冒険者に折り入って頼みたいことがあるようだ。			荒野に逆巻く騒擾							
アマルジャ族の動きが活発になり、「人拐い」の被害が増えているそうだ。調査のため、まずは南ザナラーンのリトルアラミゴにいる「ギシルベールト少闘佐」から詳しい話を聞こう。			アマルジャ族の動きが活発になり、「人拐い」の被害が増えているそうだ。調査のため、まずは南ザナラーンのリトルアラミゴにいる「ギシルベールト少闘佐」から詳しい話を聞こう。			荒野に逆巻く騒擾							
南ザナラーンに棲むアマルジャ族が活発化しているという。その尻尾を掴むため、ギシルベールト少闘佐から周辺で小休止中の、商隊の様子を見てくるように頼まれた。リトルアラミゴの東にある「指定地点」で待機し、人拐いの現場を押さえよう。			南ザナラーンに棲むアマルジャ族が活発化しているという。その尻尾を掴むため、ギシルベールト少闘佐から周辺で小休止中の、商隊の様子を見てくるように頼まれた。リトルアラミゴの東にある「指定地点」で待機し、人拐いの現場を押さえよう。			荒野に逆巻く騒擾							
戦いに手を貸してくれたアマルジャ族は、冒険者に興味があるようだ。リトルアラミゴの東にある「灰の陣営」へ向かい、「ハムジ・ガー」と話そう。			戦いに手を貸してくれたアマルジャ族は、冒険者に興味があるようだ。リトルアラミゴの東にある「灰の陣営」へ向かい、「ハムジ・ガー」と話そう。			荒野に逆巻く騒擾							
ハムジ・ガーたち「灰の一党」は、アマルジャ族でも人拐いに否定的な一派のようだ。彼らと手を結び、依頼をこなすことで事件を解決していこう。			ハムジ・ガーたち「灰の一党」は、アマルジャ族でも人拐いに否定的な一派のようだ。彼らと手を結び、依頼をこなすことで事件を解決していこう。			荒野に逆巻く騒擾							
リトルアラミゴのギシルベールト少闘佐と話す			リトルアラミゴのギシルベールト少闘佐と話す			荒野に逆巻く騒擾							
リトルアラミゴ東の指定地点で待機			リトルアラミゴ東の指定地点で待機			荒野に逆巻く騒擾							
灰の陣営のハムジ・ガーに報告			灰の陣営のハムジ・ガーに報告			荒野に逆巻く騒擾							
よくぞ来た[GC Rank]、Forename。。貴公を歴戦の強者と見こんで、ある任務を任せたい。一筋縄ではいかぬ、危険な任務だ……。			よくぞ来た[GC Rank]、Forename。。貴公を歴戦の強者と見こんで、ある任務を任せたい。一筋縄ではいかぬ、危険な任務だ……。			荒野に逆巻く騒擾							
このザナラーンは、アマルジャ族の被害に頭を痛めている。			このザナラーンは、アマルジャ族の被害に頭を痛めている。			荒野に逆巻く騒擾							
貴公によって、蛮神「イフリート」の復活をくじかれた後、ヤツらは一時期、鳴りを潜めていた。しかし最近……再び、活発な動きを見せておるのだ。			貴公によって、蛮神「イフリート」の復活をくじかれた後、ヤツらは一時期、鳴りを潜めていた。しかし最近……再び、活発な動きを見せておるのだ。			荒野に逆巻く騒擾							
……「人拐い」の被害も、以前より多く報告されている。これは、もはや看過できない大問題だ。そこで貴公に、アマルジャ族についての調査を依頼したい。			……「人拐い」の被害も、以前より多く報告されている。これは、もはや看過できない大問題だ。そこで貴公に、アマルジャ族についての調査を依頼したい。			荒野に逆巻く騒擾							
対アマルジャ族防衛の最前線で任務に就いている、リトルアラミゴの「ギシルベールト少闘佐」を訪ねるがいい。任務の詳細を聞くことができるだろう。			対アマルジャ族防衛の最前線で任務に就いている、リトルアラミゴの「ギシルベールト少闘佐」を訪ねるがいい。任務の詳細を聞くことができるだろう。			荒野に逆巻く騒擾							
