双蛇党：統合司令部の白蛇の守人は、冒険者に至急報せたいことがあるようだ。			双蛇党：統合司令部の白蛇の守人は、冒険者に至急報せたいことがあるようだ。			偽りの角							
黒衣森の各地で、グレイプニルの被害者が増えているようです。幻術士ギルドが人員を派遣し、対処に当たっていますが、いまだ治療に成功したという話はありません……。			黒衣森の各地で、グレイプニルの被害者が増えているようです。幻術士ギルドが人員を派遣し、対処に当たっていますが、いまだ治療に成功したという話はありません……。			偽りの角							
毒気がもたらす症状が不治であることから、まだ体力がある負傷者も、絶望から獣に転じてしまうそうで……。			毒気がもたらす症状が不治であることから、まだ体力がある負傷者も、絶望から獣に転じてしまうそうで……。			偽りの角							
さらには、その身内や縁者までも、愛する人を喪った絶望から獣となってしまい、今度は「人が獣になる噂」が広まっているとか。			さらには、その身内や縁者までも、愛する人を喪った絶望から獣となってしまい、今度は「人が獣になる噂」が広まっているとか。			偽りの角							
まさに悪循環。もはやカヌ・エ様が直接対話されたところで、人々の混乱は収まらないかもしれません……。			まさに悪循環。もはやカヌ・エ様が直接対話されたところで、人々の混乱は収まらないかもしれません……。			偽りの角							
何と言う？			何と言う？			偽りの角							
一刻も早く、グレイプニルを倒さなければ！			一刻も早く、グレイプニルを倒さなければ！			偽りの角							
毒気を浄化する方法さえ見つかれば……			毒気を浄化する方法さえ見つかれば……			偽りの角							
はい。現在カヌ・エ様が、浄化の力を増すための手段として、大精霊に助力を仰ぐべく、対話の準備を進めてるのですが……。			はい。現在カヌ・エ様が、浄化の力を増すための手段として、大精霊に助力を仰ぐべく、対話の準備を進めてるのですが……。			偽りの角							
英雄殿、大変です！グレイプニルが出現したとの報せが……！すでに鬼哭隊が交戦中とのことです。			英雄殿、大変です！グレイプニルが出現したとの報せが……！すでに鬼哭隊が交戦中とのことです。			偽りの角							
しかも、よりによってグレイプニルが暴れているのは、大精霊が宿る中央森林の「長老の木」付近……！			しかも、よりによってグレイプニルが暴れているのは、大精霊が宿る中央森林の「長老の木」付近……！			偽りの角							
長老の木になにかあれば、大精霊との対話も不可能に……。それだけは絶対に阻止しなければなりません！			長老の木になにかあれば、大精霊との対話も不可能に……。それだけは絶対に阻止しなければなりません！			偽りの角							
私は至急カヌ・エ様に報せてまいりますので、「スカンポの安息所」で合流しましょう！			私は至急カヌ・エ様に報せてまいりますので、「スカンポの安息所」で合流しましょう！			偽りの角							
周囲に、損耗した装備が散乱している。グレイプニルと戦った跡だろうか？衛士たちの姿は見えないようだが……。			周囲に、損耗した装備が散乱している。グレイプニルと戦った跡だろうか？衛士たちの姿は見えないようだが……。			偽りの角							
これは……ここで何があったのです？			これは……ここで何があったのです？			偽りの角							
鬼哭隊の姿は無く、装備だけが見つかり、そこに獣が襲ってきた、と……。			鬼哭隊の姿は無く、装備だけが見つかり、そこに獣が襲ってきた、と……。			偽りの角							
グレイプニルが相手であったとしても、鬼哭隊の精鋭が装備を捨てて逃げ出すはずはありません。つまり……。			グレイプニルが相手であったとしても、鬼哭隊の精鋭が装備を捨てて逃げ出すはずはありません。つまり……。			偽りの角							
みな、グレイプニルと交戦した際に手傷を負い、毒気に身体を蝕まれてしまった。そして、その絶望から獣に……そういうことでしょう。			みな、グレイプニルと交戦した際に手傷を負い、毒気に身体を蝕まれてしまった。そして、その絶望から獣に……そういうことでしょう。			偽りの角							
それで、グレイプニルはどこに？まだ遠くには行っていないはず……！			それで、グレイプニルはどこに？まだ遠くには行っていないはず……！			偽りの角							
周辺一帯から、淀んだ絶望の気配を感じます。迎撃にあたった鬼哭隊が全滅したとすると、周辺には相当な数の獣が出現しているのでしょう。			周辺一帯から、淀んだ絶望の気配を感じます。迎撃にあたった鬼哭隊が全滅したとすると、周辺には相当な数の獣が出現しているのでしょう。			偽りの角							
グレイプニルとの決戦に備え、大精霊の助力を得ておきたかったのですが……。さりとて危険な獣たちを、放置しておくわけにもまいりません。			グレイプニルとの決戦に備え、大精霊の助力を得ておきたかったのですが……。さりとて危険な獣たちを、放置しておくわけにもまいりません。			偽りの角							
ここは二手に分かれ、周囲の獣を探し討伐してから、長老の木のもとで落ち合うことに致しましょう。			ここは二手に分かれ、周囲の獣を探し討伐してから、長老の木のもとで落ち合うことに致しましょう。			偽りの角							
これほど多くの異物が森に溢れていると、大精霊も呼びかけに応じてはくれないでしょう。先に、鬼哭隊が転じた獣たちを討伐してからでなくては……。			これほど多くの異物が森に溢れていると、大精霊も呼びかけに応じてはくれないでしょう。先に、鬼哭隊が転じた獣たちを討伐してからでなくては……。			偽りの角							
鬼哭隊をはじめとする護り手たちが獣に転じてしまえば、残された民には、自らを護る力がありません。早くこの連鎖を断ち切らねば……！			鬼哭隊をはじめとする護り手たちが獣に転じてしまえば、残された民には、自らを護る力がありません。早くこの連鎖を断ち切らねば……！			偽りの角							
どうやらこの周辺には、獣はいないようだ。ほかの場所を探そう。			どうやらこの周辺には、獣はいないようだ。ほかの場所を探そう。			偽りの角							
この周辺の獣は、すべて討伐できたようだ。「エバーシェイド」へ向かおう。			この周辺の獣は、すべて討伐できたようだ。「エバーシェイド」へ向かおう。			偽りの角							
この周辺には、もう獣はいないようですね……。			この周辺には、もう獣はいないようですね……。			偽りの角							
痛ましいことですが、今は悲しみに浸ってもいられません。			痛ましいことですが、今は悲しみに浸ってもいられません。			偽りの角							
さっそく、森の大精霊との対話に挑みましょう。			さっそく、森の大精霊との対話に挑みましょう。			偽りの角							
ああっ……！			ああっ……！			偽りの角							
カヌ・エ様！どうされたのですか！？			カヌ・エ様！どうされたのですか！？			偽りの角							
……どうやら、大精霊は私たちの想像以上に、偽神獣がもたらす脅威に怯えているようです。			……どうやら、大精霊は私たちの想像以上に、偽神獣がもたらす脅威に怯えているようです。			偽りの角							
こちらからの呼びかけに応えるどころか、ただただ、強く繰り返すばかりでした。「異物を排除せよ」と……。			こちらからの呼びかけに応えるどころか、ただただ、強く繰り返すばかりでした。「異物を排除せよ」と……。			偽りの角							
毒気の脅威を払うためには、まずは精霊の混乱を鎮めなくては……。			毒気の脅威を払うためには、まずは精霊の混乱を鎮めなくては……。			偽りの角							
そんな、カヌ・エ様のお言葉も届かないだなんて……。　			そんな、カヌ・エ様のお言葉も届かないだなんて……。　			偽りの角							
……来ます！			……来ます！			偽りの角							
間違いありません。これが、黒衣森を害する偽神獣、グレイプニル……！			間違いありません。これが、黒衣森を害する偽神獣、グレイプニル……！			偽りの角							
みなさん、下がってください！			みなさん、下がってください！			偽りの角							
グレイプニルの狙いは、長老の木！？これ以上、森を傷つけさせるわけには……！			グレイプニルの狙いは、長老の木！？これ以上、森を傷つけさせるわけには……！			偽りの角							
角の先端から毒気が……！危険です、離れてください！			角の先端から毒気が……！危険です、離れてください！			偽りの角							
くっ……！やはり……私の力では、抑えきれない……！？			くっ……！やはり……私の力では、抑えきれない……！？			偽りの角							
我々、角尊は、盟約によって精霊より祝福を賜りし存在。この大地に生まれし時より、自然と人々の架け橋となる責務を担っています。			我々、角尊は、盟約によって精霊より祝福を賜りし存在。この大地に生まれし時より、自然と人々の架け橋となる責務を担っています。			偽りの角							
特に秀でた者は、幻術皇の位に就き、森都グリダニアを導いていくことになります。			特に秀でた者は、幻術皇の位に就き、森都グリダニアを導いていくことになります。			偽りの角							
おふたりのうちの、どちらかが……いえ、おふたり揃って幻術皇になれるよう、願っております。			おふたりのうちの、どちらかが……いえ、おふたり揃って幻術皇になれるよう、願っております。			偽りの角							
(-角尊の少女-)私、幻術皇になんかなりたくない。角尊にだって、なりたくてなったわけじゃないもん。			(-角尊の少女-)私、幻術皇になんかなりたくない。角尊にだって、なりたくてなったわけじゃないもん。			偽りの角							
(-角尊の少女-)普通に生まれて、みんなと一緒に年をとりたかった。こんなヘンテコな角、大っ嫌い。			(-角尊の少女-)普通に生まれて、みんなと一緒に年をとりたかった。こんなヘンテコな角、大っ嫌い。			偽りの角							
(-角尊の少年-)ぼくはこの角を気に入っているよ。確かに自分で望んだわけじゃないけれど、どう生まれるかなんて誰だって選べないんだ。			(-角尊の少年-)ぼくはこの角を気に入っているよ。確かに自分で望んだわけじゃないけれど、どう生まれるかなんて誰だって選べないんだ。			偽りの角							
(-角尊の少年-)祝福という特別な贈り物を授かった以上、ぼくはそれを人々のために役立てたいと思っている。だからきみも一緒に幻術皇を目指そうよ、カヌ・エ！			(-角尊の少年-)祝福という特別な贈り物を授かった以上、ぼくはそれを人々のために役立てたいと思っている。だからきみも一緒に幻術皇を目指そうよ、カヌ・エ！			偽りの角							
(-カヌ・エと呼ばれた少女-)特別な贈り物……。そんな風に考えたことはなかったわ。			(-カヌ・エと呼ばれた少女-)特別な贈り物……。そんな風に考えたことはなかったわ。			偽りの角							
カヌ……エ……。			カヌ……エ……。			偽りの角							
……よかった、気を失われているだけのようです。身体を強く打ちつけてはいるものの、裂傷はありません。毒気の影響もなさそうですが……。			……よかった、気を失われているだけのようです。身体を強く打ちつけてはいるものの、裂傷はありません。毒気の影響もなさそうですが……。			偽りの角							
万が一のことがあってはなりません。私はカヌ・エ様をグリダニアにお連れしたいと思います。			万が一のことがあってはなりません。私はカヌ・エ様をグリダニアにお連れしたいと思います。			偽りの角							
グレイプニルも、もうこの付近にはいないようですし、一度「双蛇党：統合司令部」に戻りましょう。			グレイプニルも、もうこの付近にはいないようですし、一度「双蛇党：統合司令部」に戻りましょう。			偽りの角							
グレイプニルの迎撃……ひとまずは、お疲れさまでした。カヌ・エ様は現在、エ・スミ・ヤン様のもとで、治療を受けておられます。			グレイプニルの迎撃……ひとまずは、お疲れさまでした。カヌ・エ様は現在、エ・スミ・ヤン様のもとで、治療を受けておられます。			偽りの角							
すでに意識は戻られたそうですが、面会は謝絶とのこと。今は、御身が回復なさるのを待つしかありません。			すでに意識は戻られたそうですが、面会は謝絶とのこと。今は、御身が回復なさるのを待つしかありません。			偽りの角							
……私は、自分が情けない！グレイプニルを前にしながら、何もできなかった！			……私は、自分が情けない！グレイプニルを前にしながら、何もできなかった！			偽りの角							
己の身を盾にしてカヌ・エ様を護ることさえできず、こうして自分が無事でいるなどと……護衛失格だ！			己の身を盾にしてカヌ・エ様を護ることさえできず、こうして自分が無事でいるなどと……護衛失格だ！			偽りの角							
何と言う？			何と言う？			偽りの角							
命を粗末にするな			命を粗末にするな			偽りの角							
生きていればこそ、救える命がある			生きていればこそ、救える命がある			偽りの角							
英雄殿……あなたは本当にお強いですね。きっと、これまでに幾度も、このような、歯痒い想いを経験してきたのでしょう。			英雄殿……あなたは本当にお強いですね。きっと、これまでに幾度も、このような、歯痒い想いを経験してきたのでしょう。			偽りの角							
お言葉、感謝いたします。私はまた、同じ過ちを繰り返すところでした。			お言葉、感謝いたします。私はまた、同じ過ちを繰り返すところでした。			偽りの角							
これは、失礼しました。……少し長くなってしまうかも知れませんが、私の過去について、お話しさせて頂けませんか？			これは、失礼しました。……少し長くなってしまうかも知れませんが、私の過去について、お話しさせて頂けませんか？			偽りの角							
私は、ガレマール帝国属州の出身です。あのカルテノー平原では、帝国兵として、エオルゼア同盟軍と矛を交えました。			私は、ガレマール帝国属州の出身です。あのカルテノー平原では、帝国兵として、エオルゼア同盟軍と矛を交えました。			偽りの角							
戦場において、兵の命は、ただの「数」に過ぎません。兜で顔を覆えば、互いの個は意識されず、殺す相手の名を知ることすらなく、ただ戦うのみ……。			戦場において、兵の命は、ただの「数」に過ぎません。兜で顔を覆えば、互いの個は意識されず、殺す相手の名を知ることすらなく、ただ戦うのみ……。			偽りの角							
そして、すべてが決着したときには、私も、戦場に転がる名もなき屍のひとつに、……なっていたはずでした。			そして、すべてが決着したときには、私も、戦場に転がる名もなき屍のひとつに、……なっていたはずでした。			偽りの角							
しかし、そうはならなかった。傷ついた私を……敵だった帝国兵の私を、カヌ・エ様が救ってくださったからです。			しかし、そうはならなかった。傷ついた私を……敵だった帝国兵の私を、カヌ・エ様が救ってくださったからです。			偽りの角							
そればかりか、怪我の癒えた私を、「来たりし友」として、迎え入れさえしてくれました。まるで矛を交えたことなど、なかったかのように。			そればかりか、怪我の癒えた私を、「来たりし友」として、迎え入れさえしてくれました。まるで矛を交えたことなど、なかったかのように。			偽りの角							
命を奪うために戦うのではなく、命を救うために戦う……。その志に感銘を受けた私は、拾っていただいたこの命を、カヌ・エ様のために使おうと誓ったのです。			命を奪うために戦うのではなく、命を救うために戦う……。その志に感銘を受けた私は、拾っていただいたこの命を、カヌ・エ様のために使おうと誓ったのです。			偽りの角							
その志が意味するところを、危うく忘れるところでした。もう二度と、己の命を軽んじるような真似はいたしません。次こそは、必ず皆を護り、グレイプニルを討伐しましょう！			その志が意味するところを、危うく忘れるところでした。もう二度と、己の命を軽んじるような真似はいたしません。次こそは、必ず皆を護り、グレイプニルを討伐しましょう！			偽りの角							
アラミガン・クォーターの偽神獣対策部隊の闘士は、冒険者に伝えたいことがあるようだ。			アラミガン・クォーターの偽神獣対策部隊の闘士は、冒険者に伝えたいことがあるようだ。			剣なき英雄							
ラウバーンとアレンヴァルドと共に、ウルダハのナナモに協力を求めに行くことになった。ウルダハの政庁層で、「ラウバーン」と話そう。			ラウバーンとアレンヴァルドと共に、ウルダハのナナモに協力を求めに行くことになった。ウルダハの政庁層で、「ラウバーン」と話そう。			剣なき英雄							
ラウバーンと話した。パパシャンによると、ナナモは商家の娘リリラに扮し、街へ出ているようだ。ナナモを探すため、サファイアアベニュー国際市場付近で「ラウバーン」と話そう。			ラウバーンと話した。パパシャンによると、ナナモは商家の娘リリラに扮し、街へ出ているようだ。ナナモを探すため、サファイアアベニュー国際市場付近で「ラウバーン」と話そう。			剣なき英雄							
ラウバーンは、ナナモが訪れていそうな場所を案内してくれるようだ。ラウバーンの先導に従って移動し、サファイアアベニュー国際市場でリリラに扮したナナモを探そう。※先導状態が解除された場合、再度「ラウバーン」に話しかけることで再開できます。			ラウバーンは、ナナモが訪れていそうな場所を案内してくれるようだ。ラウバーンの先導に従って移動し、サファイアアベニュー国際市場でリリラに扮したナナモを探そう。※先導状態が解除された場合、再度「ラウバーン」に話しかけることで再開できます。			剣なき英雄							
ナナモは見つからなかった。偽神獣の件でナナモが行動しているのならば、路地裏を探すのがいいだろう。サファイアアベニュー国際市場で「ラウバーン」と話そう。			ナナモは見つからなかった。偽神獣の件でナナモが行動しているのならば、路地裏を探すのがいいだろう。サファイアアベニュー国際市場で「ラウバーン」と話そう。			剣なき英雄							
引き続き、ナナモを探すことになった。ラウバーンと同行した状態でリリラに扮したナナモを探し、パールレーンの目ぼしい場所で「ラウバーン」と話そう。※同行状態が解除された場合、再度「ラウバーン」に話しかけることで同行を再開できます。			引き続き、ナナモを探すことになった。ラウバーンと同行した状態でリリラに扮したナナモを探し、パールレーンの目ぼしい場所で「ラウバーン」と話そう。※同行状態が解除された場合、再度「ラウバーン」に話しかけることで同行を再開できます。			剣なき英雄							
ナナモを見つけた。政庁層に戻り、「ラウバーン」と話そう。			ナナモを見つけた。政庁層に戻り、「ラウバーン」と話そう。			剣なき英雄							
ナナモは、かつての帝国市民がアラミゴから逃れてきたとしても、他の難民同様、平等に支援することを快諾した。アレンヴァルドは、非常事態だからこそ、立場の異なる相手の話に耳を傾け、対話をすることが大事なのだと語るナナモの言葉に感銘を受けたようだ。アラミガン・クォーターに戻り、「ラウバーン」と話そう。			ナナモは、かつての帝国市民がアラミゴから逃れてきたとしても、他の難民同様、平等に支援することを快諾した。アレンヴァルドは、非常事態だからこそ、立場の異なる相手の話に耳を傾け、対話をすることが大事なのだと語るナナモの言葉に感銘を受けたようだ。アラミガン・クォーターに戻り、「ラウバーン」と話そう。			剣なき英雄							
ラウバーンと話した。アレンヴァルドが提案した慰霊祭の開催に向けて、準備を進めるようだ。進展がある頃に、また訪ねてこよう。※いずれかのHEALERジョブのレベルが88以上になると、アラミガン・クォーターの偽神獣対策部隊の闘士から次のHEALERロールクエストを受注することができます。			ラウバーンと話した。アレンヴァルドが提案した慰霊祭の開催に向けて、準備を進めるようだ。進展がある頃に、また訪ねてこよう。※いずれかのHEALERジョブのレベルが88以上になると、アラミガン・クォーターの偽神獣対策部隊の闘士から次のHEALERロールクエストを受注することができます。			剣なき英雄							
ウルダハのラウバーンと話す			ウルダハのラウバーンと話す			剣なき英雄							
サファイアアベニュー国際市場付近のラウバーンと話す			サファイアアベニュー国際市場付近のラウバーンと話す			剣なき英雄							
ラウバーンと話し、先導に従って移動			ラウバーンと話し、先導に従って移動			剣なき英雄							
ラウバーンと話して同行させる			ラウバーンと話して同行させる			剣なき英雄							
連れているラウバーンと指定地点で話す			連れているラウバーンと指定地点で話す			剣なき英雄							
政庁層のラウバーンと話す			政庁層のラウバーンと話す			剣なき英雄							
アラミガン・クォーターのラウバーンと話す			アラミガン・クォーターのラウバーンと話す			剣なき英雄							
今日もおつかれさまです！例のごとくラウバーン隊長がお呼びですよ！ではでは、ご案内いたしますね！			今日もおつかれさまです！例のごとくラウバーン隊長がお呼びですよ！ではでは、ご案内いたしますね！			剣なき英雄							
よく来てくれたな。件のナナモ女王陛下への謁見許可が下りたのだが、出立する前に、手短に現状の報告だけさせてくれ。			よく来てくれたな。件のナナモ女王陛下への謁見許可が下りたのだが、出立する前に、手短に現状の報告だけさせてくれ。			剣なき英雄							
偽神獣については、相変わらず足取りが途絶えたままだ。捜索範囲を広げると同時に、その身元の確認も急いでいる。			偽神獣については、相変わらず足取りが途絶えたままだ。捜索範囲を広げると同時に、その身元の確認も急いでいる。			剣なき英雄							
以前にも言ったとおり、偽神獣の行動は、転化前の人となりの影響を受けるらしいからな。そこから行方を割り出すことも可能かもしれないのだ。			以前にも言ったとおり、偽神獣の行動は、転化前の人となりの影響を受けるらしいからな。そこから行方を割り出すことも可能かもしれないのだ。			剣なき英雄							
これまでの獣化は、やはり遺族にかぎって発生している。ということは、偽神獣も遺族の可能性が高いってことだろ？だから、「白羽根の会」で関係者を洗い出してるところなんだ。			これまでの獣化は、やはり遺族にかぎって発生している。ということは、偽神獣も遺族の可能性が高いってことだろ？だから、「白羽根の会」で関係者を洗い出してるところなんだ。			剣なき英雄							
それから、髑髏連隊といえば……前回の任務で、獣化しかけたっていうフォルドラが心配だ。正直なところ、この件から手を引いてもらいたいところだが……。			それから、髑髏連隊といえば……前回の任務で、獣化しかけたっていうフォルドラが心配だ。正直なところ、この件から手を引いてもらいたいところだが……。			剣なき英雄							
何と言う？			何と言う？			剣なき英雄							
彼女の意思を尊重すべきだ			彼女の意思を尊重すべきだ			剣なき英雄							
自分の罪と向き合うべきだ			自分の罪と向き合うべきだ			剣なき英雄							
Forenameと同意見だ。幸い、あれからフォルドラに獣化の兆候は見られない。であれば、己の過去と向き合おうとする、彼女の意思を尊重したい。			Forenameと同意見だ。幸い、あれからフォルドラに獣化の兆候は見られない。であれば、己の過去と向き合おうとする、彼女の意思を尊重したい。			剣なき英雄							
くそっ……！こんなときに俺はなにもできないなんてな……。			くそっ……！こんなときに俺はなにもできないなんてな……。			剣なき英雄							
そう言うな、アレンヴァルド。ナナモ様との謁見には、貴様にも同行してもらうつもりだ。			そう言うな、アレンヴァルド。ナナモ様との謁見には、貴様にも同行してもらうつもりだ。			剣なき英雄							
民と同じ目線に立ち、その言葉に耳を傾ける。ナナモ様は剣こそ持たないが、あの方なりの方法で戦っておられる。きっと貴様にも得るものがあるだろう。			民と同じ目線に立ち、その言葉に耳を傾ける。ナナモ様は剣こそ持たないが、あの方なりの方法で戦っておられる。きっと貴様にも得るものがあるだろう。			剣なき英雄							
ウルダハのナナモ女王陛下……。わかりました、俺も一緒に行かせてください。			ウルダハのナナモ女王陛下……。わかりました、俺も一緒に行かせてください。			剣なき英雄							
では吾輩はアレンヴァルドの移送を手配する。「政庁層」で落ち合おう。			では吾輩はアレンヴァルドの移送を手配する。「政庁層」で落ち合おう。			剣なき英雄							
ここに来るのは、あのとき以来だな……。あとで薬学院の人たちには、改めて礼を言ってこなくちゃな。			ここに来るのは、あのとき以来だな……。あとで薬学院の人たちには、改めて礼を言ってこなくちゃな。			剣なき英雄							
私が目を離したすきに……面目ございませぬ。約束の時間までにはお戻りになるはずですが……。			私が目を離したすきに……面目ございませぬ。約束の時間までにはお戻りになるはずですが……。			剣なき英雄							
パパシャン殿の話では、ナナモ様は、「リリラ」という偽名を使い、お忍びで街に出ておられるそうだ。			パパシャン殿の話では、ナナモ様は、「リリラ」という偽名を使い、お忍びで街に出ておられるそうだ。			剣なき英雄							
私が目を離したすきに……面目ございませぬ。約束の時間までにはお戻りになるはずですが……。			私が目を離したすきに……面目ございませぬ。約束の時間までにはお戻りになるはずですが……。			剣なき英雄							
偽神獣が各国を騒がせている一大事だというのに、お忍びで街へ……？			偽神獣が各国を騒がせている一大事だというのに、お忍びで街へ……？			剣なき英雄							
一大事だからこそ、ですな。こんなときだからこそ、民との交流を大切にされているのでしょう。			一大事だからこそ、ですな。こんなときだからこそ、民との交流を大切にされているのでしょう。			剣なき英雄							
とはいえ、護衛もつけずに街へ出られたのは感心できぬ。我々で探しにいくとしよう。			とはいえ、護衛もつけずに街へ出られたのは感心できぬ。我々で探しにいくとしよう。			剣なき英雄							
いやいや、客人であるお主たちに、迷惑をかけるわけには……。			いやいや、客人であるお主たちに、迷惑をかけるわけには……。			剣なき英雄							
何を言うか、パパシャン殿。アラミゴに帰郷したとはいえ、急に余所者扱いはよしてくれ。それに、「リリラお嬢様」を見つけるのは吾輩も得意なのでな！			何を言うか、パパシャン殿。アラミゴに帰郷したとはいえ、急に余所者扱いはよしてくれ。それに、「リリラお嬢様」を見つけるのは吾輩も得意なのでな！			剣なき英雄							
そ、そこまでおっしゃるなら……。では、お言葉に甘えてお願いしますぞ。			そ、そこまでおっしゃるなら……。では、お言葉に甘えてお願いしますぞ。			剣なき英雄							
そういうことなら、俺は少し、あたりを回ってこようと思う。ウルダハの現状をこの目で見ておきたいからな。			そういうことなら、俺は少し、あたりを回ってこようと思う。ウルダハの現状をこの目で見ておきたいからな。			剣なき英雄							
それではForename。共にナナ……いや、「リリラ」様を探しにゆくぞ！案ずるな、すぐに吾輩が見つけてみせよう。			それではForename。共にナナ……いや、「リリラ」様を探しにゆくぞ！案ずるな、すぐに吾輩が見つけてみせよう。			剣なき英雄							
俺は少し、あたりを回ってこようと思う。ウルダハの現状について、この目で見ておきたいからな。			俺は少し、あたりを回ってこようと思う。ウルダハの現状について、この目で見ておきたいからな。			剣なき英雄							
ここだけの話……ラウバーン殿はお嬢様を見つけるのが下手なのです。お主が直接探した方が早いかもしれませぬな。			ここだけの話……ラウバーン殿はお嬢様を見つけるのが下手なのです。お主が直接探した方が早いかもしれませぬな。			剣なき英雄							
このようにリリラ様をお探しするのはいつぶりだったか……。パパシャン殿と、どちらが早く見つけられるか競ったこともあった。こう言っては悪いが、吾輩の方が探すのは得意でな。			このようにリリラ様をお探しするのはいつぶりだったか……。パパシャン殿と、どちらが早く見つけられるか競ったこともあった。こう言っては悪いが、吾輩の方が探すのは得意でな。			剣なき英雄							
商家の娘に扮したお姿ゆえ、慣れぬ者には難しかろう。Forenameとて、簡単には見つけられまい。では、吾輩の後に付いてきてくれ。			商家の娘に扮したお姿ゆえ、慣れぬ者には難しかろう。Forenameとて、簡単には見つけられまい。では、吾輩の後に付いてきてくれ。			剣なき英雄							
す、すまぬ……夢中で探していたら貴様を見失ってしまった。さあ、気を取り直して吾輩の後に付いてきてくれ！			す、すまぬ……夢中で探していたら貴様を見失ってしまった。さあ、気を取り直して吾輩の後に付いてきてくれ！			剣なき英雄							
…………そんな……馬鹿なッ。			…………そんな……馬鹿なッ。			剣なき英雄							
ナナモ様のご興味がありそうな場所は、ひと通り回ったはずッ……！物陰から隙間、壺の中にいたるまで、見落としはない。いったい、どこにいらっしゃるというのだッ！			ナナモ様のご興味がありそうな場所は、ひと通り回ったはずッ……！物陰から隙間、壺の中にいたるまで、見落としはない。いったい、どこにいらっしゃるというのだッ！			剣なき英雄							
野盗の類に拐われていたとしたら、一大事……！不滅隊を……不滅隊を招集せねばッ……！			野盗の類に拐われていたとしたら、一大事……！不滅隊を……不滅隊を招集せねばッ……！			剣なき英雄							
何と言う？			何と言う？			剣なき英雄							
落ち着いて			落ち着いて			剣なき英雄							
民に話を聞いているのでは？			民に話を聞いているのでは？			剣なき英雄							
…………すまない。つい取り乱してしまった……。			…………すまない。つい取り乱してしまった……。			剣なき英雄							
…………なるほど。ナナモ様のことだ、何かお考えあってのことかもしれぬな。			…………なるほど。ナナモ様のことだ、何かお考えあってのことかもしれぬな。			剣なき英雄							
見苦しいところを見せてしまった。落ち着いて、ナナモ様の行動を推測する必要があろう。			見苦しいところを見せてしまった。落ち着いて、ナナモ様の行動を推測する必要があろう。			剣なき英雄							
……ナナモ様が終末の獣の件を受け、民のために行動しているのだとすれば、生活状況から、「絶望」する可能性の高い民に話を聞かれるだろう。			……ナナモ様が終末の獣の件を受け、民のために行動しているのだとすれば、生活状況から、「絶望」する可能性の高い民に話を聞かれるだろう。			剣なき英雄							
