忘れられた騎士亭のエティエーヌは、冒険者に興味があるようだ。			忘れられた騎士亭のエティエーヌは、冒険者に興味があるようだ。			イシュガルドのモブハント（初級）							
請け負ったモブハントの依頼は、酒場の表にある「セントリオボード」に、随時掲示していく。まぁ、最初は比較的簡単な「初級」に挑戦するといいさ。			請け負ったモブハントの依頼は、酒場の表にある「セントリオボード」に、随時掲示していく。まぁ、最初は比較的簡単な「初級」に挑戦するといいさ。			イシュガルドのモブハント（初級）							
これが「セントリオボード」のようだ。討伐対象「モブ」の手配書が掲示されている……。まずは、「初級」から挑戦していこう。			これが「セントリオボード」のようだ。討伐対象「モブ」の手配書が掲示されている……。まずは、「初級」から挑戦していこう。			イシュガルドのモブハント（初級）							
「クラン・セントリオ」の準クラン員となったため、「セントリオボード」から、「クラン・モブ手配書：初級」を入手できるようになりました。			「クラン・セントリオ」の準クラン員となったため、「セントリオボード」から、「クラン・モブ手配書：初級」を入手できるようになりました。			イシュガルドのモブハント（初級）							
手配書に記載されたモブの討伐に成功すると、「クラン・セントリオ」から、特別な報酬と交換できる、「セントリオ記章」を得ることができます。			手配書に記載されたモブの討伐に成功すると、「クラン・セントリオ」から、特別な報酬と交換できる、「セントリオ記章」を得ることができます。			イシュガルドのモブハント（初級）							
なお、報酬との交換や、詳細な説明については、忘れられた騎士亭にいる「アルドラン」が対応しているため、必要に応じて声をかけましょう。			なお、報酬との交換や、詳細な説明については、忘れられた騎士亭にいる「アルドラン」が対応しているため、必要に応じて声をかけましょう。			イシュガルドのモブハント（初級）							
ヴァスの塚のイゼルは、思い悩んでいるようだ。			ヴァスの塚のイゼルは、思い悩んでいるようだ。			グナース族の神							
グナース族の蛮神を倒すと決意したイゼルに、協力することとなった。しかし、蛮神を戦うための方法が思いつかず、グナース族から情報を集めることになった。ヴァスの塚のグナース族から、情報を集めよう。			グナース族の蛮神を倒すと決意したイゼルに、協力することとなった。しかし、蛮神を戦うための方法が思いつかず、グナース族から情報を集めることになった。ヴァスの塚のグナース族から、情報を集めよう。			グナース族の神							
グナース族から聞きこみをしたが、まだ情報が足りないようだ。ヴァスの塚の「ナンカイーター」と話そう。			グナース族から聞きこみをしたが、まだ情報が足りないようだ。ヴァスの塚の「ナンカイーター」と話そう。			グナース族の神							
ナンカイーターから話を聞こうとしたところ、幼体ナンカの肉を要求された。ウィロームリバーの「リバー・ナンカ」から「幼体ナンカの肉」を入手しよう。			ナンカイーターから話を聞こうとしたところ、幼体ナンカの肉を要求された。ウィロームリバーの「リバー・ナンカ」から「幼体ナンカの肉」を入手しよう。			グナース族の神							
幼体ナンカの肉を入手した。ヴァスの塚の「ナンカイーター」に「幼体ナンカの肉」を渡そう。			幼体ナンカの肉を入手した。ヴァスの塚の「ナンカイーター」に「幼体ナンカの肉」を渡そう。			グナース族の神							
ナンカイーターから話を聞いた。蛮神を召喚した繋がりし者たちは、繋ぎ止めし者によって意思を繋げられているそうだ。ヴァスの塚の「アルフィノ」と話そう。			ナンカイーターから話を聞いた。蛮神を召喚した繋がりし者たちは、繋ぎ止めし者によって意思を繋げられているそうだ。ヴァスの塚の「アルフィノ」と話そう。			グナース族の神							
冒険者たちは、集めた情報を交換した。この情報を元に、冒険者たちが思いついた方法とは……？			冒険者たちは、集めた情報を交換した。この情報を元に、冒険者たちが思いついた方法とは……？			グナース族の神							
ヴァスの塚で情報を集める			ヴァスの塚で情報を集める			グナース族の神							
ナンカイーターと話す			ナンカイーターと話す			グナース族の神							
リバー・ナンカから幼体ナンカの肉を入手			リバー・ナンカから幼体ナンカの肉を入手			グナース族の神							
ナンカイーターに幼体ナンカの肉を渡す			ナンカイーターに幼体ナンカの肉を渡す			グナース族の神							
アルフィノと話す			アルフィノと話す			グナース族の神							
私は、蛮神の力に頼った身だ……。神降ろしが、星の命を蝕むと知ったうえでな。必要悪であったと信じているし、罪を背負う覚悟もある。			私は、蛮神の力に頼った身だ……。神降ろしが、星の命を蝕むと知ったうえでな。必要悪であったと信じているし、罪を背負う覚悟もある。			グナース族の神							
だが、グナース族は、領地を広げんと神を降ろしたという。彼らから罪を背負う覚悟が感じられないのは、私が傲慢だからだろうか……。			だが、グナース族は、領地を広げんと神を降ろしたという。彼らから罪を背負う覚悟が感じられないのは、私が傲慢だからだろうか……。			グナース族の神							
私の祖父ルイゾワも、第七霊災を防ぐため、カルテノーで、エオルゼア十二神の神降ろしを試みている。……だからイゼル、あなたの気持ちもわからないではない。			私の祖父ルイゾワも、第七霊災を防ぐため、カルテノーで、エオルゼア十二神の神降ろしを試みている。……だからイゼル、あなたの気持ちもわからないではない。			グナース族の神							
しかし、グナース族の望みは単純な領土欲だ……。もしそれが本当だとすれば、あまりに無邪気に思える。やはり、彼らの蛮神を討伐しなければなるまい。			しかし、グナース族の望みは単純な領土欲だ……。もしそれが本当だとすれば、あまりに無邪気に思える。やはり、彼らの蛮神を討伐しなければなるまい。			グナース族の神							
言うは易しだな、アルフィノ……。お前がグナース族の蛮神と戦うというのなら別だが、蛮神討伐となれば、「光の戦士」に頼るほかあるまい？			言うは易しだな、アルフィノ……。お前がグナース族の蛮神と戦うというのなら別だが、蛮神討伐となれば、「光の戦士」に頼るほかあるまい？			グナース族の神							
……か、返す言葉もない。私が蛮神討伐などと軽々しく言うのは、それこそ傲慢というものだ……。			……か、返す言葉もない。私が蛮神討伐などと軽々しく言うのは、それこそ傲慢というものだ……。			グナース族の神							
すまない、Forename……。			すまない、Forename……。			グナース族の神							
何と言う？			何と言う？			グナース族の神							
蛮神は自分が倒す			蛮神は自分が倒す			グナース族の神							
…………			…………			グナース族の神							
いや、私がやろう……。私とて「超える力」の持ち主なのだ。Forename、手を貸してくれるか。			いや、私がやろう……。私とて「超える力」の持ち主なのだ。Forename、手を貸してくれるか。			グナース族の神							
さすがは「氷の巫女」殿。ドラゴン族を助けるためなら、危険も顧みないか……。だが、どうやって蛮神を、戦いの場に引きずり出すつもりだ？			さすがは「氷の巫女」殿。ドラゴン族を助けるためなら、危険も顧みないか……。だが、どうやって蛮神を、戦いの場に引きずり出すつもりだ？			グナース族の神							
グナース族の蛮神に近づくため、何かいい方法がないか、ここの住人たちに聞いてみよう。作戦を考えることくらい、私にも手伝わせてくれ。			グナース族の蛮神に近づくため、何かいい方法がないか、ここの住人たちに聞いてみよう。作戦を考えることくらい、私にも手伝わせてくれ。			グナース族の神							
フン……。坊ちゃんなりに、必死さがでてきたじゃないか。			フン……。坊ちゃんなりに、必死さがでてきたじゃないか。			グナース族の神							
グナース族が、神降ろしをしたのは、自らの領土を拡大するためというのか……。			グナース族が、神降ろしをしたのは、自らの領土を拡大するためというのか……。			グナース族の神							
深手を負っていたとはいえドラゴン族を、よってたかってなぶり殺しとは、やるじゃないか。			深手を負っていたとはいえドラゴン族を、よってたかってなぶり殺しとは、やるじゃないか。			グナース族の神							
シシシシ……「神」に会いたいと？それなら、生け贄にされるのが手っ取り早い。生きてはかえれぬだろうがな……シシシシシ。			シシシシ……「神」に会いたいと？それなら、生け贄にされるのが手っ取り早い。生きてはかえれぬだろうがな……シシシシシ。			グナース族の神							
シシシシ……「神」に会いたいと？それなら、生け贄にされるのが手っ取り早い。生きてはかえれぬだろうがな……シシシシシ。			シシシシ……「神」に会いたいと？それなら、生け贄にされるのが手っ取り早い。生きてはかえれぬだろうがな……シシシシシ。			グナース族の神							
俺たちは、「分かたれし者たち」……「繋がりし者たち」と違って、奴らの意思は聞こえない。だから、奴らの考えもわからない……シシシシシ。			俺たちは、「分かたれし者たち」……「繋がりし者たち」と違って、奴らの意思は聞こえない。だから、奴らの考えもわからない……シシシシシ。			グナース族の神							
俺たちは、「分かたれし者たち」……「繋がりし者たち」と違って、奴らの意思は聞こえない。だから、奴らの考えもわからない……シシシシシ。			俺たちは、「分かたれし者たち」……「繋がりし者たち」と違って、奴らの意思は聞こえない。だから、奴らの考えもわからない……シシシシシ。			グナース族の神							
シシシシシ……気前のいい狩人たちよ。「神」に会えば、魂を取られてしまうのだぞ？魂を差し出そうとは、まったく気前がよすぎるというものだ。			シシシシシ……気前のいい狩人たちよ。「神」に会えば、魂を取られてしまうのだぞ？魂を差し出そうとは、まったく気前がよすぎるというものだ。			グナース族の神							
シシシシシ……気前のいい狩人たちよ。「神」に会えば、魂を取られてしまうのだぞ？魂を差し出そうとは、まったく気前がよすぎるというものだ。			シシシシシ……気前のいい狩人たちよ。「神」に会えば、魂を取られてしまうのだぞ？魂を差し出そうとは、まったく気前がよすぎるというものだ。			グナース族の神							
神を呼び降ろしたという「繋がりし者たち」に、接近する方法はないのだろうか？			神を呼び降ろしたという「繋がりし者たち」に、接近する方法はないのだろうか？			グナース族の神							
彼らの話し方は、回りくどくてわかりにくいな。いったい、どのような信仰を持っているというのか……。			彼らの話し方は、回りくどくてわかりにくいな。いったい、どのような信仰を持っているというのか……。			グナース族の神							
何だって自分たちの「神」であるはずの蛮神について、こいつらは、ここまで無知なんだ？			何だって自分たちの「神」であるはずの蛮神について、こいつらは、ここまで無知なんだ？			グナース族の神							
シシシシシ……お前たちが、とびきり気前のいい狩人か。だが、俺はまだ分け前を貰ってはいないぞ？ひとつ……ひとつでいい。			シシシシシ……お前たちが、とびきり気前のいい狩人か。だが、俺はまだ分け前を貰ってはいないぞ？ひとつ……ひとつでいい。			グナース族の神							
「幼体ナンカの肉」ひとつで手を打つぞ、狩人よ。「リバー・ナンカ」を倒して、取ってくるがいい。そしたら、話を聞かせてやろう……話をな。			「幼体ナンカの肉」ひとつで手を打つぞ、狩人よ。「リバー・ナンカ」を倒して、取ってくるがいい。そしたら、話を聞かせてやろう……話をな。			グナース族の神							
「幼体ナンカの肉」ひとつで手を打つぞ、狩人よ。「リバー・ナンカ」を倒して、取ってくるがいい。そしたら、話を聞かせてやろう……話をな。			「幼体ナンカの肉」ひとつで手を打つぞ、狩人よ。「リバー・ナンカ」を倒して、取ってくるがいい。そしたら、話を聞かせてやろう……話をな。			グナース族の神							
どうやら、彼らグナース族には、元々、個人名という概念がなかったらしい。人をマネて、適当な名前を名乗っているようだ。			どうやら、彼らグナース族には、元々、個人名という概念がなかったらしい。人をマネて、適当な名前を名乗っているようだ。			グナース族の神							
おいおい、それのどこが信仰に関する情報なんだ？と言っても、こっちにも収穫はないんだが……。			おいおい、それのどこが信仰に関する情報なんだ？と言っても、こっちにも収穫はないんだが……。			グナース族の神							
グナース族と話していると、何だか、頭が痛くなってくるな……。			グナース族と話していると、何だか、頭が痛くなってくるな……。			グナース族の神							
シシシシシ……。求めているのは「幼体ナンカの肉」。用意できているのか、気前のいい狩人よ。			シシシシシ……。求めているのは「幼体ナンカの肉」。用意できているのか、気前のいい狩人よ。			グナース族の神							
シシシシシ……本当に気前のいい狩人だな！よし、話を聞かせてやろう……話をな。			シシシシシ……本当に気前のいい狩人だな！よし、話を聞かせてやろう……話をな。			グナース族の神							
いいか、「繋ぎ止めし者」によって意思を繋げられた、「繋がりし者たち」は、同じ物を見、同じ思いを抱くのよ。			いいか、「繋ぎ止めし者」によって意思を繋げられた、「繋がりし者たち」は、同じ物を見、同じ思いを抱くのよ。			グナース族の神							
ひとりが見れば、百の同胞が見たも同じ。ひとりが怒れば、千の同胞が怒るのも同じ……。見つからずに神のもとに近づくなど、無理というものよ！			ひとりが見れば、百の同胞が見たも同じ。ひとりが怒れば、千の同胞が怒るのも同じ……。見つからずに神のもとに近づくなど、無理というものよ！			グナース族の神							
いいか、「繋ぎ止めし者」によって意思を繋げられた、「繋がりし者たち」は、同じ物を見、同じ思いを抱くのよ。			いいか、「繋ぎ止めし者」によって意思を繋げられた、「繋がりし者たち」は、同じ物を見、同じ思いを抱くのよ。			グナース族の神							
ひとりが見れば、百の同胞が見たも同じ。ひとりが怒れば、千の同胞が怒るのも同じ……。見つからずに神のもとに近づくなど、無理というものよ！			ひとりが見れば、百の同胞が見たも同じ。ひとりが怒れば、千の同胞が怒るのも同じ……。見つからずに神のもとに近づくなど、無理というものよ！			グナース族の神							
考えていることが、仲間に筒抜けとはな。まったく、ゾッとするぜ……。			考えていることが、仲間に筒抜けとはな。まったく、ゾッとするぜ……。			グナース族の神							
意思が繋がっているのが当然だとすると、話がわかりにくいのも、頷けるというものだ。そもそも話す必要がないという文化なのだから……。			意思が繋がっているのが当然だとすると、話がわかりにくいのも、頷けるというものだ。そもそも話す必要がないという文化なのだから……。			グナース族の神							
彼らの話しぶりでは、いまいち要領を得ないが、少し、わかってきたことがある。			彼らの話しぶりでは、いまいち要領を得ないが、少し、わかってきたことがある。			グナース族の神							
どうやらグナース族は、「繋ぎ止めし者」という「王」のような存在を中心に、言葉によらず、意思の疎通を図ることができるようだ。			どうやらグナース族は、「繋ぎ止めし者」という「王」のような存在を中心に、言葉によらず、意思の疎通を図ることができるようだ。			グナース族の神							
それがコロニーに棲む多数派の「繋がりし者たち」であり、彼らの総意に基づいて、神降ろしが行われた……。			それがコロニーに棲む多数派の「繋がりし者たち」であり、彼らの総意に基づいて、神降ろしが行われた……。			グナース族の神							
だが、ここに棲む「分かたれし者たち」は、何らかの事情で、意思を繋げることができないようだ。だからこそ、「繋がりし者たち」の考えを理解していない……。			だが、ここに棲む「分かたれし者たち」は、何らかの事情で、意思を繋げることができないようだ。だからこそ、「繋がりし者たち」の考えを理解していない……。			グナース族の神							
なるほどな……。こいつらが、自分たちの神であるはずの蛮神について、意外なほどに無知なのは、そのためか……。			なるほどな……。こいつらが、自分たちの神であるはずの蛮神について、意外なほどに無知なのは、そのためか……。			グナース族の神							
しかし、こうも言っていたぞ。領地を侵して捕らえられれば、必ずや生け贄として、神に差し出されることになるとな……。			しかし、こうも言っていたぞ。領地を侵して捕らえられれば、必ずや生け贄として、神に差し出されることになるとな……。			グナース族の神							
ヴァスの塚のストーリーテラーは、体を震わせて怒っているようだ。			ヴァスの塚のストーリーテラーは、体を震わせて怒っているようだ。			繋がりし者たちへの報復							
ストーリーテラーは、同胞のグナース族が襲われたことを怒っており、仕返しをしたいと考えているようだ。高地ドラヴァニアのグナースの塚で、「グナース・ヘイルドローン」、「グナース・アイアンドローン」、「グナース・フォリジャー」を1体ずつ討伐しよう。			ストーリーテラーは、同胞のグナース族が襲われたことを怒っており、仕返しをしたいと考えているようだ。高地ドラヴァニアのグナースの塚で、「グナース・ヘイルドローン」、「グナース・アイアンドローン」、「グナース・フォリジャー」を1体ずつ討伐しよう。			繋がりし者たちへの報復							
指定されたグナース族を討伐した。ヴァスの塚で「ストーリーテラー」に報告しよう。			指定されたグナース族を討伐した。ヴァスの塚で「ストーリーテラー」に報告しよう。			繋がりし者たちへの報復							
ストーリーテラーに報告した。冒険者が倒したのが、ヴァスの塚の若者を襲ったグナース族ではなかったとしても、「繋がりし者たち」の精神は繋がっているため、報復の痛みは伝わったことだろう。			ストーリーテラーに報告した。冒険者が倒したのが、ヴァスの塚の若者を襲ったグナース族ではなかったとしても、「繋がりし者たち」の精神は繋がっているため、報復の痛みは伝わったことだろう。			繋がりし者たちへの報復							
グナース・ヘイルドローンを討伐			グナース・ヘイルドローンを討伐			繋がりし者たちへの報復							
グナース・アイアンドローンを討伐			グナース・アイアンドローンを討伐			繋がりし者たちへの報復							
グナース・フォリジャーを討伐			グナース・フォリジャーを討伐			繋がりし者たちへの報復							
ストーリーテラーに報告			ストーリーテラーに報告			繋がりし者たちへの報復							
シシシシシ……「繋がりし者たち」め、忌々しい。狩りに出ていた「ヴァスの塚」の若者を、襲ってきよったのだ。ヒトの狩人よ、奴らに報復をしてほしい……。			シシシシシ……「繋がりし者たち」め、忌々しい。狩りに出ていた「ヴァスの塚」の若者を、襲ってきよったのだ。ヒトの狩人よ、奴らに報復をしてほしい……。			繋がりし者たちへの報復							
銃を使いし者、槍を使いし者……それに、杖を使いし者を、それぞれ倒してくれ。よろしく頼むぞ……シシシシシ。			銃を使いし者、槍を使いし者……それに、杖を使いし者を、それぞれ倒してくれ。よろしく頼むぞ……シシシシシ。			繋がりし者たちへの報復							
銃を使いし者、槍を使いし者……それに、杖を使いし者を、それぞれ倒してくれ。よろしく頼むぞ……シシシシシ。			銃を使いし者、槍を使いし者……それに、杖を使いし者を、それぞれ倒してくれ。よろしく頼むぞ……シシシシシ。			繋がりし者たちへの報復							
シシシシシ……やってくれたか、狩人よ。「繋がりし者たち」にも痛みが伝わっただろう。報復としては十分だ……。			シシシシシ……やってくれたか、狩人よ。「繋がりし者たち」にも痛みが伝わっただろう。報復としては十分だ……。			繋がりし者たちへの報復							
……狩人が倒したグナース族が、我らに手を出した者であるかどうかなど問題ではない。奴らの精神は、繋ぎ止められておるのだからな……シシシシシ。			……狩人が倒したグナース族が、我らに手を出した者であるかどうかなど問題ではない。奴らの精神は、繋ぎ止められておるのだからな……シシシシシ。			繋がりし者たちへの報復							
ヴァスの塚のナンカイーターは、遠い目で南の方を見ているようだ。			ヴァスの塚のナンカイーターは、遠い目で南の方を見ているようだ。			石の秘密							
ナンカイーターに小さな黄色い石を拾ってくるよう頼まれた。高地ドラヴァニアのアヴァロニア・フォールンで「小さな黄色い石」を4つ入手しよう。			ナンカイーターに小さな黄色い石を拾ってくるよう頼まれた。高地ドラヴァニアのアヴァロニア・フォールンで「小さな黄色い石」を4つ入手しよう。			石の秘密							
小さな黄色い石を入手した。ヴァスの塚の「ナンカイーター」に「小さな黄色い石」を渡そう。			小さな黄色い石を入手した。ヴァスの塚の「ナンカイーター」に「小さな黄色い石」を渡そう。			石の秘密							
ナンカイーターに小さな黄色い石を渡した。この小さな黄色い石は、グナースが手銃に用いる火薬の材料のひとつだそうだ。			ナンカイーターに小さな黄色い石を渡した。この小さな黄色い石は、グナースが手銃に用いる火薬の材料のひとつだそうだ。			石の秘密							
小さな黄色い石を入手			小さな黄色い石を入手			石の秘密							
ナンカイーターに小さな黄色い石を渡す			ナンカイーターに小さな黄色い石を渡す			石の秘密							
シシシシシ……気前のいい狩人よ、また仕事をするか？ある鉱物を調達してもらいたいのだ。			シシシシシ……気前のいい狩人よ、また仕事をするか？ある鉱物を調達してもらいたいのだ。			石の秘密							
ヒトが「不浄の三塔」と呼ぶ場所の南に、「小さな黄色い石」が落ちているはずだ……。それを4個ほど、拾ってきてほしい……シシシシシ。			ヒトが「不浄の三塔」と呼ぶ場所の南に、「小さな黄色い石」が落ちているはずだ……。それを4個ほど、拾ってきてほしい……シシシシシ。			石の秘密							
ヒトが「不浄の三塔」と呼ぶ場所の南に、「小さな黄色い石」が落ちているはずだ……。それを4個ほど、拾ってきてほしい……シシシシシ。			ヒトが「不浄の三塔」と呼ぶ場所の南に、「小さな黄色い石」が落ちているはずだ……。それを4個ほど、拾ってきてほしい……シシシシシ。			石の秘密							
ヒトが「不浄の三塔」と呼ぶ場所の南に、「小さな黄色い石」が落ちているはずだ……。それを4個ほど、拾ってきてほしい……シシシシシ。			ヒトが「不浄の三塔」と呼ぶ場所の南に、「小さな黄色い石」が落ちているはずだ……。それを4個ほど、拾ってきてほしい……シシシシシ。			石の秘密							
シシシシシ……速やかな仕事ぶりだな。そして、相変わらずの気前の良さ……感謝するぞ。			シシシシシ……速やかな仕事ぶりだな。そして、相変わらずの気前の良さ……感謝するぞ。			石の秘密							
この黄色い石に付着している「硫黄」は、我らが手銃に用いる火薬の材料のひとつ……。その他の材料は秘密だ……恥ずかしいからな……。			この黄色い石に付着している「硫黄」は、我らが手銃に用いる火薬の材料のひとつ……。その他の材料は秘密だ……恥ずかしいからな……。			石の秘密							
ヴァスの塚のイダテンは、手銃を手に困っているようだ。			ヴァスの塚のイダテンは、手銃を手に困っているようだ。			火薬の調達							
イダテンに火薬の調達を頼まれた。高地ドラヴァニアの兵站穴で「手銃の火薬袋」を3袋入手しよう。			イダテンに火薬の調達を頼まれた。高地ドラヴァニアの兵站穴で「手銃の火薬袋」を3袋入手しよう。			火薬の調達							
手銃の火薬袋を入手した。ヴァスの塚の「イダテン」に「手銃の火薬袋」を渡そう。			手銃の火薬袋を入手した。ヴァスの塚の「イダテン」に「手銃の火薬袋」を渡そう。			火薬の調達							
イダテンに手銃の火薬袋を渡した。これでしばらくは、火薬不足に悩むこともなさそうだ。			イダテンに手銃の火薬袋を渡した。これでしばらくは、火薬不足に悩むこともなさそうだ。			火薬の調達							
手銃の火薬袋を入手			手銃の火薬袋を入手			火薬の調達							
イダテンに手銃の火薬袋を渡す			イダテンに手銃の火薬袋を渡す			火薬の調達							
シシシシシ……やはり、このままでは足りなくなるか。思いの外、手銃用の火薬の減りが早いようだ。生産を増やしているが、どうにも足りない。			シシシシシ……やはり、このままでは足りなくなるか。思いの外、手銃用の火薬の減りが早いようだ。生産を増やしているが、どうにも足りない。			火薬の調達							
そこで、「グナースの塚」に忍び込み、「手銃の火薬袋」を、3袋ほど手に入れてきてもらいたい。……我らが赴くと、いろいろと問題が生じるゆえな。			そこで、「グナースの塚」に忍び込み、「手銃の火薬袋」を、3袋ほど手に入れてきてもらいたい。……我らが赴くと、いろいろと問題が生じるゆえな。			火薬の調達							
「グナースの塚」に忍び込み、「手銃の火薬袋」を、3袋ほど手に入れてきてもらいたい。……我らが赴くと、いろいろと問題が生じるゆえな。			「グナースの塚」に忍び込み、「手銃の火薬袋」を、3袋ほど手に入れてきてもらいたい。……我らが赴くと、いろいろと問題が生じるゆえな。			火薬の調達							
「手銃の火薬袋」、回収してきてくれたか？			「手銃の火薬袋」、回収してきてくれたか？			火薬の調達							
シシシシシ……無事に調達してきたようだな。これでしばらくは、火薬不足に悩むこともなさそうだ。狩人の働きに感謝だな……シシシシシ。			シシシシシ……無事に調達してきたようだな。これでしばらくは、火薬不足に悩むこともなさそうだ。狩人の働きに感謝だな……シシシシシ。			火薬の調達							
ヴァスの塚のニモツハコビは、慌てているようだ。			ヴァスの塚のニモツハコビは、慌てているようだ。			自慢の特技							
ニモツハコビに、荷車の積荷を回収してくるよう頼まれた。高地ドラヴァニアのアヴァロニア・フォールンで、「グナース族の荷車」を調べ「荷車の積荷」を入手しよう。			ニモツハコビに、荷車の積荷を回収してくるよう頼まれた。高地ドラヴァニアのアヴァロニア・フォールンで、「グナース族の荷車」を調べ「荷車の積荷」を入手しよう。			自慢の特技							
荷車の積荷を入手した。ヴァスの塚で「ニモツハコビ」に「荷車の積荷」を渡そう。			荷車の積荷を入手した。ヴァスの塚で「ニモツハコビ」に「荷車の積荷」を渡そう。			自慢の特技							
ニモツハコビに荷車の積荷を渡した。誰よりも早く荷車を牽き、誰よりも早く荷物を運ぶことが自慢なニモツハコビにとって、荷物を奪われたと知られることは、死活問題だったようだ。			ニモツハコビに荷車の積荷を渡した。誰よりも早く荷車を牽き、誰よりも早く荷物を運ぶことが自慢なニモツハコビにとって、荷物を奪われたと知られることは、死活問題だったようだ。			自慢の特技							
グナース族の荷車から荷車の積荷を入手			グナース族の荷車から荷車の積荷を入手			自慢の特技							
ニモツハコビに荷車の積荷を渡す			ニモツハコビに荷車の積荷を渡す			自慢の特技							
シシシシシ……「繋がりし者たち」に襲われた！慌てて逃げ出したもんだから、荷車を置いてきてしまった……。なんとかして、物資を回収しなきゃ……。			シシシシシ……「繋がりし者たち」に襲われた！慌てて逃げ出したもんだから、荷車を置いてきてしまった……。なんとかして、物資を回収しなきゃ……。			自慢の特技							
狩人の腕を見込んで頼みがあるんだ……シシシシシ。「グナースの塚」の西の川辺に荷車がある。そこから「荷車の積荷」を回収してくれないか……。			狩人の腕を見込んで頼みがあるんだ……シシシシシ。「グナースの塚」の西の川辺に荷車がある。そこから「荷車の積荷」を回収してくれないか……。			自慢の特技							
