ドライボーンのケートリンは何やら困っているようだ。			ドライボーンのケートリンは何やら困っているようだ。			ゴールドバザーの活気							
……彼女は自分の身を顧みず、子どもの宝物を守るような娘だ。やはり、彼女は共謀者ではないだろう。			……彼女は自分の身を顧みず、子どもの宝物を守るような娘だ。やはり、彼女は共謀者ではないだろう。			共謀者の影							
ゴールドバザーのベネジャーは人手集めを手伝ってもらいたいようだ。			ゴールドバザーのベネジャーは人手集めを手伝ってもらいたいようだ。			千の富も一枚から							
ベネジャーは新しい宿屋を作るための人手を集めるための宣伝をしたいようだ。「作業員募集のビラ」を5箇所に貼ろう。			ベネジャーは新しい宿屋を作るための人手を集めるための宣伝をしたいようだ。「作業員募集のビラ」を5箇所に貼ろう。			千の富も一枚から							
ビラを貼った。「ゴールドバザー」の「ベネジャー」に報告しよう。			ビラを貼った。「ゴールドバザー」の「ベネジャー」に報告しよう。			千の富も一枚から							
ベネジャーはさらに人手を集めるための宣伝をしたいようだ。「作業員募集のビラ」を5人に配ろう。			ベネジャーはさらに人手を集めるための宣伝をしたいようだ。「作業員募集のビラ」を5人に配ろう。			千の富も一枚から							
ビラを配った。「ゴールドバザー」の「ベネジャー」に報告しよう。			ビラを配った。「ゴールドバザー」の「ベネジャー」に報告しよう。			千の富も一枚から							
ベネジャーに報告した。ベネジャーは、新しい商売でゴールドバザーを盛り上げようとしているようだった。			ベネジャーに報告した。ベネジャーは、新しい商売でゴールドバザーを盛り上げようとしているようだった。			千の富も一枚から							
指定地点に作業員募集のビラを貼る			指定地点に作業員募集のビラを貼る			千の富も一枚から							
ベネジャーに報告			ベネジャーに報告			千の富も一枚から							
人々に作業員募集のビラを渡す			人々に作業員募集のビラを渡す			千の富も一枚から							
ベネジャーに報告			ベネジャーに報告			千の富も一枚から							
あんた、ヒマがあるなら人集めを手伝ってくれよ。今はゴールドバザーに到来した久々の商機なんだ！			あんた、ヒマがあるなら人集めを手伝ってくれよ。今はゴールドバザーに到来した久々の商機なんだ！			千の富も一枚から							
この近くに、優良な霊銀鉱床があるって噂でね！ひと山当てようっていう採掘師たちが、霊銀探しの拠点として、この集落を使い始めたのさ。			この近くに、優良な霊銀鉱床があるって噂でね！ひと山当てようっていう採掘師たちが、霊銀探しの拠点として、この集落を使い始めたのさ。			千の富も一枚から							
以前は小規模な市くらいしか見物がなかったが、これからは採掘師相手の宿屋が儲かるにちがいねぇ。			以前は小規模な市くらいしか見物がなかったが、これからは採掘師相手の宿屋が儲かるにちがいねぇ。			千の富も一枚から							
さっそくこの村に新しく宿屋を建てようと思うんだが、宣伝の仕方が悪いのか人が集まらねぇんだ。			さっそくこの村に新しく宿屋を建てようと思うんだが、宣伝の仕方が悪いのか人が集まらねぇんだ。			千の富も一枚から							
そこで俺はこの「作業員募集のビラ」を作った！こいつを5枚、街の「指定地点」に貼りだしてくれねぇか！			そこで俺はこの「作業員募集のビラ」を作った！こいつを5枚、街の「指定地点」に貼りだしてくれねぇか！			千の富も一枚から							
ありがとよお！　だが……まだまだだ！俺はこのチャンスに全てを注ぎ込むつもりだからな！			ありがとよお！　だが……まだまだだ！俺はこのチャンスに全てを注ぎ込むつもりだからな！			千の富も一枚から							
今度は「作業員募集のビラ」を5枚、そのへんでぶらぶらしている連中に渡してほしい。俺は他の仕事で忙しいから、代わりに頼んだぜ。			今度は「作業員募集のビラ」を5枚、そのへんでぶらぶらしている連中に渡してほしい。俺は他の仕事で忙しいから、代わりに頼んだぜ。			千の富も一枚から							
ふあ……ヒマだ。何かいい仕事はないかなあ……。			ふあ……ヒマだ。何かいい仕事はないかなあ……。			千の富も一枚から							
え？　ベネジャーさんが人手を欲しがってる？ふうん、大工仕事なら得意だし行ってみるか。			え？　ベネジャーさんが人手を欲しがってる？ふうん、大工仕事なら得意だし行ってみるか。			千の富も一枚から							
ふうん、大工仕事なら得意だし行ってみるか。			ふうん、大工仕事なら得意だし行ってみるか。			千の富も一枚から							
私に何か用？今忙しいんだけど。			私に何か用？今忙しいんだけど。			千の富も一枚から							
ベネジャーさんが、作業員募集ね。この街に来る採掘師が増えてきてたから、そのためかしら。			ベネジャーさんが、作業員募集ね。この街に来る採掘師が増えてきてたから、そのためかしら。			千の富も一枚から							
霊銀鉱床が近くにあるって噂だけど、本当かしらねえ……。			霊銀鉱床が近くにあるって噂だけど、本当かしらねえ……。			千の富も一枚から							
ベネジャーさんが、工事の人手募集ね。この街に来る採掘師が増えてきてたから、そのためかしら。			ベネジャーさんが、工事の人手募集ね。この街に来る採掘師が増えてきてたから、そのためかしら。			千の富も一枚から							
なになに？何配ってるの？			なになに？何配ってるの？			千の富も一枚から							
へえ～。ベネジャーさん、宿屋作るんだ。あれでしょ、村に来る客が増えてるんでしょ？			へえ～。ベネジャーさん、宿屋作るんだ。あれでしょ、村に来る客が増えてるんでしょ？			千の富も一枚から							
私も増えた客を見込んで食べ物の仕入れ量を増やそうかなあ。			私も増えた客を見込んで食べ物の仕入れ量を増やそうかなあ。			千の富も一枚から							
私も増えた客を見込んで食べ物の仕入れ量を増やそうかなあ。			私も増えた客を見込んで食べ物の仕入れ量を増やそうかなあ。			千の富も一枚から							
何配ってるんだ？			何配ってるんだ？			千の富も一枚から							
作業員募集のビラ？ああ……宿屋が増えるのか、助かったぜ。			作業員募集のビラ？ああ……宿屋が増えるのか、助かったぜ。			千の富も一枚から							
近くにいい霊銀鉱床があるっていうんでこの街に来たんだが、宿がなくてテント生活だったんだ。採掘が始まるまで宿屋づくりの手伝いでもしてるかな。			近くにいい霊銀鉱床があるっていうんでこの街に来たんだが、宿がなくてテント生活だったんだ。採掘が始まるまで宿屋づくりの手伝いでもしてるかな。			千の富も一枚から							
採掘が始まるまで宿屋づくりの手伝いでもしてるかな。			採掘が始まるまで宿屋づくりの手伝いでもしてるかな。			千の富も一枚から							
何か用かい？			何か用かい？			千の富も一枚から							
へぇ、大工の求人か。採掘以外に仕事がないか探してた所だからちょうどいいや。後で顔でも出してみるかな。			へぇ、大工の求人か。採掘以外に仕事がないか探してた所だからちょうどいいや。後で顔でも出してみるかな。			千の富も一枚から							
後で顔でも出してみるかな。			後で顔でも出してみるかな。			千の富も一枚から							
ご苦労さん！さすがにこんだけやれば、人も集まるだろう！			ご苦労さん！さすがにこんだけやれば、人も集まるだろう！			千の富も一枚から							
兄貴が死んで、しょげてた時期もあったけどよ、俺は新しい商売を始めて、集落を盛り上げるんだ！			兄貴が死んで、しょげてた時期もあったけどよ、俺は新しい商売を始めて、集落を盛り上げるんだ！			千の富も一枚から							
キャンプ・ドライボーンの顔役のイセムバードは冒険者に伝言がある。			キャンプ・ドライボーンの顔役のイセムバードは冒険者に伝言がある。			虚ろな富の行方							
「サンクレッド」が冒険者を探していたそうだ。「アマルジャ軍陣屋」の近くで待っているので、行ってみよう。			「サンクレッド」が冒険者を探していたそうだ。「アマルジャ軍陣屋」の近くで待っているので、行ってみよう。			虚ろな富の行方							
サンクレッドがゴールドバザーで見張りをしていたら、怪しいアマルジャ族がいたそうだ。アマルジャはこの「アマルジャ軍陣屋」に入っていった。奥まで行って手がかりを探そう。			サンクレッドがゴールドバザーで見張りをしていたら、怪しいアマルジャ族がいたそうだ。アマルジャはこの「アマルジャ軍陣屋」に入っていった。奥まで行って手がかりを探そう。			虚ろな富の行方							
「怪しいビラ」を入手した。戻って「サンクレッド」に見せてみよう。			「怪しいビラ」を入手した。戻って「サンクレッド」に見せてみよう。			虚ろな富の行方							
「怪しいビラ」は本物の聖職者が書いたものではないようだ。「キャンプ・ドライボーン」の宿屋にいる「オルセン」に見せて確かめよう。			「怪しいビラ」は本物の聖職者が書いたものではないようだ。「キャンプ・ドライボーン」の宿屋にいる「オルセン」に見せて確かめよう。			虚ろな富の行方							
オルセンは怪しいビラに見覚えがなかった。また、司祭の服が紛失したことがあるらしい。「キャンプ・ドライボーン」の宿屋にいる「サンクレッド」に報告しよう。			オルセンは怪しいビラに見覚えがなかった。また、司祭の服が紛失したことがあるらしい。「キャンプ・ドライボーン」の宿屋にいる「サンクレッド」に報告しよう。			虚ろな富の行方							
共謀者は、盗んだ服を着て司祭になりすましている。注意するよう「イセムバード」に伝えよう。			共謀者は、盗んだ服を着て司祭になりすましている。注意するよう「イセムバード」に伝えよう。			虚ろな富の行方							
イセムバードも怪しい者に気をつけるそうだ。サンクレッドは罠を仕掛けると言っていたが、どうするつもりなのだろうか。			イセムバードも怪しい者に気をつけるそうだ。サンクレッドは罠を仕掛けると言っていたが、どうするつもりなのだろうか。			虚ろな富の行方							
サンクレッドと話す			サンクレッドと話す			虚ろな富の行方							
アマルジャ軍陣屋の中で手がかりを探す			アマルジャ軍陣屋の中で手がかりを探す			虚ろな富の行方							
怪しいビラをサンクレッドに渡す			怪しいビラをサンクレッドに渡す			虚ろな富の行方							
怪しいビラをオルセンに渡す			怪しいビラをオルセンに渡す			虚ろな富の行方							
サンクレッドと話す			サンクレッドと話す			虚ろな富の行方							
イセムバードと話す			イセムバードと話す			虚ろな富の行方							
オルセン様の怪我のことは心配するな。私の方で、宿屋で療養するよう伝えておく。			オルセン様の怪我のことは心配するな。私の方で、宿屋で療養するよう伝えておく。			虚ろな富の行方							
そうだ、サンクレッド君が君のことを探していたぞ、南東にある「アマルジャ軍陣屋」で待つそうだ。真の共謀者に繋がる証拠が、見つかるといいが……。			そうだ、サンクレッド君が君のことを探していたぞ、南東にある「アマルジャ軍陣屋」で待つそうだ。真の共謀者に繋がる証拠が、見つかるといいが……。			虚ろな富の行方							
来たか、Surname。			来たか、Surname。			虚ろな富の行方							
オルセンの話は聞いたよ、彼女の怪我はひどかったらしい。あの美しい司祭を疑ってしまうだなんて、まったくどうかしていたみたいだな……。			オルセンの話は聞いたよ、彼女の怪我はひどかったらしい。あの美しい司祭を疑ってしまうだなんて、まったくどうかしていたみたいだな……。			虚ろな富の行方							
ここに君を呼んだのは、ゴールドバザー付近でオルセンを尾行している時に、怪しいアマルジャ族を見かけたからだ。			ここに君を呼んだのは、ゴールドバザー付近でオルセンを尾行している時に、怪しいアマルジャ族を見かけたからだ。			虚ろな富の行方							
そいつは、アマルジャ軍陣屋の奥に入っていった。Surname、俺がここで見張っているから、中を探ってきてくれないか？			そいつは、アマルジャ軍陣屋の奥に入っていった。Surname、俺がここで見張っているから、中を探ってきてくれないか？			虚ろな富の行方							
俺がここで見張っているから、中を探ってきてくれないか？			俺がここで見張っているから、中を探ってきてくれないか？			虚ろな富の行方							
何か手がかりは見つかったか？			何か手がかりは見つかったか？			虚ろな富の行方							
このビラは……。「貧しい貴方に、ナル神の富を分配します」だと？……なるほど、貧民に職をあてがう集会のようだ。			このビラは……。「貧しい貴方に、ナル神の富を分配します」だと？……なるほど、貧民に職をあてがう集会のようだ。			虚ろな富の行方							
汚い文字だな……。ナルザル神についての知識も微妙におかしい。本物の聖職者が書いたものではなさそうだ……。			汚い文字だな……。ナルザル神についての知識も微妙におかしい。本物の聖職者が書いたものではなさそうだ……。			虚ろな富の行方							
司祭の「オルセン」に、「怪しいビラ」を見せてみよう。彼女は今、キャンプ・ドライボーンの宿屋にいるはずだ。			司祭の「オルセン」に、「怪しいビラ」を見せてみよう。彼女は今、キャンプ・ドライボーンの宿屋にいるはずだ。			虚ろな富の行方							
司祭のオルセンに、「怪しいビラ」を見せてやってくれ。			司祭のオルセンに、「怪しいビラ」を見せてやってくれ。			虚ろな富の行方							
あら？　あなたはこの前の冒険者さん。危ないところを助けて頂いてありがとうございました。今日はどうされました？			あら？　あなたはこの前の冒険者さん。危ないところを助けて頂いてありがとうございました。今日はどうされました？			虚ろな富の行方							
なんでしょう、このビラ……ひどい内容だわ。司祭が書いたものではなさそう、誰がこんなことを……。			なんでしょう、このビラ……ひどい内容だわ。司祭が書いたものではなさそう、誰がこんなことを……。			虚ろな富の行方							
……そういえば随分前に、司祭の衣装が無くなって困っていたのです。もしかして、誰かが司祭になりすましている……？			……そういえば随分前に、司祭の衣装が無くなって困っていたのです。もしかして、誰かが司祭になりすましている……？			虚ろな富の行方							
誰がこんなことを……。			誰がこんなことを……。			虚ろな富の行方							
どうやら謎が解けてきたようだな、Surname！恐らく、共謀者は司祭に化けて貧民を騙している。			どうやら謎が解けてきたようだな、Surname！恐らく、共謀者は司祭に化けて貧民を騙している。			虚ろな富の行方							
少し頭の回る奴のようだ……俺は捕らえる策を練っておこう。君は、イセムバードに注意するよう伝えてくれ。			少し頭の回る奴のようだ……俺は捕らえる策を練っておこう。君は、イセムバードに注意するよう伝えてくれ。			虚ろな富の行方							
……そうか、犯人は司祭様になりすまして貧民を集めていたのか！			……そうか、犯人は司祭様になりすまして貧民を集めていたのか！			虚ろな富の行方							
よくぞ突き止めてくれた。私も怪しい奴を見かけたら、注意しておこう。			よくぞ突き止めてくれた。私も怪しい奴を見かけたら、注意しておこう。			虚ろな富の行方							
ゴールドバザーのベネジャーは、もうひとつ冒険者に依頼があるようだ。			ゴールドバザーのベネジャーは、もうひとつ冒険者に依頼があるようだ。			輝け若者							
採掘師からの依頼のため、ベネジャーは遺跡付近の石を集めたいらしい。見えざる都の近くで「白く輝く石」を5つ集めよう。			採掘師からの依頼のため、ベネジャーは遺跡付近の石を集めたいらしい。見えざる都の近くで「白く輝く石」を5つ集めよう。			輝け若者							
白く輝く石を入手した。「ゴールドバザー」の「ベネジャー」に報告しよう。			白く輝く石を入手した。「ゴールドバザー」の「ベネジャー」に報告しよう。			輝け若者							
白く輝く石に霊銀が含まれていたら、ゴールドバザーの景気が良くなる。落ちぶれ集落になるかならぬかは、白く輝く石次第のようだ。			白く輝く石に霊銀が含まれていたら、ゴールドバザーの景気が良くなる。落ちぶれ集落になるかならぬかは、白く輝く石次第のようだ。			輝け若者							
白く輝く石を入手			白く輝く石を入手			輝け若者							
ベネジャーに白く輝く石を渡す			ベネジャーに白く輝く石を渡す			輝け若者							
あんた、使える冒険者じゃねぇか。最近来た採掘師からの頼みがあるんだ、引き受けないか？			あんた、使える冒険者じゃねぇか。最近来た採掘師からの頼みがあるんだ、引き受けないか？			輝け若者							
遺跡周辺の鉱脈の前調査のため、サンプルの石が必要らしい。「見えざる都」で「白く輝く石」を5個、拾ってきてくれよ！			遺跡周辺の鉱脈の前調査のため、サンプルの石が必要らしい。「見えざる都」で「白く輝く石」を5個、拾ってきてくれよ！			輝け若者							
遺跡周辺の鉱脈の前調査のため、サンプルの石が必要らしい。「見えざる都」の「白く輝く石」を5個、拾ってきてくれよ！			遺跡周辺の鉱脈の前調査のため、サンプルの石が必要らしい。「見えざる都」の「白く輝く石」を5個、拾ってきてくれよ！			輝け若者							
ほお……これが噂の「白く輝く石」か。ムフフ、確かに僅かではあるが輝いている……本当に霊銀が含まれているかもしれんな。			ほお……これが噂の「白く輝く石」か。ムフフ、確かに僅かではあるが輝いている……本当に霊銀が含まれているかもしれんな。			輝け若者							
頼むぜ「白く輝く石」ちゃんよぉ。このゴールドバザーに客を呼び込むためにも、霊銀をたっぷり含んでいてくれよ……？			頼むぜ「白く輝く石」ちゃんよぉ。このゴールドバザーに客を呼び込むためにも、霊銀をたっぷり含んでいてくれよ……？			輝け若者							
……実はさ、戦争でアラミゴとの陸路が断たれて以来、交易の中継地だったこの街の景気は、芳しくないんだ。			……実はさ、戦争でアラミゴとの陸路が断たれて以来、交易の中継地だったこの街の景気は、芳しくないんだ。			輝け若者							
だからさ、俺がゴールドバザーを金ピカに戻すんだ。んで、めっちゃ金持ちになったらさぁ……ケートリンを、意地でもさらいにいくんだ。			だからさ、俺がゴールドバザーを金ピカに戻すんだ。んで、めっちゃ金持ちになったらさぁ……ケートリンを、意地でもさらいにいくんだ。			輝け若者							
死んだ兄貴のことなんて、俺が忘れさせてやるんだ。……へへ、ケートリンには内緒にしてくれよ？			死んだ兄貴のことなんて、俺が忘れさせてやるんだ。……へへ、ケートリンには内緒にしてくれよ？			輝け若者							
キャンプ・ドライボーンの顔役イセムバードは、ニセ司祭が誰なのか見当がつかず困っている。			キャンプ・ドライボーンの顔役イセムバードは、ニセ司祭が誰なのか見当がつかず困っている。			消えた者たちの行方							
サンクレッドの提案で、貧民に扮してニセ司祭をおびき出すことになった。まずは、貧民が仕事を探しているという噂を広める必要がある。「ウェザードシェパードチュニック」と「ウェザードシェパードスロップ」を装備して、キャンプ・ドライボーンの住人に話しかけよう。			サンクレッドの提案で、貧民に扮してニセ司祭をおびき出すことになった。まずは、貧民が仕事を探しているという噂を広める必要がある。「ウェザードシェパードチュニック」と「ウェザードシェパードスロップ」を装備して、キャンプ・ドライボーンの住人に話しかけよう。			消えた者たちの行方							
住人の間に噂が行きわたったようだ。キャンプ・ドライボーンのサンクレッドに首尾を報告しよう。			住人の間に噂が行きわたったようだ。キャンプ・ドライボーンのサンクレッドに首尾を報告しよう。			消えた者たちの行方							
ドライボーンの池のほとりに貧民が集まっているようだ。サンクレッドによれば、そこは人気もなく、人拐いをするには都合がいいらしい。「ウェザードシェパードチュニック」と「ウェザードシェパードスロップ」を装備して、ドライボーンの池のほとりで待っている「サンクレッド」に話しかけよう。			ドライボーンの池のほとりに貧民が集まっているようだ。サンクレッドによれば、そこは人気もなく、人拐いをするには都合がいいらしい。「ウェザードシェパードチュニック」と「ウェザードシェパードスロップ」を装備して、ドライボーンの池のほとりで待っている「サンクレッド」に話しかけよう。			消えた者たちの行方							
ニセ司祭の正体は、以前ウルダハで女性を脅していた商人「ウグスト」だった。ウグストはアマルジャ族の命令で、人拐いを繰り返していたようだ。ベスパーベイの「砂の家」に戻り、「ミンフィリア」に事件の顛末を報告しよう。			ニセ司祭の正体は、以前ウルダハで女性を脅していた商人「ウグスト」だった。ウグストはアマルジャ族の命令で、人拐いを繰り返していたようだ。ベスパーベイの「砂の家」に戻り、「ミンフィリア」に事件の顛末を報告しよう。			消えた者たちの行方							
貧民誘拐事件の真相を突き止めた冒険者を、ミンフィリアは労ってくれた。いよいよ、アマルジャ族と接触することになりそうだ。迫る決戦のため、念入りに準備を整えていこう。			貧民誘拐事件の真相を突き止めた冒険者を、ミンフィリアは労ってくれた。いよいよ、アマルジャ族と接触することになりそうだ。迫る決戦のため、念入りに準備を整えていこう。			消えた者たちの行方							
ウェザードシェパードチュニックとウェザードシェパードスロップを着て住人と話す			ウェザードシェパードチュニックとウェザードシェパードスロップを着て住人と話す			消えた者たちの行方							
キャンプ・ドライボーンのサンクレッドと話す			キャンプ・ドライボーンのサンクレッドと話す			消えた者たちの行方							
ウェザードシェパードチュニックとウェザードシェパードスロップを着てドライボーンのサンクレッドと話す			ウェザードシェパードチュニックとウェザードシェパードスロップを着てドライボーンのサンクレッドと話す			消えた者たちの行方							
砂の家のミンフィリアに報告			砂の家のミンフィリアに報告			消えた者たちの行方							
ニセ司祭が誰なのか、まったく見当がつかないのだ。一度気になると、誰も彼も怪しく見える……。			ニセ司祭が誰なのか、まったく見当がつかないのだ。一度気になると、誰も彼も怪しく見える……。			消えた者たちの行方							
イセムバードさん。ニセ司祭を捕らえる、いい策を思いついたよ。奴は職の無い貧民にビラを渡していたんでしょう？			イセムバードさん。ニセ司祭を捕らえる、いい策を思いついたよ。奴は職の無い貧民にビラを渡していたんでしょう？			消えた者たちの行方							
だったら俺とSurnameが貧民に変装して、ニセ司祭を罠にはめてやればいい。			だったら俺とSurnameが貧民に変装して、ニセ司祭を罠にはめてやればいい。			消えた者たちの行方							
なるほど、おとり捜査というわけか。危険な賭けだが……君たちになら任せられる。			なるほど、おとり捜査というわけか。危険な賭けだが……君たちになら任せられる。			消えた者たちの行方							
そうだ、貧民に変装するなら、この「ウェザードシェパードチュニック」と「ウェザードシェパードスロップ」を使うといいだろう。			そうだ、貧民に変装するなら、この「ウェザードシェパードチュニック」と「ウェザードシェパードスロップ」を使うといいだろう。			消えた者たちの行方							
感謝するよ、イセムバードさん。			感謝するよ、イセムバードさん。			消えた者たちの行方							
Surname。君はこの服を着て、集落中に、俺たちが職を求める貧民だと噂を広めてくれ。			Surname。君はこの服を着て、集落中に、俺たちが職を求める貧民だと噂を広めてくれ。			消えた者たちの行方							
噂が十分に広がれば、ニセ司祭はビラを持って近づいてくるはず。そこを2人で、とっ捕まえるとしよう。			噂が十分に広がれば、ニセ司祭はビラを持って近づいてくるはず。そこを2人で、とっ捕まえるとしよう。			消えた者たちの行方							
よし、Surname。イセムバードさんに、もらった服を着て、集落中に、俺たちが貧民だという噂を流してくれ。			よし、Surname。イセムバードさんに、もらった服を着て、集落中に、俺たちが貧民だという噂を流してくれ。			消えた者たちの行方							
もし「ウェザードシェパードチュニック」と「ウェザードシェパードスロップ」をなくしたなら、イセムバードさんに相談してみるといいだろう。			もし「ウェザードシェパードチュニック」と「ウェザードシェパードスロップ」をなくしたなら、イセムバードさんに相談してみるといいだろう。			消えた者たちの行方							
……何の用だ。			……何の用だ。			消えた者たちの行方							
また新しい貧民が流れ着いたのか……。去るがいい。不滅隊が、お前に与える仕事はない。			また新しい貧民が流れ着いたのか……。去るがいい。不滅隊が、お前に与える仕事はない。			消えた者たちの行方							
……冒険者か。ザナラーンの平穏のため、付近の防衛に力を貸してくれ。			……冒険者か。ザナラーンの平穏のため、付近の防衛に力を貸してくれ。			消えた者たちの行方							
私は旅の宗教家……。汝、太陽の女神「アーゼマ」様に興味を持つ者か？			私は旅の宗教家……。汝、太陽の女神「アーゼマ」様に興味を持つ者か？			消えた者たちの行方							
汝、貧民よ。日神アーゼマ様に過去の悪行を懺悔せよ！さすれば光の導きが、汝の人生を豊かにするであろう！			汝、貧民よ。日神アーゼマ様に過去の悪行を懺悔せよ！さすれば光の導きが、汝の人生を豊かにするであろう！			消えた者たちの行方							
