シェシェネ青燐泉のエレンヴィルは、冒険者を待っているようだ。			シェシェネ青燐泉のエレンヴィルは、冒険者を待っているようだ。			自然に導かれし人々							
木材が必要というのなら譲りましょう。ですが、もしよければ同じ大地に生きる者同士、少し話をしていきませんか？			木材が必要というのなら譲りましょう。ですが、もしよければ同じ大地に生きる者同士、少し話をしていきませんか？			自然に導かれし人々							
おう、もちろんだぜ！			おう、もちろんだぜ！			自然に導かれし人々							
ありがとうございます。倅もあなた方との出会いを喜んでいるようですので……さあ、こちらへ。			ありがとうございます。倅もあなた方との出会いを喜んでいるようですので……さあ、こちらへ。			自然に導かれし人々							
……随分と自然豊かな地だ。いろんな動物たちが棲んでるんだろうな。			……随分と自然豊かな地だ。いろんな動物たちが棲んでるんだろうな。			自然に導かれし人々							
……恐れていることというのは、先ほども話に上がった「変化」そのものなのです。			……恐れていることというのは、先ほども話に上がった「変化」そのものなのです。			自然に導かれし人々							
先ほども申し上げましたが、あたしたちにとって何より大切なもの……それが祖霊、つまりロネークです。			先ほども申し上げましたが、あたしたちにとって何より大切なもの……それが祖霊、つまりロネークです。			自然に導かれし人々							
聞いたことがありませんか？ここ最近、ロネークの気性が荒くなっていると……。			聞いたことがありませんか？ここ最近、ロネークの気性が荒くなっていると……。			自然に導かれし人々							
そういえば、ロネーク使いの男が似たようなことを言っていたな。……原因はわかってるのか？			そういえば、ロネーク使いの男が似たようなことを言っていたな。……原因はわかってるのか？			自然に導かれし人々							
詳しいことまでは……しかし、青燐水を求める人々が増え続け、シャーローニ荒野の環境は、日々刻々と変わっています。			詳しいことまでは……しかし、青燐水を求める人々が増え続け、シャーローニ荒野の環境は、日々刻々と変わっています。			自然に導かれし人々							
……鉄道もまた然り、ということか。			……鉄道もまた然り、ということか。			自然に導かれし人々							
大柄で力も強いロネークですが、見た目に反して、繊細な一面もあるのです。大地を揺らし轟音を立てて走る鉄の塊を見れば……。			大柄で力も強いロネークですが、見た目に反して、繊細な一面もあるのです。大地を揺らし轟音を立てて走る鉄の塊を見れば……。			自然に導かれし人々							
でも、どうか勘違いしないで。僕たちは新しい風を拒んでいるわけじゃない。			でも、どうか勘違いしないで。僕たちは新しい風を拒んでいるわけじゃない。			自然に導かれし人々							
ああ、わかっている。正直に話してくれて、ありがとよ。			ああ、わかっている。正直に話してくれて、ありがとよ。			自然に導かれし人々							
この問題はヘイザ・アロ族だけの問題じゃねぇ……シャーローニ荒野全体の問題だな。			この問題はヘイザ・アロ族だけの問題じゃねぇ……シャーローニ荒野全体の問題だな。			自然に導かれし人々							
コーナ様なら、知恵を貸してくれそうなものだが……。			コーナ様なら、知恵を貸してくれそうなものだが……。			自然に導かれし人々							
新しい理王、コーナ様ですか……。あたしたちが噂で知る限りでは、彼の人柄は、何と言いますか……その……			新しい理王、コーナ様ですか……。あたしたちが噂で知る限りでは、彼の人柄は、何と言いますか……その……			自然に導かれし人々							
頭が固くて不愛想。民の心よりも効率を重んじ、技術革新を進める冷徹な人物。			頭が固くて不愛想。民の心よりも効率を重んじ、技術革新を進める冷徹な人物。			自然に導かれし人々							
これっ！　何ということをッ……！			これっ！　何ということをッ……！			自然に導かれし人々							
ふっ……半分くらいは合ってるかもな。だが、俺たちが知るコーナ様の印象とは違うようだ。			ふっ……半分くらいは合ってるかもな。だが、俺たちが知るコーナ様の印象とは違うようだ。			自然に導かれし人々							
何と言う？			何と言う？			自然に導かれし人々							
彼は旅を通じて変わったよ			彼は旅を通じて変わったよ			自然に導かれし人々							
不器用で勘違いされやすいだけ			不器用で勘違いされやすいだけ			自然に導かれし人々							
義妹が大好きな熱い人だよ			義妹が大好きな熱い人だよ			自然に導かれし人々							
ほう……彼が変わりゆく様子を、その目で見てきたと……。			ほう……彼が変わりゆく様子を、その目で見てきたと……。			自然に導かれし人々							
そうなのですか……。たしかにあたしたちは直接お話ししたことがありませんので、そう思い込んでいるだけかもしれません。			そうなのですか……。たしかにあたしたちは直接お話ししたことがありませんので、そう思い込んでいるだけかもしれません。			自然に導かれし人々							
ほう……ウクラマト様のことですな。たしかに、あたしたちの印象とはだいぶ違うようです。			ほう……ウクラマト様のことですな。たしかに、あたしたちの印象とはだいぶ違うようです。			自然に導かれし人々							
実際に継承の儀を通じて競い合い、共闘までしたForenameの言うことだ。そこらの噂話よりは信憑性があるんじゃないか？			実際に継承の儀を通じて競い合い、共闘までしたForenameの言うことだ。そこらの噂話よりは信憑性があるんじゃないか？			自然に導かれし人々							
継承の儀に！？　すごい……！			継承の儀に！？　すごい……！			自然に導かれし人々							
そうだったのか！？知らなかったとはいえ……とんでもない奴に手伝いを頼んじまったもんだぜ。			そうだったのか！？知らなかったとはいえ……とんでもない奴に手伝いを頼んじまったもんだぜ。			自然に導かれし人々							
どうやら、あたしたちの方も知らないことが多くありそうです。王が代わったことで、皆不安を抱いていたのですが……			どうやら、あたしたちの方も知らないことが多くありそうです。王が代わったことで、皆不安を抱いていたのですが……			自然に導かれし人々							
新王への継承という、新しい風が吹いている今だからこそ、もっと心を開き、知る努力をしてみる必要があるようですね。			新王への継承という、新しい風が吹いている今だからこそ、もっと心を開き、知る努力をしてみる必要があるようですね。			自然に導かれし人々							
理王コーナ様……いつかこのメワヘイゾーンに来てくれるといいね。			理王コーナ様……いつかこのメワヘイゾーンに来てくれるといいね。			自然に導かれし人々							
ああ、かつてのグルージャジャ様のように、我々を導いてくださるかもしれない。その日を楽しみに待つとしよう。			ああ、かつてのグルージャジャ様のように、我々を導いてくださるかもしれない。その日を楽しみに待つとしよう。			自然に導かれし人々							
話を聞いてくださり、ありがとうございました。あなた方と話せてよかった。			話を聞いてくださり、ありがとうございました。あなた方と話せてよかった。			自然に導かれし人々							
さあ、約束どおり木材は持っていってください。湖のほとりに置いてあるものでしたら、お好きなだけどうぞ。			さあ、約束どおり木材は持っていってください。湖のほとりに置いてあるものでしたら、お好きなだけどうぞ。			自然に導かれし人々							
恩に着るぜ……！			恩に着るぜ……！			自然に導かれし人々							
鉄道が及ぼすロネークたちへの影響については、俺たちもしっかりと調査した上で検討する。んで、必要とあらばコーナ様にも相談に行くからよ！			鉄道が及ぼすロネークたちへの影響については、俺たちもしっかりと調査した上で検討する。んで、必要とあらばコーナ様にも相談に行くからよ！			自然に導かれし人々							
それじゃ、ありがとな！この礼は近いうちに必ずさせてくれ！			それじゃ、ありがとな！この礼は近いうちに必ずさせてくれ！			自然に導かれし人々							
ばいばい！またいつでも遊びに来て！			ばいばい！またいつでも遊びに来て！			自然に導かれし人々							
この天幕には、ロネークの皮や骨が使われてる……。彼らの生活にとって、欠かせない存在なんだな。			この天幕には、ロネークの皮や骨が使われてる……。彼らの生活にとって、欠かせない存在なんだな。			自然に導かれし人々							
なるほどな……天幕で生活しているのは、移動しやすくするためか。季節ごとにロネークを追っているってわけだ。			なるほどな……天幕で生活しているのは、移動しやすくするためか。季節ごとにロネークを追っているってわけだ。			自然に導かれし人々							
ねえ、狩りは得意？いつもはどんな武器で戦う？			ねえ、狩りは得意？いつもはどんな武器で戦う？			自然に導かれし人々							
無事に修復用の木材は確保できた。お前さんたちも付き合ってくれてありがとな。			無事に修復用の木材は確保できた。お前さんたちも付き合ってくれてありがとな。			自然に導かれし人々							
さてと、こいつを駅の倉庫まで運ぶには……さすがに運搬の助けがあった方がいいだろう。まさかこんなに気前よく譲ってもらえるとは思ってなかったぜ。			さてと、こいつを駅の倉庫まで運ぶには……さすがに運搬の助けがあった方がいいだろう。まさかこんなに気前よく譲ってもらえるとは思ってなかったぜ。			自然に導かれし人々							
すまんが、ちっとばかし待っててくれるか？急いで人手とロネークを手配してくるからよ！			すまんが、ちっとばかし待っててくれるか？急いで人手とロネークを手配してくるからよ！			自然に導かれし人々							
……何はともあれ、順調に事が運んでよかったな。とりあえず、この距離を往復するんじゃなくて安心した。			……何はともあれ、順調に事が運んでよかったな。とりあえず、この距離を往復するんじゃなくて安心した。			自然に導かれし人々							
……これを駅まで運ぶのか。			……これを駅まで運ぶのか。			自然に導かれし人々							
あなた方と話せてよかった。今度は一緒に狩りでもしましょう。			あなた方と話せてよかった。今度は一緒に狩りでもしましょう。			自然に導かれし人々							
次はいつ遊びに来る？もっと外の話を聞かせてほしいな！			次はいつ遊びに来る？もっと外の話を聞かせてほしいな！			自然に導かれし人々							
メワヘイゾーン付近のエレンヴィルは、木材を見つめている。			メワヘイゾーン付近のエレンヴィルは、木材を見つめている。			大地が鳴いた日							
エレンヴィルと話した。シャーローニ荒野のメワヘイゾーン付近で、木材置き場にある「枕木用の木材」を持ち上げよう。			エレンヴィルと話した。シャーローニ荒野のメワヘイゾーン付近で、木材置き場にある「枕木用の木材」を持ち上げよう。			大地が鳴いた日							
枕木用の木材を持ち上げた。メワヘイゾーンの外まで運搬して「指定地点」に置こう。			枕木用の木材を持ち上げた。メワヘイゾーンの外まで運搬して「指定地点」に置こう。			大地が鳴いた日							
ワーリカたちの手伝いが完了した。シャーローニ駅付近の「エレンヴィル」と話そう。			ワーリカたちの手伝いが完了した。シャーローニ駅付近の「エレンヴィル」と話そう。			大地が鳴いた日							
線路の復旧を待った。シャーローニ駅付近のエレンヴィルに声をかけよう。			線路の復旧を待った。シャーローニ駅付近のエレンヴィルに声をかけよう。			大地が鳴いた日							
グルージャジャがゾラージャとの一騎討ちに敗れてしまった。トライヨラの金凰の間にいる「ウクラマト」と話そう。ほかの地に移動してしまった場合は、ヴォロク連王宮の「勇連隊の衛兵」に話しかけることで、金凰の間に通してもらえるようだ。			グルージャジャがゾラージャとの一騎討ちに敗れてしまった。トライヨラの金凰の間にいる「ウクラマト」と話そう。ほかの地に移動してしまった場合は、ヴォロク連王宮の「勇連隊の衛兵」に話しかけることで、金凰の間に通してもらえるようだ。			大地が鳴いた日							
仲間たちは、信じがたい出来事に言葉を失っている。グルージャジャの命を繋ぎ止められるだろうか……。			仲間たちは、信じがたい出来事に言葉を失っている。グルージャジャの命を繋ぎ止められるだろうか……。			大地が鳴いた日							
枕木用の木材を持ち上げる			枕木用の木材を持ち上げる			大地が鳴いた日							
指定地点に枕木用の木材を置く			指定地点に枕木用の木材を置く			大地が鳴いた日							
エレンヴィルと話す			エレンヴィルと話す			大地が鳴いた日							
金凰の間のウクラマトと話す			金凰の間のウクラマトと話す			大地が鳴いた日							
あなた方と話せてよかった。今度は一緒に狩りでもしましょう。			あなた方と話せてよかった。今度は一緒に狩りでもしましょう。			大地が鳴いた日							
次はいつ遊びに来る？もっと外の話を聞かせてほしいな！			次はいつ遊びに来る？もっと外の話を聞かせてほしいな！			大地が鳴いた日							
さて、ワーリカが戻るのを待つとして……よそのロネークがここまで入り込まなくてもいいように、街道沿いまでは移動させておくか。			さて、ワーリカが戻るのを待つとして……よそのロネークがここまで入り込まなくてもいいように、街道沿いまでは移動させておくか。			大地が鳴いた日							
ふたりで手分けして、「枕木用の木材」を運ぶとしよう。			ふたりで手分けして、「枕木用の木材」を運ぶとしよう。			大地が鳴いた日							
運搬作業は、ラヴィリンソスで死ぬほどやらされたからな。……これくらいなら普通だと思うようになった。			運搬作業は、ラヴィリンソスで死ぬほどやらされたからな。……これくらいなら普通だと思うようになった。			大地が鳴いた日							
メワヘイゾーンから木材を運んでこよう。			メワヘイゾーンから木材を運んでこよう。			大地が鳴いた日							
ふう……。これだけあれば十分そうだな。			ふう……。これだけあれば十分そうだな。			大地が鳴いた日							
運ばせちまってすまねえな！重かっただろ？			運ばせちまってすまねえな！重かっただろ？			大地が鳴いた日							
残りは俺たちがやっておくから、お前さんたちは、ひと休みしてくれ。			残りは俺たちがやっておくから、お前さんたちは、ひと休みしてくれ。			大地が鳴いた日							
それにしても、本当にありがとね！列車が復旧したら、一番に乗せてあげるから！			それにしても、本当にありがとね！列車が復旧したら、一番に乗せてあげるから！			大地が鳴いた日							
あー……それなんだが、復旧後の一番列車は、予約客で埋まっちまってるんだよ。			あー……それなんだが、復旧後の一番列車は、予約客で埋まっちまってるんだよ。			大地が鳴いた日							
すまねえが、次に出る二番列車でもいいか？もちろん手伝ってくれた礼に、一等客室の切符をふたり分、無料で用意するからよ！			すまねえが、次に出る二番列車でもいいか？もちろん手伝ってくれた礼に、一等客室の切符をふたり分、無料で用意するからよ！			大地が鳴いた日							
俺は構わないというか、ありがたいくらいの話だ。ナミーカさんみたいに前から予約している人こそ、先に乗って当然だろうからな。			俺は構わないというか、ありがたいくらいの話だ。ナミーカさんみたいに前から予約している人こそ、先に乗って当然だろうからな。			大地が鳴いた日							
ありがとな！せっかくの機会だし、一番列車が出発するところは、ぜひ見てってくれよな！			ありがとな！せっかくの機会だし、一番列車が出発するところは、ぜひ見てってくれよな！			大地が鳴いた日							
線路脇から眺めると、ド迫力だぜ！？			線路脇から眺めると、ド迫力だぜ！？			大地が鳴いた日							
一番列車の運転士はニトウィケさんだよ！列車の運転技術では、彼女の右に出る人はいないってくらい、もうパワフルで、しかも安定しててさあ……！			一番列車の運転士はニトウィケさんだよ！列車の運転技術では、彼女の右に出る人はいないってくらい、もうパワフルで、しかも安定しててさあ……！			大地が鳴いた日							
……そんなことより、俺たちは仕事だ！いくぞ、シェンダ！			……そんなことより、俺たちは仕事だ！いくぞ、シェンダ！			大地が鳴いた日							
さて、もう俺たちにできることはなさそうだな。シャーローニ駅の方で待つとするか。			さて、もう俺たちにできることはなさそうだな。シャーローニ駅の方で待つとするか。			大地が鳴いた日							
ありがとな！おかげで、これ以上客を待たせずに済みそうだぜ！			ありがとな！おかげで、これ以上客を待たせずに済みそうだぜ！			大地が鳴いた日							
キミたちのおかげで、ようやく作業が進んだよ！あとは枕木を交換すれば、元どおりに走れるはずさ！			キミたちのおかげで、ようやく作業が進んだよ！あとは枕木を交換すれば、元どおりに走れるはずさ！			大地が鳴いた日							
残りの作業は俺たちに任せてくれ。列車の走りっぷり、楽しみにしててくれよな！			残りの作業は俺たちに任せてくれ。列車の走りっぷり、楽しみにしててくれよな！			大地が鳴いた日							
列車の復旧まで、おたくもここで休むか？			列車の復旧まで、おたくもここで休むか？			大地が鳴いた日							
これより物語が大きく進展するため、カットシーンが連続して再生されます。			これより物語が大きく進展するため、カットシーンが連続して再生されます。			大地が鳴いた日							
しばらく時間がかかるため、十分にプレイ時間を確保したうえで、続きを進めることを、お勧めいたします。			しばらく時間がかかるため、十分にプレイ時間を確保したうえで、続きを進めることを、お勧めいたします。			大地が鳴いた日							
列車の復旧まで待ちますか？			列車の復旧まで待ちますか？			大地が鳴いた日							
うそだろ……オヤジ……。			うそだろ……オヤジ……。			大地が鳴いた日							
Forename様……。金凰の間へお戻りになりますか？			Forename様……。金凰の間へお戻りになりますか？			大地が鳴いた日							
「金凰の間」へ移動しますか？			「金凰の間」へ移動しますか？			大地が鳴いた日							
金凰の間のウクラマトは、呆然と立ち尽くしている。			金凰の間のウクラマトは、呆然と立ち尽くしている。			血の涙を拭って							
グルージャジャの最期を見届けた。トライヨラの金凰の間にいる「ウクラマト」と話そう。ほかの地に移動してしまった場合は、ヴォロク連王宮の「勇連隊の衛兵」に話しかけることで、金凰の間に通してもらえるようだ。			グルージャジャの最期を見届けた。トライヨラの金凰の間にいる「ウクラマト」と話そう。ほかの地に移動してしまった場合は、ヴォロク連王宮の「勇連隊の衛兵」に話しかけることで、金凰の間に通してもらえるようだ。			血の涙を拭って							
ウクラマトと話し、手分けしてトライヨラの被害状況を確認しにいくことになった。トライヨラの翼鏡の街周辺で、助けを必要とする「トライヨラの住民」がいれば救助しよう。			ウクラマトと話し、手分けしてトライヨラの被害状況を確認しにいくことになった。トライヨラの翼鏡の街周辺で、助けを必要とする「トライヨラの住民」がいれば救助しよう。			血の涙を拭って							
トライヨラの住民たちを救助した。翼鏡の街周辺にいる「ウクラマト」と話そう。			トライヨラの住民たちを救助した。翼鏡の街周辺にいる「ウクラマト」と話そう。			血の涙を拭って							
ウクラマトと話した。トライヨラ南側の「被害箇所」を調べて、被害状況を確認しよう。			ウクラマトと話した。トライヨラ南側の「被害箇所」を調べて、被害状況を確認しよう。			血の涙を拭って							
被害状況を確認した。トライヨラのベイサイド・ベヴィーにいる「アリゼー」と話そう。			被害状況を確認した。トライヨラのベイサイド・ベヴィーにいる「アリゼー」と話そう。			血の涙を拭って							
アリゼーと話し、情報を共有した。トライヨラのゴーニトルクの宝浜周辺で「ウクラマト」を探そう。			アリゼーと話し、情報を共有した。トライヨラのゴーニトルクの宝浜周辺で「ウクラマト」を探そう。			血の涙を拭って							
ウクラマトと話し、彼女の覚悟を聞き届けた。トライヨラのシャバーブチェ周辺にいる「ウクラマト」と話そう。			ウクラマトと話し、彼女の覚悟を聞き届けた。トライヨラのシャバーブチェ周辺にいる「ウクラマト」と話そう。			血の涙を拭って							
ウクラマトは落ち着いたようだ。ベイサイド・ベヴィーにいる「アリゼー」と話そう。			ウクラマトは落ち着いたようだ。ベイサイド・ベヴィーにいる「アリゼー」と話そう。			血の涙を拭って							
アリゼーと話し、ウクラマトの様子を報告した。敵に立ち向かう意志を固めた冒険者たちだが、足元に転がる敵兵しかり、謎は多いままだ……。			アリゼーと話し、ウクラマトの様子を報告した。敵に立ち向かう意志を固めた冒険者たちだが、足元に転がる敵兵しかり、謎は多いままだ……。			血の涙を拭って							
金凰の間のウクラマトと話す			金凰の間のウクラマトと話す			血の涙を拭って							
翼鏡の街周辺でトライヨラの住民を救助			翼鏡の街周辺でトライヨラの住民を救助			血の涙を拭って							
ウクラマトと話す			ウクラマトと話す			血の涙を拭って							
被害箇所を調べる			被害箇所を調べる			血の涙を拭って							
アリゼーと話す			アリゼーと話す			血の涙を拭って							
ウクラマトを探す			ウクラマトを探す			血の涙を拭って							
ウクラマトと話す			ウクラマトと話す			血の涙を拭って							
アリゼーと話す			アリゼーと話す			血の涙を拭って							
オヤ……ジ…………。			オヤ……ジ…………。			血の涙を拭って							
被害状況を……すぐに確認します……。			被害状況を……すぐに確認します……。			血の涙を拭って							
クソッ、あのとき油断しなければ……こんなことには……！			クソッ、あのとき油断しなければ……こんなことには……！			血の涙を拭って							
大変なことになってしまった……。私たちにできることは……。			大変なことになってしまった……。私たちにできることは……。			血の涙を拭って							
……っ……あんなに継承式……喜んでたのに……！もう子どもたちの活躍を見れないなんて……！			……っ……あんなに継承式……喜んでたのに……！もう子どもたちの活躍を見れないなんて……！			血の涙を拭って							
……こんなときこそ、私たちが率先して動きましょう。助けを必要としている人がたくさんいるでしょうから……。			……こんなときこそ、私たちが率先して動きましょう。助けを必要としている人がたくさんいるでしょうから……。			血の涙を拭って							
どうなってんだよ……。			どうなってんだよ……。			血の涙を拭って							
Forename様……。金凰の間へお戻りになりますか？			Forename様……。金凰の間へお戻りになりますか？			血の涙を拭って							
「金凰の間」へ移動しますか？			「金凰の間」へ移動しますか？			血の涙を拭って							
えっと、それで……アタシたちはこの後……。			えっと、それで……アタシたちはこの後……。			血の涙を拭って							
ご報告します……。都を襲撃した謎の軍勢は上空の船へと撤退、現在は勇連隊が総出で救助活動にあたっております。			ご報告します……。都を襲撃した謎の軍勢は上空の船へと撤退、現在は勇連隊が総出で救助活動にあたっております。			血の涙を拭って							
しかし、隊士にも死傷者が多く、人手が足りないというのが正直なところです……。			しかし、隊士にも死傷者が多く、人手が足りないというのが正直なところです……。			血の涙を拭って							
……報告に感謝する。別命あるまで、このまま人命救助を優先するよう、隊司令部に伝えてくれ。			……報告に感謝する。別命あるまで、このまま人命救助を優先するよう、隊司令部に伝えてくれ。			血の涙を拭って							
みんなを……トライヨラのみんなを……助けにいかねぇと……。			みんなを……トライヨラのみんなを……助けにいかねぇと……。			血の涙を拭って							
救助活動なら、私たちも手伝わせてもらうよ。			救助活動なら、私たちも手伝わせてもらうよ。			血の涙を拭って							
悪い、そうしてもらえると助かる……。今はひとりでも多くの民を救いたい……。			悪い、そうしてもらえると助かる……。今はひとりでも多くの民を救いたい……。			血の涙を拭って							
当然じゃない！そうと決まったら、手分けして被害状況を確認するわよ！			当然じゃない！そうと決まったら、手分けして被害状況を確認するわよ！			血の涙を拭って							
なら、アリゼーとアルフィノはベイサイド・ベヴィー周辺を、クルルとエレンヴィルは、連王宮周辺を頼む……！			なら、アリゼーとアルフィノはベイサイド・ベヴィー周辺を、クルルとエレンヴィルは、連王宮周辺を頼む……！			血の涙を拭って							
Forenameは……アタシと一緒に「翼鏡の街」に来てほしい。助けが必要な人に声をかけて、終わったら一度合流しよう。			Forenameは……アタシと一緒に「翼鏡の街」に来てほしい。助けが必要な人に声をかけて、終わったら一度合流しよう。			血の涙を拭って							
金凰の間は一時的に封鎖します……。トライヨラの外の状況も確認しないと……。			金凰の間は一時的に封鎖します……。トライヨラの外の状況も確認しないと……。			血の涙を拭って							
コーナのことは、俺に任せてくれ。			コーナのことは、俺に任せてくれ。			血の涙を拭って							
大丈夫か？痛いところはないか！？			大丈夫か？痛いところはないか！？			血の涙を拭って							
そう……バクージャジャが守ってくれたのね。よかった……。			そう……バクージャジャが守ってくれたのね。よかった……。			血の涙を拭って							
ううっ……ありがとうございます……。おかげでどうにか動けそうです……。			ううっ……ありがとうございます……。おかげでどうにか動けそうです……。			血の涙を拭って							
