オールド・シャーレアンのノルトータは、冒険者に感心しているようだ。			オールド・シャーレアンのノルトータは、冒険者に感心しているようだ。			ギルドシップのモブハント（中級）							
チャ・ラカ・ティアから研究対象を釣ってくるよう依頼された。「ガルジャナ・ラス」を6匹、選者殿の「チャ・ラカ・ティア」へ納品しよう。「ガルジャナ・ラス」はサベネア島のデミールの遺烈郷沿岸で「シュリンプボール」を釣り餌にすると釣ることができる。※納品は、収集価値「133」以上で可能となりますが、「313」以上で納品した場合、より多くの報酬が得られます。			チャ・ラカ・ティアから研究対象を釣ってくるよう依頼された。「ガルジャナ・ラス」を6匹、選者殿の「チャ・ラカ・ティア」へ納品しよう。「ガルジャナ・ラス」はサベネア島のデミールの遺烈郷沿岸で「シュリンプボール」を釣り餌にすると釣ることができる。※納品は、収集価値「133」以上で可能となりますが、「313」以上で納品した場合、より多くの報酬が得られます。			小魚が踊るエーテル							
チャ・ラカ・ティアに「ガルジャナ・ラス」を納品した。次にデータ採集する地域が決まるまで、こちらも腕を磨いておこう。			チャ・ラカ・ティアに「ガルジャナ・ラス」を納品した。次にデータ採集する地域が決まるまで、こちらも腕を磨いておこう。			小魚が踊るエーテル							
サベネア島のデミールの遺烈郷沿岸で釣り上げたガルジャナ・ラスをチャ・ラカ・ティアに納品			サベネア島のデミールの遺烈郷沿岸で釣り上げたガルジャナ・ラスをチャ・ラカ・ティアに納品			小魚が踊るエーテル							
おっ、また来てくれたのか！首尾は上々だぞ！			おっ、また来てくれたのか！首尾は上々だぞ！			小魚が踊るエーテル							
あの水槽、見てくれたか？学部で保管してた研究用の魚を入れてみたんだ。なかなか迫力だろ？			あの水槽、見てくれたか？学部で保管してた研究用の魚を入れてみたんだ。なかなか迫力だろ？			小魚が踊るエーテル							
お前のおかげで、俺の研究は一気に動き出したぞ！データ分析が、こんなに楽しいと思えるなんてな……！			お前のおかげで、俺の研究は一気に動き出したぞ！データ分析が、こんなに楽しいと思えるなんてな……！			小魚が踊るエーテル							
以降もエクスエーテルラウスのデータは継続的に調査していくが、採集は、ほかのグリーナーに頼んでいくつもりだ。			以降もエクスエーテルラウスのデータは継続的に調査していくが、採集は、ほかのグリーナーに頼んでいくつもりだ。			小魚が踊るエーテル							
腕利きのお前には、俺が長年調べたかった地域に行ってもらいたくてね。			腕利きのお前には、俺が長年調べたかった地域に行ってもらいたくてね。			小魚が踊るエーテル							
まず依頼したいのは、サベネア島近海での調査だ！			まず依頼したいのは、サベネア島近海での調査だ！			小魚が踊るエーテル							
あの海域では、霊災前後で水脈に大きな変動があったと見てる。教授の資料には、20年前からの該当海域のデータも含まれていた。現在のデータと比較することで、変化がわかるはずだ！			あの海域では、霊災前後で水脈に大きな変動があったと見てる。教授の資料には、20年前からの該当海域のデータも含まれていた。現在のデータと比較することで、変化がわかるはずだ！			小魚が踊るエーテル							
実は霊災前のサベネア島近海の研究は、ずっとネレー教授が進めてたことなんだ。			実は霊災前のサベネア島近海の研究は、ずっとネレー教授が進めてたことなんだ。			小魚が踊るエーテル							
だから期待を寄せてくれているネレー教授の調査を、引き継ぐっていう意味も込めて、ここから出発したいんだ！			だから期待を寄せてくれているネレー教授の調査を、引き継ぐっていう意味も込めて、ここから出発したいんだ！			小魚が踊るエーテル							
ただ、サベネア島近海では、第七霊災以降、不可解な海難事故が続いているらしい。だからこそ熟練のお前に依頼したいんだけど……大丈夫か？			ただ、サベネア島近海では、第七霊災以降、不可解な海難事故が続いているらしい。だからこそ熟練のお前に依頼したいんだけど……大丈夫か？			小魚が踊るエーテル							
何と答える？			何と答える？			小魚が踊るエーテル							
任せておけ……！			任せておけ……！			小魚が踊るエーテル							
セイレーン海で難破しかけたことがある……			セイレーン海で難破しかけたことがある……			小魚が踊るエーテル							
頼もしいなぁ……！本当に助かるよ。			頼もしいなぁ……！本当に助かるよ。			小魚が踊るエーテル							
う、噂は本当だったんだな……！だけど、サベネア島の沿岸部で釣りをすれば、船が難破する心配もないだろうし……。			う、噂は本当だったんだな……！だけど、サベネア島の沿岸部で釣りをすれば、船が難破する心配もないだろうし……。			小魚が踊るエーテル							
今回採集を頼みたいのは、20年前の調査対象と同じ種である、「ガルジャナ・ラス」だ。			今回採集を頼みたいのは、20年前の調査対象と同じ種である、「ガルジャナ・ラス」だ。			小魚が踊るエーテル							
ネレー教授の資料によれば、デミールの遺烈郷沿岸に棲息していて、釣り餌は「シュリンプボール」が適当らしい。くれぐれも、気をつけて行ってきてくれよ！			ネレー教授の資料によれば、デミールの遺烈郷沿岸に棲息していて、釣り餌は「シュリンプボール」が適当らしい。くれぐれも、気をつけて行ってきてくれよ！			小魚が踊るエーテル							
「ガルジャナ・ラス」を釣るにはデミールの遺烈郷沿岸で、釣り餌に「シュリンプボール」を使ってくれ。			「ガルジャナ・ラス」を釣るにはデミールの遺烈郷沿岸で、釣り餌に「シュリンプボール」を使ってくれ。			小魚が踊るエーテル							
ところで、サベネア島には転送魔法と船、どっちで向かうんだ？うう、俺は滅多にこの島を出ないから、想像つかないや……！気をつけて行ってきてくれよ！			ところで、サベネア島には転送魔法と船、どっちで向かうんだ？うう、俺は滅多にこの島を出ないから、想像つかないや……！気をつけて行ってきてくれよ！			小魚が踊るエーテル							
採ってきてくれたんだな、ありがとう！！20年前に、ネレー教授もこいつを調べていたんだよな。エーテル値を測定するのが楽しみだぜ！			採ってきてくれたんだな、ありがとう！！20年前に、ネレー教授もこいつを調べていたんだよな。エーテル値を測定するのが楽しみだぜ！			小魚が踊るエーテル							
採ってきてくれたんだな、ありがとう！！ネレー教授がくれた20年前のデータと並べる数値だからな。立派なこいつから、しっかり測定させてもらうな！			採ってきてくれたんだな、ありがとう！！ネレー教授がくれた20年前のデータと並べる数値だからな。立派なこいつから、しっかり測定させてもらうな！			小魚が踊るエーテル							
これで十分なサンプルが集まったわけだけど……今回は、ネレー教授を呼んでいるんだ。少し待っていてくれ！			これで十分なサンプルが集まったわけだけど……今回は、ネレー教授を呼んでいるんだ。少し待っていてくれ！			小魚が踊るエーテル							
君のほうから呼んでくれるとは、珍しい。サベネア島近海の研究は、順調に進んでいますか？			君のほうから呼んでくれるとは、珍しい。サベネア島近海の研究は、順調に進んでいますか？			小魚が踊るエーテル							
はい、教授にも報告したくて！彼女彼が集めてきてくれた「ガルジャナ・ラス」のおかげで、十分なデータが取れたところなんです！			はい、教授にも報告したくて！彼女彼が集めてきてくれた「ガルジャナ・ラス」のおかげで、十分なデータが取れたところなんです！			小魚が踊るエーテル							
教授が提供してくれた20年前のデータと比較した結果、予測どおり、霊災前よりもエーテル濃度が高くなっていました。おそらく、小魚の生息数も数倍に達しているはずです。			教授が提供してくれた20年前のデータと比較した結果、予測どおり、霊災前よりもエーテル濃度が高くなっていました。おそらく、小魚の生息数も数倍に達しているはずです。			小魚が踊るエーテル							
この魚は、身を守るために、周囲のエーテルを乱し、捕食者を惑わす習性があります。群れの規模が数倍になれば……その影響力も絶大でしょう。			この魚は、身を守るために、周囲のエーテルを乱し、捕食者を惑わす習性があります。群れの規模が数倍になれば……その影響力も絶大でしょう。			小魚が踊るエーテル							
つまり、霊災後に頻発していたという海難事故は、この小魚の群れが、エーテル式羅針盤を惑わしたことが、原因かもしれないっていうわけさ。			つまり、霊災後に頻発していたという海難事故は、この小魚の群れが、エーテル式羅針盤を惑わしたことが、原因かもしれないっていうわけさ。			小魚が踊るエーテル							
実に見事です……。まだ検証の必要はあるでしょうが、その説が事実であれば、遭難を防ぐ羅針盤の調整法の開発にも繋がるかもしれませんね。			実に見事です……。まだ検証の必要はあるでしょうが、その説が事実であれば、遭難を防ぐ羅針盤の調整法の開発にも繋がるかもしれませんね。			小魚が踊るエーテル							
ところでチャ・ラカ、君は以前から、私の資料を覗いては、サベネア島近海の数値を気にしていたような。それはなぜだったのでしょう？			ところでチャ・ラカ、君は以前から、私の資料を覗いては、サベネア島近海の数値を気にしていたような。それはなぜだったのでしょう？			小魚が踊るエーテル							
えっ！？　いやぁ、理由ですか……。なんとなく数値が不自然に思えて……確証はないんですが。			えっ！？　いやぁ、理由ですか……。なんとなく数値が不自然に思えて……確証はないんですが。			小魚が踊るエーテル							
うむ、それですよ、チャ・ラカ。発見の第一歩とは、得てして小さな違和感だったりするものです。			うむ、それですよ、チャ・ラカ。発見の第一歩とは、得てして小さな違和感だったりするものです。			小魚が踊るエーテル							
直感と発想力、そして答えに至る根気……やはり君には、研究者として不可欠な資質があるようです。			直感と発想力、そして答えに至る根気……やはり君には、研究者として不可欠な資質があるようです。			小魚が踊るエーテル							
えっ、ええ！？も、もったいないお言葉です……！			えっ、ええ！？も、もったいないお言葉です……！			小魚が踊るエーテル							
はは、あまり喜びすぎてはなりませんよ！私に少し褒められたくらいで満足していたら、研究者としての大成は、遠のいてしまいますからね。			はは、あまり喜びすぎてはなりませんよ！私に少し褒められたくらいで満足していたら、研究者としての大成は、遠のいてしまいますからね。			小魚が踊るエーテル							
うっ……！また気を引き締めて、研究の続きにあたります！			うっ……！また気を引き締めて、研究の続きにあたります！			小魚が踊るエーテル							
さて、俺は今回のデータを論文にまとめるのに戻るよ。データを取って、分析、考察……その繰り返しだな。			さて、俺は今回のデータを論文にまとめるのに戻るよ。データを取って、分析、考察……その繰り返しだな。			小魚が踊るエーテル							
霊災後に変化した水脈と、魚たちの増殖ペース……それに、海難事故の起きる時期や季節が一致すれば……「水脈潮汐説」の証明に役立つはずだ！			霊災後に変化した水脈と、魚たちの増殖ペース……それに、海難事故の起きる時期や季節が一致すれば……「水脈潮汐説」の証明に役立つはずだ！			小魚が踊るエーテル							
また次も、並みのグリーナーには頼めないような、難しい地域に行ってもらうことになるかもしれないけど……。引き続き、よろしく頼むぜ！			また次も、並みのグリーナーには頼めないような、難しい地域に行ってもらうことになるかもしれないけど……。引き続き、よろしく頼むぜ！			小魚が踊るエーテル							
おっし、どんどん忙しくなってきた！データに論文にって、書類仕事も嵩んでくけど……嬉しい悲鳴ってやつだよな！			おっし、どんどん忙しくなってきた！データに論文にって、書類仕事も嵩んでくけど……嬉しい悲鳴ってやつだよな！			小魚が踊るエーテル							
エーテル学部の貢献ランクが上昇しました！チャ・ラカ・ティアはあなたの事を、「研究室の請負人」と感じているようです！			エーテル学部の貢献ランクが上昇しました！チャ・ラカ・ティアはあなたの事を、「研究室の請負人」と感じているようです！			小魚が踊るエーテル							
「漁師」がレベル85以上になると、選者殿の「チャ・ラカ・ティア」から、次のクエストが受注可能です。			「漁師」がレベル85以上になると、選者殿の「チャ・ラカ・ティア」から、次のクエストが受注可能です。			小魚が踊るエーテル							
次のクエストを進行するためには、「メインクエスト：暁月のフィナーレ」の「星を救った英雄」を完了する必要があります。			次のクエストを進行するためには、「メインクエスト：暁月のフィナーレ」の「星を救った英雄」を完了する必要があります。			小魚が踊るエーテル							
工匠殿のデブロイは、食感の改善対策を思いついたようだ。			工匠殿のデブロイは、食感の改善対策を思いついたようだ。			食感も大事							
デブロイから酵母の製作を依頼された。「特製の酵母」を6個製作し、工匠殿の「デブロイ」へ納品しよう。※納品は、収集価値「140」以上で可能となりますが、「290」以上で納品した場合、より多くの報酬が得られます。			デブロイから酵母の製作を依頼された。「特製の酵母」を6個製作し、工匠殿の「デブロイ」へ納品しよう。※納品は、収集価値「140」以上で可能となりますが、「290」以上で納品した場合、より多くの報酬が得られます。			食感も大事							
デブロイに「特製の酵母」を納品した。デブロイが改善策を考えている間、こちらも腕を磨いておこう。			デブロイに「特製の酵母」を納品した。デブロイが改善策を考えている間、こちらも腕を磨いておこう。			食感も大事							
デブロイに特製の酵母を納品			デブロイに特製の酵母を納品			食感も大事							
お待ちしていました、同志Forename！			お待ちしていました、同志Forename！			食感も大事							
あれから、食感についていろいろと調べてみたんですが……わかりましたよ、パサつきの原因が！			あれから、食感についていろいろと調べてみたんですが……わかりましたよ、パサつきの原因が！			食感も大事							
答えは酵母にあったんです。甘味料によって糖分が加わったことで、酵母の働きが弱まり、生地が発酵不足になっていたみたいなんです。			答えは酵母にあったんです。甘味料によって糖分が加わったことで、酵母の働きが弱まり、生地が発酵不足になっていたみたいなんです。			食感も大事							
つまりは、加糖生地に最適な酵母ならば、しっとりした本来の食感が戻ってくるはず！			つまりは、加糖生地に最適な酵母ならば、しっとりした本来の食感が戻ってくるはず！			食感も大事							
ですが、私が酵母を起こしてみたところ、今度は働きが強すぎて、栄養素まで分解されてしまいました。酵母の開発には繊細な腕が必要なようです。			ですが、私が酵母を起こしてみたところ、今度は働きが強すぎて、栄養素まで分解されてしまいました。酵母の開発には繊細な腕が必要なようです。			食感も大事							
今回も、あなたの力を貸していただきたい。どうか「特製の酵母」の開発をお願いします！			今回も、あなたの力を貸していただきたい。どうか「特製の酵母」の開発をお願いします！			食感も大事							
生地の発酵具合を改善し、試作品の食感をよくするため、「特製の酵母」の開発をお願いします！			生地の発酵具合を改善し、試作品の食感をよくするため、「特製の酵母」の開発をお願いします！			食感も大事							
どうもありがとうございます！この酵母なら加糖生地でも、しっかり働いてくれるでしょう！			どうもありがとうございます！この酵母なら加糖生地でも、しっかり働いてくれるでしょう！			食感も大事							
なんと元気な酵母でしょう！私にはわかります、これはひと味違う一級品！きっと最高の食感を生み出してくれるはず……感謝します！			なんと元気な酵母でしょう！私にはわかります、これはひと味違う一級品！きっと最高の食感を生み出してくれるはず……感謝します！			食感も大事							
納品に、感謝いたします！頂いた特製の酵母を使った試作品三号ですが、思ったとおり、しっとりとした食感になりました！			納品に、感謝いたします！頂いた特製の酵母を使った試作品三号ですが、思ったとおり、しっとりとした食感になりました！			食感も大事							
課題となっていた栄養素の分解も見られず、完全食としても、しっかり機能しています。			課題となっていた栄養素の分解も見られず、完全食としても、しっかり機能しています。			食感も大事							
ラストスタンドのお客さんにも評判がよくて、あの常連のお客さんも、太鼓判を押してくれたんですよ！			ラストスタンドのお客さんにも評判がよくて、あの常連のお客さんも、太鼓判を押してくれたんですよ！			食感も大事							
そして、ここらで、私の知る限り、シャーレアン随一の美食家から意見を伺いたい。			そして、ここらで、私の知る限り、シャーレアン随一の美食家から意見を伺いたい。			食感も大事							
それは、ラストスタンドの店主「ディコン」さんです。彼は私に美食の何たるかを教えてくれた恩師でもあります。一緒にラストスタンドへ向かいましょう。			それは、ラストスタンドの店主「ディコン」さんです。彼は私に美食の何たるかを教えてくれた恩師でもあります。一緒にラストスタンドへ向かいましょう。			食感も大事							
店長、試作品第三号の味はどうでしたか……？			店長、試作品第三号の味はどうでしたか……？			食感も大事							
ま、及第点ってところだ……。			ま、及第点ってところだ……。			食感も大事							
それにしても、あのクソ不味いヘルスブレッドを、よくぞここまで改善したもんだ。きっと、助っ人の力が、デカかったんだろうな。			それにしても、あのクソ不味いヘルスブレッドを、よくぞここまで改善したもんだ。きっと、助っ人の力が、デカかったんだろうな。			食感も大事							
何と言う？			何と言う？			食感も大事							
デブロイの努力あればこそだ……！			デブロイの努力あればこそだ……！			食感も大事							
あの味は耐え難かったので死力を尽くした！			あの味は耐え難かったので死力を尽くした！			食感も大事							
そ、そんな……私だけでは絶対に無理でしたよ！同志Forenameがいなければ、机上の空論で終わっていたはずですから！			そ、そんな……私だけでは絶対に無理でしたよ！同志Forenameがいなければ、机上の空論で終わっていたはずですから！			食感も大事							
うぅ……さすが同志Forename……志を同じくしたあなたの存在が、これほど頼もしいとは……！激マズ滅ぶべし……！			うぅ……さすが同志Forename……志を同じくしたあなたの存在が、これほど頼もしいとは……！激マズ滅ぶべし……！			食感も大事							
だが、まだ問題もある。味も食感も悪くないが……香りが足りない。食欲をそそり、風味をよくする芳しさが欲しいところだ。			だが、まだ問題もある。味も食感も悪くないが……香りが足りない。食欲をそそり、風味をよくする芳しさが欲しいところだ。			食感も大事							
なるほど……香りですか……。			なるほど……香りですか……。			食感も大事							
まだまだ美食の道には、目指すべき高みがあるということですね！わかりました、ここまで来たら店長から満点をもらえるよう、より改善してみせますッ！			まだまだ美食の道には、目指すべき高みがあるということですね！わかりました、ここまで来たら店長から満点をもらえるよう、より改善してみせますッ！			食感も大事							
お前さんを見ていると思い出すよ。このラストスタンドの設立者、「メルヴィン」さんをな。彼はシャーレアンに美食を広めることに命をかけていた。			お前さんを見ていると思い出すよ。このラストスタンドの設立者、「メルヴィン」さんをな。彼はシャーレアンに美食を広めることに命をかけていた。			食感も大事							
志半ばにして亡くなり、俺が店を継いだが、まだまだこの国では、美食がないがしろにされがちだ。			志半ばにして亡くなり、俺が店を継いだが、まだまだこの国では、美食がないがしろにされがちだ。			食感も大事							
さらには、栄養学のお偉いさんが、クソ不味いヘルスブレッドとやらを、完全食と言い出す始末……。味を捨てながら「完全」とは片腹痛いわ！			さらには、栄養学のお偉いさんが、クソ不味いヘルスブレッドとやらを、完全食と言い出す始末……。味を捨てながら「完全」とは片腹痛いわ！			食感も大事							
いいか、ラストスタンドは、シャーレアン食文化にとっての「最後の砦」なんだ！			いいか、ラストスタンドは、シャーレアン食文化にとっての「最後の砦」なんだ！			食感も大事							
その名に込められたメルヴィンさんの想いに共感してくれるなら、どうかふたりとも……頼んだぜ！			その名に込められたメルヴィンさんの想いに共感してくれるなら、どうかふたりとも……頼んだぜ！			食感も大事							
店長に背中を押され、身が引き締まる思いです。試作品をさらに美味しく改善しましょう！			店長に背中を押され、身が引き締まる思いです。試作品をさらに美味しく改善しましょう！			食感も大事							
さて、次に取り組むべきは、香り付けです。改善策を考えてみますので、また折を見て訪ねてきてくださいね！			さて、次に取り組むべきは、香り付けです。改善策を考えてみますので、また折を見て訪ねてきてくださいね！			食感も大事							
医学部の貢献ランクが上昇しました！デブロイはあなたの事を、「不可欠な職人さん」と感じているようです！			医学部の貢献ランクが上昇しました！デブロイはあなたの事を、「不可欠な職人さん」と感じているようです！			食感も大事							
次のクエストは、「錬金術師／調理師」のいずれかがレベル85以上になると、工匠殿の「デブロイ」から受注可能です。			次のクエストは、「錬金術師／調理師」のいずれかがレベル85以上になると、工匠殿の「デブロイ」から受注可能です。			食感も大事							
工匠殿のルルシャは、不足している部品に気づいたようだ。			工匠殿のルルシャは、不足している部品に気づいたようだ。			噛み合うもの、噛み合わぬもの							
ルルシャから部品の製作を依頼された。「黄金の精密歯車」を6個製作し、工匠殿の「ルルシャ」へ納品しよう。※納品は、収集価値「140」以上で可能となりますが、「290」以上で納品した場合、より多くの報酬が得られます。			ルルシャから部品の製作を依頼された。「黄金の精密歯車」を6個製作し、工匠殿の「ルルシャ」へ納品しよう。※納品は、収集価値「140」以上で可能となりますが、「290」以上で納品した場合、より多くの報酬が得られます。			噛み合うもの、噛み合わぬもの							
ルルシャに「黄金の精密歯車」を納品した。黄金のチャタ号が起動しない原因について、ルルシャの調査が終わるのを待とう。			ルルシャに「黄金の精密歯車」を納品した。黄金のチャタ号が起動しない原因について、ルルシャの調査が終わるのを待とう。			噛み合うもの、噛み合わぬもの							
ルルシャに黄金の精密歯車を納品			ルルシャに黄金の精密歯車を納品			噛み合うもの、噛み合わぬもの							
あらあら、よく来てくれたわねぇ。			あらあら、よく来てくれたわねぇ。			噛み合うもの、噛み合わぬもの							
ああっ、よかった……あなたがもう来なかったりしたら、どうしようかと！もう心配で、心配で、資料の整理もままならなくてっ……！			ああっ、よかった……あなたがもう来なかったりしたら、どうしようかと！もう心配で、心配で、資料の整理もままならなくてっ……！			噛み合うもの、噛み合わぬもの							
ボリック、Forenameさんは、請け負ったことを、途中で放り出すような方じゃないわ。			ボリック、Forenameさんは、請け負ったことを、途中で放り出すような方じゃないわ。			噛み合うもの、噛み合わぬもの							
すっ、すみませ～～んっ！本当に悪気はまったくなくてですね！？手伝いを断られることばかりだったから、とにかく心配で！			すっ、すみませ～～んっ！本当に悪気はまったくなくてですね！？手伝いを断られることばかりだったから、とにかく心配で！			噛み合うもの、噛み合わぬもの							
どうか、気を悪くしないでちょうだいねぇ。ボリックは、昔から心配性なところがあるから……。			どうか、気を悪くしないでちょうだいねぇ。ボリックは、昔から心配性なところがあるから……。			噛み合うもの、噛み合わぬもの							
それよりも、依頼についてお話ししましょう。今回、お願いしたいのは、極小サイズの精密歯車よ。			それよりも、依頼についてお話ししましょう。今回、お願いしたいのは、極小サイズの精密歯車よ。			噛み合うもの、噛み合わぬもの							
外装部品の内側が傷ついていた原因を調べてみたのだけど、欠けた歯車が悪さをしていたことが、判明したの……。つまり頑丈さも必要なの、作れるかしら？			外装部品の内側が傷ついていた原因を調べてみたのだけど、欠けた歯車が悪さをしていたことが、判明したの……。つまり頑丈さも必要なの、作れるかしら？			噛み合うもの、噛み合わぬもの							
何と言う？			何と言う？			噛み合うもの、噛み合わぬもの							
問題なし！			問題なし！			噛み合うもの、噛み合わぬもの							
難しい作業になりそうだ……			難しい作業になりそうだ……			噛み合うもの、噛み合わぬもの							
ふふ、それじゃあ、「黄金の精密歯車」の製作をお願いね。今回も、あなたの知識と技術に期待しているわ。			ふふ、それじゃあ、「黄金の精密歯車」の製作をお願いね。今回も、あなたの知識と技術に期待しているわ。			噛み合うもの、噛み合わぬもの							
小さい遺物なので、内部の歯車もすっごく小さいんですよ～。見立てでは第三星暦の……アラグ文明の品ではないものの、技術力はそれに迫るものがありそうですよね……。			小さい遺物なので、内部の歯車もすっごく小さいんですよ～。見立てでは第三星暦の……アラグ文明の品ではないものの、技術力はそれに迫るものがありそうですよね……。			噛み合うもの、噛み合わぬもの							
「黄金の精密歯車」の製作をお願いね。今回も、あなたの知識と技術に期待しているわ。			「黄金の精密歯車」の製作をお願いね。今回も、あなたの知識と技術に期待しているわ。			噛み合うもの、噛み合わぬもの							
歯車の準備、助かるわ。あなたは本当に器用な職人さんなのねぇ……。			歯車の準備、助かるわ。あなたは本当に器用な職人さんなのねぇ……。			噛み合うもの、噛み合わぬもの							
歯車の準備、助かるわ。こんなにも小さな部品なのに、とても精巧……。あなたの細やかで丁寧な仕事ぶりが、うかがえるわねぇ。			歯車の準備、助かるわ。こんなにも小さな部品なのに、とても精巧……。あなたの細やかで丁寧な仕事ぶりが、うかがえるわねぇ。			噛み合うもの、噛み合わぬもの							
あなたが作ってくれた歯車、綺麗に噛み合ってくれたわ。これで動いてくれたら良いんだけれど……。			あなたが作ってくれた歯車、綺麗に噛み合ってくれたわ。これで動いてくれたら良いんだけれど……。			噛み合うもの、噛み合わぬもの							
黄金のチャタ号が、ほんの少しだけ弾むように動いた！しかし、遺物はそのまま沈黙してしまっている。修復すべき箇所が、まだ残っているようだ。			黄金のチャタ号が、ほんの少しだけ弾むように動いた！しかし、遺物はそのまま沈黙してしまっている。修復すべき箇所が、まだ残っているようだ。			噛み合うもの、噛み合わぬもの							
あらあら、まあまあ！チャタ号、がんばってくれたじゃない。この調子でいけば、じきにちゃんと起動してくれそうだわ。			あらあら、まあまあ！チャタ号、がんばってくれたじゃない。この調子でいけば、じきにちゃんと起動してくれそうだわ。			噛み合うもの、噛み合わぬもの							
いや、ちょっと動いただけで、すぐ止まっちゃいましたよ！？ルルシャ教授～、本当に……ほんと～に、この遺物の修復を続けて大丈夫なんですか？			いや、ちょっと動いただけで、すぐ止まっちゃいましたよ！？ルルシャ教授～、本当に……ほんと～に、この遺物の修復を続けて大丈夫なんですか？			噛み合うもの、噛み合わぬもの							
