トライヨラのボロガーは、冒険者に紹介したい人がいるようだ。			トライヨラのボロガーは、冒険者に紹介したい人がいるようだ。			トラル大陸のモブハント（中級）							
……モブハント導入の経緯は聞いたかい？コーナ様が制度を提案するまで、害獣への対処は、基本的に、その土地の狩人があたっていたんだ。			……モブハント導入の経緯は聞いたかい？コーナ様が制度を提案するまで、害獣への対処は、基本的に、その土地の狩人があたっていたんだ。			トラル大陸のモブハント（中級）							
蛇の戦士を自認するヴァイパーも、もともとはそんな狩人さ。しかし長い歴史の中で、あたしらは技を磨き、いつしか、命懸けで「人の生活を脅かす凶獣」を狩る専門家となっていった。			蛇の戦士を自認するヴァイパーも、もともとはそんな狩人さ。しかし長い歴史の中で、あたしらは技を磨き、いつしか、命懸けで「人の生活を脅かす凶獣」を狩る専門家となっていった。			トラル大陸のモブハント（中級）							
以来、ヴァイパーは人々の声に応じて狩りを続けてたんだが……。トラル統一が為された折、連王グルージャジャから、その技を大陸中の民のため役立ててくれと頼み込まれてね。			以来、ヴァイパーは人々の声に応じて狩りを続けてたんだが……。トラル統一が為された折、連王グルージャジャから、その技を大陸中の民のため役立ててくれと頼み込まれてね。			トラル大陸のモブハント（中級）							
そうしてあたしらは、トラルの南北をまたにかけるようになった。ただ、さすがに手が足りない……そこにモブハントが導入され、近年では傭兵の力も借りつつ、狩りに臨める体制になったわけ。			そうしてあたしらは、トラルの南北をまたにかけるようになった。ただ、さすがに手が足りない……そこにモブハントが導入され、近年では傭兵の力も借りつつ、狩りに臨める体制になったわけ。			トラル大陸のモブハント（中級）							
ま、何が言いたいかってえと……いくつかの変遷はあれど、あたしらの狩りは、あくまでも人の暮らしを守る手段ってことさ。今後どれほど獣を狩ったとて、それだけは忘れずにいておくれ。			ま、何が言いたいかってえと……いくつかの変遷はあれど、あたしらの狩りは、あくまでも人の暮らしを守る手段ってことさ。今後どれほど獣を狩ったとて、それだけは忘れずにいておくれ。			トラル大陸のモブハント（中級）							
ああ、それからもうひとつ。これはあたしが教えたヴァイパーの子らに、いつも言ってることだけど……。			ああ、それからもうひとつ。これはあたしが教えたヴァイパーの子らに、いつも言ってることだけど……。			トラル大陸のモブハント（中級）							
絶対に、死なないこと！死ねば狩りは為せず、民の命はなお脅かされる……己の背に守るべき者の命も乗っていること、覚えておくんだよ。			絶対に、死なないこと！死ねば狩りは為せず、民の命はなお脅かされる……己の背に守るべき者の命も乗っていること、覚えておくんだよ。			トラル大陸のモブハント（中級）							
じゃ、あたしはそろそろヤクテル樹海の仕事に戻ろうかね。いずれきっとまた会うだろうから、そのときを楽しみにしてるよ。			じゃ、あたしはそろそろヤクテル樹海の仕事に戻ろうかね。いずれきっとまた会うだろうから、そのときを楽しみにしてるよ。			トラル大陸のモブハント（中級）							
おや、おかえりなさい。チャカトから、狩りについての話はお聞きになれましたか？			おや、おかえりなさい。チャカトから、狩りについての話はお聞きになれましたか？			トラル大陸のモブハント（中級）							
それはよかった。生きるための狩りをせよ、というのが我らの訓えですからね、貴方にはまず、それを知ってほしかったのです。			それはよかった。生きるための狩りをせよ、というのが我らの訓えですからね、貴方にはまず、それを知ってほしかったのです。			トラル大陸のモブハント（中級）							
さて……ご足労おかけした間に、手続きは済ませておきました。以後は中級の手配書が確認可能ですので、引き続き、どうぞよろしくお願いいたします。			さて……ご足労おかけした間に、手続きは済ませておきました。以後は中級の手配書が確認可能ですので、引き続き、どうぞよろしくお願いいたします。			トラル大陸のモブハント（中級）							
「トラルモブ手配書：中級」が開放された！			「トラルモブ手配書：中級」が開放された！			トラル大陸のモブハント（中級）							
トライヨラの「トラルハントボード」から、「トラルモブ手配書：中級」を、入手できるようになりました。			トライヨラの「トラルハントボード」から、「トラルモブ手配書：中級」を、入手できるようになりました。			トラル大陸のモブハント（中級）							
また、「レベル99」以上になり、「メインクエスト」を特定の状態まで完了すると、ボロガーから、新たなクエストが受注できます。			また、「レベル99」以上になり、「メインクエスト」を特定の状態まで完了すると、ボロガーから、新たなクエストが受注できます。			トラル大陸のモブハント（中級）							
シャダータラト・ゾユのフンムルクは、静かに佇んでいる。			シャダータラト・ゾユのフンムルクは、静かに佇んでいる。			笑顔を護るための戦い							
フンムルクと話した。ヤクテル樹海の星覚えの園庭にいる「ウクラマト」と話そう。			フンムルクと話した。ヤクテル樹海の星覚えの園庭にいる「ウクラマト」と話そう。			笑顔を護るための戦い							
ショブリト灰戦場にウクラマトを呼び出したバクージャジャは、フンムルクを人質に勝負を挑んできた。この挑戦を受けたウクラマトは、冒険者の手を借りることなく、乱入してきた手下もろともバクージャジャを撃破する。ふたりの勝負の行方を最後まで見届けよう。			ショブリト灰戦場にウクラマトを呼び出したバクージャジャは、フンムルクを人質に勝負を挑んできた。この挑戦を受けたウクラマトは、冒険者の手を借りることなく、乱入してきた手下もろともバクージャジャを撃破する。ふたりの勝負の行方を最後まで見届けよう。			笑顔を護るための戦い							
ウクラマトに敗れたバクージャジャは、取り乱した様子でマムークの方へ走り去っていった。ウクラマトはフンムルクが自身の実の父親なのか確認しようとするが、フンムルクはその言葉を遮るように、グルージャジャの娘であるウクラマトを称える。ウクラマトもまた、フンムルクの意図を汲むように、自分は連王の娘であり王となる者だと言い切るのだった。星覚えの園庭の「ウクラマト」と話そう。			ウクラマトに敗れたバクージャジャは、取り乱した様子でマムークの方へ走り去っていった。ウクラマトはフンムルクが自身の実の父親なのか確認しようとするが、フンムルクはその言葉を遮るように、グルージャジャの娘であるウクラマトを称える。ウクラマトもまた、フンムルクの意図を汲むように、自分は連王の娘であり王となる者だと言い切るのだった。星覚えの園庭の「ウクラマト」と話そう。			笑顔を護るための戦い							
ウクラマトは、自身の勝利を信じて見守り続けてくれた冒険者に感謝の言葉を伝える。旅を通じて成長してきた彼女ならば、バクージャジャを相手に後れを取ることは、もうないだろう。			ウクラマトは、自身の勝利を信じて見守り続けてくれた冒険者に感謝の言葉を伝える。旅を通じて成長してきた彼女ならば、バクージャジャを相手に後れを取ることは、もうないだろう。			笑顔を護るための戦い							
ウクラマトと話す			ウクラマトと話す			笑顔を護るための戦い							
ウクラマトと再度話す			ウクラマトと再度話す			笑顔を護るための戦い							
昔を思い出して、少し感傷的になってしまった。			昔を思い出して、少し感傷的になってしまった。			笑顔を護るための戦い							
私はもう少しここでセノーテを眺めているとするよ。君は先に「星覚えの園庭」まで戻るといい。			私はもう少しここでセノーテを眺めているとするよ。君は先に「星覚えの園庭」まで戻るといい。			笑顔を護るための戦い							
君と話して、少しすっきりしたよ。ありがとう。			君と話して、少しすっきりしたよ。ありがとう。			笑顔を護るための戦い							
フンムルクさんとのお話は済んだの？			フンムルクさんとのお話は済んだの？			笑顔を護るための戦い							
これより物語が大きく進展するため、クエストバトルに続けて、カットシーンが連続して再生されます。十分にプレイ時間を確保して進めることを、お勧めいたします。			これより物語が大きく進展するため、クエストバトルに続けて、カットシーンが連続して再生されます。十分にプレイ時間を確保して進めることを、お勧めいたします。			笑顔を護るための戦い							
よう、何の話だったんだ？			よう、何の話だったんだ？			笑顔を護るための戦い							
ま、いいけどな。通りがかったシュバラール族に聞いた話じゃ、ティーンベク洞道の復旧には、まだ時間がかかるみたいだぜ。			ま、いいけどな。通りがかったシュバラール族に聞いた話じゃ、ティーンベク洞道の復旧には、まだ時間がかかるみたいだぜ。			笑顔を護るための戦い							
それなら、私は少し休ませてもらうわね。			それなら、私は少し休ませてもらうわね。			笑顔を護るための戦い							
んじゃ、アタシも……			んじゃ、アタシも……			笑顔を護るための戦い							
(-？？？？-)おっと、お待ちくだせぇ。			(-？？？？-)おっと、お待ちくだせぇ。			笑顔を護るための戦い							
お前は、バクージャジャの手下の……。アタシに何か用か？			お前は、バクージャジャの手下の……。アタシに何か用か？			笑顔を護るための戦い							
一緒に来てもらいましょうか、王女。嫌なら断ってくれてもいいですが、そのときは、あんたの大事な人がどんな目に遭うか……。			一緒に来てもらいましょうか、王女。嫌なら断ってくれてもいいですが、そのときは、あんたの大事な人がどんな目に遭うか……。			笑顔を護るための戦い							
アタシの大事な人だって？いったい何のことだ。			アタシの大事な人だって？いったい何のことだ。			笑顔を護るための戦い							
お仲間の方は、心当たりがおありでしょう？			お仲間の方は、心当たりがおありでしょう？			笑顔を護るための戦い							
さすがは王女、ものわかりがいいようで。それじゃ、大人しくついてきてくださいよ。			さすがは王女、ものわかりがいいようで。それじゃ、大人しくついてきてくださいよ。			笑顔を護るための戦い							
このクエストバトルは、「ウクラマト」を操作して行います。			このクエストバトルは、「ウクラマト」を操作して行います。			笑顔を護るための戦い							
ウクラマトは、敵の攻撃にうまく対処することで、リミットゲージを大きく増やすことができます。			ウクラマトは、敵の攻撃にうまく対処することで、リミットゲージを大きく増やすことができます。			笑顔を護るための戦い							
ウクラマト専用のリミットブレイクは、敵に大ダメージを与えつつ、ＨＰの回復にも利用できるので、積極的に活用していきましょう！			ウクラマト専用のリミットブレイクは、敵に大ダメージを与えつつ、ＨＰの回復にも利用できるので、積極的に活用していきましょう！			笑顔を護るための戦い							
本クエストを進行するためには、現在のクラス・ジョブが、レベル94以上の、ファイター、もしくはソーサラーである必要があります。			本クエストを進行するためには、現在のクラス・ジョブが、レベル94以上の、ファイター、もしくはソーサラーである必要があります。			笑顔を護るための戦い							
ウクラマトさん、一見疲れてるみたいだけれど、どこか晴れ晴れとした爽やかな表情をしてるようにも見えるわ。ふたりで何をしていたの？			ウクラマトさん、一見疲れてるみたいだけれど、どこか晴れ晴れとした爽やかな表情をしてるようにも見えるわ。ふたりで何をしていたの？			笑顔を護るための戦い							
双子に付き合って、上の森……「ウトォームの地平線」を隅々まで案内させられたぞ。			双子に付き合って、上の森……「ウトォームの地平線」を隅々まで案内させられたぞ。			笑顔を護るための戦い							
そろそろティーンベク洞道が復旧する頃合いだろう。			そろそろティーンベク洞道が復旧する頃合いだろう。			笑顔を護るための戦い							
何か嬉しいことでもあったの？だって、やけに口元が緩んでるように見えたから。			何か嬉しいことでもあったの？だって、やけに口元が緩んでるように見えたから。			笑顔を護るための戦い							
みんなもう戻ってきてる……アタシらが最後だったみたいだな。			みんなもう戻ってきてる……アタシらが最後だったみたいだな。			笑顔を護るための戦い							
それにしても、バクージャジャの手下連中が加勢に来たとき……アタシの勝利を信じて見守っててくれて、ありがとよ。			それにしても、バクージャジャの手下連中が加勢に来たとき……アタシの勝利を信じて見守っててくれて、ありがとよ。			笑顔を護るための戦い							
バクージャジャのように、誰かの笑顔を奪おうとする奴は、きっとこの先も現れる。			バクージャジャのように、誰かの笑顔を奪おうとする奴は、きっとこの先も現れる。			笑顔を護るための戦い							
そのとき、お前がそばにいてくれるとは限らねぇ。だから、アタシひとりで戦えるってことを証明したかったんだ。			そのとき、お前がそばにいてくれるとは限らねぇ。だから、アタシひとりで戦えるってことを証明したかったんだ。			笑顔を護るための戦い							
ま、雲行きが怪しくなったら、素直にお前に泣きつくつもりだったけどな！			ま、雲行きが怪しくなったら、素直にお前に泣きつくつもりだったけどな！			笑顔を護るための戦い							
星覚えの園庭のアルフィノは、次の試練の舞台へ向かいたいようだ。			星覚えの園庭のアルフィノは、次の試練の舞台へ向かいたいようだ。			ふたりの父							
それなりに年を重ねている人を探す			それなりに年を重ねている人を探す			ふたりの父							
フンムルクと話す			フンムルクと話す			ふたりの父							
フンムルクと再度話す			フンムルクと再度話す			ふたりの父							
フンムルクとさらに話す			フンムルクとさらに話す			ふたりの父							
ふぅ……調理が上手くいって、ひと安心だわ。			ふぅ……調理が上手くいって、ひと安心だわ。			ふたりの父							
これで残る秘石はあとひとつ。最後の試練は、いったいどんな内容なのやら……。			これで残る秘石はあとひとつ。最後の試練は、いったいどんな内容なのやら……。			ふたりの父							
んじゃ、「友の試練」に向かうとするか！			んじゃ、「友の試練」に向かうとするか！			ふたりの父							
そろそろ、バクージャジャに奪われた秘石をどうにかしたいわね……。			そろそろ、バクージャジャに奪われた秘石をどうにかしたいわね……。			ふたりの父							
さて、残る試練はあとひとつ。トライヨラ叙事詩「友の章」の舞台である、「マムーク」へと向かいたいところだが……。			さて、残る試練はあとひとつ。トライヨラ叙事詩「友の章」の舞台である、「マムーク」へと向かいたいところだが……。			ふたりの父							
土砂崩れで塞がったティーンベク洞道の復旧が、まだ終わってないらしい。			土砂崩れで塞がったティーンベク洞道の復旧が、まだ終わってないらしい。			ふたりの父							
別のルートはないの？			別のルートはないの？			ふたりの父							
ああ、唯一の路だ。集落の連中が、すでに復旧作業を始めてるらしいから、しばらく待てば、そのうち開通するだろうさ。			ああ、唯一の路だ。集落の連中が、すでに復旧作業を始めてるらしいから、しばらく待てば、そのうち開通するだろうさ。			ふたりの父							
では、復旧作業が終わるまでの間、各々自由行動としよう。			では、復旧作業が終わるまでの間、各々自由行動としよう。			ふたりの父							
私はもう少し、この辺りを見て回りたい。エレンヴィル、案内を頼めるかい？			私はもう少し、この辺りを見て回りたい。エレンヴィル、案内を頼めるかい？			ふたりの父							
ま、ほかにやることもないしな。			ま、ほかにやることもないしな。			ふたりの父							
それなら私も行くわ！			それなら私も行くわ！			ふたりの父							
私はおじいちゃんについて調べてみるわ。マーブルさんの話では、ヤクテル樹海に来ていたそうだから。			私はおじいちゃんについて調べてみるわ。マーブルさんの話では、ヤクテル樹海に来ていたそうだから。			ふたりの父							
お、じゃあアタシも付き合うぜ！			お、じゃあアタシも付き合うぜ！			ふたりの父							
Forenameもどうだ？ただ待ってるだけってのも退屈だろ！			Forenameもどうだ？ただ待ってるだけってのも退屈だろ！			ふたりの父							
それでは、頃合いを見計らって、再びこの場所に集まろう。			それでは、頃合いを見計らって、再びこの場所に集まろう。			ふたりの父							
さて、あらためて情報を整理しておくわね。おじいちゃんがこの樹海を訪れたのは、20年ほど前だから、見かけた可能性があるとすれば、成人している人たちよ。			さて、あらためて情報を整理しておくわね。おじいちゃんがこの樹海を訪れたのは、20年ほど前だから、見かけた可能性があるとすれば、成人している人たちよ。			ふたりの父							
この村でそれなりに年を重ねている人を探して、異国から来た魔道士と会ったことがないか、尋ねてみましょう！			この村でそれなりに年を重ねている人を探して、異国から来た魔道士と会ったことがないか、尋ねてみましょう！			ふたりの父							
このおっさんから話を聞いてみようぜ！			このおっさんから話を聞いてみようぜ！			ふたりの父							
おじいちゃんについて、何か知ってるといいのだけれど……。			おじいちゃんについて、何か知ってるといいのだけれど……。			ふたりの父							
約20年前に、この森で異国の魔道士を見かけなかったかって？急にそんなことを聞かれても、さて、どうだったかな……。			約20年前に、この森で異国の魔道士を見かけなかったかって？急にそんなことを聞かれても、さて、どうだったかな……。			ふたりの父							
思い出したぞ、たしかにそんな男がこの村に来たことがあった。年端もいかない女の子を抱いていたのが、印象的だったよ。			思い出したぞ、たしかにそんな男がこの村に来たことがあった。年端もいかない女の子を抱いていたのが、印象的だったよ。			ふたりの父							
しかし、彼の正体や目的まではわからない……。知っているとすれば、当時から族長を務めていた、フンムルクくらいのものだろう。			しかし、彼の正体や目的まではわからない……。知っているとすれば、当時から族長を務めていた、フンムルクくらいのものだろう。			ふたりの父							
女の子……それってもしかして……。			女の子……それってもしかして……。			ふたりの父							
お話を聞かせてくれて、ありがとうございます。フンムルクさんのところに行ってみますね！			お話を聞かせてくれて、ありがとうございます。フンムルクさんのところに行ってみますね！			ふたりの父							
あの異国の魔道士と君たちの関係は知らないが、フンムルクから詳しい話が聞けるといいな。			あの異国の魔道士と君たちの関係は知らないが、フンムルクから詳しい話が聞けるといいな。			ふたりの父							
アタシが生まれる前から、フンムルクがシュバラール族の族長だったんだな。			アタシが生まれる前から、フンムルクがシュバラール族の族長だったんだな。			ふたりの父							
ここに来てついに、おじいちゃんのことを聞けるかもしれないのね……。			ここに来てついに、おじいちゃんのことを聞けるかもしれないのね……。			ふたりの父							
おや……まだ私に何か？			おや……まだ私に何か？			ふたりの父							
20年ほど前に、この集落に異国の魔道士がやってきたはず……彼について何かご存じであれば、教えてくれませんか？			20年ほど前に、この集落に異国の魔道士がやってきたはず……彼について何かご存じであれば、教えてくれませんか？			ふたりの父							
……なぜ、あの男のことを知ろうとする？			……なぜ、あの男のことを知ろうとする？			ふたりの父							
その魔道士こそ、私のおじいちゃんかもしれないから……。			その魔道士こそ、私のおじいちゃんかもしれないから……。			ふたりの父							
君の祖父……だと？			君の祖父……だと？			ふたりの父							
ええ、血は繋がっていなくとも、おじいちゃんは、私にとって大切な家族です。			ええ、血は繋がっていなくとも、おじいちゃんは、私にとって大切な家族です。			ふたりの父							
たしかに、異国の魔道士がこの村を訪れたことがある。名を、ガラフといったか……。			たしかに、異国の魔道士がこの村を訪れたことがある。名を、ガラフといったか……。			ふたりの父							
その反応から察するに、どうやら、ガラフ殿が君の祖父で間違いないようだね。			その反応から察するに、どうやら、ガラフ殿が君の祖父で間違いないようだね。			ふたりの父							
だが、すまない。それ以上のことは話せないのだ。			だが、すまない。それ以上のことは話せないのだ。			ふたりの父							
やっぱ、黄金郷が絡んでるのか？			やっぱ、黄金郷が絡んでるのか？			ふたりの父							
……察してくれ。これ以上、私から言えることはない。			……察してくれ。これ以上、私から言えることはない。			ふたりの父							
気にしないでください。あとは、自分の力で答えにたどり着いてみせますから。			気にしないでください。あとは、自分の力で答えにたどり着いてみせますから。			ふたりの父							
せっかくですから、もうひとつ質問させてください。この森に、かつてヨカフイ族が住んでいたと聞きました。彼らの拠点があったのはどの辺りでしょうか？			せっかくですから、もうひとつ質問させてください。この森に、かつてヨカフイ族が住んでいたと聞きました。彼らの拠点があったのはどの辺りでしょうか？			ふたりの父							
……たしかに500年ほど前まで、ここヤクテル樹海は、ヨカフイ族が支配していた。当時は下の森……ジャティーカ央森に居を構えていたと聞く。			……たしかに500年ほど前まで、ここヤクテル樹海は、ヨカフイ族が支配していた。当時は下の森……ジャティーカ央森に居を構えていたと聞く。			ふたりの父							
サカ・トラルの出征を経た後に、ひとり残らず本拠地のオルコ・パチャへ退いたようだがね。			サカ・トラルの出征を経た後に、ひとり残らず本拠地のオルコ・パチャへ退いたようだがね。			ふたりの父							
ジャティーカ央森……そこで彼らは黄金郷の夢を……。			ジャティーカ央森……そこで彼らは黄金郷の夢を……。			ふたりの父							
それだけ聞ければ十分です。ありがとう、フンムルクさん。			それだけ聞ければ十分です。ありがとう、フンムルクさん。			ふたりの父							
……今、君が歩もうとしている路に間違いはない。黄金郷の謎を追っていけば、わかることもあるはずだよ。			……今、君が歩もうとしている路に間違いはない。黄金郷の謎を追っていけば、わかることもあるはずだよ。			ふたりの父							
家族のことを知りたいと願う、君の気持ちはよくわかる。協力できないのはもどかしいが……真実にたどり着けることを祈っているよ。			家族のことを知りたいと願う、君の気持ちはよくわかる。協力できないのはもどかしいが……真実にたどり着けることを祈っているよ。			ふたりの父							
ときにForename殿、少しばかり、時間をもらえるだろうか？			ときにForename殿、少しばかり、時間をもらえるだろうか？			ふたりの父							
ちょっとした昔話に付き合ってもらいたいのだ。			ちょっとした昔話に付き合ってもらいたいのだ。			ふたりの父							
んじゃ、アタシらはこの広場で待ってるぜ。			んじゃ、アタシらはこの広場で待ってるぜ。			ふたりの父							
フンムルクの奴……お前に話したいことって、何なんだろうな？			フンムルクの奴……お前に話したいことって、何なんだろうな？			ふたりの父							
やっぱり、すべてを知るには黄金郷を見つけるしかないのね。			やっぱり、すべてを知るには黄金郷を見つけるしかないのね。			ふたりの父							
でも、望むところよ。こっちは始めからその気だったんだから！			でも、望むところよ。こっちは始めからその気だったんだから！			ふたりの父							
残ってもらってすまないね。			残ってもらってすまないね。			ふたりの父							
さっそくだが、この村の裏手にあるセノーテ……「シャダータラト・ゾユ」まで来てくれるかい？			さっそくだが、この村の裏手にあるセノーテ……「シャダータラト・ゾユ」まで来てくれるかい？			ふたりの父							
本当は、何も言わずに、君たちを見送ろうと思っていたのだがね。どうやら、クルル殿の姿に感化されてしまったようだ。			本当は、何も言わずに、君たちを見送ろうと思っていたのだがね。どうやら、クルル殿の姿に感化されてしまったようだ。			ふたりの父							
ウクラマト王女が、君のような心を許せる仲間と出会えたこと、同族としてとても喜ばしく思っている。だからこそ、知っておいてもらいたい話があってね。			ウクラマト王女が、君のような心を許せる仲間と出会えたこと、同族としてとても喜ばしく思っている。だからこそ、知っておいてもらいたい話があってね。			ふたりの父							
だが本題に入る前に、よければ聞かせてくれないか。ここまで、彼女とどんな旅路を歩んできたのかを……。			だが本題に入る前に、よければ聞かせてくれないか。ここまで、彼女とどんな旅路を歩んできたのかを……。			ふたりの父							
フフ……そんなこともあったのか。どうやらこの継承の儀は、彼女にとってとても実りある旅となっているようだね。			フフ……そんなこともあったのか。どうやらこの継承の儀は、彼女にとってとても実りある旅となっているようだね。			ふたりの父							
教えてくれて感謝する。私には、ウクラマト王女を知りたいと願えども、こうしてコソコソと聞くことしかできないのだから……。			教えてくれて感謝する。私には、ウクラマト王女を知りたいと願えども、こうしてコソコソと聞くことしかできないのだから……。			ふたりの父							
では、次は私が話す番だ。かつて我がもとにいた、娘のことを……。			では、次は私が話す番だ。かつて我がもとにいた、娘のことを……。			ふたりの父							
シュバラール族に、女性が生まれることは稀だ。だから、彼女の誕生は大きな喜びとなったのだが……16年前にセノーテに落ち、若い命を散らせてしまった。			シュバラール族に、女性が生まれることは稀だ。だから、彼女の誕生は大きな喜びとなったのだが……16年前にセノーテに落ち、若い命を散らせてしまった。			ふたりの父							
……表向きはな。だが、真実はまったく異なっている。			……表向きはな。だが、真実はまったく異なっている。			ふたりの父							
愛すべき我が幼き娘は、何者かに突き落とされたのだよ……。			愛すべき我が幼き娘は、何者かに突き落とされたのだよ……。			ふたりの父							
犯人は未だに発見されていないが、目撃者がいるのだ。怪しい人影が、ジャティーカ央森へ走り去って行ったのを。			犯人は未だに発見されていないが、目撃者がいるのだ。怪しい人影が、ジャティーカ央森へ走り去って行ったのを。			ふたりの父							
ジャティーカ央森と言えば、マムージャ族の本拠地たるマムークがある場所だが……彼らと結んだ融和を、疑いたくはない。			ジャティーカ央森と言えば、マムージャ族の本拠地たるマムークがある場所だが……彼らと結んだ融和を、疑いたくはない。			ふたりの父							
しかし、族長の子を……シュバラール族の未来を担う女性を狙う意味は大きい。一族を根絶やしにしようという思惑が潜んでいるからだ。			しかし、族長の子を……シュバラール族の未来を担う女性を狙う意味は大きい。一族を根絶やしにしようという思惑が潜んでいるからだ。			ふたりの父							
故に私は、ふたたび命が狙われぬよう、娘の死を偽装して、養子に出すことにしたのだ。			故に私は、ふたたび命が狙われぬよう、娘の死を偽装して、養子に出すことにしたのだ。			ふたりの父							
連王グルージャジャ様のもとにね……。			連王グルージャジャ様のもとにね……。			ふたりの父							
その娘の名前は、ウクラマト……シュバラール族の次期族長として生まれ、現在はトライヨラの第一王女として、王位につかんとする者だ。			その娘の名前は、ウクラマト……シュバラール族の次期族長として生まれ、現在はトライヨラの第一王女として、王位につかんとする者だ。			ふたりの父							
この事実を知る者は、私と連王以外にいない。ではなぜ、君に明かしたのか……。			この事実を知る者は、私と連王以外にいない。ではなぜ、君に明かしたのか……。			ふたりの父							
あくまで疑惑に過ぎないが、もしも娘の命を狙った者が、マムークと関わりのある人物だったとすれば……。その者はシュバラール族に対して、黒い感情を抱いているはず。			あくまで疑惑に過ぎないが、もしも娘の命を狙った者が、マムークと関わりのある人物だったとすれば……。その者はシュバラール族に対して、黒い感情を抱いているはず。			ふたりの父							
ウクラマトがセノーテに突き落とされたときのように、何かが起こってからでは遅い。			ウクラマトがセノーテに突き落とされたときのように、何かが起こってからでは遅い。			ふたりの父							
君にはこの先、注意深く目を光らせておいてもらいたいのだ。すまないが、引き受けてくれるだろうか？			君にはこの先、注意深く目を光らせておいてもらいたいのだ。すまないが、引き受けてくれるだろうか？			ふたりの父							
ありがとう。念のため伝えておくが、これは連王の選者としてではなく、かつて彼女の父だった者としての頼みだよ。			ありがとう。念のため伝えておくが、これは連王の選者としてではなく、かつて彼女の父だった者としての頼みだよ。			ふたりの父							
