ベントブランチ牧場のルクロは、消えたチョコボの卵探しを依頼したいようだ。			ベントブランチ牧場のルクロは、消えたチョコボの卵探しを依頼したいようだ。			守るべきぬくもり							
Forename、私からもお願いします。どうか犯人を追って、レイアの卵を取り戻して！			Forename、私からもお願いします。どうか犯人を追って、レイアの卵を取り戻して！			守るべきぬくもり							
犯人が逃げたのは、「タムタラの墓所」がある方角です。奴らが待ち構えている可能性もありますから、くれぐれも気をつけて……。			犯人が逃げたのは、「タムタラの墓所」がある方角です。奴らが待ち構えている可能性もありますから、くれぐれも気をつけて……。			守るべきぬくもり							
はぁ、はぁ……追いついたぞ、このチビスケめ！その卵を渡しやがれ！			はぁ、はぁ……追いついたぞ、このチビスケめ！その卵を渡しやがれ！			守るべきぬくもり							
渡せないクポ！これはルクロが大切にしている卵クポ！			渡せないクポ！これはルクロが大切にしている卵クポ！			守るべきぬくもり							
……チッ。もう追っ手がかかったのか……。どいつもこいつも邪魔しやがって！			……チッ。もう追っ手がかかったのか……。どいつもこいつも邪魔しやがって！			守るべきぬくもり							
おいヤロウども、冒険者ブチ殺して、卵を手に入れるんだ！　抜かるんじゃねぇぞ！			おいヤロウども、冒険者ブチ殺して、卵を手に入れるんだ！　抜かるんじゃねぇぞ！			守るべきぬくもり							
助かったクポ……。			助かったクポ……。			守るべきぬくもり							
この卵をどうしたのかだってクポ？			この卵をどうしたのかだってクポ？			守るべきぬくもり							
これはレイアの卵クポ！モグが厩舎で昼寝をしていたら、あやしい男が入ってきて、卵を盗もうとしたクポ。			これはレイアの卵クポ！モグが厩舎で昼寝をしていたら、あやしい男が入ってきて、卵を盗もうとしたクポ。			守るべきぬくもり							
モグはとっさに卵を持って、逃げ出したクポ。冒険者さんが、ルクロに返してくれるなら、卵はちゃんと渡すクポ！			モグはとっさに卵を持って、逃げ出したクポ。冒険者さんが、ルクロに返してくれるなら、卵はちゃんと渡すクポ！			守るべきぬくもり							
レイアの卵を保護した。			レイアの卵を保護した。			守るべきぬくもり							
卵は……レイアの卵は無事ですか！？			卵は……レイアの卵は無事ですか！？			守るべきぬくもり							
ああ、この色、大きさ……まぎれもない、レイアのものです。			ああ、この色、大きさ……まぎれもない、レイアのものです。			守るべきぬくもり							
あなたには何とお礼を言ったら良いか……。			あなたには何とお礼を言ったら良いか……。			守るべきぬくもり							
一時はどうなるかと思いましたが……こうして無事に卵が戻ってくれて、本当に良かった……。			一時はどうなるかと思いましたが……こうして無事に卵が戻ってくれて、本当に良かった……。			守るべきぬくもり							
やはり犯人はイシュガルドの者でしたか……それにしても、まさかモーグリが救ってくれたとは……。			やはり犯人はイシュガルドの者でしたか……それにしても、まさかモーグリが救ってくれたとは……。			守るべきぬくもり							
モーグリ……まさか、あの時の……？			モーグリ……まさか、あの時の……？			守るべきぬくもり							
何か、心当たりでもあるのですか？			何か、心当たりでもあるのですか？			守るべきぬくもり							
えぇ。実は、5年前の霊災のときにモーグリに救われたことがあるのです。			えぇ。実は、5年前の霊災のときにモーグリに救われたことがあるのです。			守るべきぬくもり							
今は「枯骨の森」と呼ばれる一帯が火災になった時、煙に巻かれて迷ってしまって……。			今は「枯骨の森」と呼ばれる一帯が火災になった時、煙に巻かれて迷ってしまって……。			守るべきぬくもり							
そのとき、モーグリが現れて、安全な場所まで導いてくれました。			そのとき、モーグリが現れて、安全な場所まで導いてくれました。			守るべきぬくもり							
この牧場がモーグリ印のバルーンを掲げて、「モーグリギフトマウンツ」を名乗っているのも、その出来事に由来しています。			この牧場がモーグリ印のバルーンを掲げて、「モーグリギフトマウンツ」を名乗っているのも、その出来事に由来しています。			守るべきぬくもり							
今までずっと、私たちはモーグリに見守られていたんですね……。			今までずっと、私たちはモーグリに見守られていたんですね……。			守るべきぬくもり							
ええ、彼らの期待に応えられるようがんばらなくちゃ。Forenameも、ありがとう。お礼はルクロから受け取ってちょうだい。			ええ、彼らの期待に応えられるようがんばらなくちゃ。Forenameも、ありがとう。お礼はルクロから受け取ってちょうだい。			守るべきぬくもり							
あなたのおかげでレイアの卵も無事に戻りました。どれだけ感謝しても、しきれないくらいです。ありがとうございました。			あなたのおかげでレイアの卵も無事に戻りました。どれだけ感謝しても、しきれないくらいです。ありがとうございました。			守るべきぬくもり							
そうだ、忘れるところだった。今回の騒動の最中に、気になるものを見たんです。旅立つ前に、ちょっと聞いていただけませんか？			そうだ、忘れるところだった。今回の騒動の最中に、気になるものを見たんです。旅立つ前に、ちょっと聞いていただけませんか？			守るべきぬくもり							
クエスト「守るべきぬくもり」のバトルを開始しますか？			クエスト「守るべきぬくもり」のバトルを開始しますか？			守るべきぬくもり							
はい			はい			守るべきぬくもり							
いいえ			いいえ			守るべきぬくもり							
おせっかいな奴め……死ねッ！			おせっかいな奴め……死ねッ！			守るべきぬくもり							
ちっ……思ったより、やりやがる！			ちっ……思ったより、やりやがる！			守るべきぬくもり							
奥の手だ、お前の急所を突いてやる！			奥の手だ、お前の急所を突いてやる！			守るべきぬくもり							
レイアの卵は渡さないクポ！			レイアの卵は渡さないクポ！			守るべきぬくもり							
冒険者さん、がんばるクポ！			冒険者さん、がんばるクポ！			守るべきぬくもり							
急所が狙われてるクポ！当たったらとっても痛いクポ！			急所が狙われてるクポ！当たったらとっても痛いクポ！			守るべきぬくもり							
ベントブランチ牧場の飼育員ルクロは、何か「気になるもの」を見たというが……？			ベントブランチ牧場の飼育員ルクロは、何か「気になるもの」を見たというが……？			不穏な報せ							
黒衣森でイクサル族の気球が飛んでいるのを目撃したルクロ。彼はその目撃場所を、手紙にしたためたのだという。グリダニアへ戻り、カーラインカフェの「ミューヌ」に「ルクロの封書」を渡そう。			黒衣森でイクサル族の気球が飛んでいるのを目撃したルクロ。彼はその目撃場所を、手紙にしたためたのだという。グリダニアへ戻り、カーラインカフェの「ミューヌ」に「ルクロの封書」を渡そう。			不穏な報せ							
ルクロの手紙には、なにか厄介なことが書かれていたようだ。どんな事態にも対応できるよう準備を整え、ミューヌから詳しい話を聞こう。			ルクロの手紙には、なにか厄介なことが書かれていたようだ。どんな事態にも対応できるよう準備を整え、ミューヌから詳しい話を聞こう。			不穏な報せ							
グリダニアのミューヌにルクロの封書を渡す			グリダニアのミューヌにルクロの封書を渡す			不穏な報せ							
おつかれさまです。実は、お願いがあるのですが、聞いていただけませんか。			おつかれさまです。実は、お願いがあるのですが、聞いていただけませんか。			不穏な報せ							
先日、この黒衣森にある「長老の木」の上空を、イクサル族の気球が飛んでいるのを何度か見かけまして。			先日、この黒衣森にある「長老の木」の上空を、イクサル族の気球が飛んでいるのを何度か見かけまして。			不穏な報せ							
普段だったら、森の精霊様は、イクサル族など追い返してしまうのですが……。			普段だったら、森の精霊様は、イクサル族など追い返してしまうのですが……。			不穏な報せ							
ここ最近は、例の「不審者」騒ぎの影響で精霊様の力も不安定らしく、そんな気配がないのです。			ここ最近は、例の「不審者」騒ぎの影響で精霊様の力も不安定らしく、そんな気配がないのです。			不穏な報せ							
なんだか嫌な予感がしたので、ヤツらを見かけた場所を手紙にしたためておきました。			なんだか嫌な予感がしたので、ヤツらを見かけた場所を手紙にしたためておきました。			不穏な報せ							
グリダニアへ戻ったら、カーラインカフェのミューヌへこの手紙を渡していただけませんか。よろしくお願いします。			グリダニアへ戻ったら、カーラインカフェのミューヌへこの手紙を渡していただけませんか。よろしくお願いします。			不穏な報せ							
やあ、Surname。ベントブランチでは、大活躍だったそうじゃないか。ケーシャに喜んでもらえて、君を紹介した僕も鼻が高いよ。			やあ、Surname。ベントブランチでは、大活躍だったそうじゃないか。ケーシャに喜んでもらえて、君を紹介した僕も鼻が高いよ。			不穏な報せ							
僕からも礼を言わせてもらうよ。ありがとう！			僕からも礼を言わせてもらうよ。ありがとう！			不穏な報せ							
すっかりグリダニアに慣れたようだね。これからも……。			すっかりグリダニアに慣れたようだね。これからも……。			不穏な報せ							
……おや、なんだい？僕に届け物だって？			……おや、なんだい？僕に届け物だって？			不穏な報せ							
……ルクロから、僕に手紙？一体なんだろう。			……ルクロから、僕に手紙？一体なんだろう。			不穏な報せ							
これは……。			これは……。			不穏な報せ							
Surname。……いや、もう余所余所しいのは止めよう。君は僕たちの仲間だ。			Surname。……いや、もう余所余所しいのは止めよう。君は僕たちの仲間だ。			不穏な報せ							
Forename。君の腕を見込んで頼みたいことがある。			Forename。君の腕を見込んで頼みたいことがある。			不穏な報せ							
少し厄介なことになるかもしれない。準備ができたら、声をかけておくれよ。			少し厄介なことになるかもしれない。準備ができたら、声をかけておくれよ。			不穏な報せ							
カーラインカフェのミューヌは、グリダニアの未来を冒険者に託すつもりのようだが……？			カーラインカフェのミューヌは、グリダニアの未来を冒険者に託すつもりのようだが……？			大樹で蠢く闇の鼓動							
ミューヌによれば、グリダニアの聖地の1つ「長老の木」がイクサル族に襲われる可能性があるのだという。神勇隊司令室にいる「リュウィン」に「ミューヌの封書」を渡そう。			ミューヌによれば、グリダニアの聖地の1つ「長老の木」がイクサル族に襲われる可能性があるのだという。神勇隊司令室にいる「リュウィン」に「ミューヌの封書」を渡そう。			大樹で蠢く闇の鼓動							
イクサル族による長老の木襲撃が現実のものとなってしまった。エバーシェイドにある「長老の木」へ急行しよう。			イクサル族による長老の木襲撃が現実のものとなってしまった。エバーシェイドにある「長老の木」へ急行しよう。			大樹で蠢く闇の鼓動							
イクサル族から長老の木を無事、守ることができた。どうやらイクサル族は、冒険者を襲ってきた仮面の魔道士に扇動されていたらしい。			イクサル族から長老の木を無事、守ることができた。どうやらイクサル族は、冒険者を襲ってきた仮面の魔道士に扇動されていたらしい。			大樹で蠢く闇の鼓動							
シャーレアン出身の二人組、倒れた魔道士が落としたと思われる黒い水晶……。気になることは多いが、ともあれリュウィンは冒険者の活躍に感謝してくれたようだ。神勇隊司令室にいる「リュウィン」に会いに行こう。			シャーレアン出身の二人組、倒れた魔道士が落としたと思われる黒い水晶……。気になることは多いが、ともあれリュウィンは冒険者の活躍に感謝してくれたようだ。神勇隊司令室にいる「リュウィン」に会いに行こう。			大樹で蠢く闇の鼓動							
グリダニアを助けた冒険者に、カヌ・エ・センナは深く感謝しているようだ。その証か、カヌ・エ・センナは冒険者を「大御霊祭り」の主役に抜擢してくれた。グリダニアの力になるため、今後ともいっそうの精進を重ねよう。			グリダニアを助けた冒険者に、カヌ・エ・センナは深く感謝しているようだ。その証か、カヌ・エ・センナは冒険者を「大御霊祭り」の主役に抜擢してくれた。グリダニアの力になるため、今後ともいっそうの精進を重ねよう。			大樹で蠢く闇の鼓動							
神勇隊司令室のリュウィンにミューヌの封書を渡す			神勇隊司令室のリュウィンにミューヌの封書を渡す			大樹で蠢く闇の鼓動							
長老の木へ向かう			長老の木へ向かう			大樹で蠢く闇の鼓動							
神勇隊司令室のリュウィンと話す			神勇隊司令室のリュウィンと話す			大樹で蠢く闇の鼓動							
君から預かった手紙……。			君から預かった手紙……。			大樹で蠢く闇の鼓動							
ルクロからの情報を整理すると、イクサル族が「長老の木」を襲う可能性がある。			ルクロからの情報を整理すると、イクサル族が「長老の木」を襲う可能性がある。			大樹で蠢く闇の鼓動							
長老の木というのは、黒衣森の最長寿の木でね。グリダニアの聖地の1つでもある……。それくらい、大切な場所なんだよ。			長老の木というのは、黒衣森の最長寿の木でね。グリダニアの聖地の1つでもある……。それくらい、大切な場所なんだよ。			大樹で蠢く闇の鼓動							
仮に、長老の木を襲われようものなら、黒衣森の精霊たちは怒り、それを宥めることは、もはや不可能となるだろうね。			仮に、長老の木を襲われようものなら、黒衣森の精霊たちは怒り、それを宥めることは、もはや不可能となるだろうね。			大樹で蠢く闇の鼓動							
そうなったら、一体どれほどの犠牲が……。			そうなったら、一体どれほどの犠牲が……。			大樹で蠢く闇の鼓動							
この手紙を、神勇隊司令室のリュウィン隊長に渡して、ルクロから聞いた情報を伝えてくれないか。そして、どうか君の力を貸してほしい。			この手紙を、神勇隊司令室のリュウィン隊長に渡して、ルクロから聞いた情報を伝えてくれないか。そして、どうか君の力を貸してほしい。			大樹で蠢く闇の鼓動							
グリダニアの未来に関わることなんだ。……よろしく頼んだよ。			グリダニアの未来に関わることなんだ。……よろしく頼んだよ。			大樹で蠢く闇の鼓動							
ミューヌさんからリュウィン様に？よほどの事情とお見受けします。さあ「神勇隊司令室」はこちらです。			ミューヌさんからリュウィン様に？よほどの事情とお見受けします。さあ「神勇隊司令室」はこちらです。			大樹で蠢く闇の鼓動							
「神勇隊司令室」に移動する？			「神勇隊司令室」に移動する？			大樹で蠢く闇の鼓動							
はい			はい			大樹で蠢く闇の鼓動							
いいえ			いいえ			大樹で蠢く闇の鼓動							
……はて、やはりやめるとは？まさか、ミューヌさんからの言づてを忘れてしまわれたのですか？			……はて、やはりやめるとは？まさか、ミューヌさんからの言づてを忘れてしまわれたのですか？			大樹で蠢く闇の鼓動							
噂の冒険者か。神勇隊の隊長、リュウィンに何か用かな。			噂の冒険者か。神勇隊の隊長、リュウィンに何か用かな。			大樹で蠢く闇の鼓動							
……ほう、ミューヌからの使いか。冒険者ギルドが神勇隊に用とは、珍しいこともある。それで一体、どんな用件なのだ？			……ほう、ミューヌからの使いか。冒険者ギルドが神勇隊に用とは、珍しいこともある。それで一体、どんな用件なのだ？			大樹で蠢く闇の鼓動							
何ぃ！？イクサル族が「長老の木」を襲うかもしれないだと！？これは本当なのか？			何ぃ！？イクサル族が「長老の木」を襲うかもしれないだと！？これは本当なのか？			大樹で蠢く闇の鼓動							
なんということだ……。グリダニアの国防を担う神勇隊として、放ってなどおけるものか！			なんということだ……。グリダニアの国防を担う神勇隊として、放ってなどおけるものか！			大樹で蠢く闇の鼓動							
もし、これが本当ならば、ミューヌがお前に言ったとおり、グリダニアの危機だ。			もし、これが本当ならば、ミューヌがお前に言ったとおり、グリダニアの危機だ。			大樹で蠢く闇の鼓動							
それに、イクサル族の動き……。例の不審者が絡んでいる可能性が大きい。			それに、イクサル族の動き……。例の不審者が絡んでいる可能性が大きい。			大樹で蠢く闇の鼓動							
こんな時、「光の戦士たち」が居てくれれば……。いかんいかん。さっそく調査隊を組織して現地へ……。			こんな時、「光の戦士たち」が居てくれれば……。いかんいかん。さっそく調査隊を組織して現地へ……。			大樹で蠢く闇の鼓動							
リュウィン隊長ぉぉ！			リュウィン隊長ぉぉ！			大樹で蠢く闇の鼓動							
何事か！			何事か！			大樹で蠢く闇の鼓動							
た、大変です！イクサルが「長老の木」を襲撃しています！！			た、大変です！イクサルが「長老の木」を襲撃しています！！			大樹で蠢く闇の鼓動							
なに！？			なに！？			大樹で蠢く闇の鼓動							
Surnameよ……。お前の力を貸してほしい。「長老の木」に急ぎ、我々とともに戦ってくれ！			Surnameよ……。お前の力を貸してほしい。「長老の木」に急ぎ、我々とともに戦ってくれ！			大樹で蠢く闇の鼓動							
お主が応援の冒険者か。いや、よく来てくれた！			お主が応援の冒険者か。いや、よく来てくれた！			大樹で蠢く闇の鼓動							
イクサル族どもは、あのとおりだ。「長老の木」を取り囲み、気勢を上げているが一体、何を企んでいるのか……。			イクサル族どもは、あのとおりだ。「長老の木」を取り囲み、気勢を上げているが一体、何を企んでいるのか……。			大樹で蠢く闇の鼓動							
我らが森と精霊のため。お主の力を貸してくれ！！			我らが森と精霊のため。お主の力を貸してくれ！！			大樹で蠢く闇の鼓動							
クエスト「大樹で蠢く闇の鼓動」のバトルを開始しますか？			クエスト「大樹で蠢く闇の鼓動」のバトルを開始しますか？			大樹で蠢く闇の鼓動							
はい			はい			大樹で蠢く闇の鼓動							
いいえ			いいえ			大樹で蠢く闇の鼓動							
(-イクサル族の妖術師たち-)示せ、創世の理よ。示せ、絶望の理よ。			(-イクサル族の妖術師たち-)示せ、創世の理よ。示せ、絶望の理よ。			大樹で蠢く闇の鼓動							
聞き寄れッェ、皆の者ッォ！！			聞き寄れッェ、皆の者ッォ！！			大樹で蠢く闇の鼓動							
この森はッァ、我らイクサル族のものッォ！！			この森はッァ、我らイクサル族のものッォ！！			大樹で蠢く闇の鼓動							
我らはッァ、「天使いの秘術」を手に入れたッァ！！一族を救うッゥ、古より伝わりしッィ闇の力であるッゥ！！			我らはッァ、「天使いの秘術」を手に入れたッァ！！一族を救うッゥ、古より伝わりしッィ闇の力であるッゥ！！			大樹で蠢く闇の鼓動							
この秘術でッェ、巨木から「クリスタル」を創り出しッィ、ガルーダ様の元へッェ、持ち帰るのだッァ！！！			この秘術でッェ、巨木から「クリスタル」を創り出しッィ、ガルーダ様の元へッェ、持ち帰るのだッァ！！！			大樹で蠢く闇の鼓動							
そしてッェ、羽根ナシどもとッォ、精霊を追い払いッィ、森を我らの手にッィ取り戻すのだッァ！！！			そしてッェ、羽根ナシどもとッォ、精霊を追い払いッィ、森を我らの手にッィ取り戻すのだッァ！！！			大樹で蠢く闇の鼓動							
壱班、左翼へ……。弐班は参班と共に、右翼に付け。			壱班、左翼へ……。弐班は参班と共に、右翼に付け。			大樹で蠢く闇の鼓動							
残りはわしと共に、本陣として控えよ。各々、神勇隊の力を見せつけてやれ。			残りはわしと共に、本陣として控えよ。各々、神勇隊の力を見せつけてやれ。			大樹で蠢く闇の鼓動							
お前は、この場を頼む。クリスタルの導きがあらんことを！			お前は、この場を頼む。クリスタルの導きがあらんことを！			大樹で蠢く闇の鼓動							
……何ごとかッァ！？			……何ごとかッァ！？			大樹で蠢く闇の鼓動							
忌々しい羽根ナシどもめッェ……。血祭りにしてくれるわッァ！！！			忌々しい羽根ナシどもめッェ……。血祭りにしてくれるわッァ！！！			大樹で蠢く闇の鼓動							
イクサル族を倒せ！			イクサル族を倒せ！			大樹で蠢く闇の鼓動							
大方片付いたようだな。			大方片付いたようだな。			大樹で蠢く闇の鼓動							
現在、左翼が苦戦している……。我々は、リュウィン隊長とともに援護に向かう。			現在、左翼が苦戦している……。我々は、リュウィン隊長とともに援護に向かう。			大樹で蠢く闇の鼓動							
この辺りには、まだ残存兵が多く潜んでいる。気を付けてな。			この辺りには、まだ残存兵が多く潜んでいる。気を付けてな。			大樹で蠢く闇の鼓動							
なるほど、それが力の理由か……。どうりで石人形ごときではかなわぬはずだ。			なるほど、それが力の理由か……。どうりで石人形ごときではかなわぬはずだ。			大樹で蠢く闇の鼓動							
しかし……！これはどうかな？			しかし……！これはどうかな？			大樹で蠢く闇の鼓動							
示せ、創世の理の嘆き声よ。空虚に有りし夾雑の御霊を呼び出さん……。出よ、深淵の悍魂よ！			示せ、創世の理の嘆き声よ。空虚に有りし夾雑の御霊を呼び出さん……。出よ、深淵の悍魂よ！			大樹で蠢く闇の鼓動							
貴様は危険な存在だ。ここで芽を摘んでおくとしよう。			貴様は危険な存在だ。ここで芽を摘んでおくとしよう。			大樹で蠢く闇の鼓動							
仮面の魔道士たちを倒せ！			仮面の魔道士たちを倒せ！			大樹で蠢く闇の鼓動							
我ら「天使い」の……秘術が……。……打ち破られるとは……。			我ら「天使い」の……秘術が……。……打ち破られるとは……。			大樹で蠢く闇の鼓動							
天使(あまつか)いだって……？			天使(あまつか)いだって……？			大樹で蠢く闇の鼓動							
ビンゴ、だね。			ビンゴ、だね。			大樹で蠢く闇の鼓動							
混乱の創造主「天使い」。いや、伝承に沿って「アシエン」と呼ぶべきか……。実在していただなんて。			混乱の創造主「天使い」。いや、伝承に沿って「アシエン」と呼ぶべきか……。実在していただなんて。			大樹で蠢く闇の鼓動							
蛮族の陰にアシエン有り、という情報は本当だったんだ。			蛮族の陰にアシエン有り、という情報は本当だったんだ。			大樹で蠢く闇の鼓動							
大丈夫か！？こんな奴まで潜んでいたとはな。			大丈夫か！？こんな奴まで潜んでいたとはな。			大樹で蠢く闇の鼓動							
間違いない、「暁」の情報どおりだ。こいつがイクサル族を扇動していた犯人だ。			間違いない、「暁」の情報どおりだ。こいつがイクサル族を扇動していた犯人だ。			大樹で蠢く闇の鼓動							
こいつが「不審者」の正体ってわけか。そうなんだな？			こいつが「不審者」の正体ってわけか。そうなんだな？			大樹で蠢く闇の鼓動							
そうよ。そいつが犯人。			そうよ。そいつが犯人。			大樹で蠢く闇の鼓動							
嫌な気配を感じて来てみれば、こんなことになっていたなんてな。……でも、お陰で収穫があったよ。			嫌な気配を感じて来てみれば、こんなことになっていたなんてな。……でも、お陰で収穫があったよ。			大樹で蠢く闇の鼓動							
やれやれ。ますます忙しくなりそうだね。			やれやれ。ますます忙しくなりそうだね。			大樹で蠢く闇の鼓動							
協力、感謝する。			協力、感謝する。			大樹で蠢く闇の鼓動							
撤収する！			撤収する！			大樹で蠢く闇の鼓動							
助かったぞ、冒険者！グリダニアへ戻ったら、神勇隊司令室へ顔を出してくれ。世話になった礼は、きちんとしておきたいのでな！			助かったぞ、冒険者！グリダニアへ戻ったら、神勇隊司令室へ顔を出してくれ。世話になった礼は、きちんとしておきたいのでな！			大樹で蠢く闇の鼓動							
