トライヨラのボロガーは、冒険者に頼みたいことがあるようだ。			トライヨラのボロガーは、冒険者に頼みたいことがあるようだ。			トラル大陸のモブハント（上級）							
あの方は土地が様変わりした際、安全な場所まで我々を護り続けてくれたのです。数多の雷が降るなか、魔物を退けながら……忘れようはずもない。			あの方は土地が様変わりした際、安全な場所まで我々を護り続けてくれたのです。数多の雷が降るなか、魔物を退けながら……忘れようはずもない。			トラル大陸のモブハント（上級）							
ただ、最後にお顔を見たのはしばらく前のこと。狩りの技を活かすため駆除人になっていたはずですが、今どこにいるかは……。			ただ、最後にお顔を見たのはしばらく前のこと。狩りの技を活かすため駆除人になっていたはずですが、今どこにいるかは……。			トラル大陸のモブハント（上級）							
いやしかし、こうして私が覚えているのだから、きっとご存命なはず。			いやしかし、こうして私が覚えているのだから、きっとご存命なはず。			トラル大陸のモブハント（上級）							
そうだ、ソリューション・ナインの役所で尋ねてみては？同郷の者が探していると伝えれば、現在の様子を教えてもらえるかもしれませんよ。			そうだ、ソリューション・ナインの役所で尋ねてみては？同郷の者が探していると伝えれば、現在の様子を教えてもらえるかもしれませんよ。			トラル大陸のモブハント（上級）							
ナピクエさんのこと、ソリューション・ナインの役所で尋ねては？国民登録しているはずですし、同郷の者が探していると伝えれば、現在の様子を教えてもらえるかもしれません。			ナピクエさんのこと、ソリューション・ナインの役所で尋ねては？国民登録しているはずですし、同郷の者が探していると伝えれば、現在の様子を教えてもらえるかもしれません。			トラル大陸のモブハント（上級）							
ガバメントセクターへようこそ。ご用件を承ります。			ガバメントセクターへようこそ。ご用件を承ります。			トラル大陸のモブハント（上級）							
人探し、ですか。元駆除人のナピクエさん……ああ、いつも魔物の情報をご提供くださる方ですね。			人探し、ですか。元駆除人のナピクエさん……ああ、いつも魔物の情報をご提供くださる方ですね。			トラル大陸のモブハント（上級）							
あの方は温和で面倒見がよく、お怪我で引退された後も、同業者から慕われてるんです。噂では、この国での二刀流武器の浸透にも一役買ったとか。			あの方は温和で面倒見がよく、お怪我で引退された後も、同業者から慕われてるんです。噂では、この国での二刀流武器の浸透にも一役買ったとか。			トラル大陸のモブハント（上級）							
本来は規則で個人情報はお渡しできないのですが……。ご本人も、誰か訪ねてきたら伝えてくれと言っておられましたし、故郷の方が安否を気にしているのならば、住所をお教えしますよ。			本来は規則で個人情報はお渡しできないのですが……。ご本人も、誰か訪ねてきたら伝えてくれと言っておられましたし、故郷の方が安否を気にしているのならば、住所をお教えしますよ。			トラル大陸のモブハント（上級）							
あの方はいま、9-14居住殻にお住まいです。よくベンチでくつろいでいるのをお見掛けしますので、行ってみてはいかがでしょう。			あの方はいま、9-14居住殻にお住まいです。よくベンチでくつろいでいるのをお見掛けしますので、行ってみてはいかがでしょう。			トラル大陸のモブハント（上級）							
ナピクエさんはいま、9-14居住殻にお住まいです。よくベンチでくつろいでいるのをお見掛けしますので、行ってみてはいかがでしょう。			ナピクエさんはいま、9-14居住殻にお住まいです。よくベンチでくつろいでいるのをお見掛けしますので、行ってみてはいかがでしょう。			トラル大陸のモブハント（上級）							
あら……あなたは狩人さんかしら。いえね、足運びと視線の置き方が、戦いに身を置く人のそれだったものだから……。			あら……あなたは狩人さんかしら。いえね、足運びと視線の置き方が、戦いに身を置く人のそれだったものだから……。			トラル大陸のモブハント（上級）							
ボロガーから、あたしの安否確認を頼まれたの？懐かしいわねえ、彼はいまも元気なのかしら……あたしは見てのとおり、悠々自適に暮らしてるわ。			ボロガーから、あたしの安否確認を頼まれたの？懐かしいわねえ、彼はいまも元気なのかしら……あたしは見てのとおり、悠々自適に暮らしてるわ。			トラル大陸のモブハント（上級）							
ヤースラニ荒野から外に出られなくなってからは、培ってきたヴァイパーの技を役立てるために駆除人になったの。けれど10年ほど前に、利き手の腱をやられてしまってねえ。			ヤースラニ荒野から外に出られなくなってからは、培ってきたヴァイパーの技を役立てるために駆除人になったの。けれど10年ほど前に、利き手の腱をやられてしまってねえ。			トラル大陸のモブハント（上級）							
それで前線を退いたんだけど……。スフェーン様からの要請もあって、各所の情報をもとに、危険な魔物の生態をまとめたりしているのよ。			それで前線を退いたんだけど……。スフェーン様からの要請もあって、各所の情報をもとに、危険な魔物の生態をまとめたりしているのよ。			トラル大陸のモブハント（上級）							
そうだわ、障壁外との行き来が可能になったというのなら、いずれトラルの狩人が、ここの魔物の駆除に協力してくれるようにもなるのかしら。			そうだわ、障壁外との行き来が可能になったというのなら、いずれトラルの狩人が、ここの魔物の駆除に協力してくれるようにもなるのかしら。			トラル大陸のモブハント（上級）							
もしそうなら……いえ、そうなってくれることを願って……どうかこれを、ボロガーに渡してくださらない？			もしそうなら……いえ、そうなってくれることを願って……どうかこれを、ボロガーに渡してくださらない？			トラル大陸のモブハント（上級）							
それと、彼に伝言を……「あたしはこの30年、死ななかったわ」とだけ。それじゃあ……あなたも、お元気でね。			それと、彼に伝言を……「あたしはこの30年、死ななかったわ」とだけ。それじゃあ……あなたも、お元気でね。			トラル大陸のモブハント（上級）							
ボロガーには、「あたしはこの30年、死ななかったわ」と、伝えていただけるとありがたいわ。あなたも、お元気でね。			ボロガーには、「あたしはこの30年、死ななかったわ」と、伝えていただけるとありがたいわ。あなたも、お元気でね。			トラル大陸のモブハント（上級）							
おかえりなさい、Forenameさん。ナピクエについて、いかがでしたか？			おかえりなさい、Forenameさん。ナピクエについて、いかがでしたか？			トラル大陸のモブハント（上級）							
彼女は生きて、人のための狩りを為し続けていた……それを、この手帳が証明しているのですね。無事に会えたことも含め、ひとまず安心ですよ。			彼女は生きて、人のための狩りを為し続けていた……それを、この手帳が証明しているのですね。無事に会えたことも含め、ひとまず安心ですよ。			トラル大陸のモブハント（上級）							
ただ、30年……30年ですって？かの地の時間については噂程度に聞いていたものの……にわかには信じられない。			ただ、30年……30年ですって？かの地の時間については噂程度に聞いていたものの……にわかには信じられない。			トラル大陸のモブハント（上級）							
とはいえ、ヤースラニ荒野……あの障壁の内側の人々も、狩人の力を必要としているというのは事実。ならば……			とはいえ、ヤースラニ荒野……あの障壁の内側の人々も、狩人の力を必要としているというのは事実。ならば……			トラル大陸のモブハント（上級）							
私たちは、手帳の情報をもとに手配書を作成します。いずれあの土地に再び入れるようになったとき、人々の暮らしを守る一助となれるように。			私たちは、手帳の情報をもとに手配書を作成します。いずれあの土地に再び入れるようになったとき、人々の暮らしを守る一助となれるように。			トラル大陸のモブハント（上級）							
障壁内に立ち入れる貴方には、どうか先行して狩りを続けていただきたい。			障壁内に立ち入れる貴方には、どうか先行して狩りを続けていただきたい。			トラル大陸のモブハント（上級）							
上級の手配書を確認できるように手続きしておきますので、引き続き、どうぞよろしくお願いいたします。			上級の手配書を確認できるように手続きしておきますので、引き続き、どうぞよろしくお願いいたします。			トラル大陸のモブハント（上級）							
「トラルモブ手配書：上級」が開放された！			「トラルモブ手配書：上級」が開放された！			トラル大陸のモブハント（上級）							
トライヨラの「トラルハントボード」から、「トラルモブ手配書：上級」を、入手できるようになりました。			トライヨラの「トラルハントボード」から、「トラルモブ手配書：上級」を、入手できるようになりました。			トラル大陸のモブハント（上級）							
また、「レベル100」になり、「メインクエスト」を特定の状態まで完了すると、ボロガーから、新たなクエストが受注できます。			また、「レベル100」になり、「メインクエスト」を特定の状態まで完了すると、ボロガーから、新たなクエストが受注できます。			トラル大陸のモブハント（上級）							
バックルームのカフキワは、作戦会議を行いたいようだ。			バックルームのカフキワは、作戦会議を行いたいようだ。			エバーキープ最上層へ							
エレンヴィルと話す			エレンヴィルと話す			エバーキープ最上層へ							
エバーキープ前のカフキワと話す			エバーキープ前のカフキワと話す			エバーキープ最上層へ							
よし、いけるね……！それじゃあみんなを集めて作戦会議としようか！			よし、いけるね……！それじゃあみんなを集めて作戦会議としようか！			エバーキープ最上層へ							
それじゃあ、作戦会議を始めるよ。ウクラマトやアリゼーから聞いた話では、ゾラージャは「最上層に来い」と言ってたそうだね。			それじゃあ、作戦会議を始めるよ。ウクラマトやアリゼーから聞いた話では、ゾラージャは「最上層に来い」と言ってたそうだね。			エバーキープ最上層へ							
だが、肝心の上層へ向かう昇降機がロックされちまった。ソリューション・ナインで戦闘が行われたことで、基幹システムが緊急事態モードに入った影響だろう。			だが、肝心の上層へ向かう昇降機がロックされちまった。ソリューション・ナインで戦闘が行われたことで、基幹システムが緊急事態モードに入った影響だろう。			エバーキープ最上層へ							
どうにか解除できないかハッキングを試みてますが、正直なところ、苦戦しているのが現状です。			どうにか解除できないかハッキングを試みてますが、正直なところ、苦戦しているのが現状です。			エバーキープ最上層へ							
正面突破はできねぇってことか……。なら、どうやってゾラージャのところまで行けばいいんだ？			正面突破はできねぇってことか……。なら、どうやってゾラージャのところまで行けばいいんだ？			エバーキープ最上層へ							
それを、これから説明する。			それを、これから説明する。			エバーキープ最上層へ							
いいかい？まず、あたしたちが今居るソリューション・ナインは、全十二層のうちの第九層だ。			いいかい？まず、あたしたちが今居るソリューション・ナインは、全十二層のうちの第九層だ。			エバーキープ最上層へ							
ゾラージャが居るという最上層……つまり第十二層は、この上だ。			ゾラージャが居るという最上層……つまり第十二層は、この上だ。			エバーキープ最上層へ							
えっと、途切れてるように見えるんだけど……。			えっと、途切れてるように見えるんだけど……。			エバーキープ最上層へ							
最上層には、王が住まう宮殿があると考えられてますが、機密扱いということで、一般には公開されていないんです。だから、マップデータも存在しない。			最上層には、王が住まう宮殿があると考えられてますが、機密扱いということで、一般には公開されていないんです。だから、マップデータも存在しない。			エバーキープ最上層へ							
ただし、第十一層までの情報なら、すべて把握できている。			ただし、第十一層までの情報なら、すべて把握できている。			エバーキープ最上層へ							
これは……？			これは……？			エバーキープ最上層へ							
オリジェニクス。魂を資源として再利用するため、エーテルを分離、加工する重要施設だ。			オリジェニクス。魂を資源として再利用するため、エーテルを分離、加工する重要施設だ。			エバーキープ最上層へ							
低層は、一種の倉庫のような場所……死者から回収された魂入りのレギュレーターや、原材料である魔物が集められている。			低層は、一種の倉庫のような場所……死者から回収された魂入りのレギュレーターや、原材料である魔物が集められている。			エバーキープ最上層へ							
これらから抜き取られた魂は中層に送られ、エーテル分離装置にかけられる。資源としては不要な記憶が剥ぎ取られ、漂白されるのさ。			これらから抜き取られた魂は中層に送られ、エーテル分離装置にかけられる。資源としては不要な記憶が剥ぎ取られ、漂白されるのさ。			エバーキープ最上層へ							
そして、最終的に上層に送られ、配布用のソウルケージにパッキングされる……。			そして、最終的に上層に送られ、配布用のソウルケージにパッキングされる……。			エバーキープ最上層へ							
死後の魂が、星海をたゆたう中で溶けゆく行程を、人工的に行っているということか……。			死後の魂が、星海をたゆたう中で溶けゆく行程を、人工的に行っているということか……。			エバーキープ最上層へ							
あたしたちの倫理観からすると受け入れがたくはあるが、その議論をすべきは今じゃない。			あたしたちの倫理観からすると受け入れがたくはあるが、その議論をすべきは今じゃない。			エバーキープ最上層へ							
重要なのはこの施設が、第一層から第十一層まで、まるで柱のように縦に連なっている点さ。			重要なのはこの施設が、第一層から第十一層まで、まるで柱のように縦に連なっている点さ。			エバーキープ最上層へ							
そして、ゾラージャの目的が、ソリューション・ナインの住人から魂を掻き集めて、より強い力を得ることだとすると……			そして、ゾラージャの目的が、ソリューション・ナインの住人から魂を掻き集めて、より強い力を得ることだとすると……			エバーキープ最上層へ							
施設は今まさに稼働中で、加工された魂がゾラージャの元に送られようとしている……！			施設は今まさに稼働中で、加工された魂がゾラージャの元に送られようとしている……！			エバーキープ最上層へ							
私たちはオリジェニクスに突入して、その順路を辿ればいいということね！			私たちはオリジェニクスに突入して、その順路を辿ればいいということね！			エバーキープ最上層へ							
ご明察……。			ご明察……。			エバーキープ最上層へ							
ただし、オリジェニクスは、この新生アレクサンドリア連王国の社会を支える重要施設だ。警備は並大抵のものじゃないし、戦闘は必至だろう。			ただし、オリジェニクスは、この新生アレクサンドリア連王国の社会を支える重要施設だ。警備は並大抵のものじゃないし、戦闘は必至だろう。			エバーキープ最上層へ							
もちろん、あんたたちが覚悟の上だって言うなら、あたしたちも全力でバックアップさせてもらうけど……どうする？			もちろん、あんたたちが覚悟の上だって言うなら、あたしたちも全力でバックアップさせてもらうけど……どうする？			エバーキープ最上層へ							
もちろん行くぜ！			もちろん行くぜ！			エバーキープ最上層へ							
ふふ、あんたたちならそう言うと思ったよ。			ふふ、あんたたちならそう言うと思ったよ。			エバーキープ最上層へ							
作戦にはあたしも同行する！セキュリティを突破するには情報支援が必須だし、そのための中継として、このボディは都合がいいからね。			作戦にはあたしも同行する！セキュリティを突破するには情報支援が必須だし、そのための中継として、このボディは都合がいいからね。			エバーキープ最上層へ							
……待て、決行の前にはっきりさせておきたいことがある。			……待て、決行の前にはっきりさせておきたいことがある。			エバーキープ最上層へ							
スフェーンが永久人とかいう存在だってこと、おたくらは知ってたんじゃないのか？			スフェーンが永久人とかいう存在だってこと、おたくらは知ってたんじゃないのか？			エバーキープ最上層へ							
……まあね。			……まあね。			エバーキープ最上層へ							
言えない理由があったのか？			言えない理由があったのか？			エバーキープ最上層へ							
だって、それどころじゃなかっただろ？説明したところでピンと来なかったと思うし、ゾラージャを阻止することが最優先だったからね。			だって、それどころじゃなかっただろ？説明したところでピンと来なかったと思うし、ゾラージャを阻止することが最優先だったからね。			エバーキープ最上層へ							
思うところはいろいろあるだろうけど、悠長に考え込んでる時間はないよ！さあ、突入組はヘリテージファウンドへ！			思うところはいろいろあるだろうけど、悠長に考え込んでる時間はないよ！さあ、突入組はヘリテージファウンドへ！			エバーキープ最上層へ							
エレネッシパ。あんたはここに残ってみんなのサポートにまわりな。			エレネッシパ。あんたはここに残ってみんなのサポートにまわりな。			エバーキープ最上層へ							
…………了解。			…………了解。			エバーキープ最上層へ							
おたくに話したいことがあるんだが……今はそれどころじゃないよな……。			おたくに話したいことがあるんだが……今はそれどころじゃないよな……。			エバーキープ最上層へ							
俺がここに残ることについて、異論はない。トライヨラの連中との連絡役も必要だ……一緒に戦えなくて悪いが、サポートは任された。			俺がここに残ることについて、異論はない。トライヨラの連中との連絡役も必要だ……一緒に戦えなくて悪いが、サポートは任された。			エバーキープ最上層へ							
くれぐれも気をつけて行ってこい。おふくろはヘリテージファウンド……恐らくエバーキープの前で待ってるはずだ。			くれぐれも気をつけて行ってこい。おふくろはヘリテージファウンド……恐らくエバーキープの前で待ってるはずだ。			エバーキープ最上層へ							
ゾラージャはもはや、国を統べる王でもなんでもねぇ……。トライヨラのためにも他国のためにも、このままにしちゃおけねぇんだ……。			ゾラージャはもはや、国を統べる王でもなんでもねぇ……。トライヨラのためにも他国のためにも、このままにしちゃおけねぇんだ……。			エバーキープ最上層へ							
アルフィノからも連絡が来たわ。土壇場でヴリトラたちが駆けつけてくれたんですって！			アルフィノからも連絡が来たわ。土壇場でヴリトラたちが駆けつけてくれたんですって！			エバーキープ最上層へ							
もちろん私も一緒に行くわ！……こんなときのために、修練を頑張ったんだもの。			もちろん私も一緒に行くわ！……こんなときのために、修練を頑張ったんだもの。			エバーキープ最上層へ							
エバーキープの最上層か……。機密として隠されてきた場所に、果たして何があるのか……。			エバーキープの最上層か……。機密として隠されてきた場所に、果たして何があるのか……。			エバーキープ最上層へ							
みんな集まったね。いよいよ、作戦決行だ。			みんな集まったね。いよいよ、作戦決行だ。			エバーキープ最上層へ							
ここからは一気にゾラージャの元まで駆け抜けるよ。各自、戦いの準備は万全にしといてくれ。			ここからは一気にゾラージャの元まで駆け抜けるよ。各自、戦いの準備は万全にしといてくれ。			エバーキープ最上層へ							
エバーキープ前のカフキワは、オリジェニクスの入口まで案内したいようだ。			エバーキープ前のカフキワは、オリジェニクスの入口まで案内したいようだ。			奇跡の子							
カフキワと話した。ヘリテージファウンドのドリフトダウンズにいる「カフキワ」と話そう。			カフキワと話した。ヘリテージファウンドのドリフトダウンズにいる「カフキワ」と話そう。			奇跡の子							
水上からオリジェニクスに侵入し、最上層を目指すことになった。「魂魄工廠 オリジェニクス」を攻略しよう。※進入地点付近にいる仲間たちと話し「パーティを編成して突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、仲間NPCと一緒に攻略ができます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。			水上からオリジェニクスに侵入し、最上層を目指すことになった。「魂魄工廠 オリジェニクス」を攻略しよう。※進入地点付近にいる仲間たちと話し「パーティを編成して突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、仲間NPCと一緒に攻略ができます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。			奇跡の子							
オリジェニクスを突破した。「エバーキープ最上層」へ向かおう。エバーキープ最上層にはドリフトダウンズの「キルーサ」が案内してくれるようだ。			オリジェニクスを突破した。「エバーキープ最上層」へ向かおう。エバーキープ最上層にはドリフトダウンズの「キルーサ」が案内してくれるようだ。			奇跡の子							
最上層で待っていたのは、鏡像世界に通じる巨大なゲートと、限界を超えて魂を取り込んだゾラージャだった。新生アレクサンドリア連王国の武王「ゾラージャ」に、最後の勝負を挑もう。※進入地点付近にいる仲間たちと話し「パーティを編成して突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、仲間NPCと一緒に攻略ができます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。			最上層で待っていたのは、鏡像世界に通じる巨大なゲートと、限界を超えて魂を取り込んだゾラージャだった。新生アレクサンドリア連王国の武王「ゾラージャ」に、最後の勝負を挑もう。※進入地点付近にいる仲間たちと話し「パーティを編成して突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、仲間NPCと一緒に攻略ができます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。			奇跡の子							
ゾラージャを討伐した。エバーキープ最上層で状況を確認しよう。エバーキープ最上層にはドリフトダウンズの「キルーサ」が案内してくれるようだ。			ゾラージャを討伐した。エバーキープ最上層で状況を確認しよう。エバーキープ最上層にはドリフトダウンズの「キルーサ」が案内してくれるようだ。			奇跡の子							
巨大ゲートが消えた最上層には、晴れ渡った空が広がっている。エバーキープ最上層にいる「ヤ・シュトラ」と話そう。エバーキープ最上層にはドリフトダウンズの「キルーサ」が案内してくれるようだ。			巨大ゲートが消えた最上層には、晴れ渡った空が広がっている。エバーキープ最上層にいる「ヤ・シュトラ」と話そう。エバーキープ最上層にはドリフトダウンズの「キルーサ」が案内してくれるようだ。			奇跡の子							
カフキワが動かなくなったため、彼女が使っていた機械を調べることになった。「カフキワ」を調べよう。エバーキープ最上層にはドリフトダウンズの「キルーサ」が案内してくれるようだ。			カフキワが動かなくなったため、彼女が使っていた機械を調べることになった。「カフキワ」を調べよう。エバーキープ最上層にはドリフトダウンズの「キルーサ」が案内してくれるようだ。			奇跡の子							
永久人だったカフキワと会うため、そしてスフェーンと話をするため、ウクラマトは彼女を追うことを決める。世界を超える方法を検討する間、冒険者とウクラマト、グルージャは休息をとることになった。ソリューション・ナインのバックルームにいる「ウクラマト」と話そう。			永久人だったカフキワと会うため、そしてスフェーンと話をするため、ウクラマトは彼女を追うことを決める。世界を超える方法を検討する間、冒険者とウクラマト、グルージャは休息をとることになった。ソリューション・ナインのバックルームにいる「ウクラマト」と話そう。			奇跡の子							
ウクラマトと話した。スフェーンを止めるすべは残されているのだろうか……。			ウクラマトと話した。スフェーンを止めるすべは残されているのだろうか……。			奇跡の子							
カフキワと話す			カフキワと話す			奇跡の子							
「魂魄工廠 オリジェニクス」を攻略			「魂魄工廠 オリジェニクス」を攻略			奇跡の子							
「ゾラージャ」を討伐			「ゾラージャ」を討伐			奇跡の子							
ヤ・シュトラと話す			ヤ・シュトラと話す			奇跡の子							
カフキワを調べる			カフキワを調べる			奇跡の子							
バックルームのウクラマトと話す			バックルームのウクラマトと話す			奇跡の子							
ゾラージャはもはや、国を統べる王でもなんでもねぇ……。トライヨラのためにも他国のためにも、このままにしちゃおけねぇんだ……。			ゾラージャはもはや、国を統べる王でもなんでもねぇ……。トライヨラのためにも他国のためにも、このままにしちゃおけねぇんだ……。			奇跡の子							
アルフィノからも連絡が来たわ。土壇場でヴリトラたちが駆けつけてくれたんですって！			アルフィノからも連絡が来たわ。土壇場でヴリトラたちが駆けつけてくれたんですって！			奇跡の子							
もちろん私も一緒に行くわ！……こんなときのために、頑張ったんだもの。			もちろん私も一緒に行くわ！……こんなときのために、頑張ったんだもの。			奇跡の子							
エバーキープの最上層か……。機密として隠されてきた場所に、果たして何があるのか……。			エバーキープの最上層か……。機密として隠されてきた場所に、果たして何があるのか……。			奇跡の子							
それじゃあ、少し移動するよ。オリジェニクスの入口は、キープの裏側にあるからね。			それじゃあ、少し移動するよ。オリジェニクスの入口は、キープの裏側にあるからね。			奇跡の子							
みんな、あたしについておいで！ドリフトダウンズの近くにある桟橋に向かおう。			みんな、あたしについておいで！ドリフトダウンズの近くにある桟橋に向かおう。			奇跡の子							
あの船みたいなやつに乗るのか？……大丈夫、この期に及んで駄々をこねたりはしねぇよ。気持ち悪かろうが何だろうが、ここは踏ん張るって決めてんだ。			あの船みたいなやつに乗るのか？……大丈夫、この期に及んで駄々をこねたりはしねぇよ。気持ち悪かろうが何だろうが、ここは踏ん張るって決めてんだ。			奇跡の子							
上を目指せばいいんでしょう？わかりやすくていいわ。			上を目指せばいいんでしょう？わかりやすくていいわ。			奇跡の子							
暗くて視界が悪いわね……。オブリビオンの誘導を信じましょう。			暗くて視界が悪いわね……。オブリビオンの誘導を信じましょう。			奇跡の子							
オリジェニクス、言わば魂の加工工場か……。その技術も気になるところだな。			オリジェニクス、言わば魂の加工工場か……。その技術も気になるところだな。			奇跡の子							
私もオブリビオンの一員です。作戦は伺っていますよ。			私もオブリビオンの一員です。作戦は伺っていますよ。			奇跡の子							
よし……。それじゃ、簡単に流れを説明するよ。			よし……。それじゃ、簡単に流れを説明するよ。			奇跡の子							
まずは、オリジェニクスの搬入のタイミングに合わせて、エレクトロープ製のホバーカーゴで水上から侵入する。			まずは、オリジェニクスの搬入のタイミングに合わせて、エレクトロープ製のホバーカーゴで水上から侵入する。			奇跡の子							
カーゴの運転は、そこのキルーサに任せてくれれば大丈夫さ。			カーゴの運転は、そこのキルーサに任せてくれれば大丈夫さ。			奇跡の子							
カーゴが無事に搬入口付近に着いたら潜入開始だ。バックアップ班の連中が陽動してくれるはずだから、その隙に施設内に入り込む。			カーゴが無事に搬入口付近に着いたら潜入開始だ。バックアップ班の連中が陽動してくれるはずだから、その隙に施設内に入り込む。			奇跡の子							
あとは、誘導に従ってひたすら最上層を目指す！出てきた敵は全部倒す！			あとは、誘導に従ってひたすら最上層を目指す！出てきた敵は全部倒す！			奇跡の子							
どうだい、わかりやすくていいだろ？			どうだい、わかりやすくていいだろ？			奇跡の子							
簡単に言ってくれるぜ……。ま、やるっきゃねぇけどな！			簡単に言ってくれるぜ……。ま、やるっきゃねぇけどな！			奇跡の子							
上等じゃない。やってやりましょう！			上等じゃない。やってやりましょう！			奇跡の子							
備えたところで予想外の事態は起こるだろうから、あとはバックアップ班と連携して臨機応変に進むしかないな。			備えたところで予想外の事態は起こるだろうから、あとはバックアップ班と連携して臨機応変に進むしかないな。			奇跡の子							
ええ。シェールさんに貸してもらった通信機で、随時、情報を共有していきましょう。			ええ。シェールさんに貸してもらった通信機で、随時、情報を共有していきましょう。			奇跡の子							
段取りはいいみたいだね。それじゃ……出発するよ！			段取りはいいみたいだね。それじゃ……出発するよ！			奇跡の子							
ホバーカーゴは、知り合いの拾得人から借りたんだ。グルージャのことを心配してたから、無事だって伝えておいたよ。			ホバーカーゴは、知り合いの拾得人から借りたんだ。グルージャのことを心配してたから、無事だって伝えておいたよ。			奇跡の子							
先の騒動では、ワヤッケを助けてくれてありがとうございました。どうかご無理だけはなさらず……！			先の騒動では、ワヤッケを助けてくれてありがとうございました。どうかご無理だけはなさらず……！			奇跡の子							
どうする？			どうする？			奇跡の子							
話す			話す			奇跡の子							
パーティを編成して突入			パーティを編成して突入			奇跡の子							
キャンセル			キャンセル			奇跡の子							
コーナ兄さんたちは立派にトライヨラを護り抜いてくれた。なら、ここから先はアタシたちの戦いだ！			コーナ兄さんたちは立派にトライヨラを護り抜いてくれた。なら、ここから先はアタシたちの戦いだ！			奇跡の子							
脅威となったゾラージャを放っておくことはできない……。行きましょう、私も全力で戦うわ！			脅威となったゾラージャを放っておくことはできない……。行きましょう、私も全力で戦うわ！			奇跡の子							
トライヨラの安全が確保されたのなら、遠慮なく暴れられるわね！			トライヨラの安全が確保されたのなら、遠慮なく暴れられるわね！			奇跡の子							
