コスタ・デル・ソルの執事ペ・エバローは、片を付けてほしいことがあるようだ。			コスタ・デル・ソルの執事ペ・エバローは、片を付けてほしいことがあるようだ。			浜辺のカイ魚							
まただ……頭の中で、羽虫が唸ってやがる……。……戦場から解放されて、もう3年だぞ……。やめろ……もう、俺は……戦いたくないッ！			まただ……頭の中で、羽虫が唸ってやがる……。……戦場から解放されて、もう3年だぞ……。やめろ……もう、俺は……戦いたくないッ！			耳に残るは蟲の音							
誰か！　この羽虫を、消してくれ……ッ！「ダンミッヂ・スウォーム」を仕留めて……この音……音を消して……うわあああああッ！！			誰か！　この羽虫を、消してくれ……ッ！「ダンミッヂ・スウォーム」を仕留めて……この音……音を消して……うわあああああッ！！			耳に残るは蟲の音							
ダンミッジ・スゥォームを5体討伐			ダンミッジ・スゥォームを5体討伐			耳に残るは蟲の音							
あんたが、羽虫どもを……消してくれたのか……。……ありがとよ、耳鳴りがやんで、少し落ち着いてきた。俺はガレマール帝国兵……エオルゼアの憎き仇敵だ。			あんたが、羽虫どもを……消してくれたのか……。……ありがとよ、耳鳴りがやんで、少し落ち着いてきた。俺はガレマール帝国兵……エオルゼアの憎き仇敵だ。			耳に残るは蟲の音							
偵察隊にいたんだが、黒渦団の奇襲で部隊は全滅した。悪夢のような……いや、悪夢そのものの撤退戦だった。泥を飲み、地虫を食って、生き残ったのは俺ひとり……。			偵察隊にいたんだが、黒渦団の奇襲で部隊は全滅した。悪夢のような……いや、悪夢そのものの撤退戦だった。泥を飲み、地虫を食って、生き残ったのは俺ひとり……。			耳に残るは蟲の音							
いったい、何のために！？　俺は生粋の帝国市民じゃない！故郷のダルマスカは、帝国の属州に組み込まれた国だ！俺はエオルゼアに、これっぽっちの恨みもない……ッ！！			いったい、何のために！？　俺は生粋の帝国市民じゃない！故郷のダルマスカは、帝国の属州に組み込まれた国だ！俺はエオルゼアに、これっぽっちの恨みもない……ッ！！			耳に残るは蟲の音							
憎しみあう必要のない者たちが殺しあう……。これが、戦争ってものだとしたら！狂ってやがる……ッ！			憎しみあう必要のない者たちが殺しあう……。これが、戦争ってものだとしたら！狂ってやがる……ッ！			耳に残るは蟲の音							
俺は……生きる……！故郷にいる子供たちの顔をもう一度見るまで！こんなところで……死んでたまるかッ！			俺は……生きる……！故郷にいる子供たちの顔をもう一度見るまで！こんなところで……死んでたまるかッ！			耳に残るは蟲の音							
切られた革紐亭のドレストは、冒険者に頼みごとをしたいようだ。			切られた革紐亭のドレストは、冒険者に頼みごとをしたいようだ。			友情の木の実							
ドレストは、自分を気づかってくれたシャマニ・ローマニにお礼をしたいようだ。切られた革紐亭の北の「レッドマンティス滝」にある「ココナッツワイン」を3個入手しよう。			ドレストは、自分を気づかってくれたシャマニ・ローマニにお礼をしたいようだ。切られた革紐亭の北の「レッドマンティス滝」にある「ココナッツワイン」を3個入手しよう。			友情の木の実							
ココナッツワインを入手した。ワインポートの「シャマニ・ローマニ」に渡そう。			ココナッツワインを入手した。ワインポートの「シャマニ・ローマニ」に渡そう。			友情の木の実							
シャマニ・ローマニはドレストの厚意に喜んだようだ。木の実は発酵させることで、発泡酒を作る原材料となるらしい。			シャマニ・ローマニはドレストの厚意に喜んだようだ。木の実は発酵させることで、発泡酒を作る原材料となるらしい。			友情の木の実							
ココナッツワインを入手			ココナッツワインを入手			友情の木の実							
シャマニ・ローマニにココナッツワインを渡す			シャマニ・ローマニにココナッツワインを渡す			友情の木の実							
受注するには、進行中のメインクエストを破棄する必要があります。メインコマンドの「コンテンツ情報」から、「ジャーナル」を選び、破棄してください。			受注するには、進行中のメインクエストを破棄する必要があります。メインコマンドの「コンテンツ情報」から、「ジャーナル」を選び、破棄してください。			友情の木の実							
……すまなかった。俺の話を聞いてくれたのは、お前が初めてだ……。……そうだ、この前もらったワインの礼をしなくては……。			……すまなかった。俺の話を聞いてくれたのは、お前が初めてだ……。……そうだ、この前もらったワインの礼をしなくては……。			友情の木の実							
「レッドマンティス滝」の渓流に、「ココナッツワイン」を冷やしている。あの盲目の男に……持っていってもらえないか？			「レッドマンティス滝」の渓流に、「ココナッツワイン」を冷やしている。あの盲目の男に……持っていってもらえないか？			友情の木の実							
そして伝言を頼みたい……。あのとき、俺が奴に言った「生きろ」という言葉、その言葉の重さに、俺も今さらながら気づいたと……な。			そして伝言を頼みたい……。あのとき、俺が奴に言った「生きろ」という言葉、その言葉の重さに、俺も今さらながら気づいたと……な。			友情の木の実							
レッドマンティス滝にあるeobj「ココナッツワイン」を3個ゲット			レッドマンティス滝にあるeobj「ココナッツワイン」を3個ゲット			友情の木の実							
お帰りなさい、冒険者さん。彼は、ドレストは元気でしたか？			お帰りなさい、冒険者さん。彼は、ドレストは元気でしたか？			友情の木の実							
……ドレストさんが私に？　なるほど。島椰子の実を器にして、ヤシの樹液酒を作ったんですね。自然を活かした素晴らしい工夫です、感動しました！			……ドレストさんが私に？　なるほど。島椰子の実を器にして、ヤシの樹液酒を作ったんですね。自然を活かした素晴らしい工夫です、感動しました！			友情の木の実							
……ドレストさんの言葉が、私の心に響いたのは、あれが彼自身に向けた言葉でもあったからなのですね。			……ドレストさんの言葉が、私の心に響いたのは、あれが彼自身に向けた言葉でもあったからなのですね。			友情の木の実							
「生きる」という言葉の重さを知っても、誰かが支えになれば、その重さを受け止めることができる。			「生きる」という言葉の重さを知っても、誰かが支えになれば、その重さを受け止めることができる。			友情の木の実							
私にとっての支えは、ドレストさんでした。だから、今度は私が彼の支えとなりましょう。			私にとっての支えは、ドレストさんでした。だから、今度は私が彼の支えとなりましょう。			友情の木の実							
切られた革紐亭のドレストは、冒険者に仕事を頼みたいようだ。			切られた革紐亭のドレストは、冒険者に仕事を頼みたいようだ。			クァールの毛皮							
*本クエストは調整されました。一度破棄し、切られた革紐亭の「ドレスト」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			*本クエストは調整されました。一度破棄し、切られた革紐亭の「ドレスト」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			クァールの毛皮							
ジャングルクァールの粗皮を入手した。切られた革紐亭の怪しい男「ドレスト」に渡そう。			ジャングルクァールの粗皮を入手した。切られた革紐亭の怪しい男「ドレスト」に渡そう。			クァールの毛皮							
ドレストは、ガレマール帝国に属州として支配された国で徴収された兵だったらしい。彼も戦争の犠牲者だったのだ……。			ドレストは、ガレマール帝国に属州として支配された国で徴収された兵だったらしい。彼も戦争の犠牲者だったのだ……。			クァールの毛皮							
*本クエストは調整されました。一度破棄し、切られた革紐亭のドレストから再受注してください			*本クエストは調整されました。一度破棄し、切られた革紐亭のドレストから再受注してください			クァールの毛皮							
……あ、あんた、子どもはいるかい……？俺には2人いる……息子と、娘……。いつか会いに帰る……そのために俺は逃げてきた……。			……あ、あんた、子どもはいるかい……？俺には2人いる……息子と、娘……。いつか会いに帰る……そのために俺は逃げてきた……。			クァールの毛皮							
なぁ、あんた「ジャングルクァールの粗皮」を……。持ってきてくれないか……金にしたいんだ……。故郷に帰る、路銀にするんだ……ダルマスカへの……。			なぁ、あんた「ジャングルクァールの粗皮」を……。持ってきてくれないか……金にしたいんだ……。故郷に帰る、路銀にするんだ……ダルマスカへの……。			クァールの毛皮							
ジャングルクァールを4体討伐し「ジャングルクァールの粗皮」をゲット			ジャングルクァールを4体討伐し「ジャングルクァールの粗皮」をゲット			クァールの毛皮							
……毛皮……持ってきてくれたのか……？俺の……生きる希望……。			……毛皮……持ってきてくれたのか……？俺の……生きる希望……。			クァールの毛皮							
ありがとう、これで故郷に……。……ようやく、少し落ち着いてきた。俺はガレマール帝国兵……エオルゼアの憎き仇敵だ。			ありがとう、これで故郷に……。……ようやく、少し落ち着いてきた。俺はガレマール帝国兵……エオルゼアの憎き仇敵だ。			クァールの毛皮							
偵察隊にいたんだが、黒渦団の奇襲で部隊は全滅した。悪夢のような……いや、悪夢そのものの撤退戦だった。泥を飲み、地虫を食って、生き残ったのは俺ひとり……。			偵察隊にいたんだが、黒渦団の奇襲で部隊は全滅した。悪夢のような……いや、悪夢そのものの撤退戦だった。泥を飲み、地虫を食って、生き残ったのは俺ひとり……。			クァールの毛皮							
いったい、何のために！？　俺は生粋の帝国市民じゃない！故郷のダルマスカは、帝国の属州に組み込まれた国だ！俺はエオルゼアに、これっぽっちの恨みもない……ッ！！			いったい、何のために！？　俺は生粋の帝国市民じゃない！故郷のダルマスカは、帝国の属州に組み込まれた国だ！俺はエオルゼアに、これっぽっちの恨みもない……ッ！！			クァールの毛皮							
憎しみあう必要のない者たちが殺しあう……。これが、戦争ってものだとしたら！狂ってやがる……ッ！			憎しみあう必要のない者たちが殺しあう……。これが、戦争ってものだとしたら！狂ってやがる……ッ！			クァールの毛皮							
俺は……生きる……！故郷にいる子供たちの顔をもう一度見るまで！こんなところで……死んでたまるかッ！			俺は……生きる……！故郷にいる子供たちの顔をもう一度見るまで！こんなところで……死んでたまるかッ！			クァールの毛皮							
ワインポートのシャマニ・ローマニは、冒険者に是非ともお願いしたい仕事があるようだ。			ワインポートのシャマニ・ローマニは、冒険者に是非ともお願いしたい仕事があるようだ。			人の命運、ワインの運命							
シャマニ・ローマニは、諦めていた「最高のワイン」が現存する証拠を手に入れ、とても興奮している。切られた革紐亭の「ドレスト」に「バッカスグレープの葉」を渡そう。			シャマニ・ローマニは、諦めていた「最高のワイン」が現存する証拠を手に入れ、とても興奮している。切られた革紐亭の「ドレスト」に「バッカスグレープの葉」を渡そう。			人の命運、ワインの運命							
ドレストはバッカスグレープの葉に見覚えがあった。それは森で見た魔物の頭に生えていたものらしい。切られた革紐亭の南東にある「指定地点」で待機し「シェズム・グゥーブー」を倒そう。			ドレストはバッカスグレープの葉に見覚えがあった。それは森で見た魔物の頭に生えていたものらしい。切られた革紐亭の南東にある「指定地点」で待機し「シェズム・グゥーブー」を倒そう。			人の命運、ワインの運命							
ついに「バッカスグレープの枝」を手に入れた。ワインポートの「シャマニ・ローマニ」に報告しよう。			ついに「バッカスグレープの枝」を手に入れた。ワインポートの「シャマニ・ローマニ」に報告しよう。			人の命運、ワインの運命							
シャマニ・ローマニとビルギレントは和解し、共に最高のワインを作ることを誓い合った。「バッカスの酒」をコスタ・デル・ソルのヴェイスケートに渡そう。			シャマニ・ローマニとビルギレントは和解し、共に最高のワインを作ることを誓い合った。「バッカスの酒」をコスタ・デル・ソルのヴェイスケートに渡そう。			人の命運、ワインの運命							
コスタ・デル・ソルのヴェイスケートに「バッカスの酒」を渡した。ついに「珍味に合う最高のワイン」を手に入れることができた。蛮神「タイタン」討伐まであと少しだ。			コスタ・デル・ソルのヴェイスケートに「バッカスの酒」を渡した。ついに「珍味に合う最高のワイン」を手に入れることができた。蛮神「タイタン」討伐まであと少しだ。			人の命運、ワインの運命							
ドレストにバッカスグレープの葉を渡す			ドレストにバッカスグレープの葉を渡す			人の命運、ワインの運命							
指定地点で待機しシェズム・グゥーブーを討伐			指定地点で待機しシェズム・グゥーブーを討伐			人の命運、ワインの運命							
シャマニ・ローマニにバッカスグレープの枝を渡す			シャマニ・ローマニにバッカスグレープの枝を渡す			人の命運、ワインの運命							
ヴェイスケートにバッカスの酒を渡す			ヴェイスケートにバッカスの酒を渡す			人の命運、ワインの運命							
た、大変です、冒険者さん！ドレストさんが穴を開けて器にしていた島椰子の実……栓として詰められていた葉が、とんでもない物だったんです！			た、大変です、冒険者さん！ドレストさんが穴を開けて器にしていた島椰子の実……栓として詰められていた葉が、とんでもない物だったんです！			人の命運、ワインの運命							
手触りで分かる、この特徴的な形……！　霊災で全滅したと思われた「バッカスグレープ」の葉です！まだどこかに、その木が現存してるってことですよ！			手触りで分かる、この特徴的な形……！　霊災で全滅したと思われた「バッカスグレープ」の葉です！まだどこかに、その木が現存してるってことですよ！			人の命運、ワインの運命							
ブドウは接ぎ木をすることで繁殖させることができる……。せめて「枝」の一本でもあれば、奇跡のブドウ酒を蘇らせることができるのです！			ブドウは接ぎ木をすることで繁殖させることができる……。せめて「枝」の一本でもあれば、奇跡のブドウ酒を蘇らせることができるのです！			人の命運、ワインの運命							
冒険者さん、この葉をお渡しします。ドレストさんに詳しい話を聞いてきていただけませんか！お願いします！			冒険者さん、この葉をお渡しします。ドレストさんに詳しい話を聞いてきていただけませんか！お願いします！			人の命運、ワインの運命							
よう……またあんたか。……何か用か？			よう……またあんたか。……何か用か？			人の命運、ワインの運命							
ああ……この葉っぱか？栓代わりに詰め込むのに、ちょうどいい大きさだったんでな。そうか、珍しい葉だったのか……。			ああ……この葉っぱか？栓代わりに詰め込むのに、ちょうどいい大きさだったんでな。そうか、珍しい葉だったのか……。			人の命運、ワインの運命							
……見つけた場所……だって？こいつは、この先にある沼沢地に落ちてたんだが……。採りに行こうってのなら……止めとけよ……。			……見つけた場所……だって？こいつは、この先にある沼沢地に落ちてたんだが……。採りに行こうってのなら……止めとけよ……。			人の命運、ワインの運命							
この葉は「レインキャッチャー樹林」の奥に棲む魔物が通った跡に落ちていたものだ……。そいつの頭に、葉を茂らせている植物が生えているのさ。			この葉は「レインキャッチャー樹林」の奥に棲む魔物が通った跡に落ちていたものだ……。そいつの頭に、葉を茂らせている植物が生えているのさ。			人の命運、ワインの運命							
魔物は……「シェズム・グゥーブー」と呼ばれている……。この樹林を我が物顔で闊歩する、危険な魔物の親玉さ。……生きてこその人生だ……無茶はよせよ。			魔物は……「シェズム・グゥーブー」と呼ばれている……。この樹林を我が物顔で闊歩する、危険な魔物の親玉さ。……生きてこその人生だ……無茶はよせよ。			人の命運、ワインの運命							
指定地点で待機するとポップする「シェズム・グゥーブー」を倒し、「バッカスの酒」をゲット			指定地点で待機するとポップする「シェズム・グゥーブー」を倒し、「バッカスの酒」をゲット			人の命運、ワインの運命							
お帰りなさい冒険者さん！どうでしたか、枝は見つかりましたか！？			お帰りなさい冒険者さん！どうでしたか、枝は見つかりましたか！？			人の命運、ワインの運命							
……これは、この香りは、間違いない！これを育てれば、きっと蘇らせることができますよ！伝説の「バッカスグレープ」を！！			……これは、この香りは、間違いない！これを育てれば、きっと蘇らせることができますよ！伝説の「バッカスグレープ」を！！			人の命運、ワインの運命							
聞こえましたよ！　い、今の話は本当なのですか！？私でさえ諦めていた「バッカスグレープ」の枝を、素人であるシャマニ・ローマニと冒険者が見つけた、と？			聞こえましたよ！　い、今の話は本当なのですか！？私でさえ諦めていた「バッカスグレープ」の枝を、素人であるシャマニ・ローマニと冒険者が見つけた、と？			人の命運、ワインの運命							
……た、確かに、その枝は「バッカスグレープ」！今まで素人と侮っていた貴方たちが見つけるとは……その情熱と知識を認めぬわけにはいきませんね。			……た、確かに、その枝は「バッカスグレープ」！今まで素人と侮っていた貴方たちが見つけるとは……その情熱と知識を認めぬわけにはいきませんね。			人の命運、ワインの運命							
……な、なんですって！？貴方は私に、この枝を託すというのですか！？			……な、なんですって！？貴方は私に、この枝を託すというのですか！？			人の命運、ワインの運命							
ここで最高の腕を持つのは、ビルギレントさん、貴方です。ともに「バッカスグレープ」を……そして、「バッカスの酒」を復活させましょう！			ここで最高の腕を持つのは、ビルギレントさん、貴方です。ともに「バッカスグレープ」を……そして、「バッカスの酒」を復活させましょう！			人の命運、ワインの運命							
その熱き想いを、今まで見抜けなかったとは……わかりました、この枝はともに育てましょう。そして数年後、「バッカスの酒」を再び、今度は我々の手で！			その熱き想いを、今まで見抜けなかったとは……わかりました、この枝はともに育てましょう。そして数年後、「バッカスの酒」を再び、今度は我々の手で！			人の命運、ワインの運命							
こ、このラベルの肌触り……。まさか、バッカスの酒！？			こ、このラベルの肌触り……。まさか、バッカスの酒！？			人の命運、ワインの運命							
それに……ラベルから漂うこの香り……。幻と言われる、1547年の最高級ヴィンテージワインでは！？……すべて失われたと聞いていたのに、なぜ……。			それに……ラベルから漂うこの香り……。幻と言われる、1547年の最高級ヴィンテージワインでは！？……すべて失われたと聞いていたのに、なぜ……。			人の命運、ワインの運命							
私個人の秘蔵コレクションの一本です。……人に運命があるように、ワインにも運命がある。このワインは貴方たちのため、霊災を生き残ったのでしょう。			私個人の秘蔵コレクションの一本です。……人に運命があるように、ワインにも運命がある。このワインは貴方たちのため、霊災を生き残ったのでしょう。			人の命運、ワインの運命							
……冒険者さん、これは貴方がお持ちください。貴方が持ち帰ってくださった枝のおかげで、「バッカスグレープ」は復活するのですから……。			……冒険者さん、これは貴方がお持ちください。貴方が持ち帰ってくださった枝のおかげで、「バッカスグレープ」は復活するのですから……。			人の命運、ワインの運命							
目から光を失った私には解ります……さまざまな人が貴方によって救われた。貴方の「心」は、確かに見届けました。			目から光を失った私には解ります……さまざまな人が貴方によって救われた。貴方の「心」は、確かに見届けました。			人の命運、ワインの運命							
さぁ、早く「コスタ・デル・ソル」へ。「特別な晩餐」に合う「最高のワイン」を届けてください。「ヴェイスケート」副団長もお待ちかねですよ。			さぁ、早く「コスタ・デル・ソル」へ。「特別な晩餐」に合う「最高のワイン」を届けてください。「ヴェイスケート」副団長もお待ちかねですよ。			人の命運、ワインの運命							
……私は、いいのです。ウフフ、数年後、自分たちで作った「バッカスの酒」をいくらでも飲むことができるのですから！			……私は、いいのです。ウフフ、数年後、自分たちで作った「バッカスの酒」をいくらでも飲むことができるのですから！			人の命運、ワインの運命							
よう、帰ってきたか。最高のワインは、手に入ったのか？			よう、帰ってきたか。最高のワインは、手に入ったのか？			人の命運、ワインの運命							
……こいつは「バッカスの酒」か！？とんだお宝を手に入れたもんだ！			……こいつは「バッカスの酒」か！？とんだお宝を手に入れたもんだ！			人の命運、ワインの運命							
この短期間で、全てを片付けるとはな。お前の冒険者としての「力」は確かに見せてもらった。まったく、驚いたぜ！			この短期間で、全てを片付けるとはな。お前の冒険者としての「力」は確かに見せてもらった。まったく、驚いたぜ！			人の命運、ワインの運命							
さて、覚えているか？お前に集めてもらった「三大珍味」や最高のワインは、ある人物を歓待するための「特別な晩餐」に使うものだ。			さて、覚えているか？お前に集めてもらった「三大珍味」や最高のワインは、ある人物を歓待するための「特別な晩餐」に使うものだ。			人の命運、ワインの運命							
