東龍鱗橋付近のイッセは、落ち着かない様子だ。			東龍鱗橋付近のイッセは、落ち着かない様子だ。			踏み出す一歩							
アリゼーと話した。どうやら、彼女と烈士庵へと到着したアルフィノが、救助隊を編成してくれたらしい。奇しくもゼノスの望みどおり、窮地から脱することはできたが、彼を討ち果たすには、まだ力をつける必要がありそうだ……。			アリゼーと話した。どうやら、彼女と烈士庵へと到着したアルフィノが、救助隊を編成してくれたらしい。奇しくもゼノスの望みどおり、窮地から脱することはできたが、彼を討ち果たすには、まだ力をつける必要がありそうだ……。			ゼノス暗殺計画							
指定地点で見渡す			指定地点で見渡す			ゼノス暗殺計画							
ユウギリと話す			ユウギリと話す			ゼノス暗殺計画							
アリゼーと話す			アリゼーと話す			ゼノス暗殺計画							
暗殺を無理と申しているのではござらん。ただ、拙者が主の言葉から感じ取った核心は、別にあるということでござる。			暗殺を無理と申しているのではござらん。ただ、拙者が主の言葉から感じ取った核心は、別にあるということでござる。			ゼノス暗殺計画							
よし、ではまず、想定されているゼノスの移動経路についてだ。			よし、ではまず、想定されているゼノスの移動経路についてだ。			ゼノス暗殺計画							
奴は船でドマ城を出発。魔導障壁を一部解除して航行し、この船着場に到着する予定らしい。			奴は船でドマ城を出発。魔導障壁を一部解除して航行し、この船着場に到着する予定らしい。			ゼノス暗殺計画							
……しかし、見てのとおり、ここは開けていて暗殺には不向き。我々は、ゼノスが移動するのを待ち、「ユヅカ代官屋敷」付近で仕掛けるべきだ。			……しかし、見てのとおり、ここは開けていて暗殺には不向き。我々は、ゼノスが移動するのを待ち、「ユヅカ代官屋敷」付近で仕掛けるべきだ。			ゼノス暗殺計画							
ゆえに、Forename殿……まずは、我々がひそむのによさそうな場所を探そう。手分けすれば、時間はそうかからぬはずだ。			ゆえに、Forename殿……まずは、我々がひそむのによさそうな場所を探そう。手分けすれば、時間はそうかからぬはずだ。			ゼノス暗殺計画							
壁に囲まれ、ひっそりとした場所だ。身をひそめるのに適しているかもしれない……。			壁に囲まれ、ひっそりとした場所だ。身をひそめるのに適しているかもしれない……。			ゼノス暗殺計画							
ここにいたか、Forename殿。			ここにいたか、Forename殿。			ゼノス暗殺計画							
……ああ、よい場所だ。屋根の上から、船着場を見ることもできよう。			……ああ、よい場所だ。屋根の上から、船着場を見ることもできよう。			ゼノス暗殺計画							
では、ここにひそんで機会を待つ……。ゼノスが到着したら、まずは私が仕掛けよう。			では、ここにひそんで機会を待つ……。ゼノスが到着したら、まずは私が仕掛けよう。			ゼノス暗殺計画							
無論、初手必殺のつもりでいくが、どうなるかはわからない。貴殿は、適宜加勢を頼む。			無論、初手必殺のつもりでいくが、どうなるかはわからない。貴殿は、適宜加勢を頼む。			ゼノス暗殺計画							
最悪、ゼノスと真っ向勝負になることも想定し、準備を整えておいてくれ。……私たちで、必ずやり遂げよう！			最悪、ゼノスと真っ向勝負になることも想定し、準備を整えておいてくれ。……私たちで、必ずやり遂げよう！			ゼノス暗殺計画							
準備は万全だろうか？よければ、ここで息をひそめ、ゼノスの到着を待つとしよう。			準備は万全だろうか？よければ、ここで息をひそめ、ゼノスの到着を待つとしよう。			ゼノス暗殺計画							
くっ……うっ…………。			くっ……うっ…………。			ゼノス暗殺計画							
大丈夫かよ。水、しみたよな……。			大丈夫かよ。水、しみたよな……。			ゼノス暗殺計画							
どうにか全員無事でござるな。ならば、よし。			どうにか全員無事でござるな。ならば、よし。			ゼノス暗殺計画							
追手は……来ていないみたいね。あちらにも何か考えがあるんでしょうけれど、正直助かるわ。			追手は……来ていないみたいね。あちらにも何か考えがあるんでしょうけれど、正直助かるわ。			ゼノス暗殺計画							
ああ、お礼ならアルフィノに言ってよね。あいつ、今は烈士庵で待ってるから。			ああ、お礼ならアルフィノに言ってよね。あいつ、今は烈士庵で待ってるから。			ゼノス暗殺計画							
エーテライトの件で呼び寄せたんだけど、到着早々、あなたたちが暗殺にいったかもって知らされてね。青い顔して、救助隊を編成したのよ。			エーテライトの件で呼び寄せたんだけど、到着早々、あなたたちが暗殺にいったかもって知らされてね。青い顔して、救助隊を編成したのよ。			ゼノス暗殺計画							
青い顔をしておったのは、おぬしも同じでござろう？ふたりそろって、鬼のごとき気迫でせまってきおって！			青い顔をしておったのは、おぬしも同じでござろう？ふたりそろって、鬼のごとき気迫でせまってきおって！			ゼノス暗殺計画							
…………何にせよ。あなたもユウギリも、村の人たちも無事でよかった。一度おちついて、建て直しましょ。			…………何にせよ。あなたもユウギリも、村の人たちも無事でよかった。一度おちついて、建て直しましょ。			ゼノス暗殺計画							
ゼノスを倒せ！			ゼノスを倒せ！			ゼノス暗殺計画							
ゼノスの体力を削れ！			ゼノスの体力を削れ！			ゼノス暗殺計画							
雑兵め、邪魔だッ！ゼノス……貴様を、ここで討つッ！			雑兵め、邪魔だッ！ゼノス……貴様を、ここで討つッ！			ゼノス暗殺計画							
初撃すら決まらぬ者に興味はない。俺の獲物は……こちらの女男にするか。			初撃すら決まらぬ者に興味はない。俺の獲物は……こちらの女男にするか。			ゼノス暗殺計画							
なんで来たんだか……。何者だか知らないが、愚かだねぇ……。			なんで来たんだか……。何者だか知らないが、愚かだねぇ……。			ゼノス暗殺計画							
久方ぶりの狩りだ……。もう少しは、興じさせてくれような？			久方ぶりの狩りだ……。もう少しは、興じさせてくれような？			ゼノス暗殺計画							
…………ハ。試し斬りをする程度の価値はあるようだ。			…………ハ。試し斬りをする程度の価値はあるようだ。			ゼノス暗殺計画							
また遊びのつもりか！？許さない……主と同胞の仇は、私がッ！			また遊びのつもりか！？許さない……主と同胞の仇は、私がッ！			ゼノス暗殺計画							
ぐああぁぁぁッ！			ぐああぁぁぁッ！			ゼノス暗殺計画							
だめだ……私は、まだ…………。			だめだ……私は、まだ…………。			ゼノス暗殺計画							
妖刀、アメノハバキリ……抜かせたお前に、褒美をやろう……！			妖刀、アメノハバキリ……抜かせたお前に、褒美をやろう……！			ゼノス暗殺計画							
なんて力……ッ！巻き込まれちゃたまらないよ……！			なんて力……ッ！巻き込まれちゃたまらないよ……！			ゼノス暗殺計画							
よく続いているが、面白みのない……。飽きた、終わりにするぞ。			よく続いているが、面白みのない……。飽きた、終わりにするぞ。			ゼノス暗殺計画							
玄水連山の無惨な死体は、手に手帳を握りしめているようだ。			玄水連山の無惨な死体は、手に手帳を握りしめているようだ。			愛しき人へ							
遺品の風景画を頼りに愛しき人の情報を探す			遺品の風景画を頼りに愛しき人の情報を探す			愛しき人へ							
絵に似た女性と話す			絵に似た女性と話す			愛しき人へ							
絵に似た女性と再度話す			絵に似た女性と再度話す			愛しき人へ							
本クエストは「探索型クエスト」です。進行中、ジャーナルや目的リストや地図に、ヒントが表示されない場合があります。			本クエストは「探索型クエスト」です。進行中、ジャーナルや目的リストや地図に、ヒントが表示されない場合があります。			愛しき人へ							
無惨な死体が、横たわっている……。その手に手帳を握りしめているようだ。			無惨な死体が、横たわっている……。その手に手帳を握りしめているようだ。			愛しき人へ							
血で酷く汚れている手帳だ。死の間際に、何かを書き残したのだろうか……？			血で酷く汚れている手帳だ。死の間際に、何かを書き残したのだろうか……？			愛しき人へ							
(-血で汚れた手帳-)愛しき人へ。帝国の支配下で、生きるためとはいえ、キミを残して故郷を去った僕のことを、恨んでいるかな……？			(-血で汚れた手帳-)愛しき人へ。帝国の支配下で、生きるためとはいえ、キミを残して故郷を去った僕のことを、恨んでいるかな……？			愛しき人へ							
(-血で汚れた手帳-)キミに会えない日々は、心にぽっかりと穴が開いたようだったよ。何度も挫けそうになったけど、キミとの約束を果たすこと、ただそれだけを目標に、今日まで生きてきたんだ。			(-血で汚れた手帳-)キミに会えない日々は、心にぽっかりと穴が開いたようだったよ。何度も挫けそうになったけど、キミとの約束を果たすこと、ただそれだけを目標に、今日まで生きてきたんだ。			愛しき人へ							
(-血で汚れた手帳-)けれど、すまない……約束は守れなさそうだ。どうにか、故郷まで戻ってくることができたというのに、僕の命運も、ここまでみたいだ。			(-血で汚れた手帳-)けれど、すまない……約束は守れなさそうだ。どうにか、故郷まで戻ってくることができたというのに、僕の命運も、ここまでみたいだ。			愛しき人へ							
(-血で汚れた手帳-)キミに会って、直接謝ることもできずに、こんなところで死ぬだなんて……情けない男だよ。キミはまだ、約束の場所で待ってくれているかな……。			(-血で汚れた手帳-)キミに会って、直接謝ることもできずに、こんなところで死ぬだなんて……情けない男だよ。キミはまだ、約束の場所で待ってくれているかな……。			愛しき人へ							
文章はここで終わっており、最後のページには、1枚の絵が挟まれていた。手帳に記されていた「約束の場所」なのだろうか……？			文章はここで終わっており、最後のページには、1枚の絵が挟まれていた。手帳に記されていた「約束の場所」なのだろうか……？			愛しき人へ							
このクエストでは、アイコンが表示されません。「遺品の風景画」を頼りに約束の場所を見つけだし、「愛しき人」の情報を探しましょう。			このクエストでは、アイコンが表示されません。「遺品の風景画」を頼りに約束の場所を見つけだし、「愛しき人」の情報を探しましょう。			愛しき人へ							
私に、何かご用でしょうか？			私に、何かご用でしょうか？			愛しき人へ							
彼女に「遺品の風景画」を見せますか？			彼女に「遺品の風景画」を見せますか？			愛しき人へ							
この絵は、いったい……どこでこれを手に入れたのですか？			この絵は、いったい……どこでこれを手に入れたのですか？			愛しき人へ							
なるほど……亡くなった男性が握っていた手帳に、「愛しき人」への想いが綴られていて、この絵もそこに挟まれていた、と。			なるほど……亡くなった男性が握っていた手帳に、「愛しき人」への想いが綴られていて、この絵もそこに挟まれていた、と。			愛しき人へ							
残念ながら、私は、お探しの女性ではありません。……ですが、彼女の居場所なら知っています。			残念ながら、私は、お探しの女性ではありません。……ですが、彼女の居場所なら知っています。			愛しき人へ							
私に付いてきてください。男性の想い人の下まで、案内いたしましょう。			私に付いてきてください。男性の想い人の下まで、案内いたしましょう。			愛しき人へ							
あなたがお探しの人物……私の姉さんは、この木の下に眠っています。			あなたがお探しの人物……私の姉さんは、この木の下に眠っています。			愛しき人へ							
私たち姉妹は、帝国の侵攻時に両親を失いました。それからというもの、姉さんがずっと、ひとりきりで、幼い私を育ててくれました。			私たち姉妹は、帝国の侵攻時に両親を失いました。それからというもの、姉さんがずっと、ひとりきりで、幼い私を育ててくれました。			愛しき人へ							
年の離れた自分を育てながら、帝国による重税を支払うため、姉は、かなり無理をしていたのだと思います。5年前に過労で倒れ、そのまま……。			年の離れた自分を育てながら、帝国による重税を支払うため、姉は、かなり無理をしていたのだと思います。5年前に過労で倒れ、そのまま……。			愛しき人へ							
……姉さんは亡くなる最後の瞬間まで、恋人だった男性の帰りを待っていました……。ですが結局、再会は叶いませんでした。			……姉さんは亡くなる最後の瞬間まで、恋人だった男性の帰りを待っていました……。ですが結局、再会は叶いませんでした。			愛しき人へ							
生前の姉の話によれば、姉の恋人だった男性は、反帝国活動の先頭に立って、戦っていたようです。つまり、この地に残っていれば、命はなかったということ……。			生前の姉の話によれば、姉の恋人だった男性は、反帝国活動の先頭に立って、戦っていたようです。つまり、この地に残っていれば、命はなかったということ……。			愛しき人へ							
ですが、姉を置いて行ったその方を、私はどうしても許すことができませんでした。			ですが、姉を置いて行ったその方を、私はどうしても許すことができませんでした。			愛しき人へ							
でも、姉は最後まで、愛する人の帰りを信じていた……。だから代わりに、私は時折、「約束の場所」に赴いては、いつか来るかもしれない男性を、待つことにしたのです。			でも、姉は最後まで、愛する人の帰りを信じていた……。だから代わりに、私は時折、「約束の場所」に赴いては、いつか来るかもしれない男性を、待つことにしたのです。			愛しき人へ							
まさか、こんな形で最期を知ることになるとは、思ってはいませんでしたが……。			まさか、こんな形で最期を知ることになるとは、思ってはいませんでしたが……。			愛しき人へ							
わざわざ届けてくださった、お礼をさせていただきたいので、あとで、村にお越しいただけますか？お待ちしておりますね。			わざわざ届けてくださった、お礼をさせていただきたいので、あとで、村にお越しいただけますか？お待ちしておりますね。			愛しき人へ							
村の方と話をして、彼の遺体は、姉さんの眠る木の近くに、埋葬することにいたしました。生前は叶いませんでしたが、きっと天で再会しているはず……。			村の方と話をして、彼の遺体は、姉さんの眠る木の近くに、埋葬することにいたしました。生前は叶いませんでしたが、きっと天で再会しているはず……。			愛しき人へ							
姉のことを忘れないでいてくださったとわかって、長年、心につっかえていたものは溶けました。			姉のことを忘れないでいてくださったとわかって、長年、心につっかえていたものは溶けました。			愛しき人へ							
挟まれていた絵を頼りに、見ず知らずの場所まで、わざわざ足を運んでくださったおかげです。どうもありがとうございました。			挟まれていた絵を頼りに、見ず知らずの場所まで、わざわざ足を運んでくださったおかげです。どうもありがとうございました。			愛しき人へ							
ナマイ村のオチミは、届けものをしてほしいようだ。			ナマイ村のオチミは、届けものをしてほしいようだ。			花見に恋い焦がれて							
小さな苗木の入った袋から小さな苗木を入手			小さな苗木の入った袋から小さな苗木を入手			花見に恋い焦がれて							
木酢液を入手			木酢液を入手			花見に恋い焦がれて							
ギョタイに小さな苗木と木酢液を渡す			ギョタイに小さな苗木と木酢液を渡す			花見に恋い焦がれて							
ねえ、あなた。ユヅカ代官屋敷に住むナマズオたちには、もう会った？			ねえ、あなた。ユヅカ代官屋敷に住むナマズオたちには、もう会った？			花見に恋い焦がれて							
この村から南西に行ったところに、屋敷があるの。もともとは代官さまの屋敷だったんだけれど、帝国との戦いが起きてから、住む人がいなくなってね。			この村から南西に行ったところに、屋敷があるの。もともとは代官さまの屋敷だったんだけれど、帝国との戦いが起きてから、住む人がいなくなってね。			花見に恋い焦がれて							
今は、そこにナマズオたちが住んでいるのよ。この村にも、たまに魚を売りに来てくれるのだけれど、以前、この木に興味を持っていたから、苗木を分けてあげたいの。			今は、そこにナマズオたちが住んでいるのよ。この村にも、たまに魚を売りに来てくれるのだけれど、以前、この木に興味を持っていたから、苗木を分けてあげたいの。			花見に恋い焦がれて							
でも、ナマズオたちが住むユヅカ代官屋敷までは、ちょっと距離もあるし、途中に危険な獣もいるから、私が届けにいくのは厳しくて……。			でも、ナマズオたちが住むユヅカ代官屋敷までは、ちょっと距離もあるし、途中に危険な獣もいるから、私が届けにいくのは厳しくて……。			花見に恋い焦がれて							
だから、あなたのような強そうな方にお願いしたいの。持っていってほしい「小さな苗木」と「木酢液」は、フクドさんの家の前に置いてあるわ。			だから、あなたのような強そうな方にお願いしたいの。持っていってほしい「小さな苗木」と「木酢液」は、フクドさんの家の前に置いてあるわ。			花見に恋い焦がれて							
木酢液は、虫除け用のものよ。それらを、ユヅカ代官屋敷に住む、「ギョタイ」という子に渡してあげてね。			木酢液は、虫除け用のものよ。それらを、ユヅカ代官屋敷に住む、「ギョタイ」という子に渡してあげてね。			花見に恋い焦がれて							
「小さな苗木」と「木酢液」は、フクドさんの家の前に置いてあるわ。ユヅカ代官屋敷の「ギョタイ」という子に渡してあげてね。			「小さな苗木」と「木酢液」は、フクドさんの家の前に置いてあるわ。ユヅカ代官屋敷の「ギョタイ」という子に渡してあげてね。			花見に恋い焦がれて							
お客さまっぺか？何か、ご用っぺかな？			お客さまっぺか？何か、ご用っぺかな？			花見に恋い焦がれて							
おぉ、ナマイ村のヒトが贈り物をくれるっぺ？うぺぺぺぺ、ありがたいっぺなぁ！			おぉ、ナマイ村のヒトが贈り物をくれるっぺ？うぺぺぺぺ、ありがたいっぺなぁ！			花見に恋い焦がれて							
ここに住み始めてからというもの、一生懸命、文字を勉強して、屋敷にあった書を読んでるっぺな。そこで知った「花見」っぺものに、恋い焦がれてるっぺよ！			ここに住み始めてからというもの、一生懸命、文字を勉強して、屋敷にあった書を読んでるっぺな。そこで知った「花見」っぺものに、恋い焦がれてるっぺよ！			花見に恋い焦がれて							
どの花が綺麗だとか、そういう難しいことはわからんっぺな。でもでも、一度は「花見」をしてみたいっぺ、ナマイ村のヒトに話したっぺよ。			どの花が綺麗だとか、そういう難しいことはわからんっぺな。でもでも、一度は「花見」をしてみたいっぺ、ナマイ村のヒトに話したっぺよ。			花見に恋い焦がれて							
そのこと、覚えていてくれたうえに、わざわざ苗木までくれるなんて……感動っぺよ！いつか「花見」ができるよう、大切に育てるっぺなぁ！			そのこと、覚えていてくれたうえに、わざわざ苗木までくれるなんて……感動っぺよ！いつか「花見」ができるよう、大切に育てるっぺなぁ！			花見に恋い焦がれて							
ナマイ村のフクドは、冒険者に協力を依頼したいことがあるようだ。			ナマイ村のフクドは、冒険者に協力を依頼したいことがあるようだ。			クロバナ、俵運びに挑む！							
フクドと話した。フクドは、クロバナに俵運びをやらせてみようと思っているのだという。ナマイ村の「クロバナ」に、このことを伝えよう。			フクドと話した。フクドは、クロバナに俵運びをやらせてみようと思っているのだという。ナマイ村の「クロバナ」に、このことを伝えよう。			クロバナ、俵運びに挑む！							
クロバナと話した。村の役に立てるならやらない手はないと言い、シロジシのところへ向かっていった。クロバナを追い、ヤンサの玄水連山にいる「シロジシ」と話そう。			クロバナと話した。村の役に立てるならやらない手はないと言い、シロジシのところへ向かっていった。クロバナを追い、ヤンサの玄水連山にいる「シロジシ」と話そう。			クロバナ、俵運びに挑む！							
シロジシと話した。クロバナは、意気揚々と俵を担いで倉へ向かっていったが、シロジシ曰く、俵運びは想像以上にキツいものだそうだ。玄水連山の「クロバナ」を見つけ、疲れているようであれば「活を入れ」るとしよう。			シロジシと話した。クロバナは、意気揚々と俵を担いで倉へ向かっていったが、シロジシ曰く、俵運びは想像以上にキツいものだそうだ。玄水連山の「クロバナ」を見つけ、疲れているようであれば「活を入れ」るとしよう。			クロバナ、俵運びに挑む！							
クロバナに活を入れた。すると、少し元気が出たようで、倉に向けて俵運びを再開した。ナマイ村にいる「クロバナ」と話そう。			クロバナに活を入れた。すると、少し元気が出たようで、倉に向けて俵運びを再開した。ナマイ村にいる「クロバナ」と話そう。			クロバナ、俵運びに挑む！							
クロバナと話した。やりきった様子のクロバナだったが、あと3往復はしてほしいとのハチボクの話を聞くと、それはできないと音を上げてどこかへ行ってしまった。ナマイ村の「フクド」に事の顛末を報告しよう。			クロバナと話した。やりきった様子のクロバナだったが、あと3往復はしてほしいとのハチボクの話を聞くと、それはできないと音を上げてどこかへ行ってしまった。ナマイ村の「フクド」に事の顛末を報告しよう。			クロバナ、俵運びに挑む！							
フクドに報告した。ちょうどフクドは、音を上げたクロバナを捕まえて話を聞いていたところだった。もう逃げ出さないと誓うクロバナ。一方フクドは、次は力のいらない仕事をやらせてみるとしようと呟くのであった。			フクドに報告した。ちょうどフクドは、音を上げたクロバナを捕まえて話を聞いていたところだった。もう逃げ出さないと誓うクロバナ。一方フクドは、次は力のいらない仕事をやらせてみるとしようと呟くのであった。			クロバナ、俵運びに挑む！							
クロバナと話す			クロバナと話す			クロバナ、俵運びに挑む！							
シロジシと話す			シロジシと話す			クロバナ、俵運びに挑む！							
クロバナに「活を入れる」をする			クロバナに「活を入れる」をする			クロバナ、俵運びに挑む！							
クロバナと話す			クロバナと話す			クロバナ、俵運びに挑む！							
フクドに報告			フクドに報告			クロバナ、俵運びに挑む！							
