レヴナンツトールのコー・ラブンタと、目が合った気がする。			レヴナンツトールのコー・ラブンタと、目が合った気がする。			秘されしオルト・エウレカ							
目覚めたわらわが現世を散策したいと申し出たところ、コーが身体を貸してくれると言い……契約成立というわけだ。			目覚めたわらわが現世を散策したいと申し出たところ、コーが身体を貸してくれると言い……契約成立というわけだ。			秘されしオルト・エウレカ							
なに、身体はいつでも返せるから心配するな。それよりも今は、お前に大事な話がある。			なに、身体はいつでも返せるから心配するな。それよりも今は、お前に大事な話がある。			秘されしオルト・エウレカ							
おや、そちらから声をかけてくれるとは僥倖だ。調子はどうだね、Forename。			おや、そちらから声をかけてくれるとは僥倖だ。調子はどうだね、Forename。			秘されしオルト・エウレカ							
冒険者として……我が名を冠する調査団「ノア」に身を置いた者として、その後も励んでおるか？			冒険者として……我が名を冠する調査団「ノア」に身を置いた者として、その後も励んでおるか？			秘されしオルト・エウレカ							
大変結構。こちらの状況も相変わらずだ。			大変結構。こちらの状況も相変わらずだ。			秘されしオルト・エウレカ							
シルクスの塔を調査していた聖コイナク財団のコー・ラブンタが、わらわの……魔道士ノアの魂が封じられた宝珠を見つけ、目覚めさせた。			シルクスの塔を調査していた聖コイナク財団のコー・ラブンタが、わらわの……魔道士ノアの魂が封じられた宝珠を見つけ、目覚めさせた。			秘されしオルト・エウレカ							
以来こうして身体を借り受け、束の間、現世の営みを満喫しているわけだ。			以来こうして身体を借り受け、束の間、現世の営みを満喫しているわけだ。			秘されしオルト・エウレカ							
なに、ときどきはコーに身体を返しておる。これからも無理強いはしないが……少なくとも今は、お前と大事な話をせねばならん。			なに、ときどきはコーに身体を返しておる。これからも無理強いはしないが……少なくとも今は、お前と大事な話をせねばならん。			秘されしオルト・エウレカ							
実は、お前の所属していた「暁の血盟」の活動について、ラムブルースから少しばかり情報を聞き出してな。			実は、お前の所属していた「暁の血盟」の活動について、ラムブルースから少しばかり情報を聞き出してな。			秘されしオルト・エウレカ							
塔とともに眠ったはずのグ・ラハ・ティアが、数奇な運命をたどって目覚めたのだということ……。			塔とともに眠ったはずのグ・ラハ・ティアが、数奇な運命をたどって目覚めたのだということ……。			秘されしオルト・エウレカ							
終末の騒動を引き起こしたアシエン・ファダニエルが、元々は、あのアモンだったこと……。			終末の騒動を引き起こしたアシエン・ファダニエルが、元々は、あのアモンだったこと……。			秘されしオルト・エウレカ							
いずれも、又聞きにはなるが把握しておる。			いずれも、又聞きにはなるが把握しておる。			秘されしオルト・エウレカ							
……それらを乗り越えたお前にこそ、依頼したいことがあるのだ。			……それらを乗り越えたお前にこそ、依頼したいことがあるのだ。			秘されしオルト・エウレカ							
詳しい内容を話すにあたり、グ・ラハ・ティアを呼んで「八剣士の前庭」へ来てほしい。仲間同士、リンクパールくらい持っておろう？			詳しい内容を話すにあたり、グ・ラハ・ティアを呼んで「八剣士の前庭」へ来てほしい。仲間同士、リンクパールくらい持っておろう？			秘されしオルト・エウレカ							
(-グ・ラハ・ティア-)はい、こちらグ・ラハ・ティア……			(-グ・ラハ・ティア-)はい、こちらグ・ラハ・ティア……			秘されしオルト・エウレカ							
(-グ・ラハ・ティア-)Forename！？珍しいな、あんたからかけてくるなん…………うわっ！？			(-グ・ラハ・ティア-)Forename！？珍しいな、あんたからかけてくるなん…………うわっ！？			秘されしオルト・エウレカ							
(-グ・ラハ・ティア-)うぅ……な、何でもない、大丈夫だ。それよりそっちの用件は？困ったことでもあったのか……？			(-グ・ラハ・ティア-)うぅ……な、何でもない、大丈夫だ。それよりそっちの用件は？困ったことでもあったのか……？			秘されしオルト・エウレカ							
(-グ・ラハ・ティア-)ええっと……つまり……大魔道士ノアの魂が調査員の身体に宿っていて、あんたに依頼をするにあたってオレのことも呼んでいると？			(-グ・ラハ・ティア-)ええっと……つまり……大魔道士ノアの魂が調査員の身体に宿っていて、あんたに依頼をするにあたってオレのことも呼んでいると？			秘されしオルト・エウレカ							
(-グ・ラハ・ティア-)………………。			(-グ・ラハ・ティア-)………………。			秘されしオルト・エウレカ							
(-グ・ラハ・ティア-)いや、一大事じゃねーかッ！！			(-グ・ラハ・ティア-)いや、一大事じゃねーかッ！！			秘されしオルト・エウレカ							
(-グ・ラハ・ティア-)とりあえずわかった、手持ちの作業を切り上げ次第、すぐに「八剣士の前庭」に向かう。			(-グ・ラハ・ティア-)とりあえずわかった、手持ちの作業を切り上げ次第、すぐに「八剣士の前庭」に向かう。			秘されしオルト・エウレカ							
(-グ・ラハ・ティア-)すぐ……本当にすぐ行くからな！ノアにもそう伝えてくれ、じゃあまたッ！			(-グ・ラハ・ティア-)すぐ……本当にすぐ行くからな！ノアにもそう伝えてくれ、じゃあまたッ！			秘されしオルト・エウレカ							
いや、わらわにも支度がいるゆえ、そこまで急ぐ必要はないのだが……。			いや、わらわにも支度がいるゆえ、そこまで急ぐ必要はないのだが……。			秘されしオルト・エウレカ							
まあ、それだけお前に人望があるということか。よいよい、上首尾だ。			まあ、それだけお前に人望があるということか。よいよい、上首尾だ。			秘されしオルト・エウレカ							
では、わらわも支度を済ませて「八剣士の前庭」へ行こう。お前の方が先に着くようだったら、しばしその場で待っていてくれ。			では、わらわも支度を済ませて「八剣士の前庭」へ行こう。お前の方が先に着くようだったら、しばしその場で待っていてくれ。			秘されしオルト・エウレカ							
「八剣士の前庭」へ入りますか？			「八剣士の前庭」へ入りますか？			秘されしオルト・エウレカ							
悪い、出遅れたか……！？			悪い、出遅れたか……！？			秘されしオルト・エウレカ							
……ならよかった。あんたからの呼び出しで、大魔道士ノアまで絡むとなれば、ちょっとの遅刻もしたくないからさ。			……ならよかった。あんたからの呼び出しで、大魔道士ノアまで絡むとなれば、ちょっとの遅刻もしたくないからさ。			秘されしオルト・エウレカ							
オレたちは、ザンデやアモンとも会ったんだ。ノアの魂だって残っていても不思議じゃないが……いったいどんな依頼なんだろうな。			オレたちは、ザンデやアモンとも会ったんだ。ノアの魂だって残っていても不思議じゃないが……いったいどんな依頼なんだろうな。			秘されしオルト・エウレカ							
状況からみて、クリスタルタワー関連か……？			状況からみて、クリスタルタワー関連か……？			秘されしオルト・エウレカ							
(-？？？？-)当たらずも遠からず、だ。よく来たな、懐かしき紅の眼を持つ者よ。			(-？？？？-)当たらずも遠からず、だ。よく来たな、懐かしき紅の眼を持つ者よ。			秘されしオルト・エウレカ							
(-？？？？-)Forenameも、待たせてすまなんだ。この話を進めるためには、ちと魔法を使わねばならんのでな。			(-？？？？-)Forenameも、待たせてすまなんだ。この話を進めるためには、ちと魔法を使わねばならんのでな。			秘されしオルト・エウレカ							
(-？？？？-)いかんせん、コーの身体は魔力を扱い慣れていない。それを補うため、魔道士向けの装備をそろえてきたのだ。			(-？？？？-)いかんせん、コーの身体は魔力を扱い慣れていない。それを補うため、魔道士向けの装備をそろえてきたのだ。			秘されしオルト・エウレカ							
わらわの全盛期ほどの実力は出せまいが、うむ、及第点よ！ロウェナ商会とやらは、なかなかの品を扱っておる。			わらわの全盛期ほどの実力は出せまいが、うむ、及第点よ！ロウェナ商会とやらは、なかなかの品を扱っておる。			秘されしオルト・エウレカ							
何と言う？			何と言う？			秘されしオルト・エウレカ							
アラグなセンスだ……！			アラグなセンスだ……！			秘されしオルト・エウレカ							
髪も結んだ？			髪も結んだ？			秘されしオルト・エウレカ							
どちら様でしょうか			どちら様でしょうか			秘されしオルト・エウレカ							
ふむ、誉め言葉として受け取っておこうか。アラグの魔道士は、機能的かつ絢爛に装うものだからな！			ふむ、誉め言葉として受け取っておこうか。アラグの魔道士は、機能的かつ絢爛に装うものだからな！			秘されしオルト・エウレカ							
そうとも、コーは髪で顔を隠そうとしていたが、鬱陶しいし必要もないと思っておったのだ！いい機会ゆえ、簡素ではあるが結ってみた。			そうとも、コーは髪で顔を隠そうとしていたが、鬱陶しいし必要もないと思っておったのだ！いい機会ゆえ、簡素ではあるが結ってみた。			秘されしオルト・エウレカ							
ほほう、それは見違えたということか……？そういうときは、もっと素直に褒めておくがよいぞ。			ほほう、それは見違えたということか……？そういうときは、もっと素直に褒めておくがよいぞ。			秘されしオルト・エウレカ							
まあ、わらわとしては、全体的にもっと豪華にしたかったのが本音だ。アモンめと比べても、これではあまりに慎ましい……。			まあ、わらわとしては、全体的にもっと豪華にしたかったのが本音だ。アモンめと比べても、これではあまりに慎ましい……。			秘されしオルト・エウレカ							
とはいえ、先ほどから脳裏でコー本人の意識が騒々しくてな。やれ派手すぎる、やれ恥ずかしいと説教してくるので、此度はここを妥協点とした。			とはいえ、先ほどから脳裏でコー本人の意識が騒々しくてな。やれ派手すぎる、やれ恥ずかしいと説教してくるので、此度はここを妥協点とした。			秘されしオルト・エウレカ							
かの大魔道士ノアが、それだけ念入りに支度をしてくれたとは恐れ入る。			かの大魔道士ノアが、それだけ念入りに支度をしてくれたとは恐れ入る。			秘されしオルト・エウレカ							
さっきオレの予想は「当たらずも遠からず」だと言ってたが、改めて、依頼の内容を聞いてもいいか？			さっきオレの予想は「当たらずも遠からず」だと言ってたが、改めて、依頼の内容を聞いてもいいか？			秘されしオルト・エウレカ							
第三星暦の後期……アラグ繁栄の時代……クリスタルタワーの地下には、極秘の先端技術研究所が設置されていた。			第三星暦の後期……アラグ繁栄の時代……クリスタルタワーの地下には、極秘の先端技術研究所が設置されていた。			秘されしオルト・エウレカ							
不死や蘇りの方法。それに付随するクローン技術の確立。闘神の制御機構や、その集大成たるダラガブの試作……。			不死や蘇りの方法。それに付随するクローン技術の確立。闘神の制御機構や、その集大成たるダラガブの試作……。			秘されしオルト・エウレカ							
国が主導する重要な研究の数々が、その場所で、秘密裏に行われてきたのだ。			国が主導する重要な研究の数々が、その場所で、秘密裏に行われてきたのだ。			秘されしオルト・エウレカ							
研究所の名は「オルト・エウレカ」。皇帝より正規(オルト)の名を賜った、唯一無二の創出の場だ。			研究所の名は「オルト・エウレカ」。皇帝より正規(オルト)の名を賜った、唯一無二の創出の場だ。			秘されしオルト・エウレカ							
エウレカだって！？まさか、本当に……！？			エウレカだって！？まさか、本当に……！？			秘されしオルト・エウレカ							
アラグ帝国にまつわる伝承のひとつに、エウレカ伝説っていうのがあるんだよ。			アラグ帝国にまつわる伝承のひとつに、エウレカ伝説っていうのがあるんだよ。			秘されしオルト・エウレカ							
あんたはクルルとともに、「禁断の地エウレカ」の調査に加わってたよな。			あんたはクルルとともに、「禁断の地エウレカ」の調査に加わってたよな。			秘されしオルト・エウレカ							
あれは東方に突如現れた島を、便宜上そう名付けたわけだが……その名の由来になっている、エウレカ伝説っていうのがあるんだよ。			あれは東方に突如現れた島を、便宜上そう名付けたわけだが……その名の由来になっている、エウレカ伝説っていうのがあるんだよ。			秘されしオルト・エウレカ							
強力だが甚大な危険性を秘めた武器が、エウレカなる地下迷宮に封印されている……ってな。			強力だが甚大な危険性を秘めた武器が、エウレカなる地下迷宮に封印されている……ってな。			秘されしオルト・エウレカ							
ほう……「あれ」の存在が、そのような形で残ったか……。			ほう……「あれ」の存在が、そのような形で残ったか……。			秘されしオルト・エウレカ							
いや、オルト・エウレカでは実際に、特殊な武器の製造も行われておったのでな。噂に尾ひれがついて、その伝説になったのだろう。			いや、オルト・エウレカでは実際に、特殊な武器の製造も行われておったのでな。噂に尾ひれがついて、その伝説になったのだろう。			秘されしオルト・エウレカ							
……ともかく、アラグのエウレカは実在する。役割上シルクスの塔にも劣らぬ堅牢さで造られたそれは、第四霊災を経てなお、残存している可能性が高い。			……ともかく、アラグのエウレカは実在する。役割上シルクスの塔にも劣らぬ堅牢さで造られたそれは、第四霊災を経てなお、残存している可能性が高い。			秘されしオルト・エウレカ							
そしてわらわは、そこへ入る方法を心得ておる。			そしてわらわは、そこへ入る方法を心得ておる。			秘されしオルト・エウレカ							
グ・ラハ・ティアに流れる皇血と、わらわの知る専用の転送魔法がそろえば、オルト・エウレカへ続くゲートを開くことができるのだ。			グ・ラハ・ティアに流れる皇血と、わらわの知る専用の転送魔法がそろえば、オルト・エウレカへ続くゲートを開くことができるのだ。			秘されしオルト・エウレカ							
……いっとき、あの場所で研究に手を貸していたからな。わらわがこうして魂を残し、他者に宿ることができるのも、その際の成果のひとつよ。			……いっとき、あの場所で研究に手を貸していたからな。わらわがこうして魂を残し、他者に宿ることができるのも、その際の成果のひとつよ。			秘されしオルト・エウレカ							
此度の依頼とはすなわち、オルト・エウレカに赴き、可能なかぎり深くまで探索してほしいということだ。			此度の依頼とはすなわち、オルト・エウレカに赴き、可能なかぎり深くまで探索してほしいということだ。			秘されしオルト・エウレカ							
クリスタルタワーに掛けられた時間停止魔法が解かれている以上、隣接するオルト・エウレカ内でも、管理者を失った実験体や防衛機構が動きだしているはず……。			クリスタルタワーに掛けられた時間停止魔法が解かれている以上、隣接するオルト・エウレカ内でも、管理者を失った実験体や防衛機構が動きだしているはず……。			秘されしオルト・エウレカ							
それらの障害を切り抜け、打ち払い、ひとまずは地下30階を目指してほしい。			それらの障害を切り抜け、打ち払い、ひとまずは地下30階を目指してほしい。			秘されしオルト・エウレカ							
だったら、オレも行く。アラグの先端技術が研究されていた場所なら、一筋縄じゃ進めないはずだし……			だったら、オレも行く。アラグの先端技術が研究されていた場所なら、一筋縄じゃ進めないはずだし……			秘されしオルト・エウレカ							
それはならん。ほかの冒険者連中ならば助けに入ってもよいが、グ・ラハ・ティア、お前はゲートを開くまでだ。			それはならん。ほかの冒険者連中ならば助けに入ってもよいが、グ・ラハ・ティア、お前はゲートを開くまでだ。			秘されしオルト・エウレカ							
……悪いな、これはわらわの我儘だ。皇血を宿したお前は、いかんせん「こちら側」に近すぎる。			……悪いな、これはわらわの我儘だ。皇血を宿したお前は、いかんせん「こちら側」に近すぎる。			秘されしオルト・エウレカ							
クリスタルタワーと違い、あの研究所は、誰の希望になる必要もない。			クリスタルタワーと違い、あの研究所は、誰の希望になる必要もない。			秘されしオルト・エウレカ							
アラグを継がぬ現世の者によって、醜悪なものは醜悪なまま……受け入れがたき非道は非道のままに、記憶してほしいのだ。			アラグを継がぬ現世の者によって、醜悪なものは醜悪なまま……受け入れがたき非道は非道のままに、記憶してほしいのだ。			秘されしオルト・エウレカ							
Forenameよ、依頼を受けてもらえるか？			Forenameよ、依頼を受けてもらえるか？			秘されしオルト・エウレカ							
探索にあたっては力を貸すし、報酬として、研究所内の遺物を持ち出してもらって構わん。場所が場所ゆえ、役立つものもあろう。			探索にあたっては力を貸すし、報酬として、研究所内の遺物を持ち出してもらって構わん。場所が場所ゆえ、役立つものもあろう。			秘されしオルト・エウレカ							
……感謝する。オルト・エウレカを、その眼に焼きつけてきてくれ。			……感謝する。オルト・エウレカを、その眼に焼きつけてきてくれ。			秘されしオルト・エウレカ							
では、さっそくゲートを開くか。補佐を頼むぞ、ドーガとウネから鍵を託されし者よ。			では、さっそくゲートを開くか。補佐を頼むぞ、ドーガとウネから鍵を託されし者よ。			秘されしオルト・エウレカ							
よし……。問題なく繋がったようだ。			よし……。問題なく繋がったようだ。			秘されしオルト・エウレカ							
ひとつだけ約束してくれ。……必ず無事に帰ってくること。それが守れないなら、このゲートは封印だからな。			ひとつだけ約束してくれ。……必ず無事に帰ってくること。それが守れないなら、このゲートは封印だからな。			秘されしオルト・エウレカ							
なぁに、まるで敵わんということはあるまい。アラグの遺構やアモンと渡り合ってきた強者だからこそ、この話を持ち掛けたのだ。			なぁに、まるで敵わんということはあるまい。アラグの遺構やアモンと渡り合ってきた強者だからこそ、この話を持ち掛けたのだ。			秘されしオルト・エウレカ							
Forenameが戻った折には、お前も再びここへ来て、ともに報告を聞くがよい。わらわにも、それを拒む理由はないのでな。			Forenameが戻った折には、お前も再びここへ来て、ともに報告を聞くがよい。わらわにも、それを拒む理由はないのでな。			秘されしオルト・エウレカ							
期待して待ってる。……ふたりで熱中しすぎて呼び忘れるなよ？			期待して待ってる。……ふたりで熱中しすぎて呼び忘れるなよ？			秘されしオルト・エウレカ							
よし、急ぎ突入に向けた準備を整える。それができ次第、探索開始だ！			よし、急ぎ突入に向けた準備を整える。それができ次第、探索開始だ！			秘されしオルト・エウレカ							
さてさて……ラムブルースに頼んでおいた人材も集まったようだな。			さてさて……ラムブルースに頼んでおいた人材も集まったようだな。			秘されしオルト・エウレカ							
お前が探索に向かう際の段取りや、持ち出した品の鑑定は、聖コイナク財団から来た彼女らに任せるつもりだ。			お前が探索に向かう際の段取りや、持ち出した品の鑑定は、聖コイナク財団から来た彼女らに任せるつもりだ。			秘されしオルト・エウレカ							
わらわ自身は、なけなしの魔力と偉大なる知恵を駆使して、探索を補助するふたつの品を用意したぞ。			わらわ自身は、なけなしの魔力と偉大なる知恵を駆使して、探索を補助するふたつの品を用意したぞ。			秘されしオルト・エウレカ							
まずは武具だ。第四霊災直前、反乱軍の進攻を警戒した職員たちが、部外者を弱体化させる魔法を研究所に仕込んでな……。			まずは武具だ。第四霊災直前、反乱軍の進攻を警戒した職員たちが、部外者を弱体化させる魔法を研究所に仕込んでな……。			秘されしオルト・エウレカ							
こと装備については、名品逸品の類でもまるで使い物にならん。そこで、弱体化魔法を打ち消す術式を込めて、新たな「魔器装備」をこしらえたというわけだ。			こと装備については、名品逸品の類でもまるで使い物にならん。そこで、弱体化魔法を打ち消す術式を込めて、新たな「魔器装備」をこしらえたというわけだ。			秘されしオルト・エウレカ							
もうひとつ用意したのが、「デミクローン・ジェネレーター」と呼ばれるもの。その名のとおり、疑似的な複製体を生成する小型装置だ。			もうひとつ用意したのが、「デミクローン・ジェネレーター」と呼ばれるもの。その名のとおり、疑似的な複製体を生成する小型装置だ。			秘されしオルト・エウレカ							
オルト・エウレカでは、実験に複製体を用いることがあった。それらのデータを収めたトームストーンを発見した際には、この装置に読み込ませてみよ。			オルト・エウレカでは、実験に複製体を用いることがあった。それらのデータを収めたトームストーンを発見した際には、この装置に読み込ませてみよ。			秘されしオルト・エウレカ							
複製体が生成され、エーテルが尽きるまでの短い時間ではあるが、お前の探索を手助けしてくれるはずだ。			複製体が生成され、エーテルが尽きるまでの短い時間ではあるが、お前の探索を手助けしてくれるはずだ。			秘されしオルト・エウレカ							
さあ、これらのお助けセットを持っていけ！そこの「カトゥン」に準備ができたことを示し、オルト・エウレカに向かうのだ！			さあ、これらのお助けセットを持っていけ！そこの「カトゥン」に準備ができたことを示し、オルト・エウレカに向かうのだ！			秘されしオルト・エウレカ							
道は開いた。必要な道具も渡した。あとはお前の腕頼みだぞ、冒険者……？			道は開いた。必要な道具も渡した。あとはお前の腕頼みだぞ、冒険者……？			秘されしオルト・エウレカ							
はいどうもー！オルト・エウレカ探索を補佐させていただく、聖コイナク調査団のカトゥンと申します。			はいどうもー！オルト・エウレカ探索を補佐させていただく、聖コイナク調査団のカトゥンと申します。			秘されしオルト・エウレカ							
回収品の鑑定をするヴァレロワーヌや、ノア様が作ってくださった創出システムちゃんとともに、興味津々、元気全開でやっていきますよー！			回収品の鑑定をするヴァレロワーヌや、ノア様が作ってくださった創出システムちゃんとともに、興味津々、元気全開でやっていきますよー！			秘されしオルト・エウレカ							
早速ですが、ノア様からお助けセットは受け取りましたか？突入の準備は完全で完璧になってます！？			早速ですが、ノア様からお助けセットは受け取りましたか？突入の準備は完全で完璧になってます！？			秘されしオルト・エウレカ							
バッチリ、確認させていただきましたー！			バッチリ、確認させていただきましたー！			秘されしオルト・エウレカ							
ではではではッ、満を持してご案内をば！ノア様が目標に定めた「B30」のフロアを目指して、大胆かつ慎重に進んでいってくださーい！			ではではではッ、満を持してご案内をば！ノア様が目標に定めた「B30」のフロアを目指して、大胆かつ慎重に進んでいってくださーい！			秘されしオルト・エウレカ							
ディープダンジョン「オルト・エウレカ」に、挑戦可能となりました。			ディープダンジョン「オルト・エウレカ」に、挑戦可能となりました。			秘されしオルト・エウレカ							
再度「カトゥン」に話しかけ、「オルト・エウレカに挑戦する」を選ぶことで、コンテンツを開始することができます。			再度「カトゥン」に話しかけ、「オルト・エウレカに挑戦する」を選ぶことで、コンテンツを開始することができます。			秘されしオルト・エウレカ							
オルト・エウレカは、レベル「81」以上の、ファイターもしくはソーサラーでのみ挑戦が可能です。初めて挑戦する際には、レベル81での開始となります。			オルト・エウレカは、レベル「81」以上の、ファイターもしくはソーサラーでのみ挑戦が可能です。初めて挑戦する際には、レベル81での開始となります。			秘されしオルト・エウレカ							
その他の詳しい説明も「カトゥン」から聞いておくと、攻略の助けになるかもしれません。準備を整え、アラグの先端研究所を探索しましょう！			その他の詳しい説明も「カトゥン」から聞いておくと、攻略の助けになるかもしれません。準備を整え、アラグの先端研究所を探索しましょう！			秘されしオルト・エウレカ							
また、レヴナンツトールのエーテライト付近にいる、「バーネル」に話しかけることで、この場所まで手軽に移動できるようになりました！			また、レヴナンツトールのエーテライト付近にいる、「バーネル」に話しかけることで、この場所まで手軽に移動できるようになりました！			秘されしオルト・エウレカ							
八剣士の前庭のコー・ラブンタは、探索の進捗を聞きたいようだ。			八剣士の前庭のコー・ラブンタは、探索の進捗を聞きたいようだ。			猛きものも遂には滅びぬ							
コー・ラブンタたちに、オルト・エウレカをB30まで探索した結果を報告した。八剣士の前庭の「コー・ラブンタ」と話そう。			コー・ラブンタたちに、オルト・エウレカをB30まで探索した結果を報告した。八剣士の前庭の「コー・ラブンタ」と話そう。			猛きものも遂には滅びぬ							
改めて、コー・ラブンタからの依頼を完了した。彼女は弟子のドーガとウネが懸命に掴んだアラグの繁栄を、現世の者に伝えたかったようだ。その願いは果たされたが、オルト・エウレカはさらなる深層へと続いている……。そこに求めるものがあるのならば、勇気と実力を振り絞って挑戦を続けていこう。			改めて、コー・ラブンタからの依頼を完了した。彼女は弟子のドーガとウネが懸命に掴んだアラグの繁栄を、現世の者に伝えたかったようだ。その願いは果たされたが、オルト・エウレカはさらなる深層へと続いている……。そこに求めるものがあるのならば、勇気と実力を振り絞って挑戦を続けていこう。			猛きものも遂には滅びぬ							
コー・ラブンタと話す			コー・ラブンタと話す			猛きものも遂には滅びぬ							
おお、戻っておったか。オルト・エウレカの探索は順調か？			おお、戻っておったか。オルト・エウレカの探索は順調か？			猛きものも遂には滅びぬ							
ほう、地下30階を踏破したと！？やるなぁ、さすがわらわの見込んだ冒険者よ！			ほう、地下30階を踏破したと！？やるなぁ、さすがわらわの見込んだ冒険者よ！			猛きものも遂には滅びぬ							
さっそく見てきたものを報告してもらいたいのだが……忘れておらんぞ、グ・ラハ・ティアを呼ぶのだったな。			さっそく見てきたものを報告してもらいたいのだが……忘れておらんぞ、グ・ラハ・ティアを呼ぶのだったな。			猛きものも遂には滅びぬ							
「大至急こっちへ来い」と連絡してやれ。あの坊主が到着し次第、話を聞かせてもらおうではないか。			「大至急こっちへ来い」と連絡してやれ。あの坊主が到着し次第、話を聞かせてもらおうではないか。			猛きものも遂には滅びぬ							
なるほどな。ノアの言っていたとおり、魔科学の粋を集めた実験体が、あんたの前に立ちはだかってきたわけだ。			なるほどな。ノアの言っていたとおり、魔科学の粋を集めた実験体が、あんたの前に立ちはだかってきたわけだ。			猛きものも遂には滅びぬ							
改造された生物や、クローンたち。そして30階で戦うことになったのは……			改造された生物や、クローンたち。そして30階で戦うことになったのは……			猛きものも遂には滅びぬ							
七大天竜の一体、ティアマットのクローンだな。			七大天竜の一体、ティアマットのクローンだな。			猛きものも遂には滅びぬ							
皇帝ザンデが南方大陸に遠征した際、当地に暮らすドラゴン族との戦いは苛烈を極めた。			皇帝ザンデが南方大陸に遠征した際、当地に暮らすドラゴン族との戦いは苛烈を極めた。			猛きものも遂には滅びぬ							
だからこそ、そこで捕らえたティアマットらを用いて、制御可能なドラゴン族を作らんとする研究が行われたわけだ。			だからこそ、そこで捕らえたティアマットらを用いて、制御可能なドラゴン族を作らんとする研究が行われたわけだ。			猛きものも遂には滅びぬ							
そうして生み出されたクローンは、同時期に行われていたダラガブの製造にも活用された……バハムートを核に据えるための実験などにな。			そうして生み出されたクローンは、同時期に行われていたダラガブの製造にも活用された……バハムートを核に据えるための実験などにな。			猛きものも遂には滅びぬ							
