ヌベイ旧鉱山のグスジョンは、約束を果たしてくれるようだ。			ヌベイ旧鉱山のグスジョンは、約束を果たしてくれるようだ。			どうか見つけて							
集めきったと思ったら、俺のところに持ってくるといい。獅子目石があるか、鑑定してやる。			集めきったと思ったら、俺のところに持ってくるといい。獅子目石があるか、鑑定してやる。			どうか見つけて							
よし、さっそく手分けして取り掛かろう。地図に印をつけるから、お前はその3箇所を頼む。残りは俺が受け持とう。			よし、さっそく手分けして取り掛かろう。地図に印をつけるから、お前はその3箇所を頼む。残りは俺が受け持とう。			どうか見つけて							
まずは、そこの「資材置き場」から「手製の煙袋」を取るんだ。			まずは、そこの「資材置き場」から「手製の煙袋」を取るんだ。			どうか見つけて							
よし、手製の煙袋は持ったな。次はそれを、坑道内の3箇所に設置するんだ。			よし、手製の煙袋は持ったな。次はそれを、坑道内の3箇所に設置するんだ。			どうか見つけて							
十分に煙が蔓延したら、「岩の隙間」を調べて、現れた岩蟲をすべて倒すんだ。それを繰り返して、集めた「きらめく鉱石」を持ってきてくれ。			十分に煙が蔓延したら、「岩の隙間」を調べて、現れた岩蟲をすべて倒すんだ。それを繰り返して、集めた「きらめく鉱石」を持ってきてくれ。			どうか見つけて							
坑道内が、煙で満たされはじめた……。「岩の隙間」を調べて、岩蟲を倒そう。			坑道内が、煙で満たされはじめた……。「岩の隙間」を調べて、岩蟲を倒そう。			どうか見つけて							
ノッカーが飛び出してきた！			ノッカーが飛び出してきた！			どうか見つけて							
こっちも、今戻ってきたところだ。首尾は……どうだろうな、数だけはかなりのものだが……。			こっちも、今戻ってきたところだ。首尾は……どうだろうな、数だけはかなりのものだが……。			どうか見つけて							
どうだ、「きらめく鉱石」は集まったか？			どうだ、「きらめく鉱石」は集まったか？			どうか見つけて							
おお……かなりの数だな。あんたの相棒が持ってきた分とあわせて、鑑定してやろう。			おお……かなりの数だな。あんたの相棒が持ってきた分とあわせて、鑑定してやろう。			どうか見つけて							
これだけ数があると、少し時間がかかる。そのあたりで、適当に休んでてくれ。			これだけ数があると、少し時間がかかる。そのあたりで、適当に休んでてくれ。			どうか見つけて							
トゥワインのサンクレッドは、さっそく出発したいようだ。			トゥワインのサンクレッドは、さっそく出発したいようだ。			暗がりの運試し							
サンクレッドとともに、新たな心核とする石を探しに行くことになった。アム・アレーンのヌベイ旧鉱山にいる「サンクレッド」と話そう。			サンクレッドとともに、新たな心核とする石を探しに行くことになった。アム・アレーンのヌベイ旧鉱山にいる「サンクレッド」と話そう。			暗がりの運試し							
サンクレッドと話した。ヌベイ旧鉱山で「グスジョン」を探そう。			サンクレッドと話した。ヌベイ旧鉱山で「グスジョン」を探そう。			暗がりの運試し							
グスジョンを見つけた。ヌベイ旧鉱山の「サンクレッド」と話そう。			グスジョンを見つけた。ヌベイ旧鉱山の「サンクレッド」と話そう。			暗がりの運試し							
サンクレッドがクロリンドロップを使ってくれた。暗視状態で、ヌベイ旧鉱山の「坑道の暗がり」を調べ、「古びたフッブート金貨」を探そう。			サンクレッドがクロリンドロップを使ってくれた。暗視状態で、ヌベイ旧鉱山の「坑道の暗がり」を調べ、「古びたフッブート金貨」を探そう。			暗がりの運試し							
目的の金貨を見つけた。ヌベイ旧鉱山の「サンクレッド」に「古びたフッブート金貨」を見せよう。			目的の金貨を見つけた。ヌベイ旧鉱山の「サンクレッド」に「古びたフッブート金貨」を見せよう。			暗がりの運試し							
サンクレッドに金貨を見せた。ヌベイ旧鉱山の「グスジョン」に「古びたフッブート金貨」を渡そう。			サンクレッドに金貨を見せた。ヌベイ旧鉱山の「グスジョン」に「古びたフッブート金貨」を渡そう。			暗がりの運試し							
グスジョンに金貨を渡した。彼は冒険者のツキを買って、獅子目石を見つられる可能性がある、ある方法を教えてくれるという。タロースを動かすため、必ず獅子目石を見つけ出そう。			グスジョンに金貨を渡した。彼は冒険者のツキを買って、獅子目石を見つられる可能性がある、ある方法を教えてくれるという。タロースを動かすため、必ず獅子目石を見つけ出そう。			暗がりの運試し							
サンクレッドと話す			サンクレッドと話す			暗がりの運試し							
グスジョンを探す			グスジョンを探す			暗がりの運試し							
サンクレッドと話す			サンクレッドと話す			暗がりの運試し							
暗視の状態で坑道の暗がりを調べ古びたフッブート金貨を探す			暗視の状態で坑道の暗がりを調べ古びたフッブート金貨を探す			暗がりの運試し							
サンクレッドに古びたフッブート金貨を見せる			サンクレッドに古びたフッブート金貨を見せる			暗がりの運試し							
グスジョンに古びたフッブート金貨を渡す			グスジョンに古びたフッブート金貨を渡す			暗がりの運試し							
どうして…………。			どうして…………。			暗がりの運試し							
ミンフィリアのことは、私が見ておきましょう。あなたには、サンクレッドとともに、ヌベイ旧鉱山に向かっていただきたいのです。			ミンフィリアのことは、私が見ておきましょう。あなたには、サンクレッドとともに、ヌベイ旧鉱山に向かっていただきたいのです。			暗がりの運試し							
……あのタロースを、動かせるもんか。そんな馬鹿な夢を見なけりゃ、少なくともアグナは……。			……あのタロースを、動かせるもんか。そんな馬鹿な夢を見なけりゃ、少なくともアグナは……。			暗がりの運試し							
ヌベイ旧鉱山にいるグスジョンさんは、俺の先輩であり、アグナさん……親方の奥さんの同輩にあたる人なんだ。鉱山の中では、あの人の指示に従った方がいいぞ。			ヌベイ旧鉱山にいるグスジョンさんは、俺の先輩であり、アグナさん……親方の奥さんの同輩にあたる人なんだ。鉱山の中では、あの人の指示に従った方がいいぞ。			暗がりの運試し							
よし、支度ができてるのなら、さっそく出発しよう。目的の「ヌベイ旧鉱山」は、南にあるんだったな……。			よし、支度ができてるのなら、さっそく出発しよう。目的の「ヌベイ旧鉱山」は、南にあるんだったな……。			暗がりの運試し							
俺の運を全部使い果たしてでもいい、心核用の石を、見つけ出したいところだが……。ともかく、行ってみるとしよう。			俺の運を全部使い果たしてでもいい、心核用の石を、見つけ出したいところだが……。ともかく、行ってみるとしよう。			暗がりの運試し							
ここが、ヌベイ旧鉱山だな。なるほど、まだいくらか採掘師が残っているらしい。			ここが、ヌベイ旧鉱山だな。なるほど、まだいくらか採掘師が残っているらしい。			暗がりの運試し							
サーフが頼れと言っていたのは、確か「グスジョン」って採掘師だったか。中に入って、探してみるとしよう。			サーフが頼れと言っていたのは、確か「グスジョン」って採掘師だったか。中に入って、探してみるとしよう。			暗がりの運試し							
こいつがグスジョンか……？			こいつがグスジョンか……？			暗がりの運試し							
ん……なんだ、あんたらは……？			ん……なんだ、あんたらは……？			暗がりの運試し							
サーフのやつ、面倒なことを……。心核用の石なんてどうせ出ないのに、俺から何を教えろってんだ……。			サーフのやつ、面倒なことを……。心核用の石なんてどうせ出ないのに、俺から何を教えろってんだ……。			暗がりの運試し							
やはり、見込みがないものなのか……？			やはり、見込みがないものなのか……？			暗がりの運試し							
まあな……。ここらで作られたタロースには、アンバーヒルで採れる、「獅子目石」の心核を入れるのが常なんだ。			まあな……。ここらで作られたタロースには、アンバーヒルで採れる、「獅子目石」の心核を入れるのが常なんだ。			暗がりの運試し							
だが、聞いてのとおり、簡単に行けるような場所ではもう、掘りつくされてる。			だが、聞いてのとおり、簡単に行けるような場所ではもう、掘りつくされてる。			暗がりの運試し							
かといって深いところは、坑道維持用のタロースも止まって、いつ崩落してもおかしくない状態になってるんだ……。			かといって深いところは、坑道維持用のタロースも止まって、いつ崩落してもおかしくない状態になってるんだ……。			暗がりの運試し							
……結局、サーフがいっていたとおり、安全圏で延々と「採り残し」を探すしかないということか。			……結局、サーフがいっていたとおり、安全圏で延々と「採り残し」を探すしかないということか。			暗がりの運試し							
そうなるな……。あるいは、同じく運任せではあるが、あっちのやり方の方が、少しはマシかもしれない……。			そうなるな……。あるいは、同じく運任せではあるが、あっちのやり方の方が、少しはマシかもしれない……。			暗がりの運試し							
あっちのやり方、というと……？			あっちのやり方、というと……？			暗がりの運試し							
……あれは、俺たちにとって、ちょっとした裏技なんだ。飯の種を教えるからには、相応の見返りがほしい。			……あれは、俺たちにとって、ちょっとした裏技なんだ。飯の種を教えるからには、相応の見返りがほしい。			暗がりの運試し							
ごもっともだ……。それで、お前さんの要求は？			ごもっともだ……。それで、お前さんの要求は？			暗がりの運試し							
先日、坑道の奥で、「古びたフッブート金貨」を拾ったんだ。儲けものだと喜んだが、作業をしてるうちに、その辺でうっかり落としちまったらしい……。			先日、坑道の奥で、「古びたフッブート金貨」を拾ったんだ。儲けものだと喜んだが、作業をしてるうちに、その辺でうっかり落としちまったらしい……。			暗がりの運試し							
あんたらには、その金貨を探してほしいんだ。……運試しも兼ねてな。			あんたらには、その金貨を探してほしいんだ。……運試しも兼ねてな。			暗がりの運試し							
そういうことなら、まけてくれと交渉するわけにもいかないな。			そういうことなら、まけてくれと交渉するわけにもいかないな。			暗がりの運試し							
Forename……「古びたフッブート金貨」を探してみるとしよう。俺にひとつ、捜索をしやすくするための秘策がある。			Forename……「古びたフッブート金貨」を探してみるとしよう。俺にひとつ、捜索をしやすくするための秘策がある。			暗がりの運試し							
金貨を拾ったあと、封鎖されている道には立ち入っていない。だから、むやみに奥の方へは入り込むなよ……危険だからな。			金貨を拾ったあと、封鎖されている道には立ち入っていない。だから、むやみに奥の方へは入り込むなよ……危険だからな。			暗がりの運試し							
見てのとおりだが、この鉱山内は、かなり暗い……。ランプの近くならともかく、少し離れただけでも、落ちている金貨は見つけにくくなるだろう。			見てのとおりだが、この鉱山内は、かなり暗い……。ランプの近くならともかく、少し離れただけでも、落ちている金貨は見つけにくくなるだろう。			暗がりの運試し							
そんなときは、俺の持つ目薬「クロリンドロップ」が有効だ。これを使うと、しばらくの間、目が暗所に順応して、捜索がしやすくなる。			そんなときは、俺の持つ目薬「クロリンドロップ」が有効だ。これを使うと、しばらくの間、目が暗所に順応して、捜索がしやすくなる。			暗がりの運試し							
俺はこの小屋のそばを探してみるから、お前には、少し離れたところを頼めるか？			俺はこの小屋のそばを探してみるから、お前には、少し離れたところを頼めるか？			暗がりの運試し							
もし途中で目薬の効果が切れたら、声をかけてくれ。もう一度、「クロリンドロップ」を使うとしよう。			もし途中で目薬の効果が切れたら、声をかけてくれ。もう一度、「クロリンドロップ」を使うとしよう。			暗がりの運試し							
グスジョンの言っていた金貨を探そう。「暗視」ができている状態で、「坑道の暗がり」を調べてみてくれ。			グスジョンの言っていた金貨を探そう。「暗視」ができている状態で、「坑道の暗がり」を調べてみてくれ。			暗がりの運試し							
もう一度、クロリンドロップを使っておくぞ。			もう一度、クロリンドロップを使っておくぞ。			暗がりの運試し							
暗くてよく見えない……。サンクレッドに声をかけ、「クロリンドロップ」を使ってもらおう。			暗くてよく見えない……。サンクレッドに声をかけ、「クロリンドロップ」を使ってもらおう。			暗がりの運試し							
暗がりを、よくよく調べた。……しかし、ここには何もないようだ。			暗がりを、よくよく調べた。……しかし、ここには何もないようだ。			暗がりの運試し							
暗がりを調べたところ、「古びたフッブート金貨」を見つけた！			暗がりを調べたところ、「古びたフッブート金貨」を見つけた！			暗がりの運試し							
この小屋のまわりには、金貨はないようだな。ここで採掘をしながら落とした可能性もあると思ったが……。お前の方はどうだった？			この小屋のまわりには、金貨はないようだな。ここで採掘をしながら落とした可能性もあると思ったが……。お前の方はどうだった？			暗がりの運試し							
それは……間違いない、フッブート金貨だ。こんなに早く見つけられるとは、文句なしにツイてるな。お前の日ごろの行いってやつか……。			それは……間違いない、フッブート金貨だ。こんなに早く見つけられるとは、文句なしにツイてるな。お前の日ごろの行いってやつか……。			暗がりの運試し							
何と言う？			何と言う？			暗がりの運試し							
クロリンドロップが役に立った			クロリンドロップが役に立った			暗がりの運試し							
どうしてこんな目薬を持ってる？			どうしてこんな目薬を持ってる？			暗がりの運試し							
そいつは何よりだ。この手の「便利な」道具一式は、いつでも携帯していてな。褒められた癖じゃないが、役に立ったなら何よりだ。			そいつは何よりだ。この手の「便利な」道具一式は、いつでも携帯していてな。褒められた癖じゃないが、役に立ったなら何よりだ。			暗がりの運試し							
ああ、この手の「便利な」道具一式は、いつでも携帯していてな。まったくもって、褒められた癖じゃないが……。			ああ、この手の「便利な」道具一式は、いつでも携帯していてな。まったくもって、褒められた癖じゃないが……。			暗がりの運試し							
俺はもともと、サバイバル術と諜報活動の腕を認められて、シャーレアンの賢人位を与えられたんだ。			俺はもともと、サバイバル術と諜報活動の腕を認められて、シャーレアンの賢人位を与えられたんだ。			暗がりの運試し							
潜入のための技術や道具の扱い、情報収集のための話術……果ては「己の気配を完全に消し去る」秘技の類まで、生きる術を得るために、ひたすら学んだよ。			潜入のための技術や道具の扱い、情報収集のための話術……果ては「己の気配を完全に消し去る」秘技の類まで、生きる術を得るために、ひたすら学んだよ。			暗がりの運試し							
決して日の当たる役どころじゃないが……今となっては、使えなくなった魔法じゃなく、この道を選んでよかったと思っているさ。			決して日の当たる役どころじゃないが……今となっては、使えなくなった魔法じゃなく、この道を選んでよかったと思っているさ。			暗がりの運試し							
こんな体になっても、大事なものを護る手段を、失わずにいられてるんだからな……。			こんな体になっても、大事なものを護る手段を、失わずにいられてるんだからな……。			暗がりの運試し							
……っと、話が過ぎた。その金貨をグスジョンに渡して、裏技とやらを聞くとしよう。			……っと、話が過ぎた。その金貨をグスジョンに渡して、裏技とやらを聞くとしよう。			暗がりの運試し							
その金貨を、グスジョンに渡してくれ。			その金貨を、グスジョンに渡してくれ。			暗がりの運試し							
ん……もしかして、「古びたフッブート金貨」を見つけたのか？			ん……もしかして、「古びたフッブート金貨」を見つけたのか？			暗がりの運試し							
……驚いた。こいつは確かに、俺が落とした金貨だ。			……驚いた。こいつは確かに、俺が落とした金貨だ。			暗がりの運試し							
ふむ……俺たちは測量と計算を欠かさないが、同じくらい、勘とツキも大事にしている。これを見つけられたなら、「あの方法」を試してもいいかもな。			ふむ……俺たちは測量と計算を欠かさないが、同じくらい、勘とツキも大事にしている。これを見つけられたなら、「あの方法」を試してもいいかもな。			暗がりの運試し							
ヌベイ旧鉱山のグスジョンは、呆然としている。			ヌベイ旧鉱山のグスジョンは、呆然としている。			生きるに足る理由							
マグヌスと話す			マグヌスと話す			生きるに足る理由							
ウリエンジェに獅子目石を渡す			ウリエンジェに獅子目石を渡す			生きるに足る理由							
ウリエンジェと話す			ウリエンジェと話す			生きるに足る理由							
すべての運を使ってでも、とは思ったが……こんな奇跡もあったものだな……。			すべての運を使ってでも、とは思ったが……こんな奇跡もあったものだな……。			生きるに足る理由							
本当に……嘘みたいな話じゃないか……。金貨を見つけたときからきっと、運命は、あんたらに味方してたんだな……。			本当に……嘘みたいな話じゃないか……。金貨を見つけたときからきっと、運命は、あんたらに味方してたんだな……。			生きるに足る理由							
その獅子目石は、そのまま持って帰ってくれて構わない。ただ……頼む、必ず「マグヌス」に見せてやってくれ。			その獅子目石は、そのまま持って帰ってくれて構わない。ただ……頼む、必ず「マグヌス」に見せてやってくれ。			生きるに足る理由							
3年ぶりの、アグナの帰還だ……。真っ先に、あいつに知らせてやってほしいんだよ……。			3年ぶりの、アグナの帰還だ……。真っ先に、あいつに知らせてやってほしいんだよ……。			生きるに足る理由							
無論、すぐにでもそうするつもりだ。……あんたにも世話になったな、グスジョン。			無論、すぐにでもそうするつもりだ。……あんたにも世話になったな、グスジョン。			生きるに足る理由							
Forename、トゥワインに戻ろう。この石を、みんながお待ちかねだ……！			Forename、トゥワインに戻ろう。この石を、みんながお待ちかねだ……！			生きるに足る理由							
どう言って見せたものかな……。			どう言って見せたものかな……。			生きるに足る理由							
マグヌスに、必ず獅子目石を見せてやってくれ。もう3年だ……お互いに、十分すぎるほど待っただろうよ。			マグヌスに、必ず獅子目石を見せてやってくれ。もう3年だ……お互いに、十分すぎるほど待っただろうよ。			生きるに足る理由							
……なんだ、また来たってのか。			……なんだ、また来たってのか。			生きるに足る理由							
大方、タロースを動かせなくて、泣きつきにきたんだろ？諦めな……あれは俺にだって、どうしようもできねぇんだ。			大方、タロースを動かせなくて、泣きつきにきたんだろ？諦めな……あれは俺にだって、どうしようもできねぇんだ。			生きるに足る理由							
いいや、タロースは動くさ。心核となる石が見つかった……お前の奥さんが、届けてくれた。			いいや、タロースは動くさ。心核となる石が見つかった……お前の奥さんが、届けてくれた。			生きるに足る理由							
獅子目石だ……お前と、息子さんの名前が刻まれてる。岩蟲の体にくっついていたのを、回収したんだ。			獅子目石だ……お前と、息子さんの名前が刻まれてる。岩蟲の体にくっついていたのを、回収したんだ。			生きるに足る理由							
嘘だろ……こんなこと…………。			嘘だろ……こんなこと…………。			生きるに足る理由							
お前、どうして…………。			お前、どうして…………。			生きるに足る理由							
……石は返す。手に入れたのはお前らなんだ、好きに使え。			……石は返す。手に入れたのはお前らなんだ、好きに使え。			生きるに足る理由							
本当に……それでいいのか。			本当に……それでいいのか。			生きるに足る理由							
いいも悪いもあるかよ……。今になって見つかったってことは……そういうことだろ。その石は、お前らを選んだんだ。			いいも悪いもあるかよ……。今になって見つかったってことは……そういうことだろ。その石は、お前らを選んだんだ。			生きるに足る理由							
それに、石が出てきたところで、アグナはもういねぇ。そんなモンのために、あいつが命を落としたと思うと……叩き割っちまいそうだからよ。			それに、石が出てきたところで、アグナはもういねぇ。そんなモンのために、あいつが命を落としたと思うと……叩き割っちまいそうだからよ。			生きるに足る理由							
……もう行ってくれ……頼む…………。			……もう行ってくれ……頼む…………。			生きるに足る理由							
……なら、俺たちは、この石でタロースを動かす。そのときは、必ず見に来いよ。			……なら、俺たちは、この石でタロースを動かす。そのときは、必ず見に来いよ。			生きるに足る理由							
この石はきっと、お前にそれを見せるために、暗がりから出てきたんだろうからな。			この石はきっと、お前にそれを見せるために、暗がりから出てきたんだろうからな。			生きるに足る理由							
獅子目石を、ウリエンジェに届けに行こう。悪いが、お前から渡してやってくれ。			獅子目石を、ウリエンジェに届けに行こう。悪いが、お前から渡してやってくれ。			生きるに足る理由							
これで、先に進めるだろう……やっとな。			これで、先に進めるだろう……やっとな。			生きるに足る理由							
ごめんなさい……私、ぼーっとしていて、Forenameさんが出かけたことも知らなくて……。			ごめんなさい……私、ぼーっとしていて、Forenameさんが出かけたことも知らなくて……。			生きるに足る理由							
せめてと思って、ウリエンジェに教えてもらいながら、タロースの心核を入れ替える準備をしておきました。これで動いてくれるといいのですが……。			せめてと思って、ウリエンジェに教えてもらいながら、タロースの心核を入れ替える準備をしておきました。これで動いてくれるといいのですが……。			生きるに足る理由							
心核の石が見つかったんだって！？いや、紹介しておいて言うのもなんだけど、なんだよ、その奇跡……。			心核の石が見つかったんだって！？いや、紹介しておいて言うのもなんだけど、なんだよ、その奇跡……。			生きるに足る理由							
すごい、すごいよ、こんな日が来るなんてー！さあさあ、さっそく石をはめてみよう！			すごい、すごいよ、こんな日が来るなんてー！さあさあ、さっそく石をはめてみよう！			生きるに足る理由							
…………。			…………。			生きるに足る理由							
よくお戻りになられました。新たな心核にふさわしき石を、見つけられたそうですね。			よくお戻りになられました。新たな心核にふさわしき石を、見つけられたそうですね。			生きるに足る理由							
こちらも、サーフさんやジェリックさん、そしてミンフィリアの力を借りながら、タロースの準備を整えておきました……。			こちらも、サーフさんやジェリックさん、そしてミンフィリアの力を借りながら、タロースの準備を整えておきました……。			生きるに足る理由							
今こそ、新たな心核をはめこみ、止まっていた時を、動かすといたしましょう。			今こそ、新たな心核をはめこみ、止まっていた時を、動かすといたしましょう。			生きるに足る理由							
確かに、お預かりいたしました。それでは、謹んで、取り付けを進めたいと思います……。			確かに、お預かりいたしました。それでは、謹んで、取り付けを進めたいと思います……。			生きるに足る理由							
俺は、どうあれあいつの道を選ぶつもりはない。だが……伝えるべき言葉、か…………。			俺は、どうあれあいつの道を選ぶつもりはない。だが……伝えるべき言葉、か…………。			生きるに足る理由							
苦しくて、心がちっとも落ち着きません。だけど……私には、みなさんに伝えたいことがあるんです。それだけは……間違いないから……。			苦しくて、心がちっとも落ち着きません。だけど……私には、みなさんに伝えたいことがあるんです。それだけは……間違いないから……。			生きるに足る理由							
まったく……呆れるくらい、よく修理されてらぁな。			まったく……呆れるくらい、よく修理されてらぁな。			生きるに足る理由							
親方といっしょに、この瞬間に立ち会えたこと、本当によかったと思うよ。あんたたちには、いくら感謝してもたりないくらいだ！			親方といっしょに、この瞬間に立ち会えたこと、本当によかったと思うよ。あんたたちには、いくら感謝してもたりないくらいだ！			生きるに足る理由							
はぁぁぁ……どうしようー、トロッコが復活するー！もう、顔がニヤニヤして止まらないんだけど！？			はぁぁぁ……どうしようー、トロッコが復活するー！もう、顔がニヤニヤして止まらないんだけど！？			生きるに足る理由							
Forenameさん、お待たせしました。ミンフィリアの支度も、整ったようです。			Forenameさん、お待たせしました。ミンフィリアの支度も、整ったようです。			生きるに足る理由							
ときに……ヌベイ旧鉱山の方では、多少なり、サンクレッドと話すことはできたでしょうか？			ときに……ヌベイ旧鉱山の方では、多少なり、サンクレッドと話すことはできたでしょうか？			生きるに足る理由							
……そうですか。「ミンフィリア」との昔話を……。			……そうですか。「ミンフィリア」との昔話を……。			生きるに足る理由							
ありがとうございます。彼がそれを穏やかに口にできたのならば、もはや、私が重ねるべき言葉もないでしょう……。			ありがとうございます。彼がそれを穏やかに口にできたのならば、もはや、私が重ねるべき言葉もないでしょう……。			生きるに足る理由							
……あるいは、最初から杞憂だったのかもしれませんが。こんなことになるのだったら、もっと話しておくべきだった……などという後悔をよく知るので、出すぎたのかもしれません。			……あるいは、最初から杞憂だったのかもしれませんが。こんなことになるのだったら、もっと話しておくべきだった……などという後悔をよく知るので、出すぎたのかもしれません。			生きるに足る理由							
今は双方、浮かない顔なれど、そのときがきたのなら、そろって顔を上げるでしょう。ふたりとも、あなたに背中を押されてきたのですから……。			今は双方、浮かない顔なれど、そのときがきたのなら、そろって顔を上げるでしょう。ふたりとも、あなたに背中を押されてきたのですから……。			生きるに足る理由							
さあ……信じて進むといたしましょう。マグヌス氏に声をかけて、トロッコを動かすのです。			さあ……信じて進むといたしましょう。マグヌス氏に声をかけて、トロッコを動かすのです。			生きるに足る理由							
トゥワインのマグヌスは、晴れ晴れとした面持ちだ。			トゥワインのマグヌスは、晴れ晴れとした面持ちだ。			廃都ナバスアレン							
マグヌスにトロッコを動かしてもらえることになった。アム・アレーンのビラン大鉱山にいる「ミンフィリア」と話そう。			マグヌスにトロッコを動かしてもらえることになった。アム・アレーンのビラン大鉱山にいる「ミンフィリア」と話そう。			廃都ナバスアレン							
ミンフィリアと話した。ビラン大鉱山にいる「マグヌス」と話そう。			ミンフィリアと話した。ビラン大鉱山にいる「マグヌス」と話そう。			廃都ナバスアレン							
マグヌスと話し、トロッコは出発した。立ちはだかるランジートを倒し、廃都ナバスアレンを目指そう。			マグヌスと話し、トロッコは出発した。立ちはだかるランジートを倒し、廃都ナバスアレンを目指そう。			廃都ナバスアレン							
サンクレッドがランジートを退け、ミンフィリアたちは廃都へと到達した。アム・アレーンの廃都ナバスアレンにいる「ミンフィリア」と話そう。			サンクレッドがランジートを退け、ミンフィリアたちは廃都へと到達した。アム・アレーンの廃都ナバスアレンにいる「ミンフィリア」と話そう。			廃都ナバスアレン							
ミンフィリアと話した。ついに辿り着いた、「ミンフィリア」最期の地。その名を借りて生きてきた少女は、光の巫女に、いかなる決意を告げるのだろうか。以降は、トゥワインにいる「冷静な見習い技師」が、南アンバーヒルへ案内してくれるようだ。			ミンフィリアと話した。ついに辿り着いた、「ミンフィリア」最期の地。その名を借りて生きてきた少女は、光の巫女に、いかなる決意を告げるのだろうか。以降は、トゥワインにいる「冷静な見習い技師」が、南アンバーヒルへ案内してくれるようだ。			廃都ナバスアレン							
ミンフィリアと話す			ミンフィリアと話す			廃都ナバスアレン							
マグヌスと話す			マグヌスと話す			廃都ナバスアレン							
ミンフィリアと話す			ミンフィリアと話す			廃都ナバスアレン							
俺は、どうあれあいつの道を選ぶつもりはない。だが……伝えるべき言葉、か…………。			俺は、どうあれあいつの道を選ぶつもりはない。だが……伝えるべき言葉、か…………。			廃都ナバスアレン							
