ピーリングストーンズのメ・ラツ・ヌンは、再び冒険者に頼みたいことがあるようだ。			ピーリングストーンズのメ・ラツ・ヌンは、再び冒険者に頼みたいことがあるようだ。			大精霊が宿る木							
木の幹から、鼻をつくような刺激臭が漂ってくる……。ほかの場所も調べてみよう。			木の幹から、鼻をつくような刺激臭が漂ってくる……。ほかの場所も調べてみよう。			大精霊が宿る木							
木の根元から、微かに煙のようなものが吹き出している……。			木の根元から、微かに煙のようなものが吹き出している……。			大精霊が宿る木							
枝葉の先に、毒々しい色の実をつけている。とても食べる気にはなれない……。ほかの場所も調べてみよう。			枝葉の先に、毒々しい色の実をつけている。とても食べる気にはなれない……。ほかの場所も調べてみよう。			大精霊が宿る木							
何かあったんですか？			何かあったんですか？			大精霊が宿る木							
これは……例の化学兵器「黒薔薇」の貯蔵容器でしょうか？廃村ビターミルのほかにも隠されていたとは……。			これは……例の化学兵器「黒薔薇」の貯蔵容器でしょうか？廃村ビターミルのほかにも隠されていたとは……。			大精霊が宿る木							
アナンタ族が隠したのでしょうか。彼女たちは、これを使って何をするつもりだったんでしょう。			アナンタ族が隠したのでしょうか。彼女たちは、これを使って何をするつもりだったんでしょう。			大精霊が宿る木							
(-聞き覚えのある声-)師匠～！			(-聞き覚えのある声-)師匠～！			大精霊が宿る木							
ご無事ですか……！って、そんな意外そうな顔をしないでください。オレだって、成長しているんですよ！			ご無事ですか……！って、そんな意外そうな顔をしないでください。オレだって、成長しているんですよ！			大精霊が宿る木							
それより聞いてください！実は、ちょっと耳に入れておきたいことがあって、メ・ラツ・ヌンに話を聞いて、追いかけて来たんですよ！			それより聞いてください！実は、ちょっと耳に入れておきたいことがあって、メ・ラツ・ヌンに話を聞いて、追いかけて来たんですよ！			大精霊が宿る木							
あれから、親父の最期を看取った、ウィルラ派のアナンタ族を探して、礼をしに行ったんです。そうしたら、妙なことを言い出すじゃないですか！			あれから、親父の最期を看取った、ウィルラ派のアナンタ族を探して、礼をしに行ったんです。そうしたら、妙なことを言い出すじゃないですか！			大精霊が宿る木							
カリヤナ派が、魔物を惑わす不思議な木の実を使って、メ族の縄張りを奪おうとしたのだ……ってね。そう、オレの親父が命がけで止めた魔物の暴走のことです。			カリヤナ派が、魔物を惑わす不思議な木の実を使って、メ族の縄張りを奪おうとしたのだ……ってね。そう、オレの親父が命がけで止めた魔物の暴走のことです。			大精霊が宿る木							
魔物を惑わす木の実……ですか。さきほど、Forenameさんが、見つけてくれた実がもしかして……。			魔物を惑わす木の実……ですか。さきほど、Forenameさんが、見つけてくれた実がもしかして……。			大精霊が宿る木							
根元に隠されていた「黒薔薇」の成分を吸った大樹が変異を遂げ、奇妙な副作用を持つ実をつけたのかもしれませんよ。仮説に過ぎませんが……。			根元に隠されていた「黒薔薇」の成分を吸った大樹が変異を遂げ、奇妙な副作用を持つ実をつけたのかもしれませんよ。仮説に過ぎませんが……。			大精霊が宿る木							
ここにカリヤナ派がいたってことは、帝国軍が去り、川を渡りやすくなったのをいいことに、実を採りに来たんだ。再び魔物を暴走させ、メ族の里を襲わせるために……！			ここにカリヤナ派がいたってことは、帝国軍が去り、川を渡りやすくなったのをいいことに、実を採りに来たんだ。再び魔物を暴走させ、メ族の里を襲わせるために……！			大精霊が宿る木							
自らの手を汚さずに、魔物をけしかけて集落を奪おうというのが、いかにも戦いを嫌う、カリヤナ派のアナンタ族らしいやり口だ。そうしてメ族を追い出せば、奴らは縄張りを広げられる！			自らの手を汚さずに、魔物をけしかけて集落を奪おうというのが、いかにも戦いを嫌う、カリヤナ派のアナンタ族らしいやり口だ。そうしてメ族を追い出せば、奴らは縄張りを広げられる！			大精霊が宿る木							
師匠たちのおかげで、奴らの思惑は未然に打ち砕かれたようですが。			師匠たちのおかげで、奴らの思惑は未然に打ち砕かれたようですが。			大精霊が宿る木							
さて……こいつらは親父の仇……この場で殺してやりたいが、今のオレはメ族の一員。ピーリングストーンズへ連れ帰り、「ヌン」の判断を仰ぐ。			さて……こいつらは親父の仇……この場で殺してやりたいが、今のオレはメ族の一員。ピーリングストーンズへ連れ帰り、「ヌン」の判断を仰ぐ。			大精霊が宿る木							
Forename師匠が繋いでくれた絆を、復讐で断ち切るわけにはいきません。			Forename師匠が繋いでくれた絆を、復讐で断ち切るわけにはいきません。			大精霊が宿る木							
私は、スウェスリク大牙将にお願いして、「黒薔薇」の貯蔵容器を回収してもらわなければ。			私は、スウェスリク大牙将にお願いして、「黒薔薇」の貯蔵容器を回収してもらわなければ。			大精霊が宿る木							
「仮面殺し」の英雄……いえ、Forenameさん。今回も助けていただいて、ありがとうございました。			「仮面殺し」の英雄……いえ、Forenameさん。今回も助けていただいて、ありがとうございました。			大精霊が宿る木							
それでは、失礼します。またお会いできる日を楽しみにしていますよ。			それでは、失礼します。またお会いできる日を楽しみにしていますよ。			大精霊が宿る木							
この匂い……以前にもどこかで……？			この匂い……以前にもどこかで……？			大精霊が宿る木							
冒険者の客人よ、帰ったか。では、聞かせてもらおう、お前の見てきたことを。			冒険者の客人よ、帰ったか。では、聞かせてもらおう、お前の見てきたことを。			大精霊が宿る木							
やはり、噂は本当だったか。これまで、ウィルラ派とは友好的に付き合ってきたが、カリヤナ派は自らの領地に閉じこもってばかりで、接点がなかった。			やはり、噂は本当だったか。これまで、ウィルラ派とは友好的に付き合ってきたが、カリヤナ派は自らの領地に閉じこもってばかりで、接点がなかった。			大精霊が宿る木							
それだけに油断していたが、よもや一連の事件の黒幕だったとは……。			それだけに油断していたが、よもや一連の事件の黒幕だったとは……。			大精霊が宿る木							
捕らえたカリヤナ派から、たっぷりと話を聞き、メ族の「ヌン」として、処遇を検討するとしよう……。			捕らえたカリヤナ派から、たっぷりと話を聞き、メ族の「ヌン」として、処遇を検討するとしよう……。			大精霊が宿る木							
それにしても、あのメ・ゼトが私の判断を仰ごうとするとは……ヤツも「ティア」らしくなってきたではないか。			それにしても、あのメ・ゼトが私の判断を仰ごうとするとは……ヤツも「ティア」らしくなってきたではないか。			大精霊が宿る木							
すべてはお前のおかげだ。お前の清廉なる義勇に、心より感謝している。この絆が、メ族の未来を築いてくれるものと信じているぞ。			すべてはお前のおかげだ。お前の清廉なる義勇に、心より感謝している。この絆が、メ族の未来を築いてくれるものと信じているぞ。			大精霊が宿る木							
サトヤ・マガのヴァジュラは、安堵しているようだ。			サトヤ・マガのヴァジュラは、安堵しているようだ。			温かな歓待							
サリーシャと話す			サリーシャと話す			温かな歓待							
メ・ナーゴと話す			メ・ナーゴと話す			温かな歓待							
アルフィノと話す			アルフィノと話す			温かな歓待							
アナンタ族が備蓄していたクリスタルは、処分しておいたよ。アリゼーが、少々手荒な方法を使ってね……。			アナンタ族が備蓄していたクリスタルは、処分しておいたよ。アリゼーが、少々手荒な方法を使ってね……。			温かな歓待							
……おつかれさま。無事に戻ってきてくれて、嬉しいわ。			……おつかれさま。無事に戻ってきてくれて、嬉しいわ。			温かな歓待							
アタシにも、蛮神と戦える力があればいいんだけど……。			アタシにも、蛮神と戦える力があればいいんだけど……。			温かな歓待							
シュー……無事で何よりだ。神狩りの英雄の噂、本当だったようだな。ウィルラ派は、この恩を決して忘れないだろう。			シュー……無事で何よりだ。神狩りの英雄の噂、本当だったようだな。ウィルラ派は、この恩を決して忘れないだろう。			温かな歓待							
ともかく、我らの巣、ウィルラ・ニリヤに戻ろう。姉妹「サリーシャ」も、お前たちの帰りを待ちわびているはずだ。			ともかく、我らの巣、ウィルラ・ニリヤに戻ろう。姉妹「サリーシャ」も、お前たちの帰りを待ちわびているはずだ。			温かな歓待							
少しずつわかってきたが、ウィルラ派とカリヤナ派は、同じ美神信仰を持ちながら、考え方には大きな差があるようだ。いわば「宗派」の違いといったところだろう。			少しずつわかってきたが、ウィルラ派とカリヤナ派は、同じ美神信仰を持ちながら、考え方には大きな差があるようだ。いわば「宗派」の違いといったところだろう。			温かな歓待							
超える力……どうすれば手に入るのかしら……。			超える力……どうすれば手に入るのかしら……。			温かな歓待							
サリーシャさんも、これで安心してくれればいいんだけど……。			サリーシャさんも、これで安心してくれればいいんだけど……。			温かな歓待							
シュー……お前たちの勝利は、姉妹サリーシャに伝えておいたぞ。			シュー……お前たちの勝利は、姉妹サリーシャに伝えておいたぞ。			温かな歓待							
シュー……事の顛末は、姉妹より聞いています。危険を顧みず、まがい物の美神と戦い、消し去ってくれたことを、永遠に感謝しましょう。			シュー……事の顛末は、姉妹より聞いています。危険を顧みず、まがい物の美神と戦い、消し去ってくれたことを、永遠に感謝しましょう。			温かな歓待							
お礼ならそこにいるForenameにしてあげて……私たちは、その支援をしたに過ぎないのだから。			お礼ならそこにいるForenameにしてあげて……私たちは、その支援をしたに過ぎないのだから。			温かな歓待							
それに、蛮神討滅は対症療法に過ぎないわ。神降ろしに頼りたいという意志を挫かないかぎり、次の召喚は、ある意味で時間の問題ということになるもの。			それに、蛮神討滅は対症療法に過ぎないわ。神降ろしに頼りたいという意志を挫かないかぎり、次の召喚は、ある意味で時間の問題ということになるもの。			温かな歓待							
シュー……肝に銘じておきましょう。カリヤナ派が、蛮神とは本物の神ではないことを、悟ってくれる日が来るよう、同族として働きかけてみます。			シュー……肝に銘じておきましょう。カリヤナ派が、蛮神とは本物の神ではないことを、悟ってくれる日が来るよう、同族として働きかけてみます。			温かな歓待							
ありがと、そうしてくれると嬉しいな。アナンタ族は、アタシたちと同じギラバニアに生きる仲間……これからも協力していこう。			ありがと、そうしてくれると嬉しいな。アナンタ族は、アタシたちと同じギラバニアに生きる仲間……これからも協力していこう。			温かな歓待							
シュー……もちろんです。ウィルラ派は、ヒトの子の友人たちへの恩を忘れません。			シュー……もちろんです。ウィルラ派は、ヒトの子の友人たちへの恩を忘れません。			温かな歓待							
じゃあ、アタシたちは「ピーリングストーンズ」に戻るよ。「メ・ナーゴ」たち、メ族の人たちも心配してると思うから……サリーシャさん、元気でね？			じゃあ、アタシたちは「ピーリングストーンズ」に戻るよ。「メ・ナーゴ」たち、メ族の人たちも心配してると思うから……サリーシャさん、元気でね？			温かな歓待							
シュー……感謝します、ヒトの子の友人よ。姉妹たちも、美神が消滅したと知れば、安心するでしょう。			シュー……感謝します、ヒトの子の友人よ。姉妹たちも、美神が消滅したと知れば、安心するでしょう。			温かな歓待							
シュー……お前たちの案内を務められたこと、誇りとして生きていこう。			シュー……お前たちの案内を務められたこと、誇りとして生きていこう。			温かな歓待							
蛮神が召喚されたと聞き、不審人物の捜索をアレンヴァルドたちに任せ、駆けつけたところだ。			蛮神が召喚されたと聞き、不審人物の捜索をアレンヴァルドたちに任せ、駆けつけたところだ。			温かな歓待							
おぉ、無事じゃったか！まさかアナンタ族が、神降ろしに手を染めるとはの……！			おぉ、無事じゃったか！まさかアナンタ族が、神降ろしに手を染めるとはの……！			温かな歓待							
Forenameさん！　お帰りなさい！ちょうど、ピピン少闘将やコンラッド隊長が、駆けつけてくれたところだったんです。			Forenameさん！　お帰りなさい！ちょうど、ピピン少闘将やコンラッド隊長が、駆けつけてくれたところだったんです。			温かな歓待							
安心して、美神ラクシュミは、Forenameが討滅してくれたんだ。詳しいことは、アタシから報告するね……。			安心して、美神ラクシュミは、Forenameが討滅してくれたんだ。詳しいことは、アタシから報告するね……。			温かな歓待							
やはり、本当にアナンタ族は蛮神を……。それにしても、強力な美神ラクシュミを相手に、一歩も退かずに戦って、倒しちゃうなんて、さすがです！			やはり、本当にアナンタ族は蛮神を……。それにしても、強力な美神ラクシュミを相手に、一歩も退かずに戦って、倒しちゃうなんて、さすがです！			温かな歓待							
うむ、Forenameがいてくれて、本当に助かったのう。			うむ、Forenameがいてくれて、本当に助かったのう。			温かな歓待							
しかし、蛮族による神降ろしと言えば、好戦的な性向を持つ、強硬派によるものばかりだったが、まさか、非好戦的な宗派が、これを行うとは驚いた……。			しかし、蛮族による神降ろしと言えば、好戦的な性向を持つ、強硬派によるものばかりだったが、まさか、非好戦的な宗派が、これを行うとは驚いた……。			温かな歓待							
確かに、稀な事例と言えましょう。備蓄されていたクリスタルを処分できたため、しばらく再召喚はないでしょうが、今後の動向には要注意です。			確かに、稀な事例と言えましょう。備蓄されていたクリスタルを処分できたため、しばらく再召喚はないでしょうが、今後の動向には要注意です。			温かな歓待							
了解だ……アラミゴ解放軍やメ族の方々と協力しつつ、カリヤナ派を監視する体制の構築を検討してみよう。			了解だ……アラミゴ解放軍やメ族の方々と協力しつつ、カリヤナ派を監視する体制の構築を検討してみよう。			温かな歓待							
お願いします。それで……帝国軍の方に動きは？			お願いします。それで……帝国軍の方に動きは？			温かな歓待							
不気味なほど静かでね。髑髏連隊をはじめ、カステッルム・ベロジナ防衛隊の残余は、大人しく山岳地帯へと後退し、再攻撃の気配はない。			不気味なほど静かでね。髑髏連隊をはじめ、カステッルム・ベロジナ防衛隊の残余は、大人しく山岳地帯へと後退し、再攻撃の気配はない。			温かな歓待							
義父上……ラウバーン局長は、このまま山岳地帯へ進軍することを決心された。			義父上……ラウバーン局長は、このまま山岳地帯へ進軍することを決心された。			温かな歓待							
それじゃあ、アタシたちも！			それじゃあ、アタシたちも！			温かな歓待							
いや、気持ちはありがたいが、君たちは休んでいてくれ。何よりForenameは、蛮神と戦ったばかりだ。そんな彼女彼に、連戦を強いるわけにはいくまい。			いや、気持ちはありがたいが、君たちは休んでいてくれ。何よりForenameは、蛮神と戦ったばかりだ。そんな彼女彼に、連戦を強いるわけにはいくまい。			温かな歓待							
我々とて、正規の軍人だ。蛮神ではなく、帝国軍が相手なら後れを取るつもりはない。			我々とて、正規の軍人だ。蛮神ではなく、帝国軍が相手なら後れを取るつもりはない。			温かな歓待							
そういうことじゃ。メ・ナーゴよ、お前も久しぶりに家族との時間を過ごすがいい。ゆっくりと休んでから、山岳地帯で合流じゃ。			そういうことじゃ。メ・ナーゴよ、お前も久しぶりに家族との時間を過ごすがいい。ゆっくりと休んでから、山岳地帯で合流じゃ。			温かな歓待							
あ、ありがとうございます！それではお言葉に甘えて……「暁」のみなさんに、メ族流の歓迎で、心ゆくまで休んでもらっちゃいます！			あ、ありがとうございます！それではお言葉に甘えて……「暁」のみなさんに、メ族流の歓迎で、心ゆくまで休んでもらっちゃいます！			温かな歓待							
帝国軍が山岳地帯まで退いたということは、スペキュラ・インペラトリスで防衛陣を張る腹づもりか。かの地を攻めるとなると、標高の高い南側から…………。			帝国軍が山岳地帯まで退いたということは、スペキュラ・インペラトリスで防衛陣を張る腹づもりか。かの地を攻めるとなると、標高の高い南側から…………。			温かな歓待							
休めって言われてるのに、頼まれもしない軍略を考えちゃってまぁ……。			休めって言われてるのに、頼まれもしない軍略を考えちゃってまぁ……。			温かな歓待							
帝国軍との戦いに逸る気持ちはあるけど……。これは激戦の前に、休息しておけってことだよね？			帝国軍との戦いに逸る気持ちはあるけど……。これは激戦の前に、休息しておけってことだよね？			温かな歓待							
コンラッド隊長の許可も頂けたことですし、張り切って、みなさんを歓待しちゃいますよ！			コンラッド隊長の許可も頂けたことですし、張り切って、みなさんを歓待しちゃいますよ！			温かな歓待							
みなさんの帰還に備えて、母に夕食の準備を頼んでおいたんです。私が言うのも何ですが、母の料理は絶品ですから、楽しみにしていてくださいね！			みなさんの帰還に備えて、母に夕食の準備を頼んでおいたんです。私が言うのも何ですが、母の料理は絶品ですから、楽しみにしていてくださいね！			温かな歓待							
さあ、客人たちよ、蛮神の脅威を払ってくれた礼だ。今宵は、我が妻、ハトアの料理を楽しんでくれ！			さあ、客人たちよ、蛮神の脅威を払ってくれた礼だ。今宵は、我が妻、ハトアの料理を楽しんでくれ！			温かな歓待							
メ族のヌンよ、温かい心遣いに感謝します。			メ族のヌンよ、温かい心遣いに感謝します。			温かな歓待							
みなさんには、娘のナーゴがお世話になっているようですね。料理も飲み物も、たくさん用意してありますから、遠慮なく召し上がってくださいな。			みなさんには、娘のナーゴがお世話になっているようですね。料理も飲み物も、たくさん用意してありますから、遠慮なく召し上がってくださいな。			温かな歓待							
すっごい……！こんなに美味しそうな料理を前に、遠慮なんてできないよね！いただきます！			すっごい……！こんなに美味しそうな料理を前に、遠慮なんてできないよね！いただきます！			温かな歓待							
ナーゴのお母さんの料理、すっごく美味しかったね。			ナーゴのお母さんの料理、すっごく美味しかったね。			温かな歓待							
なんかさ、ナーゴたちを見ていたら、アタシも家族のことを思い出しちゃった……。			なんかさ、ナーゴたちを見ていたら、アタシも家族のことを思い出しちゃった……。			温かな歓待							
父さんが狩ってきた獣の肉を、香草を使って焼いてさ……。ウチは、母さんが早くに亡くなったから、イダ姉さんが料理してくれて……。			父さんが狩ってきた獣の肉を、香草を使って焼いてさ……。ウチは、母さんが早くに亡くなったから、イダ姉さんが料理してくれて……。			温かな歓待							
決して豊かな生活じゃなかったけど、笑顔が絶えない家族だったんだ。			決して豊かな生活じゃなかったけど、笑顔が絶えない家族だったんだ。			温かな歓待							
でも、そんな小さな幸せさえ、暴君と帝国に踏みにじられて、自由のために戦った父さんも姉さんも、死んじゃった。			でも、そんな小さな幸せさえ、暴君と帝国に踏みにじられて、自由のために戦った父さんも姉さんも、死んじゃった。			温かな歓待							
帝国だって、アタシたちと同じように蛮神を否定している。でも、その力尽くの支配が、獣人に新しい蛮神を呼ばせるんだ。みんな、幸せな暮らしを求めているのに、戦い合い、殺し合う……。			帝国だって、アタシたちと同じように蛮神を否定している。でも、その力尽くの支配が、獣人に新しい蛮神を呼ばせるんだ。みんな、幸せな暮らしを求めているのに、戦い合い、殺し合う……。			温かな歓待							
もし、蛮神じゃない本物の「神様」っていうのがいたらさ、こんな「人」を見て、どう思うんだろうな……。			もし、蛮神じゃない本物の「神様」っていうのがいたらさ、こんな「人」を見て、どう思うんだろうな……。			温かな歓待							
理想を語るだけじゃ、力ある者に蹂躙される。自由を求めて戦えば、犠牲と悲しみが広がり続ける……。この繰り返しは、どこかで止められるのかな？			理想を語るだけじゃ、力ある者に蹂躙される。自由を求めて戦えば、犠牲と悲しみが広がり続ける……。この繰り返しは、どこかで止められるのかな？			温かな歓待							
何と答える？			何と答える？			温かな歓待							
自分たちの手で止めよう！			自分たちの手で止めよう！			温かな歓待							
自分にはわからない……			自分にはわからない……			温かな歓待							
…………			…………			温かな歓待							
そうだよね。そのために、アタシたちは戦っているんだ。			そうだよね。そのために、アタシたちは戦っているんだ。			温かな歓待							
そっか、いつも真っ直ぐに歩み続けているように見えるあなたでも、わからないことがあるんだね……。			そっか、いつも真っ直ぐに歩み続けているように見えるあなたでも、わからないことがあるんだね……。			温かな歓待							
……ありがと。いっしょに戦ってくれて。			……ありがと。いっしょに戦ってくれて。			温かな歓待							
アタシたちの力だって、争いを生んでいる……。でも、帝国が生む悲しみの連鎖は、絶対に止めなくちゃ！……っと、もうこんな時間……そろそろ休もうか。			アタシたちの力だって、争いを生んでいる……。でも、帝国が生む悲しみの連鎖は、絶対に止めなくちゃ！……っと、もうこんな時間……そろそろ休もうか。			温かな歓待							
明日も、厳しい戦いが待っているんだ……。おやすみなさい、Forename。			明日も、厳しい戦いが待っているんだ……。おやすみなさい、Forename。			温かな歓待							
あのお肉、私が狩ってきたんですからね！自分の得意なことを活かせばいいんです！だ、だから料理は……！			あのお肉、私が狩ってきたんですからね！自分の得意なことを活かせばいいんです！だ、だから料理は……！			温かな歓待							
家族っていいものよね。メ族の人たちを見ていて、なんだかシャーレアンの家が、少しだけ懐かしくなったわ。			家族っていいものよね。メ族の人たちを見ていて、なんだかシャーレアンの家が、少しだけ懐かしくなったわ。			温かな歓待							
ハトアさんの料理、本当に美味しかった。でも、なんでナーゴって、料理が下手なの？お母さんに、料理教えてもらえばいいじゃん。			ハトアさんの料理、本当に美味しかった。でも、なんでナーゴって、料理が下手なの？お母さんに、料理教えてもらえばいいじゃん。			温かな歓待							
……出立するのか？お前たちに、日神アーゼマの加護があるように祈っているぞ。			……出立するのか？お前たちに、日神アーゼマの加護があるように祈っているぞ。			温かな歓待							
Forenameさん、どうか娘のことを、よろしくお願いします。彼女が無事に帰ってくることだけが、私の望みなのです。			Forenameさん、どうか娘のことを、よろしくお願いします。彼女が無事に帰ってくることだけが、私の望みなのです。			温かな歓待							
メ・ハトアさんの料理は、素朴ながらも手の込んだ、まさに家庭の味と呼ぶに相応しい、温かなものだったね。			メ・ハトアさんの料理は、素朴ながらも手の込んだ、まさに家庭の味と呼ぶに相応しい、温かなものだったね。			温かな歓待							
その様子だと、君も英気を養うことができたようだ。これからも厳しい戦いが続くだろうが、この味を守るためにも、ギラバニアの地に平和を取り戻そうじゃないか！			その様子だと、君も英気を養うことができたようだ。これからも厳しい戦いが続くだろうが、この味を守るためにも、ギラバニアの地に平和を取り戻そうじゃないか！			温かな歓待							
パイクフォールズのメ・ゼト・ティアは、元気を取り戻したようだ。			パイクフォールズのメ・ゼト・ティアは、元気を取り戻したようだ。			剣に誓う							
メ・ゼト・ティアは、体力を取り戻したことで、再びメ・ラツ・ヌンに決闘を申し込むという。ギラバニア辺境地帯のピーリングストーンズにいる「メ・ラツ・ヌン」と話そう。			メ・ゼト・ティアは、体力を取り戻したことで、再びメ・ラツ・ヌンに決闘を申し込むという。ギラバニア辺境地帯のピーリングストーンズにいる「メ・ラツ・ヌン」と話そう。			剣に誓う							
