テイルフェザーのエルヴォワは、とても面倒そうな案件を抱えているようだ。			テイルフェザーのエルヴォワは、とても面倒そうな案件を抱えているようだ。			口より手を							
Forenameさん。ヤ・シュトラさんの意識が戻ったら、お帰りなさいの贈り物をしたいのでっす。			Forenameさん。ヤ・シュトラさんの意識が戻ったら、お帰りなさいの贈り物をしたいのでっす。			ヤ・シュトラ							
いつか帰ってくると信じて、前々から準備していたのでっす。ほとんど出来上がっているのでっすが、最後の仕上げに使うものが、まだ届いていないのでっす。			いつか帰ってくると信じて、前々から準備していたのでっす。ほとんど出来上がっているのでっすが、最後の仕上げに使うものが、まだ届いていないのでっす。			ヤ・シュトラ							
お手数でっすが、「革細工師ギルド」の「ゲヴァ」さんと、「幻術士ギルド」の「エ・スミ・ヤン」さんから、依頼しておいた品を貰ってきてほしいのでっす！			お手数でっすが、「革細工師ギルド」の「ゲヴァ」さんと、「幻術士ギルド」の「エ・スミ・ヤン」さんから、依頼しておいた品を貰ってきてほしいのでっす！			ヤ・シュトラ							
私は、これから「不語仙の座卓」に赴いて、改めて三重の幻術皇の方々にお礼を伝えてくるよ。			私は、これから「不語仙の座卓」に赴いて、改めて三重の幻術皇の方々にお礼を伝えてくるよ。			ヤ・シュトラ							
お手数でっすが、「革細工師ギルド」の「ゲヴァ」さんと、「幻術士ギルド」の「エ・スミ・ヤン」さんから、依頼しておいた品を貰ってきてほしいのでっす！			お手数でっすが、「革細工師ギルド」の「ゲヴァ」さんと、「幻術士ギルド」の「エ・スミ・ヤン」さんから、依頼しておいた品を貰ってきてほしいのでっす！			ヤ・シュトラ							
すぐに宿に戻って、姉の看病をするつもりよ。学んできた幻術の知識をすべて使ってね。			すぐに宿に戻って、姉の看病をするつもりよ。学んできた幻術の知識をすべて使ってね。			ヤ・シュトラ							
Forenameじゃないか。革細工師としての仕事でも探しにきたのか？……ほう、タタルからの依頼の品を受け取りに？			Forenameじゃないか。革細工師としての仕事でも探しにきたのか？……ほう、タタルからの依頼の品を受け取りに？			ヤ・シュトラ							
革細工師ギルドに何の用だい？注文なら、受付のランダルに言っとくれ。……ほう、タタルからの依頼の品を受け取りに？			革細工師ギルドに何の用だい？注文なら、受付のランダルに言っとくれ。……ほう、タタルからの依頼の品を受け取りに？			ヤ・シュトラ							
お客様としての来訪だったのかい。そりゃ、失礼したね……例の品ならできているよ。代金は先払いで貰っているから、持って行きな。			お客様としての来訪だったのかい。そりゃ、失礼したね……例の品ならできているよ。代金は先払いで貰っているから、持って行きな。			ヤ・シュトラ							
しかし、タタルの奴、あんな奇妙なキメラ生物の皮革を、いったいどこで手に入れたのやら……。注文どおりに加工するのには、苦労させられたよ。			しかし、タタルの奴、あんな奇妙なキメラ生物の皮革を、いったいどこで手に入れたのやら……。注文どおりに加工するのには、苦労させられたよ。			ヤ・シュトラ							
しかし、タタルの奴、あんな奇妙なキメラ生物の皮革を、いったいどこで手に入れたのやら……。注文どおりに加工するのには、苦労させられたよ。			しかし、タタルの奴、あんな奇妙なキメラ生物の皮革を、いったいどこで手に入れたのやら……。注文どおりに加工するのには、苦労させられたよ。			ヤ・シュトラ							
幻術士Forenameではありませんか。その後も変わりないようですね。今日は、いったいどのような御用向きでしょう？			幻術士Forenameではありませんか。その後も変わりないようですね。今日は、いったいどのような御用向きでしょう？			ヤ・シュトラ							
ここは幻術士たちの瞑想の場……。今日は、いったいどのような御用向きでしょう？			ここは幻術士たちの瞑想の場……。今日は、いったいどのような御用向きでしょう？			ヤ・シュトラ							
ほう、タタル嬢からの依頼の件ですね？借り受けた品は、森の清流で清め、精霊たちの加護を得られるよう、祈りを捧げておきました。			ほう、タタル嬢からの依頼の件ですね？借り受けた品は、森の清流で清め、精霊たちの加護を得られるよう、祈りを捧げておきました。			ヤ・シュトラ							
さあ、受け取ってください。しかし、これを使いこなすのは至難の業ですよ。幻術士ギルドを束ねる私でさえ、苦労しそうな品ですから。			さあ、受け取ってください。しかし、これを使いこなすのは至難の業ですよ。幻術士ギルドを束ねる私でさえ、苦労しそうな品ですから。			ヤ・シュトラ							
しかし、これを使いこなすのは至難の業ですよ。幻術士ギルドを束ねる私でさえ、苦労しそうな品ですから。			しかし、これを使いこなすのは至難の業ですよ。幻術士ギルドを束ねる私でさえ、苦労しそうな品ですから。			ヤ・シュトラ							
Forenameさん！お願いした件はどうでっすか？			Forenameさん！お願いした件はどうでっすか？			ヤ・シュトラ							
ありがとうございまっす！さすがは、エオルゼアを代表する革細工師の技でっす！私が用意しておいた衣装との組み合わせも、ばっちりでっす！			ありがとうございまっす！さすがは、エオルゼアを代表する革細工師の技でっす！私が用意しておいた衣装との組み合わせも、ばっちりでっす！			ヤ・シュトラ							
それに幻術士ギルドにお願いした物も、間に合って良かったでっす！			それに幻術士ギルドにお願いした物も、間に合って良かったでっす！			ヤ・シュトラ							
これで、贈り物が用意できまっした！フフフ……きっと喜んでくれまっすよ！あとは、ヤ・シュトラさんの意識が戻ってくれれば……。			これで、贈り物が用意できまっした！フフフ……きっと喜んでくれまっすよ！あとは、ヤ・シュトラさんの意識が戻ってくれれば……。			ヤ・シュトラ							
ヤ・シュトラさんには、今、ヤ・ミトラさんがついていてくれてまっす。私たちも様子を見に行きまっしょう。			ヤ・シュトラさんには、今、ヤ・ミトラさんがついていてくれてまっす。私たちも様子を見に行きまっしょう。			ヤ・シュトラ							
カヌ・エ様たち、三重の幻術皇の方々には、しっかりと礼を伝えてきたよ。何から何まで、世話になりっぱなしだね。			カヌ・エ様たち、三重の幻術皇の方々には、しっかりと礼を伝えてきたよ。何から何まで、世話になりっぱなしだね。			ヤ・シュトラ							
テイルフェザーのエルヴォワは、先輩から任された仕事を丸投げするつもりのようだ。			テイルフェザーのエルヴォワは、先輩から任された仕事を丸投げするつもりのようだ。			森の清掃							
エルヴォワに、ゴミ拾いの雑用を丸投げされた。高地ドラヴァニアの、チョコボの森の北東にあるキャンプで「エムベル」と話そう。			エルヴォワに、ゴミ拾いの雑用を丸投げされた。高地ドラヴァニアの、チョコボの森の北東にあるキャンプで「エムベル」と話そう。			森の清掃							
エムベルと話した。問題のゴミを捨てたのは、猟師くずれの無法な連中のようだ。チョコボの森の北東にあるキャンプ付近で「荒くれの無法者」と話し、襲われたら懲らしめよう。			エムベルと話した。問題のゴミを捨てたのは、猟師くずれの無法な連中のようだ。チョコボの森の北東にあるキャンプ付近で「荒くれの無法者」と話し、襲われたら懲らしめよう。			森の清掃							
荒くれの無法者が呼んだ仲間を倒した。チョコボの森の北東にあるキャンプ付近で、「荒くれの無法者」を問いつめよう。			荒くれの無法者が呼んだ仲間を倒した。チョコボの森の北東にあるキャンプ付近で、「荒くれの無法者」を問いつめよう。			森の清掃							
荒くれの無法者を問いつめ、ゴミ掃除を命じた。テイルフェザーの「エルヴォワ」に報告しよう。			荒くれの無法者を問いつめ、ゴミ掃除を命じた。テイルフェザーの「エルヴォワ」に報告しよう。			森の清掃							
エルヴォワに報告した。エルヴォワは、雑用ばかり押しつける先輩の真意がつかめず、納得がいかないようだ。			エルヴォワに報告した。エルヴォワは、雑用ばかり押しつける先輩の真意がつかめず、納得がいかないようだ。			森の清掃							
エムベルと話す			エムベルと話す			森の清掃							
荒くれの無法者と話し、襲われたら討伐			荒くれの無法者と話し、襲われたら討伐			森の清掃							
荒くれの無法者と再度話す			荒くれの無法者と再度話す			森の清掃							
エルヴォワに報告			エルヴォワに報告			森の清掃							
はぁ……先輩は、俺に何をやれって言うんだぁ？			はぁ……先輩は、俺に何をやれって言うんだぁ？			森の清掃							
「北東のキャンプ周辺に、多数のゴミが落ちていた。　拾って片付けてこい」……。			「北東のキャンプ周辺に、多数のゴミが落ちていた。　拾って片付けてこい」……。			森の清掃							
なるほどね、ゴミ拾いね～！って、俺は森のゴミ拾いをしにきたんじゃねえっての！俺は、猟師なの！			なるほどね、ゴミ拾いね～！って、俺は森のゴミ拾いをしにきたんじゃねえっての！俺は、猟師なの！			森の清掃							
……冒険者さん、ちょっとお時間あったりしませんか？例によって、片付け、お願いできませんか？			……冒険者さん、ちょっとお時間あったりしませんか？例によって、片付け、お願いできませんか？			森の清掃							
ありがとうっす！キャンプは、ここから北東に行ったところにあります。詳細は、猟師のエムベルさんに聞くといいっす！			ありがとうっす！キャンプは、ここから北東に行ったところにあります。詳細は、猟師のエムベルさんに聞くといいっす！			森の清掃							
キャンプは、ここから北東に行ったところにあります。詳細は、猟師のエムベルさんに聞くといいっす！			キャンプは、ここから北東に行ったところにあります。詳細は、猟師のエムベルさんに聞くといいっす！			森の清掃							
あぁ、ゴミのことか……。しょうがねぇから拾っておこうかと思ったら、オ・ベン・ティアに止められてさ、放置したままだぞ。			あぁ、ゴミのことか……。しょうがねぇから拾っておこうかと思ったら、オ・ベン・ティアに止められてさ、放置したままだぞ。			森の清掃							
大方、チョコボを求めてやってきた無法者の連中が、置き去りにしたものだろう。最近、この辺りでよく見かけるからな……。			大方、チョコボを求めてやってきた無法者の連中が、置き去りにしたものだろう。最近、この辺りでよく見かけるからな……。			森の清掃							
もし、無法者らしきやつを見つけたら、声をかけて正体を確かめてくれ。刃向かうようなら、懲らしめてくれて構わんぞ。			もし、無法者らしきやつを見つけたら、声をかけて正体を確かめてくれ。刃向かうようなら、懲らしめてくれて構わんぞ。			森の清掃							
ついでに、そいつにゴミ掃除もさせちまえばいいさ。よろしく頼むぜ。			ついでに、そいつにゴミ掃除もさせちまえばいいさ。よろしく頼むぜ。			森の清掃							
もし、無法者らしき奴を見つけたら、声をかけて正体を確かめてくれ。刃向かうようなら、懲らしめてくれて構わんぞ。			もし、無法者らしき奴を見つけたら、声をかけて正体を確かめてくれ。刃向かうようなら、懲らしめてくれて構わんぞ。			森の清掃							
貴様、テイルフェザーの連中か？口うるさいことを言うと、ブチのめすぞ！			貴様、テイルフェザーの連中か？口うるさいことを言うと、ブチのめすぞ！			森の清掃							
お前たち、やっちまいな……！！			お前たち、やっちまいな……！！			森の清掃							
や、や、やめてくれ、降参だ！もう二度と悪さはしねぇ！だから、命だけは……！			や、や、やめてくれ、降参だ！もう二度と悪さはしねぇ！だから、命だけは……！			森の清掃							
……へっ、ゴミを片付けておくように？わ、わかりました、すぐに片付けておきます！！すいませんでした～！			……へっ、ゴミを片付けておくように？わ、わかりました、すぐに片付けておきます！！すいませんでした～！			森の清掃							
ゴミは、すぐに片付けておきます。すいませんでした～！			ゴミは、すぐに片付けておきます。すいませんでした～！			森の清掃							
あ、冒険者さん！ゴミはどうでしたか？			あ、冒険者さん！ゴミはどうでしたか？			森の清掃							
……はぁ、マジでゴミ拾いだったんっすね。実は、ゴミじゃなくて撒き餌に群がるチョコボが……なんて、少し期待しちゃった俺がバカみたいっす。			……はぁ、マジでゴミ拾いだったんっすね。実は、ゴミじゃなくて撒き餌に群がるチョコボが……なんて、少し期待しちゃった俺がバカみたいっす。			森の清掃							
しかも、無法者を懲らしめるなんて、俺には無理っすよ！ってか、なんで雑用を俺に押し付けてくるんだろ。そんなことより、狩りを教えてくれよ……。			しかも、無法者を懲らしめるなんて、俺には無理っすよ！ってか、なんで雑用を俺に押し付けてくるんだろ。そんなことより、狩りを教えてくれよ……。			森の清掃							
あっ、愚痴っちゃってすんません！こちら、お礼っす……ゴミ拾い、おつかれっした！			あっ、愚痴っちゃってすんません！こちら、お礼っす……ゴミ拾い、おつかれっした！			森の清掃							
テイルフェザーにいるエルヴォワは、先輩から任された仕事をそのまま渡すつもりのようだ。			テイルフェザーにいるエルヴォワは、先輩から任された仕事をそのまま渡すつもりのようだ。			いけない罠							
エルヴォワに、またしても雑用を任された。高地ドラヴァニアの、チョコボの森の北にあるキャンプで「テイルフェザーの猟師」から話を聞こう。			エルヴォワに、またしても雑用を任された。高地ドラヴァニアの、チョコボの森の北にあるキャンプで「テイルフェザーの猟師」から話を聞こう。			いけない罠							
テイルフェザーの猟師に、トラバサミの危険性について教わった。チョコボの森の北にあるキャンプ付近を捜索し、妨害を退けて、「トラバサミ」を3つ撤去しよう。			テイルフェザーの猟師に、トラバサミの危険性について教わった。チョコボの森の北にあるキャンプ付近を捜索し、妨害を退けて、「トラバサミ」を3つ撤去しよう。			いけない罠							
トラバサミを撤去した。テイルフェザーの「エルヴォワ」に報告しよう。			トラバサミを撤去した。テイルフェザーの「エルヴォワ」に報告しよう。			いけない罠							
エルヴォワに報告した。エルヴォワは、後輩である自分に危険が及ぶような仕事だったことに驚き、先輩への不信を感じているようだ。			エルヴォワに報告した。エルヴォワは、後輩である自分に危険が及ぶような仕事だったことに驚き、先輩への不信を感じているようだ。			いけない罠							
テイルフェザーの猟師と話す			テイルフェザーの猟師と話す			いけない罠							
妨害を退けトラバサミを撤去			妨害を退けトラバサミを撤去			いけない罠							
エルヴォワに報告			エルヴォワに報告			いけない罠							
んっと、先輩にあたえられた雑用は……？			んっと、先輩にあたえられた雑用は……？			いけない罠							
「北にある、無人のキャンプ付近で、　トラバサミの発見報告があった、撤去してこい」……。			「北にある、無人のキャンプ付近で、　トラバサミの発見報告があった、撤去してこい」……。			いけない罠							
……だから、猟師の俺がやる必要あんのかよ！？こういうのは、優秀な冒険者さんに頼むもんだろ！！			……だから、猟師の俺がやる必要あんのかよ！？こういうのは、優秀な冒険者さんに頼むもんだろ！！			いけない罠							
って、あれあれー、冒険者さんじゃないっすか～！時間あったりします？……撤去、お願いできます？			って、あれあれー、冒険者さんじゃないっすか～！時間あったりします？……撤去、お願いできます？			いけない罠							
ありがとうっす！ここから北に行ったところに、キャンプはあります。詳しい情報は、「テイルフェザーの猟師」に聞くといいっす！			ありがとうっす！ここから北に行ったところに、キャンプはあります。詳しい情報は、「テイルフェザーの猟師」に聞くといいっす！			いけない罠							
ここから北に行ったところに、キャンプはあります。詳しい情報は、「テイルフェザーの猟師」に聞くといいっす！			ここから北に行ったところに、キャンプはあります。詳しい情報は、「テイルフェザーの猟師」に聞くといいっす！			いけない罠							
トラバサミを探しているって？ああ、それなら俺も撤去しようとしたんだが……。オ・ベン・ティアに止められたから、そのままにしてあるぜ。			トラバサミを探しているって？ああ、それなら俺も撤去しようとしたんだが……。オ・ベン・ティアに止められたから、そのままにしてあるぜ。			いけない罠							
早いとこ撤去したかったのに、自分の後輩にやらせるから、手を出すなって言うんだぜ？いったい、何のつもりだろうか。			早いとこ撤去したかったのに、自分の後輩にやらせるから、手を出すなって言うんだぜ？いったい、何のつもりだろうか。			いけない罠							
……まあ、おまえが来てくれて助かった。騎乗獣としてのチョコボにとって、脚はまさに生命線だ。だから、脚を傷める罠を狩りに使うのは厳禁なんだよ。			……まあ、おまえが来てくれて助かった。騎乗獣としてのチョコボにとって、脚はまさに生命線だ。だから、脚を傷める罠を狩りに使うのは厳禁なんだよ。			いけない罠							
トラバサミを使った狩りをするのは、無法者の連中だ。あいつらには、掟も何も通用しねぇんだ。			トラバサミを使った狩りをするのは、無法者の連中だ。あいつらには、掟も何も通用しねぇんだ。			いけない罠							
さあ、トラバサミはこの辺に3つあるぜ。無法者が現れるかもしれないから、注意するこったな。			さあ、トラバサミはこの辺に3つあるぜ。無法者が現れるかもしれないから、注意するこったな。			いけない罠							
さあ、トラバサミはこの辺に3つあるぜ。無法者が現れるかもしれないから、注意するこったな。			さあ、トラバサミはこの辺に3つあるぜ。無法者が現れるかもしれないから、注意するこったな。			いけない罠							
