ウォーラーの残響のエレンヴィルは、仲間たちに提案したいことがあるようだ。			ウォーラーの残響のエレンヴィルは、仲間たちに提案したいことがあるようだ。			ウクラマトの平和							
試練はあと2つも残ってるんだから、今のうちに体力を回復しておかなくちゃね。			試練はあと2つも残ってるんだから、今のうちに体力を回復しておかなくちゃね。			ウクラマトの平和							
おかえりなさいませ、皆様。お部屋の準備は出来ておりますよ。			おかえりなさいませ、皆様。お部屋の準備は出来ておりますよ。			ウクラマトの平和							
それじゃ、いったんここで解散としよう。休息をとったあと、またここに集まってくれ。			それじゃ、いったんここで解散としよう。休息をとったあと、またここに集まってくれ。			ウクラマトの平和							
俺は少しやることがあるから街に出てくるが……おたくは、ゆっくり身体を休めておけよ。			俺は少しやることがあるから街に出てくるが……おたくは、ゆっくり身体を休めておけよ。			ウクラマトの平和							
ところでウクラマトは連王宮に戻るのか？			ところでウクラマトは連王宮に戻るのか？			ウクラマトの平和							
……おい、ウクラマト。			……おい、ウクラマト。			ウクラマトの平和							
何を物思いに耽ってるのやら。まあいい、俺は諸用を済ませてくるから、また後でな……。			何を物思いに耽ってるのやら。まあいい、俺は諸用を済ませてくるから、また後でな……。			ウクラマトの平和							
鍵をお開けしますので、お部屋の前にいる「シュバラール族の従業員」にお声がけを。それでは、ごゆっくりおくつろぎくださいませ……。			鍵をお開けしますので、お部屋の前にいる「シュバラール族の従業員」にお声がけを。それでは、ごゆっくりおくつろぎくださいませ……。			ウクラマトの平和							
アタシなりのやり方……。			アタシなりのやり方……。			ウクラマトの平和							
継承の儀の旅で、さぞお疲れでしょう。お休みの際は「シュバラール族の従業員」にお声がけください。			継承の儀の旅で、さぞお疲れでしょう。お休みの際は「シュバラール族の従業員」にお声がけください。			ウクラマトの平和							
Forename様、おかえりなさいませ。どうぞごゆっくりお休みください！			Forename様、おかえりなさいませ。どうぞごゆっくりお休みください！			ウクラマトの平和							
休んでたのに連れ出しちまって悪い。でも、部屋にふたりきりだとなんか話しづらくてよ……。			休んでたのに連れ出しちまって悪い。でも、部屋にふたりきりだとなんか話しづらくてよ……。			ウクラマトの平和							
……そうだ、アタシがトライヨラで一番好きな場所まで案内するぜ！あそこなら、落ち着いて話ができそうだ！			……そうだ、アタシがトライヨラで一番好きな場所まで案内するぜ！あそこなら、落ち着いて話ができそうだ！			ウクラマトの平和							
そうと決まればまずは、「翼鏡の街」の辺りを目指して坂を登るぞ！			そうと決まればまずは、「翼鏡の街」の辺りを目指して坂を登るぞ！			ウクラマトの平和							
あら、あなたウクラマト王女の……！			あら、あなたウクラマト王女の……！			ウクラマトの平和							
ペシワのばあちゃん、もう起きて平気なのかよ。腰は良くなったのか？			ペシワのばあちゃん、もう起きて平気なのかよ。腰は良くなったのか？			ウクラマトの平和							
ええ、もうすっかり。それに、王女様が継承の儀を頑張ってるのに、寝てばかりもいられないよ。			ええ、もうすっかり。それに、王女様が継承の儀を頑張ってるのに、寝てばかりもいられないよ。			ウクラマトの平和							
私は信じてるのさ。王女様が、この平和なトライヨラを護っていってくれるって。			私は信じてるのさ。王女様が、この平和なトライヨラを護っていってくれるって。			ウクラマトの平和							
何せ大好きだからね、この国が。			何せ大好きだからね、この国が。			ウクラマトの平和							
へへっ……その笑顔を見ちまったら、やるしかねぇよな！			へへっ……その笑顔を見ちまったら、やるしかねぇよな！			ウクラマトの平和							
ふふふ。足りなければ、ほかにも連れてくるわよ。この国には、まだまだ笑顔が溢れてるからね。			ふふふ。足りなければ、ほかにも連れてくるわよ。この国には、まだまだ笑顔が溢れてるからね。			ウクラマトの平和							
ばあちゃんの分だけで十分、力がもらえたぜ。ありがとよ！			ばあちゃんの分だけで十分、力がもらえたぜ。ありがとよ！			ウクラマトの平和							
こちらこそ。継承の儀、頑張ってね。			こちらこそ。継承の儀、頑張ってね。			ウクラマトの平和							
笑顔……か。			笑顔……か。			ウクラマトの平和							
悪い悪い、立ち話に夢中になっちまった。			悪い悪い、立ち話に夢中になっちまった。			ウクラマトの平和							
……継承の儀を進めてきたらさ、なんだか、この街のみんなといつもみたいに話すことさえ、特別に感じられるようになったんだ。			……継承の儀を進めてきたらさ、なんだか、この街のみんなといつもみたいに話すことさえ、特別に感じられるようになったんだ。			ウクラマトの平和							
なあ、よかったらこの辺をゆっくり散歩していかねぇか？折角の機会だし、そのあと目的の場所に向かおうぜ。			なあ、よかったらこの辺をゆっくり散歩していかねぇか？折角の機会だし、そのあと目的の場所に向かおうぜ。			ウクラマトの平和							
なんだか、嬉しそうな顔をしているね。良い休息になった、ということかな。			なんだか、嬉しそうな顔をしているね。良い休息になった、ということかな。			ウクラマトの平和							
皆がそろったら、旅を再開しよう。			皆がそろったら、旅を再開しよう。			ウクラマトの平和							
ラァー・トートーのサンクレッドは次に取るべき行動を決めたようだ。			ラァー・トートーのサンクレッドは次に取るべき行動を決めたようだ。			封の試練							
ウクラマトと話す			ウクラマトと話す			封の試練							
ウクラマトと再度話す			ウクラマトと再度話す			封の試練							
バクージャジャの野郎……絶対に許さねぇ！			バクージャジャの野郎……絶対に許さねぇ！			封の試練							
結果的には、我が国にとっては最良の状況となりました。もう二度と、生ける天災が猛威を振るうことはないのですから。			結果的には、我が国にとっては最良の状況となりました。もう二度と、生ける天災が猛威を振るうことはないのですから。			封の試練							
言ったでしょう？足手まといにはならない……って！			言ったでしょう？足手まといにはならない……って！			封の試練							
ゾラージャ王子……武は連王を超えてると言われるだけあって、さすがの戦いぶりだったわね。			ゾラージャ王子……武は連王を超えてると言われるだけあって、さすがの戦いぶりだったわね。			封の試練							
ヴァリガルマンダほどの存在が目覚めて、目立った被害もなく済んだのは僥倖でしたね。			ヴァリガルマンダほどの存在が目覚めて、目立った被害もなく済んだのは僥倖でしたね。			封の試練							
それにしても、サレージャとふたり残された時間は苦痛だった。無視しても、お構いなしに嫌味を浴びせられ続けてな……危険でもおたくらに同行すればよかったとすら思ったぞ。			それにしても、サレージャとふたり残された時間は苦痛だった。無視しても、お構いなしに嫌味を浴びせられ続けてな……危険でもおたくらに同行すればよかったとすら思ったぞ。			封の試練							
ヨカフイ族の連中は、いまだヴァリガルマンダの脅威に怯えていることだろう。			ヨカフイ族の連中は、いまだヴァリガルマンダの脅威に怯えていることだろう。			封の試練							
戻って事の次第を伝えて、安心させてやったらどうだ。アルフィノも待ってるだろうしな。			戻って事の次第を伝えて、安心させてやったらどうだ。アルフィノも待ってるだろうしな。			封の試練							
ああ、そうだな！ウォーラーの残響に戻ろうぜ！			ああ、そうだな！ウォーラーの残響に戻ろうぜ！			封の試練							
ウクラマトから継承の儀のガイド役を頼まれたときは、まさかヴァリガルマンダと戦う事態になるとは思わなかったぞ。			ウクラマトから継承の儀のガイド役を頼まれたときは、まさかヴァリガルマンダと戦う事態になるとは思わなかったぞ。			封の試練							
ヴァリガルマンダの覚醒で忘れていたけど、ウォーラーの残響では、まだ「封の試練」が残ってるはず……。			ヴァリガルマンダの覚醒で忘れていたけど、ウォーラーの残響では、まだ「封の試練」が残ってるはず……。			封の試練							
集落内は思ったよりも落ち着いているみたい。きっとアルフィノ君のおかげね。			集落内は思ったよりも落ち着いているみたい。きっとアルフィノ君のおかげね。			封の試練							
やあ、おかえり。無事に戻ってくると信じていたよ。			やあ、おかえり。無事に戻ってくると信じていたよ。			封の試練							
ウォーコー・ゾーモーの登頂からぶっ続けで、ヴァリガルマンダと戦闘なんて……さすがに疲れたわね。			ウォーコー・ゾーモーの登頂からぶっ続けで、ヴァリガルマンダと戦闘なんて……さすがに疲れたわね。			封の試練							
今ごろバクージャジャの奴は、先行して次の試練に挑んでいるかもしれないな。			今ごろバクージャジャの奴は、先行して次の試練に挑んでいるかもしれないな。			封の試練							
私たちがヴァリガルマンダと戦ってる間も、アルフィノ様がヨカフイ族の治療をしてくださったようですね。			私たちがヴァリガルマンダと戦ってる間も、アルフィノ様がヨカフイ族の治療をしてくださったようですね。			封の試練							
まずはグーフールーに報告しなきゃだな！			まずはグーフールーに報告しなきゃだな！			封の試練							
ヨカフイ族がヤクテル樹海にいたころに視た夢、と言ってたな。話の真相を確かめる機会は、案外すぐに来るかもしれない。			ヨカフイ族がヤクテル樹海にいたころに視た夢、と言ってたな。話の真相を確かめる機会は、案外すぐに来るかもしれない。			封の試練							
「一面が黄金に輝く、天上に創られし国」……か。			「一面が黄金に輝く、天上に創られし国」……か。			封の試練							
残る秘石はあと2つというところまで来て、黄金郷に関する噂が具体的になってきたね。			残る秘石はあと2つというところまで来て、黄金郷に関する噂が具体的になってきたね。			封の試練							
ヴァリガルマンダの封印を強化するはずが、まさかそのものを倒すことになるなんてね。			ヴァリガルマンダの封印を強化するはずが、まさかそのものを倒すことになるなんてね。			封の試練							
チーワグー塩田の者が、ウォーラーの残響を訪れるなど……ここしばらくはなかったことです。いったい、何が起こったのやら。			チーワグー塩田の者が、ウォーラーの残響を訪れるなど……ここしばらくはなかったことです。いったい、何が起こったのやら。			封の試練							
ヴォーポーローの奴、ウクラマト王女にあてられたようだな。まるでかつてのオレを見ているようだ。			ヴォーポーローの奴、ウクラマト王女にあてられたようだな。まるでかつてのオレを見ているようだ。			封の試練							
ヴォーポーローたちとの関係が、すぐに変わるようなことはねぇだろうな。			ヴォーポーローたちとの関係が、すぐに変わるようなことはねぇだろうな。			封の試練							
だけどさ、何も変わらねぇわけじゃねぇんだ。それがわかって良かったぜ！			だけどさ、何も変わらねぇわけじゃねぇんだ。それがわかって良かったぜ！			封の試練							
ナーヨー・ゴーナ付近のエレンヴィルは、火属性エーテルの追跡を始めたいようだ。			ナーヨー・ゴーナ付近のエレンヴィルは、火属性エーテルの追跡を始めたいようだ。			最強のトラルヴィドラール							
火属性エーテルの追跡を開始した。オルコ・パチャの哀苦の影南にいる「エレンヴィル」と話そう。			火属性エーテルの追跡を開始した。オルコ・パチャの哀苦の影南にいる「エレンヴィル」と話そう。			最強のトラルヴィドラール							
火属性エーテルの追跡を再開した。オルコ・パチャの忘れじの深奥前にいる「エレンヴィル」と再度話そう。			火属性エーテルの追跡を再開した。オルコ・パチャの忘れじの深奥前にいる「エレンヴィル」と再度話そう。			最強のトラルヴィドラール							
火属性エーテルは洞窟の先に続いているようだ。オルコ・パチャのラァー・トートーにいる「エレンヴィル」とさらに話そう。			火属性エーテルは洞窟の先に続いているようだ。オルコ・パチャのラァー・トートーにいる「エレンヴィル」とさらに話そう。			最強のトラルヴィドラール							
ヴァリガルマンダの居場所を掴み、ウクラマトたちを呼び集めたところで、ヴォーポーロー率いるチーワグー塩田のヨカフイ族が立ち塞がる。しかし、ウォーコー・ゾーモーの前で助けられた借りを思い出して、ヴォーポーローたちは去っていく。コーナや、ゾラージャたちと力を合わせ、最強のトラルヴィドラール「ヴァリガルマンダ」を討滅しよう。※進入地点付近にいる仲間たちと話し「パーティを編成して突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、仲間NPCと一緒に攻略ができます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。			ヴァリガルマンダの居場所を掴み、ウクラマトたちを呼び集めたところで、ヴォーポーロー率いるチーワグー塩田のヨカフイ族が立ち塞がる。しかし、ウォーコー・ゾーモーの前で助けられた借りを思い出して、ヴォーポーローたちは去っていく。コーナや、ゾラージャたちと力を合わせ、最強のトラルヴィドラール「ヴァリガルマンダ」を討滅しよう。※進入地点付近にいる仲間たちと話し「パーティを編成して突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、仲間NPCと一緒に攻略ができます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。			最強のトラルヴィドラール							
ヴァリガルマンダを討滅した。最強のトラルヴィドラールを倒した喜びを噛みしめながら、オルコ・パチャに戻ろう。			ヴァリガルマンダを討滅した。最強のトラルヴィドラールを倒した喜びを噛みしめながら、オルコ・パチャに戻ろう。			最強のトラルヴィドラール							
ウクラマトは、コーナに父を超えたわけではないと言われ、意気消沈する。しかし冒険者の言葉で、彼女は父を超えることを改めて決意するのだった。ラァー・トートーの「エレンヴィル」と話そう。			ウクラマトは、コーナに父を超えたわけではないと言われ、意気消沈する。しかし冒険者の言葉で、彼女は父を超えることを改めて決意するのだった。ラァー・トートーの「エレンヴィル」と話そう。			最強のトラルヴィドラール							
エレンヴィルと話した。ゾラージャとサレージャはすでに去ったあとのようだ。			エレンヴィルと話した。ゾラージャとサレージャはすでに去ったあとのようだ。			最強のトラルヴィドラール							
エレンヴィルと話す			エレンヴィルと話す			最強のトラルヴィドラール							
エレンヴィルと再度話す			エレンヴィルと再度話す			最強のトラルヴィドラール							
エレンヴィルとさらに話す			エレンヴィルとさらに話す			最強のトラルヴィドラール							
「ヴァリガルマンダ」を討伐			「ヴァリガルマンダ」を討伐			最強のトラルヴィドラール							
エレンヴィルと話す			エレンヴィルと話す			最強のトラルヴィドラール							
提示サレタ　さんぷるヲ　読ミ取リマシタ！検出対象　ノ　属性ばらんす　ヲ　再設定シマス！			提示サレタ　さんぷるヲ　読ミ取リマシタ！検出対象　ノ　属性ばらんす　ヲ　再設定シマス！			最強のトラルヴィドラール							
次からは、ヴァリガルマンダのエーテルに向かって、追いかけてくれるはずだ。			次からは、ヴァリガルマンダのエーテルに向かって、追いかけてくれるはずだ。			最強のトラルヴィドラール							
記憶したエーテルをもとに、追跡を再開しろ。			記憶したエーテルをもとに、追跡を再開しろ。			最強のトラルヴィドラール							
了解シマシタ！火属性えーてる　ノ　検出ヲ　開始シマス！			了解シマシタ！火属性えーてる　ノ　検出ヲ　開始シマス！			最強のトラルヴィドラール							
ピピピ……設定サレタ　ばらんす　ノ　火属性えーてるヲ　検出シマシタ！速ヤカニ　追跡ヲ　開始シマス！			ピピピ……設定サレタ　ばらんす　ノ　火属性えーてるヲ　検出シマシタ！速ヤカニ　追跡ヲ　開始シマス！			最強のトラルヴィドラール							
ピピピ……火属性えーてる　反応地点　ニ　到達シマシタ！追跡ヲ　終了シマス！			ピピピ……火属性えーてる　反応地点　ニ　到達シマシタ！追跡ヲ　終了シマス！			最強のトラルヴィドラール							
よし、同じヴァリガルマンダの火に反応してくれたな。設定した値が正しかったってことだ。			よし、同じヴァリガルマンダの火に反応してくれたな。設定した値が正しかったってことだ。			最強のトラルヴィドラール							
この属性バランスを保ったまま、検出するエーテルの濃度を高く設定するぞ。これでヴァリガルマンダ本体を、見つけ出せるはずだ。			この属性バランスを保ったまま、検出するエーテルの濃度を高く設定するぞ。これでヴァリガルマンダ本体を、見つけ出せるはずだ。			最強のトラルヴィドラール							
検知えーてる量ヲ　再設定シマシタ！火属性えーてる　ノ　検出ヲ　開始シマス！			検知えーてる量ヲ　再設定シマシタ！火属性えーてる　ノ　検出ヲ　開始シマス！			最強のトラルヴィドラール							
ピピピ……前方方向ヨリ　火属性えーてるヲ　検知！			ピピピ……前方方向ヨリ　火属性えーてるヲ　検知！			最強のトラルヴィドラール							
反応は洞窟の先に続いてるみたいだ。進んでみよう。			反応は洞窟の先に続いてるみたいだ。進んでみよう。			最強のトラルヴィドラール							
ピピピ……火属性えーてる　ノ　反応　消失シマシタ！			ピピピ……火属性えーてる　ノ　反応　消失シマシタ！			最強のトラルヴィドラール							
この討滅戦は、クエスト中およびコンテンツサポーターでのみ、協力者たちとともに挑むことができます。一部の仲間は、普段と選択できるロールが異なります。			この討滅戦は、クエスト中およびコンテンツサポーターでのみ、協力者たちとともに挑むことができます。一部の仲間は、普段と選択できるロールが異なります。			最強のトラルヴィドラール							
どうする？			どうする？			最強のトラルヴィドラール							
話す			話す			最強のトラルヴィドラール							
パーティを編成して突入			パーティを編成して突入			最強のトラルヴィドラール							
キャンセル			キャンセル			最強のトラルヴィドラール							
たとえ、オヤジが倒せなかったヴァリガルマンダが相手でも……アタシたちならやれるはずだ！			たとえ、オヤジが倒せなかったヴァリガルマンダが相手でも……アタシたちならやれるはずだ！			最強のトラルヴィドラール							
兄さん、何を考えている……？			兄さん、何を考えている……？			最強のトラルヴィドラール							
馴れ合うつもりはない。			馴れ合うつもりはない。			最強のトラルヴィドラール							
ここまでの強敵との戦いは初めてだけど、足手まといにはならないわ！			ここまでの強敵との戦いは初めてだけど、足手まといにはならないわ！			最強のトラルヴィドラール							
相手が相手なだけに、戦闘中はゾラージャ王子を警戒してる余裕なんてなさそうね。何か企んでないことを祈るわ。			相手が相手なだけに、戦闘中はゾラージャ王子を警戒してる余裕なんてなさそうね。何か企んでないことを祈るわ。			最強のトラルヴィドラール							
コーナなら、ヴァリガルマンダを放って、先を急いだりはしないと信じていたさ。			コーナなら、ヴァリガルマンダを放って、先を急いだりはしないと信じていたさ。			最強のトラルヴィドラール							
あなた方と、こうして共闘すること……無性に懐かしく感じております。トラル大陸に来てからの日々が濃密であった証でしょう。			あなた方と、こうして共闘すること……無性に懐かしく感じております。トラル大陸に来てからの日々が濃密であった証でしょう。			最強のトラルヴィドラール							
我が王の気まぐれには困ったものだ。			我が王の気まぐれには困ったものだ。			最強のトラルヴィドラール							
おたくらは、天の果てまで行って帰ってきたぐらいだからな、今さら心配はしてない。だが、十分に気をつけて……無事に戻ってこいよ。			おたくらは、天の果てまで行って帰ってきたぐらいだからな、今さら心配はしてない。だが、十分に気をつけて……無事に戻ってこいよ。			最強のトラルヴィドラール							
へへっ……嬉しすぎてまだ興奮してるぜ……。			へへっ……嬉しすぎてまだ興奮してるぜ……。			最強のトラルヴィドラール							
結果的には、我が国にとっては最良の状況となりました。もう二度と、生ける天災が猛威を振るうことはないのですから。			結果的には、我が国にとっては最良の状況となりました。もう二度と、生ける天災が猛威を振るうことはないのですから。			最強のトラルヴィドラール							
言ったでしょう？足手まといにはならない……って！			言ったでしょう？足手まといにはならない……って！			最強のトラルヴィドラール							
ゾラージャ王子……武は連王を超えてると言われるだけあって、さすがの戦いぶりだったわね。			ゾラージャ王子……武は連王を超えてると言われるだけあって、さすがの戦いぶりだったわね。			最強のトラルヴィドラール							
どうだ、うちの王子様もなかなかやるだろ？			どうだ、うちの王子様もなかなかやるだろ？			最強のトラルヴィドラール							
ヴァリガルマンダほどの存在が目覚めて、目立った被害もなく済んだのは僥倖でしたね。			ヴァリガルマンダほどの存在が目覚めて、目立った被害もなく済んだのは僥倖でしたね。			最強のトラルヴィドラール							
その様子だと、本当に倒してきたみたいだな。ここまで来れば、大げさに驚きはしないが。			その様子だと、本当に倒してきたみたいだな。ここまで来れば、大げさに驚きはしないが。			最強のトラルヴィドラール							
ゾラージャ王子は戻ってくるなり、サレージャを連れて姿を消した。馴れ合うつもりはない、という意思表示なのかもな。			ゾラージャ王子は戻ってくるなり、サレージャを連れて姿を消した。馴れ合うつもりはない、という意思表示なのかもな。			最強のトラルヴィドラール							
ま、ゾラージャ兄さんらしいぜ。			ま、ゾラージャ兄さんらしいぜ。			最強のトラルヴィドラール							
先に行った、と言えば……ヴァリガルマンダ覚醒を企てた、バクージャジャもだよな。アタシらを足止めしてる間に、どこまで先行してるやらだ。			先に行った、と言えば……ヴァリガルマンダ覚醒を企てた、バクージャジャもだよな。アタシらを足止めしてる間に、どこまで先行してるやらだ。			最強のトラルヴィドラール							
まったくあの野郎は、どこまで卑怯なんだ……！もしもアタシらがヴァリガルマンダを倒せなかったら、オルコ・パチャどころか、トラル大陸中に被害が出てたはずだぞ！			まったくあの野郎は、どこまで卑怯なんだ……！もしもアタシらがヴァリガルマンダを倒せなかったら、オルコ・パチャどころか、トラル大陸中に被害が出てたはずだぞ！			最強のトラルヴィドラール							
やっぱり、バクージャジャを王位に就けるわけにはいかねぇ。絶対に追いついて、秘石を奪い返してやる！			やっぱり、バクージャジャを王位に就けるわけにはいかねぇ。絶対に追いついて、秘石を奪い返してやる！			最強のトラルヴィドラール							
ワチュメキメキ万貨街のドヌハヌは、パシェニネの帰りを待っているようだ。			ワチュメキメキ万貨街のドヌハヌは、パシェニネの帰りを待っているようだ。			幻魚術のためのカチコチ怪魚							
ドヌハヌとパシェニネから話を聞くに、次はとにかく硬い魚がほしいらしい。「ヨカフイプレコ」を6匹、ワチュメキメキ万貨街の「ドヌハヌ」へ納品しよう。「ヨカフイプレコ」はコザマル・カのハヌの水辺で、「ミツバチ」を釣り餌にすると釣ることができる。※納品は、収集価値「165」以上で可能となりますが、「388」以上で納品した場合、より多くの報酬が得られます。			ドヌハヌとパシェニネから話を聞くに、次はとにかく硬い魚がほしいらしい。「ヨカフイプレコ」を6匹、ワチュメキメキ万貨街の「ドヌハヌ」へ納品しよう。「ヨカフイプレコ」はコザマル・カのハヌの水辺で、「ミツバチ」を釣り餌にすると釣ることができる。※納品は、収集価値「165」以上で可能となりますが、「388」以上で納品した場合、より多くの報酬が得られます。			幻魚術のためのカチコチ怪魚							
ドヌハヌに「ヨカフイプレコ」を納品した。怪魚に興味を持つ客も出てきて、彼の鮮魚店は軌道に乗りつつあるようだ。これからも協力を続けていこう。			ドヌハヌに「ヨカフイプレコ」を納品した。怪魚に興味を持つ客も出てきて、彼の鮮魚店は軌道に乗りつつあるようだ。これからも協力を続けていこう。			幻魚術のためのカチコチ怪魚							
ハヌの水辺付近で釣りあげたヨカフイプレコをドヌハヌに納品			ハヌの水辺付近で釣りあげたヨカフイプレコをドヌハヌに納品			幻魚術のためのカチコチ怪魚							
よし、よし、来てくれたかForename！パシェニネもそろそろ戻ってくると思うぜ。			よし、よし、来てくれたかForename！パシェニネもそろそろ戻ってくると思うぜ。			幻魚術のためのカチコチ怪魚							
お世話になってます、Forenameさん！先日いただいたキングパファーの幻魚術ですが……			お世話になってます、Forenameさん！先日いただいたキングパファーの幻魚術ですが……			幻魚術のためのカチコチ怪魚							
……試し撃ちはバッチリでした！！自慢のトゲで、木人にもぶっすり突き刺さるくらいの威力です！			……試し撃ちはバッチリでした！！自慢のトゲで、木人にもぶっすり突き刺さるくらいの威力です！			幻魚術のためのカチコチ怪魚							
とはいえ、狩らなければいけない魔物は複数いるので、もう少し出せる魚を増やしてから、試練に挑もうと思っています。			とはいえ、狩らなければいけない魔物は複数いるので、もう少し出せる魚を増やしてから、試練に挑もうと思っています。			幻魚術のためのカチコチ怪魚							
ドヌハヌさんにお尋ねしたいのですが、とびきり硬い魚はいますか？			ドヌハヌさんにお尋ねしたいのですが、とびきり硬い魚はいますか？			幻魚術のためのカチコチ怪魚							
試練の魔物には「岩のような甲羅の大亀」もいるんです。それに負けないくらいの硬さが必要でして……！			試練の魔物には「岩のような甲羅の大亀」もいるんです。それに負けないくらいの硬さが必要でして……！			幻魚術のためのカチコチ怪魚							
それなら、それなら、「ヨカフイプレコ」だな！まるで鎧を着込んだように硬い魚だ！			それなら、それなら、「ヨカフイプレコ」だな！まるで鎧を着込んだように硬い魚だ！			幻魚術のためのカチコチ怪魚							
俺の故郷の近くでも、よく見かけたもんだ。ハヌの水辺付近で「ミツバチ」を餌にすれば釣れるぞ！			俺の故郷の近くでも、よく見かけたもんだ。ハヌの水辺付近で「ミツバチ」を餌にすれば釣れるぞ！			幻魚術のためのカチコチ怪魚							
じゃあ、Forename！「ヨカフイプレコ」の調達を頼む！			じゃあ、Forename！「ヨカフイプレコ」の調達を頼む！			幻魚術のためのカチコチ怪魚							
幻魚術のため……よろしくお願いします！			幻魚術のため……よろしくお願いします！			幻魚術のためのカチコチ怪魚							
「ヨカフイプレコ」なら、ハヌの水辺付近で、「ミツバチ」を餌にすれば釣れるはずだぁな。頼むぜ、Forename！			「ヨカフイプレコ」なら、ハヌの水辺付近で、「ミツバチ」を餌にすれば釣れるはずだぁな。頼むぜ、Forename！			幻魚術のためのカチコチ怪魚							
硬い魚の幻影を撃ち出せるようになったら、幻魚術しか使えない僕でも、集落のみんなの役に立てる可能性が広がる気がします。			硬い魚の幻影を撃ち出せるようになったら、幻魚術しか使えない僕でも、集落のみんなの役に立てる可能性が広がる気がします。			幻魚術のためのカチコチ怪魚							
魔物を狩るだけじゃなく、邪魔な岩を砕いたり、粘土を叩いてこねたりとか……！			魔物を狩るだけじゃなく、邪魔な岩を砕いたり、粘土を叩いてこねたりとか……！			幻魚術のためのカチコチ怪魚							
ふむ、ふむ、たまんねぇな！これこそ俺が故郷でよく見かけてた、「ヨカフイプレコ」だぜ！			ふむ、ふむ、たまんねぇな！これこそ俺が故郷でよく見かけてた、「ヨカフイプレコ」だぜ！			幻魚術のためのカチコチ怪魚							
なんと、なんと、おったまげた！こんなにでかくて硬い「ヨカフイプレコ」は、初めて見たぜ！			なんと、なんと、おったまげた！こんなにでかくて硬い「ヨカフイプレコ」は、初めて見たぜ！			幻魚術のためのカチコチ怪魚							
どうだ、どうだ、パシェニネ！Forenameが獲った「ヨカフイプレコ」は！			どうだ、どうだ、パシェニネ！Forenameが獲った「ヨカフイプレコ」は！			幻魚術のためのカチコチ怪魚							
故郷のオック・ハヌでも、「爪も嘴も通らない」って言われているほどの魚だ！			故郷のオック・ハヌでも、「爪も嘴も通らない」って言われているほどの魚だ！			幻魚術のためのカチコチ怪魚							
