シルフの仮宿のコムシオは、冒険者にお願いしたいことがあるようだ。			シルフの仮宿のコムシオは、冒険者にお願いしたいことがあるようだ。			クラクシオの決意							
さっきの冒険者でふっち！？んもう、シツコイのでふっち……。仮宿には帰らないったら帰らないのでふっち！			さっきの冒険者でふっち！？んもう、シツコイのでふっち……。仮宿には帰らないったら帰らないのでふっち！			クラクシオの決意							
わわ、悪い子シルフ！？……ななな、何の用でふっち！アタピは良い子でふっち、悪い子にはならないでふっち！			わわ、悪い子シルフ！？……ななな、何の用でふっち！アタピは良い子でふっち、悪い子にはならないでふっち！			クラクシオの決意							
Surname……。こいつらは、蛮神「ラムウ」に、テンパード（信徒）にされたシルフ族たちだ。			Surname……。こいつらは、蛮神「ラムウ」に、テンパード（信徒）にされたシルフ族たちだ。			クラクシオの決意							
君も蛮神「イフリート」と戦った時に、テンパードになったアマルジャ族を見ただろう。			君も蛮神「イフリート」と戦った時に、テンパードになったアマルジャ族を見ただろう。			クラクシオの決意							
テンパードにとって、蛮神は絶対の存在なの。……もう、こちらの言うことは通じない。やるしかないね……クラクシオを助けるよ！			テンパードにとって、蛮神は絶対の存在なの。……もう、こちらの言うことは通じない。やるしかないね……クラクシオを助けるよ！			クラクシオの決意							
（ＱＩＢ）			（ＱＩＢ）			クラクシオの決意							
助かったでふっち……。こわかったのでふっち……。			助かったでふっち……。こわかったのでふっち……。			クラクシオの決意							
クラクシオ！　怪我してないでふっち！？悪い子シルフになってないでふっち！？			クラクシオ！　怪我してないでふっち！？悪い子シルフになってないでふっち！？			クラクシオの決意							
コムシオ……どうして助けてくれたのでふっち？仮宿を出ていったアタピのこと、嫌いぢゃないのでふっち？			コムシオ……どうして助けてくれたのでふっち？仮宿を出ていったアタピのこと、嫌いぢゃないのでふっち？			クラクシオの決意							
クラクシオは大事な仲間なのでふっち！この冒険者も心配ちてくれたのでふっち。だから、助けるのはあたりまえのことでふっち！			クラクシオは大事な仲間なのでふっち！この冒険者も心配ちてくれたのでふっち。だから、助けるのはあたりまえのことでふっち！			クラクシオの決意							
コムシオ……ごめんなさいふっち……。アタピは怖かったのでふっち。			コムシオ……ごめんなさいふっち……。アタピは怖かったのでふっち。			クラクシオの決意							
仮宿のみんなが、シルフ族以外と仲良くしてたから、神ちゃまと一緒にいる子たちみたいに変わってしまったと思ったのでふっち。			仮宿のみんなが、シルフ族以外と仲良くしてたから、神ちゃまと一緒にいる子たちみたいに変わってしまったと思ったのでふっち。			クラクシオの決意							
でも、仲間のことが大事なのは変わってないのでふっち。アタピがおばかだったのでふっち……。			でも、仲間のことが大事なのは変わってないのでふっち。アタピがおばかだったのでふっち……。			クラクシオの決意							
……助けてくれて、ありがとうなのでふっち。「ヒト」にも良い子が居たのでふっち。先に、コムシオと仮宿に帰ってるでふっち！			……助けてくれて、ありがとうなのでふっち。「ヒト」にも良い子が居たのでふっち。先に、コムシオと仮宿に帰ってるでふっち！			クラクシオの決意							
一件落着だな。さて、僕たちも一度「シルフの仮宿」へ帰るとしよう。……モルボルの臭いも落としたいしね。			一件落着だな。さて、僕たちも一度「シルフの仮宿」へ帰るとしよう。……モルボルの臭いも落としたいしね。			クラクシオの決意							
クラクシオを助けてくれて、本当にありがとうでふっち。シルフ族はみんなで家族なのでふっち。大事な大事な家族でふっち！			クラクシオを助けてくれて、本当にありがとうでふっち。シルフ族はみんなで家族なのでふっち。大事な大事な家族でふっち！			クラクシオの決意							
……ふと、思ったのでふっち。きっとアナタは、わたぴらシルフ族とヒトとの仲をもっと深くつないでくれる英雄に違いないのでふっち！			……ふと、思ったのでふっち。きっとアナタは、わたぴらシルフ族とヒトとの仲をもっと深くつないでくれる英雄に違いないのでふっち！			クラクシオの決意							
頼りになって、お友達で、英雄のアナタになら、うちの長ちゃまに会うことを認めるのでふっち！			頼りになって、お友達で、英雄のアナタになら、うちの長ちゃまに会うことを認めるのでふっち！			クラクシオの決意							
……でも、長ちゃまは……。			……でも、長ちゃまは……。			クラクシオの決意							
テンパードシルフを倒せ！			テンパードシルフを倒せ！			クラクシオの決意							
ワタチたちは仲間……一緒に、神ちゃまのところに帰るでふっち。			ワタチたちは仲間……一緒に、神ちゃまのところに帰るでふっち。			クラクシオの決意							
イヤでふっち！　悪い子なんて、大嫌いでふっち！			イヤでふっち！　悪い子なんて、大嫌いでふっち！			クラクシオの決意							
邪魔でふっち……森の仲間を呼ぶでふっち……！			邪魔でふっち……森の仲間を呼ぶでふっち……！			クラクシオの決意							
モルボルだって！？テンパードのシルフに操られているのか！			モルボルだって！？テンパードのシルフに操られているのか！			クラクシオの決意							
あの子たちは、息がと～っても臭いのでふっち！浴びたらクラクラしちゃうでふっち！			あの子たちは、息がと～っても臭いのでふっち！浴びたらクラクラしちゃうでふっち！			クラクシオの決意							
うへぇ……モルボルはアタシとパパリモで抑えるから、キミは悪い子シルフたちをお願い！			うへぇ……モルボルはアタシとパパリモで抑えるから、キミは悪い子シルフたちをお願い！			クラクシオの決意							
このモルボルは様子が変だぞ……？モルボルは無視して、テンパードたちを倒すんだ！			このモルボルは様子が変だぞ……？モルボルは無視して、テンパードたちを倒すんだ！			クラクシオの決意							
うぅ、臭い～！　どうにかしてよ、パパリモ！			うぅ、臭い～！　どうにかしてよ、パパリモ！			クラクシオの決意							
僕だって我慢してるんだ！あと少し……テンパードたちを倒せば、きっと！			僕だって我慢してるんだ！あと少し……テンパードたちを倒せば、きっと！			クラクシオの決意							
シルフの仮宿のコムシオは、長のことで冒険者に伝えたいことがあるようだ。			シルフの仮宿のコムシオは、長のことで冒険者に伝えたいことがあるようだ。			ただよえる長老							
シルフの長は行方不明らしい。行方を追う前に、グリダニアの双蛇党：統合司令部にいる「ボルセル大牙佐」と話してみよう。			シルフの長は行方不明らしい。行方を追う前に、グリダニアの双蛇党：統合司令部にいる「ボルセル大牙佐」と話してみよう。			ただよえる長老							
ボルセル大牙佐は、捜索に協力してくれるようだ。グリダニアの南部森林に向かう前に、ベントブランチ牧場の「ギア・モルコー」と話そう。			ボルセル大牙佐は、捜索に協力してくれるようだ。グリダニアの南部森林に向かう前に、ベントブランチ牧場の「ギア・モルコー」と話そう。			ただよえる長老							
鬼哭隊のギア・モルコーも、捜索に協力してくれるようだ。南部森林へ向かい、酒房「バスカロンドラザーズ」の「バスカロン」と話そう。			鬼哭隊のギア・モルコーも、捜索に協力してくれるようだ。南部森林へ向かい、酒房「バスカロンドラザーズ」の「バスカロン」と話そう。			ただよえる長老							
バスカロンと話した。シルフの長の行方について、バスカロンも酒場の情報網を活かして協力してくれるそうだ。			バスカロンと話した。シルフの長の行方について、バスカロンも酒場の情報網を活かして協力してくれるそうだ。			ただよえる長老							
双蛇党：統合司令部のボルセル大牙佐に話す			双蛇党：統合司令部のボルセル大牙佐に話す			ただよえる長老							
ベントブランチのギア・モルコーに話す			ベントブランチのギア・モルコーに話す			ただよえる長老							
酒房「バスカロンドラザーズ」のバスカロンと話す			酒房「バスカロンドラザーズ」のバスカロンと話す			ただよえる長老							
アナタには、いろいろ感謝しっぱなちでふっち。うちの長ちゃまに会ってほしいけど…………実は、今は居ないのでふっち。			アナタには、いろいろ感謝しっぱなちでふっち。うちの長ちゃまに会ってほしいけど…………実は、今は居ないのでふっち。			ただよえる長老							
少し前に、森に不穏な気配を感じたとかで、南部森林に出かけたきり、しばらく帰ってきていないのでふっち。			少し前に、森に不穏な気配を感じたとかで、南部森林に出かけたきり、しばらく帰ってきていないのでふっち。			ただよえる長老							
長ちゃまが、こんなに長い間、仮宿を留守にすることは、今までなかったのでふっち。なんだか心配だから、調べてきてほちいのでふっち！			長ちゃまが、こんなに長い間、仮宿を留守にすることは、今までなかったのでふっち。なんだか心配だから、調べてきてほちいのでふっち！			ただよえる長老							
長ちゃまが向かった辺りは、「バスカロン」という「ヒト」がハバを利かせているのでふっち。			長ちゃまが向かった辺りは、「バスカロン」という「ヒト」がハバを利かせているのでふっち。			ただよえる長老							
……わたぴよりも、アナタみたいな冒険者が行ったほうが、バスカロンとの話も早そうなのでふっち。シルフ族とヒトとの仲のため、お願いするでふっち！			……わたぴよりも、アナタみたいな冒険者が行ったほうが、バスカロンとの話も早そうなのでふっち。シルフ族とヒトとの仲のため、お願いするでふっち！			ただよえる長老							
……そうでふっち。アナタたちは、グリダニアから来たんでふっち？			……そうでふっち。アナタたちは、グリダニアから来たんでふっち？			ただよえる長老							
だったら、一度グリダニアに報告に行ったほうがいいかもちれないのでふっち。黙ってココを離れたら、怒られるかもしれないでふっち。			だったら、一度グリダニアに報告に行ったほうがいいかもちれないのでふっち。黙ってココを離れたら、怒られるかもしれないでふっち。			ただよえる長老							
おや、特使殿じゃないか。どうかな、シルフ族の考えを聞けただろうか？			おや、特使殿じゃないか。どうかな、シルフ族の考えを聞けただろうか？			ただよえる長老							
……へえ、彼らの長老が行方知れずとはね。それは一大事だ、捜索に協力してあげたまえよ。もちろん、僕らも注意しておくがね。			……へえ、彼らの長老が行方知れずとはね。それは一大事だ、捜索に協力してあげたまえよ。もちろん、僕らも注意しておくがね。			ただよえる長老							
そうだ、南部森林方面へ向かうのであれば、道中の「ベントブランチ牧場」に立ち寄ってくれないか？			そうだ、南部森林方面へ向かうのであれば、道中の「ベントブランチ牧場」に立ち寄ってくれないか？			ただよえる長老							
シルフ族の長老を街道沿いで見かけたら保護するよう、鬼哭隊の「ギア・モルコー」に伝えてほしいんだよ。			シルフ族の長老を街道沿いで見かけたら保護するよう、鬼哭隊の「ギア・モルコー」に伝えてほしいんだよ。			ただよえる長老							
私が鬼哭隊のギア・モルコーだが？……「双蛇党」のボルセル大牙佐から伝言だと？了解した、早急に手配しよう。			私が鬼哭隊のギア・モルコーだが？……「双蛇党」のボルセル大牙佐から伝言だと？了解した、早急に手配しよう。			ただよえる長老							
……ふむ、これからバスカロンのところに行くのか？ならば、この森を南に抜けるといい。奴は南部森林で酒場を開いてるからな。			……ふむ、これからバスカロンのところに行くのか？ならば、この森を南に抜けるといい。奴は南部森林で酒場を開いてるからな。			ただよえる長老							
よう、よく来たな。俺は鉄腕のバスカロン。この酒房「バスカロンドラザーズ」の店主だ。			よう、よく来たな。俺は鉄腕のバスカロン。この酒房「バスカロンドラザーズ」の店主だ。			ただよえる長老							
お前さん、この辺りでは、あまり見ない顔だな。まぁ、ゆっくりして行くといいさ。			お前さん、この辺りでは、あまり見ない顔だな。まぁ、ゆっくりして行くといいさ。			ただよえる長老							
……なに、シルフの長老が行方知れずだって？そいつは良くない話だな。よし、俺も調べておいてやろう。			……なに、シルフの長老が行方知れずだって？そいつは良くない話だな。よし、俺も調べておいてやろう。			ただよえる長老							
ここには、衛士に商人、それに冒険者まで、幅広い客が一時の羽根休めにやってくる。……情報を集めるには持ってこいの場所だからな。			ここには、衛士に商人、それに冒険者まで、幅広い客が一時の羽根休めにやってくる。……情報を集めるには持ってこいの場所だからな。			ただよえる長老							
酒房「バスカロンドラザーズ」のバスカロンは、さっそく冒険者に仕事を与えたいようだ。			酒房「バスカロンドラザーズ」のバスカロンは、さっそく冒険者に仕事を与えたいようだ。			バスカロンドラザーズの掟							
バスカロンは暴れている客を穏便に止めて欲しいようだ。酒房「バスカロンドラザーズ」の「ミッドランダー族の酔客」に「冷水入りの木桶」を使おう。			バスカロンは暴れている客を穏便に止めて欲しいようだ。酒房「バスカロンドラザーズ」の「ミッドランダー族の酔客」に「冷水入りの木桶」を使おう。			バスカロンドラザーズの掟							
暴れていた酔客はいなくなった。バスカロンに報告しよう。			暴れていた酔客はいなくなった。バスカロンに報告しよう。			バスカロンドラザーズの掟							
バスカロンに報告した。この酒場は行儀よく飲むのなら、ならず者であっても酒を振る舞う、数少ない酒場なのだそうだ。			バスカロンに報告した。この酒場は行儀よく飲むのなら、ならず者であっても酒を振る舞う、数少ない酒場なのだそうだ。			バスカロンドラザーズの掟							
ミッドランダー族の酔客に冷水入りの木桶を使う			ミッドランダー族の酔客に冷水入りの木桶を使う			バスカロンドラザーズの掟							
バスカロンに報告			バスカロンに報告			バスカロンドラザーズの掟							
受注するには、進行中のメインクエストを破棄する必要があります。メインコマンドの「コンテンツ情報」から、「ジャーナル」を選び、破棄してください。			受注するには、進行中のメインクエストを破棄する必要があります。メインコマンドの「コンテンツ情報」から、「ジャーナル」を選び、破棄してください。			バスカロンドラザーズの掟							
シルフの長老の情報が入ってくるまで、少し時間がかかるだろう。せっかくだ、情報を待つ間に依頼を受けてみねえか。			シルフの長老の情報が入ってくるまで、少し時間がかかるだろう。せっかくだ、情報を待つ間に依頼を受けてみねえか。			バスカロンドラザーズの掟							
なに、ことは簡単だ。外のテーブルで暴れている奴を止めてきてほしいのさ。			なに、ことは簡単だ。外のテーブルで暴れている奴を止めてきてほしいのさ。			バスカロンドラザーズの掟							
特に腕っ節はいらないぜ。この木桶に入った冷たい水を、頭からかけてやれば、酔いも覚めて冷静になるだろう。			特に腕っ節はいらないぜ。この木桶に入った冷たい水を、頭からかけてやれば、酔いも覚めて冷静になるだろう。			バスカロンドラザーズの掟							
うちの店では、飲むも騒ぐも構わんが、他人様に迷惑をかけるのだけは厳禁だ。ここの掟ってのを、しっかりと教えこんでやらねぇとな。			うちの店では、飲むも騒ぐも構わんが、他人様に迷惑をかけるのだけは厳禁だ。ここの掟ってのを、しっかりと教えこんでやらねぇとな。			バスカロンドラザーズの掟							
おら、何見てんだ……ひっく！……やんのかオラ！見せモンじゃねぇぞ、コラァ！			おら、何見てんだ……ひっく！……やんのかオラ！見せモンじゃねぇぞ、コラァ！			バスカロンドラザーズの掟							
くそ……。ここがバスカロンのオヤジの酒場じゃなかったら、すぐに殴り倒してやるところなのに……。			くそ……。ここがバスカロンのオヤジの酒場じゃなかったら、すぐに殴り倒してやるところなのに……。			バスカロンドラザーズの掟							
ぶわっ！　冷てぇ！　てめぇ、何しやがる！……ああん？ケンカって、この「シェーダー」野郎が……。			ぶわっ！　冷てぇ！　てめぇ、何しやがる！……ああん？ケンカって、この「シェーダー」野郎が……。			バスカロンドラザーズの掟							
……この酒場で暴れるのはご法度、ってことか。くそ、今日はこの辺で勘弁してやる！			……この酒場で暴れるのはご法度、ってことか。くそ、今日はこの辺で勘弁してやる！			バスカロンドラザーズの掟							
ありがとうよ、おかげで面倒事にならずにすんだぜ。……ここは、俺たちのような「ならず者」も、受け入れてくれる数少ない酒場だ。			ありがとうよ、おかげで面倒事にならずにすんだぜ。……ここは、俺たちのような「ならず者」も、受け入れてくれる数少ない酒場だ。			バスカロンドラザーズの掟							
オヤジに迷惑をかけないためにも、酒場の掟は絶対だ。だから、店でのもめ事は避けてるのさ。			オヤジに迷惑をかけないためにも、酒場の掟は絶対だ。だから、店でのもめ事は避けてるのさ。			バスカロンドラザーズの掟							
よう、ご苦労だったな！酔っ払った勢いで、気に食わない相手に喧嘩を売るたぁ、あとでキツイ灸をすえてやらんとなぁ。			よう、ご苦労だったな！酔っ払った勢いで、気に食わない相手に喧嘩を売るたぁ、あとでキツイ灸をすえてやらんとなぁ。			バスカロンドラザーズの掟							
……いちゃもんをつけられてたのは「シェーダー族」だ。奴らは、都市から離れて森に暮らす者が多いため、「ならず者」と見られることが少なくない。			……いちゃもんをつけられてたのは「シェーダー族」だ。奴らは、都市から離れて森に暮らす者が多いため、「ならず者」と見られることが少なくない。			バスカロンドラザーズの掟							
確かに、ぶっきらぼうな連中だが、話をしてみりゃ、さほど悪い奴らじゃあねぇ。シェーダー族ってだけで締め出すのは酷ってもんだ。			確かに、ぶっきらぼうな連中だが、話をしてみりゃ、さほど悪い奴らじゃあねぇ。シェーダー族ってだけで締め出すのは酷ってもんだ。			バスカロンドラザーズの掟							
金を払って行儀よく酒を飲む奴なら、誰でも受け入れる。そんな場所がひとつくらいあってもいいだろう？この「バスカロンドラザーズ」は、そんな酒場さ。			金を払って行儀よく酒を飲む奴なら、誰でも受け入れる。そんな場所がひとつくらいあってもいいだろう？この「バスカロンドラザーズ」は、そんな酒場さ。			バスカロンドラザーズの掟							
酒房「バスカロンドラザーズ」のバスカロンは、さっそく冒険者に仕事を与えたいようだ。			酒房「バスカロンドラザーズ」のバスカロンは、さっそく冒険者に仕事を与えたいようだ。			バスカロンドラザーズの掟							
*本クエストは調整されました。一度破棄し、酒房「バスカロンドラザーズ」の「バスカロン」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			*本クエストは調整されました。一度破棄し、酒房「バスカロンドラザーズ」の「バスカロン」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			バスカロンドラザーズの掟							
酒場の裏手の川に、入手した「空の木桶」を置こう。			酒場の裏手の川に、入手した「空の木桶」を置こう。			バスカロンドラザーズの掟							
設置した「空の木桶」に水を汲もう			設置した「空の木桶」に水を汲もう			バスカロンドラザーズの掟							
「冷水入りの木桶」を入手しよう。			「冷水入りの木桶」を入手しよう。			バスカロンドラザーズの掟							
酒房「バスカロンドラザーズ」に戻り、「ミッドランダーの酔客」に「冷水入りの木桶」を使おう。			酒房「バスカロンドラザーズ」に戻り、「ミッドランダーの酔客」に「冷水入りの木桶」を使おう。			バスカロンドラザーズの掟							
暴れていた酔客はいなくなった。バスカロンに報告しよう。			暴れていた酔客はいなくなった。バスカロンに報告しよう。			バスカロンドラザーズの掟							
バスカロンに報告した。この酒場は行儀よく飲むのなら、ならず者であっても酒を振る舞う、数少ない酒場なのだそうだ。			バスカロンに報告した。この酒場は行儀よく飲むのなら、ならず者であっても酒を振る舞う、数少ない酒場なのだそうだ。			バスカロンドラザーズの掟							
*本クエストは調整されました。一度破棄し、酒房「バスカロンドラザーズ」のバスカロンから再受注してください			*本クエストは調整されました。一度破棄し、酒房「バスカロンドラザーズ」のバスカロンから再受注してください			バスカロンドラザーズの掟							
シルフの長老の情報が入ってくるまで、少し時間がかかるだろう。せっかくだ、情報を待つ間に依頼を受けてみねえか。			シルフの長老の情報が入ってくるまで、少し時間がかかるだろう。せっかくだ、情報を待つ間に依頼を受けてみねえか。			バスカロンドラザーズの掟							
なに、ことは簡単だ。外のテーブルで暴れている奴を止めてきてほしいのさ。			なに、ことは簡単だ。外のテーブルで暴れている奴を止めてきてほしいのさ。			バスカロンドラザーズの掟							
特に腕っ節はいらないぜ。店の出口にある「木桶」に水を汲んで、頭からかけてやれば、酔いも覚めて冷静になるだろう。			特に腕っ節はいらないぜ。店の出口にある「木桶」に水を汲んで、頭からかけてやれば、酔いも覚めて冷静になるだろう。			バスカロンドラザーズの掟							
うちの店では、飲むも騒ぐも構わんが、他人様に迷惑をかけるのだけは厳禁だ。ここの掟ってのを、しっかりと教えこんでやらねぇとな。			うちの店では、飲むも騒ぐも構わんが、他人様に迷惑をかけるのだけは厳禁だ。ここの掟ってのを、しっかりと教えこんでやらねぇとな。			バスカロンドラザーズの掟							
（酒某の裏手にある「空になった釜」にアクセス、入手）			（酒某の裏手にある「空になった釜」にアクセス、入手）			バスカロンドラザーズの掟							
（川べりの指定地点に「空になった釜」を設置する）			（川べりの指定地点に「空になった釜」を設置する）			バスカロンドラザーズの掟							
（設置された「空になった釜」にアクションする　水をくむイメージ）			（設置された「空になった釜」にアクションする　水をくむイメージ）			バスカロンドラザーズの掟							
（「水で満たされた釜」にアクセスし、入手）			（「水で満たされた釜」にアクセスし、入手）			バスカロンドラザーズの掟							
おら、何見てんだ……ひっく！……やんのかオラ！見せモンじゃねぇぞ、コラァ！			おら、何見てんだ……ひっく！……やんのかオラ！見せモンじゃねぇぞ、コラァ！			バスカロンドラザーズの掟							
くそ……。ここがバスカロンのオヤジの酒場じゃなかったら、すぐに殴り倒してやるところなのに……。			くそ……。ここがバスカロンのオヤジの酒場じゃなかったら、すぐに殴り倒してやるところなのに……。			バスカロンドラザーズの掟							
ぶわっ！　冷てぇ！　てめぇ、何しやがる！……ああん？ケンカって、この「シェーダー」野郎が……。			ぶわっ！　冷てぇ！　てめぇ、何しやがる！……ああん？ケンカって、この「シェーダー」野郎が……。			バスカロンドラザーズの掟							
……この酒場で暴れるのはご法度、ってことか。くそ、今日はこの辺で勘弁してやる！			……この酒場で暴れるのはご法度、ってことか。くそ、今日はこの辺で勘弁してやる！			バスカロンドラザーズの掟							
ありがとうよ、おかげで面倒事にならずにすんだぜ。……ここは、俺たちのような「ならず者」も、受け入れてくれる数少ない酒場だ。			ありがとうよ、おかげで面倒事にならずにすんだぜ。……ここは、俺たちのような「ならず者」も、受け入れてくれる数少ない酒場だ。			バスカロンドラザーズの掟							
オヤジに迷惑をかけないためにも、酒場の掟は絶対だ。だから、店でのもめ事は避けてるのさ。			オヤジに迷惑をかけないためにも、酒場の掟は絶対だ。だから、店でのもめ事は避けてるのさ。			バスカロンドラザーズの掟							
よう、ご苦労だったな！酔っ払った勢いで、気に食わない相手に喧嘩を売るたぁ、あとでキツイ灸をすえてやらんとなぁ。			よう、ご苦労だったな！酔っ払った勢いで、気に食わない相手に喧嘩を売るたぁ、あとでキツイ灸をすえてやらんとなぁ。			バスカロンドラザーズの掟							
……いちゃもんをつけられてたのは「シェーダー族」だ。奴らは、都市から離れて森に暮らす者が多いため、「ならず者」と見られることが少なくない。			……いちゃもんをつけられてたのは「シェーダー族」だ。奴らは、都市から離れて森に暮らす者が多いため、「ならず者」と見られることが少なくない。			バスカロンドラザーズの掟							
確かに、ぶっきらぼうな連中だが、話をしてみりゃ、さほど悪い奴らじゃあねぇ。シェーダー族ってだけで締め出すのは酷ってもんだ。			確かに、ぶっきらぼうな連中だが、話をしてみりゃ、さほど悪い奴らじゃあねぇ。シェーダー族ってだけで締め出すのは酷ってもんだ。			バスカロンドラザーズの掟							
金を払って行儀よく酒を飲む奴なら、誰でも受け入れる。そんな場所がひとつくらいあってもいいだろう？この「バスカロンドラザーズ」は、そんな酒場さ。			金を払って行儀よく酒を飲む奴なら、誰でも受け入れる。そんな場所がひとつくらいあってもいいだろう？この「バスカロンドラザーズ」は、そんな酒場さ。			バスカロンドラザーズの掟							
