シリウス大灯台のダヴィッドは鍛冶師を出迎えたいようだ。			シリウス大灯台のダヴィッドは鍛冶師を出迎えたいようだ。			狂気の歌声							
幽霊騒ぎも気がかりだけど、復興も進めないといけないからね……。すまないが、ミミドアさんの出迎えに行ってくれないか。			幽霊騒ぎも気がかりだけど、復興も進めないといけないからね……。すまないが、ミミドアさんの出迎えに行ってくれないか。			狂気の歌声							
おう、Forenameどんか。……それで、島の様子はどうなっとるね？			おう、Forenameどんか。……それで、島の様子はどうなっとるね？			狂気の歌声							
……魔物が溢れて灯台修復どころではないか。思うたとおり……やはりそうじゃったか。			……魔物が溢れて灯台修復どころではないか。思うたとおり……やはりそうじゃったか。			狂気の歌声							
「謎の歌声で巷に亡霊があふれかえる……」……実は以前、これと似たような事件に出くわしたことがあったのじゃぞい。			「謎の歌声で巷に亡霊があふれかえる……」……実は以前、これと似たような事件に出くわしたことがあったのじゃぞい。			狂気の歌声							
……美しか歌声で船乗りを惑わせ、船を暗礁に導いて沈没させる……。伝説の魔物「セイレーン」の仕業に違いないぞい！			……美しか歌声で船乗りを惑わせ、船を暗礁に導いて沈没させる……。伝説の魔物「セイレーン」の仕業に違いないぞい！			狂気の歌声							
セイレーンの歌声は聴く者を虜にして精気を吸い取り、その意のままに動く、生きた屍にするという話だぞい。			セイレーンの歌声は聴く者を虜にして精気を吸い取り、その意のままに動く、生きた屍にするという話だぞい。			狂気の歌声							
今回の魔物たちも……海で死んだ船乗りや、海賊たちの亡霊だと思うぞい。			今回の魔物たちも……海で死んだ船乗りや、海賊たちの亡霊だと思うぞい。			狂気の歌声							
こんままでは被害が拡大し、いずれはラノシア本土にも亡霊が溢れかえることになるぞい。そうなる前に、セイレーンを討たにゃならんぞい！			こんままでは被害が拡大し、いずれはラノシア本土にも亡霊が溢れかえることになるぞい。そうなる前に、セイレーンを討たにゃならんぞい！			狂気の歌声							
……おう、大事なモンを忘れていたぞい。これは「ミミドア式耳栓」じゃぞい。これがなければ、奴の歌声の虜になってしまうぞい！			……おう、大事なモンを忘れていたぞい。これは「ミミドア式耳栓」じゃぞい。これがなければ、奴の歌声の虜になってしまうぞい！			狂気の歌声							
奴は「船の墓場」に現れるはず……。そこに張りこんで、セイレーンを退治するぞい！そんじゃ、わしはちっと先に行っとるぞい！！			奴は「船の墓場」に現れるはず……。そこに張りこんで、セイレーンを退治するぞい！そんじゃ、わしはちっと先に行っとるぞい！！			狂気の歌声							
浜辺に焚き火を用意しといたからの。あそこでちくっと待って、様子を見るぞい。運が良ければ、セイレーンに会えるはずじゃぞい！			浜辺に焚き火を用意しといたからの。あそこでちくっと待って、様子を見るぞい。運が良ければ、セイレーンに会えるはずじゃぞい！			狂気の歌声							
船の墓場の焚き火(指定地点)で待機→QIB			船の墓場の焚き火(指定地点)で待機→QIB			狂気の歌声							
ここに現れるというのは、やっぱり、ただの噂だったのかのう……。			ここに現れるというのは、やっぱり、ただの噂だったのかのう……。			狂気の歌声							
……ん？なんじゃ、この歌は……。			……ん？なんじゃ、この歌は……。			狂気の歌声							
……ほ、ほんとに出おったぞい！あ、あれが、伝説の魔物「セイレーン」じゃ！！			……ほ、ほんとに出おったぞい！あ、あれが、伝説の魔物「セイレーン」じゃ！！			狂気の歌声							
あの時の事件と同じならば、奴は海上から動かず、下僕の亡霊たちをけしかけてくるはずじゃ……。……あとのことは任せたぞい！			あの時の事件と同じならば、奴は海上から動かず、下僕の亡霊たちをけしかけてくるはずじゃ……。……あとのことは任せたぞい！			狂気の歌声							
あっぱれだったぞい、Forenameどん！しかし……奴に逃げられてしもうたことは残念だのう。			あっぱれだったぞい、Forenameどん！しかし……奴に逃げられてしもうたことは残念だのう。			狂気の歌声							
……わしの悲願は、憎きセイレーンを討滅することなのよ。かつて奴の歌声を聴き、海に還ってしもうた鍛冶師ギルドの者らの仇を討つまで、わしは絶対に諦めん。			……わしの悲願は、憎きセイレーンを討滅することなのよ。かつて奴の歌声を聴き、海に還ってしもうた鍛冶師ギルドの者らの仇を討つまで、わしは絶対に諦めん。			狂気の歌声							
さてと、それじゃあ、ここらでさらばじゃぞい。どこかで会ったときには、また力を貸してほしいぞい！			さてと、それじゃあ、ここらでさらばじゃぞい。どこかで会ったときには、また力を貸してほしいぞい！			狂気の歌声							
なんと……セイレーンだと！？あの伝説の魔物が黒幕だったか……。			なんと……セイレーンだと！？あの伝説の魔物が黒幕だったか……。			狂気の歌声							
逃げられたのは惜しいけど……。島から去ったのなら、幽霊騒ぎも少しは落ち着けばよいが。ともかく、大灯台の修復には、じきに取りかかれるだろう。			逃げられたのは惜しいけど……。島から去ったのなら、幽霊騒ぎも少しは落ち着けばよいが。ともかく、大灯台の修復には、じきに取りかかれるだろう。			狂気の歌声							
礼というわけではないけど、これは約束の品。大灯台で採れた「偏属性クリスタル」の欠片だよ。ちゃんと壺に入れておいたからな！　ありがとよ！			礼というわけではないけど、これは約束の品。大灯台で採れた「偏属性クリスタル」の欠片だよ。ちゃんと壺に入れておいたからな！　ありがとよ！			狂気の歌声							
おかえりー！　どうだった、どうだった？……幽霊は怖くなかった？			おかえりー！　どうだった、どうだった？……幽霊は怖くなかった？			狂気の歌声							
おおっ！　「偏属性クリスタル」じゃん！でかしたーっ！			おおっ！　「偏属性クリスタル」じゃん！でかしたーっ！			狂気の歌声							
あ、でも……これって、「風属性を水属性に変換するクリスタル」じゃん？う～ん、君が欲しいのじゃなかったねー。			あ、でも……これって、「風属性を水属性に変換するクリスタル」じゃん？う～ん、君が欲しいのじゃなかったねー。			狂気の歌声							
でも、あと「水を土に換えるクリスタル」があれば、目的達成ってわけじゃないっ！？あとひとつ！　がんばれーっ！			でも、あと「水を土に換えるクリスタル」があれば、目的達成ってわけじゃないっ！？あとひとつ！　がんばれーっ！			狂気の歌声							
そうだ、さっきランベルタン先生から連絡があって、このクリスタルは壺ごと、グリダニア・ランディングまで送っておくようにと言われたよ！　任せといてー！			そうだ、さっきランベルタン先生から連絡があって、このクリスタルは壺ごと、グリダニア・ランディングまで送っておくようにと言われたよ！　任せといてー！			狂気の歌声							
？？？？			？？？？			狂気の歌声							
亡者たちを倒せ！			亡者たちを倒せ！			狂気の歌声							
♪また　哀れな罪人が迷い込んだ　私を求めて……　いいわ　貴方の愛に寄り添ってあげる　私の歌で永遠に			♪また　哀れな罪人が迷い込んだ　私を求めて……　いいわ　貴方の愛に寄り添ってあげる　私の歌で永遠に			狂気の歌声							
♪可哀想に貴方には　私の愛が届かないだなんて　いいわ　ならば罪人のまま亡者と踊れ　私の歌で延々と			♪可哀想に貴方には　私の愛が届かないだなんて　いいわ　ならば罪人のまま亡者と踊れ　私の歌で延々と			狂気の歌声							
♪愛は亡者となりて朽ち果てず　とこしえに朽ち果てず　愛を求め　私を求め　踊り続ける運命の中で……			♪愛は亡者となりて朽ち果てず　とこしえに朽ち果てず　愛を求め　私を求め　踊り続ける運命の中で……			狂気の歌声							
♪哀れな罪人を駆り立てるは　憎悪か絶望か　踊り続ける宿命の中で　罪人の想いは消えていく……			♪哀れな罪人を駆り立てるは　憎悪か絶望か　踊り続ける宿命の中で　罪人の想いは消えていく……			狂気の歌声							
♪愛の歌声は潮風に乗り　亡者とともに届けられる　私を愛しすぎた　罪深き貴方のもとへ……			♪愛の歌声は潮風に乗り　亡者とともに届けられる　私を愛しすぎた　罪深き貴方のもとへ……			狂気の歌声							
♪恋に落ちて　愛に溺れ　哀れな罪人となった……　貴方の体は血を流し　貴方の心は血を啜る			♪恋に落ちて　愛に溺れ　哀れな罪人となった……　貴方の体は血を流し　貴方の心は血を啜る			狂気の歌声							
♪愛しすぎた私は　愛の歌を強く奏でる　哀しすぎた貴方を　最期に……			♪愛しすぎた私は　愛の歌を強く奏でる　哀しすぎた貴方を　最期に……			狂気の歌声							
♪時は終焉を告げ　亡者の舞踏会も幕が下りる……　いつかまた逢いましょう　愛の輪廻の輪の中で……			♪時は終焉を告げ　亡者の舞踏会も幕が下りる……　いつかまた逢いましょう　愛の輪廻の輪の中で……			狂気の歌声							
シリウス大灯台のダヴィッドは、冒険者に頼みたいことがあるようだ。			シリウス大灯台のダヴィッドは、冒険者に頼みたいことがあるようだ。			波間よりいずる者							
幻影諸島で起こっている怪異を解決することになった。まずはシリウス大灯台周辺で情報を集めよう。			幻影諸島で起こっている怪異を解決することになった。まずはシリウス大灯台周辺で情報を集めよう。			波間よりいずる者							
情報を集めることができた。シリウス大灯台に戻り「ダヴィッド」に報告しよう。			情報を集めることができた。シリウス大灯台に戻り「ダヴィッド」に報告しよう。			波間よりいずる者							
「船の墓場」の近くで、美しい「歌声」が聞こえるという。島に魔物があふれかえっているのは、その「歌声」が元凶かもしれない。			「船の墓場」の近くで、美しい「歌声」が聞こえるという。島に魔物があふれかえっているのは、その「歌声」が元凶かもしれない。			波間よりいずる者							
幻影諸島の冒険者と話す			幻影諸島の冒険者と話す			波間よりいずる者							
ダヴィッドに報告			ダヴィッドに報告			波間よりいずる者							
現在、この「シリウス大灯台」は閉鎖中なんだ。霊災前は地脈から噴き出すエーテルを使って発光させる、当時、最新鋭の灯台だったんだけど……。			現在、この「シリウス大灯台」は閉鎖中なんだ。霊災前は地脈から噴き出すエーテルを使って発光させる、当時、最新鋭の灯台だったんだけど……。			波間よりいずる者							
第七霊災のとき、火の玉が直撃してな。その衝撃でエーテルが不安定な形で固まっちまった。内部は崩壊の危険もあるから、立ち入り禁止になってるんだ。			第七霊災のとき、火の玉が直撃してな。その衝撃でエーテルが不安定な形で固まっちまった。内部は崩壊の危険もあるから、立ち入り禁止になってるんだ。			波間よりいずる者							
どうしても偏属性クリスタルが欲しいなら、俺が採ってきてやってもいいけど……。その前に、俺の頼みを聞いてくれないか？			どうしても偏属性クリスタルが欲しいなら、俺が採ってきてやってもいいけど……。その前に、俺の頼みを聞いてくれないか？			波間よりいずる者							
この「幻影諸島」で幽霊が出るという噂は聞いてるだろう？……話が独り歩きしているようだが、実は、あれは幽霊ではなくて魔物なんだ。			この「幻影諸島」で幽霊が出るという噂は聞いてるだろう？……話が独り歩きしているようだが、実は、あれは幽霊ではなくて魔物なんだ。			波間よりいずる者							
……夜になると浜辺から得体の知れない魔物が現れ、あちこちを徘徊するのさ……。幽霊が出るって噂が広まっても仕方ない状況だよ。			……夜になると浜辺から得体の知れない魔物が現れ、あちこちを徘徊するのさ……。幽霊が出るって噂が広まっても仕方ない状況だよ。			波間よりいずる者							
おかげで、技師たちが寄りつかず、一向に修理が進まないんだ。幸い、このバカでかい偏属性クリスタルの輝きが、灯台の役目を果たしているけどね。			おかげで、技師たちが寄りつかず、一向に修理が進まないんだ。幸い、このバカでかい偏属性クリスタルの輝きが、灯台の役目を果たしているけどね。			波間よりいずる者							
冒険者の君に、この魔物の調査をしてもらいたいんだ。……冒険者から目撃情報を得られるかもしれない。まずは彼らの話を聞いてみてくれ。			冒険者の君に、この魔物の調査をしてもらいたいんだ。……冒険者から目撃情報を得られるかもしれない。まずは彼らの話を聞いてみてくれ。			波間よりいずる者							
霊災以降に潮の流れが変わったらしく、島に難破船が漂着するようになった。そしてついた地名が「船の墓場」……薄気味悪いぜ。			霊災以降に潮の流れが変わったらしく、島に難破船が漂着するようになった。そしてついた地名が「船の墓場」……薄気味悪いぜ。			波間よりいずる者							
南の「船の墓場」って呼ばれてる海岸には、夜になると幽霊が出るんだ……！俺はこの目で見たんだからな！　思い出すと怖ぇぜ……。			南の「船の墓場」って呼ばれてる海岸には、夜になると幽霊が出るんだ……！俺はこの目で見たんだからな！　思い出すと怖ぇぜ……。			波間よりいずる者							
「船の墓場」に行くと、歌声が聞こえるらしい。それはそれは美しい、素晴らしい歌声……。歌を聞いた者は憑り殺され、幽霊にされちまうって話だぜ……。			「船の墓場」に行くと、歌声が聞こえるらしい。それはそれは美しい、素晴らしい歌声……。歌を聞いた者は憑り殺され、幽霊にされちまうって話だぜ……。			波間よりいずる者							
「船の墓場」で聞こえる歌声……？では、この島に魔物が溢れているのは、その「歌声」が元凶だっていうのか……？			「船の墓場」で聞こえる歌声……？では、この島に魔物が溢れているのは、その「歌声」が元凶だっていうのか……？			波間よりいずる者							
エールポートのシアーナは幻影諸島へ向かいたいようだ。			エールポートのシアーナは幻影諸島へ向かいたいようだ。			島に乗りこめ！							
特別渡航許可証は持っている。エールポートの桟橋にいる「幻影諸島行きの船頭」に話しかけて、幻影諸島へ運んでもらおう。			特別渡航許可証は持っている。エールポートの桟橋にいる「幻影諸島行きの船頭」に話しかけて、幻影諸島へ運んでもらおう。			島に乗りこめ！							
幻影諸島についた。これからの行動について「シアーナ」と話そう。			幻影諸島についた。これからの行動について「シアーナ」と話そう。			島に乗りこめ！							
シアーナは足が震えて動けないらしい。シリウス大灯台の「ダヴィッド」に「絶霊体の壺」を渡そう。			シアーナは足が震えて動けないらしい。シリウス大灯台の「ダヴィッド」に「絶霊体の壺」を渡そう。			島に乗りこめ！							
ダヴィッドに絶霊体の壺を渡した。しかし、何か問題が発生しているようだ。			ダヴィッドに絶霊体の壺を渡した。しかし、何か問題が発生しているようだ。			島に乗りこめ！							
幻影諸島行きの船頭と話す			幻影諸島行きの船頭と話す			島に乗りこめ！							
幻影諸島のシアーナと話す			幻影諸島のシアーナと話す			島に乗りこめ！							
シリウス大灯台のダヴィッドに絶霊体の壺を渡す			シリウス大灯台のダヴィッドに絶霊体の壺を渡す			島に乗りこめ！							
ううう、サイアク……。君、強いんでしょ？　幽霊が出たら守ってよね！私を置いて逃げたらゼッタイ許さないんだから！			ううう、サイアク……。君、強いんでしょ？　幽霊が出たら守ってよね！私を置いて逃げたらゼッタイ許さないんだから！			島に乗りこめ！							
じゃあ「幻影諸島」行きの船着場に行くよ……。ううう、怖い……さ、先行ってて。お手洗い行ってから追いかけるから……。			じゃあ「幻影諸島」行きの船着場に行くよ……。ううう、怖い……さ、先行ってて。お手洗い行ってから追いかけるから……。			島に乗りこめ！							
こんな時に「幻影諸島」に行くのかね？……ちゃんと許可証もあるようだな……。じゃあ、乗りな……クックックッ……。			こんな時に「幻影諸島」に行くのかね？……ちゃんと許可証もあるようだな……。じゃあ、乗りな……クックックッ……。			島に乗りこめ！							
はー、着いた着いた。……どうやら、見た感じは普通みたいね。			はー、着いた着いた。……どうやら、見た感じは普通みたいね。			島に乗りこめ！							
わ、わわわ悪いんだけど、ここから先はひとりで行ってくれない？あ、足が震えて……う、動けないの……。			わ、わわわ悪いんだけど、ここから先はひとりで行ってくれない？あ、足が震えて……う、動けないの……。			島に乗りこめ！							
あ、これ預かっていた「絶霊体の壺」ね。灯台守さんに渡せばいいから。じゃ、クリスタル回収、よろしくーっ！			あ、これ預かっていた「絶霊体の壺」ね。灯台守さんに渡せばいいから。じゃ、クリスタル回収、よろしくーっ！			島に乗りこめ！							
「幻影諸島」に行くのかね？じゃあ、乗りな……クックックッ……。			「幻影諸島」に行くのかね？じゃあ、乗りな……クックックッ……。			島に乗りこめ！							
あーっ！　あんたーっ！島に私を置いて、ひとりで逃げやがってーっ！マジ怖かったんだからーっ！			あーっ！　あんたーっ！島に私を置いて、ひとりで逃げやがってーっ！マジ怖かったんだからーっ！			島に乗りこめ！							
ももも、もう一回、行くからね！さっさと船着場の船頭に話しかけなさいよ！今度逃げたら、マジ許さないんだからっ！			ももも、もう一回、行くからね！さっさと船着場の船頭に話しかけなさいよ！今度逃げたら、マジ許さないんだからっ！			島に乗りこめ！							
君は……冒険者か？まったく、関係者以外、禁止だと言っているのに、無断で渡航してきたのかい？			君は……冒険者か？まったく、関係者以外、禁止だと言っているのに、無断で渡航してきたのかい？			島に乗りこめ！							
おや、この壺は？　……フム、なるほど。大灯台の偏属性クリスタルを採集しにきたのだね？だが……それは厳しいかもしれんな。			おや、この壺は？　……フム、なるほど。大灯台の偏属性クリスタルを採集しにきたのだね？だが……それは厳しいかもしれんな。			島に乗りこめ！							
「幻影諸島」に移動しますか？			「幻影諸島」に移動しますか？			島に乗りこめ！							
はい			はい			島に乗りこめ！							
いいえ			いいえ			島に乗りこめ！							
エールポートのシアーナは幽霊騒ぎについて調べたいようだ。			エールポートのシアーナは幽霊騒ぎについて調べたいようだ。			幻影諸島奇談							
シリウス大灯台に勤めていた灯台守の「スキフリン」が何か知っているかもしれない。彼から話を聞いてみよう。			シリウス大灯台に勤めていた灯台守の「スキフリン」が何か知っているかもしれない。彼から話を聞いてみよう。			幻影諸島奇談							
スキフリンの言動は意味不明なものだった。彼は「黄金色の羽根」を「ミミドア」という者に渡して欲しいらしい。ミミドアの情報について、一度「シアーナ」に話を聞こう。			スキフリンの言動は意味不明なものだった。彼は「黄金色の羽根」を「ミミドア」という者に渡して欲しいらしい。ミミドアの情報について、一度「シアーナ」に話を聞こう。			幻影諸島奇談							
シアーナにミミドアの居場所を教えてもらった。エールポートの「ミミドア」に「黄金色の羽根」を渡してみよう。			シアーナにミミドアの居場所を教えてもらった。エールポートの「ミミドア」に「黄金色の羽根」を渡してみよう。			幻影諸島奇談							
ミミドアに幽霊事件の解決を依頼された。エールポートの「シアーナ」に「特別渡航許可証」を渡そう。			ミミドアに幽霊事件の解決を依頼された。エールポートの「シアーナ」に「特別渡航許可証」を渡そう。			幻影諸島奇談							
シアーナとともに幻影諸島へ向かうことになった。いったい、島で何が起こっているのだろうか。			シアーナとともに幻影諸島へ向かうことになった。いったい、島で何が起こっているのだろうか。			幻影諸島奇談							
スキフリンと話す			スキフリンと話す			幻影諸島奇談							
シアーナと話す			シアーナと話す			幻影諸島奇談							
ミミドアに黄金色の羽根を渡す			ミミドアに黄金色の羽根を渡す			幻影諸島奇談							
シアーナに特別渡航許可証を渡す			シアーナに特別渡航許可証を渡す			幻影諸島奇談							
幻影諸島の幽霊……うう、まさかの展開！と、とにかく渡航制限がかかってるくらいだから、ただの噂話ってワケでもなさそうね……。			幻影諸島の幽霊……うう、まさかの展開！と、とにかく渡航制限がかかってるくらいだから、ただの噂話ってワケでもなさそうね……。			幻影諸島奇談							
実は君が聞き込みしている間、私も町をブラブラしながらそれとなーく調べてみたんだけど……。			実は君が聞き込みしている間、私も町をブラブラしながらそれとなーく調べてみたんだけど……。			幻影諸島奇談							
「シリウス大灯台」に勤めていた、灯台守の「スキフリン」さんって人が、この街にいるらしいの。			「シリウス大灯台」に勤めていた、灯台守の「スキフリン」さんって人が、この街にいるらしいの。			幻影諸島奇談							
幽霊のことも、何か知ってるかもしれないわ……。お願い、話を聞いてきてー！私、ほんとに苦手なのよー！			幽霊のことも、何か知ってるかもしれないわ……。お願い、話を聞いてきてー！私、ほんとに苦手なのよー！			幻影諸島奇談							
歌が、聞こえるんだ……。ラ、ラララ……ララ、ラ……歌う、歌……うたが……。耳から、離れなくて……ララ……耳が、はな、れ……。			歌が、聞こえるんだ……。ラ、ラララ……ララ、ラ……歌う、歌……うたが……。耳から、離れなくて……ララ……耳が、はな、れ……。			幻影諸島奇談							
これを、頼みが……「ミミドア」さんに渡して……。キラキラ……キラキラ、きれいな、羽根……。……美しい、歌声……あの方の………………。			これを、頼みが……「ミミドア」さんに渡して……。キラキラ……キラキラ、きれいな、羽根……。……美しい、歌声……あの方の………………。			幻影諸島奇談							
……。…………。……助けてくれ、ミミドアさん……。			……。…………。……助けてくれ、ミミドアさん……。			幻影諸島奇談							
ラ、ラララ……ララ、ラ……。キラキラ……キラキラ……。			ラ、ラララ……ララ、ラ……。キラキラ……キラキラ……。			幻影諸島奇談							
スキフリンさん、どうだった？……何を言ってるか意味不明だったの？　何それ、怖ーっ！え、「ミミドア」って人へお使いを頼まれた？			スキフリンさん、どうだった？……何を言ってるか意味不明だったの？　何それ、怖ーっ！え、「ミミドア」って人へお使いを頼まれた？			幻影諸島奇談							
ミミドアさんって、あの鍛冶師の？知ってるも何も、さっきアイツにお尻を触られたのよっ！まだ桟橋あたりにいると思うわ、あのエロジジイ！			ミミドアさんって、あの鍛冶師の？知ってるも何も、さっきアイツにお尻を触られたのよっ！まだ桟橋あたりにいると思うわ、あのエロジジイ！			幻影諸島奇談							
……わしが鍛冶師のミミドアじゃが？むう、もうちょいと大きな声で喋ってほしいぞい。わしは耳が悪いでな。			……わしが鍛冶師のミミドアじゃが？むう、もうちょいと大きな声で喋ってほしいぞい。わしは耳が悪いでな。			幻影諸島奇談							
これは……！間違いないぞい、奴の羽根だぞい！			これは……！間違いないぞい、奴の羽根だぞい！			幻影諸島奇談							
……わしは破壊された「シリウス大灯台」の修復のため、リムサ・ロミンサから派遣された技師じゃぞい。			……わしは破壊された「シリウス大灯台」の修復のため、リムサ・ロミンサから派遣された技師じゃぞい。			幻影諸島奇談							
それが例の幽霊騒ぎで、ほかの技師が逃げ帰ってしもうて、困っちゅったところじゃ。……まさか、おはんもあの島へ渡りたいのか？			それが例の幽霊騒ぎで、ほかの技師が逃げ帰ってしもうて、困っちゅったところじゃ。……まさか、おはんもあの島へ渡りたいのか？			幻影諸島奇談							
……だったら「幻影諸島」に渡るための、技師向けの「特別渡航許可証」をあげようかね。そのかわり、わしに力を貸してほしいぞい！！			……だったら「幻影諸島」に渡るための、技師向けの「特別渡航許可証」をあげようかね。そのかわり、わしに力を貸してほしいぞい！！			幻影諸島奇談							
実は、幻影諸島では、ある異変が起きているんじゃぞい。それも、わしの手には余る問題……そこで冒険者のおはんに、この件を解決してほしいぞい！			実は、幻影諸島では、ある異変が起きているんじゃぞい。それも、わしの手には余る問題……そこで冒険者のおはんに、この件を解決してほしいぞい！			幻影諸島奇談							
まずは、島へ向かって、状況を見てくれんかの？わしも後で必ず駆けつけるぞい。			まずは、島へ向かって、状況を見てくれんかの？わしも後で必ず駆けつけるぞい。			幻影諸島奇談							
むむむ、やはり今度こそ、奴の仕業に違いないぞい。こいつは由々しき事態だぞい！			むむむ、やはり今度こそ、奴の仕業に違いないぞい。こいつは由々しき事態だぞい！			幻影諸島奇談							
おそーい！　何してたの？もう、待ちくたびれちゃったよー。			おそーい！　何してたの？もう、待ちくたびれちゃったよー。			幻影諸島奇談							
おやおや？　「特別渡航許可証」じゃん！やったね、これで幻影諸島に行けるよー！じゃ、気をつけて、いってらっしゃいー！			おやおや？　「特別渡航許可証」じゃん！やったね、これで幻影諸島に行けるよー！じゃ、気をつけて、いってらっしゃいー！			幻影諸島奇談							
……えー？　わ、私も一緒に行くの？あ、あははは、う、嘘でしょ？いやーっ！　幽霊こわいーっ！			……えー？　わ、私も一緒に行くの？あ、あははは、う、嘘でしょ？いやーっ！　幽霊こわいーっ！			幻影諸島奇談							
エールポートのシアーナは何やら困っているようだ。			エールポートのシアーナは何やら困っているようだ。			船はいまだ港に							
シアーナによれば、幻影諸島へは渡航制限がかかっているそうだ。エールポートの人々から渡航制限の理由を聞きだそう。			シアーナによれば、幻影諸島へは渡航制限がかかっているそうだ。エールポートの人々から渡航制限の理由を聞きだそう。			船はいまだ港に							
情報によると、何やら幻影諸島には「出る」らしいが……。エールポートの「シアーナ」に報告しよう。			情報によると、何やら幻影諸島には「出る」らしいが……。エールポートの「シアーナ」に報告しよう。			船はいまだ港に							
渡航制限の原因は幽霊が出るという噂にあるらしい。はたして、幻影諸島へ渡航することはできるのだろうか……。			渡航制限の原因は幽霊が出るという噂にあるらしい。はたして、幻影諸島へ渡航することはできるのだろうか……。			船はいまだ港に							
エールポートの人々から情報を集める			エールポートの人々から情報を集める			船はいまだ港に							
シアーナに報告			シアーナに報告			船はいまだ港に							
へー！　「幻影諸島のシリウス大灯台」へ「偏属性クリスタル」を採りに来たの！？幻影諸島なら、このエールポートの沖合にあるわよ。			へー！　「幻影諸島のシリウス大灯台」へ「偏属性クリスタル」を採りに来たの！？幻影諸島なら、このエールポートの沖合にあるわよ。			船はいまだ港に							
でも今は、渡航制限がかかっていて、島に行く連絡船は運行してないんだってー。私も仕事で用事があるのにー、へこむわー。			でも今は、渡航制限がかかっていて、島に行く連絡船は運行してないんだってー。私も仕事で用事があるのにー、へこむわー。			船はいまだ港に							
ちょっと君、悪いんだけどさ。街のイエロージャケットの人たちをあたって、渡航制限の理由を聞いてきてくれない？　ヨロシクー！			ちょっと君、悪いんだけどさ。街のイエロージャケットの人たちをあたって、渡航制限の理由を聞いてきてくれない？　ヨロシクー！			船はいまだ港に							
「幻影諸島」に渡りたいって？お前、物見遊山気分ならやめときな、ちょっとあそこはヤバいぜ……。			「幻影諸島」に渡りたいって？お前、物見遊山気分ならやめときな、ちょっとあそこはヤバいぜ……。			船はいまだ港に							
連絡船が運行してない理由？実は……夜になると島に「出る」らしいのよ……。うう～怖いよねぇ、鳥肌立ってきちゃった……。			連絡船が運行してない理由？実は……夜になると島に「出る」らしいのよ……。うう～怖いよねぇ、鳥肌立ってきちゃった……。			船はいまだ港に							
