エバーキープ前のウクラマトは、冒険者たちに頼みがあるようだ。			エバーキープ前のウクラマトは、冒険者たちに頼みがあるようだ。			護る者、壊す者							
何と言う？			何と言う？			護る者、壊す者							
ラマチを信じる！			ラマチを信じる！			護る者、壊す者							
武王ならやってみせろ！			武王ならやってみせろ！			護る者、壊す者							
ありがとよ、Forename！お前ならそう言ってくれると思ってたぜ！			ありがとよ、Forename！お前ならそう言ってくれると思ってたぜ！			護る者、壊す者							
そうね……これはラマチの戦い。あなたの意思を尊重すべきよね……。			そうね……これはラマチの戦い。あなたの意思を尊重すべきよね……。			護る者、壊す者							
……ただし、もしレギュレーターを上手く壊せなかったり、ゾラージャが部下の手を借りるような素振りを見せたりしたら、問答無用で加勢するわよ！			……ただし、もしレギュレーターを上手く壊せなかったり、ゾラージャが部下の手を借りるような素振りを見せたりしたら、問答無用で加勢するわよ！			護る者、壊す者							
ああ、アリゼーもありがとな！お前たちがいるから、アタシも思いっきり戦えるんだ。			ああ、アリゼーもありがとな！お前たちがいるから、アタシも思いっきり戦えるんだ。			護る者、壊す者							
コーナ兄さんとアタシで、必ずトライヨラを護ってみせるぜ！			コーナ兄さんとアタシで、必ずトライヨラを護ってみせるぜ！			護る者、壊す者							
ゾラージャの奴……自分の子を盾にするなんて……！			ゾラージャの奴……自分の子を盾にするなんて……！			護る者、壊す者							
エバーキープに急がねぇと……！			エバーキープに急がねぇと……！			護る者、壊す者							
あいつは他人の命なんてこれっぽっちも興味ねぇんだ……本当に、自分の国民を皆殺しにする気だぞ……！			あいつは他人の命なんてこれっぽっちも興味ねぇんだ……本当に、自分の国民を皆殺しにする気だぞ……！			護る者、壊す者							
それを止めようとすれば、大量の機械兵と戦うことになるはず。オーティスの様子も変だったし……ゾラージャに操られている可能性もあるわ。			それを止めようとすれば、大量の機械兵と戦うことになるはず。オーティスの様子も変だったし……ゾラージャに操られている可能性もあるわ。			護る者、壊す者							
……気を引き締めてかかりましょう！			……気を引き締めてかかりましょう！			護る者、壊す者							
街の人たちを護らなきゃ……！			街の人たちを護らなきゃ……！			護る者、壊す者							
行こう……準備はいいか？			行こう……準備はいいか？			護る者、壊す者							
このクエストバトルでは進行度が保存され、ある程度まで進めてから敗北した場合、途中から再挑戦することができます。			このクエストバトルでは進行度が保存され、ある程度まで進めてから敗北した場合、途中から再挑戦することができます。			護る者、壊す者							
ほかのクエストバトルに挑戦したり、ログアウトすると、保存された進行度は破棄されますので、ご注意ください。			ほかのクエストバトルに挑戦したり、ログアウトすると、保存された進行度は破棄されますので、ご注意ください。			護る者、壊す者							
本クエストを進行するためには、現在のクラス・ジョブが、レベル98以上の、ファイター、もしくはソーサラーである必要があります。			本クエストを進行するためには、現在のクラス・ジョブが、レベル98以上の、ファイター、もしくはソーサラーである必要があります。			護る者、壊す者							
オーティス、ありがとう……。あなたが生前の無念を晴らせたことを祈るわ。			オーティス、ありがとう……。あなたが生前の無念を晴らせたことを祈るわ。			護る者、壊す者							
信じられない……まさか自国の民に手を出すなんて……！			信じられない……まさか自国の民に手を出すなんて……！			護る者、壊す者							
トライヨラの方は無事らしいが、なぜこんなことに……。詳しい話はあとで聞かせてくれ。			トライヨラの方は無事らしいが、なぜこんなことに……。詳しい話はあとで聞かせてくれ。			護る者、壊す者							
ちくしょう……ゾラージャの奴、絶対許せねぇ……！民を傷つけて、いったい何がしてぇんだ……！			ちくしょう……ゾラージャの奴、絶対許せねぇ……！民を傷つけて、いったい何がしてぇんだ……！			護る者、壊す者							
まさか……そうまでして、力を見せつけようっていうのか？まだオヤジを超えようとしてるってのかよ……！？			まさか……そうまでして、力を見せつけようっていうのか？まだオヤジを超えようとしてるってのかよ……！？			護る者、壊す者							
ドーム内で30年を経て、さらに自らの手で父親を殺しておきながら、まだその幻影に囚われているということ……？			ドーム内で30年を経て、さらに自らの手で父親を殺しておきながら、まだその幻影に囚われているということ……？			護る者、壊す者							
……いえ、今それを考えるべきではないわね。助けを求めている人が大勢いるわ。			……いえ、今それを考えるべきではないわね。助けを求めている人が大勢いるわ。			護る者、壊す者							
9-14居住殻のスフェーンは、案内を続けたいようだ。			9-14居住殻のスフェーンは、案内を続けたいようだ。			護るべき家族たち							
スフェーンと話す			スフェーンと話す			護るべき家族たち							
スフェーンと再度話す			スフェーンと再度話す			護るべき家族たち							
ウクラマトと話す			ウクラマトと話す			護るべき家族たち							
ウクラマトと再度話す			ウクラマトと再度話す			護るべき家族たち							
……こんな問題も抱えてたんだな。			……こんな問題も抱えてたんだな。			護るべき家族たち							
さて、気持ちを切り替えて……次の場所に案内するね！			さて、気持ちを切り替えて……次の場所に案内するね！			護るべき家族たち							
なあ、無理してアタシたちの案内をしてくれなくていいんだぜ？お前を待ってる人たちだっているんだろ？			なあ、無理してアタシたちの案内をしてくれなくていいんだぜ？お前を待ってる人たちだっているんだろ？			護るべき家族たち							
い、いいの……！これは私がやりたくてやってることなんだから！			い、いいの……！これは私がやりたくてやってることなんだから！			護るべき家族たち							
次はこの街の北にある重要施設、レゾリューションに向かうよ。まずはレイノード・ナイン……エーテライトのある広場に戻ろう！			次はこの街の北にある重要施設、レゾリューションに向かうよ。まずはレイノード・ナイン……エーテライトのある広場に戻ろう！			護るべき家族たち							
げっ……ついにその装置を使うのか！？			げっ……ついにその装置を使うのか！？			護るべき家族たち							
ふたりとも、レゾリューションへの移動には、そこの転移装置を使ってね。			ふたりとも、レゾリューションへの移動には、そこの転移装置を使ってね。			護るべき家族たち							
床面の矢印型の文様は行き先を示してるんだ。対岸には、ちゃんと着地用の装置が用意されていて、一瞬で移動できるよ。			床面の矢印型の文様は行き先を示してるんだ。対岸には、ちゃんと着地用の装置が用意されていて、一瞬で移動できるよ。			護るべき家族たち							
お、落ちねえだろうな……？			お、落ちねえだろうな……？			護るべき家族たち							
さあ、どうかなぁ？もしかしてラマチ……怖いの？			さあ、どうかなぁ？もしかしてラマチ……怖いの？			護るべき家族たち							
んなわけねぇだろ！行くぞ、Forename！			んなわけねぇだろ！行くぞ、Forename！			護るべき家族たち							
よ、余裕だったぜ……！乗っちまえばこっちのもんだからな！			よ、余裕だったぜ……！乗っちまえばこっちのもんだからな！			護るべき家族たち							
ここが、ソリューション・ナインの中枢を担う施設、レゾリューションだよ。			ここが、ソリューション・ナインの中枢を担う施設、レゾリューションだよ。			護るべき家族たち							
みんなが暮らしていく上での諸手続き……たとえば生活支援や仕事の紹介なんかを担当してるんだ。			みんなが暮らしていく上での諸手続き……たとえば生活支援や仕事の紹介なんかを担当してるんだ。			護るべき家族たち							
……って、説明するより見た方が理解が早いかな。さっそく中に入ってみよう。			……って、説明するより見た方が理解が早いかな。さっそく中に入ってみよう。			護るべき家族たち							
スフェーンの奴、何を言いかけてたんだろうな。……ま、次に会ったときにでも聞いてみようぜ！			スフェーンの奴、何を言いかけてたんだろうな。……ま、次に会ったときにでも聞いてみようぜ！			護るべき家族たち							
んじゃ、そろそろエレンヴィルたちと合流するか。ええと……待ち合わせ場所まで行くには……			んじゃ、そろそろエレンヴィルたちと合流するか。ええと……待ち合わせ場所まで行くには……			護るべき家族たち							
とりあえず、レイノード・ナインまで戻ろうぜ！			とりあえず、レイノード・ナインまで戻ろうぜ！			護るべき家族たち							
にしても、スフェーンの奴、本当に国民のことをしっかり考えてるんだな。そこは素直に尊敬するぜ……。			にしても、スフェーンの奴、本当に国民のことをしっかり考えてるんだな。そこは素直に尊敬するぜ……。			護るべき家族たち							
それにあいつの案内のおかげで、この国のことも、ここで暮らす人たちのことも、身近に感じられるようになってきた。			それにあいつの案内のおかげで、この国のことも、ここで暮らす人たちのことも、身近に感じられるようになってきた。			護るべき家族たち							
お前も、付き合ってくれてありがとよ！			お前も、付き合ってくれてありがとよ！			護るべき家族たち							
旧アレクサンドリア城下町のオーティスは、満足気な様子だ。			旧アレクサンドリア城下町のオーティスは、満足気な様子だ。			路を違えたのは							
ウクラマトと話す			ウクラマトと話す			路を違えたのは							
タープと話す			タープと話す			路を違えたのは							
オーティスと話す			オーティスと話す			路を違えたのは							
ウクラマトと話す			ウクラマトと話す			路を違えたのは							
カフキワたちには、直接聞いてみないことにはわからねぇな。仮に知っていて、あえて隠してたっていうなら、その理由も聞いてみたい……。			カフキワたちには、直接聞いてみないことにはわからねぇな。仮に知っていて、あえて隠してたっていうなら、その理由も聞いてみたい……。			路を違えたのは							
大勢いるはずの永久人たち……。いったいどこに、どうやって存在しているのかしら……。			大勢いるはずの永久人たち……。いったいどこに、どうやって存在しているのかしら……。			路を違えたのは							
みんな怖い顔になっちゃった……。			みんな怖い顔になっちゃった……。			路を違えたのは							
うむ、なんだか妙な空気になってしまったが、実に楽しい食事であったぞ！			うむ、なんだか妙な空気になってしまったが、実に楽しい食事であったぞ！			路を違えたのは							
ああ、ありがとよ。永久人たちのことを受け止めるには、少し時間がかかりそうだが、シチューもうまかったし、お前たちとの食事は楽しかったぜ！			ああ、ありがとよ。永久人たちのことを受け止めるには、少し時間がかかりそうだが、シチューもうまかったし、お前たちとの食事は楽しかったぜ！			路を違えたのは							
なにより……グルージャと話せたことが嬉しい。お前のこと、大好きになっちまった！			なにより……グルージャと話せたことが嬉しい。お前のこと、大好きになっちまった！			路を違えたのは							
……わ……わあ！			……わ……わあ！			路を違えたのは							
ハッハッハ！よかったなあ、グルージャ！			ハッハッハ！よかったなあ、グルージャ！			路を違えたのは							
さて……お主らはエバーキープに戻るのであろう？ワタシも途中まで送ろう！			さて……お主らはエバーキープに戻るのであろう？ワタシも途中まで送ろう！			路を違えたのは							
……スフェーンのことだけどよ。			……スフェーンのことだけどよ。			路を違えたのは							
あいつが永久人だとか、生きてるとか生きてねぇとか、そんなことは結局どうでもいいんだ……。			あいつが永久人だとか、生きてるとか生きてねぇとか、そんなことは結局どうでもいいんだ……。			路を違えたのは							
スフェーンがいい奴だってことは、ここまで一緒に行動してきたなかで十分わかった。			スフェーンがいい奴だってことは、ここまで一緒に行動してきたなかで十分わかった。			路を違えたのは							
だけどよ……。アタシが心配してるのは、あいつが何を抱えているのか、まだ知らねぇってことだ……。			だけどよ……。アタシが心配してるのは、あいつが何を抱えているのか、まだ知らねぇってことだ……。			路を違えたのは							
ゾラージャの手前、アタシたちに言えねぇことは当然あるだろう。永久人についてだって一言も……それは、あいつにとってどんな存在なんだ……？			ゾラージャの手前、アタシたちに言えねぇことは当然あるだろう。永久人についてだって一言も……それは、あいつにとってどんな存在なんだ……？			路を違えたのは							
……っと、引き留めて悪かったな。なんとなく、お前にはアタシの気持ちを聞いてほしかったんだ。			……っと、引き留めて悪かったな。なんとなく、お前にはアタシの気持ちを聞いてほしかったんだ。			路を違えたのは							
そうだ、戻るついでに、ドリフトダウンズに寄ってかねぇか？グルージャが見つかったってこと、タープに報告しておきてぇし！			そうだ、戻るついでに、ドリフトダウンズに寄ってかねぇか？グルージャが見つかったってこと、タープに報告しておきてぇし！			路を違えたのは							
それにしても、美味かったなあ……。げんこつ芋のシチュー……。			それにしても、美味かったなあ……。げんこつ芋のシチュー……。			路を違えたのは							
その声は……。グルージャは無事に見つかりましたか？			その声は……。グルージャは無事に見つかりましたか？			路を違えたのは							
ああ、タープが教えてくれたおかげだぜ！心配してるといけねぇから、報告しておこうと思ってな。			ああ、タープが教えてくれたおかげだぜ！心配してるといけねぇから、報告しておこうと思ってな。			路を違えたのは							
それはよかった……安心しました。			それはよかった……安心しました。			路を違えたのは							
しかし、あのグルージャに、迎えに来てくれる家族ができるとは……。彼にとっても、喜ばしいことでしょうな。			しかし、あのグルージャに、迎えに来てくれる家族ができるとは……。彼にとっても、喜ばしいことでしょうな。			路を違えたのは							
へへっ、そうだといいな。本当に家族として受け入れるかどうかは、これからグルージャが決めることだけどさ。			へへっ、そうだといいな。本当に家族として受け入れるかどうかは、これからグルージャが決めることだけどさ。			路を違えたのは							
(-？？？？-)あれ……？ふたりともどうしてここに？			(-？？？？-)あれ……？ふたりともどうしてここに？			路を違えたのは							
スフェーン！？お前こそどうして……。			スフェーン！？お前こそどうして……。			路を違えたのは							
私はここのみんなと話しに来ただけだよ。もしかして、キミたちも？			私はここのみんなと話しに来ただけだよ。もしかして、キミたちも？			路を違えたのは							
まあ、そうなんだが……。			まあ、そうなんだが……。			路を違えたのは							
……スフェーン、少し話があるんだ。場所を変えてもいいか？			……スフェーン、少し話があるんだ。場所を変えてもいいか？			路を違えたのは							
……うーん、そっか。知っちゃったんだね、私が永久人だってこと。			……うーん、そっか。知っちゃったんだね、私が永久人だってこと。			路を違えたのは							
私が数百年もこの姿のまま生きてるってことは、国のみんなも気がついてることだし、隠してはないんだけどね。			私が数百年もこの姿のまま生きてるってことは、国のみんなも気がついてることだし、隠してはないんだけどね。			路を違えたのは							
それより、「永久人」っていう言葉は誰に聞いたの？一部の人しか知らないはずだけど……。			それより、「永久人」っていう言葉は誰に聞いたの？一部の人しか知らないはずだけど……。			路を違えたのは							
それは……アタシの口からは言えねぇ。			それは……アタシの口からは言えねぇ。			路を違えたのは							
残念、その誰かさんに、危害を加えるようなつもりはなかったんだけどな。ただ不思議に思っただけで……。			残念、その誰かさんに、危害を加えるようなつもりはなかったんだけどな。ただ不思議に思っただけで……。			路を違えたのは							
なあ、教えてくれスフェーン。永遠を生きる永久人と、今を生きる人……お前が護りたいのはどっちなんだ？			なあ、教えてくれスフェーン。永遠を生きる永久人と、今を生きる人……お前が護りたいのはどっちなんだ？			路を違えたのは							
それに、この前……アタシたちに何か言いかけてたよな。それって、永久人に関わることなんじゃねぇのか？			それに、この前……アタシたちに何か言いかけてたよな。それって、永久人に関わることなんじゃねぇのか？			路を違えたのは							
……永久人たちも、私にとっては大切な国民だよ。生きてる人と何も変わらない、大事な大事な家族。			……永久人たちも、私にとっては大切な国民だよ。生きてる人と何も変わらない、大事な大事な家族。			路を違えたのは							
でもね、永久人たちが生きるためには特殊な環境が必要なの。それも今では限界を迎えていて、ギリギリ保ててはいるけど、これ以上、死者が増えればどうなることか……。			でもね、永久人たちが生きるためには特殊な環境が必要なの。それも今では限界を迎えていて、ギリギリ保ててはいるけど、これ以上、死者が増えればどうなることか……。			路を違えたのは							
エレクトロープに干渉できる私と違って、彼らは自由に移動することもできないし、命を繋ぐためには、たくさんの……エネルギーが必要なんだ。			エレクトロープに干渉できる私と違って、彼らは自由に移動することもできないし、命を繋ぐためには、たくさんの……エネルギーが必要なんだ。			路を違えたのは							
……エネルギー？よくわかんねぇけど、アタシたちにできることはないのか？			……エネルギー？よくわかんねぇけど、アタシたちにできることはないのか？			路を違えたのは							
じゃあ…………			じゃあ…………			路を違えたのは							
アレクサンドリアの国民に、なってくれる？			アレクサンドリアの国民に、なってくれる？			路を違えたのは							
は……はぁ！？そんなこと、できるわけねぇ……アタシは、トライヨラの民を護ると誓った王なんだぞ！			は……はぁ！？そんなこと、できるわけねぇ……アタシは、トライヨラの民を護ると誓った王なんだぞ！			路を違えたのは							
うん……そうだよね。			うん……そうだよね。			路を違えたのは							
和解しろって言ったり、国に帰れって言ったり……いったい何が目的なんだ？			和解しろって言ったり、国に帰れって言ったり……いったい何が目的なんだ？			路を違えたのは							
目的はキミと同じ……民を護ることだよ。			目的はキミと同じ……民を護ることだよ。			路を違えたのは							
何と言う？			何と言う？			路を違えたのは							
エネルギーとは？			エネルギーとは？			路を違えたのは							
ゾラージャにしかできないことがあるのか？			ゾラージャにしかできないことがあるのか？			路を違えたのは							
それは内緒。知ってもらえないまま、好きになってもらえないままでいい。でもね…………			それは内緒。知ってもらえないまま、好きになってもらえないままでいい。でもね…………			路を違えたのは							
キミたちと、同じ国に生まれてたらよかったな……。			キミたちと、同じ国に生まれてたらよかったな……。			路を違えたのは							
おい……どういう意味だ！？待てって、スフェーン！			おい……どういう意味だ！？待てって、スフェーン！			路を違えたのは							
くそっ、わけわかんねぇぜ……。			くそっ、わけわかんねぇぜ……。			路を違えたのは							
……とりあえず、エバーキープの前でみんなと合流するか。結構待たせちまってるだろうし。			……とりあえず、エバーキープの前でみんなと合流するか。結構待たせちまってるだろうし。			路を違えたのは							
今スフェーンに会ったってことは、少なくともオーティスの前で話すべきじゃねぇよな……。数百年ものあいだ、願っても会えてねぇわけだからさ。			今スフェーンに会ったってことは、少なくともオーティスの前で話すべきじゃねぇよな……。数百年ものあいだ、願っても会えてねぇわけだからさ。			路を違えたのは							
待たせちまったことは先に謝っといたぜ！			待たせちまったことは先に謝っといたぜ！			路を違えたのは							
何はともあれ、グルージャが無事に見つかってよかったわ。カフキワさんも心配してたし、早く戻りましょ！			何はともあれ、グルージャが無事に見つかってよかったわ。カフキワさんも心配してたし、早く戻りましょ！			路を違えたのは							
またみんなでご飯食べたいな……。			またみんなでご飯食べたいな……。			路を違えたのは							
立ち寄ってくれてありがとうね。グルージャのこと、どうかよろしく頼む……。			立ち寄ってくれてありがとうね。グルージャのこと、どうかよろしく頼む……。			路を違えたのは							
トライヨラの方は、みんなを信じるしかないわ。私たちは、私たちにできることをやりましょう。			トライヨラの方は、みんなを信じるしかないわ。私たちは、私たちにできることをやりましょう。			路を違えたのは							
ついに動きだした……！トライヨラを護るために、ゾラージャをドームに引き留めねぇと。			ついに動きだした……！トライヨラを護るために、ゾラージャをドームに引き留めねぇと。			路を違えたのは							
アタシに策があるんだ……！			アタシに策があるんだ……！			路を違えたのは							
レイノード・ナインのウクラマトは、集合場所に向かいたいようだ。			レイノード・ナインのウクラマトは、集合場所に向かいたいようだ。			青いフビゴ族							
ウクラマトと話す			ウクラマトと話す			青いフビゴ族							
指定地点で見渡す			指定地点で見渡す			青いフビゴ族							
青いフビゴ族の子どもと話してウクラマトを同行させる			青いフビゴ族の子どもと話してウクラマトを同行させる			青いフビゴ族							
ウクラマトを連れ、青いフビゴ族の子どもの先導に従って移動			ウクラマトを連れ、青いフビゴ族の子どもの先導に従って移動			青いフビゴ族							
ウクラマトと話す			ウクラマトと話す			青いフビゴ族							
カフキワが言ってた待ち合わせ場所は、東の棟にある「トゥルービュー」の入口、だったよな？誰かを迎えに行かせるって言ってたけど……。			カフキワが言ってた待ち合わせ場所は、東の棟にある「トゥルービュー」の入口、だったよな？誰かを迎えに行かせるって言ってたけど……。			青いフビゴ族							
とりあえず、そこの転移装置を使えば渡れそうだ。行こう、そいつで飛び回るのも楽しくなってきたぜ！			とりあえず、そこの転移装置を使えば渡れそうだ。行こう、そいつで飛び回るのも楽しくなってきたぜ！			青いフビゴ族							
待ち合わせ場所って、ここだったよな？			待ち合わせ場所って、ここだったよな？			青いフビゴ族							
オブリビオンの本拠地は、この近くにあるんだろうけど……エレンヴィルたちはまだなのか、それとも先に行っちまったのか……。			オブリビオンの本拠地は、この近くにあるんだろうけど……エレンヴィルたちはまだなのか、それとも先に行っちまったのか……。			青いフビゴ族							
どちらにせよ、迎えをただ待ってるんじゃ時間の無駄だ。情報収集も兼ねて、近くを散策してみるか。			どちらにせよ、迎えをただ待ってるんじゃ時間の無駄だ。情報収集も兼ねて、近くを散策してみるか。			青いフビゴ族							
お、おい！　あれ見ろよ！			お、おい！　あれ見ろよ！			青いフビゴ族							
こんなところに、マムージャの子ども……？			こんなところに、マムージャの子ども……？			青いフビゴ族							
なあ、あいつ……なんか……ゾラージャに似てねぇか？			なあ、あいつ……なんか……ゾラージャに似てねぇか？			青いフビゴ族							
青い鱗のマムージャって言うとブネワ族なんだけどさ、顔だちはフビゴ族っぽくて……			青い鱗のマムージャって言うとブネワ族なんだけどさ、顔だちはフビゴ族っぽくて……			青いフビゴ族							
あんな特徴なのは、ゾラージャだけなんだよ！無関係とは思えねぇだろ？			あんな特徴なのは、ゾラージャだけなんだよ！無関係とは思えねぇだろ？			青いフビゴ族							
それにあんな小さい子ども、放っておけねぇよ……。			それにあんな小さい子ども、放っておけねぇよ……。			青いフビゴ族							
よし、追いかけようぜ！			よし、追いかけようぜ！			青いフビゴ族							
あいつ、こっちの方に走ってったよな？			あいつ、こっちの方に走ってったよな？			青いフビゴ族							
ここがトゥルービューか……。さっきまでと違って、なんか派手な場所だな……。			ここがトゥルービューか……。さっきまでと違って、なんか派手な場所だな……。			青いフビゴ族							
あの建物だけ明かりが消えてるが、今はやってねぇってことなのか……？			あの建物だけ明かりが消えてるが、今はやってねぇってことなのか……？			青いフビゴ族							
おわあっ！？			おわあっ！？			青いフビゴ族							
お前そこにいたのか……気付かなかったぜ……！			お前そこにいたのか……気付かなかったぜ……！			青いフビゴ族							
なあ、アタシと話さないか？怪しいモンじゃねぇから安心してくれよ……！			なあ、アタシと話さないか？怪しいモンじゃねぇから安心してくれよ……！			青いフビゴ族							
うーん……さっきから近づけば逃げるし、そうかと思えばまた現れるし……。			うーん……さっきから近づけば逃げるし、そうかと思えばまた現れるし……。			青いフビゴ族							
警戒してるのは間違いなさそうだが、もしかして、アタシたちをどこかに案内しようとしてるのか？			警戒してるのは間違いなさそうだが、もしかして、アタシたちをどこかに案内しようとしてるのか？			青いフビゴ族							
なあ、お前についていくから、連れていきたいところがあるなら道案内してくれよ。			なあ、お前についていくから、連れていきたいところがあるなら道案内してくれよ。			青いフビゴ族							
お、言葉はわかるみてぇだな。よろしく頼むぜ！			お、言葉はわかるみてぇだな。よろしく頼むぜ！			青いフビゴ族							
この子についていってみようぜ！アタシたちをどこかに案内したがってるみてぇだ。			この子についていってみようぜ！アタシたちをどこかに案内したがってるみてぇだ。			青いフビゴ族							
…………！			…………！			青いフビゴ族							
出発しますか？			出発しますか？			青いフビゴ族							
何をする？			何をする？			青いフビゴ族							
話す			話す			青いフビゴ族							
同行状態を解除する			同行状態を解除する			青いフビゴ族							
キャンセル			キャンセル			青いフビゴ族							
ちっこいから見失わないようについていこうぜ……！			ちっこいから見失わないようについていこうぜ……！			青いフビゴ族							
同行状態を解除します。本当によろしいですか？			同行状態を解除します。本当によろしいですか？			青いフビゴ族							
うおっ、なんだ腹でも痛ぇのか！？仕方ねぇ……あの子を呼び戻してくるから、元の場所で合流な！			うおっ、なんだ腹でも痛ぇのか！？仕方ねぇ……あの子を呼び戻してくるから、元の場所で合流な！			青いフビゴ族							
同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			青いフビゴ族							
やべぇ、見失っちまった！元の場所に戻ったらいるかもしれねぇ……！			やべぇ、見失っちまった！元の場所に戻ったらいるかもしれねぇ……！			青いフビゴ族							
レクリエーションゾーンに戻っている、青いフビゴ族の子どもに話しかけ、「先導」を再開させてください。			レクリエーションゾーンに戻っている、青いフビゴ族の子どもに話しかけ、「先導」を再開させてください。			青いフビゴ族							
…………！			…………！			青いフビゴ族							
お前、アタシたちをここに連れてきたかったのか？			お前、アタシたちをここに連れてきたかったのか？			青いフビゴ族							
