オールド・シャーレアンのノルトータは、哲学者議会の発表内容に驚いているようだ。			オールド・シャーレアンのノルトータは、哲学者議会の発表内容に驚いているようだ。			ギルドシップのモブハント（上級）							
そんなわけで、今後も「ギルドシップボード」を確認して、請け負えそうな上級手配書があったら、ぜひ挑戦してほしいな。Forenameさんだけが頼りだから、頼むよ……！			そんなわけで、今後も「ギルドシップボード」を確認して、請け負えそうな上級手配書があったら、ぜひ挑戦してほしいな。Forenameさんだけが頼りだから、頼むよ……！			ギルドシップのモブハント（上級）							
「ギルドシップ・モブ手配書：上級」が開放された！			「ギルドシップ・モブ手配書：上級」が開放された！			ギルドシップのモブハント（上級）							
オールド・シャーレアンとラザハンの「ギルドシップボード」から、「ギルドシップ・モブ手配書：上級」を、入手できるようになりました。			オールド・シャーレアンとラザハンの「ギルドシップボード」から、「ギルドシップ・モブ手配書：上級」を、入手できるようになりました。			ギルドシップのモブハント（上級）							
また、「レベル90」になると、ノルトータから、新たなクエストが受注でき、「ギルドシップ・リスキーモブ手配書」に挑戦可能となります。			また、「レベル90」になると、ノルトータから、新たなクエストが受注でき、「ギルドシップ・リスキーモブ手配書」に挑戦可能となります。			ギルドシップのモブハント（上級）							
イーアの里のウリエンジェは、思うところがあるようだ。			イーアの里のウリエンジェは、思うところがあるようだ。			文明の発展							
ウリエンジェから、調査への同行を依頼された。ウルティマ・トゥーレの逡巡の泉にいる「ウリエンジェ」と話そう。			ウリエンジェから、調査への同行を依頼された。ウルティマ・トゥーレの逡巡の泉にいる「ウリエンジェ」と話そう。			文明の発展							
ウリエンジェから大事な助言をもらった。逡巡の泉の「グ・ラハ・ティア」と話そう。			ウリエンジェから大事な助言をもらった。逡巡の泉の「グ・ラハ・ティア」と話そう。			文明の発展							
グ・ラハ・ティアも戻っていった。イーアの里近くの辞世の連句碑にいる「ヤ・シュトラ」と話そう。			グ・ラハ・ティアも戻っていった。イーアの里近くの辞世の連句碑にいる「ヤ・シュトラ」と話そう。			文明の発展							
ヤ・シュトラは想いを貫き、ウリエンジェの願いが彼女たちに力を与えた。以て、イーアたちの閉じた文明に、再び明かりが灯った。メーティオンたちはウルティマ・トゥーレの中央に浮かぶ死した太陽にいるそうだ。……行こう、ここはまだ、行き止まりではないのだから。			ヤ・シュトラは想いを貫き、ウリエンジェの願いが彼女たちに力を与えた。以て、イーアたちの閉じた文明に、再び明かりが灯った。メーティオンたちはウルティマ・トゥーレの中央に浮かぶ死した太陽にいるそうだ。……行こう、ここはまだ、行き止まりではないのだから。			文明の発展							
ウリエンジェと話す			ウリエンジェと話す			文明の発展							
グ・ラハ・ティアと話す			グ・ラハ・ティアと話す			文明の発展							
ヤ・シュトラと話す			ヤ・シュトラと話す			文明の発展							
たしかに、「知らない」ということは、それだけで恐怖や不安を生む。すべてを知識で埋められれば、安心を得られるかもしれない。			たしかに、「知らない」ということは、それだけで恐怖や不安を生む。すべてを知識で埋められれば、安心を得られるかもしれない。			文明の発展							
だが……ハイデリンは言っていたね。そうして負の感情を完全に排除しようとした星々は、ことごとく成し遂げられなかったのだと。			だが……ハイデリンは言っていたね。そうして負の感情を完全に排除しようとした星々は、ことごとく成し遂げられなかったのだと。			文明の発展							
事実、イーアもこうして、滅んだ者たちの記録に加えられている。彼らがこれから語ることは……喜ばしい話ではないだろうね。			事実、イーアもこうして、滅んだ者たちの記録に加えられている。彼らがこれから語ることは……喜ばしい話ではないだろうね。			文明の発展							
全知と全能は別物よ。わかってるのに上手く対処できないことなんて、私にだって、たくさんあるわ。			全知と全能は別物よ。わかってるのに上手く対処できないことなんて、私にだって、たくさんあるわ。			文明の発展							
イーアたちは、知識と現実の差で悩むことはなかったのかしら。そりゃ、途方もない技術も持ってるんでしょうけど……。			イーアたちは、知識と現実の差で悩むことはなかったのかしら。そりゃ、途方もない技術も持ってるんでしょうけど……。			文明の発展							
イーアの話を聞きに行くなら、念のため、あなたたちに「あの話」をしておこうかしら……。			イーアの話を聞きに行くなら、念のため、あなたたちに「あの話」をしておこうかしら……。			文明の発展							
……いえ、下手に構えさせても何だし、そのときが来たらでよさそうね。ごめんなさい、一旦忘れておいて頂戴。			……いえ、下手に構えさせても何だし、そのときが来たらでよさそうね。ごめんなさい、一旦忘れておいて頂戴。			文明の発展							
すべての過去、現在、未来を解き明かすなんて、永遠の命があったとしても……むしろ期限がないからこそ、容易なことじゃなかったはずだ。			すべての過去、現在、未来を解き明かすなんて、永遠の命があったとしても……むしろ期限がないからこそ、容易なことじゃなかったはずだ。			文明の発展							
知る前の、そうして邁進しているイーアたちと、知ったあとの、溶けるほど意欲を失ってるイーアたち……幸せはどこに宿るのかって、つい考えたよ。			知る前の、そうして邁進しているイーアたちと、知ったあとの、溶けるほど意欲を失ってるイーアたち……幸せはどこに宿るのかって、つい考えたよ。			文明の発展							
話の続きを聞きにいくのであれば、ひとつだけ、先に調べさせていただきたいことが……。			話の続きを聞きにいくのであれば、ひとつだけ、先に調べさせていただきたいことが……。			文明の発展							
些細なことですので、お時間はとらせません。ただ、Forenameさんとグ・ラハには、ご同行をお願いしても……？			些細なことですので、お時間はとらせません。ただ、Forenameさんとグ・ラハには、ご同行をお願いしても……？			文明の発展							
オレか？ああ、もちろん構わないが……。			オレか？ああ、もちろん構わないが……。			文明の発展							
ありがとうございます。では、里の外へ向かうといたしましょう。			ありがとうございます。では、里の外へ向かうといたしましょう。			文明の発展							
何を企んでいるのか気になるところだけれど……まあいいわ。信じるわよ、ウリエンジェ。			何を企んでいるのか気になるところだけれど……まあいいわ。信じるわよ、ウリエンジェ。			文明の発展							
私たちは、先に「辞世の連句碑」に行っているから、そこで合流するとしましょう。大丈夫、あなたたちが着くまで話を始めたりはしないわ。			私たちは、先に「辞世の連句碑」に行っているから、そこで合流するとしましょう。大丈夫、あなたたちが着くまで話を始めたりはしないわ。			文明の発展							
里の外に調べるべきものが……？一面、砂漠ばかりのようだったが……。			里の外に調べるべきものが……？一面、砂漠ばかりのようだったが……。			文明の発展							
ウリエンジェが、考えをちゃんと伝えられるなら、相手は私じゃなくたっていいわよ。……しっかり聞いてあげてね、Forename。			ウリエンジェが、考えをちゃんと伝えられるなら、相手は私じゃなくたっていいわよ。……しっかり聞いてあげてね、Forename。			文明の発展							
そう念入りに確認しなくても、勝手に話を進めたりはしないから大丈夫よ。必ず、あなたたちを待っているわ。			そう念入りに確認しなくても、勝手に話を進めたりはしないから大丈夫よ。必ず、あなたたちを待っているわ。			文明の発展							
こんなところに、大きな泉があったんだな……。砂丘の陰になってて気づかなかった。			こんなところに、大きな泉があったんだな……。砂丘の陰になってて気づかなかった。			文明の発展							
……このあたりでよさそうですね。			……このあたりでよさそうですね。			文明の発展							
調べておきたいことって、この泉のことなのか……？			調べておきたいことって、この泉のことなのか……？			文明の発展							
いえ……あれはただ、レポリットたちが用いていた「方便」というものを、私も使ってみただけのこと……。			いえ……あれはただ、レポリットたちが用いていた「方便」というものを、私も使ってみただけのこと……。			文明の発展							
本当は、おふたりとお話しできれば、どこでもよかったのです。			本当は、おふたりとお話しできれば、どこでもよかったのです。			文明の発展							
……聞かせてくれ。			……聞かせてくれ。			文明の発展							
すでに発覚しているとおり……ウルティマ・トゥーレには、滅んだ星の生命が、末期の状態で再現されています。			すでに発覚しているとおり……ウルティマ・トゥーレには、滅んだ星の生命が、末期の状態で再現されています。			文明の発展							
しかし、ここでひとつの疑問が生じる……。			しかし、ここでひとつの疑問が生じる……。			文明の発展							
竜たちもイーアたちも、まだ生きているのだと錯覚するほど、精密に再現されていた……。どうして、そのようなことが可能なのでしょうか？			竜たちもイーアたちも、まだ生きているのだと錯覚するほど、精密に再現されていた……。どうして、そのようなことが可能なのでしょうか？			文明の発展							
何と言う？			何と言う？			文明の発展							
メーティオンが心を受け取ったから？			メーティオンが心を受け取ったから？			文明の発展							
メーティオンが訪れたとき生きていた……？			メーティオンが訪れたとき生きていた……？			文明の発展							
まるでわからない……			まるでわからない……			文明の発展							
確かに、あんたの言うとおりだ。彼女が相手の想いを直接受け取れるならば、記録で見聞きするより、ずっと本物に近い再現ができるだろう。			確かに、あんたの言うとおりだ。彼女が相手の想いを直接受け取れるならば、記録で見聞きするより、ずっと本物に近い再現ができるだろう。			文明の発展							
だが、そうだとしたら、メーティオンは本物に会っていることになる。彼女が訪れた時点で、竜もイーアもまだ生きていたんだ……！			だが、そうだとしたら、メーティオンは本物に会っていることになる。彼女が訪れた時点で、竜もイーアもまだ生きていたんだ……！			文明の発展							
そうか……！彼女が訪れた時点で、竜もイーアもまだ生きていた……メーティオンは、本物の彼らに会っていたんだ！			そうか……！彼女が訪れた時点で、竜もイーアもまだ生きていた……メーティオンは、本物の彼らに会っていたんだ！			文明の発展							
だからこそ彼らの想いを受け取れたし、それをもとにして、精巧な再現体を作れたんじゃないか！？			だからこそ彼らの想いを受け取れたし、それをもとにして、精巧な再現体を作れたんじゃないか！？			文明の発展							
もしかして……メーティオンが訪れた時点で、竜もイーアもまだ生きていたんじゃないか？			もしかして……メーティオンが訪れた時点で、竜もイーアもまだ生きていたんじゃないか？			文明の発展							
本物に会ったメーティオンは、彼らの想いを受け取った。記録で見聞きするより、ずっと正確な情報だ……それをもとにすれば、精巧な再現体だって作れるはず……！			本物に会ったメーティオンは、彼らの想いを受け取った。記録で見聞きするより、ずっと正確な情報だ……それをもとにすれば、精巧な再現体だって作れるはず……！			文明の発展							
ご明察です。私も同じ推測を立て、であればどうして竜やイーアが、終わりを迎えたのかと考えました……。			ご明察です。私も同じ推測を立て、であればどうして竜やイーアが、終わりを迎えたのかと考えました……。			文明の発展							
あなたがエルピスで経験したことによると、メーティオンは、周囲の者の想いを、自分の想いのように感じていることがあったそうですね。			あなたがエルピスで経験したことによると、メーティオンは、周囲の者の想いを、自分の想いのように感じていることがあったそうですね。			文明の発展							
ヘルメスの好物を自分も好きだと思ったり、彼の怒りや悲しみを、自分の心痛として感じたり……と。			ヘルメスの好物を自分も好きだと思ったり、彼の怒りや悲しみを、自分の心痛として感じたり……と。			文明の発展							
そんな彼女が、星々を渡り、強く終わりを望んでいる生命に出会ったとしたら……？			そんな彼女が、星々を渡り、強く終わりを望んでいる生命に出会ったとしたら……？			文明の発展							
否応なく、終わりを望むようになってしまう……！			否応なく、終わりを望むようになってしまう……！			文明の発展							
そして彼女には、その望みを叶えるだけの力があった。……そう、デュナミスです。			そして彼女には、その望みを叶えるだけの力があった。……そう、デュナミスです。			文明の発展							
現地の生命から、終わりを望む気持ちをぶつけられた彼女は、拒むこともできず同調してしまい、デュナミスを操った……竜やイーアの星に、終末を引き起こしたのではないかと。			現地の生命から、終わりを望む気持ちをぶつけられた彼女は、拒むこともできず同調してしまい、デュナミスを操った……竜やイーアの星に、終末を引き起こしたのではないかと。			文明の発展							
もちろん、そういったケースがすべてではないでしょう。彼女が到着したとき、すでに滅んでいた星もあったはず……。			もちろん、そういったケースがすべてではないでしょう。彼女が到着したとき、すでに滅んでいた星もあったはず……。			文明の発展							
ですが「行き止まり」を生成するにあたっては、ここが終点であることを強く願う存在が欠かせません。			ですが「行き止まり」を生成するにあたっては、ここが終点であることを強く願う存在が欠かせません。			文明の発展							
今後、また進む道が見つからないようなことがあれば、「この場所で終わりを願っているのは誰か」という点に着目してみてください。			今後、また進む道が見つからないようなことがあれば、「この場所で終わりを願っているのは誰か」という点に着目してみてください。			文明の発展							
……なんで、それを今、オレたちに言うんだ。			……なんで、それを今、オレたちに言うんだ。			文明の発展							
Forenameさんを選んだのは、隠しごとをしないと、誓ったからです。一度くらいは、ちゃんと果たしませんと……。			Forenameさんを選んだのは、隠しごとをしないと、誓ったからです。一度くらいは、ちゃんと果たしませんと……。			文明の発展							
あなたを選んだのは……そうですね……水晶公と結んだ密約の、対価でしょうか。			あなたを選んだのは……そうですね……水晶公と結んだ密約の、対価でしょうか。			文明の発展							
私はかつて、水晶公の信じた道を……あなたの犠牲によって世界を救うという策を、共犯者として受け入れました。			私はかつて、水晶公の信じた道を……あなたの犠牲によって世界を救うという策を、共犯者として受け入れました。			文明の発展							
だから今度はあなたが、己の良しとする結末に向けて進む私を、どうか受け入れ、見守ってほしい……。			だから今度はあなたが、己の良しとする結末に向けて進む私を、どうか受け入れ、見守ってほしい……。			文明の発展							
そんな風に言われたら、断れるわけないだろ……！			そんな風に言われたら、断れるわけないだろ……！			文明の発展							
……はい。姑息な手を使った私を、どうかお許しください。			……はい。姑息な手を使った私を、どうかお許しください。			文明の発展							
そうまでしても、気づかぬふりはできないのです。私の中に見つけたもの……ここまで生きてきて得た真実……			そうまでしても、気づかぬふりはできないのです。私の中に見つけたもの……ここまで生きてきて得た真実……			文明の発展							
どんなときならば、私は強く立てるのかという、答えに……。			どんなときならば、私は強く立てるのかという、答えに……。			文明の発展							
オレだって、ここまできて駄々をこねたいわけじゃない。もらった助言も、しっかり覚えておく。			オレだって、ここまできて駄々をこねたいわけじゃない。もらった助言も、しっかり覚えておく。			文明の発展							
……だから想いを貫け、ウリエンジェ。ほかの誰のものでもない、あんたの想いを。			……だから想いを貫け、ウリエンジェ。ほかの誰のものでもない、あんたの想いを。			文明の発展							
ええ……お任せください。			ええ……お任せください。			文明の発展							
それではさっそく参りましょう。我らが魔女と、イーアたちの待つ、「辞世の連句碑」へ……！			それではさっそく参りましょう。我らが魔女と、イーアたちの待つ、「辞世の連句碑」へ……！			文明の発展							
…………。			…………。			文明の発展							
……オレたちも行こう。「辞世の連句碑」は、確かイーアの里の外れだったよな。			……オレたちも行こう。「辞世の連句碑」は、確かイーアの里の外れだったよな。			文明の発展							
調査をしてきたそうだが、このまま話を始めてもらって大丈夫かい……？だったら、その旨をヤ・シュトラに告げてあげるといい。			調査をしてきたそうだが、このまま話を始めてもらって大丈夫かい……？だったら、その旨をヤ・シュトラに告げてあげるといい。			文明の発展							
もう話は終わったの？こっちは、そろったら話を聞かせてほしいって、コフ＝コーグたちに言っておいたわ。			もう話は終わったの？こっちは、そろったら話を聞かせてほしいって、コフ＝コーグたちに言っておいたわ。			文明の発展							
さて……。どうあれ、まずはイーアたちの想いを伺いましょう。全知を得た彼らが、いかにして終わりを望んだのか……。			さて……。どうあれ、まずはイーアたちの想いを伺いましょう。全知を得た彼らが、いかにして終わりを望んだのか……。			文明の発展							
……オレなら大丈夫だ、始めてくれ。			……オレなら大丈夫だ、始めてくれ。			文明の発展							
おや、遅れてくるとのことだったが、ずいぶんと早いじゃないか。私たちにとっては、待ったうちにもはいらないよ。			おや、遅れてくるとのことだったが、ずいぶんと早いじゃないか。私たちにとっては、待ったうちにもはいらないよ。			文明の発展							
話す準備はできている。君たちの文明水準を考慮して、情報を簡略化することも、すでに打ち合わせ済みだ。			話す準備はできている。君たちの文明水準を考慮して、情報を簡略化することも、すでに打ち合わせ済みだ。			文明の発展							
先頭に立つ彼女……ヤ・シュトラと言ったね。彼女は僕たちの得た真理に、とても興味があるようだ。かわいそうに……。			先頭に立つ彼女……ヤ・シュトラと言ったね。彼女は僕たちの得た真理に、とても興味があるようだ。かわいそうに……。			文明の発展							
君たちが、正常なまま話を聞き終えられることを願う。かつてこの事実を我々から知らされたことで、パニックになり自滅した星があったものでな……。			君たちが、正常なまま話を聞き終えられることを願う。かつてこの事実を我々から知らされたことで、パニックになり自滅した星があったものでな……。			文明の発展							
おかえりなさい。これで全員そろったわね……。			おかえりなさい。これで全員そろったわね……。			文明の発展							
イーアの里のコフ＝コーグは、ゆらゆらと同胞たちを待っている。			イーアの里のコフ＝コーグは、ゆらゆらと同胞たちを待っている。			●●を捨てて久しく							
コフ＝コーグと話す			コフ＝コーグと話す			●●を捨てて久しく							
指定地点で待機			指定地点で待機			●●を捨てて久しく							
指定地点で再度待機			指定地点で再度待機			●●を捨てて久しく							
ヤ・シュトラと話す			ヤ・シュトラと話す			●●を捨てて久しく							
これが住居とは……だが、肉体なき精神体が宿る場所としては、道理なのだろうね。			これが住居とは……だが、肉体なき精神体が宿る場所としては、道理なのだろうね。			●●を捨てて久しく							
エーテライトにするみたいに、交感をすればいいのよね……？なんだか、途切れ途切れの呻きみたいなものしか、聞こえないんだけど……。			エーテライトにするみたいに、交感をすればいいのよね……？なんだか、途切れ途切れの呻きみたいなものしか、聞こえないんだけど……。			●●を捨てて久しく							
こちらの住居からは、反応がありません。深く眠っておいでなのでしょうか……あるいは……。			こちらの住居からは、反応がありません。深く眠っておいでなのでしょうか……あるいは……。			●●を捨てて久しく							
意欲的な研究は、もう必要ない……か。肉体を取り戻したいというのも、それほど切迫した願望ではないのかしら……？			意欲的な研究は、もう必要ない……か。肉体を取り戻したいというのも、それほど切迫した願望ではないのかしら……？			●●を捨てて久しく							
とにかく、ここで眠っているイーアたちを起こして、事情を聞かせてもらうとしましょう。			とにかく、ここで眠っているイーアたちを起こして、事情を聞かせてもらうとしましょう。			●●を捨てて久しく							
ここのイーアは、間もなく出てきてくれるそうだ。やっぱり、コフ＝コーグと同じような見た目なのかな……？			ここのイーアは、間もなく出てきてくれるそうだ。やっぱり、コフ＝コーグと同じような見た目なのかな……？			●●を捨てて久しく							
戻ったわ。私はうまく対話できる相手に巡り会えなかったけど、みんなが声を掛けた中には、起きてくれたイーアもいたみたい。			戻ったわ。私はうまく対話できる相手に巡り会えなかったけど、みんなが声を掛けた中には、起きてくれたイーアもいたみたい。			●●を捨てて久しく							
……ああ、ちょうど来たようだ。			……ああ、ちょうど来たようだ。			●●を捨てて久しく							
同志ラァ＝ラーク、デゥ＝デーク、それにネェ＝ネーグだ。こうして対面するのは、私も久々だよ。			同志ラァ＝ラーク、デゥ＝デーク、それにネェ＝ネーグだ。こうして対面するのは、私も久々だよ。			●●を捨てて久しく							
久しいな、コフ＝コーグ。会わないうちに、サドルIVがひとまわりしたんじゃないか？			久しいな、コフ＝コーグ。会わないうちに、サドルIVがひとまわりしたんじゃないか？			●●を捨てて久しく							
まったくだ。旅人諸君に指摘されるまで気づかなかったが、ここに集った者も、もうずいぶん溶けてしまったようだぞ。			まったくだ。旅人諸君に指摘されるまで気づかなかったが、ここに集った者も、もうずいぶん溶けてしまったようだぞ。			●●を捨てて久しく							
旅人……。ああそうだ、そうだとも、我々はこの者たちに呼ばれたのだ。なんでも、肉体の再獲得を目指すに至る話を聞きたいとか。			旅人……。ああそうだ、そうだとも、我々はこの者たちに呼ばれたのだ。なんでも、肉体の再獲得を目指すに至る話を聞きたいとか。			●●を捨てて久しく							
そうらしい。話すべき事実は隣星までの距離よりも明確だが、私ひとりでは、個人的見解だと受け取られかねないのでね。			そうらしい。話すべき事実は隣星までの距離よりも明確だが、私ひとりでは、個人的見解だと受け取られかねないのでね。			●●を捨てて久しく							
だ、誰が話してるかわからないな……。感じ取れる声も、しゃべり方も、そっくりだ……。			だ、誰が話してるかわからないな……。感じ取れる声も、しゃべり方も、そっくりだ……。			●●を捨てて久しく							
肉体に起因する揺らぎがないと、このようになるのかもしれませんね……。			肉体に起因する揺らぎがないと、このようになるのかもしれませんね……。			●●を捨てて久しく							
ときにコフ＝コーグ。君はもう、旅人諸君に「そういうこと」をしたのかい？			ときにコフ＝コーグ。君はもう、旅人諸君に「そういうこと」をしたのかい？			●●を捨てて久しく							
ほら、あったじゃないか……よそからの来客を迎える際の、お決まりごと……作法が……。			ほら、あったじゃないか……よそからの来客を迎える際の、お決まりごと……作法が……。			●●を捨てて久しく							
おっと……あまりに久々すぎて、すっかり失念していた。確かに、話をするまえに「そういうこと」をするのが、理性ある存在としてのマナーだろう。			おっと……あまりに久々すぎて、すっかり失念していた。確かに、話をするまえに「そういうこと」をするのが、理性ある存在としてのマナーだろう。			●●を捨てて久しく							
だろう？しかし、肝心の「そういうこと」の中身が思い出せない。ええと……つまりは……何だったか……。			だろう？しかし、肝心の「そういうこと」の中身が思い出せない。ええと……つまりは……何だったか……。			●●を捨てて久しく							
記録庫で検索すればいいのではないか？			記録庫で検索すればいいのではないか？			●●を捨てて久しく							
しっかりしたまえ、同志ネェ＝ネーグ。私たちの記録庫は、とうの昔に凍結しただろう。君もあれと繋がって「やるせない病」になりたいのか？			しっかりしたまえ、同志ネェ＝ネーグ。私たちの記録庫は、とうの昔に凍結しただろう。君もあれと繋がって「やるせない病」になりたいのか？			●●を捨てて久しく							
……思い出した。食事を振る舞うのではなかったか？			……思い出した。食事を振る舞うのではなかったか？			●●を捨てて久しく							
彼らのような生命は、肉体を維持するために、エーテルを止め処なく消費する。その補給に寄与することで、親交を望む旨を示したのでは？			彼らのような生命は、肉体を維持するために、エーテルを止め処なく消費する。その補給に寄与することで、親交を望む旨を示したのでは？			●●を捨てて久しく							
(-イーアたち-)そうだ、そうだった！			(-イーアたち-)そうだ、そうだった！			●●を捨てて久しく							
大変失礼した。改めて、君たちを食事に招待させてくれ。そののちに、ゆっくりと話をしよう。			大変失礼した。改めて、君たちを食事に招待させてくれ。そののちに、ゆっくりと話をしよう。			●●を捨てて久しく							
きちんと話をしてもらえるのなら、断る理由は、なさそうだね……。			きちんと話をしてもらえるのなら、断る理由は、なさそうだね……。			●●を捨てて久しく							
では、すぐそこの環状の設備へ……。最高純度のエーテルを、ご馳走しよう。			では、すぐそこの環状の設備へ……。最高純度のエーテルを、ご馳走しよう。			●●を捨てて久しく							
君たちは、どれくらいのエーテルを吸うのだろう？中毒症状の心配はないかい？			君たちは、どれくらいのエーテルを吸うのだろう？中毒症状の心配はないかい？			●●を捨てて久しく							
僕たちの管理する星には、もともと外からの来客が少なかった。肉体を完全に捨てた生物というのは、宇宙でも比較的珍しい……それで、何かと様式が合わなかったんだ。			僕たちの管理する星には、もともと外からの来客が少なかった。肉体を完全に捨てた生物というのは、宇宙でも比較的珍しい……それで、何かと様式が合わなかったんだ。			●●を捨てて久しく							
中でも、意思伝達の方法が合わないと致命的だ。僕たちの持つ情報は、厳重に隠蔽しなくとも、多くの生命にとって盗み聞きさえできないものだったのさ。			中でも、意思伝達の方法が合わないと致命的だ。僕たちの持つ情報は、厳重に隠蔽しなくとも、多くの生命にとって盗み聞きさえできないものだったのさ。			●●を捨てて久しく							
君は、僕たちと対話できる稀有な存在だよ。「感情によって動くエネルギー」を使っているんだろう？良い着眼点だ……それもまた虚しい成果ではあるけれどね。			君は、僕たちと対話できる稀有な存在だよ。「感情によって動くエネルギー」を使っているんだろう？良い着眼点だ……それもまた虚しい成果ではあるけれどね。			●●を捨てて久しく							
記録庫のことすら忘れかけていたとは……。今回は、長くだらけすぎていたか。			記録庫のことすら忘れかけていたとは……。今回は、長くだらけすぎていたか。			●●を捨てて久しく							
まあ、そのまま自我が消え失せたとしても、なんら問題はないのだがね。まるで肉体を有する生物の「寿命」のようじゃないか。			まあ、そのまま自我が消え失せたとしても、なんら問題はないのだがね。まるで肉体を有する生物の「寿命」のようじゃないか。			●●を捨てて久しく							
こうして食事用の施設がある以上、エーテルが補給できなくなって未来が閉ざされた……ということではなさそうだね。			こうして食事用の施設がある以上、エーテルが補給できなくなって未来が閉ざされた……ということではなさそうだね。			●●を捨てて久しく							
エーテルって言ってたし、変なことにはならないと思うけど、ちょっとドキドキするわね……。			エーテルって言ってたし、変なことにはならないと思うけど、ちょっとドキドキするわね……。			●●を捨てて久しく							
外周にも、何やら浴びているかのようなイーアたちがいますね。もしや彼らは、全身を使って、エーテルの流れを直接取り込むのでしょうか？			外周にも、何やら浴びているかのようなイーアたちがいますね。もしや彼らは、全身を使って、エーテルの流れを直接取り込むのでしょうか？			●●を捨てて久しく							
私の予想どおりなら、恐らくこの食事は……			私の予想どおりなら、恐らくこの食事は……			●●を捨てて久しく							
……いえ、ここまできたら、結果を見た方が早いわね。大丈夫、身に危険が及ぶようなことにはならないはずよ。			……いえ、ここまできたら、結果を見た方が早いわね。大丈夫、身に危険が及ぶようなことにはならないはずよ。			●●を捨てて久しく							
適当に立ってろって言われたから、そうしてるんだが……これじゃ、食事というより儀式だな……！？			適当に立ってろって言われたから、そうしてるんだが……これじゃ、食事というより儀式だな……！？			●●を捨てて久しく							
ここは、私たちがエーテルを補給するのに用いている施設だ。名前はとくにないが、私たち懐古主義者には、「レストラン」と呼ばれたりするよ。			ここは、私たちがエーテルを補給するのに用いている施設だ。名前はとくにないが、私たち懐古主義者には、「レストラン」と呼ばれたりするよ。			●●を捨てて久しく							
さあ、中に入って、好きな場所に立つんだ。すぐに極上のエーテルがあふれ出してくるから、好きなだけ吸うといい。			さあ、中に入って、好きな場所に立つんだ。すぐに極上のエーテルがあふれ出してくるから、好きなだけ吸うといい。			●●を捨てて久しく							
大丈夫だ、エーテルの純度は保証しよう。仲間たちとともに、好きなだけ堪能するといい。			大丈夫だ、エーテルの純度は保証しよう。仲間たちとともに、好きなだけ堪能するといい。			●●を捨てて久しく							
濃厚なエーテルが流れ出してくる……はずだが、これといった変化を感じられない。もう少し待ってみよう。			濃厚なエーテルが流れ出してくる……はずだが、これといった変化を感じられない。もう少し待ってみよう。			●●を捨てて久しく							
……やはり変化を感じられない。			……やはり変化を感じられない。			●●を捨てて久しく							
