忘れられた騎士亭前のユステシアは、冒険者に興味があるようだ。			忘れられた騎士亭前のユステシアは、冒険者に興味があるようだ。			イシュガルドのモブハント（中級）							
……だが、当然ながら、「初級」よりは手強いぜ？覚悟ができたら、表の「セントリオボード」から、「クラン・モブ手配書：中級」を選んで持っていきな。			……だが、当然ながら、「初級」よりは手強いぜ？覚悟ができたら、表の「セントリオボード」から、「クラン・モブ手配書：中級」を選んで持っていきな。			イシュガルドのモブハント（中級）							
討伐対象「モブ」の手配書が掲示されている……。次は、「中級」に挑戦してみよう。			討伐対象「モブ」の手配書が掲示されている……。次は、「中級」に挑戦してみよう。			イシュガルドのモブハント（中級）							
「クラン・モブ手配書：中級」が開放された！			「クラン・モブ手配書：中級」が開放された！			イシュガルドのモブハント（中級）							
セントリオボードから、「クラン・モブ手配書：中級」を入手できるようになりました。			セントリオボードから、「クラン・モブ手配書：中級」を入手できるようになりました。			イシュガルドのモブハント（中級）							
聖フィネア連隊の露営地のマーギットは、男に話しかけられて悩んでいるようだ。			聖フィネア連隊の露営地のマーギットは、男に話しかけられて悩んでいるようだ。			冷たい竜狩り							
マーギットから、ドラゴン族の眷属を狩る手伝いを頼まれた。詳しい話は、アイレスに聞けばいいそうだ。聖フィネア連隊の露営地にいる「アイレス」と話そう。			マーギットから、ドラゴン族の眷属を狩る手伝いを頼まれた。詳しい話は、アイレスに聞けばいいそうだ。聖フィネア連隊の露営地にいる「アイレス」と話そう。			冷たい竜狩り							
アイレスと話し、レッドリムでドラゴン族を探すことになった。クルザス西部高地のレッドリムで「アイレス」と合流しよう。			アイレスと話し、レッドリムでドラゴン族を探すことになった。クルザス西部高地のレッドリムで「アイレス」と合流しよう。			冷たい竜狩り							
アイレスと話し、ドラゴン族に襲われた人の遺体を探すことになった。レッドリムにある「貴族の遺体」を探し、敵が現れたら討伐しよう。			アイレスと話し、ドラゴン族に襲われた人の遺体を探すことになった。レッドリムにある「貴族の遺体」を探し、敵が現れたら討伐しよう。			冷たい竜狩り							
遺体を発見し、現れたドラゴン族を倒して、竜の牙を入手した。レッドリムにいる「アイレス」に報告しよう。			遺体を発見し、現れたドラゴン族を倒して、竜の牙を入手した。レッドリムにいる「アイレス」に報告しよう。			冷たい竜狩り							
アイレスに報告した。彼女はドラゴン族を倒すことに熱心なようだ。聖フィネア連隊の露営地の「マーギット」に「竜の牙」を渡し、戦果を報告しよう。			アイレスに報告した。彼女はドラゴン族を倒すことに熱心なようだ。聖フィネア連隊の露営地の「マーギット」に「竜の牙」を渡し、戦果を報告しよう。			冷たい竜狩り							
マーギットに竜の牙を渡し、戦果を報告した。彼女が言うには、牙の持ち主は、目標のドラゴン族ではないようだ。引き続き、戦功をあげたいという彼女たちに協力していこう。			マーギットに竜の牙を渡し、戦果を報告した。彼女が言うには、牙の持ち主は、目標のドラゴン族ではないようだ。引き続き、戦功をあげたいという彼女たちに協力していこう。			冷たい竜狩り							
アイレスと話す			アイレスと話す			冷たい竜狩り							
レッドリムでアイレスと合流			レッドリムでアイレスと合流			冷たい竜狩り							
貴族の遺体を探し、敵が現れたら討伐			貴族の遺体を探し、敵が現れたら討伐			冷たい竜狩り							
アイレスに報告			アイレスに報告			冷たい竜狩り							
マーギットに竜の牙を渡す			マーギットに竜の牙を渡す			冷たい竜狩り							
あなた、何か用……？今、取り込み中……。			あなた、何か用……？今、取り込み中……。			冷たい竜狩り							
そうですね……前向きに考えさせてください。最後に試してみて、それで答えを考えます。			そうですね……前向きに考えさせてください。最後に試してみて、それで答えを考えます。			冷たい竜狩り							
(-貴族風の男-)いつまでも「腑抜け隊」と呼ばれたくはないだろう？良い返事を期待しているよ。			(-貴族風の男-)いつまでも「腑抜け隊」と呼ばれたくはないだろう？良い返事を期待しているよ。			冷たい竜狩り							
……あら、あなた冒険者さんね？立ち聞きだなんて、趣味が悪いわよ。でも、ちょうどいいわね……少し頼みたいことがあるの。			……あら、あなた冒険者さんね？立ち聞きだなんて、趣味が悪いわよ。でも、ちょうどいいわね……少し頼みたいことがあるの。			冷たい竜狩り							
私は、ドミニアク様の部下なんだけど……。最近ドミニアク様は、何か考えがあるみたいでね、私たちにドラゴン族の眷属狩りをさせないのよ。			私は、ドミニアク様の部下なんだけど……。最近ドミニアク様は、何か考えがあるみたいでね、私たちにドラゴン族の眷属狩りをさせないのよ。			冷たい竜狩り							
ほかの隊は、末端の眷属を毎日大量に狩って、小さな功績をコツコツと積み上げているのに……。このままじゃ、差が開く一方だわ。			ほかの隊は、末端の眷属を毎日大量に狩って、小さな功績をコツコツと積み上げているのに……。このままじゃ、差が開く一方だわ。			冷たい竜狩り							
だから、ドミニアク様の指示を待たず、部隊の兵を集めて、眷属狩りをやろうと思っているの。冒険者さんも、それに協力してくれないかしら？			だから、ドミニアク様の指示を待たず、部隊の兵を集めて、眷属狩りをやろうと思っているの。冒険者さんも、それに協力してくれないかしら？			冷たい竜狩り							
詳しい話は、隣の「アイレス」に聞いてね。変わってるけど、悪い娘じゃないから……よろしくね。			詳しい話は、隣の「アイレス」に聞いてね。変わってるけど、悪い娘じゃないから……よろしくね。			冷たい竜狩り							
協力よろしくね、冒険者さん。手柄を立てて、ドミニアク様の鼻を明かしてやりましょ。			協力よろしくね、冒険者さん。手柄を立てて、ドミニアク様の鼻を明かしてやりましょ。			冷たい竜狩り							
アイレスは、私……。あなたは、誰？			アイレスは、私……。あなたは、誰？			冷たい竜狩り							
理解した……。ちょうど、人手を探していたところ。			理解した……。ちょうど、人手を探していたところ。			冷たい竜狩り							
さっき、偵察に出ていたほかの部隊が、大物のドラゴン族に襲われて逃げ帰ってきた。これは、私たちにとって大手柄を挙げる好機。			さっき、偵察に出ていたほかの部隊が、大物のドラゴン族に襲われて逃げ帰ってきた。これは、私たちにとって大手柄を挙げる好機。			冷たい竜狩り							
まずは、現地へ向かう。露営地の南にあるレッドリムに、行く。			まずは、現地へ向かう。露営地の南にあるレッドリムに、行く。			冷たい竜狩り							
このあたりが、ドラゴン族との遭遇地点。近くにあるはずの、戦死した貴族の遺体を探して。……もし敵が襲ってきたら、自分で、身を守って。			このあたりが、ドラゴン族との遭遇地点。近くにあるはずの、戦死した貴族の遺体を探して。……もし敵が襲ってきたら、自分で、身を守って。			冷たい竜狩り							
このあたりが、ドラゴン族との遭遇地点。近くにあるはずの、戦死した貴族の遺体を探して。……もし敵が襲ってきたら、自分で、身を守って。			このあたりが、ドラゴン族との遭遇地点。近くにあるはずの、戦死した貴族の遺体を探して。……もし敵が襲ってきたら、自分で、身を守って。			冷たい竜狩り							
貴族の遺体は、あった？			貴族の遺体は、あった？			冷たい竜狩り							
ドラゴン族が現れ、あなたが単独で撃退した……？			ドラゴン族が現れ、あなたが単独で撃退した……？			冷たい竜狩り							
……その功績は、あなたのもの。マーギットさんに報告すべき。			……その功績は、あなたのもの。マーギットさんに報告すべき。			冷たい竜狩り							
いつか私にも教えてほしい、ドラゴン族の倒し方。私は強くなり、功績を積みたい。そして、上にのしあがり、この狂った世界を……っ！			いつか私にも教えてほしい、ドラゴン族の倒し方。私は強くなり、功績を積みたい。そして、上にのしあがり、この狂った世界を……っ！			冷たい竜狩り							
……なんでもない。その「竜の牙」を、「マーギット」さんに届けて。私は、ほかの遺体の捜索と、弔いの準備があるから……。			……なんでもない。その「竜の牙」を、「マーギット」さんに届けて。私は、ほかの遺体の捜索と、弔いの準備があるから……。			冷たい竜狩り							
あら、お帰りなさい、冒険者さん。私に贈り物でも持ってきてくれたのかしら？			あら、お帰りなさい、冒険者さん。私に贈り物でも持ってきてくれたのかしら？			冷たい竜狩り							
へえ、これはドラゴン族の牙じゃない！大手柄だわ！冒険者さんって、すごいのね。			へえ、これはドラゴン族の牙じゃない！大手柄だわ！冒険者さんって、すごいのね。			冷たい竜狩り							
でも、情報より小さい気がするわ。もしかしたら、偵察隊を襲ったドラゴン族じゃないかも……。			でも、情報より小さい気がするわ。もしかしたら、偵察隊を襲ったドラゴン族じゃないかも……。			冷たい竜狩り							
ラストヴィジルの物憂げな令嬢は、ため息をついている。			ラストヴィジルの物憂げな令嬢は、ため息をついている。			兄の心妹知らず							
物憂げな令嬢から、家を出て行った兄に会うことがあれば、身を案じていたことを伝えてほしいと頼まれた。彼女の兄が頼れるのはレッドワルドくらいらしいが……。クルザス西部高地のファルコンネストにいる「レッドワルド」と話そう。			物憂げな令嬢から、家を出て行った兄に会うことがあれば、身を案じていたことを伝えてほしいと頼まれた。彼女の兄が頼れるのはレッドワルドくらいらしいが……。クルザス西部高地のファルコンネストにいる「レッドワルド」と話そう。			兄の心妹知らず							
レッドワルドに話を聞いた。令嬢の兄は、聖フィネア連隊に合流すると言っていたそうだ。クルザス西部高地の聖フィネア連隊の露営地にいる「貴族風の若者」と話そう。			レッドワルドに話を聞いた。令嬢の兄は、聖フィネア連隊に合流すると言っていたそうだ。クルザス西部高地の聖フィネア連隊の露営地にいる「貴族風の若者」と話そう。			兄の心妹知らず							
令嬢の兄を発見した。慣れない場所で心が折れていたようだが、妹が身を案じていたことを伝えると、反骨精神からやる気を取り戻したようだ。			令嬢の兄を発見した。慣れない場所で心が折れていたようだが、妹が身を案じていたことを伝えると、反骨精神からやる気を取り戻したようだ。			兄の心妹知らず							
ファルコンネストのレッドワルドと話す			ファルコンネストのレッドワルドと話す			兄の心妹知らず							
聖フィネア連隊の露営地の貴族風の若者と話す			聖フィネア連隊の露営地の貴族風の若者と話す			兄の心妹知らず							
ハァ………………。あら、ため息を聞かれてしまったのですね、お恥ずかしい……。実は、大好きなお兄様が、家を出てしまわれたのです。			ハァ………………。あら、ため息を聞かれてしまったのですね、お恥ずかしい……。実は、大好きなお兄様が、家を出てしまわれたのです。			兄の心妹知らず							
理由もお告げにならなかったことが、心配で心配で……。皇都の外でお兄様が頼れる方なんて、「ファルコンネスト」の「レッドワルド」様くらいですのに……。			理由もお告げにならなかったことが、心配で心配で……。皇都の外でお兄様が頼れる方なんて、「ファルコンネスト」の「レッドワルド」様くらいですのに……。			兄の心妹知らず							
もしも、出会うことがありましたら、妹が身を案じていたと、お伝えくださいませ……。			もしも、出会うことがありましたら、妹が身を案じていたと、お伝えくださいませ……。			兄の心妹知らず							
皇都の外でお兄様が頼れる方なんて、「ファルコンネスト」の「レッドワルド」様くらいですのに……。			皇都の外でお兄様が頼れる方なんて、「ファルコンネスト」の「レッドワルド」様くらいですのに……。			兄の心妹知らず							
……ああ、その人物ならばここに来たぞ。「聖フィネア連隊」に合流すると、息巻いてたな。			……ああ、その人物ならばここに来たぞ。「聖フィネア連隊」に合流すると、息巻いてたな。			兄の心妹知らず							
彼は、貴族ではあるが、家督を継げぬ三男坊……。自分の将来のために、ドラゴン族を狩り、功績を挙げたいのだろう。			彼は、貴族ではあるが、家督を継げぬ三男坊……。自分の将来のために、ドラゴン族を狩り、功績を挙げたいのだろう。			兄の心妹知らず							
……ああ、その人物ならここに来たぞ。「聖フィネア連隊」に合流すると、息巻いてたな。			……ああ、その人物ならここに来たぞ。「聖フィネア連隊」に合流すると、息巻いてたな。			兄の心妹知らず							
もうやだ～怖いよ～。こんなところで戦えるわけないじゃないか～。寒いよ～、もう帰りたいよ～。			もうやだ～怖いよ～。こんなところで戦えるわけないじゃないか～。寒いよ～、もう帰りたいよ～。			兄の心妹知らず							
……え？確かに、その子は僕の妹だけど……。			……え？確かに、その子は僕の妹だけど……。			兄の心妹知らず							
妹が僕の身を案じてるだって！？こ、皇都にいたときは、散々こき使ったくせに！……どうせ、こき使える相手がいなくて言ってるだけだ！			妹が僕の身を案じてるだって！？こ、皇都にいたときは、散々こき使ったくせに！……どうせ、こき使える相手がいなくて言ってるだけだ！			兄の心妹知らず							
くっそ～！　絶対に帰らないぞ！ドラゴン族を狩りまくって、功績を立てまくって、兄貴たちと妹を見返してやる～！			くっそ～！　絶対に帰らないぞ！ドラゴン族を狩りまくって、功績を立てまくって、兄貴たちと妹を見返してやる～！			兄の心妹知らず							
聖フィネア連隊の露営地のマーギットは、冒険者にさらなる依頼があるようだ。			聖フィネア連隊の露営地のマーギットは、冒険者にさらなる依頼があるようだ。			失われた竜狩り							
マーギットから、ドラゴン族に殺された者の遺品を集めるよう頼まれた。クルザス西部高地のレッドリムにいる「スレート・イエティ」を討伐し、「戦死者の遺品」を5個入手しよう。			マーギットから、ドラゴン族に殺された者の遺品を集めるよう頼まれた。クルザス西部高地のレッドリムにいる「スレート・イエティ」を討伐し、「戦死者の遺品」を5個入手しよう。			失われた竜狩り							
スレート・イエティを倒し、戦死者の遺品を5個入手した。クルザス西部高地のファルコンネストにいる「アイレス」に「戦死者の遺品」を渡そう。			スレート・イエティを倒し、戦死者の遺品を5個入手した。クルザス西部高地のファルコンネストにいる「アイレス」に「戦死者の遺品」を渡そう。			失われた竜狩り							
アイレスに戦死者の遺品を渡した。大きな戦功をあげられず焦る彼女は、何かを決意したようだが……。聖フィネア連隊の露営地のマーギットに報告しよう。			アイレスに戦死者の遺品を渡した。大きな戦功をあげられず焦る彼女は、何かを決意したようだが……。聖フィネア連隊の露営地のマーギットに報告しよう。			失われた竜狩り							
マーギットに報告した。彼女はアイレスが戻り次第、作戦を練り直すつもりのようだ。引き続き、ふたりに協力していこう。			マーギットに報告した。彼女はアイレスが戻り次第、作戦を練り直すつもりのようだ。引き続き、ふたりに協力していこう。			失われた竜狩り							
スレート・イエティを討伐し戦死者の遺品を入手			スレート・イエティを討伐し戦死者の遺品を入手			失われた竜狩り							
ファルコンネストのアイレスに戦死者の遺品を渡す			ファルコンネストのアイレスに戦死者の遺品を渡す			失われた竜狩り							
マーギットに報告			マーギットに報告			失われた竜狩り							
あなたが持ってきた竜の牙を調べてみたんだけど、やっぱり、偵察隊を襲ったドラゴン族ではなかったみたい。生存者の証言と、大きさが食い違うわ。			あなたが持ってきた竜の牙を調べてみたんだけど、やっぱり、偵察隊を襲ったドラゴン族ではなかったみたい。生存者の証言と、大きさが食い違うわ。			失われた竜狩り							
もうひとつ、気になることがあるの。見つかった戦死者の遺体が、やけに少ないのよ。			もうひとつ、気になることがあるの。見つかった戦死者の遺体が、やけに少ないのよ。			失われた竜狩り							
考えたくもない話だけど、ドラゴン族に殺された後、周辺の魔物の餌食になってしまった可能性があるわね……。せめて、遺品だけでも家族に届けたいけれど。			考えたくもない話だけど、ドラゴン族に殺された後、周辺の魔物の餌食になってしまった可能性があるわね……。せめて、遺品だけでも家族に届けたいけれど。			失われた竜狩り							
そこであなたに、お願いがあるわ。レッドリムにいる「スレート・イエティ」を討伐してほしいの。おそらく、奴らが戦死者たちを……！			そこであなたに、お願いがあるわ。レッドリムにいる「スレート・イエティ」を討伐してほしいの。おそらく、奴らが戦死者たちを……！			失われた竜狩り							
奴らから回収した「戦死者の遺品」は、アイレスに渡して。あの娘は遺体の埋葬のために「ファルコンネスト」に向かってる。話は通しておくから、よろしく頼むわ。			奴らから回収した「戦死者の遺品」は、アイレスに渡して。あの娘は遺体の埋葬のために「ファルコンネスト」に向かってる。話は通しておくから、よろしく頼むわ。			失われた竜狩り							
レッドリムにいる「スレート・イエティ」を討伐して、「戦死者の遺品」をアイレスに渡してちょうだい。あの娘は「ファルコンネスト」にいるわ。			レッドリムにいる「スレート・イエティ」を討伐して、「戦死者の遺品」をアイレスに渡してちょうだい。あの娘は「ファルコンネスト」にいるわ。			失われた竜狩り							
話は聞いている。戦死者の遺品をちょうだい。			話は聞いている。戦死者の遺品をちょうだい。			失われた竜狩り							
……確かに、受け取った。手続きを取って、皇都の遺族に送っておくから。			……確かに、受け取った。手続きを取って、皇都の遺族に送っておくから。			失われた竜狩り							
このようなつまらないことを続けて、いつになったら、私は功績をあげられるの？			このようなつまらないことを続けて、いつになったら、私は功績をあげられるの？			失われた竜狩り							
…………いっそ、もう。			…………いっそ、もう。			失われた竜狩り							
なんでもない……。「マーギット」さんへの報告は任せる。			なんでもない……。「マーギット」さんへの報告は任せる。			失われた竜狩り							
戻ったのね、冒険者さん。何か、問題はあったかしら？			戻ったのね、冒険者さん。何か、問題はあったかしら？			失われた竜狩り							
そう、それはよかったわ。アイレスが戻ったら、改めて作戦を練り直しましょう。そろそろ戻ってくるはずだから……。			そう、それはよかったわ。アイレスが戻ったら、改めて作戦を練り直しましょう。そろそろ戻ってくるはずだから……。			失われた竜狩り							
イシュガルドのオルシュファンは、事情を説明してほしいようだ。			イシュガルドのオルシュファンは、事情を説明してほしいようだ。			アイメリクの決意							
フォルタン伯爵やアイメリクに、いままでの冒険の顛末を報告することになった。エドモン・ド・フォルタン伯爵と話すため、イシュガルドの「フォルタン伯爵邸」に入ろう。			フォルタン伯爵やアイメリクに、いままでの冒険の顛末を報告することになった。エドモン・ド・フォルタン伯爵と話すため、イシュガルドの「フォルタン伯爵邸」に入ろう。			アイメリクの決意							
冒険の中で知った1000年前の真実を報告した。それを聞いたアイメリクは、真実を隠蔽していた教皇を詰問するため、教皇庁へ向かった。ルキアをはじめとする一同は、万が一の事態になった場合、教皇庁を敵に回す覚悟でアイメリクを救出することを決断する。フォルタン伯爵邸にいる「ルキア」と話そう。			冒険の中で知った1000年前の真実を報告した。それを聞いたアイメリクは、真実を隠蔽していた教皇を詰問するため、教皇庁へ向かった。ルキアをはじめとする一同は、万が一の事態になった場合、教皇庁を敵に回す覚悟でアイメリクを救出することを決断する。フォルタン伯爵邸にいる「ルキア」と話そう。			アイメリクの決意							
ルキアから、力を貸してほしいと頼まれた。彼女にとってアイメリクは、教皇庁を敵に回しても構わないほど、大切な人であるようだ。			ルキアから、力を貸してほしいと頼まれた。彼女にとってアイメリクは、教皇庁を敵に回しても構わないほど、大切な人であるようだ。			アイメリクの決意							
フォルタン伯爵邸に入る			フォルタン伯爵邸に入る			アイメリクの決意							
ルキアと話す			ルキアと話す			アイメリクの決意							
それにしても、友よ……。「氷の巫女」を連れてくるとは驚いたぞ。いったい、何があったというのだ？			それにしても、友よ……。「氷の巫女」を連れてくるとは驚いたぞ。いったい、何があったというのだ？			アイメリクの決意							
なんと……イゼルとともにドラヴァニア雲海へ！？エスティニアン殿と動いているとは聞いていたが……。			なんと……イゼルとともにドラヴァニア雲海へ！？エスティニアン殿と動いているとは聞いていたが……。			アイメリクの決意							
ともあれ、邪竜「ニーズヘッグ」を退けたこと、そして異端者による騒乱を鎮めたことは、朗報と言ってイイ！フォルタン伯爵やアイメリク卿に報告せねば！			ともあれ、邪竜「ニーズヘッグ」を退けたこと、そして異端者による騒乱を鎮めたことは、朗報と言ってイイ！フォルタン伯爵やアイメリク卿に報告せねば！			アイメリクの決意							
アイメリクたちには、俺から連絡を入れておこう。「フォルタン家の屋敷」に集まるよう手はずを整えても？			アイメリクたちには、俺から連絡を入れておこう。「フォルタン家の屋敷」に集まるよう手はずを整えても？			アイメリクの決意							
助かります、エスティニアン殿。			助かります、エスティニアン殿。			アイメリクの決意							
それでは、Forename。「エドモン・ド・フォルタン伯爵」のもとへ行こう！			それでは、Forename。「エドモン・ド・フォルタン伯爵」のもとへ行こう！			アイメリクの決意							
ひとまず引いてくれた……か。			ひとまず引いてくれた……か。			アイメリクの決意							
危険な賭けに巻き込んでしまう形になるが、力を貸してもらえると助かる。			危険な賭けに巻き込んでしまう形になるが、力を貸してもらえると助かる。			アイメリクの決意							
アイメリク様は……大切な方なのだ……。			アイメリク様は……大切な方なのだ……。			アイメリクの決意							
アイメリク卿をここで失う訳にはいかない。微力ながら、私も行動させてもらおう。			アイメリク卿をここで失う訳にはいかない。微力ながら、私も行動させてもらおう。			アイメリクの決意							
アイメリクも無茶をしてくれる……。まぁ、人のことはいってられんか。			アイメリクも無茶をしてくれる……。まぁ、人のことはいってられんか。			アイメリクの決意							
もちろんです、父上。この盾の一角獣に誓って、盟友を護ってみせましょう。			もちろんです、父上。この盾の一角獣に誓って、盟友を護ってみせましょう。			アイメリクの決意							
フォルタン家の命運を賭けるときがきたか……。場合によっては、蒼天騎士団と一戦交える覚悟が必要であろう。……わかっておるのだな？			フォルタン家の命運を賭けるときがきたか……。場合によっては、蒼天騎士団と一戦交える覚悟が必要であろう。……わかっておるのだな？			アイメリクの決意							
不滅隊：作戦本部のダンシング・ウルフ大闘士は、冒険者に提案があるようだ。			不滅隊：作戦本部のダンシング・ウルフ大闘士は、冒険者に提案があるようだ。			黒衣の男							
ダンシング・ウルフ大闘士は、囮の輸送部隊でトリスタンを罠にかける作戦を計画中だ。その作戦に、冒険者たちにも参加してほしいと頼まれた。北ザナラーンのキャンプ・ブルーフォグにいる「ダンシング・ウルフ大闘士」と話そう。			ダンシング・ウルフ大闘士は、囮の輸送部隊でトリスタンを罠にかける作戦を計画中だ。その作戦に、冒険者たちにも参加してほしいと頼まれた。北ザナラーンのキャンプ・ブルーフォグにいる「ダンシング・ウルフ大闘士」と話そう。			黒衣の男							
ダンシング・ウルフ大闘士と話した。作戦は、トラブルが起きて立ち往生する囮の輸送部隊を、冒険者たちが監視して、犯人が出てくるのを待つというもの。北ザナラーンのブルーフォグにある「指定地点」で見渡そう。			ダンシング・ウルフ大闘士と話した。作戦は、トラブルが起きて立ち往生する囮の輸送部隊を、冒険者たちが監視して、犯人が出てくるのを待つというもの。北ザナラーンのブルーフォグにある「指定地点」で見渡そう。			黒衣の男							
囮に釣られ、イフリート・エギを使役する黒ローブの人物が現れた。ブルーフォグで「黒法衣の召喚士」と「イフリート・エギ」を討伐しよう。			囮に釣られ、イフリート・エギを使役する黒ローブの人物が現れた。ブルーフォグで「黒法衣の召喚士」と「イフリート・エギ」を討伐しよう。			黒衣の男							
黒法衣の召喚士とイフリート・エギを倒した。ブルーフォグの「オトリ役の輸送兵」を救助しよう。			黒法衣の召喚士とイフリート・エギを倒した。ブルーフォグの「オトリ役の輸送兵」を救助しよう。			黒衣の男							
冒険者が倒した相手は、死んだはずのトリスタンの兄であり、彼に召喚士の力を与えたのは十二杯のアシエンだった。ひとまず、負傷者をウルダハに運ぼう。不滅隊：作戦本部の「ダンシング・ウルフ大闘士」と話そう。			冒険者が倒した相手は、死んだはずのトリスタンの兄であり、彼に召喚士の力を与えたのは十二杯のアシエンだった。ひとまず、負傷者をウルダハに運ぼう。不滅隊：作戦本部の「ダンシング・ウルフ大闘士」と話そう。			黒衣の男							
ダンシング・ウルフ大闘士と話した。死体を操るアシエンを、許すわけにはいかない。奴らとの戦いに備え、さらなる力と魔法を身につけよう。※召喚士のレベルが58以上になると、不滅隊：作戦本部のダンシング・ウルフ大闘士から次の召喚士クエストを受注することができます。			ダンシング・ウルフ大闘士と話した。死体を操るアシエンを、許すわけにはいかない。奴らとの戦いに備え、さらなる力と魔法を身につけよう。※召喚士のレベルが58以上になると、不滅隊：作戦本部のダンシング・ウルフ大闘士から次の召喚士クエストを受注することができます。			黒衣の男							
キャンプ・ブルーフォグでダンシング・ウルフ大闘士と話す			キャンプ・ブルーフォグでダンシング・ウルフ大闘士と話す			黒衣の男							
指定地点で周囲を見渡す			指定地点で周囲を見渡す			黒衣の男							
黒法衣の召喚士とイフリート・エギを討伐			黒法衣の召喚士とイフリート・エギを討伐			黒衣の男							
オトリ役の輸送兵を救助する			オトリ役の輸送兵を救助する			黒衣の男							
不滅隊：作戦本部のダンシング・ウルフと話す			不滅隊：作戦本部のダンシング・ウルフと話す			黒衣の男							
よく来てくれたな……。ひとつ提案があるんだが、聞いてくれんか？			よく来てくれたな……。ひとつ提案があるんだが、聞いてくれんか？			黒衣の男							
クリスタルの流通経路の警護を厚くすることで、黒いローブの男……トリスタンによる襲撃は起きなくなった。そこで今度は、こちらからヤツをおびき出したいのだ……！			クリスタルの流通経路の警護を厚くすることで、黒いローブの男……トリスタンによる襲撃は起きなくなった。そこで今度は、こちらからヤツをおびき出したいのだ……！			黒衣の男							
不滅隊の全面的な協力の下、囮の輸送部隊を編成し、トリスタンを罠にかける作戦を計画した。			不滅隊の全面的な協力の下、囮の輸送部隊を編成し、トリスタンを罠にかける作戦を計画した。			黒衣の男							
この作戦に、お前も参加してもらいたい！もちろん、ヤ・ミトラの嬢ちゃんにも声をかけてある。準備ができたら、「キャンプ・ブルーフォグ」まで来てくれ。			この作戦に、お前も参加してもらいたい！もちろん、ヤ・ミトラの嬢ちゃんにも声をかけてある。準備ができたら、「キャンプ・ブルーフォグ」まで来てくれ。			黒衣の男							
ダンシング・ウルフ大闘士から話は聞いた？今は、彼の指示に従いましょう。			ダンシング・ウルフ大闘士から話は聞いた？今は、彼の指示に従いましょう。			黒衣の男							
Forenameも来たのね。この作戦で、トリスタンを捕らえましょう……！			Forenameも来たのね。この作戦で、トリスタンを捕らえましょう……！			黒衣の男							
待っていたぞ……。先ほどオトリ役の輸送部隊が出発したところだ。簡単に作戦を説明しておこう。			待っていたぞ……。先ほどオトリ役の輸送部隊が出発したところだ。簡単に作戦を説明しておこう。			黒衣の男							
