クォーリーミルのメッフリッドは、冒険者に折り入って頼みがあるようだ。			クォーリーミルのメッフリッドは、冒険者に折り入って頼みがあるようだ。			角薬が繋ぐ縁							
メッフリッド隊長が依頼していた冒険者ですね？く、薬は手に入ったのでしょうか？			メッフリッド隊長が依頼していた冒険者ですね？く、薬は手に入ったのでしょうか？			角薬が繋ぐ縁							
ありがとうございます！これで仲間たちを無駄死にさせずにすみます！			ありがとうございます！これで仲間たちを無駄死にさせずにすみます！			角薬が繋ぐ縁							
……メッフリッド隊長も、これでいくらか肩の荷が降りるでしょう。よかった……本当によかった……。			……メッフリッド隊長も、これでいくらか肩の荷が降りるでしょう。よかった……本当によかった……。			角薬が繋ぐ縁							
クォーリーミルのメッフリッドは、冒険者に火急の仕事を頼みたいようだ。			クォーリーミルのメッフリッドは、冒険者に火急の仕事を頼みたいようだ。			異邦の絆							
メッフリッドの大怪我をした部下ガリエンが失踪したらしい。クォーリーミルのアラミゴ人の顔役「アルブレダ」に話を聞こう。			メッフリッドの大怪我をした部下ガリエンが失踪したらしい。クォーリーミルのアラミゴ人の顔役「アルブレダ」に話を聞こう。			異邦の絆							
アルブレダのもとには、ガリエンの手紙が送られていた。クォーリーミルの「メッフリッド」に報告しよう。			アルブレダのもとには、ガリエンの手紙が送られていた。クォーリーミルの「メッフリッド」に報告しよう。			異邦の絆							
メッフリッドにガリエンの捜索に協力を依頼された。クォーリーミル東で、失踪した「ガリエン」の行方を捜そう。			メッフリッドにガリエンの捜索に協力を依頼された。クォーリーミル東で、失踪した「ガリエン」の行方を捜そう。			異邦の絆							
ガリエンを見つけ出し、彼を襲っていた敵を討伐した。「ガリエン」に話しかけよう。			ガリエンを見つけ出し、彼を襲っていた敵を討伐した。「ガリエン」に話しかけよう。			異邦の絆							
ガリエンを無事、保護することができた。クォーリーミルの「メッフリッド」に話しかけよう。			ガリエンを無事、保護することができた。クォーリーミルの「メッフリッド」に話しかけよう。			異邦の絆							
仲間の足手まといになることを憂慮し、一度は失踪する道を選んだガリエン。しかし、メッフリッドは彼を叱り、共に生きていくことを選んだ。アラミゴ人の結束はとても強いらしい。			仲間の足手まといになることを憂慮し、一度は失踪する道を選んだガリエン。しかし、メッフリッドは彼を叱り、共に生きていくことを選んだ。アラミゴ人の結束はとても強いらしい。			異邦の絆							
アルブレダと話す			アルブレダと話す			異邦の絆							
メッフリッドと話す			メッフリッドと話す			異邦の絆							
ガリエンを探す			ガリエンを探す			異邦の絆							
ガリエンと話す			ガリエンと話す			異邦の絆							
メッフリッドと話す			メッフリッドと話す			異邦の絆							
おい、お前ッ！俺の部下を、ガリエンを見なかったか！？いつの間にか、いなくなっちまってたんだ！			おい、お前ッ！俺の部下を、ガリエンを見なかったか！？いつの間にか、いなくなっちまってたんだ！			異邦の絆							
ガリエンは部下の中でも、とりわけ傷が重かった奴だ。早く薬を飲ませねェと死んじまう……ッ！クソ、やっと薬が手に入ったってのに！			ガリエンは部下の中でも、とりわけ傷が重かった奴だ。早く薬を飲ませねェと死んじまう……ッ！クソ、やっと薬が手に入ったってのに！			異邦の絆							
そうだ、「アルブレダ」なら何か知ってるかもしれねェ。頼む、彼女のところに行って、話を聞いてきてくれ！			そうだ、「アルブレダ」なら何か知ってるかもしれねェ。頼む、彼女のところに行って、話を聞いてきてくれ！			異邦の絆							
話は聞いているよ。メッフリッドの部下が失踪したらしいじゃないか。……実はしばらく前に、こんな手紙を託されてねえ。			話は聞いているよ。メッフリッドの部下が失踪したらしいじゃないか。……実はしばらく前に、こんな手紙を託されてねえ。			異邦の絆							
「俺一人のために、皆に迷惑はかけられない。　だから俺は部隊を抜けさせてもらいます。　心配しないでリトルアラミゴに出発してください。」			「俺一人のために、皆に迷惑はかけられない。　だから俺は部隊を抜けさせてもらいます。　心配しないでリトルアラミゴに出発してください。」			異邦の絆							
そう、お探しの男の手紙だよ。あの野郎、部隊のために自らを犠牲にするとはね。義理と人情に生きる、アラミゴ人の鑑のような男だよ。			そう、お探しの男の手紙だよ。あの野郎、部隊のために自らを犠牲にするとはね。義理と人情に生きる、アラミゴ人の鑑のような男だよ。			異邦の絆							
……しかし。傷付いた体で森を抜けようとするとは無謀すぎるね……。			……しかし。傷付いた体で森を抜けようとするとは無謀すぎるね……。			異邦の絆							
……そんなッ！？まさか、ひとりで背負い込んで森を抜けようってのか！ガリエン……バカ野郎ッ、無茶な真似しやがって！			……そんなッ！？まさか、ひとりで背負い込んで森を抜けようってのか！ガリエン……バカ野郎ッ、無茶な真似しやがって！			異邦の絆							
俺たちは、これから手わけしてあいつを探す！頼む、お前もあいつの捜索に協力してくれ！			俺たちは、これから手わけしてあいつを探す！頼む、お前もあいつの捜索に協力してくれ！			異邦の絆							
はぁはぁ、チクショウ……。て、敵だ！　気をつけろっ！			はぁはぁ、チクショウ……。て、敵だ！　気をつけろっ！			異邦の絆							
クアールクロウアジト周辺で倒れている部下Aと話す→ゴブリンがポップして倒す(その後Lcut)			クアールクロウアジト周辺で倒れている部下Aと話す→ゴブリンがポップして倒す(その後Lcut)			異邦の絆							
ガリエンッ！			ガリエンッ！			異邦の絆							
た、隊長……すんません……。俺のことは構わず、リトルアラミゴに行ってください……。			た、隊長……すんません……。俺のことは構わず、リトルアラミゴに行ってください……。			異邦の絆							
バカ野郎！　部下を切り捨てて何の隊長かッ！アラミゴ人は、決して仲間を見捨てたりしない。どんなに孤立しても、どんな逆境だろうとな！			バカ野郎！　部下を切り捨てて何の隊長かッ！アラミゴ人は、決して仲間を見捨てたりしない。どんなに孤立しても、どんな逆境だろうとな！			異邦の絆							
俺たちは、共に祖国の復興を誓う「同志」なんだよ！俺は貴様を絶対に死なせたりさせねェ！ともに両の足でアラミゴの土を踏むまではなッ！			俺たちは、共に祖国の復興を誓う「同志」なんだよ！俺は貴様を絶対に死なせたりさせねェ！ともに両の足でアラミゴの土を踏むまではなッ！			異邦の絆							
メッフリッド隊長……。			メッフリッド隊長……。			異邦の絆							
さっさと帰るぞ、バカ野郎。キツい刑罰を覚悟しろよ……傷が癒えたらな！			さっさと帰るぞ、バカ野郎。キツい刑罰を覚悟しろよ……傷が癒えたらな！			異邦の絆							
……礼を言うぜ。ガリエンが助かったのは、お前のおかげだ。俺たちは「クォーリーミル」に戻る、あとで会おう。			……礼を言うぜ。ガリエンが助かったのは、お前のおかげだ。俺たちは「クォーリーミル」に戻る、あとで会おう。			異邦の絆							
ガリエンの傷は大事に至らなかったよ。俺たちは当分、この村に居座ることになりそうだ。……居心地の悪い場所だけどな。			ガリエンの傷は大事に至らなかったよ。俺たちは当分、この村に居座ることになりそうだ。……居心地の悪い場所だけどな。			異邦の絆							
敵の気配を感じた！！			敵の気配を感じた！！			異邦の絆							
クォーリーミルのメッフリッドは、冒険者の「仮面の男」捜索に協力するようだ。			クォーリーミルのメッフリッドは、冒険者の「仮面の男」捜索に協力するようだ。			リトルアラミゴ再び							
メッフリッドは冒険者に盟友を紹介してくれるそうだ。南ザナラーン「リトルアラミゴ」の顔役「グンドバルド」に話そう。			メッフリッドは冒険者に盟友を紹介してくれるそうだ。南ザナラーン「リトルアラミゴ」の顔役「グンドバルド」に話そう。			リトルアラミゴ再び							
メッフリッドの名前を聞いて、グンドバルドは冒険者に対する頑なな態度を軟化させた。今度こそ有力な情報を得られそうだ。			メッフリッドの名前を聞いて、グンドバルドは冒険者に対する頑なな態度を軟化させた。今度こそ有力な情報を得られそうだ。			リトルアラミゴ再び							
リトルアラミゴのグンドバルドにグンドバルド宛の手紙を渡す			リトルアラミゴのグンドバルドにグンドバルド宛の手紙を渡す			リトルアラミゴ再び							
お前には、何から何まで世話になったな。俺たちは故国で活動を続けてきた「アラミゴ解放軍」だ。何の因果か、こんな辺鄙な森に流れついちまったがな。			お前には、何から何まで世話になったな。俺たちは故国で活動を続けてきた「アラミゴ解放軍」だ。何の因果か、こんな辺鄙な森に流れついちまったがな。			リトルアラミゴ再び							
アルブレダから聞いたんだが、俺たち解放軍を探してたそうじゃないか。なんでも、アラミゴ人に協力者がほしいんだって？			アルブレダから聞いたんだが、俺たち解放軍を探してたそうじゃないか。なんでも、アラミゴ人に協力者がほしいんだって？			リトルアラミゴ再び							
いいだろう、世話になった礼も兼ねて紹介状を書こう。「リトルアラミゴ」の「グンドバルド」という男に、渡すといいぜ。			いいだろう、世話になった礼も兼ねて紹介状を書こう。「リトルアラミゴ」の「グンドバルド」という男に、渡すといいぜ。			リトルアラミゴ再び							
俺がまだ駆け出しの新兵だったころの元上官だ。リトルアラミゴの内情を探るにあたって、いろいろと便宜を図ってくれるだろうぜ。			俺がまだ駆け出しの新兵だったころの元上官だ。リトルアラミゴの内情を探るにあたって、いろいろと便宜を図ってくれるだろうぜ。			リトルアラミゴ再び							
お前か……懲りないな。リトルアラミゴは、よそ者を必要としていない。早々に立ち去るがいい……。			お前か……懲りないな。リトルアラミゴは、よそ者を必要としていない。早々に立ち去るがいい……。			リトルアラミゴ再び							
メッフリッド……懐かしい名だ……。戦火の中で別れてからずいぶん経つが、その名は故郷の歌や酒と共に、心の臓に刻まれている。			メッフリッド……懐かしい名だ……。戦火の中で別れてからずいぶん経つが、その名は故郷の歌や酒と共に、心の臓に刻まれている。			リトルアラミゴ再び							
奴の信じたものならば、私も信じよう。お前の探していた「仮面の男」に心当たりがある……。同胞たちの不利益にならないかぎり、答えよう。			奴の信じたものならば、私も信じよう。お前の探していた「仮面の男」に心当たりがある……。同胞たちの不利益にならないかぎり、答えよう。			リトルアラミゴ再び							
リトルアラミゴのグンドバルドは、冒険者にとって有力な情報を提供してくれるそうだ。			リトルアラミゴのグンドバルドは、冒険者にとって有力な情報を提供してくれるそうだ。			密かな企み							
グンドバルドによると、リトルアラミゴの若い連中が「仮面の男」と密会している可能性があるということだ。リトルアラミゴの若者たち4名と話そう。			グンドバルドによると、リトルアラミゴの若い連中が「仮面の男」と密会している可能性があるということだ。リトルアラミゴの若者たち4名と話そう。			密かな企み							
リトルアラミゴの若者たちから話を聞いた、なんだか様子がおかしいようだ。リトルアラミゴの「グンドバルド」に報告しよう。			リトルアラミゴの若者たちから話を聞いた、なんだか様子がおかしいようだ。リトルアラミゴの「グンドバルド」に報告しよう。			密かな企み							
グンドバルドは若者たちの企みを憂慮しているようだ。彼らを暴走させないためにも、冒険者に助力を要請したいようだが……。			グンドバルドは若者たちの企みを憂慮しているようだ。彼らを暴走させないためにも、冒険者に助力を要請したいようだが……。			密かな企み							
リトルアラミゴの若者と話す			リトルアラミゴの若者と話す			密かな企み							
グンドバルドに報告			グンドバルドに報告			密かな企み							
お前が探している「仮面の男」……よく似たよそ者と、うちの若い衆が密会していると聞いた。			お前が探している「仮面の男」……よく似たよそ者と、うちの若い衆が密会していると聞いた。			密かな企み							
私の名を出せば、本人たちから話を聞けるだろう。粗相をするかもしれないが、彼らは若い……。大目にみてやってくれ。			私の名を出せば、本人たちから話を聞けるだろう。粗相をするかもしれないが、彼らは若い……。大目にみてやってくれ。			密かな企み							
仮面の男だぁ？そ、そんな怪しい奴に、会ってるわけねーだろッ！オレはなーーーーんにも悪くねぇッ！			仮面の男だぁ？そ、そんな怪しい奴に、会ってるわけねーだろッ！オレはなーーーーんにも悪くねぇッ！			密かな企み							
……！わたしは危ないって言ったのよ！でも、彼があの男を信じるって……			……！わたしは危ないって言ったのよ！でも、彼があの男を信じるって……			密かな企み							
なぁんだ、あなた何も知らないのね。グンドバルド様の紹介だっていうから、身構えちゃったじゃない！			なぁんだ、あなた何も知らないのね。グンドバルド様の紹介だっていうから、身構えちゃったじゃない！			密かな企み							
仮面の男……さあ、知らないなぁ。なんでそんなことを聞くんだい？			仮面の男……さあ、知らないなぁ。なんでそんなことを聞くんだい？			密かな企み							
……ふぅん。キミが人を探してるってこと仲間に「相談」しておくよ。			……ふぅん。キミが人を探してるってこと仲間に「相談」しておくよ。			密かな企み							
……聞く相手、間違ってるんじゃない？たしかにコソコソやってる連中もいるみたいだけど、オレに言わせりゃ、あんなの腹が減るだけさ。			……聞く相手、間違ってるんじゃない？たしかにコソコソやってる連中もいるみたいだけど、オレに言わせりゃ、あんなの腹が減るだけさ。			密かな企み							
話は聞けたか？……そうか、彼らは何か企んでいるようなのか……。			話は聞けたか？……そうか、彼らは何か企んでいるようなのか……。			密かな企み							
お前の追う男も、無関係ではないようだ。彼らなりの理由があるのだろうと咎めずにいたが……どうも、雲行きが怪しい。			お前の追う男も、無関係ではないようだ。彼らなりの理由があるのだろうと咎めずにいたが……どうも、雲行きが怪しい。			密かな企み							
彼らの目は、理不尽な宿命への怒りに燃えている。かつて故国が在りし頃、暴君の打倒に立ち上がった、私たちと同じ目だ。			彼らの目は、理不尽な宿命への怒りに燃えている。かつて故国が在りし頃、暴君の打倒に立ち上がった、私たちと同じ目だ。			密かな企み							
……しかし、今は耐えるとき。私たちの革命は帝国に利用され、故国を滅ぼした。怒りは時に目を曇らせる……同じ轍を踏まなければ良いが。			……しかし、今は耐えるとき。私たちの革命は帝国に利用され、故国を滅ぼした。怒りは時に目を曇らせる……同じ轍を踏まなければ良いが。			密かな企み							
冒険者よ、お前に改めて助力を請いたい。もし彼らの企みを知ることがあれば、私に報せてくれ。			冒険者よ、お前に改めて助力を請いたい。もし彼らの企みを知ることがあれば、私に報せてくれ。			密かな企み							
リトルアラミゴのレムフィングは、冒険者宛の伝言を預かっているらしい。			リトルアラミゴのレムフィングは、冒険者宛の伝言を預かっているらしい。			ある青年の呼び出し							
手紙の主は「ウィルレッド」というリトルアラミゴの若者だった。北の岩地で待っているウィルレッドと話そう。			手紙の主は「ウィルレッド」というリトルアラミゴの若者だった。北の岩地で待っているウィルレッドと話そう。			ある青年の呼び出し							
ウィルレッドの呼び出しは、冒険者を襲う罠だった。彼らを煽動した「ウィルレッド」に話そう。			ウィルレッドの呼び出しは、冒険者を襲う罠だった。彼らを煽動した「ウィルレッド」に話そう。			ある青年の呼び出し							
ウィルレッドは「作戦」という言葉を残して逃走してしまった。リトルアラミゴの「グンドバルド」に報告しよう。			ウィルレッドは「作戦」という言葉を残して逃走してしまった。リトルアラミゴの「グンドバルド」に報告しよう。			ある青年の呼び出し							
グンドバルドは若者たちの暴走に深く心を痛めているようだ。若者たちの目的とは、いったい何なのだろうか……？			グンドバルドは若者たちの暴走に深く心を痛めているようだ。若者たちの目的とは、いったい何なのだろうか……？			ある青年の呼び出し							
ウィルレッドと話す			ウィルレッドと話す			ある青年の呼び出し							
もう一度ウィルレッドと話す			もう一度ウィルレッドと話す			ある青年の呼び出し							
グンドバルドに報告			グンドバルドに報告			ある青年の呼び出し							
おっ、グンドバルドさんとの話は終わったのかい？あんた宛に、伝言を預かってるんだよ。			おっ、グンドバルドさんとの話は終わったのかい？あんた宛に、伝言を預かってるんだよ。			ある青年の呼び出し							
「ウィルレッド」ってガキからなんだが、あんたとこっそり話したいから、北の岩地で待ってるとさ。			「ウィルレッド」ってガキからなんだが、あんたとこっそり話したいから、北の岩地で待ってるとさ。			ある青年の呼び出し							
あいつは、ここの若い奴らをまとめてるんだ。グンドバルドさんに認められた冒険者なんて珍しいから、話を聞きたいんじゃないか？			あいつは、ここの若い奴らをまとめてるんだ。グンドバルドさんに認められた冒険者なんて珍しいから、話を聞きたいんじゃないか？			ある青年の呼び出し							
待ってたよ、冒険者さん。あなたが信頼できる人だと見こんで、ひとつ聞きたいことがあるんだ。			待ってたよ、冒険者さん。あなたが信頼できる人だと見こんで、ひとつ聞きたいことがあるんだ。			ある青年の呼び出し							
なぁ……オレたちのことを嗅ぎまわって、どうするつもりだ？			なぁ……オレたちのことを嗅ぎまわって、どうするつもりだ？			ある青年の呼び出し							
帝国のスパイか、人拐いの手先か……。どちらにせよ、邪魔させるものかよ！おい、シメ上げろッ！			帝国のスパイか、人拐いの手先か……。どちらにせよ、邪魔させるものかよ！おい、シメ上げろッ！			ある青年の呼び出し							
お前ら内地の者に、オレたちの屈辱は理解できないッ！解った気でいた自分を恨むんだな！			お前ら内地の者に、オレたちの屈辱は理解できないッ！解った気でいた自分を恨むんだな！			ある青年の呼び出し							
（若いアラミゴ人を倒す）			（若いアラミゴ人を倒す）			ある青年の呼び出し							
くっ、腕も立つってワケかよ……！余裕ぶりやがって……くそぉぉぉッ！！			くっ、腕も立つってワケかよ……！余裕ぶりやがって……くそぉぉぉッ！！			ある青年の呼び出し							
だが、作戦は続けるぞ！殴られたって止めるものか……薄暗い洞窟で死を待つだけが、オレたちの一生じゃない！			だが、作戦は続けるぞ！殴られたって止めるものか……薄暗い洞窟で死を待つだけが、オレたちの一生じゃない！			ある青年の呼び出し							
帝国を倒せば、こんな生活は終わるんだ。力を手に入れて、オレたちの敵を一掃してやるッ！			帝国を倒せば、こんな生活は終わるんだ。力を手に入れて、オレたちの敵を一掃してやるッ！			ある青年の呼び出し							
……なんだと？ウィルレッドが、そんなことを……。良からぬ企みとは思っていたが、まさか刃を向けるとは。			……なんだと？ウィルレッドが、そんなことを……。良からぬ企みとは思っていたが、まさか刃を向けるとは。			ある青年の呼び出し							
お前には、すまないことをしたな。若い衆が、そこまで追い詰められていたとは……。			お前には、すまないことをしたな。若い衆が、そこまで追い詰められていたとは……。			ある青年の呼び出し							
敵の気配を感じた！！			敵の気配を感じた！！			ある青年の呼び出し							
リトルアラミゴのレムフィングには、倒してほしい者たちがいるようだ。			リトルアラミゴのレムフィングには、倒してほしい者たちがいるようだ。			対決！ 骸旅団							
「骸旅団」という夜盗集団が「リトルアラミゴの北東」に集結しているらしい。リトルアラミゴの北東へ向かい、「骸旅団」を排除しよう。			「骸旅団」という夜盗集団が「リトルアラミゴの北東」に集結しているらしい。リトルアラミゴの北東へ向かい、「骸旅団」を排除しよう。			対決！ 骸旅団							
骸旅団の一隊を排除することができた。リトルアラミゴにいる「レムフィング」に報告しよう。			骸旅団の一隊を排除することができた。リトルアラミゴにいる「レムフィング」に報告しよう。			対決！ 骸旅団							
骸旅団の構成員は、全員がアラミゴ人なのだという。彼らのことを恥さらしだと吐き捨てるレムフィング。彼が骸旅団を悪しざまに言う理由は、それだけではないようだが……。			骸旅団の構成員は、全員がアラミゴ人なのだという。彼らのことを恥さらしだと吐き捨てるレムフィング。彼が骸旅団を悪しざまに言う理由は、それだけではないようだが……。			対決！ 骸旅団							
リトルアラミゴ北東の骸旅団を排除			リトルアラミゴ北東の骸旅団を排除			対決！ 骸旅団							
レムフィングに報告			レムフィングに報告			対決！ 骸旅団							
範囲マーカーで示された指定地点にいくと、骸旅団の集団（６体）がＰＯＰ、倒す			範囲マーカーで示された指定地点にいくと、骸旅団の集団（６体）がＰＯＰ、倒す			対決！ 骸旅団							
よそ者に頼むのは嫌だが、俺には手が出せないからな……。「骸旅団」という名を聞いたことはないか？この辺りを拠点としている夜盗なんだがね。			よそ者に頼むのは嫌だが、俺には手が出せないからな……。「骸旅団」という名を聞いたことはないか？この辺りを拠点としている夜盗なんだがね。			対決！ 骸旅団							
殺人に強盗、薬物の密売……。この辺りで発生する犯罪の陰には、大抵奴らがいる。			殺人に強盗、薬物の密売……。この辺りで発生する犯罪の陰には、大抵奴らがいる。			対決！ 骸旅団							
その「骸旅団」がリトルアラミゴの北東に集まってるという情報が入ったんだ。あんたは冒険者だろ？　奴らを排除してくれないか。			その「骸旅団」がリトルアラミゴの北東に集まってるという情報が入ったんだ。あんたは冒険者だろ？　奴らを排除してくれないか。			対決！ 骸旅団							
「骸旅団」の一隊を排除してくれたようだな。戦う間に、気づいたかもしれないが……奴らは全員、アラミゴ人なんだ。			「骸旅団」の一隊を排除してくれたようだな。戦う間に、気づいたかもしれないが……奴らは全員、アラミゴ人なんだ。			対決！ 骸旅団							
まったく、恥さらしな連中だよ。そもそも……と、これはあんたに関係のない話か。			まったく、恥さらしな連中だよ。そもそも……と、これはあんたに関係のない話か。			対決！ 骸旅団							
ともかく、奴らをのさばらせておいては、リトルアラミゴの印象まで悪くなるからな。あんたの協力には、本当に感謝してるよ。			ともかく、奴らをのさばらせておいては、リトルアラミゴの印象まで悪くなるからな。あんたの協力には、本当に感謝してるよ。			対決！ 骸旅団							
敵の気配を感じた！！			敵の気配を感じた！！			対決！ 骸旅団							
リトルアラミゴのグンドバルドは、冒険者に話があるようだ。			リトルアラミゴのグンドバルドは、冒険者に話があるようだ。			若き血の暴走							
少女ベルトリアナが、骸旅団によって襲われたらしい。それを知ったウィルレッドらリトルアラミゴの青年たちが怒り、一触即発の状態だ。彼らの動向を調べよう。			少女ベルトリアナが、骸旅団によって襲われたらしい。それを知ったウィルレッドらリトルアラミゴの青年たちが怒り、一触即発の状態だ。彼らの動向を調べよう。			若き血の暴走							
ウィルレッドたちは、彼らのいう「作戦」を、ついに決行する気のようだ。リトルアラミゴの「グンドバルド」に「古ぼけたナイフ」と「ザンラクの地図」を渡して報告しよう。			ウィルレッドたちは、彼らのいう「作戦」を、ついに決行する気のようだ。リトルアラミゴの「グンドバルド」に「古ぼけたナイフ」と「ザンラクの地図」を渡して報告しよう。			若き血の暴走							
ウィルレッドたちの「作戦」とは、アマルジャ族の砦からクリスタルを強奪するというものだった。彼らの暴挙を阻止すべく、リトルアラミゴの南東に急行して「ウィルレッド」に話しかけよう。			ウィルレッドたちの「作戦」とは、アマルジャ族の砦からクリスタルを強奪するというものだった。彼らの暴挙を阻止すべく、リトルアラミゴの南東に急行して「ウィルレッド」に話しかけよう。			若き血の暴走							
ウィルレッドたちの「作戦」は失敗し、アラミゴ復権の野望は露と消えた。リトルアラミゴに戻り「グンドバルド」に話を聞こう。			ウィルレッドたちの「作戦」は失敗し、アラミゴ復権の野望は露と消えた。リトルアラミゴに戻り「グンドバルド」に話を聞こう。			若き血の暴走							
ウィルレッドの話によると、彼らを甘言で誘い、作戦を吹きこんだ者こそ「仮面の男」だったらしい。はたして「仮面の男」とは何者なのだろうか……？			ウィルレッドの話によると、彼らを甘言で誘い、作戦を吹きこんだ者こそ「仮面の男」だったらしい。はたして「仮面の男」とは何者なのだろうか……？			若き血の暴走							
若者の動向を調べる			若者の動向を調べる			若き血の暴走							
グンドバルドに証拠品を渡す			グンドバルドに証拠品を渡す			若き血の暴走							
ウィルレッドと話す			ウィルレッドと話す			若き血の暴走							
グンドバルドと話す			グンドバルドと話す			若き血の暴走							
ウィルレッドは、帝国を倒すと言っていたそうだが……いったい、何を仕掛けるつもりだ……？			ウィルレッドは、帝国を倒すと言っていたそうだが……いったい、何を仕掛けるつもりだ……？			若き血の暴走							
グンドバルド、さま…………。			グンドバルド、さま…………。			若き血の暴走							
ベルトリアナ……！？その様子はどうしたことだ。三日も戻らず、今までどこへ……？			ベルトリアナ……！？その様子はどうしたことだ。三日も戻らず、今までどこへ……？			若き血の暴走							
町を出て、食べるものを探していたの……。そしたら突然、骸旅団に襲われて、彼らの隠れ家で……ううっ……。			町を出て、食べるものを探していたの……。そしたら突然、骸旅団に襲われて、彼らの隠れ家で……ううっ……。			若き血の暴走							
