ホワイトブリム前哨地の治療師シャルミヌは、病が篤い患者を案じているようだ。			ホワイトブリム前哨地の治療師シャルミヌは、病が篤い患者を案じているようだ。			恋人たち							
グデルヌと話す			グデルヌと話す			前哨地の歓待							
ドリユモンに2つの書状を渡す			ドリユモンに2つの書状を渡す			前哨地の歓待							
このホワイトブリム前哨地は、ドラゴン族との戦いの最前線。しかれば、部外者を簡単に招き入れることなどできない。			このホワイトブリム前哨地は、ドラゴン族との戦いの最前線。しかれば、部外者を簡単に招き入れることなどできない。			前哨地の歓待							
預かった紹介状は一旦返却する。そうだな、まずは倉庫にいる「アルボアズ」殿から指示を仰ぐように。			預かった紹介状は一旦返却する。そうだな、まずは倉庫にいる「アルボアズ」殿から指示を仰ぐように。			前哨地の歓待							
ブルナディエが私を訪ねろって？あいつったら適当なこと言って……私の方が、ちょっと先輩ってだけじゃない。			ブルナディエが私を訪ねろって？あいつったら適当なこと言って……私の方が、ちょっと先輩ってだけじゃない。			前哨地の歓待							
偉い人に会いたいなら、広場階段を上って、野戦病院に行きなさい。院長の「アスティディアン」先生は、高名な方よ。			偉い人に会いたいなら、広場階段を上って、野戦病院に行きなさい。院長の「アスティディアン」先生は、高名な方よ。			前哨地の歓待							
アスティディアンは私ですが……君は、怪我をしているようには見えませんね。			アスティディアンは私ですが……君は、怪我をしているようには見えませんね。			前哨地の歓待							
フォルタン家とアインハルト家からの紹介？そういうことであれば、兵舎に行った方がいい。2階の「グデルヌ」に声をかけてみてください。			フォルタン家とアインハルト家からの紹介？そういうことであれば、兵舎に行った方がいい。2階の「グデルヌ」に声をかけてみてください。			前哨地の歓待							
紹介状を渡したいぃぃ～？なるほど、散々たらい回しにされて、我のもとに来たわけか！冒険者には皆、そのような態度になるであろうな。			紹介状を渡したいぃぃ～？なるほど、散々たらい回しにされて、我のもとに来たわけか！冒険者には皆、そのような態度になるであろうな。			前哨地の歓待							
フォルタン家の変人騎士に客扱いされていようが、我らデュランデル家にとって、冒険者は招かれざる存在。それを心に留めておくのだな！			フォルタン家の変人騎士に客扱いされていようが、我らデュランデル家にとって、冒険者は招かれざる存在。それを心に留めておくのだな！			前哨地の歓待							
わかったら、上の階へ行け。このホワイトブリム前哨地を預かる騎士、「ドリユモン」卿に話をつけるがいい。			わかったら、上の階へ行け。このホワイトブリム前哨地を預かる騎士、「ドリユモン」卿に話をつけるがいい。			前哨地の歓待							
……グデルヌが通したということは、それなりの用事か。手短に頼むぞ、冒険者。			……グデルヌが通したということは、それなりの用事か。手短に頼むぞ、冒険者。			前哨地の歓待							
ストーンヴィジルの飛空艇か……ふむ……。			ストーンヴィジルの飛空艇か……ふむ……。			前哨地の歓待							
失礼する……誇り高きイシュガルドの騎士よ。我々は「暁の血盟」の代表として、飛空艇を探しにきた。蛮神「ガルーダ」討伐のためにも、協力を願いたい。			失礼する……誇り高きイシュガルドの騎士よ。我々は「暁の血盟」の代表として、飛空艇を探しにきた。蛮神「ガルーダ」討伐のためにも、協力を願いたい。			前哨地の歓待							
そもそも飛空艇は、このシド・ガーロンドのもの。貴国にも事情はあるだろうが、持ち主に返すのが道理ではないか？			そもそも飛空艇は、このシド・ガーロンドのもの。貴国にも事情はあるだろうが、持ち主に返すのが道理ではないか？			前哨地の歓待							
シド……！？ではあなたが、伝説の機工師の……！			シド……！？ではあなたが、伝説の機工師の……！			前哨地の歓待							
信じてはなりませんよ、ドリユモン卿。			信じてはなりませんよ、ドリユモン卿。			前哨地の歓待							
フム……ずいぶんしつこい冒険者です。今度こそ、アナタの詭弁には惑わされませんよ。			フム……ずいぶんしつこい冒険者です。今度こそ、アナタの詭弁には惑わされませんよ。			前哨地の歓待							
伝説の機工師シドは、長らく行方不明になっている……そう都合よく現れるとは思えません。			伝説の機工師シドは、長らく行方不明になっている……そう都合よく現れるとは思えません。			前哨地の歓待							
それに「暁」ですって？壊滅したとの報せが届いてから、その名を語る偽者も多い……とても本物だとは信じられませんね。			それに「暁」ですって？壊滅したとの報せが届いてから、その名を語る偽者も多い……とても本物だとは信じられませんね。			前哨地の歓待							
ストーンヴィジル奪還は、デュランデル家に任された大任。他家からの紹介があるとはいえ、素性の知れない冒険者を聖戦に介入させてはなりません。			ストーンヴィジル奪還は、デュランデル家に任された大任。他家からの紹介があるとはいえ、素性の知れない冒険者を聖戦に介入させてはなりません。			前哨地の歓待							
……たしかに。もっともな意見だ、ギイェーム。			……たしかに。もっともな意見だ、ギイェーム。			前哨地の歓待							
聞いてのとおりだ、ストーンヴィジルに立ち入ることはまかりならん。どうしてもというなら、我々の奪還を待つんだな。			聞いてのとおりだ、ストーンヴィジルに立ち入ることはまかりならん。どうしてもというなら、我々の奪還を待つんだな。			前哨地の歓待							
蛮神「ガルーダ」は、すでに召喚されている。いつ終わるかも知れない戦いの決着を待つ時間はない。			蛮神「ガルーダ」は、すでに召喚されている。いつ終わるかも知れない戦いの決着を待つ時間はない。			前哨地の歓待							
騎士の頭が固いなら、部下の騎兵を当たるとしよう。			騎士の頭が固いなら、部下の騎兵を当たるとしよう。			前哨地の歓待							
ホワイトブリム前哨地のジャントルモンは、増援要請を送りたいようだ。			ホワイトブリム前哨地のジャントルモンは、増援要請を送りたいようだ。			神殿騎士への訴え							
ホワイトブリム前哨地の住民も騎兵も、ドラゴン族との戦いで疲弊しているらしい。大審門の神殿騎士「マルスラン」に増援を要請しよう。			ホワイトブリム前哨地の住民も騎兵も、ドラゴン族との戦いで疲弊しているらしい。大審門の神殿騎士「マルスラン」に増援を要請しよう。			神殿騎士への訴え							
増援を要請したがマルスランは聞き入れず、むしろ激高してしまった……。どうやら逆効果だったようだ。			増援を要請したがマルスランは聞き入れず、むしろ激高してしまった……。どうやら逆効果だったようだ。			神殿騎士への訴え							
マルスランと話す			マルスランと話す			神殿騎士への訴え							
冒険者よ、お前に恥を忍んで頼みたいことがある。「大審門」におられる神殿騎士「マルスラン」様に、増援を要請してもらいたいのだ。			冒険者よ、お前に恥を忍んで頼みたいことがある。「大審門」におられる神殿騎士「マルスラン」様に、増援を要請してもらいたいのだ。			神殿騎士への訴え							
たび重なるドラゴン族との戦いにより、住民は疲弊、騎兵たちの士気も低下している。このままでは皆、潰れてしまうに違いない……。			たび重なるドラゴン族との戦いにより、住民は疲弊、騎兵たちの士気も低下している。このままでは皆、潰れてしまうに違いない……。			神殿騎士への訴え							
冒険者風情が、私に何の用だ。……ホワイトブリムから増援要請？住民も騎兵たちも、皆が限界だとな！？			冒険者風情が、私に何の用だ。……ホワイトブリムから増援要請？住民も騎兵たちも、皆が限界だとな！？			神殿騎士への訴え							
何と弱気なことよ！一人一竜殺の心なくして、ドラゴン族に勝てると思うてか！			何と弱気なことよ！一人一竜殺の心なくして、ドラゴン族に勝てると思うてか！			神殿騎士への訴え							
ええい、むしろ物資の量を減らしてくれるわ！気分が悪い、立ち去れ冒険者！			ええい、むしろ物資の量を減らしてくれるわ！気分が悪い、立ち去れ冒険者！			神殿騎士への訴え							
気高き冒険者よ、私に何か用でも？……ホワイトブリムから増援要請？住民も騎兵たちも、皆が限界だとな！？			気高き冒険者よ、私に何か用でも？……ホワイトブリムから増援要請？住民も騎兵たちも、皆が限界だとな！？			神殿騎士への訴え							
何と弱気なことよ！一人一竜殺の心なくして、ドラゴン族に勝てると思うてか！			何と弱気なことよ！一人一竜殺の心なくして、ドラゴン族に勝てると思うてか！			神殿騎士への訴え							
まったく……貴公にまで迷惑をかけ、大変申し訳ない！そうだ、ホワイトブリム前哨地への物資の量を減らし、奴らに「忍耐」を教えこまねばならぬな！			まったく……貴公にまで迷惑をかけ、大変申し訳ない！そうだ、ホワイトブリム前哨地への物資の量を減らし、奴らに「忍耐」を教えこまねばならぬな！			神殿騎士への訴え							
ホワイトブリム前哨地のオンセネデルは、届け物をしてほしいようだ。			ホワイトブリム前哨地のオンセネデルは、届け物をしてほしいようだ。			異端者の末路							
ドラゴン族や異端者の情報を得るため、異端者の遺品を大審門に届ける必要があるらしい。異端者の死体を調べてみよう。			ドラゴン族や異端者の情報を得るため、異端者の遺品を大審門に届ける必要があるらしい。異端者の死体を調べてみよう。			異端者の末路							
異端者の死体から「異端者の遺品」を見つけた。大審門の「ショノーレー」に届けよう。			異端者の死体から「異端者の遺品」を見つけた。大審門の「ショノーレー」に届けよう。			異端者の末路							
大審門のショノーレーに異端者の遺品を届けた。はたして異端者の遺品が、ドラゴン族との聖戦の手がかりになるのだろうか……。			大審門のショノーレーに異端者の遺品を届けた。はたして異端者の遺品が、ドラゴン族との聖戦の手がかりになるのだろうか……。			異端者の末路							
異端者の死体から遺物を入手			異端者の死体から遺物を入手			異端者の末路							
ショノーレーに異端者の遺品を渡す			ショノーレーに異端者の遺品を渡す			異端者の末路							
ちょいと手伝っておくれでないかい？そこに異端者の死体があるからさ、そいつを探って、出てきた物を大審門まで届けてほしいんだ。			ちょいと手伝っておくれでないかい？そこに異端者の死体があるからさ、そいつを探って、出てきた物を大審門まで届けてほしいんだ。			異端者の末路							
異端者の死体なんて、普通はほっぽっておくもんだけど。今はいろいろ問題が起きてるだろう？それで、異端者の持ち物を調べるっていうのさ。			異端者の死体なんて、普通はほっぽっておくもんだけど。今はいろいろ問題が起きてるだろう？それで、異端者の持ち物を調べるっていうのさ。			異端者の末路							
汚れ仕事だから、冒険者にお願いしようと思ってね。……どうせなにも出やしないってのに、お偉い方々の考えることはわからないねえ。			汚れ仕事だから、冒険者にお願いしようと思ってね。……どうせなにも出やしないってのに、お偉い方々の考えることはわからないねえ。			異端者の末路							
牢屋地下に並べられた異端者の死体にアクセス、異端者の荷物入手			牢屋地下に並べられた異端者の死体にアクセス、異端者の荷物入手			異端者の末路							
ふむ、貴様、何用か？			ふむ、貴様、何用か？			異端者の末路							
異端者の遺品を運んできたのか、ご苦労。さて、この中に有用な情報があれば良いのだがな……。			異端者の遺品を運んできたのか、ご苦労。さて、この中に有用な情報があれば良いのだがな……。			異端者の末路							
異端者とは、人の風上にもおけぬ奴らだが。我らが聖戦の役に立つと思えば、クク……むしろかわゆいものよ。			異端者とは、人の風上にもおけぬ奴らだが。我らが聖戦の役に立つと思えば、クク……むしろかわゆいものよ。			異端者の末路							
ホワイトブリム前哨地の騎兵フォシリアンは、邪魔者を排除したいようだ。			ホワイトブリム前哨地の騎兵フォシリアンは、邪魔者を排除したいようだ。			眷属たちの跳梁							
ドラゴンの眷属ドラゴンフライ・シーカーの討伐を依頼された。ホワイトブリム前哨地の北西にある「指定地点」で「ドラゴン族の甲鱗」を使い、現れた「ドラゴンフライ・シーカー」を倒そう。			ドラゴンの眷属ドラゴンフライ・シーカーの討伐を依頼された。ホワイトブリム前哨地の北西にある「指定地点」で「ドラゴン族の甲鱗」を使い、現れた「ドラゴンフライ・シーカー」を倒そう。			眷属たちの跳梁							
ドラゴンフライ・シーカーを倒した。ホワイトブリム前哨地の騎兵「フォシリアン」に報告しよう。			ドラゴンフライ・シーカーを倒した。ホワイトブリム前哨地の騎兵「フォシリアン」に報告しよう。			眷属たちの跳梁							
フォシリアンに報告した。ストーンヴィジルのドラゴン族討伐に向けて、彼は戦意を高揚させているようだ。			フォシリアンに報告した。ストーンヴィジルのドラゴン族討伐に向けて、彼は戦意を高揚させているようだ。			眷属たちの跳梁							
指定地点にドラゴン族の甲鱗を使いドラゴンフライ・シーカーを討伐			指定地点にドラゴン族の甲鱗を使いドラゴンフライ・シーカーを討伐			眷属たちの跳梁							
フォシリアンに報告			フォシリアンに報告			眷属たちの跳梁							
冒険者よ、貴様に我ら騎士団の手伝いをさせてやろう。我らの進軍の妨げになっているドラゴン族の眷属、「ドラゴンフライ・シーカー」を討伐してくるのだ。			冒険者よ、貴様に我ら騎士団の手伝いをさせてやろう。我らの進軍の妨げになっているドラゴン族の眷属、「ドラゴンフライ・シーカー」を討伐してくるのだ。			眷属たちの跳梁							
奴らはドラゴン族のような知性もない、獣同然の魔物だが、主であるドラゴン族に付き従う習性がある。森の中で「ドラゴン族の甲鱗」を使えば寄ってくるだろう。			奴らはドラゴン族のような知性もない、獣同然の魔物だが、主であるドラゴン族に付き従う習性がある。森の中で「ドラゴン族の甲鱗」を使えば寄ってくるだろう。			眷属たちの跳梁							
指定地点に「ドラゴン族の甲鱗」を置く。ポップしてきたプークを2匹ほど討伐			指定地点に「ドラゴン族の甲鱗」を置く。ポップしてきたプークを2匹ほど討伐			眷属たちの跳梁							
ドラゴンフライ・シーカーを倒してきたか。これで多少なりとも、ストーンヴィジル攻略の障害を取り除くことができたな。			ドラゴンフライ・シーカーを倒してきたか。これで多少なりとも、ストーンヴィジル攻略の障害を取り除くことができたな。			眷属たちの跳梁							
眷属を使役して我らの行く手を阻むとは、いかにもドラゴン族らしい、姑息な策よ。……今度こそ、我ら騎士団が駆逐してくれる！			眷属を使役して我らの行く手を阻むとは、いかにもドラゴン族らしい、姑息な策よ。……今度こそ、我ら騎士団が駆逐してくれる！			眷属たちの跳梁							
敵の気配を感じた！！			敵の気配を感じた！！			眷属たちの跳梁							
ホワイトブリム前哨地の異端者ボイルは、ドラゴン族に祈りを捧げたいようだ。			ホワイトブリム前哨地の異端者ボイルは、ドラゴン族に祈りを捧げたいようだ。			獄中の異端者							
ボイルはドラゴン族に捧げる供物が欲しいようだ。牢番の騎兵「フェルディエ」に話してみよう。			ボイルはドラゴン族に捧げる供物が欲しいようだ。牢番の騎兵「フェルディエ」に話してみよう。			獄中の異端者							
フェルディエから受け取った「ラットの死骸」を、異端者「ボイル」に渡してみよう。			フェルディエから受け取った「ラットの死骸」を、異端者「ボイル」に渡してみよう。			獄中の異端者							
冒険者から受け取ったラットの死骸を、ボイルは大喜びでドラゴン族に捧げた。牢番の騎兵「フェルディエ」に報告しよう。			冒険者から受け取ったラットの死骸を、ボイルは大喜びでドラゴン族に捧げた。牢番の騎兵「フェルディエ」に報告しよう。			獄中の異端者							
ボイルの奇行に、フェルディエは頭を痛めている。異端者に近づきすぎると、自分にも異端者の嫌疑がかけられてしまうようだ。			ボイルの奇行に、フェルディエは頭を痛めている。異端者に近づきすぎると、自分にも異端者の嫌疑がかけられてしまうようだ。			獄中の異端者							
フェルディエと話す			フェルディエと話す			獄中の異端者							
ボイルにラットの死骸を渡す			ボイルにラットの死骸を渡す			獄中の異端者							
フェルディエに報告			フェルディエに報告			獄中の異端者							
ヒハハハハハハハハ！ドラゴン族こそ至上、ドラゴン族こそ我が主！愚民どもよ、偉大なるドラゴン様を畏れよ、讃えよ！			ヒハハハハハハハハ！ドラゴン族こそ至上、ドラゴン族こそ我が主！愚民どもよ、偉大なるドラゴン様を畏れよ、讃えよ！			獄中の異端者							
そこなる愚民、ドラゴン様への供物を持てい！卑しき騎兵「フェルディエ」に命じれば、何かしら差しだすであろうよ！			そこなる愚民、ドラゴン様への供物を持てい！卑しき騎兵「フェルディエ」に命じれば、何かしら差しだすであろうよ！			獄中の異端者							
……ボイルの奴から、ドラゴン族への供物を要求されたって？あの異端野郎は、随分前から正気を失ってるんだ。まともに相手するな。			……ボイルの奴から、ドラゴン族への供物を要求されたって？あの異端野郎は、随分前から正気を失ってるんだ。まともに相手するな。			獄中の異端者							
この「ラットの死骸」でもくれてやるといいさ。泣いて喜んで、ドラゴン様に献上するだろうよ。			この「ラットの死骸」でもくれてやるといいさ。泣いて喜んで、ドラゴン様に献上するだろうよ。			獄中の異端者							
さあ愚民よ、悔い改めるのだ。ドラゴン様への供物をここに差しだすがよい！			さあ愚民よ、悔い改めるのだ。ドラゴン様への供物をここに差しだすがよい！			獄中の異端者							
おお、すばらしい！なんとかぐわしき血の臭いか。ドラゴン様、どうぞお受け取りください！			おお、すばらしい！なんとかぐわしき血の臭いか。ドラゴン様、どうぞお受け取りください！			獄中の異端者							
……フッ、フヒッ、フヒヒヒヒヒ！クケケケケケケケケケケ……。			……フッ、フヒッ、フヒヒヒヒヒ！クケケケケケケケケケケ……。			獄中の異端者							
はあ……暴れるよりはいいが、面倒くさい奴だぜ。これに懲りたら、異端者には近づくなよ。あんたにまで異端者の嫌疑がかかるぜ。			はあ……暴れるよりはいいが、面倒くさい奴だぜ。これに懲りたら、異端者には近づくなよ。あんたにまで異端者の嫌疑がかかるぜ。			獄中の異端者							
ホワイトブリム前哨地のフスクネーは、頭を悩ませているようだ。			ホワイトブリム前哨地のフスクネーは、頭を悩ませているようだ。			小さな略奪者							
砦のあちこちに大きなネズミが出没しているらしい。「腐った野菜くず」を調べ、「ラット」を倒そう。			砦のあちこちに大きなネズミが出没しているらしい。「腐った野菜くず」を調べ、「ラット」を倒そう。			小さな略奪者							
ラットを討伐した。ホワイトブリム前哨地の「フスクネー」に報告しよう。			ラットを討伐した。ホワイトブリム前哨地の「フスクネー」に報告しよう。			小さな略奪者							
地下に大きな巣穴があるのかもしれない。「ネズミの巣穴」を調べて「ラットキング」を倒そう。			地下に大きな巣穴があるのかもしれない。「ネズミの巣穴」を調べて「ラットキング」を倒そう。			小さな略奪者							
ラットキングを倒した。ホワイトブリム前哨地の「フスクネー」に報告しよう。			ラットキングを倒した。ホワイトブリム前哨地の「フスクネー」に報告しよう。			小さな略奪者							
フスクネーに報告した。冒険者の活躍により、ホワイトブリム前哨地のネズミは駆逐されたようだ。			フスクネーに報告した。冒険者の活躍により、ホワイトブリム前哨地のネズミは駆逐されたようだ。			小さな略奪者							
腐った野菜くずを調べてラットを討伐			腐った野菜くずを調べてラットを討伐			小さな略奪者							
フスクネーに報告			フスクネーに報告			小さな略奪者							
ネズミの巣穴を調べてラットキングを倒す			ネズミの巣穴を調べてラットキングを倒す			小さな略奪者							
フスクネーに報告			フスクネーに報告			小さな略奪者							
最近、でっかいネズミが出ては、大事な食料をかじっていきやがるんだ。しかも厨房だけと言わず、砦のあちこちに出没しやがる！			最近、でっかいネズミが出ては、大事な食料をかじっていきやがるんだ。しかも厨房だけと言わず、砦のあちこちに出没しやがる！			小さな略奪者							
ネズミどもの目当ては、野菜くずや残飯だ。冒険者さんよ、その辺りを念入りに調べて奴らを退治してくれないか？			ネズミどもの目当ては、野菜くずや残飯だ。冒険者さんよ、その辺りを念入りに調べて奴らを退治してくれないか？			小さな略奪者							
砦のeobjにアクセス→ネズミがpopするので倒す(3匹×3箇所ほど)			砦のeobjにアクセス→ネズミがpopするので倒す(3匹×3箇所ほど)			小さな略奪者							
おう、助かったよ。食料を狙っていたラットは片付いたみたいだな。			おう、助かったよ。食料を狙っていたラットは片付いたみたいだな。			小さな略奪者							
しかし、いくらなんでも数が多すぎる。きっと地下に大きな巣があるんだろう。大元から叩かないと、完全な駆除はできねぇだろうな。			しかし、いくらなんでも数が多すぎる。きっと地下に大きな巣があるんだろう。大元から叩かないと、完全な駆除はできねぇだろうな。			小さな略奪者							
ネズミどもが出没する場所をみるに、おそらくこの砦の外側に、巣に通じる穴があるはずだ。行って、奴らの親玉を倒してきてくれよ。			ネズミどもが出没する場所をみるに、おそらくこの砦の外側に、巣に通じる穴があるはずだ。行って、奴らの親玉を倒してきてくれよ。			小さな略奪者							
ネズミの巣にアクセスして「ラットボス」1匹を倒す			ネズミの巣にアクセスして「ラットボス」1匹を倒す			小さな略奪者							
親玉を退治できたみたいだな。ありがとよ、これでネズミに悩まされずに済みそうだ。			親玉を退治できたみたいだな。ありがとよ、これでネズミに悩まされずに済みそうだ。			小さな略奪者							
……ここのところ、ますます寒くなっているからな。ネズミどもも、食うのに困ってるんだろう。だからといって、俺たちの食料を分けてはやれないがな。			……ここのところ、ますます寒くなっているからな。ネズミどもも、食うのに困ってるんだろう。だからといって、俺たちの食料を分けてはやれないがな。			小さな略奪者							
敵の気配を感じた！！			敵の気配を感じた！！			小さな略奪者							
ホワイトブリム前哨地のベネディクトは、冒険者に仕事を与えたいようだ。			ホワイトブリム前哨地のベネディクトは、冒険者に仕事を与えたいようだ。			闘い続ける者たち							
*本クエストは調整されました。一度破棄し、下記のNPCから再受注してください。なお、受注できるクエストは進行状況により異なります。ホワイトブリム前哨地の「オストゥフォル」ホワイトブリム前哨地の「シド」※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			*本クエストは調整されました。一度破棄し、下記のNPCから再受注してください。なお、受注できるクエストは進行状況により異なります。ホワイトブリム前哨地の「オストゥフォル」ホワイトブリム前哨地の「シド」※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			闘い続ける者たち							
ワイルドダイルを討伐した。ホワイトブリム前哨地の「クロテリオン」に報告しよう。			ワイルドダイルを討伐した。ホワイトブリム前哨地の「クロテリオン」に報告しよう。			闘い続ける者たち							
冒険者の活躍を認めたものの、良い顔はしなかったクロテリオン。前哨地の人々は、やはり部外者の手を借りたくないようだ……。			冒険者の活躍を認めたものの、良い顔はしなかったクロテリオン。前哨地の人々は、やはり部外者の手を借りたくないようだ……。			闘い続ける者たち							
*本クエストは調整されました。一度破棄し、クエストを再受注してください			*本クエストは調整されました。一度破棄し、クエストを再受注してください			闘い続ける者たち							
あんたたち、わかってないなぁ！外の人がデュランデル家に頼みごとをしたいなら、よっぽど頑張って信頼を得ないと。			あんたたち、わかってないなぁ！外の人がデュランデル家に頼みごとをしたいなら、よっぽど頑張って信頼を得ないと。			闘い続ける者たち							
ってことで、いい仕事があるぜ。近隣の安全確保のために、「ワイルドダイル」を5匹ほど倒してきてほしいんだ。			ってことで、いい仕事があるぜ。近隣の安全確保のために、「ワイルドダイル」を5匹ほど倒してきてほしいんだ。			闘い続ける者たち							
この前哨地は、いつだって戦力不足だからな。討伐が終わったら、食堂で休憩しているはずの「クロテリオン」さんに報告してくれ。			この前哨地は、いつだって戦力不足だからな。討伐が終わったら、食堂で休憩しているはずの「クロテリオン」さんに報告してくれ。			闘い続ける者たち							
（追加モンスターを５体倒す）			（追加モンスターを５体倒す）			闘い続ける者たち							
ワイルドダイルを討伐してきただと？あの新人め、よりにもよって冒険者の手を借りたのか！			ワイルドダイルを討伐してきただと？あの新人め、よりにもよって冒険者の手を借りたのか！			闘い続ける者たち							
だが、まあ、うむ……お前の活躍で、この束の間の一杯が守られたというなら、素直に礼を言わないでもない。			だが、まあ、うむ……お前の活躍で、この束の間の一杯が守られたというなら、素直に礼を言わないでもない。			闘い続ける者たち							
この前哨地では、厳しい戦いが続いている。明けても暮れても、雪とドラゴン族と凍てつく鉄兜……灰色の空と人生には、炉端の休息が必要なのだよ。			この前哨地では、厳しい戦いが続いている。明けても暮れても、雪とドラゴン族と凍てつく鉄兜……灰色の空と人生には、炉端の休息が必要なのだよ。			闘い続ける者たち							
