アルザダール通りのグ・ラハ・ティアは、渡したいものがあるようだ。			アルザダール通りのグ・ラハ・ティアは、渡したいものがあるようだ。			闇の戦士の再訪							
Forename、これを持っていってくれ。ソウル・サイフォン……もちろん中身は空だけどな。			Forename、これを持っていってくれ。ソウル・サイフォン……もちろん中身は空だけどな。			闇の戦士の再訪							
それをクリスタルタワーの「深慮の間」に持っていけば、結晶化した皇血に反応して、塔の制御機構が起動するはず……。			それをクリスタルタワーの「深慮の間」に持っていけば、結晶化した皇血に反応して、塔の制御機構が起動するはず……。			闇の戦士の再訪							
エリディブスの魂が塔内にまだ残っていれば、検知することも可能だろう。			エリディブスの魂が塔内にまだ残っていれば、検知することも可能だろう。			闇の戦士の再訪							
「深慮の間」の鍵は、ライナに預けたままになっていたはずだ。あの子が変わりない暮らしをしているなら、レイクランドの「従者の門」に詰めていると思う。			「深慮の間」の鍵は、ライナに預けたままになっていたはずだ。あの子が変わりない暮らしをしているなら、レイクランドの「従者の門」に詰めていると思う。			闇の戦士の再訪							
……もしオレのことを聞かれたら、「困難も含めて、日々を謳歌している」と伝えてほしい。クリスタリウムの皆にも……頼む。			……もしオレのことを聞かれたら、「困難も含めて、日々を謳歌している」と伝えてほしい。クリスタリウムの皆にも……頼む。			闇の戦士の再訪							
それじゃあ、こっちもできる限りのことをしながら、あんたの帰りを待つよ。さあ、行こう……！			それじゃあ、こっちもできる限りのことをしながら、あんたの帰りを待つよ。さあ、行こう……！			闇の戦士の再訪							
Forenameさん……！？こちらに、いらしていたのですか！			Forenameさん……！？こちらに、いらしていたのですか！			闇の戦士の再訪							
お元気でしたか？一緒にお帰りになった皆さんも……。			お元気でしたか？一緒にお帰りになった皆さんも……。			闇の戦士の再訪							
何と言う？			何と言う？			闇の戦士の再訪							
みんな元気で過ごしてる			みんな元気で過ごしてる			闇の戦士の再訪							
相変わらず厄介事が多い……			相変わらず厄介事が多い……			闇の戦士の再訪							
それは何よりです。ではきっと、「あの方」も楽しく過ごせていることでしょう。			それは何よりです。ではきっと、「あの方」も楽しく過ごせていることでしょう。			闇の戦士の再訪							
こちらにいたときと変わりないようですね。それなら、「あの方」も楽しく過ごせていることでしょう。			こちらにいたときと変わりないようですね。それなら、「あの方」も楽しく過ごせていることでしょう。			闇の戦士の再訪							
困難も含めて、日々を謳歌している……それを、公が……？			困難も含めて、日々を謳歌している……それを、公が……？			闇の戦士の再訪							
そう……そうですか…………！			そう……そうですか…………！			闇の戦士の再訪							
ありがとうございます……私たちクリスタリウムの民にとって、何よりの朗報です。			ありがとうございます……私たちクリスタリウムの民にとって、何よりの朗報です。			闇の戦士の再訪							
どうか「張り切るのはいいけど、根を詰めすぎないように」と、あの方にお伝えください。			どうか「張り切るのはいいけど、根を詰めすぎないように」と、あの方にお伝えください。			闇の戦士の再訪							
こちらは、おかげさまで平和な日々が続いています。			こちらは、おかげさまで平和な日々が続いています。			闇の戦士の再訪							
夜が戻り、流星雨の騒動も収束して、それぞれが新しい生活を模索している最中……。			夜が戻り、流星雨の騒動も収束して、それぞれが新しい生活を模索している最中……。			闇の戦士の再訪							
それに伴う小さな衝突は日常茶飯事ですが、罪喰いに怯えていたころでは想像もつかなかったほど、前向きに明日のことを考えられるんです。			それに伴う小さな衝突は日常茶飯事ですが、罪喰いに怯えていたころでは想像もつかなかったほど、前向きに明日のことを考えられるんです。			闇の戦士の再訪							
しいて言えば……次のクリスタリウムの代表をどうするかという問題は、目下、頭の痛い悩みではありますが。			しいて言えば……次のクリスタリウムの代表をどうするかという問題は、目下、頭の痛い悩みではありますが。			闇の戦士の再訪							
行政は引き続き自治組織「セツルメント」が担いつつ、外交その他の方針は、市民から選ばれた議員たちが、合議で決めていく……というのが、今のところ有力です。			行政は引き続き自治組織「セツルメント」が担いつつ、外交その他の方針は、市民から選ばれた議員たちが、合議で決めていく……というのが、今のところ有力です。			闇の戦士の再訪							
水晶公は、私たちにとって、たったひとりの「公」だった。その代わりを探すのではなく、新たな形で、クリスタリウムを前に進めていきたいと思っています。			水晶公は、私たちにとって、たったひとりの「公」だった。その代わりを探すのではなく、新たな形で、クリスタリウムを前に進めていきたいと思っています。			闇の戦士の再訪							
ほかに何か異変はないか、ですか……？			ほかに何か異変はないか、ですか……？			闇の戦士の再訪							
いえ、とくには……ですが、そういえば…………			いえ、とくには……ですが、そういえば…………			闇の戦士の再訪							
数日前、リーンさんにも、まったく同じことを聞かれました。どことなく不安げな様子だったので、よく覚えています。			数日前、リーンさんにも、まったく同じことを聞かれました。どことなく不安げな様子だったので、よく覚えています。			闇の戦士の再訪							
彼女は最近、ご友人のガイアさんや、クリスタリウムの若者たちとともに、水晶祭という催しを開いてくれました。			彼女は最近、ご友人のガイアさんや、クリスタリウムの若者たちとともに、水晶祭という催しを開いてくれました。			闇の戦士の再訪							
それはそれは盛況で……さっそく第二回が企画されたほどです。次はムジカ・ユニバーサリスの商店やミーン工芸館も加わって、ますます賑やかになりそうですよ。			それはそれは盛況で……さっそく第二回が企画されたほどです。次はムジカ・ユニバーサリスの商店やミーン工芸館も加わって、ますます賑やかになりそうですよ。			闇の戦士の再訪							
リーンさんご自身も、その準備や、「無の大地」の再生を目指す活動に心血を注いでいて、とても活き活きとしたご様子でした。			リーンさんご自身も、その準備や、「無の大地」の再生を目指す活動に心血を注いでいて、とても活き活きとしたご様子でした。			闇の戦士の再訪							
彼女は最近、皆さんとの冒険の経験や、光の巫女としての能力を活かして、「無の大地」の再生を目指す活動に心血を注いでいます。			彼女は最近、皆さんとの冒険の経験や、光の巫女としての能力を活かして、「無の大地」の再生を目指す活動に心血を注いでいます。			闇の戦士の再訪							
すぐに果たせる目標ではありませんが、一喜一憂しながら試行錯誤を重ねているようで、とても活き活きとしたご様子でした。			すぐに果たせる目標ではありませんが、一喜一憂しながら試行錯誤を重ねているようで、とても活き活きとしたご様子でした。			闇の戦士の再訪							
そんな中で、先の質問ですから……私も不審に思ったのですが、追及してみても、「異変がないなら大丈夫です」と言われるばかりだったのです。			そんな中で、先の質問ですから……私も不審に思ったのですが、追及してみても、「異変がないなら大丈夫です」と言われるばかりだったのです。			闇の戦士の再訪							
ですが、あなたになら話せるかもしれませんね……。よければ、彼女に声をかけてきましょうか？			ですが、あなたになら話せるかもしれませんね……。よければ、彼女に声をかけてきましょうか？			闇の戦士の再訪							
なるほど、「深慮の間」にも用事があると……。ではリーンさんを探しがてら、鍵を取ってきたいと思います。			なるほど、「深慮の間」にも用事があると……。ではリーンさんを探しがてら、鍵を取ってきたいと思います。			闇の戦士の再訪							
少し時間がかかるかもしれませんので、どうぞ、街の中でお待ちください。博物陳列館の前あたりで、待ち合わせとしましょう。			少し時間がかかるかもしれませんので、どうぞ、街の中でお待ちください。博物陳列館の前あたりで、待ち合わせとしましょう。			闇の戦士の再訪							
ここでライナを待ちます。このイベントはスキップすることができないため、コンテンツファインダー申請中の場合などは、ご注意ください。			ここでライナを待ちます。このイベントはスキップすることができないため、コンテンツファインダー申請中の場合などは、ご注意ください。			闇の戦士の再訪							
ライナを待ちますか？			ライナを待ちますか？			闇の戦士の再訪							
(-？？？？-)……む？そこにおるのは、Forenameではないか？			(-？？？？-)……む？そこにおるのは、Forenameではないか？			闇の戦士の再訪							
おお、やはりか！うむうむ、息災そうで何よりだ。			おお、やはりか！うむうむ、息災そうで何よりだ。			闇の戦士の再訪							
お久しぶりです、Forenameさん。そして、大変ちょうどいいところに！			お久しぶりです、Forenameさん。そして、大変ちょうどいいところに！			闇の戦士の再訪							
実は最近、光の氾濫から闇を取り戻すに至るまでの歩みを、ひとつの歴史書としてまとめる……という話が持ち上がっているんです。			実は最近、光の氾濫から闇を取り戻すに至るまでの歩みを、ひとつの歴史書としてまとめる……という話が持ち上がっているんです。			闇の戦士の再訪							
クリスタリウムやユールモア、夜の民が、それぞれに持っていた記録を照らし合わせ、世界の歩みを記すんです。			クリスタリウムやユールモア、夜の民が、それぞれに持っていた記録を照らし合わせ、世界の歩みを記すんです。			闇の戦士の再訪							
もちろん、あなた方から伺った話や、自分たちが目撃した歴史的瞬間も盛り込みますよ！			もちろん、あなた方から伺った話や、自分たちが目撃した歴史的瞬間も盛り込みますよ！			闇の戦士の再訪							
ワシは、お前たちのことを記すために欠かせない、魂についての記述を担当するよう頼まれてな。			ワシは、お前たちのことを記すために欠かせない、魂についての記述を担当するよう頼まれてな。			闇の戦士の再訪							
ソウル・サイフォン開発の折に、異世界への渡航についても、それなりに詳しくなった。おぬしらが虚構の存在ではないことを、しかと綴ってやろう！			ソウル・サイフォン開発の折に、異世界への渡航についても、それなりに詳しくなった。おぬしらが虚構の存在ではないことを、しかと綴ってやろう！			闇の戦士の再訪							
それにあたって、ひとつインタビューをさせてください！			それにあたって、ひとつインタビューをさせてください！			闇の戦士の再訪							
あなたは「闇の戦士」として、闇を取り戻すまでに多くの戦いを超えてこられたはず。			あなたは「闇の戦士」として、闇を取り戻すまでに多くの戦いを超えてこられたはず。			闇の戦士の再訪							
中でももっとも苦戦した戦いは、ズバリ、どれだったのでしょうか！？			中でももっとも苦戦した戦いは、ズバリ、どれだったのでしょうか！？			闇の戦士の再訪							
何と言う？			何と言う？			闇の戦士の再訪							
堕ちた妖精王ティターニアの討伐			堕ちた妖精王ティターニアの討伐			闇の戦士の再訪							
見違えるようになったヴァウスリーとの決戦			見違えるようになったヴァウスリーとの決戦			闇の戦士の再訪							
未来を賭けたハーデスとの戦い			未来を賭けたハーデスとの戦い			闇の戦士の再訪							
それ以外に、実は……			それ以外に、実は……			闇の戦士の再訪							
なるほどッ！イル・メグはリェー・ギア城での、大罪喰いとなった妖精王との戦いですね！			なるほどッ！イル・メグはリェー・ギア城での、大罪喰いとなった妖精王との戦いですね！			闇の戦士の再訪							
ドッチ、コッチ、と惑わしてくる妖精を相手にするのは、「闇の戦士」でも大変だったということでしょうか……！ありがとうございます、書に掲載させていただきます！			ドッチ、コッチ、と惑わしてくる妖精を相手にするのは、「闇の戦士」でも大変だったということでしょうか……！ありがとうございます、書に掲載させていただきます！			闇の戦士の再訪							
なるほどッ！ユールモア元首であり、最後の大罪喰いであった、ドン・ヴァウスリーとの戦いですね！			なるほどッ！ユールモア元首であり、最後の大罪喰いであった、ドン・ヴァウスリーとの戦いですね！			闇の戦士の再訪							
グルグ火山に理想郷を築き、唯ひとりの罪なき者(イノセンス)を名乗った……そんな彼との決着は、まさに歴史の分水嶺でしたね！ありがとうございます、書に掲載させていただきます！			グルグ火山に理想郷を築き、唯ひとりの罪なき者(イノセンス)を名乗った……そんな彼との決着は、まさに歴史の分水嶺でしたね！ありがとうございます、書に掲載させていただきます！			闇の戦士の再訪							
なるほどッ！テンペストの海底、揺らめく幻影都市で繰り広げられたという、闇が戻る前の最終決戦ですね！			なるほどッ！テンペストの海底、揺らめく幻影都市で繰り広げられたという、闇が戻る前の最終決戦ですね！			闇の戦士の再訪							
しかし私たちでは、その戦いについて、すべてを正しく書き記せないでしょう……。			しかし私たちでは、その戦いについて、すべてを正しく書き記せないでしょう……。			闇の戦士の再訪							
せめて、あなたにとって重大な戦いだったということだけでも、しっかりキッチリ掲載させていただきますね！ご回答ありがとうございます！			せめて、あなたにとって重大な戦いだったということだけでも、しっかりキッチリ掲載させていただきますね！ご回答ありがとうございます！			闇の戦士の再訪							
な、なんとッ！あなたにとって、「ソレ」がもっとも困難な戦いでしたか！			な、なんとッ！あなたにとって、「ソレ」がもっとも困難な戦いでしたか！			闇の戦士の再訪							
「闇の戦士」ご本人の貴重な証言として、しっかりと書に記載させていただきましょう。ご回答ありがとうございます！			「闇の戦士」ご本人の貴重な証言として、しっかりと書に記載させていただきましょう。ご回答ありがとうございます！			闇の戦士の再訪							
ではモーレン、ワシらはそろそろ行くぞ。ユールモアから届く重要書類を、受け取らねばならんのだろう？			ではモーレン、ワシらはそろそろ行くぞ。ユールモアから届く重要書類を、受け取らねばならんのだろう？			闇の戦士の再訪							
おお、そうでした！そのあとは、一緒に食事でもいかがです？先日の記述について、あなたの解釈を伺いたいのです。			おお、そうでした！そのあとは、一緒に食事でもいかがです？先日の記述について、あなたの解釈を伺いたいのです。			闇の戦士の再訪							
ではな、Forename！皆にも健康には注意しろと伝えておいてくれ。			ではな、Forename！皆にも健康には注意しろと伝えておいてくれ。			闇の戦士の再訪							
とくに、あやつにはな……「張り切るのはいいが、根を詰めすぎないように」と、耳がン・モゥになるくらい言って聞かせるのだぞ！			とくに、あやつにはな……「張り切るのはいいが、根を詰めすぎないように」と、耳がン・モゥになるくらい言って聞かせるのだぞ！			闇の戦士の再訪							
(-？？？？-)あっ……！「闇の戦士」のおねえちゃんおにいちゃん！			(-？？？？-)あっ……！「闇の戦士」のおねえちゃんおにいちゃん！			闇の戦士の再訪							
わーっ、ホンモノだ！なんでなんで！？　いつ来たの！？			わーっ、ホンモノだ！なんでなんで！？　いつ来たの！？			闇の戦士の再訪							
あっ、わかった、お仕事でしょ！わたしの作ったおくすり、持ってく！？			あっ、わかった、お仕事でしょ！わたしの作ったおくすり、持ってく！？			闇の戦士の再訪							
ダメだぞ、リキ・ティオ。「闇の戦士」さまが、おなか壊しちゃったらどうするんだ……。			ダメだぞ、リキ・ティオ。「闇の戦士」さまが、おなか壊しちゃったらどうするんだ……。			闇の戦士の再訪							
僕たちは、モーレンさんのお話を聞きにきたんです。			僕たちは、モーレンさんのお話を聞きにきたんです。			闇の戦士の再訪							
たくさんお願いした甲斐あって、衛兵団の人に稽古をつけてもらえるようになったんですが、最初に身につける武術を選んだ方がいい……って。			たくさんお願いした甲斐あって、衛兵団の人に稽古をつけてもらえるようになったんですが、最初に身につける武術を選んだ方がいい……って。			闇の戦士の再訪							
僕は魔法を使いこなしたいって思ったので、そちらへ。だけど、アーキルが……			僕は魔法を使いこなしたいって思ったので、そちらへ。だけど、アーキルが……			闇の戦士の再訪							
俺は、魔法はあんまり……。ほかにその人が教えられるのは、斧術か剣術か弓術だっていうんだ。			俺は、魔法はあんまり……。ほかにその人が教えられるのは、斧術か剣術か弓術だっていうんだ。			闇の戦士の再訪							
どれも「やってみたい」って思うから、迷っちゃって……それで、いろいろ知ってるモーレンさんに、ジョゲンをもらいに来たんだ。			どれも「やってみたい」って思うから、迷っちゃって……それで、いろいろ知ってるモーレンさんに、ジョゲンをもらいに来たんだ。			闇の戦士の再訪							
えっ、モーレンさん、お出かけ中なんだ……。			えっ、モーレンさん、お出かけ中なんだ……。			闇の戦士の再訪							
じゃあさ、じゃあさ、「闇の戦士」さまに選んでもらおうよ！			じゃあさ、じゃあさ、「闇の戦士」さまに選んでもらおうよ！			闇の戦士の再訪							
斧と、剣と、弓！おねえちゃんおにいちゃんは、どれがいいと思う！？			斧と、剣と、弓！おねえちゃんおにいちゃんは、どれがいいと思う！？			闇の戦士の再訪							
何と言う？			何と言う？			闇の戦士の再訪							
やっぱり、斧術ッ！			やっぱり、斧術ッ！			闇の戦士の再訪							
誰かを護る剣術だ			誰かを護る剣術だ			闇の戦士の再訪							
狩りにも役立つ弓術かな			狩りにも役立つ弓術かな			闇の戦士の再訪							
斧術……斧……斧といえば…………			斧術……斧……斧といえば…………			闇の戦士の再訪							
(-子どもたち-)光の戦士アルバートの、冒険物語！			(-子どもたち-)光の戦士アルバートの、冒険物語！			闇の戦士の再訪							
剣術……剣……剣といえば…………			剣術……剣……剣といえば…………			闇の戦士の再訪							
(-子どもたち-)光の戦士ブランデンの、騎士物語！			(-子どもたち-)光の戦士ブランデンの、騎士物語！			闇の戦士の再訪							
弓術……弓……弓といえば…………			弓術……弓……弓といえば…………			闇の戦士の再訪							
(-子どもたち-)光の戦士レンダ・レイの、猛獣退治の物語！			(-子どもたち-)光の戦士レンダ・レイの、猛獣退治の物語！			闇の戦士の再訪							
今日読む本は、それでけってーい！わたし、あのお話だいすき！			今日読む本は、それでけってーい！わたし、あのお話だいすき！			闇の戦士の再訪							
大人気ですぐ借りられちゃうから、あるといいけど……。			大人気ですぐ借りられちゃうから、あるといいけど……。			闇の戦士の再訪							
おねえちゃんおにいちゃん、ジョゲンありがとう！その武術からはじめて、いろいろ試してみるよ！			おねえちゃんおにいちゃん、ジョゲンありがとう！その武術からはじめて、いろいろ試してみるよ！			闇の戦士の再訪							
いつか俺が強くなったら、おねえちゃんおにいちゃんと……「闇の戦士」さまと、手合わせするんだ！　約束な！			いつか俺が強くなったら、おねえちゃんおにいちゃんと……「闇の戦士」さまと、手合わせするんだ！　約束な！			闇の戦士の再訪							
(-？？？？-)ふぅーん……。ン・モゥ族や子どもたちとは楽しくおしゃべりするのに、あなたの『美しい枝』と話すことはないのかしら？			(-？？？？-)ふぅーん……。ン・モゥ族や子どもたちとは楽しくおしゃべりするのに、あなたの『美しい枝』と話すことはないのかしら？			闇の戦士の再訪							
(-？？？？-)心外だわ、悲しいわ、寂しいわ！私はずーーーっと声を掛けられるのを待っているのに、『かわいい若木』ったら、やっぱり薄情者なのだわっ！			(-？？？？-)心外だわ、悲しいわ、寂しいわ！私はずーーーっと声を掛けられるのを待っているのに、『かわいい若木』ったら、やっぱり薄情者なのだわっ！			闇の戦士の再訪							
何と言う？			何と言う？			闇の戦士の再訪							
えっと……フェオちゃん助けて？			えっと……フェオちゃん助けて？			闇の戦士の再訪							
かわいくて美しい我が枝フェオちゃん！			かわいくて美しい我が枝フェオちゃん！			闇の戦士の再訪							
暇なんですか妖精王……			暇なんですか妖精王……			闇の戦士の再訪							
どうしてちょっと疑問形なのかしら！？そこはもっと熱烈に、愛と尊敬と畏怖を込めて、言い切ってほしかったのだわーっ！			どうしてちょっと疑問形なのかしら！？そこはもっと熱烈に、愛と尊敬と畏怖を込めて、言い切ってほしかったのだわーっ！			闇の戦士の再訪							
……とはいえ、今回ばかりは、私も助けてあげられそうにない事態のようだし。不本意ながら許容としておくのだわ。			……とはいえ、今回ばかりは、私も助けてあげられそうにない事態のようだし。不本意ながら許容としておくのだわ。			闇の戦士の再訪							
本当にそう思ってるなら、この世界に来た瞬間に叫んでほしかったのだわーっ！			本当にそう思ってるなら、この世界に来た瞬間に叫んでほしかったのだわーっ！			闇の戦士の再訪							
罰として、次回はもっと情熱的な呼びかけにするのだわ。……もっとも、そのためには、先に別の難題を解決する必要があるようだけど。			罰として、次回はもっと情熱的な呼びかけにするのだわ。……もっとも、そのためには、先に別の難題を解決する必要があるようだけど。			闇の戦士の再訪							
そんなわけないのだわーっ！？私の若木は、いつからそんな可愛げのないことを言う、『ねじれた老木』になったのかしら！？			そんなわけないのだわーっ！？私の若木は、いつからそんな可愛げのないことを言う、『ねじれた老木』になったのかしら！？			闇の戦士の再訪							
……まあ、なんだか良からぬ事態になっているようだし、今回だけは大目に見てあげるのだわ。			……まあ、なんだか良からぬ事態になっているようだし、今回だけは大目に見てあげるのだわ。			闇の戦士の再訪							
ということで、改めてこんにちは、私の『かわいい若木』……なんでも、星が滅びかけているんですって？			ということで、改めてこんにちは、私の『かわいい若木』……なんでも、星が滅びかけているんですって？			闇の戦士の再訪							
ふふ……あなたと私に継ぎ目はないもの。そちらを窺い知るのは、木の洞を覗きこむより簡単だわ。			ふふ……あなたと私に継ぎ目はないもの。そちらを窺い知るのは、木の洞を覗きこむより簡単だわ。			闇の戦士の再訪							
できれば力になってあげたいけれど、私たち妖精は、星の息吹とともに咲き、滅びとともに散りゆくもの……			できれば力になってあげたいけれど、私たち妖精は、星の息吹とともに咲き、滅びとともに散りゆくもの……			闇の戦士の再訪							
してあげられることといえば、せめて恐ろしくないように、『甘い夢』に堕としてあげることくらいだわ……？			してあげられることといえば、せめて恐ろしくないように、『甘い夢』に堕としてあげることくらいだわ……？			闇の戦士の再訪							
それで満足しないのなら、手を取るべきは妖精(わたし)ではないでしょう。ヒトとともに、精一杯、足掻くといいわ。			それで満足しないのなら、手を取るべきは妖精(わたし)ではないでしょう。ヒトとともに、精一杯、足掻くといいわ。			闇の戦士の再訪							
さあ、あなたの待ちビトが来たのだわ！今回はいったい、どんな結末になるのかしら？			さあ、あなたの待ちビトが来たのだわ！今回はいったい、どんな結末になるのかしら？			闇の戦士の再訪							
お待たせしました。			お待たせしました。			闇の戦士の再訪							
Forenameさん！お久しぶりです……！			Forenameさん！お久しぶりです……！			闇の戦士の再訪							
つもる話もあると思いますので、あとはおふたりで……。「深慮の間」の鍵も開けておきましたので、ご自由にお入りください。			つもる話もあると思いますので、あとはおふたりで……。「深慮の間」の鍵も開けておきましたので、ご自由にお入りください。			闇の戦士の再訪							
移動している間に、ライナさんから伺いました。みんな……サンクレッドも、元気にしているそうですね。			移動している間に、ライナさんから伺いました。みんな……サンクレッドも、元気にしているそうですね。			闇の戦士の再訪							
よかったです……。ここのところ、不吉な気配を感じていたものだから、何かあったんじゃないかって……。			よかったです……。ここのところ、不吉な気配を感じていたものだから、何かあったんじゃないかって……。			闇の戦士の再訪							
あっ、えっと、単なる思い過ごしかもしれないんですが……			あっ、えっと、単なる思い過ごしかもしれないんですが……			闇の戦士の再訪							
……私は「光の巫女」といえど、ハイデリンと直接言葉を交わしたことがありません。			……私は「光の巫女」といえど、ハイデリンと直接言葉を交わしたことがありません。			闇の戦士の再訪							
それでも、自分の奥深くに、何か大きなものとの繋がりを感じていたんです。			それでも、自分の奥深くに、何か大きなものとの繋がりを感じていたんです。			闇の戦士の再訪							
それが、ここ数日、急に遠くなったり戻ったり……なんだか安定しなくって……。			それが、ここ数日、急に遠くなったり戻ったり……なんだか安定しなくって……。			闇の戦士の再訪							
この前は、ついにその繋がりが途切れたような感覚があって、夜中にふと目が覚めました。			この前は、ついにその繋がりが途切れたような感覚があって、夜中にふと目が覚めました。			闇の戦士の再訪							
空気を換えようと思って窓を開けたら、空が……流星雨の幻影のときのように、赤く燃えていたんです。			空気を換えようと思って窓を開けたら、空が……流星雨の幻影のときのように、赤く燃えていたんです。			闇の戦士の再訪							
それは幻影だったみたいで、すぐにいつもの夜空に戻りました。視たのも私だけ……夜警の人にも話を聞いてみましたが、誰も気づかなかったそうです。			それは幻影だったみたいで、すぐにいつもの夜空に戻りました。視たのも私だけ……夜警の人にも話を聞いてみましたが、誰も気づかなかったそうです。			闇の戦士の再訪							
実際、調べた範囲では、これといった異変もなく……自分でも段々、寝ぼけていたんじゃないかって……。			実際、調べた範囲では、これといった異変もなく……自分でも段々、寝ぼけていたんじゃないかって……。			闇の戦士の再訪							
Forenameさん……？もしかして、何か心当たりがあるんですか？			Forenameさん……？もしかして、何か心当たりがあるんですか？			闇の戦士の再訪							
だとしたら、教えてください……！それが、どんな真実だとしても……！			だとしたら、教えてください……！それが、どんな真実だとしても……！			闇の戦士の再訪							
幻影のアーモロートで見た、あの終末が……ゾディアークの消滅によって現代に再来した……。			幻影のアーモロートで見た、あの終末が……ゾディアークの消滅によって現代に再来した……。			闇の戦士の再訪							
みんな…………。			みんな…………。			闇の戦士の再訪							
……先ほどお伝えしたとおり、第一世界では、現在異変は起きていません。私たちは、まだ大丈夫です。			……先ほどお伝えしたとおり、第一世界では、現在異変は起きていません。私たちは、まだ大丈夫です。			闇の戦士の再訪							
だから、こちらのことは心配せずに、目の前にある危機に立ち向かってください。			だから、こちらのことは心配せずに、目の前にある危機に立ち向かってください。			闇の戦士の再訪							
私はみなさんとの旅で、生きていくことへの想いを確かめた。もう、自分は助からなくてもいいなんて……原初世界の人たちだけで逃げてだなんて、言いません。			私はみなさんとの旅で、生きていくことへの想いを確かめた。もう、自分は助からなくてもいいなんて……原初世界の人たちだけで逃げてだなんて、言いません。			闇の戦士の再訪							
もしこちらでも災厄が始まることがあれば、できるだけ時間を稼ぐから……きっと見つけてください、みんなで明日を迎える方法を……！			もしこちらでも災厄が始まることがあれば、できるだけ時間を稼ぐから……きっと見つけてください、みんなで明日を迎える方法を……！			闇の戦士の再訪							
大丈夫、この世界の人たちは、肝が据わってるんです！流星雨だって、前に幻影で経験しています！			大丈夫、この世界の人たちは、肝が据わってるんです！流星雨だって、前に幻影で経験しています！			闇の戦士の再訪							
みなさんが抗い続けている間は、絶対に諦めない……燃え盛る空の下にいても、想いは繋がっていると信じて……！			みなさんが抗い続けている間は、絶対に諦めない……燃え盛る空の下にいても、想いは繋がっていると信じて……！			闇の戦士の再訪							
自由弁論館のリーンは、怖気づくことなく、堂々としている。			自由弁論館のリーンは、怖気づくことなく、堂々としている。			指し示されたエルピス							
リーンに別れを告げた。クリスタリウムのドッサル大門にいる「衛兵団の守衛」と話そう。			リーンに別れを告げた。クリスタリウムのドッサル大門にいる「衛兵団の守衛」と話そう。			指し示されたエルピス							
深慮の間に入り、エリディブスと束の間の再会を果たした。星見の間にある魔具で、エルピスへと向かおう。			深慮の間に入り、エリディブスと束の間の再会を果たした。星見の間にある魔具で、エルピスへと向かおう。			指し示されたエルピス							
エルピスに到着したが、存在が希薄になっているようだ。到着した施設内で情報収集をしよう。			エルピスに到着したが、存在が希薄になっているようだ。到着した施設内で情報収集をしよう。			指し示されたエルピス							
情報収集を試みた。プロピュライオンの「頑丈な大扉」を調べよう。			情報収集を試みた。プロピュライオンの「頑丈な大扉」を調べよう。			指し示されたエルピス							
外に出られないか試していたところ、予期せぬ相手と出会った。彼らとともに、プロピュライオンの扉の外に向かおう。			外に出られないか試していたところ、予期せぬ相手と出会った。彼らとともに、プロピュライオンの扉の外に向かおう。			指し示されたエルピス							
扉の外に出ることができた。プロピュライオンの「ヒュトロダエウス」と話そう。			扉の外に出ることができた。プロピュライオンの「ヒュトロダエウス」と話そう。			指し示されたエルピス							
