ミーン工芸館のベスリクは、冒険者に相談したいことがあるようだ。			ミーン工芸館のベスリクは、冒険者に相談したいことがあるようだ。			生きるべき場所							
ありがとうございます！ベスリク、この御恩は決して忘れません……！「妖精への贈り物」の製作、よろしくお願いします！			ありがとうございます！ベスリク、この御恩は決して忘れません……！「妖精への贈り物」の製作、よろしくお願いします！			生きるべき場所							
もし材料が不足した場合は、「ネム・シェリミン」から受け取ってくださいね！			もし材料が不足した場合は、「ネム・シェリミン」から受け取ってくださいね！			生きるべき場所							
慌てることはない。材料が不足したら、こちらを使ってくれ。			慌てることはない。材料が不足したら、こちらを使ってくれ。			生きるべき場所							
「妖精への贈り物」が完成したようだな。ベスリクに渡してやるといい。			「妖精への贈り物」が完成したようだな。ベスリクに渡してやるといい。			生きるべき場所							
「妖精への贈り物」の製作、よろしくお願いします！			「妖精への贈り物」の製作、よろしくお願いします！			生きるべき場所							
これはすごい……なんと贅沢な贈り物！これほどの贈り物であれば、妖精さんも大満足でしょう！私もひとつまみ、いただきたいくらいです！			これはすごい……なんと贅沢な贈り物！これほどの贈り物であれば、妖精さんも大満足でしょう！私もひとつまみ、いただきたいくらいです！			生きるべき場所							
冗談ですよォ！ンッフフ……では、さっそくですが、まずは妖精の集落に向かいましょう！			冗談ですよォ！ンッフフ……では、さっそくですが、まずは妖精の集落に向かいましょう！			生きるべき場所							
心配いりませんよ。Forenameさんが行くところであれば、この子もきっと、付いていくことを承諾するでしょう。			心配いりませんよ。Forenameさんが行くところであれば、この子もきっと、付いていくことを承諾するでしょう。			生きるべき場所							
さあ、「リダ・ラーン」に向かって出発しましょう！			さあ、「リダ・ラーン」に向かって出発しましょう！			生きるべき場所							
キュル……………。			キュル……………。			生きるべき場所							
ヴォレクドルフに行くのだな。我も行ってみたいが、他の家畜の世話がある。スキップをよろしく頼むぞ。			ヴォレクドルフに行くのだな。我も行ってみたいが、他の家畜の世話がある。スキップをよろしく頼むぞ。			生きるべき場所							
あ、Forenameさん！さっそく、贈り物を捧げてみたのですが効果バツグンでしたよ！無事に妖精さんたちのオモチャにされずに済みました！			あ、Forenameさん！さっそく、贈り物を捧げてみたのですが効果バツグンでしたよ！無事に妖精さんたちのオモチャにされずに済みました！			生きるべき場所							
いい感じです！このまま「ヴォレクドルフ」まで向かいましょう！			いい感じです！このまま「ヴォレクドルフ」まで向かいましょう！			生きるべき場所							
ここが……ここが……ヴォレクドルフ！まるでアマロの楽園！素晴らしい、素晴らしいッ！！！			ここが……ここが……ヴォレクドルフ！まるでアマロの楽園！素晴らしい、素晴らしいッ！！！			生きるべき場所							
おや？ラグ……ラグ＝ラグじゃないか！ヒトの里に向かうと言って出ていったのに、もう戻って来たのかい？			おや？ラグ……ラグ＝ラグじゃないか！ヒトの里に向かうと言って出ていったのに、もう戻って来たのかい？			生きるべき場所							
………………。			………………。			生きるべき場所							
ラグ＝ラグ？それが、スキップのこの場所での呼び名なのですね！ということは、ヴォレクドルフこそ、この子が過ごした場所……！			ラグ＝ラグ？それが、スキップのこの場所での呼び名なのですね！ということは、ヴォレクドルフこそ、この子が過ごした場所……！			生きるべき場所							
……なぜ、喋らないんだい？もしかして、悪いヒトに舌を引っこ抜かれてしまったのかい？			……なぜ、喋らないんだい？もしかして、悪いヒトに舌を引っこ抜かれてしまったのかい？			生きるべき場所							
え、なぜって…………この子は、喋れないアマロでは……。			え、なぜって…………この子は、喋れないアマロでは……。			生きるべき場所							
………………。			………………。			生きるべき場所							
ふうむ……なにか複雑な事情がありそうだねぇ。説明してくれるかい？我らの友であるヒトの子よ。			ふうむ……なにか複雑な事情がありそうだねぇ。説明してくれるかい？我らの友であるヒトの子よ。			生きるべき場所							
なるほどね……事情はよくわかったよ。			なるほどね……事情はよくわかったよ。			生きるべき場所							
この子は、何を望んでいますか？			この子は、何を望んでいますか？			生きるべき場所							
……ラグは今、葛藤しているよ。ヒトを信じたい気持ちと、疑い恐れる気持ちとの間で……。			……ラグは今、葛藤しているよ。ヒトを信じたい気持ちと、疑い恐れる気持ちとの間で……。			生きるべき場所							
この子はね、100年余りの間、ずっと寂しかったのさ。たまたま、当時の主とノルヴラントを旅していたために、「光の氾濫」からは生き延びたが、故郷は消えてしまったからね。			この子はね、100年余りの間、ずっと寂しかったのさ。たまたま、当時の主とノルヴラントを旅していたために、「光の氾濫」からは生き延びたが、故郷は消えてしまったからね。			生きるべき場所							
そして、主もまた寿命で喪ってしまった。だというのに、古の血が覚醒してしまったこの子は、トゥパク・アマロとして長い時を生きることになったのさ……。			そして、主もまた寿命で喪ってしまった。だというのに、古の血が覚醒してしまったこの子は、トゥパク・アマロとして長い時を生きることになったのさ……。			生きるべき場所							
ここに流れ着いてからも、異郷のアマロと馴染めなかったのか、勝手に周りを恐れて拒絶して……。本当に世話の焼ける、可愛い子さね。			ここに流れ着いてからも、異郷のアマロと馴染めなかったのか、勝手に周りを恐れて拒絶して……。本当に世話の焼ける、可愛い子さね。			生きるべき場所							
孤独なこの子は、子供の頃にヒトに優しくしてもらった記憶が忘れられず、ヒトが恋しくて、寂しくて、仕方なかったんだろうよ。			孤独なこの子は、子供の頃にヒトに優しくしてもらった記憶が忘れられず、ヒトが恋しくて、寂しくて、仕方なかったんだろうよ。			生きるべき場所							
そんなとき、心惹かれる波長を感じ取ったみたいでね。ついこの間、ヴォレクドルフを飛び出していったのさ。			そんなとき、心惹かれる波長を感じ取ったみたいでね。ついこの間、ヴォレクドルフを飛び出していったのさ。			生きるべき場所							
スキップ……その心惹かれた波長の主はきっと、Forenameさんですね……。			スキップ……その心惹かれた波長の主はきっと、Forenameさんですね……。			生きるべき場所							
その矢先に悪いヒトに襲われるとは、この子もツイてないねえ。			その矢先に悪いヒトに襲われるとは、この子もツイてないねえ。			生きるべき場所							
ラグ……お前さんたちは、スキップと呼んでいるようだが、この子のことは、ひとまず私たちに任せておくれ。ありがとう、親切なヒトたちよ。			ラグ……お前さんたちは、スキップと呼んでいるようだが、この子のことは、ひとまず私たちに任せておくれ。ありがとう、親切なヒトたちよ。			生きるべき場所							
……………………。			……………………。			生きるべき場所							
ううっ……スキップ……また会いに来ますからね。他のアマロとも仲良く、元気に暮らすのですよ。ここなら、悪い人に襲われる心配もありません……。			ううっ……スキップ……また会いに来ますからね。他のアマロとも仲良く、元気に暮らすのですよ。ここなら、悪い人に襲われる心配もありません……。			生きるべき場所							
さあ、Forenameさん！この子を託して、「ミーン工芸館」に戻りましょう……！別れは寂しいですが、スキップの安全と幸せのためです……！			さあ、Forenameさん！この子を託して、「ミーン工芸館」に戻りましょう……！別れは寂しいですが、スキップの安全と幸せのためです……！			生きるべき場所							
キュル………………。			キュル………………。			生きるべき場所							
本当に、いいのかい？			本当に、いいのかい？			生きるべき場所							
その様子、さぞ怖い目にあったのだろう……。でも、すべてのヒトが悪いわけではないよ。それは、お前もよくわかっているだろう？			その様子、さぞ怖い目にあったのだろう……。でも、すべてのヒトが悪いわけではないよ。それは、お前もよくわかっているだろう？			生きるべき場所							
焦ることはない。どうしたいのか、よく考えてごらん？			焦ることはない。どうしたいのか、よく考えてごらん？			生きるべき場所							
……………………。			……………………。			生きるべき場所							
キュル…………………………。			キュル…………………………。			生きるべき場所							
おかえりなさい、Forenameさん、……不思議なことが起こりました。驚かずに聞いてください。			おかえりなさい、Forenameさん、……不思議なことが起こりました。驚かずに聞いてください。			生きるべき場所							
ヴォレクドルフに残してきたはずのラグ＝ラグ……いえ、私たちのスキップが、牧場にいたんです！			ヴォレクドルフに残してきたはずのラグ＝ラグ……いえ、私たちのスキップが、牧場にいたんです！			生きるべき場所							
そそ、それとも、妖精に化かされて幻でも見ていたのでしょうか？す、少し落ち着くとしましょう……。			そそ、それとも、妖精に化かされて幻でも見ていたのでしょうか？す、少し落ち着くとしましょう……。			生きるべき場所							
ヴォレクドルフに残してきたと聞いていたが……先ほど、戻ってきたのだ。いったい、どういうことだろうか？			ヴォレクドルフに残してきたと聞いていたが……先ほど、戻ってきたのだ。いったい、どういうことだろうか？			生きるべき場所							
………………！			………………！			生きるべき場所							
次の納品依頼は、「錬金術師／調理師」のいずれかがレベル78以上になると、ミーン工芸館の「ベスリク」から受注可能です。			次の納品依頼は、「錬金術師／調理師」のいずれかがレベル78以上になると、ミーン工芸館の「ベスリク」から受注可能です。			生きるべき場所							
ミーン工芸館のケシ・レイは、シムーンについて考察したいようだ。			ミーン工芸館のケシ・レイは、シムーンについて考察したいようだ。			幻の生物シムーンは実在した！？							
リダ・ラーンでマオ・ラッドの目撃情報を集める			リダ・ラーンでマオ・ラッドの目撃情報を集める			幻の生物シムーンは実在した！？							
ケシ・レイと話す			ケシ・レイと話す			幻の生物シムーンは実在した！？							
マオ・ラッドを探す			マオ・ラッドを探す			幻の生物シムーンは実在した！？							
ティム・グースで古代生物の皮膚片を採集古代生物の皮膚片をケシ・レイに納品			ティム・グースで古代生物の皮膚片を採集古代生物の皮膚片をケシ・レイに納品			幻の生物シムーンは実在した！？							
ミーン工芸館のケシ・レイと話す			ミーン工芸館のケシ・レイと話す			幻の生物シムーンは実在した！？							
本クエストを進行するためには、「メインクエスト：漆黒のヴィランズ」の、「アクトラ・オルワ・イン」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：漆黒のヴィランズ」の、「アクトラ・オルワ・イン」を完了する必要があります。			幻の生物シムーンは実在した！？							
よーし、痕跡は順調に集まっているのに、相変わらずシムーンの本体が、見つからない理由を、改めて考えてみようか！			よーし、痕跡は順調に集まっているのに、相変わらずシムーンの本体が、見つからない理由を、改めて考えてみようか！			幻の生物シムーンは実在した！？							
はぁ、はぁ……ケ、ケシ・レイ科長……！大変です……！			はぁ、はぁ……ケ、ケシ・レイ科長……！大変です……！			幻の生物シムーンは実在した！？							
ヤラーナ、大丈夫かい……！頭脳労働者が全力疾走なんて、自殺行為だよ……！			ヤラーナ、大丈夫かい……！頭脳労働者が全力疾走なんて、自殺行為だよ……！			幻の生物シムーンは実在した！？							
だ、だめですが……それどころではないんです……！マオ・ラッドが、ひとりでシムーンを探しに、イル・メグへ向かってしまったんです！			だ、だめですが……それどころではないんです……！マオ・ラッドが、ひとりでシムーンを探しに、イル・メグへ向かってしまったんです！			幻の生物シムーンは実在した！？							
なんだってー！？			なんだってー！？			幻の生物シムーンは実在した！？							
ほかの研究員がマオに対して、「お前がシムーンなど非現実的なことを吹聴したせいで、　ケシ・レイ科長まで愚かになってしまった」と言ったんです。			ほかの研究員がマオに対して、「お前がシムーンなど非現実的なことを吹聴したせいで、　ケシ・レイ科長まで愚かになってしまった」と言ったんです。			幻の生物シムーンは実在した！？							
それにマオはひどく反発して、飛び出していって……。でも、身を護る心得のない研究員が、ひとりで外に出るなんて、無謀すぎます……！			それにマオはひどく反発して、飛び出していって……。でも、身を護る心得のない研究員が、ひとりで外に出るなんて、無謀すぎます……！			幻の生物シムーンは実在した！？							
よりにもよって、イル・メグだなんて……！妖精たちに惑わされて、命を落とす危険だってあるんだぞ！すぐにでも連れ戻しに行かないと！			よりにもよって、イル・メグだなんて……！妖精たちに惑わされて、命を落とす危険だってあるんだぞ！すぐにでも連れ戻しに行かないと！			幻の生物シムーンは実在した！？							
待ってください、科長！そんなことしたら、我々まで妖精に惑わされる可能性も……！			待ってください、科長！そんなことしたら、我々まで妖精に惑わされる可能性も……！			幻の生物シムーンは実在した！？							
Forenameくんがいるから、大丈夫。君は、イル・メグの妖精とも親しいんだよね？案内を頼めるかい？			Forenameくんがいるから、大丈夫。君は、イル・メグの妖精とも親しいんだよね？案内を頼めるかい？			幻の生物シムーンは実在した！？							
なるほど、イル・メグの南にある集落、「リダ・ラーン」のピクシーたちと親交があると……。それならマオの姿を見てないか、聞き込みをお願いしたいです！			なるほど、イル・メグの南にある集落、「リダ・ラーン」のピクシーたちと親交があると……。それならマオの姿を見てないか、聞き込みをお願いしたいです！			幻の生物シムーンは実在した！？							
じゃあ私たちはイル・メグの入口あたりでマオを探そう。すまないけど、情報が集まったら合流してくれるかな？マオの命がかかってるから……よろしく頼むよ！			じゃあ私たちはイル・メグの入口あたりでマオを探そう。すまないけど、情報が集まったら合流してくれるかな？マオの命がかかってるから……よろしく頼むよ！			幻の生物シムーンは実在した！？							
お耳のおっきい男のヒト？さっき「姿見の湖」の西で見たけど、見失っちゃった……。			お耳のおっきい男のヒト？さっき「姿見の湖」の西で見たけど、見失っちゃった……。			幻の生物シムーンは実在した！？							
次に見つけたら、かっわいい草人になってもらうんだー♪			次に見つけたら、かっわいい草人になってもらうんだー♪			幻の生物シムーンは実在した！？							
えっ！？　ヒトが遊びにきてたなんて、知らなかった！ずるいー！　ヒト見たいー！　あそびたいー！つまんないー！　つまんないのやだー！			えっ！？　ヒトが遊びにきてたなんて、知らなかった！ずるいー！　ヒト見たいー！　あそびたいー！つまんないー！　つまんないのやだー！			幻の生物シムーンは実在した！？							
なぁに？　さっきのヒト、あなたのお友だちだったの？じゃあ、背中をとんって押して、遊んであげればよかった！「姿見の湖」の際を歩いていたから……フフフ！			なぁに？　さっきのヒト、あなたのお友だちだったの？じゃあ、背中をとんって押して、遊んであげればよかった！「姿見の湖」の際を歩いていたから……フフフ！			幻の生物シムーンは実在した！？							
マオ・ラッドは、「姿見の湖」辺りで目撃されていたようだ……。「ティム・グース」入口付近のケシ・レイたちにも、目撃情報を伝えよう。			マオ・ラッドは、「姿見の湖」辺りで目撃されていたようだ……。「ティム・グース」入口付近のケシ・レイたちにも、目撃情報を伝えよう。			幻の生物シムーンは実在した！？							
イル・メグは数回しか足を踏み入れたことがないけれど……あいかわらず、魅力的かつ恐ろしい場所だね……。			イル・メグは数回しか足を踏み入れたことがないけれど……あいかわらず、魅力的かつ恐ろしい場所だね……。			幻の生物シムーンは実在した！？							
マオー！　どこですかー！怒らないから出てきてくださいよー！			マオー！　どこですかー！怒らないから出てきてくださいよー！			幻の生物シムーンは実在した！？							
お耳のおっきい男のヒト？さっき「姿見の湖」の西で見たけど、見失っちゃった……。			お耳のおっきい男のヒト？さっき「姿見の湖」の西で見たけど、見失っちゃった……。			幻の生物シムーンは実在した！？							
次に見つけたら、かっわいい草人になってもらうんだー♪			次に見つけたら、かっわいい草人になってもらうんだー♪			幻の生物シムーンは実在した！？							
ヒトが遊びにきてたなんて、知らなかった！ずるいー！　ヒト見たいー！　あそびたいー！つまんないー！　つまんないのやだー！			ヒトが遊びにきてたなんて、知らなかった！ずるいー！　ヒト見たいー！　あそびたいー！つまんないー！　つまんないのやだー！			幻の生物シムーンは実在した！？							
なぁに？　さっきのヒト、あなたのお友だちだったの？じゃあ、背中をとんって押して、遊んであげればよかった！「姿見の湖」の際を歩いていたから……フフフ！			なぁに？　さっきのヒト、あなたのお友だちだったの？じゃあ、背中をとんって押して、遊んであげればよかった！「姿見の湖」の際を歩いていたから……フフフ！			幻の生物シムーンは実在した！？							
やあやあ、マオの手がかりについて、なにかわかったことはあったかい？			やあやあ、マオの手がかりについて、なにかわかったことはあったかい？			幻の生物シムーンは実在した！？							
なんと！もうマオの居場所を聞き出せたのかい！？君に案内を頼んで、正解だったよ……！			なんと！もうマオの居場所を聞き出せたのかい！？君に案内を頼んで、正解だったよ……！			幻の生物シムーンは実在した！？							
「姿見の湖」だったっけ？よし、じゃあみんなでそっちに移動しよう！妖精に襲われないように、はぐれずについてきてね！			「姿見の湖」だったっけ？よし、じゃあみんなでそっちに移動しよう！妖精に襲われないように、はぐれずについてきてね！			幻の生物シムーンは実在した！？							
マオ！よかった、無事だったんだね……！			マオ！よかった、無事だったんだね……！			幻の生物シムーンは実在した！？							
こんなところまで、ひとりで来ていたなんて……。奇跡的に無事だったから、よかったものの……。			こんなところまで、ひとりで来ていたなんて……。奇跡的に無事だったから、よかったものの……。			幻の生物シムーンは実在した！？							
Forenameさん！すみません、ご心配をかけたようで……！			Forenameさん！すみません、ご心配をかけたようで……！			幻の生物シムーンは実在した！？							
本当ですよ、まったくもう！ケシ・レイ科長だけじゃなく、あなたまで飛び出し癖がついたら、私ひとりでは対処しきれません！			本当ですよ、まったくもう！ケシ・レイ科長だけじゃなく、あなたまで飛び出し癖がついたら、私ひとりでは対処しきれません！			幻の生物シムーンは実在した！？							
だって、ほかのやつらに、ケシ・レイ科長を侮辱されたような気がして……許せなかったんです。			だって、ほかのやつらに、ケシ・レイ科長を侮辱されたような気がして……許せなかったんです。			幻の生物シムーンは実在した！？							
でも、おかげで、シムーンの体の一部と思われるものを見つけたんですよ！			でも、おかげで、シムーンの体の一部と思われるものを見つけたんですよ！			幻の生物シムーンは実在した！？							
ただ僕、採集道具を忘れちゃってて……。Forenameさん、どうか、採ってきてくれませんか……！			ただ僕、採集道具を忘れちゃってて……。Forenameさん、どうか、採ってきてくれませんか……！			幻の生物シムーンは実在した！？							
ここ周辺、「ティム・グース」の岩肌や樹木に、体をこすりつけたような痕があったんです！その近くで「古代生物の皮膚片」の採集をお願いします！			ここ周辺、「ティム・グース」の岩肌や樹木に、体をこすりつけたような痕があったんです！その近くで「古代生物の皮膚片」の採集をお願いします！			幻の生物シムーンは実在した！？							
ここ周辺、「ティム・グース」の岩肌や樹木に、体をこすりつけたような痕があったんです！その近くで「古代生物の皮膚片」の採集をお願いします！			ここ周辺、「ティム・グース」の岩肌や樹木に、体をこすりつけたような痕があったんです！その近くで「古代生物の皮膚片」の採集をお願いします！			幻の生物シムーンは実在した！？							
本当にシムーンの体の一部が発見されたら……特定作業が、ぐんとはかどりますね……！			本当にシムーンの体の一部が発見されたら……特定作業が、ぐんとはかどりますね……！			幻の生物シムーンは実在した！？							
なになに？「古代生物の皮膚片」が見つかったかい！？			なになに？「古代生物の皮膚片」が見つかったかい！？			幻の生物シムーンは実在した！？							
ふむふむ、これは……！確かに皮膚片のようだけど、古くてしなびているな……。出血の形跡もないから、脱皮したと考えてよさそうだ。			ふむふむ、これは……！確かに皮膚片のようだけど、古くてしなびているな……。出血の形跡もないから、脱皮したと考えてよさそうだ。			幻の生物シムーンは実在した！？							
ということは、脱皮の習性を持つ生物……！特定にも一役買いそうですね！早く持って帰って、分析したいです！			ということは、脱皮の習性を持つ生物……！特定にも一役買いそうですね！早く持って帰って、分析したいです！			幻の生物シムーンは実在した！？							
ケシ・レイ科長、ヤラーナさん！！うしろ、うしろ……うしろにシムーンらしきものが……！！			ケシ・レイ科長、ヤラーナさん！！うしろ、うしろ……うしろにシムーンらしきものが……！！			幻の生物シムーンは実在した！？							
いないよ？			いないよ？			幻の生物シムーンは実在した！？							
いませんね。			いませんね。			幻の生物シムーンは実在した！？							
