嘆きの海のウリエンジェは、冒険者を静かに待っている。			嘆きの海のウリエンジェは、冒険者を静かに待っている。			想い想われ、すれ違い							
あああ、あなたはほら、ほかで呼ばれていますから！こちらのことは、全然まったく一切気にせず、グレーテスト・エンズヴィルへお戻りくださいませ！			あああ、あなたはほら、ほかで呼ばれていますから！こちらのことは、全然まったく一切気にせず、グレーテスト・エンズヴィルへお戻りくださいませ！			想い想われ、すれ違い							
ななな、な、何をおっしゃいますやら！ちっとも、全然、まったく、怪しくなんてありませんわッ！			ななな、な、何をおっしゃいますやら！ちっとも、全然、まったく、怪しくなんてありませんわッ！			想い想われ、すれ違い							
ほら、早くグレーテスト・エンズヴィルへお戻りくださいませ！ヤ・シュトラさんたちが、緊急のキャロットパーティーを、開催しているかもしれませんわよ！？			ほら、早くグレーテスト・エンズヴィルへお戻りくださいませ！ヤ・シュトラさんたちが、緊急のキャロットパーティーを、開催しているかもしれませんわよ！？			想い想われ、すれ違い							
リヴィングウェイの言うとおり、荷運びであれば、私ひとりでも問題ないでしょう。少々行ってまいりますので、またのちほど……。			リヴィングウェイの言うとおり、荷運びであれば、私ひとりでも問題ないでしょう。少々行ってまいりますので、またのちほど……。			想い想われ、すれ違い							
お前が戻ったなら、ウリエンジェの奴は大丈夫そうだな。どちらかというと、俺たちの方が……やれやれだ。			お前が戻ったなら、ウリエンジェの奴は大丈夫そうだな。どちらかというと、俺たちの方が……やれやれだ。			想い想われ、すれ違い							
ほわあああっ……帰ってきたァッ…………！？			ほわあああっ……帰ってきたァッ…………！？			想い想われ、すれ違い							
あら、思ったより早かったわね。ウリエンジェと話はできたの？			あら、思ったより早かったわね。ウリエンジェと話はできたの？			想い想われ、すれ違い							
……私たちがあなたを呼んでいると？いいえ、そんな伝言を頼んだ覚えはないけれど……。			……私たちがあなたを呼んでいると？いいえ、そんな伝言を頼んだ覚えはないけれど……。			想い想われ、すれ違い							
でも、せっかく戻ってきてくれたんですもの、手を貸してもらえないかしら。実は少し困ったことになっているのよ。			でも、せっかく戻ってきてくれたんですもの、手を貸してもらえないかしら。実は少し困ったことになっているのよ。			想い想われ、すれ違い							
あなたが連れていたグローウィングウェイが戻ってきて、「ランニングウェイ」という子が、終末について詳しく知っていると教えてくれたの。			あなたが連れていたグローウィングウェイが戻ってきて、「ランニングウェイ」という子が、終末について詳しく知っていると教えてくれたの。			想い想われ、すれ違い							
ただ、「ランニングウェイ」は配達係だそうで、あちこち走り回っているものだから、捕まらないのよ……。			ただ、「ランニングウェイ」は配達係だそうで、あちこち走り回っているものだから、捕まらないのよ……。			想い想われ、すれ違い							
なあ、グローウィングウェイ。ランニングウェイを捕まえる手立ては何かないのか？必ず立ち寄る場所とか、瞬時に見分けるコツとか……。			なあ、グローウィングウェイ。ランニングウェイを捕まえる手立ては何かないのか？必ず立ち寄る場所とか、瞬時に見分けるコツとか……。			想い想われ、すれ違い							
えっ！？　それはその、ええと……気長に待てばいいんじゃないかナーと思ったり……なんて……うぅ……ダメですよね……ハイ……。			えっ！？　それはその、ええと……気長に待てばいいんじゃないかナーと思ったり……なんて……うぅ……ダメですよね……ハイ……。			想い想われ、すれ違い							
では、こちらの「ムースボール」をお持ちください。ムースの肉から作った、ちょっとビリビリするボールです……。			では、こちらの「ムースボール」をお持ちください。ムースの肉から作った、ちょっとビリビリするボールです……。			想い想われ、すれ違い							
ランニングウェイは、落ち着きなく走り回っていることに加え、四六時中おしゃべりをしています。それを頼りに探し出して、見つけたら……ポコッです！			ランニングウェイは、落ち着きなく走り回っていることに加え、四六時中おしゃべりをしています。それを頼りに探し出して、見つけたら……ポコッです！			想い想われ、すれ違い							
……まあ、走って追いかけるよりはマシね。ランニングウェイは、この区画で仕事中だそうよ。ボールを持って、それぞれ探してきましょう。			……まあ、走って追いかけるよりはマシね。ランニングウェイは、この区画で仕事中だそうよ。ボールを持って、それぞれ探してきましょう。			想い想われ、すれ違い							
ランニングウェイの捜索を開始します。落ち着きがなく、よくしゃべるレポリットを探し、左クリック[???]ボタン/[???]ボタンでボールを投げましょう！			ランニングウェイの捜索を開始します。落ち着きがなく、よくしゃべるレポリットを探し、左クリック[???]ボタン/[???]ボタンでボールを投げましょう！			想い想われ、すれ違い							
んんー？確かにオレっちがランニングウェイだが、ボールぶつけてまで止めるとか、ナニゴトだよ？			んんー？確かにオレっちがランニングウェイだが、ボールぶつけてまで止めるとか、ナニゴトだよ？			想い想われ、すれ違い							
……へ？オレっちが、終末のことにすげー詳しいはずだって？			……へ？オレっちが、終末のことにすげー詳しいはずだって？			想い想われ、すれ違い							
アハハハハハッ！誰だよ、ンなすっとぼけたこと言ったの！			アハハハハハッ！誰だよ、ンなすっとぼけたこと言ったの！			想い想われ、すれ違い							
オレたちの役目は、終末が再来したときに、アーテリスの命を逃がせるようにすることだ。終末自体の研究じゃねー。			オレたちの役目は、終末が再来したときに、アーテリスの命を逃がせるようにすることだ。終末自体の研究じゃねー。			想い想われ、すれ違い							
もちろん、ハイデリン様からある程度の知識はもらってるが、そりゃレポリットなら全員が知ってることだ！			もちろん、ハイデリン様からある程度の知識はもらってるが、そりゃレポリットなら全員が知ってることだ！			想い想われ、すれ違い							
オレっちだけ詳しいなんて、ないない！まったく、なんでそんなデタラメが飛び出てきたやらだぜ。			オレっちだけ詳しいなんて、ないない！まったく、なんでそんなデタラメが飛び出てきたやらだぜ。			想い想われ、すれ違い							
んじゃ、話がそれだけなら、オレっちは行くからな。ヒトが来る前に、やれることをやっとかねーと！			んじゃ、話がそれだけなら、オレっちは行くからな。ヒトが来る前に、やれることをやっとかねーと！			想い想われ、すれ違い							
それ、びゅんびゅーん！			それ、びゅんびゅーん！			想い想われ、すれ違い							
首尾はどうだ？俺は入口近くを見てきたんだが、それらしき奴は発見できなかった。			首尾はどうだ？俺は入口近くを見てきたんだが、それらしき奴は発見できなかった。			想い想われ、すれ違い							
まま、ま、まさか、ランニングウェイを捕まえるのに成功した……なんてことはない……ですよ……ね……？			まま、ま、まさか、ランニングウェイを捕まえるのに成功した……なんてことはない……ですよ……ね……？			想い想われ、すれ違い							
残念だけど、こちらは空振りだったわ。……あなたの方は？			残念だけど、こちらは空振りだったわ。……あなたの方は？			想い想われ、すれ違い							
ランニングウェイは、終末に詳しいわけではなかったの……？			ランニングウェイは、終末に詳しいわけではなかったの……？			想い想われ、すれ違い							
これはどういうことかしら、グローウィングウェイ。			これはどういうことかしら、グローウィングウェイ。			想い想われ、すれ違い							
ひぃぃぃ……！いや、その、これは、あの、あうぅ……。			ひぃぃぃ……！いや、その、これは、あの、あうぅ……。			想い想われ、すれ違い							
き、記憶違い！　記憶違いだったみたいです！いやぁ、まったく面目ない……！			き、記憶違い！　記憶違いだったみたいです！いやぁ、まったく面目ない……！			想い想われ、すれ違い							
ええとー、終末に詳しいのは誰だったかなぁー？うーんうーん、思い出せそうで思い出せないなぁー！			ええとー、終末に詳しいのは誰だったかなぁー？うーんうーん、思い出せそうで思い出せないなぁー！			想い想われ、すれ違い							
ところで、ウリエンジェはどこに行ったんだ？一緒には戻ってこなかったんだろう？			ところで、ウリエンジェはどこに行ったんだ？一緒には戻ってこなかったんだろう？			想い想われ、すれ違い							
……ほう。リヴィングウェイたちに連れられて、荷運びをしに、監視者の館へか……。			……ほう。リヴィングウェイたちに連れられて、荷運びをしに、監視者の館へか……。			想い想われ、すれ違い							
だったら、グローウィングウェイが大事なことを思い出すまで、俺たちも荷運びの手伝いをしにいくか。			だったら、グローウィングウェイが大事なことを思い出すまで、俺たちも荷運びの手伝いをしにいくか。			想い想われ、すれ違い							
ひょわっ！？そ、それはダメ、ダメですよう！皆様には、ここにいていただかないと……！			ひょわっ！？そ、それはダメ、ダメですよう！皆様には、ここにいていただかないと……！			想い想われ、すれ違い							
あ、あーあーッ！そうですそうです、思い出しました！			あ、あーあーッ！そうですそうです、思い出しました！			想い想われ、すれ違い							
終末についての極秘情報モリモリな資料が、資料保管庫の……どこかに入れてあったはずです！次は、それを探しに行ってみましょう！			終末についての極秘情報モリモリな資料が、資料保管庫の……どこかに入れてあったはずです！次は、それを探しに行ってみましょう！			想い想われ、すれ違い							
グレーテスト・エンズヴィルのサンクレッドは、何かに気づいたようだ。			グレーテスト・エンズヴィルのサンクレッドは、何かに気づいたようだ。			薄情なヒト							
サンクレッドから、ウリエンジェを追うことを勧められた。ベストウェイ・バローのエーテライト付近にある「指定地点」で見渡そう。			サンクレッドから、ウリエンジェを追うことを勧められた。ベストウェイ・バローのエーテライト付近にある「指定地点」で見渡そう。			薄情なヒト							
ウリエンジェが出入口の方に向かうのを見かけた。ベストウェイ・バローを出たところにある「指定地点」で見渡そう。			ウリエンジェが出入口の方に向かうのを見かけた。ベストウェイ・バローを出たところにある「指定地点」で見渡そう。			薄情なヒト							
遠ざかっていくウリエンジェを追いかけることにした。ウリエンジェに気づかれないように尾行しよう。※尾行状態が解除された場合、再度「指定地点」にアクセスすることで尾行に再挑戦できます。			遠ざかっていくウリエンジェを追いかけることにした。ウリエンジェに気づかれないように尾行しよう。※尾行状態が解除された場合、再度「指定地点」にアクセスすることで尾行に再挑戦できます。			薄情なヒト							
ウリエンジェに追いつき、彼の想いを知った。嘆きの海 北の「ウリエンジェ」と話そう。			ウリエンジェに追いつき、彼の想いを知った。嘆きの海 北の「ウリエンジェ」と話そう。			薄情なヒト							
ウリエンジェから、力を貸してほしいと頼まれた。彼の決意に応え、終末の前に為すべきことを為そう。			ウリエンジェから、力を貸してほしいと頼まれた。彼の決意に応え、終末の前に為すべきことを為そう。			薄情なヒト							
指定地点で見渡す			指定地点で見渡す			薄情なヒト							
ウリエンジェを尾行			ウリエンジェを尾行			薄情なヒト							
ウリエンジェと話す			ウリエンジェと話す			薄情なヒト							
まったく、「馬鹿で幸福な奴」とはよく言ったものね。			まったく、「馬鹿で幸福な奴」とはよく言ったものね。			薄情なヒト							
なあ、Forename……ウリエンジェの奴、少し様子がおかしくなかったか？お前もなんだか、気にかけてるようじゃないか。			なあ、Forename……ウリエンジェの奴、少し様子がおかしくなかったか？お前もなんだか、気にかけてるようじゃないか。			薄情なヒト							
思うところがあるなら、話をしてくるといい。今ならまだ、追いつけるはずだ。			思うところがあるなら、話をしてくるといい。今ならまだ、追いつけるはずだ。			薄情なヒト							
なに、事情はあとで聞くさ。俺たちは引き続きベストウェイ・バローを回って、終末に関する情報がないか、探ってみるとしよう。			なに、事情はあとで聞くさ。俺たちは引き続きベストウェイ・バローを回って、終末に関する情報がないか、探ってみるとしよう。			薄情なヒト							
ウリエンジェは、エントランスホールの方に行った。幸いあそこは開けてる、急げば姿を見つけられるだろう。			ウリエンジェは、エントランスホールの方に行った。幸いあそこは開けてる、急げば姿を見つけられるだろう。			薄情なヒト							
……あいつのことを頼んだぞ、Forename。			……あいつのことを頼んだぞ、Forename。			薄情なヒト							
彼は隠しごとが下手になったのかしら。それとも、私たちがやっと、彼を解ってきたのかしら。			彼は隠しごとが下手になったのかしら。それとも、私たちがやっと、彼を解ってきたのかしら。			薄情なヒト							
いずれにせよ、悪いことではないでしょう？こちらのことはいいから、行ってあげなさいな。			いずれにせよ、悪いことではないでしょう？こちらのことはいいから、行ってあげなさいな。			薄情なヒト							
ウリエンジェは、ベストウェイ・バローの出入口の方へ、向かったようだ……。			ウリエンジェは、ベストウェイ・バローの出入口の方へ、向かったようだ……。			薄情なヒト							
ウリエンジェは、ベストウェイ・バローから遠ざかっていく。ひとまず、気づかれないように追いかけてみよう……。			ウリエンジェは、ベストウェイ・バローから遠ざかっていく。ひとまず、気づかれないように追いかけてみよう……。			薄情なヒト							
ウリエンジェの「尾行」に再挑戦しますか？			ウリエンジェの「尾行」に再挑戦しますか？			薄情なヒト							
実は、ひとりでここへ来たのも、人とレポリット……両者の未来のために、ひとつ策を施してみようと考えたからなのです。			実は、ひとりでここへ来たのも、人とレポリット……両者の未来のために、ひとつ策を施してみようと考えたからなのです。			薄情なヒト							
ただ、これで成果を出せるという確証はございません……。己だけで進めようとしていたのも、自信なきゆえのこと……。			ただ、これで成果を出せるという確証はございません……。己だけで進めようとしていたのも、自信なきゆえのこと……。			薄情なヒト							
しかし……どんな意図だったにせよ、あなたが追ってきてくださった。私の言葉を聞き、あなたの言葉を返してくださった。			しかし……どんな意図だったにせよ、あなたが追ってきてくださった。私の言葉を聞き、あなたの言葉を返してくださった。			薄情なヒト							
それによって生じた勇気で……願います。……よければ私に、力を貸してはいただけませんか？			それによって生じた勇気で……願います。……よければ私に、力を貸してはいただけませんか？			薄情なヒト							
グレーテスト・エンズヴィルのグローウィングウェイは、落ち着かない様子だ。			グレーテスト・エンズヴィルのグローウィングウェイは、落ち着かない様子だ。			青き星の君たちへ							
グローウィングウェイから、資料保管庫に行くことを提案された。ベストウェイ・バローのエントランス上層にいる「グローウィングウェイ」と話そう。			グローウィングウェイから、資料保管庫に行くことを提案された。ベストウェイ・バローのエントランス上層にいる「グローウィングウェイ」と話そう。			青き星の君たちへ							
グローウィングウェイから、アーテリスに帰すわけにはいかないと言われた。ベストウェイ・バローのエントランス上層で、武装したレポリットたちを倒そう。			グローウィングウェイから、アーテリスに帰すわけにはいかないと言われた。ベストウェイ・バローのエントランス上層で、武装したレポリットたちを倒そう。			青き星の君たちへ							
レポリットたちを気絶させた。ベストウェイ・バローの出口にいる「ヤ・シュトラ」と話そう。			レポリットたちを気絶させた。ベストウェイ・バローの出口にいる「ヤ・シュトラ」と話そう。			青き星の君たちへ							
ヤ・シュトラたちとともにウリエンジェに追いついた。嘆きの海の涙の入江にいる「ウリエンジェ」と話そう。			ヤ・シュトラたちとともにウリエンジェに追いついた。嘆きの海の涙の入江にいる「ウリエンジェ」と話そう。			青き星の君たちへ							
ウリエンジェの決意を聞き届けた。彼は月に残り、レポリットたちと相互理解を深めながら、いざというときに備えるようだ。退路を彼に任せ、終末への対策を進めていこう！			ウリエンジェの決意を聞き届けた。彼は月に残り、レポリットたちと相互理解を深めながら、いざというときに備えるようだ。退路を彼に任せ、終末への対策を進めていこう！			青き星の君たちへ							
グローウィングウェイと話す			グローウィングウェイと話す			青き星の君たちへ							
レポリットたちを倒す			レポリットたちを倒す			青き星の君たちへ							
ヤ・シュトラと話す			ヤ・シュトラと話す			青き星の君たちへ							
ウリエンジェと話す			ウリエンジェと話す			青き星の君たちへ							
ウリエンジェの奴、まさか何の疑いもなしに、荷運びを手伝いに行ったんじゃないだろうな……。			ウリエンジェの奴、まさか何の疑いもなしに、荷運びを手伝いに行ったんじゃないだろうな……。			青き星の君たちへ							
…………いや、ウリエンジェならやりかねないか。			…………いや、ウリエンジェならやりかねないか。			青き星の君たちへ							
身に覚えのない呼び出しのことといい、おかしな流れになってきたわね……。			身に覚えのない呼び出しのことといい、おかしな流れになってきたわね……。			青き星の君たちへ							
Forenameさん……私は……リヴィングウェイたちと約束を……だけど……うぅ……。			Forenameさん……私は……リヴィングウェイたちと約束を……だけど……うぅ……。			青き星の君たちへ							
な、なんでもありませんよう！それじゃあ一緒に、資料保管庫へ参りましょう！			な、なんでもありませんよう！それじゃあ一緒に、資料保管庫へ参りましょう！			青き星の君たちへ							
一度エントランスに出て上層にのぼり、北東側にある扉の前までお越しくださいねっ！			一度エントランスに出て上層にのぼり、北東側にある扉の前までお越しくださいねっ！			青き星の君たちへ							
あからさまに怪しいけれど……終末の情報を得られる可能性があるならば、付き合わないわけにもいかないわね……。			あからさまに怪しいけれど……終末の情報を得られる可能性があるならば、付き合わないわけにもいかないわね……。			青き星の君たちへ							
ここはどうも、綺麗に対称な造りをしすぎていて、方向がわからなくなりやすいな。			ここはどうも、綺麗に対称な造りをしすぎていて、方向がわからなくなりやすいな。			青き星の君たちへ							
いざってときのために、出入口だけは見失わないようにしておけよ。……まあ、杞憂ならそれに越したことはないがな。			いざってときのために、出入口だけは見失わないようにしておけよ。……まあ、杞憂ならそれに越したことはないがな。			青き星の君たちへ							
この扉の先が、資料保管庫なのかしら。これだけしっかり閉じられていると、少し期待を持ってしまうわ。			この扉の先が、資料保管庫なのかしら。これだけしっかり閉じられていると、少し期待を持ってしまうわ。			青き星の君たちへ							
この大きな扉の先が、資料保管庫なのですが……どうやら、鍵がかかっているみたいですね。			この大きな扉の先が、資料保管庫なのですが……どうやら、鍵がかかっているみたいですね。			青き星の君たちへ							
うーん、困ったなぁ！これじゃあ中に入れないなぁ！鍵を持っているレポリットを探さないとなぁ～！			うーん、困ったなぁ！これじゃあ中に入れないなぁ！鍵を持っているレポリットを探さないとなぁ～！			青き星の君たちへ							
グローウィングウェイ……いい加減に、茶番はよしてもらえるかしら。			グローウィングウェイ……いい加減に、茶番はよしてもらえるかしら。			青き星の君たちへ							
終末についての情報がないなら、ないと言って頂戴。いたずらに引き留められては、災厄に対処する時間が削られていくだけよ。			終末についての情報がないなら、ないと言って頂戴。いたずらに引き留められては、災厄に対処する時間が削られていくだけよ。			青き星の君たちへ							
アーモロートで見たような悲劇が、間もなく必ず地上を襲う。今のうちに動き出さなければと教えてくれたのは、ほかでもない、あなたたちでしょう？			アーモロートで見たような悲劇が、間もなく必ず地上を襲う。今のうちに動き出さなければと教えてくれたのは、ほかでもない、あなたたちでしょう？			青き星の君たちへ							
ええ……それは、もちろんです……。			ええ……それは、もちろんです……。			青き星の君たちへ							
だから私たちは、急いでヒトをお連れしなければならない……そのために、月は「理想的な場所」でなくては……。			だから私たちは、急いでヒトをお連れしなければならない……そのために、月は「理想的な場所」でなくては……。			青き星の君たちへ							
なのに、あなたたちは至らぬ点を知ってしまった。かくなる上は、協力してくれる見込みのある方以外、ここに引き留めるしかないと……。			なのに、あなたたちは至らぬ点を知ってしまった。かくなる上は、協力してくれる見込みのある方以外、ここに引き留めるしかないと……。			青き星の君たちへ							
なるほど、お前はリヴィングウェイたちから、俺たちを引き留める役目を任されたってわけか。			なるほど、お前はリヴィングウェイたちから、俺たちを引き留める役目を任されたってわけか。			青き星の君たちへ							
そして、その「見込みのある方」が……ウリエンジェだな？			そして、その「見込みのある方」が……ウリエンジェだな？			青き星の君たちへ							
はい……そのとおりです……。			はい……そのとおりです……。			青き星の君たちへ							
いささか性急すぎる判断ではないかしら。私たちだって、船としての月を否定しているわけではないわ。			いささか性急すぎる判断ではないかしら。私たちだって、船としての月を否定しているわけではないわ。			青き星の君たちへ							
個人的な感情で言えば、逃げずに抗えるならばそうしたい。鏡像世界を見捨てるのもごめんよ。			個人的な感情で言えば、逃げずに抗えるならばそうしたい。鏡像世界を見捨てるのもごめんよ。			青き星の君たちへ							
だからといって、逃げるという選択肢を潰すつもりも、月を悪いところだと吹聴するつもりもないわ。			だからといって、逃げるという選択肢を潰すつもりも、月を悪いところだと吹聴するつもりもないわ。			青き星の君たちへ							
それでも……ッ！			それでも……ッ！			青き星の君たちへ							
ちょっとの不安でも、ダメなんです……！			ちょっとの不安でも、ダメなんです……！			青き星の君たちへ							
失敗するわけにはいかないから……Forenameさんと散歩したみたいに、ヒトと、いたいから……！			失敗するわけにはいかないから……Forenameさんと散歩したみたいに、ヒトと、いたいから……！			青き星の君たちへ							
皆様を、アーテリスに帰すわけにはいきませんッ！			皆様を、アーテリスに帰すわけにはいきませんッ！			青き星の君たちへ							
じ、じじ、実力行使です……！おお、お、おとなしく、捕まってください……ッ！			じ、じじ、実力行使です……！おお、お、おとなしく、捕まってください……ッ！			青き星の君たちへ							
わ、私も武器を持ってきます。それまで、どうか……だけどあまり酷くは……！			わ、私も武器を持ってきます。それまで、どうか……だけどあまり酷くは……！			青き星の君たちへ							
倒せない相手じゃないはずだが、大勢で囲まれたら厄介だ。散開して、追手を気絶させながら、各々出口を目指すぞ……！			倒せない相手じゃないはずだが、大勢で囲まれたら厄介だ。散開して、追手を気絶させながら、各々出口を目指すぞ……！			青き星の君たちへ							
了解よ、アルゴスのあたりで落ちあいましょう。			了解よ、アルゴスのあたりで落ちあいましょう。			青き星の君たちへ							
さらにレポリットが集まってきた！！			さらにレポリットが集まってきた！！			青き星の君たちへ							
グローウィングウェイが現れた！！			グローウィングウェイが現れた！！			青き星の君たちへ							
捕まえるんだ！			捕まえるんだ！			青き星の君たちへ							
逃がさない！			逃がさない！			青き星の君たちへ							
や、やるぞぅ！			や、やるぞぅ！			青き星の君たちへ							
イテテテ…			イテテテ…			青き星の君たちへ							
誰か交代してぇ…			誰か交代してぇ…			青き星の君たちへ							
きゅぅ～			きゅぅ～			青き星の君たちへ							
まだまだ！			まだまだ！			青き星の君たちへ							
びゅんびゅーん！助太刀だぜ！			びゅんびゅーん！助太刀だぜ！			青き星の君たちへ							
負けるわけには！			負けるわけには！			青き星の君たちへ							
強すぎるぅ…			強すぎるぅ…			青き星の君たちへ							
ほぐぁーッ！？			ほぐぁーッ！？			青き星の君たちへ							
止められない…！			止められない…！			青き星の君たちへ							
お、お願いです…捕まってください！			お、お願いです…捕まってください！			青き星の君たちへ							
また…散歩を…			また…散歩を…			青き星の君たちへ							
よし、そっちもうまく撒けたみたいだな……！			よし、そっちもうまく撒けたみたいだな……！			青き星の君たちへ							
ひとまず無事なようね……！			ひとまず無事なようね……！			青き星の君たちへ							
今のうちにアルゴスに乗って、監視者の館へ……ウリエンジェに合流するわよ！			今のうちにアルゴスに乗って、監視者の館へ……ウリエンジェに合流するわよ！			青き星の君たちへ							
名前とは、そう在りたい、そう在ってほしいという願い……か。まったく…………。			名前とは、そう在りたい、そう在ってほしいという願い……か。まったく…………。			青き星の君たちへ							
ウリエンジェに考えを読まれてた上に、お膳立てまでされる日が来るなんて、信じられないな。			ウリエンジェに考えを読まれてた上に、お膳立てまでされる日が来るなんて、信じられないな。			青き星の君たちへ							
だが、せっかくの機会だ。俺は全力で、リーンたちの未来も護ってみせる。			だが、せっかくの機会だ。俺は全力で、リーンたちの未来も護ってみせる。			青き星の君たちへ							
レポリットたちは、月に乗せて救う以外に、ヒトへの想いを表す方法を知らなかった……。			レポリットたちは、月に乗せて救う以外に、ヒトへの想いを表す方法を知らなかった……。			青き星の君たちへ							
一方で私たちも、問うことに必死になって、自分たちの想いや考えを伝えることが不十分だった。			一方で私たちも、問うことに必死になって、自分たちの想いや考えを伝えることが不十分だった。			青き星の君たちへ							
だからまず、「伝えることと知ること」から始めてみる……それが今あるよりも良い選択肢を創ってくれると、私も信じたいと思うわ。			だからまず、「伝えることと知ること」から始めてみる……それが今あるよりも良い選択肢を創ってくれると、私も信じたいと思うわ。			青き星の君たちへ							
ゾディアークのいなくなった大穴を眺めていたら、貴殿らが次々に渡ってきたものだから、つられて出てきてしまったんだ。			ゾディアークのいなくなった大穴を眺めていたら、貴殿らが次々に渡ってきたものだから、つられて出てきてしまったんだ。			青き星の君たちへ							
おかげで、懐かしいものが見られた。……といっても、これは私の記憶ではなく、私のオリジナルが持っていた知識だが。			おかげで、懐かしいものが見られた。……といっても、これは私の記憶ではなく、私のオリジナルが持っていた知識だが。			青き星の君たちへ							
