不滅隊：作戦本部のダンシング・ウルフ大闘士は、現状に焦れているようだ。			不滅隊：作戦本部のダンシング・ウルフ大闘士は、現状に焦れているようだ。			残留する力をその身に							
召喚獣は、召喚士の命の源であるエーテルを別けて作られる、いわば、一種の魔法生命体……。			召喚獣は、召喚士の命の源であるエーテルを別けて作られる、いわば、一種の魔法生命体……。			残留する力をその身に							
人の命は、かぎりあるものよ。つまり、あなたの命から形作ることができる「エギ」にも、上限があったということ……それが、召喚失敗の原因……。			人の命は、かぎりあるものよ。つまり、あなたの命から形作ることができる「エギ」にも、上限があったということ……それが、召喚失敗の原因……。			残留する力をその身に							
でも、手がないわけじゃないわ。古代アラグ文明に生きた召喚士たちは、その制約に対する回答も導きだしていたのよ。			でも、手がないわけじゃないわ。古代アラグ文明に生きた召喚士たちは、その制約に対する回答も導きだしていたのよ。			残留する力をその身に							
高位の召喚士は、エーテルを「エギ」として分割せず、己の体内で燃焼させ、自分自身に蛮神の力を宿す、「トランス」という秘法を編み出していたというの！			高位の召喚士は、エーテルを「エギ」として分割せず、己の体内で燃焼させ、自分自身に蛮神の力を宿す、「トランス」という秘法を編み出していたというの！			残留する力をその身に							
私たちも、この「トランス」を試してみましょう！ただ、相手はアシエン……生半可な蛮神では力不足よ。……史上最大の蛮神「バハムート」ほどの力でなくては。			私たちも、この「トランス」を試してみましょう！ただ、相手はアシエン……生半可な蛮神では力不足よ。……史上最大の蛮神「バハムート」ほどの力でなくては。			残留する力をその身に							
あなたは「カルテノーの戦い」にも参加していた……。そう、第七霊災のあの日、消え去ったバハムートのエーテルを、身に浴びていたはずよ！			あなたは「カルテノーの戦い」にも参加していた……。そう、第七霊災のあの日、消え去ったバハムートのエーテルを、身に浴びていたはずよ！			残留する力をその身に							
第七霊災で消失したバハムートは、その強大なエーテルを、エオルゼア全土に霧散させたと考えられるわ……。そう、あなたも、バハムートのエーテルを浴びているはずよ！			第七霊災で消失したバハムートは、その強大なエーテルを、エオルゼア全土に霧散させたと考えられるわ……。そう、あなたも、バハムートのエーテルを浴びているはずよ！			残留する力をその身に							
あとは、バハムートの性質を強く宿す土地があれば……。その件で、「ダンシング・ウルフ大闘士」に相談があるの。さっそく「ウルダハ」に向かいましょう！			あとは、バハムートの性質を強く宿す土地があれば……。その件で、「ダンシング・ウルフ大闘士」に相談があるの。さっそく「ウルダハ」に向かいましょう！			残留する力をその身に							
アシエンを打倒する力「トランス」を修得するためには、ダンシング・ウルフ大闘士の協力が必要よ。「ウルダハ」に向かいましょう。			アシエンを打倒する力「トランス」を修得するためには、ダンシング・ウルフ大闘士の協力が必要よ。「ウルダハ」に向かいましょう。			残留する力をその身に							
バハムートのエーテルを宿す地に、なんとか侵入できそうよ。			バハムートのエーテルを宿す地に、なんとか侵入できそうよ。			残留する力をその身に							
やれやれ、この嬢ちゃんは、とんでもないことを思いつくもんだ。いきなり、バハムートのエーテルが濃く残る土地……すなわち「カルテノー平原」に入れさせろ、ときた！			やれやれ、この嬢ちゃんは、とんでもないことを思いつくもんだ。いきなり、バハムートのエーテルが濃く残る土地……すなわち「カルテノー平原」に入れさせろ、ときた！			残留する力をその身に							
あそこは、三国それぞれの利権が複雑に絡みあう法外戦区。一応、上に確認したが、内部に入る許可までは出なかった。不滅隊のランディングへの駐在許可だけは降りたがな。			あそこは、三国それぞれの利権が複雑に絡みあう法外戦区。一応、上に確認したが、内部に入る許可までは出なかった。不滅隊のランディングへの駐在許可だけは降りたがな。			残留する力をその身に							
……こうなりゃ、夜闇に紛れて潜入するしかない。準備ができたら、「ウルダハ・ランディング」へ来てくれ。「特務隊の飛空兵」が待機しているはずだ。			……こうなりゃ、夜闇に紛れて潜入するしかない。準備ができたら、「ウルダハ・ランディング」へ来てくれ。「特務隊の飛空兵」が待機しているはずだ。			残留する力をその身に							
「トランス」を修得できれば、大きな力になるわ。「特務隊の飛空兵」に話しかけて、カルテノー平原まで運んでもらいましょう。			「トランス」を修得できれば、大きな力になるわ。「特務隊の飛空兵」に話しかけて、カルテノー平原まで運んでもらいましょう。			残留する力をその身に							
平原に忍び込んで、バレたらクビ間違いなしだな……。いや、俺の元部下を利用してくれたアシエンどもに、報復してやるためだ……！			平原に忍び込んで、バレたらクビ間違いなしだな……。いや、俺の元部下を利用してくれたアシエンどもに、報復してやるためだ……！			残留する力をその身に							
飛空艇の出港許可は出ていますが、立ち入りが許されるのは、あくまでも不滅隊のランディング内のみです。決して、その外には出ないようお願いしますよ……。			飛空艇の出港許可は出ていますが、立ち入りが許されるのは、あくまでも不滅隊のランディング内のみです。決して、その外には出ないようお願いしますよ……。			残留する力をその身に							
ここがカルテノー平原……！なんて歪なエーテルなのかしら……。			ここがカルテノー平原……！なんて歪なエーテルなのかしら……。			残留する力をその身に							
Forename、さっさと終わらせましょう。バハムートの力を身に宿すイメージで……深く、瞑想するの……。			Forename、さっさと終わらせましょう。バハムートの力を身に宿すイメージで……深く、瞑想するの……。			残留する力をその身に							
そんな、どうして何も起きないの？あまり時間もないというのに……。			そんな、どうして何も起きないの？あまり時間もないというのに……。			残留する力をその身に							
(-？？？？-)まさか、バハムートの力を身に降ろそうとするとは……。それは貴様らには、過ぎた力だ……！			(-？？？？-)まさか、バハムートの力を身に降ろそうとするとは……。それは貴様らには、過ぎた力だ……！			残留する力をその身に							
混沌を呼ぶ力は必要だが、光の戦士の輝きが、これ以上増すのは看過できん……。この十二杯のアシエンが、葬り去ってくれよう！			混沌を呼ぶ力は必要だが、光の戦士の輝きが、これ以上増すのは看過できん……。この十二杯のアシエンが、葬り去ってくれよう！			残留する力をその身に							
チッ……まさか戦いの中で「トランス」に目覚めるとは！			チッ……まさか戦いの中で「トランス」に目覚めるとは！			残留する力をその身に							
……ここで戦い続けるのは、分が悪い……か。光の戦士よ……いずれ、決着をつけさせてもらうぞ！			……ここで戦い続けるのは、分が悪い……か。光の戦士よ……いずれ、決着をつけさせてもらうぞ！			残留する力をその身に							
ど、どうにか、退けることができたようね……。あなたの新たなる力のおかげよ。			ど、どうにか、退けることができたようね……。あなたの新たなる力のおかげよ。			残留する力をその身に							
第七霊災を引き起こした災いの龍神、バハムート。その力を、我が物としたのよ、Forename！			第七霊災を引き起こした災いの龍神、バハムート。その力を、我が物としたのよ、Forename！			残留する力をその身に							
無事、目的を達成できたわけだな。だが、ゆっくり喜んでいる時間はないぞ。もうすぐ夜明けだ、急いでランディングに戻ろう。			無事、目的を達成できたわけだな。だが、ゆっくり喜んでいる時間はないぞ。もうすぐ夜明けだ、急いでランディングに戻ろう。			残留する力をその身に							
なんとか、無事に帰ってこれたわね……。「ダンシング・ウルフ大闘士」は、「不滅隊：作戦本部」に戻っているはずよ。			なんとか、無事に帰ってこれたわね……。「ダンシング・ウルフ大闘士」は、「不滅隊：作戦本部」に戻っているはずよ。			残留する力をその身に							
なんとか、無事に帰ってこれたわね……。「ダンシング・ウルフ大闘士」は、先に「不滅隊：作戦本部」に戻っているはずよ。			なんとか、無事に帰ってこれたわね……。「ダンシング・ウルフ大闘士」は、先に「不滅隊：作戦本部」に戻っているはずよ。			残留する力をその身に							
まさか、アシエンが現れるなんてね……。もし、敵が私たちを監視しているのだとしたら……。			まさか、アシエンが現れるなんてね……。もし、敵が私たちを監視しているのだとしたら……。			残留する力をその身に							
……まずは、無事に生還できたことを喜ぼう。アシエンを撃退することにも成功したしな。			……まずは、無事に生還できたことを喜ぼう。アシエンを撃退することにも成功したしな。			残留する力をその身に							
あのアシエンにも「トランス」は有効だったわ。これは、大きな収穫と言えるでしょう！			あのアシエンにも「トランス」は有効だったわ。これは、大きな収穫と言えるでしょう！			残留する力をその身に							
うむ……だが、敵は撤退してしまった……！また、いずれ戦うことになるだろうな。			うむ……だが、敵は撤退してしまった……！また、いずれ戦うことになるだろうな。			残留する力をその身に							
ええ、そして、その日は遠くないはずよ……。今度こそ、アシエンを完全に消滅させるため、こちらも万全の備えをしておきましょう……！			ええ、そして、その日は遠くないはずよ……。今度こそ、アシエンを完全に消滅させるため、こちらも万全の備えをしておきましょう……！			残留する力をその身に							
お前にバハムートの力は渡さん……ここで死ね！			お前にバハムートの力は渡さん……ここで死ね！			残留する力をその身に							
なんてこった！まだ、準備ができちゃいないってのに！			なんてこった！まだ、準備ができちゃいないってのに！			残留する力をその身に							
戦いの中で「トランス」に覚醒するしかないわ！感覚を鋭くして、バハムートのエーテルを感じ取るのよ！			戦いの中で「トランス」に覚醒するしかないわ！感覚を鋭くして、バハムートのエーテルを感じ取るのよ！			残留する力をその身に							
まずは、こいつからだ……。焔神「イフリート」よ、貴様の獄炎で奴らを喰らえ！			まずは、こいつからだ……。焔神「イフリート」よ、貴様の獄炎で奴らを喰らえ！			残留する力をその身に							
Forename、感覚を研ぎ澄ませて！バハムートの「残留エーテル」が、どこかに感じられるはず！			Forename、感覚を研ぎ澄ませて！バハムートの「残留エーテル」が、どこかに感じられるはず！			残留する力をその身に							
色濃い「残留エーテル」を感じたら、そこで「瞑想」して、強くバハムートの姿をイメージするのよ！			色濃い「残留エーテル」を感じたら、そこで「瞑想」して、強くバハムートの姿をイメージするのよ！			残留する力をその身に							
ほう……ならば、すべてを切り裂く風の刃はどうかな……？いでよ、嵐神「ガルーダ」……！			ほう……ならば、すべてを切り裂く風の刃はどうかな……？いでよ、嵐神「ガルーダ」……！			残留する力をその身に							
クソッ！　また召喚しやがったか！これじゃあキリがないぞ！			クソッ！　また召喚しやがったか！これじゃあキリがないぞ！			残留する力をその身に							
Forename、イメージするの！龍神「バハムート」のような速さと翼を！！			Forename、イメージするの！龍神「バハムート」のような速さと翼を！！			残留する力をその身に							
さすがは光の戦士だ……しかし、いつまでもつかな？雄健たる岩神「タイタン」、我が呼び声に応えよ！			さすがは光の戦士だ……しかし、いつまでもつかな？雄健たる岩神「タイタン」、我が呼び声に応えよ！			残留する力をその身に							
ま、まだなのか、Forename！このままだとジリ貧だぞ！？			ま、まだなのか、Forename！このままだとジリ貧だぞ！？			残留する力をその身に							
その調子よ、Forename！ 研ぎ澄まされた感覚で、「残留エーテル」を感じ取って！			その調子よ、Forename！ 研ぎ澄まされた感覚で、「残留エーテル」を感じ取って！			残留する力をその身に							
貴様らの抵抗も見飽きたな……！光の戦士殿には、それ相応のもてなしが必要のようだ！			貴様らの抵抗も見飽きたな……！光の戦士殿には、それ相応のもてなしが必要のようだ！			残留する力をその身に							
倒したはずの「エギ」が……！くっ、それでもForenameなら、きっと……！			倒したはずの「エギ」が……！くっ、それでもForenameなら、きっと……！			残留する力をその身に							
3体同時とは……！これは、万事休すか……。			3体同時とは……！これは、万事休すか……。			残留する力をその身に							
「残留エーテル」を探して！「トランス」を修得しないかぎり、アシエンは倒せないわ！			「残留エーテル」を探して！「トランス」を修得しないかぎり、アシエンは倒せないわ！			残留する力をその身に							
な、何が起こったんだ！？			な、何が起こったんだ！？			残留する力をその身に							
この波動は……！まさか、「トランス」に成功したというのか！？			この波動は……！まさか、「トランス」に成功したというのか！？			残留する力をその身に							
これが「トランス」の力……。Forename、敵の「エギ」をなぎ払って！			これが「トランス」の力……。Forename、敵の「エギ」をなぎ払って！			残留する力をその身に							
すまん……持ちこたえられなかった……！			すまん……持ちこたえられなかった……！			残留する力をその身に							
Forename……「トランス」を……！あなたなら、できるわ……！			Forename……「トランス」を……！あなたなら、できるわ……！			残留する力をその身に							
レヴナンツトールのウィルトウェークは、相棒からの通信を待っているようだ。このクエストのコンプリートに必要な納品物を製作するためには、「錬成秘伝書:第3巻」の修得が必要です。			レヴナンツトールのウィルトウェークは、相棒からの通信を待っているようだ。このクエストのコンプリートに必要な納品物を製作するためには、「錬成秘伝書:第3巻」の修得が必要です。			ココロカヨワヌモノ							
失踪者が発見されたとの急報が入った。モードゥナの崩壊したキャンプで、現地の「チャネネ」と合流しよう。			失踪者が発見されたとの急報が入った。モードゥナの崩壊したキャンプで、現地の「チャネネ」と合流しよう。			ココロカヨワヌモノ							
失踪者は、以前捕縛した「近東風の若者」と同じ自失状態で発見された。さらに「失踪者と瓜ふたつの別の男性の遺体」が発見され、事態は混迷の度合いを深める。解決の手がかりを得るため、高地ドラヴァニアのテイルフェザーで「失踪者の妹」に「失踪者の日記」を見せよう。			失踪者は、以前捕縛した「近東風の若者」と同じ自失状態で発見された。さらに「失踪者と瓜ふたつの別の男性の遺体」が発見され、事態は混迷の度合いを深める。解決の手がかりを得るため、高地ドラヴァニアのテイルフェザーで「失踪者の妹」に「失踪者の日記」を見せよう。			ココロカヨワヌモノ							
失踪者の妹は、兄とそっくりの男性に心あたりはないという。レヴナンツトールの「ウィルトウェーク」に報告し、「失踪者の日記」を返却しよう。			失踪者の妹は、兄とそっくりの男性に心あたりはないという。レヴナンツトールの「ウィルトウェーク」に報告し、「失踪者の日記」を返却しよう。			ココロカヨワヌモノ							
ウィルトウェークに報告した。事件の謎に迫るには、犯罪集団の一員とみられる、ララフェル族のならず者を自白に追い込むしかなさそうだ。犯行の有力な証拠となる錬金薬「剛力の竜薬」を製作し、レヴナンツトールの「チャネネ」に納品しよう。「剛力の竜薬」を製作するためには、「錬成秘伝書:第3巻」の修得が必要です。			ウィルトウェークに報告した。事件の謎に迫るには、犯罪集団の一員とみられる、ララフェル族のならず者を自白に追い込むしかなさそうだ。犯行の有力な証拠となる錬金薬「剛力の竜薬」を製作し、レヴナンツトールの「チャネネ」に納品しよう。「剛力の竜薬」を製作するためには、「錬成秘伝書:第3巻」の修得が必要です。			ココロカヨワヌモノ							
チャネネに剛力の竜薬を納品した。錬金薬を使えば犯行が可能だと証明され、ララフェル族のならず者は容疑を認めた。供述によると、失踪者と瓜ふたつの男性は、古代アラグの秘法により、元の男性とそっくりに作られた人造生命体「クローン」だという。ウィルトウェークらとともに事件の全貌を解き明かし、黒幕に裁きを下そう。※錬金術師のレベルが60以上になると、レヴナンツトールのウィルトウェークから次の錬金術師クエストを受注することができます。			チャネネに剛力の竜薬を納品した。錬金薬を使えば犯行が可能だと証明され、ララフェル族のならず者は容疑を認めた。供述によると、失踪者と瓜ふたつの男性は、古代アラグの秘法により、元の男性とそっくりに作られた人造生命体「クローン」だという。ウィルトウェークらとともに事件の全貌を解き明かし、黒幕に裁きを下そう。※錬金術師のレベルが60以上になると、レヴナンツトールのウィルトウェークから次の錬金術師クエストを受注することができます。			ココロカヨワヌモノ							
崩壊したキャンプでチャネネと合流			崩壊したキャンプでチャネネと合流			ココロカヨワヌモノ							
テイルフェザーの失踪者の妹に失踪者の日記を見せる			テイルフェザーの失踪者の妹に失踪者の日記を見せる			ココロカヨワヌモノ							
レヴナンツトールのウィルトウェークに失踪者の日記を渡す			レヴナンツトールのウィルトウェークに失踪者の日記を渡す			ココロカヨワヌモノ							
剛力の竜薬を製作チャネネに剛力の竜薬を納品			剛力の竜薬を製作チャネネに剛力の竜薬を納品			ココロカヨワヌモノ							
君のおかげで、犯罪集団の狙いが見えてきた！有力な情報の絞り込みも、ぐっとやりやすくなってな……チャネネとオレとで、寄せられた情報を精査しているところだ。			君のおかげで、犯罪集団の狙いが見えてきた！有力な情報の絞り込みも、ぐっとやりやすくなってな……チャネネとオレとで、寄せられた情報を精査しているところだ。			ココロカヨワヌモノ							
……チャネネか、どうした？なに、失踪者を乗せたチョコボ・キャリッジが見つかった！？わかった、準備ができ次第、オレも行く！			……チャネネか、どうした？なに、失踪者を乗せたチョコボ・キャリッジが見つかった！？わかった、準備ができ次第、オレも行く！			ココロカヨワヌモノ							
君も現場に立ち会ってくれ！場所はモードゥナの「崩壊したキャンプ」の南だ。現地で、チャネネと合流するぞ！			君も現場に立ち会ってくれ！場所はモードゥナの「崩壊したキャンプ」の南だ。現地で、チャネネと合流するぞ！			ココロカヨワヌモノ							
君も現場に立ち会ってくれ！場所はモードゥナの「崩壊したキャンプ」の南だ。現地で、チャネネと合流するぞ！			君も現場に立ち会ってくれ！場所はモードゥナの「崩壊したキャンプ」の南だ。現地で、チャネネと合流するぞ！			ココロカヨワヌモノ							
不審なチョコボ・キャリッジが発見された現場だ。うさんくさいモンばかり、ゾロゾロ出てきやがったぞ！			不審なチョコボ・キャリッジが発見された現場だ。うさんくさいモンばかり、ゾロゾロ出てきやがったぞ！			ココロカヨワヌモノ							
なんだテメェ！俺は被害者だっつってんだろ！			なんだテメェ！俺は被害者だっつってんだろ！			ココロカヨワヌモノ							
………………。			………………。			ココロカヨワヌモノ							
……さて、これがどういう状況かを説明するのは、骨が折れるね。まず怪しいチョコボ・キャリッジを見つけたって通報があったの。踏み込んで最初に見つけたのが、そのララフェル族のならず者。			……さて、これがどういう状況かを説明するのは、骨が折れるね。まず怪しいチョコボ・キャリッジを見つけたって通報があったの。踏み込んで最初に見つけたのが、そのララフェル族のならず者。			ココロカヨワヌモノ							
犯罪集団の構成員と睨んでるけど、本人は容疑を否認してる。さらに樽の中から、ヒューラン族の男性がふたり発見されたんだ。ひとりは、すでに亡くなってた……その遺体がそうだよ。			犯罪集団の構成員と睨んでるけど、本人は容疑を否認してる。さらに樽の中から、ヒューラン族の男性がふたり発見されたんだ。ひとりは、すでに亡くなってた……その遺体がそうだよ。			ココロカヨワヌモノ							
で、もうひとり見つかった失踪者は、そこにいるんだけど……			で、もうひとり見つかった失踪者は、そこにいるんだけど……			ココロカヨワヌモノ							
………………。			………………。			ココロカヨワヌモノ							
以前、捕縛した「近東風の若者」と同じ状態……。おまけにだ……なんと、この遺体と瓜ふたつの容姿ときた！			以前、捕縛した「近東風の若者」と同じ状態……。おまけにだ……なんと、この遺体と瓜ふたつの容姿ときた！			ココロカヨワヌモノ							
どうやら、拐われた失踪者のようなんだけど……双子のようにそっくりなふたりの男性が、ひとりは自失状態で、もうひとりは亡くなってる……もう、わけわかんないよ！			どうやら、拐われた失踪者のようなんだけど……双子のようにそっくりなふたりの男性が、ひとりは自失状態で、もうひとりは亡くなってる……もう、わけわかんないよ！			ココロカヨワヌモノ							
解決すべき事柄が一度に増えて、オレたちもてんやわんやだ！同じ姿の男性がなぜふたりいたのか……すまないが、君は、この謎の手がかりを追ってくれないか？			解決すべき事柄が一度に増えて、オレたちもてんやわんやだ！同じ姿の男性がなぜふたりいたのか……すまないが、君は、この謎の手がかりを追ってくれないか？			ココロカヨワヌモノ							
実は、遺体で発見された男性は、日記を持っていてな。彼には妹さんがいて、この時期は、高地ドラヴァニアの、「テイルフェザー」に出稼ぎにいっているようなんだ。			実は、遺体で発見された男性は、日記を持っていてな。彼には妹さんがいて、この時期は、高地ドラヴァニアの、「テイルフェザー」に出稼ぎにいっているようなんだ。			ココロカヨワヌモノ							
「失踪者の妹」に日記を見せて、話を聞いてみてほしい。……双子のお兄さんがいるのかどうかも、な。			「失踪者の妹」に日記を見せて、話を聞いてみてほしい。……双子のお兄さんがいるのかどうかも、な。			ココロカヨワヌモノ							
双子のようにそっくりなふたりの男性が、ひとりは自失状態で、もうひとりは亡くなってる……もう、わけわかんないよ！			双子のようにそっくりなふたりの男性が、ひとりは自失状態で、もうひとりは亡くなってる……もう、わけわかんないよ！			ココロカヨワヌモノ							
実は、遺体で発見された男性は、日記を持っていてな。彼には妹さんがいて、この時期は、高地ドラヴァニアの、「テイルフェザー」に出稼ぎにいっているようなんだ。			実は、遺体で発見された男性は、日記を持っていてな。彼には妹さんがいて、この時期は、高地ドラヴァニアの、「テイルフェザー」に出稼ぎにいっているようなんだ。			ココロカヨワヌモノ							
「失踪者の妹」に日記を見せて、話を聞いてみてほしい。……双子のお兄さんがいるのかどうかもな。			「失踪者の妹」に日記を見せて、話を聞いてみてほしい。……双子のお兄さんがいるのかどうかもな。			ココロカヨワヌモノ							
あんた、何さ？え……見てほしいものがある？			あんた、何さ？え……見てほしいものがある？			ココロカヨワヌモノ							
……兄貴が、遺体になって見つかった？そう……たしかに、あいつの日記に間違いないと思うよ。ひどく粗暴な兄貴で、ずいぶん前に縁を切ったけどさ。			……兄貴が、遺体になって見つかった？そう……たしかに、あいつの日記に間違いないと思うよ。ひどく粗暴な兄貴で、ずいぶん前に縁を切ったけどさ。			ココロカヨワヌモノ							
ハァ、兄貴とそっくりの男が同時に見つかったって？……双子？　あんなヤツ、ふたりもいてたまるかっての！この日記も返すよ、あんたらで好きに処分しな！			ハァ、兄貴とそっくりの男が同時に見つかったって？……双子？　あんなヤツ、ふたりもいてたまるかっての！この日記も返すよ、あんたらで好きに処分しな！			ココロカヨワヌモノ							
おかえり！……で、「失踪者の妹」には、会えたのかな？			おかえり！……で、「失踪者の妹」には、会えたのかな？			ココロカヨワヌモノ							
……なに、妹さんは、日記を受け取らなかった？形見の品だってのに、ずいぶん冷え切った関係なんだな。なら、オレが預かっておこう。			……なに、妹さんは、日記を受け取らなかった？形見の品だってのに、ずいぶん冷え切った関係なんだな。なら、オレが預かっておこう。			ココロカヨワヌモノ							
……そうか、男性に双子の兄弟はいなかったか。結局、失踪者と瓜ふたつの遺体の正体は、謎のままだ。あの、ならず者が容疑を認めりゃ、何か聞けそうだが……。			……そうか、男性に双子の兄弟はいなかったか。結局、失踪者と瓜ふたつの遺体の正体は、謎のままだ。あの、ならず者が容疑を認めりゃ、何か聞けそうだが……。			ココロカヨワヌモノ							
あの野郎が、チョコボ・キャリッジに、遺体の入っていた樽を積むのを見たという目撃者もいるんだが……非力なララフェル族には無理だって、本人は否認してやがってな。			あの野郎が、チョコボ・キャリッジに、遺体の入っていた樽を積むのを見たという目撃者もいるんだが……非力なララフェル族には無理だって、本人は否認してやがってな。			ココロカヨワヌモノ							
実際、無理だよ、空っぽの樽でさえ大変なんだから！あっ……でも、犯人は錬金術を使うのか……。もしかして、一時的に怪力になれる薬を使ったとか？			実際、無理だよ、空っぽの樽でさえ大変なんだから！あっ……でも、犯人は錬金術を使うのか……。もしかして、一時的に怪力になれる薬を使ったとか？			ココロカヨワヌモノ							
……聞いたことがあるな……たしか「剛力の竜薬」だ。Forename、製作を頼めないか？ララフェル族のチャネネに渡して、再現実験をしてみたい。			……聞いたことがあるな……たしか「剛力の竜薬」だ。Forename、製作を頼めないか？ララフェル族のチャネネに渡して、再現実験をしてみたい。			ココロカヨワヌモノ							
「剛力の竜薬」を製作するためには、「錬成秘伝書:第3巻」の修得が必要です。			「剛力の竜薬」を製作するためには、「錬成秘伝書:第3巻」の修得が必要です。			ココロカヨワヌモノ							
「剛力の竜薬」の製作を頼めないか？ララフェル族のチャネネに渡して、再現実験をしてみたい。			「剛力の竜薬」の製作を頼めないか？ララフェル族のチャネネに渡して、再現実験をしてみたい。			ココロカヨワヌモノ							
「剛力の竜薬」ができあがったら、さっそく、実験を始めるからね！			「剛力の竜薬」ができあがったら、さっそく、実験を始めるからね！			ココロカヨワヌモノ							
さあ、再現実験の開始といこう！大柄なヒューラン族の遺体が詰まった重い樽を、ララフェル族にも動かすことができるかどうか。			さあ、再現実験の開始といこう！大柄なヒューラン族の遺体が詰まった重い樽を、ララフェル族にも動かすことができるかどうか。			ココロカヨワヌモノ							
樽には遺体のかわりに、多量の水が張ってある。……チャネネ、「剛力の竜薬」は飲んだな？そこの樽を動かしてみろ！			樽には遺体のかわりに、多量の水が張ってある。……チャネネ、「剛力の竜薬」は飲んだな？そこの樽を動かしてみろ！			ココロカヨワヌモノ							
見てみて、私にも運べたよっ！錬金術ってすごいね！			見てみて、私にも運べたよっ！錬金術ってすごいね！			ココロカヨワヌモノ							
