コスタ・デル・ソルのヴェイスケートは、最後の珍味について説明したいようだ。			コスタ・デル・ソルのヴェイスケートは、最後の珍味について説明したいようだ。			ブレイフロクスの珍チーズ							
コスタ・デル・ソルのヴェイスケートにゴブリンチーズを渡す			コスタ・デル・ソルのヴェイスケートにゴブリンチーズを渡す			ブレイフロクスの珍チーズ							
「特別な晩餐」に使う最後の「珍味」の在り処は、元輜重(しちょう)担当のゴブリン族、「ブレイフロクス」から聞くといいのだが……。			「特別な晩餐」に使う最後の「珍味」の在り処は、元輜重(しちょう)担当のゴブリン族、「ブレイフロクス」から聞くといいのだが……。			ブレイフロクスの珍チーズ							
どうも、ブレイフロクスのところで、面倒な事件が起こったようだ。			どうも、ブレイフロクスのところで、面倒な事件が起こったようだ。			ブレイフロクスの珍チーズ							
すぐに奴のもとへ行ってくれ。「船着場：隠れ滝」の「オズン・ナズン」に言えば、「ブレイフロクスの野営地」への案内をしてくれるはずだ。			すぐに奴のもとへ行ってくれ。「船着場：隠れ滝」の「オズン・ナズン」に言えば、「ブレイフロクスの野営地」への案内をしてくれるはずだ。			ブレイフロクスの珍チーズ							
ヴェイスケート様からの紹介だって？ああ……「ブレイフロクスの野営地」に行くのだな。			ヴェイスケート様からの紹介だって？ああ……「ブレイフロクスの野営地」に行くのだな。			ブレイフロクスの珍チーズ							
では、そこの船頭に話しかけるといい。「ブレイフロクスの野営地」がある、「レインキャッチャー樹林」まで連れていってくれるぞ。			では、そこの船頭に話しかけるといい。「ブレイフロクスの野営地」がある、「レインキャッチャー樹林」まで連れていってくれるぞ。			ブレイフロクスの珍チーズ							
シュコォ……シュコォ……オマエ　ヴェイスケートに　聞いてるゴブ！ゴブ　最後の珍味　用意して～た！			シュコォ……シュコォ……オマエ　ヴェイスケートに　聞いてるゴブ！ゴブ　最後の珍味　用意して～た！			ブレイフロクスの珍チーズ							
そしたら　でっかい　コワイの　やってき～た！みんな　あぶない！　オタスケ　オタスケ！オマエ　いっしょに野営地にいくゴブ！　奪還作戦ゴブ！			そしたら　でっかい　コワイの　やってき～た！みんな　あぶない！　オタスケ　オタスケ！オマエ　いっしょに野営地にいくゴブ！　奪還作戦ゴブ！			ブレイフロクスの珍チーズ							
ゴブたち　いそいで逃げ出した～！だけんど　大事なお道具　置いてきた～！だから　野営地　取り返す～！			ゴブたち　いそいで逃げ出した～！だけんど　大事なお道具　置いてきた～！だから　野営地　取り返す～！			ブレイフロクスの珍チーズ							
野営地のダンジョンクリア			野営地のダンジョンクリア			ブレイフロクスの珍チーズ							
シュコォ、シュコォ……ありがと～　ありがと～！			シュコォ、シュコォ……ありがと～　ありがと～！			ブレイフロクスの珍チーズ							
ドラゴン攻撃　突然どっかん！オマエ　けっこう　機転きくな～！オマエの　「機転」　見届けた～！			ドラゴン攻撃　突然どっかん！オマエ　けっこう　機転きくな～！オマエの　「機転」　見届けた～！			ブレイフロクスの珍チーズ							
これで野営地　もとどおり～オマエ　ゴブゴブ珍味　持ってくゴブ！			これで野営地　もとどおり～オマエ　ゴブゴブ珍味　持ってくゴブ！			ブレイフロクスの珍チーズ							
秘伝製法　門外不出！とてとて　おいしい　とてとて　臭い！最高級の　「ゴブリンチーズ」～！			秘伝製法　門外不出！とてとて　おいしい　とてとて　臭い！最高級の　「ゴブリンチーズ」～！			ブレイフロクスの珍チーズ							
三大珍味　最後のひとつ！「コスタ・デル・ソル」　「ヴェイスケート」に渡すゴブ～！			三大珍味　最後のひとつ！「コスタ・デル・ソル」　「ヴェイスケート」に渡すゴブ～！			ブレイフロクスの珍チーズ							
戻ってきたか。ブレイフロクスの問題は解決できたのか？			戻ってきたか。ブレイフロクスの問題は解決できたのか？			ブレイフロクスの珍チーズ							
くっ、相変わらず、すげぇ臭いだ……。この臭い、たしかに「三大珍味」の最後のひとつ、「ゴブリンチーズ」に違いない。			くっ、相変わらず、すげぇ臭いだ……。この臭い、たしかに「三大珍味」の最後のひとつ、「ゴブリンチーズ」に違いない。			ブレイフロクスの珍チーズ							
鼻が曲がるほどの臭いだが、その分、コクは段違いだ。一度ハマるとクセになるってやつだな。			鼻が曲がるほどの臭いだが、その分、コクは段違いだ。一度ハマるとクセになるってやつだな。			ブレイフロクスの珍チーズ							
おっと、何の乳で作っているかは、知らないほうがいい。……知ると、食欲が失せるからな。			おっと、何の乳で作っているかは、知らないほうがいい。……知ると、食欲が失せるからな。			ブレイフロクスの珍チーズ							
コスタ・デル・ソルのクザイ・タザイには、困っていることがあるようだ。			コスタ・デル・ソルのクザイ・タザイには、困っていることがあるようだ。			つまみ食いはホドホドに							
コスタ・デル・ソルの食料を、コボルド族が盗んでいるらしい。指定地点に肉入りの麻袋を仕掛けよう。			コスタ・デル・ソルの食料を、コボルド族が盗んでいるらしい。指定地点に肉入りの麻袋を仕掛けよう。			つまみ食いはホドホドに							
肉入りの麻袋を仕掛けた。指定地点で待機し、現れたコボルド族を倒そう。			肉入りの麻袋を仕掛けた。指定地点で待機し、現れたコボルド族を倒そう。			つまみ食いはホドホドに							
現れたコボルド族をすべて倒した。コスタ・デル・ソルのクザイ・タザイに報告しよう。			現れたコボルド族をすべて倒した。コスタ・デル・ソルのクザイ・タザイに報告しよう。			つまみ食いはホドホドに							
報告を受けて安心した様子のクザイ・タザイ。彼によれば、コボルド族が戦いの準備をしているということだが……。			報告を受けて安心した様子のクザイ・タザイ。彼によれば、コボルド族が戦いの準備をしているということだが……。			つまみ食いはホドホドに							
指定地点に肉入りの麻袋を使う			指定地点に肉入りの麻袋を使う			つまみ食いはホドホドに							
指定地点で待機し、現れたコボルド族を討伐			指定地点で待機し、現れたコボルド族を討伐			つまみ食いはホドホドに							
クザイ・タザイに報告			クザイ・タザイに報告			つまみ食いはホドホドに							
このところ、コスタ・デル・ソルの食糧が「コボルド族」に盗まれているんです。			このところ、コスタ・デル・ソルの食糧が「コボルド族」に盗まれているんです。			つまみ食いはホドホドに							
コボルド族を退治したいけど、ぼくじゃムリだし……。でも、食料が盗まれると、ディルストヴェイツさんがぼくを怒るし……。			コボルド族を退治したいけど、ぼくじゃムリだし……。でも、食料が盗まれると、ディルストヴェイツさんがぼくを怒るし……。			つまみ食いはホドホドに							
冒険者さん、コボルド族の退治をお願いできませんか？この「肉入りの麻袋」を囮に使えば、奴らを誘き寄せられると思うんです……。			冒険者さん、コボルド族の退治をお願いできませんか？この「肉入りの麻袋」を囮に使えば、奴らを誘き寄せられると思うんです……。			つまみ食いはホドホドに							
（指定地点に「食料が入った袋」を設置）			（指定地点に「食料が入った袋」を設置）			つまみ食いはホドホドに							
（指定地点で「待機」コボルドが３匹ＰＯＰ、倒す）			（指定地点で「待機」コボルドが３匹ＰＯＰ、倒す）			つまみ食いはホドホドに							
ありがとうございました！これでディルストヴェイツさんに怒られずにすみます！			ありがとうございました！これでディルストヴェイツさんに怒られずにすみます！			つまみ食いはホドホドに							
いつもボクが、食糧のつまみ食いをしているから、ディルストヴェイツさんの沸点も低くなってて……アハハ。			いつもボクが、食糧のつまみ食いをしているから、ディルストヴェイツさんの沸点も低くなってて……アハハ。			つまみ食いはホドホドに							
コボルド族も余計な仕事を増やさないでほしいなあ。……なんでも奴ら、戦いの準備をしてるみたいなんです。これ以上、何も起こらなきゃいいけど……。			コボルド族も余計な仕事を増やさないでほしいなあ。……なんでも奴ら、戦いの準備をしてるみたいなんです。これ以上、何も起こらなきゃいいけど……。			つまみ食いはホドホドに							
敵の気配を感じた！！			敵の気配を感じた！！			つまみ食いはホドホドに							
コスタ・デル・ソルのフィリルスンは、なにやら考えがあるようだ。			コスタ・デル・ソルのフィリルスンは、なにやら考えがあるようだ。			コボルド族の暗躍							
コボルド族が謎めいた錬金装置を持ちだし、何かを画策しているらしい。6オンズ爆薬を使って「謎めいた錬金装置」を3つ爆破しよう。			コボルド族が謎めいた錬金装置を持ちだし、何かを画策しているらしい。6オンズ爆薬を使って「謎めいた錬金装置」を3つ爆破しよう。			コボルド族の暗躍							
謎めいた錬金装置をすべて爆破した。コスタ・デル・ソルの「フィリルスン」に報告しよう。			謎めいた錬金装置をすべて爆破した。コスタ・デル・ソルの「フィリルスン」に報告しよう。			コボルド族の暗躍							
コボルド族の悪事は、タチが悪くなってきているらしい。フィリルスンは冒険者のことを頼りにしているようだ。			コボルド族の悪事は、タチが悪くなってきているらしい。フィリルスンは冒険者のことを頼りにしているようだ。			コボルド族の暗躍							
謎めいた錬金装置を6オンズ爆薬で破壊			謎めいた錬金装置を6オンズ爆薬で破壊			コボルド族の暗躍							
フィリルスンに報告			フィリルスンに報告			コボルド族の暗躍							
コボルド族が「謎めいた錬金装置」を持ちだして、何か企んでやがるみたいなんだ。これ以上、奴らの進出を許せば、ここも危ない。			コボルド族が「謎めいた錬金装置」を持ちだして、何か企んでやがるみたいなんだ。これ以上、奴らの進出を許せば、ここも危ない。			コボルド族の暗躍							
その風貌からして、お前は冒険者だろ？この「6オンズ爆薬」を、「謎めいた錬金装置」に仕込んで、爆破してきてくれよ。			その風貌からして、お前は冒険者だろ？この「6オンズ爆薬」を、「謎めいた錬金装置」に仕込んで、爆破してきてくれよ。			コボルド族の暗躍							
（コボルド精錬機（可視）に「爆薬」を使う　ボムが２匹ポップ。それを倒す。※３匹）			（コボルド精錬機（可視）に「爆薬」を使う　ボムが２匹ポップ。それを倒す。※３匹）			コボルド族の暗躍							
おう、きっちり破壊してくれたみてぇだな！……コボルド族の悪事は、段々タチが悪くなってきててよ。もう、俺らだけじゃ手に負えねぇんだ……。			おう、きっちり破壊してくれたみてぇだな！……コボルド族の悪事は、段々タチが悪くなってきててよ。もう、俺らだけじゃ手に負えねぇんだ……。			コボルド族の暗躍							
だが、お前のお陰で何事もなく済んだ。お前が腕利きで助かったぜ！また困ったことがあったら、頼らせてもらうぞ！			だが、お前のお陰で何事もなく済んだ。お前が腕利きで助かったぜ！また困ったことがあったら、頼らせてもらうぞ！			コボルド族の暗躍							
敵の気配を感じた！！			敵の気配を感じた！！			コボルド族の暗躍							
コスタ・デル・ソルの執事ペ・エバローは、冒険者に頼みたいことがあるようだ。			コスタ・デル・ソルの執事ペ・エバローは、冒険者に頼みたいことがあるようだ。			地を揺らす音							
ペ・エバローの主人ゲゲルジュが、ここ最近の地震の原因はバッファローだと言い張っているらしい。「バッファロー」を6体討伐しよう。			ペ・エバローの主人ゲゲルジュが、ここ最近の地震の原因はバッファローだと言い張っているらしい。「バッファロー」を6体討伐しよう。			地を揺らす音							
バッファローを討伐した。コスタ・デル・ソルの「ペ・エバロー」に報告しよう。			バッファローを討伐した。コスタ・デル・ソルの「ペ・エバロー」に報告しよう。			地を揺らす音							
ペ・エバローは、冒険者の働きに感謝していた。実際のところ、地震の原因はバッファローではなく、蛮神「タイタン」だという噂らしい……。			ペ・エバローは、冒険者の働きに感謝していた。実際のところ、地震の原因はバッファローではなく、蛮神「タイタン」だという噂らしい……。			地を揺らす音							
バッファローを討伐			バッファローを討伐			地を揺らす音							
ペ・エバローに報告			ペ・エバローに報告			地を揺らす音							
わたくしの主……ゲゲルジュ様は、流行の先取りとお金儲けにかけては天下一品。しかし、それ以外には少々……ご不自由であらせられます。			わたくしの主……ゲゲルジュ様は、流行の先取りとお金儲けにかけては天下一品。しかし、それ以外には少々……ご不自由であらせられます。			地を揺らす音							
つい最近も、ここのところの地震の原因は、「バッファロー」だと仰って譲らず、わたくしが、いくら意見しても聞いてくださいませんでした。			つい最近も、ここのところの地震の原因は、「バッファロー」だと仰って譲らず、わたくしが、いくら意見しても聞いてくださいませんでした。			地を揺らす音							
冒険者様、申し訳ございませんが、バッファローの討伐をお願いできませんか。ゲゲルジュ様も、それで満足されると思うのです。			冒険者様、申し訳ございませんが、バッファローの討伐をお願いできませんか。ゲゲルジュ様も、それで満足されると思うのです。			地を揺らす音							
（バッファロー討伐＊６。　倒す）			（バッファロー討伐＊６。　倒す）			地を揺らす音							
バッファローを討伐してくださったのですね。ああ、なんとお礼を申し上げればよいものか。これでゲゲルジュ様も満足することでしょう。			バッファローを討伐してくださったのですね。ああ、なんとお礼を申し上げればよいものか。これでゲゲルジュ様も満足することでしょう。			地を揺らす音							
……コスタ・デル・ソルでは、地震の原因は蛮神「タイタン」なのではないかと、もっぱらの噂になっております。			……コスタ・デル・ソルでは、地震の原因は蛮神「タイタン」なのではないかと、もっぱらの噂になっております。			地を揺らす音							
……また、誰かが蛮神と戦い、傷つくのでしょうか。誰の上にも、幸いだけが降るのなら、世に戦いなんてないでしょうに……。			……また、誰かが蛮神と戦い、傷つくのでしょうか。誰の上にも、幸いだけが降るのなら、世に戦いなんてないでしょうに……。			地を揺らす音							
コスタ・デル・ソルのヴェイスケートは、冒険者に最高の酒を用意してほしいようだ。			コスタ・デル・ソルのヴェイスケートは、冒険者に最高の酒を用意してほしいようだ。			ごちそうには美酒を							
*本クエストは調整されました。一度破棄し、コスタ・デル・ソルの「ヴェイスケート」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			*本クエストは調整されました。一度破棄し、コスタ・デル・ソルの「ヴェイスケート」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			ごちそうには美酒を							
ディルストヴェイツから「食前酒の注文票」を渡された。東ラノシア北西のワインポートにいる元海雄旅団の「シャマニ・ローマニ」に、「食前酒の注文票」を渡そう。			ディルストヴェイツから「食前酒の注文票」を渡された。東ラノシア北西のワインポートにいる元海雄旅団の「シャマニ・ローマニ」に、「食前酒の注文票」を渡そう。			ごちそうには美酒を							
シャマニ・ローマニは、視覚以外の感覚を研ぎ澄ますことで、最高のワインを作ることができるらしい。もう一度シャマニ・ローマニに話しかけてみよう。			シャマニ・ローマニは、視覚以外の感覚を研ぎ澄ますことで、最高のワインを作ることができるらしい。もう一度シャマニ・ローマニに話しかけてみよう。			ごちそうには美酒を							
*本クエストは調整されました。一度破棄し、コスタ・デル・ソルのヴェイスケートから再受注してください			*本クエストは調整されました。一度破棄し、コスタ・デル・ソルのヴェイスケートから再受注してください			ごちそうには美酒を							
これで「エオルゼア三大珍味」である……「アダマンタスの大卵」「ラムトンウォームの肉」そして「ゴブリンチーズ」が集まったわけだ。			これで「エオルゼア三大珍味」である……「アダマンタスの大卵」「ラムトンウォームの肉」そして「ゴブリンチーズ」が集まったわけだ。			ごちそうには美酒を							
だが、まだお前に、蛮神「タイタン」の情報を教えることはできない。「特別な晩餐」には、最高の酒が必要不可欠だろう？			だが、まだお前に、蛮神「タイタン」の情報を教えることはできない。「特別な晩餐」には、最高の酒が必要不可欠だろう？			ごちそうには美酒を							
最高の酒は、「特別な晩餐」の調理を担当する「ディルストヴェイツ」が手配しているはずだ。奴に会って、話を聞いてこい。			最高の酒は、「特別な晩餐」の調理を担当する「ディルストヴェイツ」が手配しているはずだ。奴に会って、話を聞いてこい。			ごちそうには美酒を							
あんたが、ヴェイスケートさんの言う冒険者か！さっそく「三大珍味」の調理に取りかかるんだがな、聞いてると思うが、美味い酒がないんだよ。			あんたが、ヴェイスケートさんの言う冒険者か！さっそく「三大珍味」の調理に取りかかるんだがな、聞いてると思うが、美味い酒がないんだよ。			ごちそうには美酒を							
ひとっ走り「ワインポート」まで行って、ワインを扱っている「シャマニ・ローマニ」にこの「食前酒の注文票」を渡してくれ。			ひとっ走り「ワインポート」まで行って、ワインを扱っている「シャマニ・ローマニ」にこの「食前酒の注文票」を渡してくれ。			ごちそうには美酒を							
シャマニ・ローマニも、元海雄旅団なのさ。きっと三大珍味に合う、最高のワインをくれるはず！行ったり来たりさせて悪いけど、よろしく頼むよ。			シャマニ・ローマニも、元海雄旅団なのさ。きっと三大珍味に合う、最高のワインをくれるはず！行ったり来たりさせて悪いけど、よろしく頼むよ。			ごちそうには美酒を							
陽と土に祝福されし匂いと……幾多の戦いの匂い。……貴方は、冒険者さんですね？何か私にご用でしょうか？			陽と土に祝福されし匂いと……幾多の戦いの匂い。……貴方は、冒険者さんですね？何か私にご用でしょうか？			ごちそうには美酒を							
……注文書ですか。ああ、封は開けないでください、私は目が見えないので、どのみち読めません。			……注文書ですか。ああ、封は開けないでください、私は目が見えないので、どのみち読めません。			ごちそうには美酒を							
注文書の内容は……最高のワインの注文ですね。ウフフ、なぜわかったかですって？			注文書の内容は……最高のワインの注文ですね。ウフフ、なぜわかったかですって？			ごちそうには美酒を							
封書から香るほのかな「潮の香り」は、コスタ・デル・ソルのもの……そして、鼻の曲るようなチーズの匂い……。			封書から香るほのかな「潮の香り」は、コスタ・デル・ソルのもの……そして、鼻の曲るようなチーズの匂い……。			ごちそうには美酒を							
依頼主は我が友にして、名調理師のディルストヴェイツ？そうとなれば、「三大珍味」を使った料理に相応しい、食前酒用の最高のワイン……そんなところでしょう？			依頼主は我が友にして、名調理師のディルストヴェイツ？そうとなれば、「三大珍味」を使った料理に相応しい、食前酒用の最高のワイン……そんなところでしょう？			ごちそうには美酒を							
ウフフ、目が見えないお陰で、視覚以外の感覚が、研ぎ澄まされていましてね。今や目で見る以上に、世界がよく見えるのですよ。			ウフフ、目が見えないお陰で、視覚以外の感覚が、研ぎ澄まされていましてね。今や目で見る以上に、世界がよく見えるのですよ。			ごちそうには美酒を							
ワインポートのエトガルは、冒険者に魔物の討伐を頼みたいようだ。			ワインポートのエトガルは、冒険者に魔物の討伐を頼みたいようだ。			暴れん坊の末路							
ワインポート周辺で暴れまわっている「グラスラプトル」を退治してほしいらしい。グラスラプトルを4匹討伐しよう。			ワインポート周辺で暴れまわっている「グラスラプトル」を退治してほしいらしい。グラスラプトルを4匹討伐しよう。			暴れん坊の末路							
グラスラプトルを討伐した。ワインポートの「エトガル」に報告しよう。			グラスラプトルを討伐した。ワインポートの「エトガル」に報告しよう。			暴れん坊の末路							
冒険者の活躍にエトガルは満足したようだ。			冒険者の活躍にエトガルは満足したようだ。			暴れん坊の末路							
グラスラプトルを討伐			グラスラプトルを討伐			暴れん坊の末路							
エドガルに報告			エドガルに報告			暴れん坊の末路							
ビルギレント様の愛弟子である私の話を聞いてくだされば、あとで便宜を図らないでもないですよぉ？			ビルギレント様の愛弟子である私の話を聞いてくだされば、あとで便宜を図らないでもないですよぉ？			暴れん坊の末路							
そうですねぇ～、ワインポート周辺で暴れまわっている「グラスラプトル」を退治してきてほしいですねぇ。アイツらが畑に来たら、仕事どころじゃなくなりますしぃ。			そうですねぇ～、ワインポート周辺で暴れまわっている「グラスラプトル」を退治してきてほしいですねぇ。アイツらが畑に来たら、仕事どころじゃなくなりますしぃ。			暴れん坊の末路							
クラスラプトルを討伐(4体)			クラスラプトルを討伐(4体)			暴れん坊の末路							
ありがとうございますぅ。いやぁ～、冒険者さんは、お強いですねぇ。ご活躍は、ビルギレント様にお伝えしておきますねぇ。			ありがとうございますぅ。いやぁ～、冒険者さんは、お強いですねぇ。ご活躍は、ビルギレント様にお伝えしておきますねぇ。			暴れん坊の末路							
ワインポートのビルギレントは、かなりご立腹らしい。			ワインポートのビルギレントは、かなりご立腹らしい。			妥協なきコルク							
ビルギレントは、ワイン瓶の栓にするコルクの質に不満のようだ。「コルク・バルブ」を5体討伐し、「上質なコルク原材」を入手しよう。			ビルギレントは、ワイン瓶の栓にするコルクの質に不満のようだ。「コルク・バルブ」を5体討伐し、「上質なコルク原材」を入手しよう。			妥協なきコルク							
上質なコルク原材を手に入れた。ワインポートの「ビルギレント」に渡そう。			上質なコルク原材を手に入れた。ワインポートの「ビルギレント」に渡そう。			妥協なきコルク							
ビルギレントはコルクの質に満足したらしい。彼はワインに対して、並ならぬ情熱を持っているようだ。			ビルギレントはコルクの質に満足したらしい。彼はワインに対して、並ならぬ情熱を持っているようだ。			妥協なきコルク							
コルク・バルブから上質なコルク原材を入手			コルク・バルブから上質なコルク原材を入手			妥協なきコルク							
ビルギレントに上質なコルク原材を渡す			ビルギレントに上質なコルク原材を渡す			妥協なきコルク							
なんですか、この品質の低いコルク栓は！？このビルギレント、世界一のワインへのこだわりを持つ男。ワインに関しては、どんなことにも妥協など許しません！			なんですか、この品質の低いコルク栓は！？このビルギレント、世界一のワインへのこだわりを持つ男。ワインに関しては、どんなことにも妥協など許しません！			妥協なきコルク							
さぁ、あなた！　今すぐ「コルク・バルブ」を倒し、「上質なコルク原材」を採ってきなさい！最高級のコルクを用意するのです！			さぁ、あなた！　今すぐ「コルク・バルブ」を倒し、「上質なコルク原材」を採ってきなさい！最高級のコルクを用意するのです！			妥協なきコルク							
コルク・バルブを5体討伐し、「上質なコルク原材」をゲット			コルク・バルブを5体討伐し、「上質なコルク原材」をゲット			妥協なきコルク							
どうしました！？早く「上質なコルク原材」を採ってきなさい！			どうしました！？早く「上質なコルク原材」を採ってきなさい！			妥協なきコルク							
どれどれ……ふむ、まぁ及第点ですかね。ほどよい弾力と、わずかな通気性、そして完璧な保湿性……。栓ひとつにも、妥協はけっして許されません。心するように。			どれどれ……ふむ、まぁ及第点ですかね。ほどよい弾力と、わずかな通気性、そして完璧な保湿性……。栓ひとつにも、妥協はけっして許されません。心するように。			妥協なきコルク							
コスタ・デル・ソルのヴェイスケートは、冒険者に最高の酒を用意してほしいようだ。			コスタ・デル・ソルのヴェイスケートは、冒険者に最高の酒を用意してほしいようだ。			ごちそうには美酒を							
ヴェイスケートと話した。次は最高のワインを調達することになった。東ラノシアのワインポートにいる「シャマニ・ローマニ」に、「食前酒の注文票」を渡そう。			ヴェイスケートと話した。次は最高のワインを調達することになった。東ラノシアのワインポートにいる「シャマニ・ローマニ」に、「食前酒の注文票」を渡そう。			ごちそうには美酒を							
シャマニ・ローマニは、視覚以外の感覚を研ぎ澄ますことで、注文票の内容を理解した。もう一度シャマニ・ローマニに話しかけてみよう。			シャマニ・ローマニは、視覚以外の感覚を研ぎ澄ますことで、注文票の内容を理解した。もう一度シャマニ・ローマニに話しかけてみよう。			ごちそうには美酒を							
ワインポートのシャマニ・ローマニに食前酒の注文票を渡す			ワインポートのシャマニ・ローマニに食前酒の注文票を渡す			ごちそうには美酒を							
受注するには、進行中のメインクエストを破棄する必要があります。メインコマンドの「コンテンツ情報」から、「ジャーナル」を選び、破棄してください。			受注するには、進行中のメインクエストを破棄する必要があります。メインコマンドの「コンテンツ情報」から、「ジャーナル」を選び、破棄してください。			ごちそうには美酒を							
これで「エオルゼア三大珍味」である……「アダマンタスの大卵」「ラムトンウォームの肉」そして「ゴブリンチーズ」が集まったわけだ。			これで「エオルゼア三大珍味」である……「アダマンタスの大卵」「ラムトンウォームの肉」そして「ゴブリンチーズ」が集まったわけだ。			ごちそうには美酒を							
そして、次はいよいよ最後。最初にも言ったとおり、晩餐に合う最高のワインを探してもらいたい。			そして、次はいよいよ最後。最初にも言ったとおり、晩餐に合う最高のワインを探してもらいたい。			ごちそうには美酒を							
まずは、これまでと同じく、俺の元部下と会ってほしい。会うべき元部下の名は「シャマニ・ローマニ」……ワインポートで醸造家として働いている。			まずは、これまでと同じく、俺の元部下と会ってほしい。会うべき元部下の名は「シャマニ・ローマニ」……ワインポートで醸造家として働いている。			ごちそうには美酒を							
この「食前酒の注文票」を持っていけ。ヤツに渡せば、話が通じるはずだ。			この「食前酒の注文票」を持っていけ。ヤツに渡せば、話が通じるはずだ。			ごちそうには美酒を							
……ながながと探し物をさせられて、不満かもしれん。だがこれは、蛮神討伐にとっても重要なことなのだ。不満を堪えて、最高のワインを探してきてくれ。			……ながながと探し物をさせられて、不満かもしれん。だがこれは、蛮神討伐にとっても重要なことなのだ。不満を堪えて、最高のワインを探してきてくれ。			ごちそうには美酒を							
陽と土に祝福されし匂いと……幾多の戦いの匂い。……貴方は、冒険者さんですね？何か私にご用でしょうか？			陽と土に祝福されし匂いと……幾多の戦いの匂い。……貴方は、冒険者さんですね？何か私にご用でしょうか？			ごちそうには美酒を							
……注文票ですか。ああ、封は開けないでください、私は目が見えないので、どのみち読めません。			……注文票ですか。ああ、封は開けないでください、私は目が見えないので、どのみち読めません。			ごちそうには美酒を							
注文票の内容は……最高のワインの注文ですね。ウフフ、なぜわかったかですって？			注文票の内容は……最高のワインの注文ですね。ウフフ、なぜわかったかですって？			ごちそうには美酒を							
封書から香るほのかな「潮の香り」は、コスタ・デル・ソルのもの……そして、鼻の曲るようなチーズの匂い……。			封書から香るほのかな「潮の香り」は、コスタ・デル・ソルのもの……そして、鼻の曲るようなチーズの匂い……。			ごちそうには美酒を							
依頼主はヴェイスケート副団長ですか？そうとなれば、「三大珍味」を使った晩餐に相応しい、食前酒用の最高のワイン……そんなところでしょう？			依頼主はヴェイスケート副団長ですか？そうとなれば、「三大珍味」を使った晩餐に相応しい、食前酒用の最高のワイン……そんなところでしょう？			ごちそうには美酒を							
ウフフ、目が見えないお陰で、視覚以外の感覚が、研ぎ澄まされていましてね。今や目で見る以上に、世界がよく見えるのですよ。			ウフフ、目が見えないお陰で、視覚以外の感覚が、研ぎ澄まされていましてね。今や目で見る以上に、世界がよく見えるのですよ。			ごちそうには美酒を							
