主なき遺構前のヤ・シュトラは、次なる行動に移るようだ。			主なき遺構前のヤ・シュトラは、次なる行動に移るようだ。			輝きは不滅なりて							
この地に、アシエンにとって有利な仕掛けが？			この地に、アシエンにとって有利な仕掛けが？			彼らの都							
さっぱりわからない……			さっぱりわからない……			彼らの都							
ええ、そのとおり……14に分かたれる前の世界、いわば先史時代の遺物ではないかと、私は考えているわ。			ええ、そのとおり……14に分かたれる前の世界、いわば先史時代の遺物ではないかと、私は考えているわ。			彼らの都							
私も、最初はその線を考えたけれど……いかに優れた物質で作られていても、廃墟は廃墟よ。戦況を左右する要素ではないわ。			私も、最初はその線を考えたけれど……いかに優れた物質で作られていても、廃墟は廃墟よ。戦況を左右する要素ではないわ。			彼らの都							
逆に言えば、それでもなお、彼にはこの地を選ぶ動機がある……ここにある建物が、14に分かたれる前の世界、いわば先史時代の遺物であるとしたら……どう？			逆に言えば、それでもなお、彼にはこの地を選ぶ動機がある……ここにある建物が、14に分かたれる前の世界、いわば先史時代の遺物であるとしたら……どう？			彼らの都							
私はね、ここにある建物が、14に分かたれる前の世界……いわば先史時代の遺物ではないかと考えているの。			私はね、ここにある建物が、14に分かたれる前の世界……いわば先史時代の遺物ではないかと考えているの。			彼らの都							
原初世界においては、度重なる霊災によって消失してしまったそれも、霊災を経験しようのない第一世界でなら、遺り得る……。			原初世界においては、度重なる霊災によって消失してしまったそれも、霊災を経験しようのない第一世界でなら、遺り得る……。			彼らの都							
それは、キタンナ神影洞にあった壁画の模写よ。コルシア島での作戦のあと、ファノヴの里を訪れた私に、アルメたちが渡してくれたの。			それは、キタンナ神影洞にあった壁画の模写よ。コルシア島での作戦のあと、ファノヴの里を訪れた私に、アルメたちが渡してくれたの。			彼らの都							
1つ目の壁画……災厄に見舞われる、先史時代の都市だと、エメトセルクが言っていた絵ね。			1つ目の壁画……災厄に見舞われる、先史時代の都市だと、エメトセルクが言っていた絵ね。			彼らの都							
簡略化されてはいるけれど、私たちが今見ている建物と、よく似た特徴を持っているように思えない？			簡略化されてはいるけれど、私たちが今見ている建物と、よく似た特徴を持っているように思えない？			彼らの都							
……きっと、核心は近いわ。その絵を見ながら、断定できるほど形を残した遺構がないか、周辺を探ってみましょう。			……きっと、核心は近いわ。その絵を見ながら、断定できるほど形を残した遺構がないか、周辺を探ってみましょう。			彼らの都							
先んじて見てきたかぎり、東には砂地が広がるだけだったし、南側にもそれらしき場所はなかったわ。つまり、ここから北西を探してみるのがよさそうね。			先んじて見てきたかぎり、東には砂地が広がるだけだったし、南側にもそれらしき場所はなかったわ。つまり、ここから北西を探してみるのがよさそうね。			彼らの都							
イベントアイテム「キタンナの複製画」は、クエスト進行中に使用することで、いつでも閲覧できます。			イベントアイテム「キタンナの複製画」は、クエスト進行中に使用することで、いつでも閲覧できます。			彼らの都							
今回は地図上に目的地が表示されないため、複製画をよく見て、描かれている建物とよく似た遺構を探し、その全容が見える位置にある「指定地点」から見渡しましょう。			今回は地図上に目的地が表示されないため、複製画をよく見て、描かれている建物とよく似た遺構を探し、その全容が見える位置にある「指定地点」から見渡しましょう。			彼らの都							
この絵に描かれている、いずれかの建物と似た遺構を探し、その全容が見える位置にある「指定地点」から見渡そう。			この絵に描かれている、いずれかの建物と似た遺構を探し、その全容が見える位置にある「指定地点」から見渡そう。			彼らの都							
ヤ・シュトラからの報告によると、「オンドの潮溜まりより北西」を探すのがよさそうだ。			ヤ・シュトラからの報告によると、「オンドの潮溜まりより北西」を探すのがよさそうだ。			彼らの都							
ああ……これは……。間違いないわ、あの壁画に描かれていた……。			ああ……これは……。間違いないわ、あの壁画に描かれていた……。			彼らの都							
用途はわからないけれど、象徴的な建造物だったのでしょうね。砂の下に埋もれている分も含めたら、どれほど大きいか……。			用途はわからないけれど、象徴的な建造物だったのでしょうね。砂の下に埋もれている分も含めたら、どれほど大きいか……。			彼らの都							
遠い昔日の上に、私たちの築いてきた歴史が、澱(おり)のように降り積もって……			遠い昔日の上に、私たちの築いてきた歴史が、澱(おり)のように降り積もって……			彼らの都							
だからもう……ほんの数名のアシエンを除いて、すべての人に、忘れ去られてしまったのだろうけれど……			だからもう……ほんの数名のアシエンを除いて、すべての人に、忘れ去られてしまったのだろうけれど……			彼らの都							
ここに、あったんだわ……。彼らの暮らした、彼らの都が……。			ここに、あったんだわ……。彼らの暮らした、彼らの都が……。			彼らの都							
今はあえて、得られた事実だけ話しましょう。オンド族の長、トルスィー・アースは、「神秘の蘇るとき」「明かりの灯りし地を見た」と言っていた。			今はあえて、得られた事実だけ話しましょう。オンド族の長、トルスィー・アースは、「神秘の蘇るとき」「明かりの灯りし地を見た」と言っていた。			彼らの都							
そして、それらが「いにしえの人」と関係していることも、彼の言い分から察することができる……。			そして、それらが「いにしえの人」と関係していることも、彼の言い分から察することができる……。			彼らの都							
つまり、彼らが見たのは恐らく、「先史時代の遺構に、明かりが灯った」光景……			つまり、彼らが見たのは恐らく、「先史時代の遺構に、明かりが灯った」光景……			彼らの都							
今、そんなことをしでかすのは、エメトセルク以外に考えられないわ。彼の根城が、その場所にあるのよ……！			今、そんなことをしでかすのは、エメトセルク以外に考えられないわ。彼の根城が、その場所にあるのよ……！			彼らの都							
かくなる上は、オンド族の信頼を得て、「明かりの灯りし地」について教えてもらうのが、結局、一番の近道になりそうね。			かくなる上は、オンド族の信頼を得て、「明かりの灯りし地」について教えてもらうのが、結局、一番の近道になりそうね。			彼らの都							
みんなの努力が、信頼に結びついているといいのだけれど……。			みんなの努力が、信頼に結びついているといいのだけれど……。			彼らの都							
ノルヴラント大陸斜面のサンクレッドは、近隣の様子を窺っている。			ノルヴラント大陸斜面のサンクレッドは、近隣の様子を窺っている。			海底で待つは							
ノルヴラント大陸斜面で異変を探す			ノルヴラント大陸斜面で異変を探す			海底で待つは							
オンド族の青年と話す			オンド族の青年と話す			海底で待つは							
アルフィノと話す			アルフィノと話す			海底で待つは							
スイミングクラブを討伐			スイミングクラブを討伐			海底で待つは							
パウスィー・オーンと話す			パウスィー・オーンと話す			海底で待つは							
これほどの規模になるとは、妖精の力はすごいね。……割れて、水が入ってこないことを、心から祈っているよ。			これほどの規模になるとは、妖精の力はすごいね。……割れて、水が入ってこないことを、心から祈っているよ。			海底で待つは							
はじめて「碧のタマミズ」に行ったときも感動したけど……今回は、ちょっと、規模が違うわ……！			はじめて「碧のタマミズ」に行ったときも感動したけど……今回は、ちょっと、規模が違うわ……！			海底で待つは							
さっそく、進んで参りましょう。			さっそく、進んで参りましょう。			海底で待つは							
すごい……上が全然見えません……！			すごい……上が全然見えません……！			海底で待つは							
『ビスマルク』のことは、ウリエンジェが、妖精たちの相当無茶な要求を呑んで調べ上げたみたいなの。……彼なりの想いがあったのでしょうね。			『ビスマルク』のことは、ウリエンジェが、妖精たちの相当無茶な要求を呑んで調べ上げたみたいなの。……彼なりの想いがあったのでしょうね。			海底で待つは							
さて、どこに向かって進んでいくかだが……エメトセルクもまさか、水晶公を連れて、何もない砂地に佇んでいたりはしないだろう。			さて、どこに向かって進んでいくかだが……エメトセルクもまさか、水晶公を連れて、何もない砂地に佇んでいたりはしないだろう。			海底で待つは							
とすれば、この大陸斜面を深海へと下りつつ、根城にできるような岩場がないか探してみるのがいいだろう。			とすれば、この大陸斜面を深海へと下りつつ、根城にできるような岩場がないか探してみるのがいいだろう。			海底で待つは							
それじゃあ出発だ。水が捌けたばっかりだから、足元には注意するんだぞ。			それじゃあ出発だ。水が捌けたばっかりだから、足元には注意するんだぞ。			海底で待つは							
サンクレッドの言っていた探し方は、妥当だと思うわ。……本当に岩場に潜んでたら、深海魚みたいだとも思ったけど。			サンクレッドの言っていた探し方は、妥当だと思うわ。……本当に岩場に潜んでたら、深海魚みたいだとも思ったけど。			海底で待つは							
ふむ……ここの岩場ではないようですね……。			ふむ……ここの岩場ではないようですね……。			海底で待つは							
この海底、どうやら普通の場所ではないみたい。見たことのない……不可思議なエーテルが視えるわ。			この海底、どうやら普通の場所ではないみたい。見たことのない……不可思議なエーテルが視えるわ。			海底で待つは							
このあたりには、怪しい場所はないようだが……。			このあたりには、怪しい場所はないようだが……。			海底で待つは							
奥に、大きな岩場が見えるな……。行ってみるか？			奥に、大きな岩場が見えるな……。行ってみるか？			海底で待つは							
エメトセルクは、どうしてこの場所を選んだんでしょう。ここの暗さは夜の闇とも違って……なんだか寂しいです。			エメトセルクは、どうしてこの場所を選んだんでしょう。ここの暗さは夜の闇とも違って……なんだか寂しいです。			海底で待つは							
…………！			…………！			海底で待つは							
汝らは……？			汝らは……？			海底で待つは							
あ……さっきの、ヒト……！			あ……さっきの、ヒト……！			海底で待つは							
ヒト、どうして、ここ、いる……！水、吹き飛んだのも、お前たちが……！？			ヒト、どうして、ここ、いる……！水、吹き飛んだのも、お前たちが……！？			海底で待つは							
そうか……このあたりの海底は、君たち「オンド族」が住処にしている場所だったのだね。			そうか……このあたりの海底は、君たち「オンド族」が住処にしている場所だったのだね。			海底で待つは							
急に騒ぎを起こして、すまない。私たちには、どうしても探さなければいけない相手がいて、その捜索のために、海底を巨大な泡で包ませてもらったんだ。			急に騒ぎを起こして、すまない。私たちには、どうしても探さなければいけない相手がいて、その捜索のために、海底を巨大な泡で包ませてもらったんだ。			海底で待つは							
知らずに巻き込んでしまって申し訳ないが、しばしの間、ご協力いただけないだろうか……？			知らずに巻き込んでしまって申し訳ないが、しばしの間、ご協力いただけないだろうか……？			海底で待つは							
ぞ、族長、トルスィー・アースよ……我ら、どう、すべき……？			ぞ、族長、トルスィー・アースよ……我ら、どう、すべき……？			海底で待つは							
