クリスタリウムのハルドルは、冒険者のことを認めつつあるようだ。			クリスタリウムのハルドルは、冒険者のことを認めつつあるようだ。			ナッツクランのモブハント（中級）							
マーティンと話した。彼を連れた状態で、アスタリシア号で情報を集めよう。※同行状態が解除された場合、アスタリシア号付近で「マーティン」に話しかけることで同行を再開できます。			マーティンと話した。彼を連れた状態で、アスタリシア号で情報を集めよう。※同行状態が解除された場合、アスタリシア号付近で「マーティン」に話しかけることで同行を再開できます。			伝説の右腕							
マーティンを連れて、手練れの情報を集め始めた。目ぼしいものはなかったので、熟練の者に聞くことになった。マーティンを連れた状態で、アスタリシア号の「ハストフワブ」と話そう。			マーティンを連れて、手練れの情報を集め始めた。目ぼしいものはなかったので、熟練の者に聞くことになった。マーティンを連れた状態で、アスタリシア号の「ハストフワブ」と話そう。			伝説の右腕							
ハストフワブから、霧髭の右腕だったという「蛸髭」なる斧使いの話を聞いた。その斧使いに会いに行くことになった。リムサ・ロミンサの溺れた海豚亭で「マーティン」と話そう。			ハストフワブから、霧髭の右腕だったという「蛸髭」なる斧使いの話を聞いた。その斧使いに会いに行くことになった。リムサ・ロミンサの溺れた海豚亭で「マーティン」と話そう。			伝説の右腕							
マーティンは蛸髭の実力を試すため、彼と勝負することになった。中央ラノシアのサマーフォードを流れるローグ川付近で、「マーティン」と話そう。			マーティンは蛸髭の実力を試すため、彼と勝負することになった。中央ラノシアのサマーフォードを流れるローグ川付近で、「マーティン」と話そう。			伝説の右腕							
マーティンは新たな青魔法であっさりと蛸髭を倒した。蛸髭の正体はトラッハトゥームで、霧髭の右腕というのは真っ赤な嘘だった。新たな敵役は見つからなかったので、マーティンはほかの地へ向かうようだ。冒険者はペ・ヤンディに報告を頼まれた。ミルバネス礼拝堂付近で「ペ・ヤンディ」と話そう。			マーティンは新たな青魔法であっさりと蛸髭を倒した。蛸髭の正体はトラッハトゥームで、霧髭の右腕というのは真っ赤な嘘だった。新たな敵役は見つからなかったので、マーティンはほかの地へ向かうようだ。冒険者はペ・ヤンディに報告を頼まれた。ミルバネス礼拝堂付近で「ペ・ヤンディ」と話そう。			伝説の右腕							
ペ・ヤンディに諸々報告した。青魔道士の腕を更に上げ、青魔法「スキルトロン」をラーニングして、ペ・ヤンディのもとへ戻ってこよう。※青魔道士のレベルが75以上になり、青魔法「スキルトロン」をラーニングすると、ミルバネス礼拝堂付近のペ・ヤンディから次の青魔道士クエストを受注することができます。			ペ・ヤンディに諸々報告した。青魔道士の腕を更に上げ、青魔法「スキルトロン」をラーニングして、ペ・ヤンディのもとへ戻ってこよう。※青魔道士のレベルが75以上になり、青魔法「スキルトロン」をラーニングすると、ミルバネス礼拝堂付近のペ・ヤンディから次の青魔道士クエストを受注することができます。			伝説の右腕							
メルヴァン税関公社のマーティンと話す			メルヴァン税関公社のマーティンと話す			伝説の右腕							
マーティンと話して同行させる			マーティンと話して同行させる			伝説の右腕							
マーティンを連れてアスタリシア号で情報を集める			マーティンを連れてアスタリシア号で情報を集める			伝説の右腕							
マーティンを連れてハストフワブと話す			マーティンを連れてハストフワブと話す			伝説の右腕							
マーティンと話す			マーティンと話す			伝説の右腕							
ローグ川付近のマーティンと話す			ローグ川付近のマーティンと話す			伝説の右腕							
ウルダハのペ・ヤンディと話す			ウルダハのペ・ヤンディと話す			伝説の右腕							
Forenameさん。申し訳ないのですが、先生のお達しどおり、青魔法「ゴブリンパンチ」をラーニングしてきてもらえませんか……？			Forenameさん。申し訳ないのですが、先生のお達しどおり、青魔法「ゴブリンパンチ」をラーニングしてきてもらえませんか……？			伝説の右腕							
青魔法「ゴブリンパンチ」をラーニングすると、ペ・ヤンディから、次の青魔道士クエストを受注することができます。			青魔法「ゴブリンパンチ」をラーニングすると、ペ・ヤンディから、次の青魔道士クエストを受注することができます。			伝説の右腕							
Forenameさん、青魔道士としてさらに腕を上げられ、青魔法「ゴブリンパンチ」もラーニングされたようですね！			Forenameさん、青魔道士としてさらに腕を上げられ、青魔法「ゴブリンパンチ」もラーニングされたようですね！			伝説の右腕							
新たな敵役(ヒール)探しの旅に出た先生から、連絡が届いてますよ。			新たな敵役(ヒール)探しの旅に出た先生から、連絡が届いてますよ。			伝説の右腕							
なんでも、リムサ・ロミンサにいるらしく、あなたに「メルヴァン税関公社」まで来てほしいそうです。お手数ですが、どうか足を運んであげてください。			なんでも、リムサ・ロミンサにいるらしく、あなたに「メルヴァン税関公社」まで来てほしいそうです。お手数ですが、どうか足を運んであげてください。			伝説の右腕							
先生は、リムサ・ロミンサにいるらしく、あなたに「メルヴァン税関公社」まで来てほしいそうです。お手数ですが、どうか足を運んであげてください。			先生は、リムサ・ロミンサにいるらしく、あなたに「メルヴァン税関公社」まで来てほしいそうです。お手数ですが、どうか足を運んであげてください。			伝説の右腕							
なるほど、勉強になるなぁ……。			なるほど、勉強になるなぁ……。			伝説の右腕							
いいか、巴術を究めたければ、水になれ！そして、考えるな、感じるんだ……！			いいか、巴術を究めたければ、水になれ！そして、考えるな、感じるんだ……！			伝説の右腕							
これは、Forename君。さっそく、師のもとに駆けつけてくれたのだな。			これは、Forename君。さっそく、師のもとに駆けつけてくれたのだな。			伝説の右腕							
ここ、巴術士ギルドは私の古巣なのだ。懐かしくて顔を出したら、特別授業を頼まれてしまってね、後輩に熱烈指導していたところだよ。			ここ、巴術士ギルドは私の古巣なのだ。懐かしくて顔を出したら、特別授業を頼まれてしまってね、後輩に熱烈指導していたところだよ。			伝説の右腕							
マーティンさんの教えは非常に素晴らしい！先輩は巴術士ギルドきっての、魔法学のエリートですからね！			マーティンさんの教えは非常に素晴らしい！先輩は巴術士ギルドきっての、魔法学のエリートですからね！			伝説の右腕							
何がすごいかって、世界各地の魔法体系を研究するために、巴術に留まらず、魔法全般を習得していること！その指導を受けられるなんて、とても光栄です……！			何がすごいかって、世界各地の魔法体系を研究するために、巴術に留まらず、魔法全般を習得していること！その指導を受けられるなんて、とても光栄です……！			伝説の右腕							
何と言う？			何と言う？			伝説の右腕							
ほかの魔法も使えるなんて初耳だ			ほかの魔法も使えるなんて初耳だ			伝説の右腕							
青魔法、ひと筋かと……			青魔法、ひと筋かと……			伝説の右腕							
多くの魔法をこの身で習得していたからこそ、ワラキ族の知識を、青魔法として体系化できたのだよ。			多くの魔法をこの身で習得していたからこそ、ワラキ族の知識を、青魔法として体系化できたのだよ。			伝説の右腕							
もっとも、青魔道士となってからは、その道を究めるため、ほかの魔法は使うまいと自ら禁じているがね。			もっとも、青魔道士となってからは、その道を究めるため、ほかの魔法は使うまいと自ら禁じているがね。			伝説の右腕							
これにて、特別授業は終了とする。私の教えを胸に、これからも精進したまえ。			これにて、特別授業は終了とする。私の教えを胸に、これからも精進したまえ。			伝説の右腕							
これ、少ないですが、ほんの謝礼です。どうぞお納めください。			これ、少ないですが、ほんの謝礼です。どうぞお納めください。			伝説の右腕							
さて、本題に入るとしよう。新たな敵役(ヒール)探しなのだが、私はリムサ・ロミンサの海賊、断罪党に目を付けたのだよ。			さて、本題に入るとしよう。新たな敵役(ヒール)探しなのだが、私はリムサ・ロミンサの海賊、断罪党に目を付けたのだよ。			伝説の右腕							
強者ぞろいの彼らから、とびきりの手練れを聞き出して、スカウトしようと考えている。さっそく、「アスタリシア号」の方へ向かおう。			強者ぞろいの彼らから、とびきりの手練れを聞き出して、スカウトしようと考えている。さっそく、「アスタリシア号」の方へ向かおう。			伝説の右腕							
待てよ、水になれってどういうことだ？いや、考えちゃダメだ、感じないと……！			待てよ、水になれってどういうことだ？いや、考えちゃダメだ、感じないと……！			伝説の右腕							
それでは、断罪党の者たちから、手練れの情報を集めたいと思うのだが……私は海賊という野蛮な連中を苦手としている。			それでは、断罪党の者たちから、手練れの情報を集めたいと思うのだが……私は海賊という野蛮な連中を苦手としている。			伝説の右腕							
そこで、君と共に行動させてもらう。言っておくが、決して怯えているわけじゃないぞ……ただ苦手というだけだからな。			そこで、君と共に行動させてもらう。言っておくが、決して怯えているわけじゃないぞ……ただ苦手というだけだからな。			伝説の右腕							
何をする？			何をする？			伝説の右腕							
話す			話す			伝説の右腕							
同行状態を解除する			同行状態を解除する			伝説の右腕							
キャンセル			キャンセル			伝説の右腕							
海賊と話すのは君に任せよう。これも青魔道士の修業のひとつだと心得えたまえ。			海賊と話すのは君に任せよう。これも青魔道士の修業のひとつだと心得えたまえ。			伝説の右腕							
同行状態を解除します。本当によろしいですか？			同行状態を解除します。本当によろしいですか？			伝説の右腕							
この期に及んで急用とは、君も忙しいな。仕方がない、私はアスタリシア号の近くで待っていよう。			この期に及んで急用とは、君も忙しいな。仕方がない、私はアスタリシア号の近くで待っていよう。			伝説の右腕							
用は済ませたようだな。それでは、アスタリシア号にいる断罪党の者たちから、敵役(ヒール)に相応しい、手練れの情報を集めよう。			用は済ませたようだな。それでは、アスタリシア号にいる断罪党の者たちから、敵役(ヒール)に相応しい、手練れの情報を集めよう。			伝説の右腕							
ああん？断罪党に用でもあんのか……？			ああん？断罪党に用でもあんのか……？			伝説の右腕							
アタイになにか……？			アタイになにか……？			伝説の右腕							
我ら断罪党になにか用か？			我ら断罪党になにか用か？			伝説の右腕							
このクエストを進行させるには、マーティンが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			このクエストを進行させるには、マーティンが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			伝説の右腕							
同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			伝説の右腕							
「桟橋」について話す			「桟橋」について話す			伝説の右腕							
桟橋ではよく積み荷が取引されている。つまり、金銭の支払いが行われるということだ……。			桟橋ではよく積み荷が取引されている。つまり、金銭の支払いが行われるということだ……。			伝説の右腕							
あった……！			あった……！			伝説の右腕							
1ギル拾ったぞ！！			1ギル拾ったぞ！！			伝説の右腕							
ほかにも、コインが落ちてないだろうか……。			ほかにも、コインが落ちてないだろうか……。			伝説の右腕							
ああん？とびきりの手練れだと……？			ああん？とびきりの手練れだと……？			伝説の右腕							
そんなもん、言うまでもねぇ、ウチのヒルフィルのおじきに決まってんだろうがッ！			そんなもん、言うまでもねぇ、ウチのヒルフィルのおじきに決まってんだろうがッ！			伝説の右腕							
現役時代ならともかく、今や高齢で、しかも病に臥せっているはずだ。闘士になるなんて、とても無理……ほかを当たろう。			現役時代ならともかく、今や高齢で、しかも病に臥せっているはずだ。闘士になるなんて、とても無理……ほかを当たろう。			伝説の右腕							
手練れを探してるって？目の前にいる、アタイじゃダメだってのかい……？			手練れを探してるって？目の前にいる、アタイじゃダメだってのかい……？			伝説の右腕							
フン、アタイ以上の者となると、首領代行のシカルドだね。若いながらも、その銃術の腕は本物だよ。			フン、アタイ以上の者となると、首領代行のシカルドだね。若いながらも、その銃術の腕は本物だよ。			伝説の右腕							
現役首領代行を雇うとなると、ギャラも高いはず。そうなると興行師(ラニスタ)としての取り分が……やはり、ほかを当たるしかないな。			現役首領代行を雇うとなると、ギャラも高いはず。そうなると興行師(ラニスタ)としての取り分が……やはり、ほかを当たるしかないな。			伝説の右腕							
そもそも、断罪党から探すのは無理があったか……？しかし、このまま手ぶらで帰るわけにもいかん。			そもそも、断罪党から探すのは無理があったか……？しかし、このまま手ぶらで帰るわけにもいかん。			伝説の右腕							
せめて、手練れの噂がないか聞いてみよう。だとすると、もっと顔が広そうな熟練の海賊がよさそうだな。			せめて、手練れの噂がないか聞いてみよう。だとすると、もっと顔が広そうな熟練の海賊がよさそうだな。			伝説の右腕							
とびきりの手練れなんて、ウチのヒルフィルのおじきに決まってんだろうがッ！			とびきりの手練れなんて、ウチのヒルフィルのおじきに決まってんだろうがッ！			伝説の右腕							
アタイ以上の手練れとなると、首領代行のシカルドだね。若いながらも、その銃術の腕は本物だよ。			アタイ以上の手練れとなると、首領代行のシカルドだね。若いながらも、その銃術の腕は本物だよ。			伝説の右腕							
なに？闘士にするため、手練れを探しているだと……？			なに？闘士にするため、手練れを探しているだと……？			伝説の右腕							
我ら断罪党から引き抜こうなんてやめておけ。そんな人材を外に出す気はないからな。			我ら断罪党から引き抜こうなんてやめておけ。そんな人材を外に出す気はないからな。			伝説の右腕							
で、ですよね。私もそう思ってました……。			で、ですよね。私もそう思ってました……。			伝説の右腕							
なので、もし、ほかに手練れの噂でもあれば、教えてもらいたいのですが……			なので、もし、ほかに手練れの噂でもあれば、教えてもらいたいのですが……			伝説の右腕							
そういえば、伝説の大海賊「霧髭」の右腕だったという斧使いが、最近、溺れた海豚亭に現れると聞いたな……。			そういえば、伝説の大海賊「霧髭」の右腕だったという斧使いが、最近、溺れた海豚亭に現れると聞いたな……。			伝説の右腕							
なんでも、赤い仮面を被った巨漢で、「蛸髭(タコひげ)」と名乗っているそうだ。			なんでも、赤い仮面を被った巨漢で、「蛸髭(タコひげ)」と名乗っているそうだ。			伝説の右腕							
あの霧髭の……それならただ者じゃないはずだ。有益な情報を教えてくれて感謝します！			あの霧髭の……それならただ者じゃないはずだ。有益な情報を教えてくれて感謝します！			伝説の右腕							
伝説の海賊の右腕……敵役(ヒール)にぴったりじゃないか！さっそく「溺れた海豚亭」に向かおう。			伝説の海賊の右腕……敵役(ヒール)にぴったりじゃないか！さっそく「溺れた海豚亭」に向かおう。			伝説の右腕							
伝説の大海賊「霧髭」の右腕だったという斧使いが、最近、溺れた海豚亭に現れると聞いたな……。たしか「蛸髭」と名乗っているそうだ。			伝説の大海賊「霧髭」の右腕だったという斧使いが、最近、溺れた海豚亭に現れると聞いたな……。たしか「蛸髭」と名乗っているそうだ。			伝説の右腕							
すぐにでも勝負できるよう、着替えておいたぞ。それでは、店内で霧髭の右腕だという、「蛸髭」なる斧使いが現れるのを待つとしよう。			すぐにでも勝負できるよう、着替えておいたぞ。それでは、店内で霧髭の右腕だという、「蛸髭」なる斧使いが現れるのを待つとしよう。			伝説の右腕							
(-？？？？-)♪おっれさーま　きりひげの　みぎうでだー♪♪タコひげ　タダざけ　だーいすっき♪♪らんららーるるる、ららららーん♪			(-？？？？-)♪おっれさーま　きりひげの　みぎうでだー♪♪タコひげ　タダざけ　だーいすっき♪♪らんららーるるる、ららららーん♪			伝説の右腕							
どうやら、あれが「蛸髭」のようだぞ。その実力を試すため、さっそく勝負を挑もう！			どうやら、あれが「蛸髭」のようだぞ。その実力を試すため、さっそく勝負を挑もう！			伝説の右腕							
ゲゲッ、お、お前は……！			ゲゲッ、お、お前は……！			伝説の右腕							
き、霧髭の右腕、「蛸髭」だなッ！？腕に覚えがあるというなら、この私と勝負しろ……！			き、霧髭の右腕、「蛸髭」だなッ！？腕に覚えがあるというなら、この私と勝負しろ……！			伝説の右腕							
な、なんだなんだー？おかしな格好しやがって、俺様にケンカ売るってのか？			な、なんだなんだー？おかしな格好しやがって、俺様にケンカ売るってのか？			伝説の右腕							
お前が相手だってんなら、や、やってやろうじゃねぇか！表へ出ろ、ローグ川の辺りで勝負だ！			お前が相手だってんなら、や、やってやろうじゃねぇか！表へ出ろ、ローグ川の辺りで勝負だ！			伝説の右腕							
奴の姿が見えんが、まさか逃げたか……？			奴の姿が見えんが、まさか逃げたか……？			伝説の右腕							
し、尻尾を巻いて逃げたかと思ったぞッ！			し、尻尾を巻いて逃げたかと思ったぞッ！			伝説の右腕							
お、お前こそ、逃げるなら、いまのうちだぞッ！			お、お前こそ、逃げるなら、いまのうちだぞッ！			伝説の右腕							
手加減はせん！			手加減はせん！			伝説の右腕							
まだまだー！！			まだまだー！！			伝説の右腕							
もういっちょーーー！！			もういっちょーーー！！			伝説の右腕							
どうだ！参ったか、この筋肉ダルマめ……！			どうだ！参ったか、この筋肉ダルマめ……！			伝説の右腕							
やりすぎてしまったか！？			やりすぎてしまったか！？			伝説の右腕							
息はあるか？仮面をとって確認しよう……			息はあるか？仮面をとって確認しよう……			伝説の右腕							
何と言う？			何と言う？			伝説の右腕							
やっぱり、トラッハトゥームだったか			やっぱり、トラッハトゥームだったか			伝説の右腕							
タコタンの人？			タコタンの人？			伝説の右腕							
す、すいませんっしたぁぁぁぁ！！！霧髭の右腕のフリをしてれば、酒をおごってもらえるもんでつい……。			す、すいませんっしたぁぁぁぁ！！！霧髭の右腕のフリをしてれば、酒をおごってもらえるもんでつい……。			伝説の右腕							
知ってのとおり、俺はケチで名もない傭兵くずれっす！こ、今度こそ心を入れ替えますから……			知ってのとおり、俺はケチで名もない傭兵くずれっす！こ、今度こそ心を入れ替えますから……			伝説の右腕							
どうか許してーーーーーー！			どうか許してーーーーーー！			伝説の右腕							
結局、偽物だったというわけか……			結局、偽物だったというわけか……			伝説の右腕							
まあ、たとえ本物だったとしても、私に負けた相手なら、敵役(ヒール)として不合格ということ。またどこかで別の候補を探さなければ……。			まあ、たとえ本物だったとしても、私に負けた相手なら、敵役(ヒール)として不合格ということ。またどこかで別の候補を探さなければ……。			伝説の右腕							
私はほかの土地へ向かおうと思う。君はウルダハに戻って、ペ・ヤンディに報告してくれたまえ。			私はほかの土地へ向かおうと思う。君はウルダハに戻って、ペ・ヤンディに報告してくれたまえ。			伝説の右腕							
進展があれば、再び協力してほしい。では、また会おう。			進展があれば、再び協力してほしい。では、また会おう。			伝説の右腕							
Forenameさん、お帰りなさい！首尾はいかがでしょう？			Forenameさん、お帰りなさい！首尾はいかがでしょう？			伝説の右腕							
なるほど、リムサ・ロミンサでは、新たな敵役(ヒール)は見つかりませんでしたか……。ロイスさんには私から報告しておきますね。			なるほど、リムサ・ロミンサでは、新たな敵役(ヒール)は見つかりませんでしたか……。ロイスさんには私から報告しておきますね。			伝説の右腕							
何はともあれ、ご協力ありがとうございます！そうそう、先生からあなたにラーニングしておいてほしい、青魔法をお伝えするよう頼まれていたのでした。			何はともあれ、ご協力ありがとうございます！そうそう、先生からあなたにラーニングしておいてほしい、青魔法をお伝えするよう頼まれていたのでした。			伝説の右腕							
次は「スキルトロン」をラーニングして、さらに腕を上げてきてくれることを期待してますよ。それでは、またお会いしましょう。			次は「スキルトロン」をラーニングして、さらに腕を上げてきてくれることを期待してますよ。それでは、またお会いしましょう。			伝説の右腕							
リダ・ラーンのスール＝ウィンは、冒険者たちの望みを聞きたいようだ。			リダ・ラーンのスール＝ウィンは、冒険者たちの望みを聞きたいようだ。			封印の鍵							
スール＝ウィンから、リェー・ギア城の封印を解くための最初の宝、純白のドレスを受け取った。次なる宝を手に入れるため、イル・メグの「触れ得ざる門」を調べよう。			スール＝ウィンから、リェー・ギア城の封印を解くための最初の宝、純白のドレスを受け取った。次なる宝を手に入れるため、イル・メグの「触れ得ざる門」を調べよう。			封印の鍵							
触れ得ざる門を調べていたところ、フーア族から招待を受けた。彼らが待ち受ける禁断の園、「ドォーヌ・メグ」に突入しよう。※進入地点付近にいる仲間たちと話し「パーティを編成して突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、仲間NPCと一緒に攻略ができます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。			触れ得ざる門を調べていたところ、フーア族から招待を受けた。彼らが待ち受ける禁断の園、「ドォーヌ・メグ」に突入しよう。※進入地点付近にいる仲間たちと話し「パーティを編成して突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、仲間NPCと一緒に攻略ができます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。			封印の鍵							
ドォーヌ・メグを踏破した。貝殻の王冠をもらって、イル・メグに戻ろう。			ドォーヌ・メグを踏破した。貝殻の王冠をもらって、イル・メグに戻ろう。			封印の鍵							
気がつくと、湖底に沈められていた。地上に戻り、「ウリエンジェ」たちを探そう。			気がつくと、湖底に沈められていた。地上に戻り、「ウリエンジェ」たちを探そう。			封印の鍵							
ウリエンジェたちと合流し、貝殻の王冠を預かった。同時に、ピクシー族からの連絡で、ユールモア軍が侵攻してきていることを知った。その牽制に向かったアルフィノたちのためにも、宝集めを再開しよう。			ウリエンジェたちと合流し、貝殻の王冠を預かった。同時に、ピクシー族からの連絡で、ユールモア軍が侵攻してきていることを知った。その牽制に向かったアルフィノたちのためにも、宝集めを再開しよう。			封印の鍵							
触れ得ざる門を調べる			触れ得ざる門を調べる			封印の鍵							
「水妖幻園 ドォーヌ・メグ」を攻略			「水妖幻園 ドォーヌ・メグ」を攻略			封印の鍵							
ウリエンジェを探す			ウリエンジェを探す			封印の鍵							
君たちが、迅速に戻ってきてくれてよかったよ。ピクシー族は妙に双子が好きなようでね、あと少し遅ければ、アリゼーと服を取り換えさせられていたかもしれない……。			君たちが、迅速に戻ってきてくれてよかったよ。ピクシー族は妙に双子が好きなようでね、あと少し遅ければ、アリゼーと服を取り換えさせられていたかもしれない……。			封印の鍵							
ふ、ふふふふ……ふふ……！あなたが変なタイミングで戻ってこなくて、本当によかった！ええ！　本当！　にッ！			ふ、ふふふふ……ふふ……！あなたが変なタイミングで戻ってこなくて、本当によかった！ええ！　本当！　にッ！			封印の鍵							
……あとで、アルフィノとアリゼーを労ってやってくれ。お前の助けになれたとあれば、多少は報われるはずだ。			……あとで、アルフィノとアリゼーを労ってやってくれ。お前の助けになれたとあれば、多少は報われるはずだ。			封印の鍵							
私たちの留守中に、ここで何があったんでしょう……？			私たちの留守中に、ここで何があったんでしょう……？			封印の鍵							
ひとまずは、手土産を気に入ってもらえたようで何よりです。			ひとまずは、手土産を気に入ってもらえたようで何よりです。			封印の鍵							
教えて、ワタシたちは何で応えればいいの？ヒトといえば、フッブートの埋もれた金貨などかしら？			教えて、ワタシたちは何で応えればいいの？ヒトといえば、フッブートの埋もれた金貨などかしら？			封印の鍵							
いいえ、私たちの目的は、大罪喰いを倒すこと。そのために、リェー・ギア城の封印を解いてほしいのです。			いいえ、私たちの目的は、大罪喰いを倒すこと。そのために、リェー・ギア城の封印を解いてほしいのです。			封印の鍵							
あらまあ！そんなことしたら、あなたたち死んじゃうわよ？お礼に死にたいなんて、変わったヒトたちね！			あらまあ！そんなことしたら、あなたたち死んじゃうわよ？お礼に死にたいなんて、変わったヒトたちね！			封印の鍵							
だけど、それが望みなら……仲間たちと相談してくるから、少し待っていて。			だけど、それが望みなら……仲間たちと相談してくるから、少し待っていて。			封印の鍵							
久しぶりに会えたと思ったら、ずいぶん話が急じゃない？私たちにも掻い摘んで説明を頼むわ、ウリエンジェ。			久しぶりに会えたと思ったら、ずいぶん話が急じゃない？私たちにも掻い摘んで説明を頼むわ、ウリエンジェ。			封印の鍵							
なるほど、それでピクシー族に手土産を……。			なるほど、それでピクシー族に手土産を……。			封印の鍵							
そこまで調べがついてるなら、大罪喰いがどんな奴なのか、もう少し情報はないの？			そこまで調べがついてるなら、大罪喰いがどんな奴なのか、もう少し情報はないの？			封印の鍵							
あるには、あります。このイル・メグの大罪喰いは……			あるには、あります。このイル・メグの大罪喰いは……			封印の鍵							
ワタシたちの王、妖精王「ティターニア」様よ。			ワタシたちの王、妖精王「ティターニア」様よ。			封印の鍵							
もちろん、最初からそうだったわけじゃないわ。我らが王は、イル・メグを襲撃しに来た大罪喰いと戦って、それを倒した……倒してしまったの。			もちろん、最初からそうだったわけじゃないわ。我らが王は、イル・メグを襲撃しに来た大罪喰いと戦って、それを倒した……倒してしまったの。			封印の鍵							
それによって放たれた光がティターニア様を侵し、新たなる大罪喰いに変えてしまった……。			それによって放たれた光がティターニア様を侵し、新たなる大罪喰いに変えてしまった……。			封印の鍵							
