バルデシオン分館のクルルは、グ・ラハ・ティアと何か話していたようだ。			バルデシオン分館のクルルは、グ・ラハ・ティアと何か話していたようだ。			シャーレアン魔法大学							
オレは魔法大学の学生じゃなかったから、会いたい知人がいるわけでもない。というわけで、今回は素直に留守番だ。			オレは魔法大学の学生じゃなかったから、会いたい知人がいるわけでもない。というわけで、今回は素直に留守番だ。			シャーレアン魔法大学							
まあ、かの有名な「フェノメノン大講堂」に、どんな史料が収められてるかには興味がなくも……ないが、そこは、その……ちゃんとわきまえてるからな！			まあ、かの有名な「フェノメノン大講堂」に、どんな史料が収められてるかには興味がなくも……ないが、そこは、その……ちゃんとわきまえてるからな！			シャーレアン魔法大学							
賢具を……もっと自在に……！			賢具を……もっと自在に……！			シャーレアン魔法大学							
あら……？もしかして、どこかに出かけるの？			あら……？もしかして、どこかに出かけるの？			シャーレアン魔法大学							
へえ、魔法大学に……。モンティシェーニュ様には私もお礼を言いたかったし、もちろん行かせてもらうわ！			へえ、魔法大学に……。モンティシェーニュ様には私もお礼を言いたかったし、もちろん行かせてもらうわ！			シャーレアン魔法大学							
そうだね、私も同行させてもらおう。今はあまり、学生たちにいい顔をされないかもしれないが……。			そうだね、私も同行させてもらおう。今はあまり、学生たちにいい顔をされないかもしれないが……。			シャーレアン魔法大学							
……アルフィノなら、その心配は絶ッ対にいらないと思うわよ。			……アルフィノなら、その心配は絶ッ対にいらないと思うわよ。			シャーレアン魔法大学							
とりあえず、行きましょ！目指すは「フェノメノン大講堂」ね！			とりあえず、行きましょ！目指すは「フェノメノン大講堂」ね！			シャーレアン魔法大学							
懐かしいな……。この大講堂には、在学中、毎日のように通ったものだよ。			懐かしいな……。この大講堂には、在学中、毎日のように通ったものだよ。			シャーレアン魔法大学							
扉の上の方、水瓶の紋章が見えるでしょ？あれはサリャク神の持つ、知恵の水瓶よ。魔法大学の掲げる印でもあるの。			扉の上の方、水瓶の紋章が見えるでしょ？あれはサリャク神の持つ、知恵の水瓶よ。魔法大学の掲げる印でもあるの。			シャーレアン魔法大学							
ここが「フェノメノン大講堂」……シャーレアン魔法大学でもっとも歴史が古く、大きく、格式高いとされている、中心的な建物よ。			ここが「フェノメノン大講堂」……シャーレアン魔法大学でもっとも歴史が古く、大きく、格式高いとされている、中心的な建物よ。			シャーレアン魔法大学							
講堂といっても、ただ講話を聴くだけの場所じゃないわ。さまざまな分野の実験室から、魔法の実践に使う部屋、事務的な補助を行う学生課まで、いろいろ入っているの。			講堂といっても、ただ講話を聴くだけの場所じゃないわ。さまざまな分野の実験室から、魔法の実践に使う部屋、事務的な補助を行う学生課まで、いろいろ入っているの。			シャーレアン魔法大学							
フェノメノンとは、「現象」を意味する言葉だからね。最初に研究されたのは、エーテルによって生じる現象……すなわち魔法だった。			フェノメノンとは、「現象」を意味する言葉だからね。最初に研究されたのは、エーテルによって生じる現象……すなわち魔法だった。			シャーレアン魔法大学							
以来、世界を織り成す多種多様な現象が、ここで実践的に学ばれてきたんだ。			以来、世界を織り成す多種多様な現象が、ここで実践的に学ばれてきたんだ。			シャーレアン魔法大学							
第六星暦432年、この講堂の完成とともに、シャーレアン魔法大学は開校した。			第六星暦432年、この講堂の完成とともに、シャーレアン魔法大学は開校した。			シャーレアン魔法大学							
今日に至るまで積み重ねられてきた現象の追及……エーテル学、魔法学、神秘学、占星学などでの研究実績は、この大学を名実ともに……			今日に至るまで積み重ねられてきた現象の追及……エーテル学、魔法学、神秘学、占星学などでの研究実績は、この大学を名実ともに……			シャーレアン魔法大学							
(-アリゼー＆クルル-)シャーレアンの最高学府たらしめている！			(-アリゼー＆クルル-)シャーレアンの最高学府たらしめている！			シャーレアン魔法大学							
ふふふ……言うと思った……。アルフィノくん、新入生への案内とか得意だったものね……！			ふふふ……言うと思った……。アルフィノくん、新入生への案内とか得意だったものね……！			シャーレアン魔法大学							
Forename、いい？ここはアルフィノ伝説の巣窟よ。			Forename、いい？ここはアルフィノ伝説の巣窟よ。			シャーレアン魔法大学							
史上最年少の11歳で入学を果たし、魔法学やエーテル学で修士号を取得して華々しく卒業するまで、成績はもちろん、学内での討論でも負けなしの男……！			史上最年少の11歳で入学を果たし、魔法学やエーテル学で修士号を取得して華々しく卒業するまで、成績はもちろん、学内での討論でも負けなしの男……！			シャーレアン魔法大学							
あら、11歳で入学はアリゼーも同じでしょう？私から見たら、ふたりとも信じられないくらい優秀だわ。			あら、11歳で入学はアリゼーも同じでしょう？私から見たら、ふたりとも信じられないくらい優秀だわ。			シャーレアン魔法大学							
同じ11歳でも、アルフィノより半年遅れてたもの。修士号もとらなかったし、討論も好きじゃなかったから参加しなかった。			同じ11歳でも、アルフィノより半年遅れてたもの。修士号もとらなかったし、討論も好きじゃなかったから参加しなかった。			シャーレアン魔法大学							
まあ、何でもいいわよ私のことは。大事なのは、アルフィノがここで一目置かれてるってこと。			まあ、何でもいいわよ私のことは。大事なのは、アルフィノがここで一目置かれてるってこと。			シャーレアン魔法大学							
私たちの噂は、魔法大学にだって届いてるでしょうけど、ラストスタンドで聞き込みをしたときみたいに、邪険に扱われることはないと思うわ。			私たちの噂は、魔法大学にだって届いてるでしょうけど、ラストスタンドで聞き込みをしたときみたいに、邪険に扱われることはないと思うわ。			シャーレアン魔法大学							
……その人気ぶりを、いちばん近くで、嫌ってほど見てきた私が言うんだから、間違いないわよ。			……その人気ぶりを、いちばん近くで、嫌ってほど見てきた私が言うんだから、間違いないわよ。			シャーレアン魔法大学							
それじゃあ、中に入りましょうか。			それじゃあ、中に入りましょうか。			シャーレアン魔法大学							
モンティシェーニュ様は、大講堂の一角にある学長室でお仕事をなさっているけれど、それ以外のときは各教室を見回ってらっしゃるの。			モンティシェーニュ様は、大講堂の一角にある学長室でお仕事をなさっているけれど、それ以外のときは各教室を見回ってらっしゃるの。			シャーレアン魔法大学							
きっと今日も、大講堂内のどこかでお会いできるはず。手分けして、学生たちに居場所を聞いてみましょう！			きっと今日も、大講堂内のどこかでお会いできるはず。手分けして、学生たちに居場所を聞いてみましょう！			シャーレアン魔法大学							
君たち、やめてくれたまえ……！今日はただ、学長にお話があってだね……。			君たち、やめてくれたまえ……！今日はただ、学長にお話があってだね……。			シャーレアン魔法大学							
(-意気込む魔法大学生-)学長に！？それはやはり、世界の救済に関わる、重大な案件なのでしょうか！？			(-意気込む魔法大学生-)学長に！？それはやはり、世界の救済に関わる、重大な案件なのでしょうか！？			シャーレアン魔法大学							
(-真剣な魔法大学生-)先輩の論文、何度も読み直してます。我が国の姿勢には、自分も疑問を感じていて……。			(-真剣な魔法大学生-)先輩の論文、何度も読み直してます。我が国の姿勢には、自分も疑問を感じていて……。			シャーレアン魔法大学							
(-目を輝かせる魔法大学生-)聞いたところによると、先輩は国外で見識を広げたのち、先日ついに議員たちと舌戦を交わしたとか！くううっ、さすが魔法大学最強の討論王ですッ！			(-目を輝かせる魔法大学生-)聞いたところによると、先輩は国外で見識を広げたのち、先日ついに議員たちと舌戦を交わしたとか！くううっ、さすが魔法大学最強の討論王ですッ！			シャーレアン魔法大学							
見てごらんなさい、あれがアルフィノの日常だったのよ。……私の言ったとおりでしょ？			見てごらんなさい、あれがアルフィノの日常だったのよ。……私の言ったとおりでしょ？			シャーレアン魔法大学							
もちろん、在学中には、ライバル視する人だって少なくなかったわ。けど、みんなすぐに挫かれていった……。			もちろん、在学中には、ライバル視する人だって少なくなかったわ。けど、みんなすぐに挫かれていった……。			シャーレアン魔法大学							
しかも、アルフィノ当人には、張り合ってたって認識すらないのよ。相手は哀れとしか言いようがなかったわ……。			しかも、アルフィノ当人には、張り合ってたって認識すらないのよ。相手は哀れとしか言いようがなかったわ……。			シャーレアン魔法大学							
この教室には、いらっしゃらなかったわ。「さっきすれ違いざまに挨拶をした」って子がいたから、近くにいるんじゃないかと思うんだけれど……。			この教室には、いらっしゃらなかったわ。「さっきすれ違いざまに挨拶をした」って子がいたから、近くにいるんじゃないかと思うんだけれど……。			シャーレアン魔法大学							
お、おい、今ここを通ったのって、アルフィノ先輩だったよな！？			お、おい、今ここを通ったのって、アルフィノ先輩だったよな！？			シャーレアン魔法大学							
しかも、妹君と、ガラフ様の後継者まで連れて……こりゃあ絶対に大事件だぞ。早くみんなに言わなくちゃ……！			しかも、妹君と、ガラフ様の後継者まで連れて……こりゃあ絶対に大事件だぞ。早くみんなに言わなくちゃ……！			シャーレアン魔法大学							
……うん？　学長を見かけなかったかって？いや、俺は見てないな。選者殿(せんじゃでん)の「キィ・アリアポー」さんに聞いてみたらどうだ？			……うん？　学長を見かけなかったかって？いや、俺は見てないな。選者殿(せんじゃでん)の「キィ・アリアポー」さんに聞いてみたらどうだ？			シャーレアン魔法大学							
あんな大物卒業生たちが、連れ立って帰ってきたんだ。絶対に、ただごとじゃないよな……！			あんな大物卒業生たちが、連れ立って帰ってきたんだ。絶対に、ただごとじゃないよな……！			シャーレアン魔法大学							
おや、アナタは……魔法大学の学生ではありませんね。			おや、アナタは……魔法大学の学生ではありませんね。			シャーレアン魔法大学							
どことなく旅慣れた風ですし、ギルドシップから紹介を受けた、新任のグリーナーとお見受けします。			どことなく旅慣れた風ですし、ギルドシップから紹介を受けた、新任のグリーナーとお見受けします。			シャーレアン魔法大学							
よくぞお越しくださいました！ここはシャーレアン魔法大学の選者殿、私は窓口を務める、キィ・アリアポーです。			よくぞお越しくださいました！ここはシャーレアン魔法大学の選者殿、私は窓口を務める、キィ・アリアポーです。			シャーレアン魔法大学							
すでにご存知かもしれませんが、この場所について、軽く説明させていただきますね。			すでにご存知かもしれませんが、この場所について、軽く説明させていただきますね。			シャーレアン魔法大学							
選者殿は、魔法大学の生徒や教員が、研究に必要な資材をそろえるための場所です。			選者殿は、魔法大学の生徒や教員が、研究に必要な資材をそろえるための場所です。			シャーレアン魔法大学							
私が必要なものを伺って、在庫があればお出ししますし、なければグリーナーに調達を依頼します。			私が必要なものを伺って、在庫があればお出ししますし、なければグリーナーに調達を依頼します。			シャーレアン魔法大学							
なにせ、ここは魔法大学ですから……簡単には手に入らない品を求められることも多いんです。			なにせ、ここは魔法大学ですから……簡単には手に入らない品を求められることも多いんです。			シャーレアン魔法大学							
ということで、アナタにも、これからたくさん依頼をさせていただきますね。どうぞよろしくお願いします！			ということで、アナタにも、これからたくさん依頼をさせていただきますね。どうぞよろしくお願いします！			シャーレアン魔法大学							
何と言う？			何と言う？			シャーレアン魔法大学							
学長を探してるだけなんだけど……			学長を探してるだけなんだけど……			シャーレアン魔法大学							
仕事に興味はあるが、グリーナーじゃない			仕事に興味はあるが、グリーナーじゃない			シャーレアン魔法大学							
モンティシェーニュ学長を？では、グリーナーではない……！？			モンティシェーニュ学長を？では、グリーナーではない……！？			シャーレアン魔法大学							
グリーナーではない？モンティシェーニュ学長を探しているだけ……！？			グリーナーではない？モンティシェーニュ学長を探しているだけ……！？			シャーレアン魔法大学							
こ、これは失礼いたしました！ちょうど今日、学長にお会いしましたが、「工匠殿(こうしょうでん)」の様子を見に行く予定だとおっしゃっていましたよ。			こ、これは失礼いたしました！ちょうど今日、学長にお会いしましたが、「工匠殿(こうしょうでん)」の様子を見に行く予定だとおっしゃっていましたよ。			シャーレアン魔法大学							
エントランスを挟んで、選者殿の反対にある部屋です。学生が自由に使うことのできる工房なのですが、個人では買えないような機材もあるので、重宝されています。			エントランスを挟んで、選者殿の反対にある部屋です。学生が自由に使うことのできる工房なのですが、個人では買えないような機材もあるので、重宝されています。			シャーレアン魔法大学							
時間的に、もう立ち去ったあとかもしれませんが……そこにいる学生に聞いていただければ、行き先もわかるかと！			時間的に、もう立ち去ったあとかもしれませんが……そこにいる学生に聞いていただければ、行き先もわかるかと！			シャーレアン魔法大学							
ああ、学長なら確かに、さっきまでここにいたよ。僕の製作した魔具に、意見をくださったんだ。			ああ、学長なら確かに、さっきまでここにいたよ。僕の製作した魔具に、意見をくださったんだ。			シャーレアン魔法大学							
次にどこに向かうかは聞いていないけど、廊下を奥の方に進んでいったから、講堂のどれかにいるんじゃないかな？			次にどこに向かうかは聞いていないけど、廊下を奥の方に進んでいったから、講堂のどれかにいるんじゃないかな？			シャーレアン魔法大学							
今日は、たまたま工匠殿がすいていてラッキーだったよ。ここに入り浸る学生は、少なくないからね。			今日は、たまたま工匠殿がすいていてラッキーだったよ。ここに入り浸る学生は、少なくないからね。			シャーレアン魔法大学							
フェノメノン大講堂を利用できるようになりました！魔法大学の仕事に興味がある場合は、選者殿にいる「キィ・アリアポー」を訪ねてみましょう。			フェノメノン大講堂を利用できるようになりました！魔法大学の仕事に興味がある場合は、選者殿にいる「キィ・アリアポー」を訪ねてみましょう。			シャーレアン魔法大学							
公開講堂のクルルは、モンティシェーニュの言葉を反芻しているようだ。			公開講堂のクルルは、モンティシェーニュの言葉を反芻しているようだ。			志ある者たち							
メインホールのグ・ラハ・ティアと話す			メインホールのグ・ラハ・ティアと話す			志ある者たち							
アドミラルブリッジ：提督室へ向かう			アドミラルブリッジ：提督室へ向かう			志ある者たち							
アラミガン・クォーターのラウバーンと話す			アラミガン・クォーターのラウバーンと話す			志ある者たち							
学長は、魔法学の権威でいらっしゃるんだ。研究者としてはもちろん、魔道士としても超一流さ。			学長は、魔法学の権威でいらっしゃるんだ。研究者としてはもちろん、魔道士としても超一流さ。			志ある者たち							
あれほど身近に、まるで手足のように魔法を扱う人を、私はほかにみたことがないよ。			あれほど身近に、まるで手足のように魔法を扱う人を、私はほかにみたことがないよ。			志ある者たち							
モンティシェーニュ様は、ルイゾワお祖父様と親しくてね、よくうちにお茶を飲みに来てたのよ。			モンティシェーニュ様は、ルイゾワお祖父様と親しくてね、よくうちにお茶を飲みに来てたのよ。			志ある者たち							
さっきの授業みたいに、昔から楽しい魔法をたくさん見せてくれたの。間違いなく、私が魔法大学を目指した理由のひとつだわ。			さっきの授業みたいに、昔から楽しい魔法をたくさん見せてくれたの。間違いなく、私が魔法大学を目指した理由のひとつだわ。			志ある者たち							
思いがけず、重大な話を聞くことができたわね。今回の件に関して、議員の見解が不自然にそろっていたのには、そんな事情があったんだわ……。			思いがけず、重大な話を聞くことができたわね。今回の件に関して、議員の見解が不自然にそろっていたのには、そんな事情があったんだわ……。			志ある者たち							
お礼を言いにきたつもりが、かえってお世話になっちゃった気もするけれど……ひとまず目的達成ってことで、分館に帰りましょうか。			お礼を言いにきたつもりが、かえってお世話になっちゃった気もするけれど……ひとまず目的達成ってことで、分館に帰りましょうか。			志ある者たち							
せっかくだし、あなたはキィ・アリアポーさんのところに、寄ってきてもいいからね！私たちは先に帰って、ラハくんにも聞いた話を共有しておくわ。			せっかくだし、あなたはキィ・アリアポーさんのところに、寄ってきてもいいからね！私たちは先に帰って、ラハくんにも聞いた話を共有しておくわ。			志ある者たち							
エスティニアンも、いいタイミングで戻ってきてくれたようだね。			エスティニアンも、いいタイミングで戻ってきてくれたようだね。			志ある者たち							
結局、キィ・アリアポーのところには寄ってきたの？紹介されたのが彼女ってことは、単に勉強できる場を設けてくれるってわけじゃなくて……			結局、キィ・アリアポーのところには寄ってきたの？紹介されたのが彼女ってことは、単に勉強できる場を設けてくれるってわけじゃなくて……			志ある者たち							
まあ、私が口出しすることじゃないか。学生と一緒にがんばるって意味では、間違ってないわけだし。あなたならきっと、いい経験として活かせるでしょうしね。			まあ、私が口出しすることじゃないか。学生と一緒にがんばるって意味では、間違ってないわけだし。あなたならきっと、いい経験として活かせるでしょうしね。			志ある者たち							
モンティシェーニュ様から聞いたことは、話しておいたわ。魂と記憶にまつわることだから、ラハくん、私の説明でも理解が及んだみたい。			モンティシェーニュ様から聞いたことは、話しておいたわ。魂と記憶にまつわることだから、ラハくん、私の説明でも理解が及んだみたい。			志ある者たち							
サベネア島の方にかかりきりで、この街を把握しきれていなかったからな。適当に回ってきたのさ。			サベネア島の方にかかりきりで、この街を把握しきれていなかったからな。適当に回ってきたのさ。			志ある者たち							
Forename、おかえり。魔法大学の方、収穫があったみたいだな。			Forename、おかえり。魔法大学の方、収穫があったみたいだな。			志ある者たち							
実は、こっちも……各国と霊鱗の使い方を協議していたヤ・シュトラたちから、今しがた、連絡が入ったんだよ。			実は、こっちも……各国と霊鱗の使い方を協議していたヤ・シュトラたちから、今しがた、連絡が入ったんだよ。			志ある者たち							
いわく、事情を聞いた盟主たちは、すぐに対応を検討。グランドカンパニー・エオルゼアと東方連合で協議し、ひとつの結論を導き出したそうだ。			いわく、事情を聞いた盟主たちは、すぐに対応を検討。グランドカンパニー・エオルゼアと東方連合で協議し、ひとつの結論を導き出したそうだ。			志ある者たち							
その内容を、盟主たちが直々に伝えたがってるらしくてな。「護魂の霊鱗」を持って、リムサ・ロミンサの、アドミラルブリッジに向かってほしい……とのことだった。			その内容を、盟主たちが直々に伝えたがってるらしくてな。「護魂の霊鱗」を持って、リムサ・ロミンサの、アドミラルブリッジに向かってほしい……とのことだった。			志ある者たち							
ヤ・シュトラたちがそう言ってるってことは、悪い話じゃないと思っていいのかしら？			ヤ・シュトラたちがそう言ってるってことは、悪い話じゃないと思っていいのかしら？			志ある者たち							
恐らくはな。具体的なことは、教えてもらえなかったが。			恐らくはな。具体的なことは、教えてもらえなかったが。			志ある者たち							
拒むような理由もないし、みんなでリムサ・ロミンサに向かうってことでいいか？			拒むような理由もないし、みんなでリムサ・ロミンサに向かうってことでいいか？			志ある者たち							
だったら、保管庫から霊鱗を出してくるわ。エスティニアンさん、手伝ってもらっていいかしら？			だったら、保管庫から霊鱗を出してくるわ。エスティニアンさん、手伝ってもらっていいかしら？			志ある者たち							
さてと……これで間違いなく全部ね。			さてと……これで間違いなく全部ね。			志ある者たち							
ヴリトラ様と、ラザハンのみんなが拓いてくれた活路、大切に使ってもらってね。			ヴリトラ様と、ラザハンのみんなが拓いてくれた活路、大切に使ってもらってね。			志ある者たち							
……って、クルルは一緒に行かないの？			……って、クルルは一緒に行かないの？			志ある者たち							
査問会はどうにか切り抜けたけれど、私たちは、哲学者議会から目をつけられてる。			査問会はどうにか切り抜けたけれど、私たちは、哲学者議会から目をつけられてる。			志ある者たち							
そんな中で、体面上は代表をしている私までもが、各国盟主の集まる場所に行ったとしたら……私たちを危険因子として追い出す口実にされかねない。			そんな中で、体面上は代表をしている私までもが、各国盟主の集まる場所に行ったとしたら……私たちを危険因子として追い出す口実にされかねない。			志ある者たち							
残念だけど、私はここに残って、マトーヤ様や協力者たちからの連絡を受けることにするわ。			残念だけど、私はここに残って、マトーヤ様や協力者たちからの連絡を受けることにするわ。			志ある者たち							
わかりました。こちらのことは、クルルさんにお任せします。			わかりました。こちらのことは、クルルさんにお任せします。			志ある者たち							
残りの皆で、霊鱗を持って出発しよう……リムサ・ロミンサの、アドミラルブリッジへ！			残りの皆で、霊鱗を持って出発しよう……リムサ・ロミンサの、アドミラルブリッジへ！			志ある者たち							
何かあったら、リンクパール通信で。こっちのことは気にしなくていいから、みんなの心に従って、進むべき道を選んでね。			何かあったら、リンクパール通信で。こっちのことは気にしなくていいから、みんなの心に従って、進むべき道を選んでね。			志ある者たち							
君も来たか。アドミラルブリッジの提督室で、メルウィブ提督と、カヌ・エ・センナ様、ナナモ・ウル・ナモ様がお待ちだ。			君も来たか。アドミラルブリッジの提督室で、メルウィブ提督と、カヌ・エ・センナ様、ナナモ・ウル・ナモ様がお待ちだ。			志ある者たち							
そうそうたる顔ぶれからして、重大な話があることは、察してもらえるだろう。……準備がよければ案内するが、どうする？			そうそうたる顔ぶれからして、重大な話があることは、察してもらえるだろう。……準備がよければ案内するが、どうする？			志ある者たち							
「アドミラルブリッジ：提督室」へ移動しますか？			「アドミラルブリッジ：提督室」へ移動しますか？			志ある者たち							
シャーレアン本国に滞在中のところ、呼び戻してしまってすまない。要請に応じてくれたことに感謝する。			シャーレアン本国に滞在中のところ、呼び戻してしまってすまない。要請に応じてくれたことに感謝する。			志ある者たち							
こちらこそ、貴重な機会をありがとうございます。まさか、お三方にお待ちいただいているとは……。			こちらこそ、貴重な機会をありがとうございます。まさか、お三方にお待ちいただいているとは……。			志ある者たち							
むしろ、これからお伝えする内容を思えば、関わるすべての者を集め、会談の場を設けさせていただくべきだったでしょう。			むしろ、これからお伝えする内容を思えば、関わるすべての者を集め、会談の場を設けさせていただくべきだったでしょう。			志ある者たち							
しかし、各地では、今なお塔を巡って血が流れている……。一刻も早くこの問題を解決するため、ほかの国の盟主たちには、「ある準備」を進めてもらっています。			しかし、各地では、今なお塔を巡って血が流れている……。一刻も早くこの問題を解決するため、ほかの国の盟主たちには、「ある準備」を進めてもらっています。			志ある者たち							
従って、このような形でお話しさせていただくこと、どうかご容赦ください。			従って、このような形でお話しさせていただくこと、どうかご容赦ください。			志ある者たち							
お気になさらず。対策を優先していただきたい気持ちは、こちらも同じです。			お気になさらず。対策を優先していただきたい気持ちは、こちらも同じです。			志ある者たち							
……ところで、「ある準備」とは？			……ところで、「ある準備」とは？			志ある者たち							
それを話すには、まず、そなたらが命懸けで獲得してくれた「護魂の霊鱗」に対し、我らが出した結論を伝えねばならぬじゃろう。			それを話すには、まず、そなたらが命懸けで獲得してくれた「護魂の霊鱗」に対し、我らが出した結論を伝えねばならぬじゃろう。			志ある者たち							
先も告げたとおり、グランドカンパニー・エオルゼア、および東方連合に属する国々では、今なお塔から現れる蛮神との戦いが続いている。			先も告げたとおり、グランドカンパニー・エオルゼア、および東方連合に属する国々では、今なお塔から現れる蛮神との戦いが続いている。			志ある者たち							
また、コボルド族やサハギン族、イクサル族、アナンタ族……独自の信仰を持つ諸種族についても、人拐いとの攻防が激化している状態だ。			また、コボルド族やサハギン族、イクサル族、アナンタ族……独自の信仰を持つ諸種族についても、人拐いとの攻防が激化している状態だ。			志ある者たち							
だからこそ、本音を言えば誰もが、ラザハンに続いて自国の塔を消滅させたい……。			だからこそ、本音を言えば誰もが、ラザハンに続いて自国の塔を消滅させたい……。			志ある者たち							
だが、我らはグランドカンパニー・エオルゼア設立に際して、すべての国と種族が手を取り合い、難局を乗り越えていくと誓ったのじゃ。			だが、我らはグランドカンパニー・エオルゼア設立に際して、すべての国と種族が手を取り合い、難局を乗り越えていくと誓ったのじゃ。			志ある者たち							
ゆえにこそ、「暁」がもたらしてくれたこの好機に、その志を体現しようではないか！			ゆえにこそ、「暁」がもたらしてくれたこの好機に、その志を体現しようではないか！			志ある者たち							
各国は、塔への抵抗を継続。その間に、信頼できる精鋭の中から募った有志を、帝都「ガレマルド」へと派遣します。			各国は、塔への抵抗を継続。その間に、信頼できる精鋭の中から募った有志を、帝都「ガレマルド」へと派遣します。			志ある者たち							
名付けて「イルサバード派遣団」。いかなる境界にも隔たれることなく、ひとつ大陸の民として馳せる者たちです。			名付けて「イルサバード派遣団」。いかなる境界にも隔たれることなく、ひとつ大陸の民として馳せる者たちです。			志ある者たち							
イルサバード……派遣団……！			イルサバード……派遣団……！			志ある者たち							
この派遣団の目的は、ふたつある……。			この派遣団の目的は、ふたつある……。			志ある者たち							
