あんたが持っているソレは……。もしかして、ミリスの「探検手帳」じゃないか？			あんたが持っているソレは……。もしかして、ミリスの「探検手帳」じゃないか？			蒼天の探検手帳							
高地ドラヴァニアに到着した。高地ドラヴァニアのチョコボの森にいる「イゼル」と話そう。			高地ドラヴァニアに到着した。高地ドラヴァニアのチョコボの森にいる「イゼル」と話そう。			対話への旅路							
イゼルと話した。ソーム・アルへ向かう前に、途中の集落で準備を整える事になった。高地ドラヴァニアのテイルフェザーにいる「マルスシャン」と話そう。			イゼルと話した。ソーム・アルへ向かう前に、途中の集落で準備を整える事になった。高地ドラヴァニアのテイルフェザーにいる「マルスシャン」と話そう。			対話への旅路							
マルスシャンと話した。西へ向かうことを告げると、彼は気になることがあると言う。なにか、問題が起きているのだろうか？			マルスシャンと話した。西へ向かうことを告げると、彼は気になることがあると言う。なにか、問題が起きているのだろうか？			対話への旅路							
高地ドラヴァニアに向かう			高地ドラヴァニアに向かう			対話への旅路							
イゼルと話す			イゼルと話す			対話への旅路							
マルスシャンと話す			マルスシャンと話す			対話への旅路							
光の戦士……Forenameと言ったか。まさか、あなたとともに旅する日が来ようとはな……。これだから、運命というものはわからない。			光の戦士……Forenameと言ったか。まさか、あなたとともに旅する日が来ようとはな……。これだから、運命というものはわからない。			対話への旅路							
さあ、行こう……。西方に向かい、谷間を抜けて「高地ドラヴァニア」に入る。			さあ、行こう……。西方に向かい、谷間を抜けて「高地ドラヴァニア」に入る。			対話への旅路							
その先が、巨大樹に覆われた「チョコボの森」だ。西部高地は寒い……森に入るまで休まず進み続けよう。			その先が、巨大樹に覆われた「チョコボの森」だ。西部高地は寒い……森に入るまで休まず進み続けよう。			対話への旅路							
高地ドラヴァニアか……。噂に聞くドラゴン族の根拠地がいかなる場所か、興味深いとは思わないかい？			高地ドラヴァニアか……。噂に聞くドラゴン族の根拠地がいかなる場所か、興味深いとは思わないかい？			対話への旅路							
気楽なものだ……。案内役は、悪名高き「氷の巫女」なのだぞ。罠である可能性も捨てきれないとは思わんのか？			気楽なものだ……。案内役は、悪名高き「氷の巫女」なのだぞ。罠である可能性も捨てきれないとは思わんのか？			対話への旅路							
ここが、高地ドラヴァニアの玄関口だ。このまま、さらに西へと進み森を抜ければ、我らの目的地、霊峰「ソーム・アル」へと続く山道がある。			ここが、高地ドラヴァニアの玄関口だ。このまま、さらに西へと進み森を抜ければ、我らの目的地、霊峰「ソーム・アル」へと続く山道がある。			対話への旅路							
だが、ソーム・アルの頂に至るまでの道のりは、遠く険しい。途中にある集落に立ち寄り、最後の準備を整えようと思うのだが、どうだろうか？			だが、ソーム・アルの頂に至るまでの道のりは、遠く険しい。途中にある集落に立ち寄り、最後の準備を整えようと思うのだが、どうだろうか？			対話への旅路							
……集落だって？高地ドラヴァニアと言えば、ドラゴン族の根拠地じゃないか。そんな危険地帯に、人が暮らす集落などがあるのかい？			……集落だって？高地ドラヴァニアと言えば、ドラゴン族の根拠地じゃないか。そんな危険地帯に、人が暮らす集落などがあるのかい？			対話への旅路							
ああ、ここ「チョコボの森」には、野生のチョコボを狙うため、狩人たちが築いた集落があるのだ。そこの長である「マルスシャン」とは知人でな……。			ああ、ここ「チョコボの森」には、野生のチョコボを狙うため、狩人たちが築いた集落があるのだ。そこの長である「マルスシャン」とは知人でな……。			対話への旅路							
彼に頼めば、宿くらい借りられるだろう。それに、現地の状況について最新の情報にも触れておきたい。問題ないだろうか？			彼に頼めば、宿くらい借りられるだろう。それに、現地の状況について最新の情報にも触れておきたい。問題ないだろうか？			対話への旅路							
フン……好きにするがいいさ。さあ、おしゃべりを楽しんでいる時間などないぞ。ドラゴン族は、俺たちを待っていちゃくれないんだからな。			フン……好きにするがいいさ。さあ、おしゃべりを楽しんでいる時間などないぞ。ドラゴン族は、俺たちを待っていちゃくれないんだからな。			対話への旅路							
「エオルゼア博物誌」で読んだことがある。高地ドラヴァニアには、野生のチョコボが棲息する、「チョコボの森」があるとね。			「エオルゼア博物誌」で読んだことがある。高地ドラヴァニアには、野生のチョコボが棲息する、「チョコボの森」があるとね。			対話への旅路							
感じるぞ、竜の気配を……この森を抜けた先、西の方角からだ……。			感じるぞ、竜の気配を……この森を抜けた先、西の方角からだ……。			対話への旅路							
こんな辺境の猟師村に、客人とは珍しい……。			こんな辺境の猟師村に、客人とは珍しい……。			対話への旅路							
おや、その懐かしい顔は、イゼル嬢ちゃんじゃないか！			おや、その懐かしい顔は、イゼル嬢ちゃんじゃないか！			対話への旅路							
お久しぶりです、マルスシャン。お元気そうで何よりです。			お久しぶりです、マルスシャン。お元気そうで何よりです。			対話への旅路							
彼らは、私の旅の同行者たち……。故あって「ソーム・アル」に向かうつもりなのですが、この集落で、休息をとらせてもらえませんか？			彼らは、私の旅の同行者たち……。故あって「ソーム・アル」に向かうつもりなのですが、この集落で、休息をとらせてもらえませんか？			対話への旅路							
そりゃあもちろん、イゼルとその友なら歓迎さ。だが、「チョコボの森」を出るのは、正直オススメできないぞ。ここのところ、ドラゴン族が妙に殺気立ってるからな。			そりゃあもちろん、イゼルとその友なら歓迎さ。だが、「チョコボの森」を出るのは、正直オススメできないぞ。ここのところ、ドラゴン族が妙に殺気立ってるからな。			対話への旅路							
失礼……逆に森を出なければ、ドラゴン族に襲われることはない、ということですか？			失礼……逆に森を出なければ、ドラゴン族に襲われることはない、ということですか？			対話への旅路							
なんだ坊主、イゼルの連れだっていうのに、そんな事も知らんのか？			なんだ坊主、イゼルの連れだっていうのに、そんな事も知らんのか？			対話への旅路							
この森は、巨大な「七天樹」が林立しているからな。その樹冠に覆われて、空から地上が見えないんだ。			この森は、巨大な「七天樹」が林立しているからな。その樹冠に覆われて、空から地上が見えないんだ。			対話への旅路							
お陰で、ドラゴン族はここを狩場にはしないし、チョコボをはじめとする野生生物も安心して暮らせる。俺たち狩人も、空に気を配らず狩りができるってワケだな。			お陰で、ドラゴン族はここを狩場にはしないし、チョコボをはじめとする野生生物も安心して暮らせる。俺たち狩人も、空に気を配らず狩りができるってワケだな。			対話への旅路							
……な、なるほど、勉強になります。			……な、なるほど、勉強になります。			対話への旅路							
それに、ドラゴン族以外にも、気になることがある……。まあ、イゼルのことだから、言っても聞かんのだろうが、西に向かうなら慎重になるこった。			それに、ドラゴン族以外にも、気になることがある……。まあ、イゼルのことだから、言っても聞かんのだろうが、西に向かうなら慎重になるこった。			対話への旅路							
テイルフェザーのルーパルは、いい報せを受けたようだ。			テイルフェザーのルーパルは、いい報せを受けたようだ。			センス爆発							
ルーパルに、狩りやすそうなチョコボの情報をもらった。高地ドラヴァニアのテイルフェザーにいる「キ・ヤンター」に話しかけ、彼女の初陣に協力しよう。			ルーパルに、狩りやすそうなチョコボの情報をもらった。高地ドラヴァニアのテイルフェザーにいる「キ・ヤンター」に話しかけ、彼女の初陣に協力しよう。			センス爆発							
キ・ヤンターからチョコボ狩りの作戦を聞いた。テイルフェザー北のチョコボの森にある「指定地点」に「匂い立つ野菜」を設置しよう。			キ・ヤンターからチョコボ狩りの作戦を聞いた。テイルフェザー北のチョコボの森にある「指定地点」に「匂い立つ野菜」を設置しよう。			センス爆発							
匂い立つ野菜を設置した。テイルフェザー北のキャンプにいる「キ・ヤンター」に報告しよう。			匂い立つ野菜を設置した。テイルフェザー北のキャンプにいる「キ・ヤンター」に報告しよう。			センス爆発							
キ・ヤンターは、チョコボの鳴き声を聞きつけたようだ。テイルフェザー北のチョコボの森で「キ・ヤンター」と合流しよう。			キ・ヤンターは、チョコボの鳴き声を聞きつけたようだ。テイルフェザー北のチョコボの森で「キ・ヤンター」と合流しよう。			センス爆発							
キ・ヤンターと合流した。彼女は、もくろみどおりチョコボが罠にかかったことで、大喜びだ。テイルフェザーの「ルーパル」に、初陣の成功を報告しよう。			キ・ヤンターと合流した。彼女は、もくろみどおりチョコボが罠にかかったことで、大喜びだ。テイルフェザーの「ルーパル」に、初陣の成功を報告しよう。			センス爆発							
ルーパルに報告した。彼は、キ・ヤンターの才能に感動しているようだ。			ルーパルに報告した。彼は、キ・ヤンターの才能に感動しているようだ。			センス爆発							
キ・ヤンターと話す			キ・ヤンターと話す			センス爆発							
指定地点に匂い立つ野菜を設置			指定地点に匂い立つ野菜を設置			センス爆発							
キ・ヤンターに報告			キ・ヤンターに報告			センス爆発							
キ・ヤンターと合流			キ・ヤンターと合流			センス爆発							
ルーパルに報告			ルーパルに報告			センス爆発							
チョ、チョコ、チョコチョコ、チョッコボー♪狩ーるぞ、狩るぞ狩るーぞ♪			チョ、チョコ、チョコチョコ、チョッコボー♪狩ーるぞ、狩るぞ狩るーぞ♪			センス爆発							
よお、さっき報せがあったんだが、集落の近くで、手頃なチョコボが目撃されたそうだ。ヤンターの狩猟始めには、持ってこいだろう。			よお、さっき報せがあったんだが、集落の近くで、手頃なチョコボが目撃されたそうだ。ヤンターの狩猟始めには、持ってこいだろう。			センス爆発							
なに、最初から上手くいくとは思ってないけどさ。ふたりで一緒に、狩りにいってみてくれないか？出発の準備ができたら、ヤンターに声をかけてくれ。			なに、最初から上手くいくとは思ってないけどさ。ふたりで一緒に、狩りにいってみてくれないか？出発の準備ができたら、ヤンターに声をかけてくれ。			センス爆発							
なに、最初から上手くいくとは思ってないけどさ。ふたりで一緒に、狩りにいってみてくれないか？出発の準備ができたら、ヤンターに声をかけてくれ。			なに、最初から上手くいくとは思ってないけどさ。ふたりで一緒に、狩りにいってみてくれないか？出発の準備ができたら、ヤンターに声をかけてくれ。			センス爆発							
へへん、話は聞いてたよ！相方さん、さっそく狩りにいこうじゃない！			へへん、話は聞いてたよ！相方さん、さっそく狩りにいこうじゃない！			センス爆発							
そうそう、例のブツも渡しておくね！ロウソクダケの粉末を振りかけた、特製の「匂い立つ野菜」だよ、大事にしてよぉ？			そうそう、例のブツも渡しておくね！ロウソクダケの粉末を振りかけた、特製の「匂い立つ野菜」だよ、大事にしてよぉ？			センス爆発							
目的のチョコボは、集落の南で目撃されたらしいわ。ほかの猟師たちも、その辺りに罠を仕掛けてるみたい！でも、私、ちょっと考えてみたの……。			目的のチョコボは、集落の南で目撃されたらしいわ。ほかの猟師たちも、その辺りに罠を仕掛けてるみたい！でも、私、ちょっと考えてみたの……。			センス爆発							
たくさんの猟師たちが罠を張ったなら、その場所には人の匂いが強く残ってしまうはず……。そうなると、チョコボも警戒するんじゃないかしら？			たくさんの猟師たちが罠を張ったなら、その場所には人の匂いが強く残ってしまうはず……。そうなると、チョコボも警戒するんじゃないかしら？			センス爆発							
……だとすると、多少の危険を冒しても、バンダースナッチの縄張りまで逃げているかも。だから、私たちは……北に罠を仕掛けましょ！			……だとすると、多少の危険を冒しても、バンダースナッチの縄張りまで逃げているかも。だから、私たちは……北に罠を仕掛けましょ！			センス爆発							
獰猛なバンダースナッチだって、注意すれば大丈夫！さあ、行くわよ！手分けして、匂い立つ野菜を設置しましょ！			獰猛なバンダースナッチだって、注意すれば大丈夫！さあ、行くわよ！手分けして、匂い立つ野菜を設置しましょ！			センス爆発							
あぁ、それから……エサを仕掛け終わったら、北にある猟師のキャンプに集合ね！よろしく～！			あぁ、それから……エサを仕掛け終わったら、北にある猟師のキャンプに集合ね！よろしく～！			センス爆発							
もう、遅いわよ～、待ってたんだから！匂い立つ野菜、ちゃんと置いてきたでしょうね～？			もう、遅いわよ～、待ってたんだから！匂い立つ野菜、ちゃんと置いてきたでしょうね～？			センス爆発							
よーしよし♪あの野菜にはね、眠り薬もかけておいたの。チョコボがあれを食べたら、グウグウ寝ちゃうはずよ！			よーしよし♪あの野菜にはね、眠り薬もかけておいたの。チョコボがあれを食べたら、グウグウ寝ちゃうはずよ！			センス爆発							
……いま、チョコボの鳴き声がしたわよね！？場所は……あなたが罠を仕掛けた方だわ！行ってみましょ！！			……いま、チョコボの鳴き声がしたわよね！？場所は……あなたが罠を仕掛けた方だわ！行ってみましょ！！			センス爆発							
うっそ～、信じられる！？チョコボよ、チョコボ！本物のチョ、コ、ボ！！　やったわ～！			うっそ～、信じられる！？チョコボよ、チョコボ！本物のチョ、コ、ボ！！　やったわ～！			センス爆発							
この子は、私がちゃ～んと連れていくから、あなたは先に戻って、ルーパルさんに伝えておいてくれる？			この子は、私がちゃ～んと連れていくから、あなたは先に戻って、ルーパルさんに伝えておいてくれる？			センス爆発							
この子は、私がちゃ～んと連れていくから、あなたは先に戻って、ルーパルさんに伝えておいてくれる？			この子は、私がちゃ～んと連れていくから、あなたは先に戻って、ルーパルさんに伝えておいてくれる？			センス爆発							
よう、ヤンターはうまくやってたか？			よう、ヤンターはうまくやってたか？			センス爆発							
なんだって！？ヤンターが、チョコボを獲っただって！？			なんだって！？ヤンターが、チョコボを獲っただって！？			センス爆発							
どうなることかと思っていたが、まさか、初陣で成果があるとは見事なもんだな……。さすがは生まれついての狩人、ミコッテ族といったところか。			どうなることかと思っていたが、まさか、初陣で成果があるとは見事なもんだな……。さすがは生まれついての狩人、ミコッテ族といったところか。			センス爆発							
それに君の協力も功を奏したようだな。礼を言わせてほしい……どうもありがとう！			それに君の協力も功を奏したようだな。礼を言わせてほしい……どうもありがとう！			センス爆発							
聖大厩舎のアルヌーランは、冒険者のマイチョコボに何やら可能性を感じるようだ。			聖大厩舎のアルヌーランは、冒険者のマイチョコボに何やら可能性を感じるようだ。			マイチョコボ、大空へ！							
*本クエストは調整されました。破棄してください。			*本クエストは調整されました。破棄してください。			マイチョコボ、大空へ！							
プリオルフェに話を聞いた。マイチョコボが空を飛べるようになるには、先祖であるフライヤー種の血を呼び覚ます必要があるようだ。チョコボの森でバディ状態のマイチョコボを連れて「ドラヴァニアンビー・クラウド」を討伐しよう。			プリオルフェに話を聞いた。マイチョコボが空を飛べるようになるには、先祖であるフライヤー種の血を呼び覚ます必要があるようだ。チョコボの森でバディ状態のマイチョコボを連れて「ドラヴァニアンビー・クラウド」を討伐しよう。			マイチョコボ、大空へ！							
マイチョコボを連れて「ドラヴァニアンビー・クラウド」を討伐した。テイルフェザーの「プリオルフェ」に報告しよう。			マイチョコボを連れて「ドラヴァニアンビー・クラウド」を討伐した。テイルフェザーの「プリオルフェ」に報告しよう。			マイチョコボ、大空へ！							
プリオルフェに報告した。次は、マイチョコボに先祖が体感した風を伝えるために、冒険者が高所で風を感じてくるように言われた。テイルフェザーの北東にある「指定地点」と、クルザス西部高地のファルコンネストの北西にある「指定地点」に行き、風を感じるため待機しよう。			プリオルフェに報告した。次は、マイチョコボに先祖が体感した風を伝えるために、冒険者が高所で風を感じてくるように言われた。テイルフェザーの北東にある「指定地点」と、クルザス西部高地のファルコンネストの北西にある「指定地点」に行き、風を感じるため待機しよう。			マイチョコボ、大空へ！							
指定地点で待機して風を感じた。テイルフェザーの「プリオルフェ」に報告しよう。			指定地点で待機して風を感じた。テイルフェザーの「プリオルフェ」に報告しよう。			マイチョコボ、大空へ！							
プリオルフェに報告した。彼によれば、冒険者のマイチョコボは、先祖の血が呼び覚まされたことで空を飛ぶ感覚を身につけたという。さっそく、マイチョコボとともに、大空に羽ばたこう！			プリオルフェに報告した。彼によれば、冒険者のマイチョコボは、先祖の血が呼び覚まされたことで空を飛ぶ感覚を身につけたという。さっそく、マイチョコボとともに、大空に羽ばたこう！			マイチョコボ、大空へ！							
*本クエストは調整されました。破棄してください。			*本クエストは調整されました。破棄してください。			マイチョコボ、大空へ！							
くんくん……このチョコボ臭さ！野生の臭いとも、レンタルチョコボの臭いとも違う……。……さては、「マイチョコボ」の所有者だね！？			くんくん……このチョコボ臭さ！野生の臭いとも、レンタルチョコボの臭いとも違う……。……さては、「マイチョコボ」の所有者だね！？			マイチョコボ、大空へ！							
フッフッフ……。俺は、ここでチョコボを調教している調教師だからな。チョコボの臭いには、一家言あるのさ！			フッフッフ……。俺は、ここでチョコボを調教している調教師だからな。チョコボの臭いには、一家言あるのさ！			マイチョコボ、大空へ！							
それでそれで、チョコボの名前はなんていうんだい？君の相棒のことを、少し聞かせてくれよ。			それでそれで、チョコボの名前はなんていうんだい？君の相棒のことを、少し聞かせてくれよ。			マイチョコボ、大空へ！							
Companionって言うのか、いい名前だね！……へえ、グランドカンパニーで配給されたんだ。			Companionって言うのか、いい名前だね！……へえ、グランドカンパニーで配給されたんだ。			マイチョコボ、大空へ！							
確かに、3国のグランドカンパニーには、良質なチョコボを出荷しているけど……。君のチョコボは、その中でも、かなり質が良いようだよ！			確かに、3国のグランドカンパニーには、良質なチョコボを出荷しているけど……。君のチョコボは、その中でも、かなり質が良いようだよ！			マイチョコボ、大空へ！							
なんと、「フォルタン流チョコボ戦闘術」まで……。どうりでいい臭いなわけだよ。うん、ここまで質の良いチョコボの臭いは、20年ぶりだ！			なんと、「フォルタン流チョコボ戦闘術」まで……。どうりでいい臭いなわけだよ。うん、ここまで質の良いチョコボの臭いは、20年ぶりだ！			マイチョコボ、大空へ！							
もしかしたら、君のチョコボ……フライングも可能になるかもしれないぞ！			もしかしたら、君のチョコボ……フライングも可能になるかもしれないぞ！			マイチョコボ、大空へ！							
通常、フライヤー種という特別なチョコボだけが、空を飛ぶことができるんだけどね。			通常、フライヤー種という特別なチョコボだけが、空を飛ぶことができるんだけどね。			マイチョコボ、大空へ！							
時折、フライヤー種以外のチョコボも、訓練次第で飛べるようになることがあるんだ！先祖のフライヤー種の血がそうさせると、言われているよ。			時折、フライヤー種以外のチョコボも、訓練次第で飛べるようになることがあるんだ！先祖のフライヤー種の血がそうさせると、言われているよ。			マイチョコボ、大空へ！							
君のチョコボも、その素質がありそうだ……！調教師として、チョコボの素質を放っておくことはできない！Companionに、特訓をさせてみないかい！？			君のチョコボも、その素質がありそうだ……！調教師として、チョコボの素質を放っておくことはできない！Companionに、特訓をさせてみないかい！？			マイチョコボ、大空へ！							
「テイルフェザー」にいる俺の弟「プリオルフェ」が、その訓練に長けているんだ。ぜひ、弟に君のチョコボを見せてやってくれよ！			「テイルフェザー」にいる俺の弟「プリオルフェ」が、その訓練に長けているんだ。ぜひ、弟に君のチョコボを見せてやってくれよ！			マイチョコボ、大空へ！							
「テイルフェザー」にいる俺の弟「プリオルフェ」が、その訓練に長けているんだ。ぜひ、弟に君のチョコボを見せてやってくれよ！			「テイルフェザー」にいる俺の弟「プリオルフェ」が、その訓練に長けているんだ。ぜひ、弟に君のチョコボを見せてやってくれよ！			マイチョコボ、大空へ！							
ふむ、特訓を受けたいってのは、お前さんのチョコボだな？兄貴から連絡は受けているぜ。ほほう……こいつは確かに、良質なチョコボの臭いがする！			ふむ、特訓を受けたいってのは、お前さんのチョコボだな？兄貴から連絡は受けているぜ。ほほう……こいつは確かに、良質なチョコボの臭いがする！			マイチョコボ、大空へ！							
なら、さっそく訓練をはじめようじゃないか！一般のチョコボに空を飛ばせるには、眠っている、フライヤー種の血を呼び覚ます必要がある。			なら、さっそく訓練をはじめようじゃないか！一般のチョコボに空を飛ばせるには、眠っている、フライヤー種の血を呼び覚ます必要がある。			マイチョコボ、大空へ！							
そのためには、より先祖に近い、野生のチョコボと同様の経験をさせるのが手っ取り早い。			そのためには、より先祖に近い、野生のチョコボと同様の経験をさせるのが手っ取り早い。			マイチョコボ、大空へ！							
野生のチョコボなら「チョコボの森」にたくさんいるが、あの森のチョコボたちは、奴らの好物の果実に群がる虫と、毎日のように戦っているのさ。			野生のチョコボなら「チョコボの森」にたくさんいるが、あの森のチョコボたちは、奴らの好物の果実に群がる虫と、毎日のように戦っているのさ。			マイチョコボ、大空へ！							
そこでだ……まずは、お前さんのチョコボも、その虫……「ドラヴァニアンビー・クラウド」と戦わせるんだ。野生の生態に近い経験が、「先祖の血」の目覚めに繋がるぜ！			そこでだ……まずは、お前さんのチョコボも、その虫……「ドラヴァニアンビー・クラウド」と戦わせるんだ。野生の生態に近い経験が、「先祖の血」の目覚めに繋がるぜ！			マイチョコボ、大空へ！							
そこでだ……まずは、お前さんのチョコボも、その虫……「ドラヴァニアンビー・クラウド」と戦わせるんだ。野生の生態に近い経験が、「先祖の血」の目覚めに繋がるぜ！			そこでだ……まずは、お前さんのチョコボも、その虫……「ドラヴァニアンビー・クラウド」と戦わせるんだ。野生の生態に近い経験が、「先祖の血」の目覚めに繋がるぜ！			マイチョコボ、大空へ！							
その顔、上手くいったようだな。お前さんのチョコボは、戦いの経験を積むと同時に、あの虫の羽音を聞いたはずだ。			その顔、上手くいったようだな。お前さんのチョコボは、戦いの経験を積むと同時に、あの虫の羽音を聞いたはずだ。			マイチョコボ、大空へ！							
音ってのは、深い記憶を呼び覚ますのに有効なんだ。出荷するチョコボの大半は、青年期の時に捕獲するから、あの羽音を聞いたのも初めてだろうぜ。			音ってのは、深い記憶を呼び覚ますのに有効なんだ。出荷するチョコボの大半は、青年期の時に捕獲するから、あの羽音を聞いたのも初めてだろうぜ。			マイチョコボ、大空へ！							
よし、次は、先祖が体感した風を感じさせる。とはいっても、一般のチョコボには、そう簡単にいかないからな。そこで、お前さんの出番だ。			よし、次は、先祖が体感した風を感じさせる。とはいっても、一般のチョコボには、そう簡単にいかないからな。そこで、お前さんの出番だ。			マイチョコボ、大空へ！							
今から教える場所に行き、そこの風を思いっきり感じてこい。そこで感じた風は、主人の臭いとともに、お前さんのチョコボに伝わるはずだ。			今から教える場所に行き、そこの風を思いっきり感じてこい。そこで感じた風は、主人の臭いとともに、お前さんのチョコボに伝わるはずだ。			マイチョコボ、大空へ！							
そうだな、この「テイルフェザー」と、「ファルコンネスト」近くの高所がいいだろう。野生の生態に近い体感が、「先祖の血」の目覚めに繋がるぜ！			そうだな、この「テイルフェザー」と、「ファルコンネスト」近くの高所がいいだろう。野生の生態に近い体感が、「先祖の血」の目覚めに繋がるぜ！			マイチョコボ、大空へ！							
そうだな、この「テイルフェザー」と、「ファルコンネスト」近くの高所がいいだろう。野生の生態に近い体感が、「先祖の血」の目覚めに繋がるぜ！			そうだな、この「テイルフェザー」と、「ファルコンネスト」近くの高所がいいだろう。野生の生態に近い体感が、「先祖の血」の目覚めに繋がるぜ！			マイチョコボ、大空へ！							
高地ドラヴァニアに流れる風を感じた。Companionにも伝わるだろうか……。			高地ドラヴァニアに流れる風を感じた。Companionにも伝わるだろうか……。			マイチョコボ、大空へ！							
クルザス西部高地に流れる風を感じた。Companionにも伝わるだろうか……。			クルザス西部高地に流れる風を感じた。Companionにも伝わるだろうか……。			マイチョコボ、大空へ！							
よし、これで眠っていたフライヤー種の血も目覚める。お前さんのチョコボは、空を飛ぶ感覚を身につけたはずだぜ。			よし、これで眠っていたフライヤー種の血も目覚める。お前さんのチョコボは、空を飛ぶ感覚を身につけたはずだぜ。			マイチョコボ、大空へ！							
あとは、お前さん自身が風を詠めるようになれば……その風に、チョコボを乗せるだけだ！			あとは、お前さん自身が風を詠めるようになれば……その風に、チョコボを乗せるだけだ！			マイチョコボ、大空へ！							
風を詠むには、風脈を辿る必要があるのは知ってるな？さあ、しっかりと風を詠んで、お前さんのチョコボを大空に羽ばたかせてやってくれ！			風を詠むには、風脈を辿る必要があるのは知ってるな？さあ、しっかりと風を詠んで、お前さんのチョコボを大空に羽ばたかせてやってくれ！			マイチョコボ、大空へ！							
……それと、こいつを持っていきな。新たな世界に羽ばたく、Companionへの手向けだ！			……それと、こいつを持っていきな。新たな世界に羽ばたく、Companionへの手向けだ！			マイチョコボ、大空へ！							
Companionが飛べるようになりました！			Companionが飛べるようになりました！			マイチョコボ、大空へ！							
テイルフェザーのマルスシャンは、人手を探しているようだ。			テイルフェザーのマルスシャンは、人手を探しているようだ。			巡回調査							
マルスシャンから、テイルフェザー周辺のキャンプで、狩りの状況を聞いてくるように頼まれた。高地ドラヴァニアのチョコボの森にある3箇所のキャンプで、話を聞こう。			マルスシャンから、テイルフェザー周辺のキャンプで、狩りの状況を聞いてくるように頼まれた。高地ドラヴァニアのチョコボの森にある3箇所のキャンプで、話を聞こう。			巡回調査							
すべてのキャンプで、狩りの状況を確認した。テイルフェザーの「マルスシャン」に報告しよう。			すべてのキャンプで、狩りの状況を確認した。テイルフェザーの「マルスシャン」に報告しよう。			巡回調査							
テイルフェザーのマルスシャンに報告した。マルスシャンは、いつも報告を求めているようだが、そう上手くはいかないようだ。また困っているようであれば声をかけよう。			テイルフェザーのマルスシャンに報告した。マルスシャンは、いつも報告を求めているようだが、そう上手くはいかないようだ。また困っているようであれば声をかけよう。			巡回調査							
テイルフェザー付近のキャンプで話を聞く			テイルフェザー付近のキャンプで話を聞く			巡回調査							
マルスシャンに報告			マルスシャンに報告			巡回調査							
ここでできる仕事を探しているのか？ふーむ、そうだな……。			ここでできる仕事を探しているのか？ふーむ、そうだな……。			巡回調査							
