ミューヌは冒険者に依頼人を紹介したいようだ。			ミューヌは冒険者に依頼人を紹介したいようだ。			タムタラの仄暗い底で							
おお、誰かと思えば！Surnameではないか！お前が来てくれるとは心強い！			おお、誰かと思えば！Surnameではないか！お前が来てくれるとは心強い！			タムタラの仄暗い底で							
おお、よく来てくれた。わしはグリダニアの国防を担う神勇隊の隊長、リュウィン。今回の依頼を出した者だ。			おお、よく来てくれた。わしはグリダニアの国防を担う神勇隊の隊長、リュウィン。今回の依頼を出した者だ。			タムタラの仄暗い底で							
頼みたいのは、掃討作戦なのだ。			頼みたいのは、掃討作戦なのだ。			タムタラの仄暗い底で							
黒衣森の中央森林には、「タムタラの墓所」という地下墓地があるんだ。			黒衣森の中央森林には、「タムタラの墓所」という地下墓地があるんだ。			タムタラの仄暗い底で							
大昔、地下都市「ゲルモラ」時代に築かれた遺跡でね。グリダニア建国後も、墓所としてグリダニアの民によって使われ続けてきたんだけど……。			大昔、地下都市「ゲルモラ」時代に築かれた遺跡でね。グリダニア建国後も、墓所としてグリダニアの民によって使われ続けてきたんだけど……。			タムタラの仄暗い底で							
最近、その「タムタラの墓所」に、怪しげな集団が出入りしているという情報が入ってきてな。			最近、その「タムタラの墓所」に、怪しげな集団が出入りしているという情報が入ってきてな。			タムタラの仄暗い底で							
しかも、目撃証言によれば、連中はカルト教団「最後の群民」の残党のようだ。			しかも、目撃証言によれば、連中はカルト教団「最後の群民」の残党のようだ。			タムタラの仄暗い底で							
奴らは終末思想の危険な集団……。何をしでかすか解ったものじゃない。			奴らは終末思想の危険な集団……。何をしでかすか解ったものじゃない。			タムタラの仄暗い底で							
こういう事象は、我々、神勇隊の仕事なのだが、先の霊災で腕利きの隊士が減ってしまってな……。			こういう事象は、我々、神勇隊の仕事なのだが、先の霊災で腕利きの隊士が減ってしまってな……。			タムタラの仄暗い底で							
それに、グリダニア周辺に潜む「イクサル族」の警備強化のために、人員が不足している。			それに、グリダニア周辺に潜む「イクサル族」の警備強化のために、人員が不足している。			タムタラの仄暗い底で							
お前が解決した「長老の木」の一件以来、イクサル族の動きが活発になっていてな……。近く、何か大きな動きがありそうで、警戒しているのだ。			お前が解決した「長老の木」の一件以来、イクサル族の動きが活発になっていてな……。近く、何か大きな動きがありそうで、警戒しているのだ。			タムタラの仄暗い底で							
お前になら、安心して任せることができる！Surname、頼まれてくれるか。			お前になら、安心して任せることができる！Surname、頼まれてくれるか。			タムタラの仄暗い底で							
ここ最近、この地を狙う蛮族、イクサル族の動きが活発になっていてな……。近く、何か大きな動きがありそうで、警戒しているのだ。			ここ最近、この地を狙う蛮族、イクサル族の動きが活発になっていてな……。近く、何か大きな動きがありそうで、警戒しているのだ。			タムタラの仄暗い底で							
ぜひ、腕の立つ冒険者という、お前の力を貸してほしい。			ぜひ、腕の立つ冒険者という、お前の力を貸してほしい。			タムタラの仄暗い底で							
ありがたい。恩に着る。			ありがたい。恩に着る。			タムタラの仄暗い底で							
詳細は担当者から聞くといい。「タムタラの墓所」の前で待機させている。……よろしく頼んだぞ。			詳細は担当者から聞くといい。「タムタラの墓所」の前で待機させている。……よろしく頼んだぞ。			タムタラの仄暗い底で							
気を付けていくんだよ。君に、クリスタルの導きがあらんことを！			気を付けていくんだよ。君に、クリスタルの導きがあらんことを！			タムタラの仄暗い底で							
Surname様ですね？このたびのご助力、心より感謝いたします。			Surname様ですね？このたびのご助力、心より感謝いたします。			タムタラの仄暗い底で							
それでは、今回の依頼についてご説明します。あなた様にお願いしたいのは、「最後の群民」というカルト教団の掃討です。			それでは、今回の依頼についてご説明します。あなた様にお願いしたいのは、「最後の群民」というカルト教団の掃討です。			タムタラの仄暗い底で							
「最後の群民」は、第六星暦末期に生まれた終末思想を掲げる集団です。			「最後の群民」は、第六星暦末期に生まれた終末思想を掲げる集団です。			タムタラの仄暗い底で							
彼らは第七霊災を引き起こした衛星……「ダラガブ」を救世神と崇め、その降臨による世界の救済を信じておりました。			彼らは第七霊災を引き起こした衛星……「ダラガブ」を救世神と崇め、その降臨による世界の救済を信じておりました。			タムタラの仄暗い底で							
しかし、カルテノーの戦いのさなか、「ダラガブ」は砕け散ってしまった……。			しかし、カルテノーの戦いのさなか、「ダラガブ」は砕け散ってしまった……。			タムタラの仄暗い底で							
それを知った「最後の群民」は、救世神降臨を人々が邪魔したのだとして、あろうことか、その復讐に乗り出したのです！			それを知った「最後の群民」は、救世神降臨を人々が邪魔したのだとして、あろうことか、その復讐に乗り出したのです！			タムタラの仄暗い底で							
この墓所に侵入したという者たちも、よからぬことを企てているに違いありません。			この墓所に侵入したという者たちも、よからぬことを企てているに違いありません。			タムタラの仄暗い底で							
どうか「タムタラの墓所」を探索し、「最後の群民」の野望をくじいてください。この通り、よろしくお願い申し上げます。			どうか「タムタラの墓所」を探索し、「最後の群民」の野望をくじいてください。この通り、よろしくお願い申し上げます。			タムタラの仄暗い底で							
やぁ、またあったな！どうやら、この「タムタラの墓所」に用がありそうだな。			やぁ、またあったな！どうやら、この「タムタラの墓所」に用がありそうだな。			タムタラの仄暗い底で							
いつぞやは先を越されたが、今回は負けないぞ！ははは、お互いがんばろうな！			いつぞやは先を越されたが、今回は負けないぞ！ははは、お互いがんばろうな！			タムタラの仄暗い底で							
墓所ですって……怖いわね。でも、目標のために、がんばらなきゃ！			墓所ですって……怖いわね。でも、目標のために、がんばらなきゃ！			タムタラの仄暗い底で							
そうね！私たちは、いつか歴史に名を残すのよ！			そうね！私たちは、いつか歴史に名を残すのよ！			タムタラの仄暗い底で							
ぜぇ……ぜぇ……。探究心より……空腹感を満たすほうが先と……。欲を出して走ってみたら……これだ……。			ぜぇ……ぜぇ……。探究心より……空腹感を満たすほうが先と……。欲を出して走ってみたら……これだ……。			タムタラの仄暗い底で							
アリアヌの見つけてくれた果実が無ければ、わしらの冒険も、ここで終わるところじゃった……。			アリアヌの見つけてくれた果実が無ければ、わしらの冒険も、ここで終わるところじゃった……。			タムタラの仄暗い底で							
功を焦ったときは、まず自分の周りを見渡せ……。あまりに腹が減って、格言を忘れておったわい。一休みしたら、また冒険を続けるとするかの！			功を焦ったときは、まず自分の周りを見渡せ……。あまりに腹が減って、格言を忘れておったわい。一休みしたら、また冒険を続けるとするかの！			タムタラの仄暗い底で							
もう、お爺ちゃんったら。いつだって全力なんだもの！			もう、お爺ちゃんったら。いつだって全力なんだもの！			タムタラの仄暗い底で							
ここに来る途中に、木になっている果実を見つけてね。採っておいてよかったよー。お爺ちゃん、まっすぐしか見れない人なんだから！			ここに来る途中に、木になっている果実を見つけてね。採っておいてよかったよー。お爺ちゃん、まっすぐしか見れない人なんだから！			タムタラの仄暗い底で							
やっぱり、わたしたちの冒険は、のんびりするほうが合ってるね。ゆっくり世界を見て回ろうよ、お爺ちゃん。			やっぱり、わたしたちの冒険は、のんびりするほうが合ってるね。ゆっくり世界を見て回ろうよ、お爺ちゃん。			タムタラの仄暗い底で							
救世神「ダラガブ」などとうそぶいてエオルゼアを加護したもう十二神を軽んじた上、人々への復讐を企むとは……！			救世神「ダラガブ」などとうそぶいてエオルゼアを加護したもう十二神を軽んじた上、人々への復讐を企むとは……！			タムタラの仄暗い底で							
到底、許せることではありません！どうか「タムタラの墓所」を探索し、「最後の群民」の野望をくじいてください。			到底、許せることではありません！どうか「タムタラの墓所」を探索し、「最後の群民」の野望をくじいてください。			タムタラの仄暗い底で							
やぁ、帰ってきたんだね。どうやら、無事に依頼を終えたようじゃないか！			やぁ、帰ってきたんだね。どうやら、無事に依頼を終えたようじゃないか！			タムタラの仄暗い底で							
さすがは、Forenameだ。君なら、やってくれると思ってたさ！			さすがは、Forenameだ。君なら、やってくれると思ってたさ！			タムタラの仄暗い底で							
さすがは噂の冒険者。バデロンさんが君を薦めてくれた理由がわかったさ！			さすがは噂の冒険者。バデロンさんが君を薦めてくれた理由がわかったさ！			タムタラの仄暗い底で							
リュウィン隊長も、礼を言っていたよ。本当におつかれさま！			リュウィン隊長も、礼を言っていたよ。本当におつかれさま！			タムタラの仄暗い底で							
冒険者ギルドでは、君の噂で持ちきりさ。有能な冒険者が現れたってね！			冒険者ギルドでは、君の噂で持ちきりさ。有能な冒険者が現れたってね！			タムタラの仄暗い底で							
実は、最近になって、冒険者ギルドへの依頼が急に増えてきているんだ。			実は、最近になって、冒険者ギルドへの依頼が急に増えてきているんだ。			タムタラの仄暗い底で							
それに伴って、冒険者の事故も増加の一方でね。……見てごらん。			それに伴って、冒険者の事故も増加の一方でね。……見てごらん。			タムタラの仄暗い底で							
アヴィールは……リーダーは死んだのよ！エッダ、あんたの回復が遅れたせいで！			アヴィールは……リーダーは死んだのよ！エッダ、あんたの回復が遅れたせいで！			タムタラの仄暗い底で							
そ、そんな！あれは突然でてきた魔物の群れにアヴィールが走っていっちゃって……。			そ、そんな！あれは突然でてきた魔物の群れにアヴィールが走っていっちゃって……。			タムタラの仄暗い底で							
彼、焦ってたから……。もっと、がんばらなきゃって……。			彼、焦ってたから……。もっと、がんばらなきゃって……。			タムタラの仄暗い底で							
もう懲り懲りだ！俺はパーティを抜けさせてもらう！2度と会うことはないだろう。			もう懲り懲りだ！俺はパーティを抜けさせてもらう！2度と会うことはないだろう。			タムタラの仄暗い底で							
あたしもよ。前から、あんたを嫌いだったのよ！いつもいつも、アヴィールにベタベタくっついてさ！			あたしもよ。前から、あんたを嫌いだったのよ！いつもいつも、アヴィールにベタベタくっついてさ！			タムタラの仄暗い底で							
あとさ……大事に持ってるアヴィールの首……。さっさと埋めなさいよ、キモチ悪い！			あとさ……大事に持ってるアヴィールの首……。さっさと埋めなさいよ、キモチ悪い！			タムタラの仄暗い底で							
あ、2人とも……。そんな……。			あ、2人とも……。そんな……。			タムタラの仄暗い底で							
……ごめん、ごめんね。アヴィール……わたし……。			……ごめん、ごめんね。アヴィール……わたし……。			タムタラの仄暗い底で							
……あのパーティのような事例を、この数日だけで何件も目にしている。			……あのパーティのような事例を、この数日だけで何件も目にしている。			タムタラの仄暗い底で							
君のように、有能な冒険者が現れてくれたことによって、少しでも犧牲が減ることを願っているよ。			君のように、有能な冒険者が現れてくれたことによって、少しでも犧牲が減ることを願っているよ。			タムタラの仄暗い底で							
そんな君に頼みがある。先刻、冒険者ギルドの連絡網に情報が回ってきたんだ。			そんな君に頼みがある。先刻、冒険者ギルドの連絡網に情報が回ってきたんだ。			タムタラの仄暗い底で							
今度は、ウルダハの冒険者ギルドで、冒険者を募集しているらしい。……君になら、いや君だから紹介できると思ってね。			今度は、ウルダハの冒険者ギルドで、冒険者を募集しているらしい。……君になら、いや君だから紹介できると思ってね。			タムタラの仄暗い底で							
ぜひ、この依頼を受けてもらいたい。よろしく頼むよ。			ぜひ、この依頼を受けてもらいたい。よろしく頼むよ。			タムタラの仄暗い底で							
キャンプ・スカルバレーのウィルトスィス甲曹長は、冒険者にある仕事を頼みたいようだ。			キャンプ・スカルバレーのウィルトスィス甲曹長は、冒険者にある仕事を頼みたいようだ。			サハギン族と戦う術							
ウィルトスィス甲曹長によると、砦の物資で不足している物があるらしい。「ロズリトペリカン」を討伐し「ペリカンの毒液」を集めよう。			ウィルトスィス甲曹長によると、砦の物資で不足している物があるらしい。「ロズリトペリカン」を討伐し「ペリカンの毒液」を集めよう。			サハギン族と戦う術							
ロズリトペリカンを討伐した。キャンプ・スカルバレーの「ウィルトスィス甲曹長」に「ペリカンの毒液」を渡そう。			ロズリトペリカンを討伐した。キャンプ・スカルバレーの「ウィルトスィス甲曹長」に「ペリカンの毒液」を渡そう。			サハギン族と戦う術							
ウィルトスィス甲曹長にペリカンの毒液を渡した。この毒はサハギン族と戦う上で、とても重宝するらしい。			ウィルトスィス甲曹長にペリカンの毒液を渡した。この毒はサハギン族と戦う上で、とても重宝するらしい。			サハギン族と戦う術							
ロズリトペリカンからペリカンの毒液を入手			ロズリトペリカンからペリカンの毒液を入手			サハギン族と戦う術							
ウィルトスィス甲曹長にペリカンの毒液を渡す			ウィルトスィス甲曹長にペリカンの毒液を渡す			サハギン族と戦う術							
武器甲冑よし……硝石と糧秣(りょうまつ)よし、っと。あら？　薬品が不足してるわね……。			武器甲冑よし……硝石と糧秣(りょうまつ)よし、っと。あら？　薬品が不足してるわね……。			サハギン族と戦う術							
冒険者さん、ちょうどいいところに。備品の「ペリカンの毒液」を補給したいのです。			冒険者さん、ちょうどいいところに。備品の「ペリカンの毒液」を補給したいのです。			サハギン族と戦う術							
「ペリカンの毒液」は、周辺に生息している、「ロズリトペリカン」から入手できます。お手数ですが、お願いできますか？			「ペリカンの毒液」は、周辺に生息している、「ロズリトペリカン」から入手できます。お手数ですが、お願いできますか？			サハギン族と戦う術							
「ロズリトペリカン」を討伐し、コカトリスの毒を3個ゲット。			「ロズリトペリカン」を討伐し、コカトリスの毒を3個ゲット。			サハギン族と戦う術							
冒険者さん、おかえりなさい。お願いした品は集まりましたか？			冒険者さん、おかえりなさい。お願いした品は集まりましたか？			サハギン族と戦う術							
……そうです、これこれ！ありがとうございました。			……そうです、これこれ！ありがとうございました。			サハギン族と戦う術							
現在、このキャンプ・スカルバレーは、西のハーフストーン周辺に進出してきた、サハギン族と交戦状態にあります。			現在、このキャンプ・スカルバレーは、西のハーフストーン周辺に進出してきた、サハギン族と交戦状態にあります。			サハギン族と戦う術							
このペリカンの毒液は、サハギン族を殺傷するのに、とても効果的な毒なんです。鏃に塗れば、経験の浅い兵でも対等に戦うことができます。			このペリカンの毒液は、サハギン族を殺傷するのに、とても効果的な毒なんです。鏃に塗れば、経験の浅い兵でも対等に戦うことができます。			サハギン族と戦う術							
ハーフストーン周辺には以前、入植地がありました。それが、蛮神「リヴァイアサン」の活動で被害を受け、サハギン族が攻め入ったことで滅亡してしまったのです。			ハーフストーン周辺には以前、入植地がありました。それが、蛮神「リヴァイアサン」の活動で被害を受け、サハギン族が攻め入ったことで滅亡してしまったのです。			サハギン族と戦う術							
いつの日か、かの地を取り戻すために、私たちは戦い続けているのですよ。			いつの日か、かの地を取り戻すために、私たちは戦い続けているのですよ。			サハギン族と戦う術							
ミューヌは冒険者に仕事の依頼をしたいようだ。			ミューヌは冒険者に仕事の依頼をしたいようだ。			砂都で待つ仕事							
ウルダハの冒険者ギルドが、冒険者を募集しているらしい。飛空艇を使ってウルダハへと赴き、クイックサンドにいる「モモディ」と話そう。			ウルダハの冒険者ギルドが、冒険者を募集しているらしい。飛空艇を使ってウルダハへと赴き、クイックサンドにいる「モモディ」と話そう。			砂都で待つ仕事							
ミューヌの紹介を受けて、ウルダハへやってきた冒険者。仕事を受ける準備ができたら、再度モモディに声をかけよう。			ミューヌの紹介を受けて、ウルダハへやってきた冒険者。仕事を受ける準備ができたら、再度モモディに声をかけよう。			砂都で待つ仕事							
ウルダハのクイックサンドにいるモモディと話す			ウルダハのクイックサンドにいるモモディと話す			砂都で待つ仕事							
仕事を受けてくれるのかい？ありがとう。感謝するよ。			仕事を受けてくれるのかい？ありがとう。感謝するよ。			砂都で待つ仕事							
依頼主はウルダハの冒険者ギルドだ。「クイックサンド」の「モモディ」さんから、話を聞いてきてもらえるかな？			依頼主はウルダハの冒険者ギルドだ。「クイックサンド」の「モモディ」さんから、話を聞いてきてもらえるかな？			砂都で待つ仕事							
危険な仕事かもしれないが……君ならきっとやり遂げると信じているよ。よろしく頼んだよ。			危険な仕事かもしれないが……君ならきっとやり遂げると信じているよ。よろしく頼んだよ。			砂都で待つ仕事							
あら、いらっしゃい。ごめんなさい、今ちょっと忙しいのよ。適当な席に座っててくれるかしら……って……。			あら、いらっしゃい。ごめんなさい、今ちょっと忙しいのよ。適当な席に座っててくれるかしら……って……。			砂都で待つ仕事							
Forename！よく来てくれたわね！			Forename！よく来てくれたわね！			砂都で待つ仕事							
……その面構え。もしかして、あなた……。Surnameさん？			……その面構え。もしかして、あなた……。Surnameさん？			砂都で待つ仕事							
冒険者ギルドの連絡網に、あなたの名前が挙がっていたの。あなた、今、最も注目されている冒険者さんなのよ！ミューヌさんが興奮するのも頷けるわ！			冒険者ギルドの連絡網に、あなたの名前が挙がっていたの。あなた、今、最も注目されている冒険者さんなのよ！ミューヌさんが興奮するのも頷けるわ！			砂都で待つ仕事							
さっそくだけどお願いがあるの。準備ができたら声をかけてくれるとうれしいわ。			さっそくだけどお願いがあるの。準備ができたら声をかけてくれるとうれしいわ。			砂都で待つ仕事							
キャンプ・スカルバレーのファルクブリダ中甲佐は、冒険者に簡単な雑務を頼みたいようだ。			キャンプ・スカルバレーのファルクブリダ中甲佐は、冒険者に簡単な雑務を頼みたいようだ。			迷惑な巣の掃除							
キャンプ・スカルバレーにドードーが巣をつくり迷惑しているという。「ドードーの巣」を撤去し、邪魔をする「ドードー」を退治しよう。			キャンプ・スカルバレーにドードーが巣をつくり迷惑しているという。「ドードーの巣」を撤去し、邪魔をする「ドードー」を退治しよう。			迷惑な巣の掃除							
ドードーを退治し、ドードーの巣を撤去した。キャンプ・スカルバレーの「ファルクブリダ中甲佐」に報告しよう。			ドードーを退治し、ドードーの巣を撤去した。キャンプ・スカルバレーの「ファルクブリダ中甲佐」に報告しよう。			迷惑な巣の掃除							
ファルクブリダ中甲佐は、冒険者の迅速な仕事に満足しているようだ。			ファルクブリダ中甲佐は、冒険者の迅速な仕事に満足しているようだ。			迷惑な巣の掃除							
ドードーの巣を撤去しドードーを討伐			ドードーの巣を撤去しドードーを討伐			迷惑な巣の掃除							
ファルクブリダに報告			ファルクブリダに報告			迷惑な巣の掃除							
せっかく、このキャンプ・スカルバレーまで来たんだ。仕事のひとつでも任せるとしよう。			せっかく、このキャンプ・スカルバレーまで来たんだ。仕事のひとつでも任せるとしよう。			迷惑な巣の掃除							
最近、この周辺に住み着いた「ドードー」が、巣を作って困っているのだ。「ドードーの巣」を速やかに撤去してもらいたい。			最近、この周辺に住み着いた「ドードー」が、巣を作って困っているのだ。「ドードーの巣」を速やかに撤去してもらいたい。			迷惑な巣の掃除							
ドードーの巣にアクセスし、ポップしたドードー2体を倒す。			ドードーの巣にアクセスし、ポップしたドードー2体を倒す。			迷惑な巣の掃除							
……もう終わったのか。やはり冒険者は、仕事の迅速さが一番だな。			……もう終わったのか。やはり冒険者は、仕事の迅速さが一番だな。			迷惑な巣の掃除							
このキャンプ・スカルバレーは、もともとは、北方のオ・ゴモロ山に棲む蛮族……コボルド族の動きを警戒するために作られた拠点なのだ。			このキャンプ・スカルバレーは、もともとは、北方のオ・ゴモロ山に棲む蛮族……コボルド族の動きを警戒するために作られた拠点なのだ。			迷惑な巣の掃除							
その名は、南下するコボルド族に警告するため、討ち取ったコボルド族の頭骨を谷間に並べていたことに由来する。			その名は、南下するコボルド族に警告するため、討ち取ったコボルド族の頭骨を谷間に並べていたことに由来する。			迷惑な巣の掃除							
そうまでして、この地を守ったのは入植者のためさ。だが、今や彼らが飼っていたドードーが野生化し、この始末なんだよ……卵は美味いがな。			そうまでして、この地を守ったのは入植者のためさ。だが、今や彼らが飼っていたドードーが野生化し、この始末なんだよ……卵は美味いがな。			迷惑な巣の掃除							
敵の気配を感じた！！			敵の気配を感じた！！			迷惑な巣の掃除							
キャンプ・スカルバレーのウィルトスィス甲曹長は、冒険者にお使いの仕事を頼みたいようだ。			キャンプ・スカルバレーのウィルトスィス甲曹長は、冒険者にお使いの仕事を頼みたいようだ。			防波壁の兄弟							
ウィルトスィス甲曹長の計らいにより、南北の防波壁にいる各守備隊長に、差し入れをすることになった。まずは「南防波壁」の「スタルレット大甲士」に「ローランドワイン」を渡そう。			ウィルトスィス甲曹長の計らいにより、南北の防波壁にいる各守備隊長に、差し入れをすることになった。まずは「南防波壁」の「スタルレット大甲士」に「ローランドワイン」を渡そう。			防波壁の兄弟							
スタルレット大甲士にローランドワインを渡した。ウィルトスィス甲曹長に報告しよう。			スタルレット大甲士にローランドワインを渡した。ウィルトスィス甲曹長に報告しよう。			防波壁の兄弟							
次は「北防波壁」の「ノルトムーン大甲士」に「ローランドワイン」を渡そう。			次は「北防波壁」の「ノルトムーン大甲士」に「ローランドワイン」を渡そう。			防波壁の兄弟							
ノルトムーン大甲士にローランドワインを渡した。どうやら、兄弟はそろってウィルトスィスに想いを寄せているようだ……。			ノルトムーン大甲士にローランドワインを渡した。どうやら、兄弟はそろってウィルトスィスに想いを寄せているようだ……。			防波壁の兄弟							
スタルレット大甲士にローランドワインを渡す			スタルレット大甲士にローランドワインを渡す			防波壁の兄弟							
ウィルトスィス甲曹長に報告			ウィルトスィス甲曹長に報告			防波壁の兄弟							
ノルトムーン大甲士にローランドワインを渡す			ノルトムーン大甲士にローランドワインを渡す			防波壁の兄弟							
「キャンプ・スカルバレー」には、この本部を中心に、南北に並ぶ隘路に「防波壁」が築かれています。この壁でもって、仇敵サハギン族を水際で防いでいるのです。			「キャンプ・スカルバレー」には、この本部を中心に、南北に並ぶ隘路に「防波壁」が築かれています。この壁でもって、仇敵サハギン族を水際で防いでいるのです。			防波壁の兄弟							
南北防波壁の隊長に、この「ローランドワイン」を、届けてくださいませんか？兵站管理担当官からの、ささやかな振る舞い酒です。			南北防波壁の隊長に、この「ローランドワイン」を、届けてくださいませんか？兵站管理担当官からの、ささやかな振る舞い酒です。			防波壁の兄弟							
まずは南防波壁の防衛隊長、「スタルレット大甲士」のとこへ届けてください。お願いしますね！			まずは南防波壁の防衛隊長、「スタルレット大甲士」のとこへ届けてください。お願いしますね！			防波壁の兄弟							
異常なし……っと！冒険者か、何の用だ？			異常なし……っと！冒険者か、何の用だ？			防波壁の兄弟							
……ウィルトスィスちゃんからの差し入れだって？こいつは気が利くじゃねぇか。はは～ん、やっぱ俺にホの字だな！			……ウィルトスィスちゃんからの差し入れだって？こいつは気が利くじゃねぇか。はは～ん、やっぱ俺にホの字だな！			防波壁の兄弟							
まったく、モテる男はツライぜ！北の防波壁にいるモテない馬鹿兄貴とは大違いだ！			まったく、モテる男はツライぜ！北の防波壁にいるモテない馬鹿兄貴とは大違いだ！			防波壁の兄弟							
はぁぁ～、ウィルトスィスちゃん……。あの幸薄そうなカンジがたまらないんだよなぁ。			はぁぁ～、ウィルトスィスちゃん……。あの幸薄そうなカンジがたまらないんだよなぁ。			防波壁の兄弟							
お帰りなさい！次は、北防波壁の隊長「ノルトムーン大甲士」へ届けてください。			お帰りなさい！次は、北防波壁の隊長「ノルトムーン大甲士」へ届けてください。			防波壁の兄弟							
そうそう、言い忘れてました。スタルレット大甲士とノルトムーン大甲士は実のご兄弟です。でも、なんだかいつも喧嘩しているんですよね……。			そうそう、言い忘れてました。スタルレット大甲士とノルトムーン大甲士は実のご兄弟です。でも、なんだかいつも喧嘩しているんですよね……。			防波壁の兄弟							
異常なし……っと！ここは危険だぜ、怪我しないうちに帰りなよ。			異常なし……っと！ここは危険だぜ、怪我しないうちに帰りなよ。			防波壁の兄弟							
……ウィルトスィスちゃんからの差し入れだって？おお、気が利くねぇ～！今晩は大好物の浮クラゲの刺身で酒盛りだな！			……ウィルトスィスちゃんからの差し入れだって？おお、気が利くねぇ～！今晩は大好物の浮クラゲの刺身で酒盛りだな！			防波壁の兄弟							
それにしても……ウィルトスィスちゃんは、やっぱり俺のこと……ぐふふふ……。いや～照れるぜ。			それにしても……ウィルトスィスちゃんは、やっぱり俺のこと……ぐふふふ……。いや～照れるぜ。			防波壁の兄弟							
どっかの出来の悪い弟が、横恋慕を仕掛けてきやがるが、俺の鉄拳でブッ飛ばしてやるぜ！あのコを幸せにするのは……俺だけだぁ！			どっかの出来の悪い弟が、横恋慕を仕掛けてきやがるが、俺の鉄拳でブッ飛ばしてやるぜ！あのコを幸せにするのは……俺だけだぁ！			防波壁の兄弟							
北防波壁の黒渦団員アリルーフ甲軍曹は、同僚の遅刻に苛立っているようだ。			北防波壁の黒渦団員アリルーフ甲軍曹は、同僚の遅刻に苛立っているようだ。			エールグヘームルに捧ぐ							
アリルーフ甲軍曹の同僚は、墓参りに出かけているようだ。「エールグヘームルの墓」に行き「ルーハンド甲軍曹」に話しかけよう。			アリルーフ甲軍曹の同僚は、墓参りに出かけているようだ。「エールグヘームルの墓」に行き「ルーハンド甲軍曹」に話しかけよう。			エールグヘームルに捧ぐ							
ルーハンド甲軍曹に話した。目の前にある「エールグヘームルの墓」に「スプリングスターの花」を手向けよう。			ルーハンド甲軍曹に話した。目の前にある「エールグヘームルの墓」に「スプリングスターの花」を手向けよう。			エールグヘームルに捧ぐ							
エールグヘームルの墓に、スプリングスターの花を手向けた。もう一度「ルーハンド甲軍曹」に話しかけよう。			エールグヘームルの墓に、スプリングスターの花を手向けた。もう一度「ルーハンド甲軍曹」に話しかけよう。			エールグヘームルに捧ぐ							
