パーラカの里のマトシャは、何かを切り出すタイミングを計っているようだ。			パーラカの里のマトシャは、何かを切り出すタイミングを計っているようだ。			暗闇を彩りながら							
……ふたりの子どもが、今後どうなるかわからないけど、オラもちょくちょく様子を見にこようと思うだす。食べられるようになったら、魚も持って！			……ふたりの子どもが、今後どうなるかわからないけど、オラもちょくちょく様子を見にこようと思うだす。食べられるようになったら、魚も持って！			暗闇を彩りながら							
こっちもチャイを配ってきたわ。これで、ひととおり渡せたんじゃないかしら。			こっちもチャイを配ってきたわ。これで、ひととおり渡せたんじゃないかしら。			暗闇を彩りながら							
皆、目に見えて緊張が和らいだ様子だったよ。あの様子なら、しばらくは新たな獣が生じることもなさそうだ。			皆、目に見えて緊張が和らいだ様子だったよ。あの様子なら、しばらくは新たな獣が生じることもなさそうだ。			暗闇を彩りながら							
無論、いつまでも現状のままとはいかないだろうが……あとのことを錬金術師たちや星戦士団に任せて、ラザハンに向かっても問題ないだろう。			無論、いつまでも現状のままとはいかないだろうが……あとのことを錬金術師たちや星戦士団に任せて、ラザハンに向かっても問題ないだろう。			暗闇を彩りながら							
ええ、是非そうして！キミたちの力や、終末についての知識を必要とする人は、きっと大勢いるだろうから。			ええ、是非そうして！キミたちの力や、終末についての知識を必要とする人は、きっと大勢いるだろうから。			暗闇を彩りながら							
オラも、アキャーリから保存食を持ってきたり、できることをしてみるだす……！			オラも、アキャーリから保存食を持ってきたり、できることをしてみるだす……！			暗闇を彩りながら							
それじゃあ、私たちは行きましょうか。えっと、エスティニアンは……			それじゃあ、私たちは行きましょうか。えっと、エスティニアンは……			暗闇を彩りながら							
ああ、「トラーナ関門」で落ち合うのね。了解よ、ラザハンに繋がる大橋の方に向かいましょう。			ああ、「トラーナ関門」で落ち合うのね。了解よ、ラザハンに繋がる大橋の方に向かいましょう。			暗闇を彩りながら							
ここのことは任せておいて。終末についても、気づいたことがあれば、すぐに連絡を入れるよ。			ここのことは任せておいて。終末についても、気づいたことがあれば、すぐに連絡を入れるよ。			暗闇を彩りながら							
あそこで赤ちゃんを任せてもらえて、どうにか助けられたことが、今のオラの勇気になってるんだす。			あそこで赤ちゃんを任せてもらえて、どうにか助けられたことが、今のオラの勇気になってるんだす。			暗闇を彩りながら							
また悪いことが起きても、あれよりは怖くないだろうっていう、ヤケみたいなものかもしれないけど……本当に、最初よりずっと、心が落ち着いてるんだす。			また悪いことが起きても、あれよりは怖くないだろうっていう、ヤケみたいなものかもしれないけど……本当に、最初よりずっと、心が落ち着いてるんだす。			暗闇を彩りながら							
オラ、あんた方と再会できてよかった。その幸運が、今度はそっちに寄り添いますように……！			オラ、あんた方と再会できてよかった。その幸運が、今度はそっちに寄り添いますように……！			暗闇を彩りながら							
パーラカの里の状況は、エスティニアンに話しておいたよ。			パーラカの里の状況は、エスティニアンに話しておいたよ。			暗闇を彩りながら							
ラハたち、どうしてるかしら……。都市内の騒動が、落ち着いてるといいけど。			ラハたち、どうしてるかしら……。都市内の騒動が、落ち着いてるといいけど。			暗闇を彩りながら							
アルフィノから聞いたぞ、里の方は、ひとまず落ち着いたらしいな。			アルフィノから聞いたぞ、里の方は、ひとまず落ち着いたらしいな。			暗闇を彩りながら							
周辺の森や遺跡を見回っておいたが、獣は見つからなかった。お前たちが大暴れしたのが効いたんだろう。			周辺の森や遺跡を見回っておいたが、獣は見つからなかった。お前たちが大暴れしたのが効いたんだろう。			暗闇を彩りながら							
今後のサベネア島がどうなるか、まさしく「太守」の腕の見せ所だろうな……。			今後のサベネア島がどうなるか、まさしく「太守」の腕の見せ所だろうな……。			暗闇を彩りながら							
さて、こっちは、少し前にサンクレッドから連絡があった。都市内に入ってすぐ、アルザダール通りで待っているそうだ。ひとまず合流するとしよう。			さて、こっちは、少し前にサンクレッドから連絡があった。都市内に入ってすぐ、アルザダール通りで待っているそうだ。ひとまず合流するとしよう。			暗闇を彩りながら							
閑散としているけれど、悪い騒ぎも起きていないようだね。			閑散としているけれど、悪い騒ぎも起きていないようだね。			暗闇を彩りながら							
メーガドゥータ宮前の広場で、獣になったお婆さん……孫がパーラカの里に行ったって言ってたけど、助かった人の中にいたのかしら。			メーガドゥータ宮前の広場で、獣になったお婆さん……孫がパーラカの里に行ったって言ってたけど、助かった人の中にいたのかしら。			暗闇を彩りながら							
あれだけの被害があったんだ、そうそう以前の街には戻らないだろうよ。だが……。			あれだけの被害があったんだ、そうそう以前の街には戻らないだろうよ。だが……。			暗闇を彩りながら							
よく戻ったな、お前も無事で何よりだ。			よく戻ったな、お前も無事で何よりだ。			暗闇を彩りながら							
こっちは、どうにか異形の獣を倒しきった。住民たちの安全を確保できたことで、獣化の連鎖も止まってる。			こっちは、どうにか異形の獣を倒しきった。住民たちの安全を確保できたことで、獣化の連鎖も止まってる。			暗闇を彩りながら							
そこにきて、星戦士団を通じてお達しがあった。重大な話をするから、ラザハンの民は広場に集まれ、だそうだ。……心当たりは？			そこにきて、星戦士団を通じてお達しがあった。重大な話をするから、ラザハンの民は広場に集まれ、だそうだ。……心当たりは？			暗闇を彩りながら							
なるほど、ヴリトラが覚悟を決めたのか……。だったら俺たちも、まずはそれを見届けるとしよう。			なるほど、ヴリトラが覚悟を決めたのか……。だったら俺たちも、まずはそれを見届けるとしよう。			暗闇を彩りながら							
さっそく、メーガドゥータ宮前の広場に……と言いたいところだが、まだ住民の一部に、通達が行き届いていないようでな。			さっそく、メーガドゥータ宮前の広場に……と言いたいところだが、まだ住民の一部に、通達が行き届いていないようでな。			暗闇を彩りながら							
向かう途中で、事情を知らなさそうな奴を見かけたら、声をかけて移動を促してやってくれ。俺も、ひとまわりしてから広場に向かおう。			向かう途中で、事情を知らなさそうな奴を見かけたら、声をかけて移動を促してやってくれ。俺も、ひとまわりしてから広場に向かおう。			暗闇を彩りながら							
通達によれば、メーガドゥータ宮前の広場に集合だそうだ。向かう途中で、事情を知らなさそうな奴を見かけたら、声をかけて移動を促してやってくれ。			通達によれば、メーガドゥータ宮前の広場に集合だそうだ。向かう途中で、事情を知らなさそうな奴を見かけたら、声をかけて移動を促してやってくれ。			暗闇を彩りながら							
あっ、ねえ、化け物はもういなくなったのか？ずっとそこの物置に隠れてたから、俺、わかってなくて……。			あっ、ねえ、化け物はもういなくなったのか？ずっとそこの物置に隠れてたから、俺、わかってなくて……。			暗闇を彩りながら							
よかったぁ……！みんな食べられちゃったらどうしようって思ってたんだ。			よかったぁ……！みんな食べられちゃったらどうしようって思ってたんだ。			暗闇を彩りながら							
ヴァルシャンも無事だといいなぁ……。ときどき一緒に遊ぶ奴なんだけど、かけっこでいつも負けてるから、心配でさ。			ヴァルシャンも無事だといいなぁ……。ときどき一緒に遊ぶ奴なんだけど、かけっこでいつも負けてるから、心配でさ。			暗闇を彩りながら							
太守様のところで働いてるって聞いたから、あいつも広場に集合してるかな？俺、行ってみるよ！			太守様のところで働いてるって聞いたから、あいつも広場に集合してるかな？俺、行ってみるよ！			暗闇を彩りながら							
ヒエエエエッ！やめてくれ俺は食べてもおいしくな……			ヒエエエエッ！やめてくれ俺は食べてもおいしくな……			暗闇を彩りながら							
……って、急に脅かすなよな。街もなんだか静かだし、大声を出して化け物に気づかれたらどうするんだ……！			……って、急に脅かすなよな。街もなんだか静かだし、大声を出して化け物に気づかれたらどうするんだ……！			暗闇を彩りながら							
ひとまず化け物は排除したから、広場に集まれって？だが、しかし……！			ひとまず化け物は排除したから、広場に集まれって？だが、しかし……！			暗闇を彩りながら							
俺は見たんだ、太守様がやられるところを……そこの広場に化け物が現れたとき、民衆を庇って食われたんだ。			俺は見たんだ、太守様がやられるところを……そこの広場に化け物が現れたとき、民衆を庇って食われたんだ。			暗闇を彩りながら							
あの方のほかに、誰がラザハンを導ける？招集をかけたのが、どこのどいつだか知らないが、下手なことを言い出したら、太守様に代わってブン殴ってやる！			あの方のほかに、誰がラザハンを導ける？招集をかけたのが、どこのどいつだか知らないが、下手なことを言い出したら、太守様に代わってブン殴ってやる！			暗闇を彩りながら							
さすがに皆、不安そうだね……。			さすがに皆、不安そうだね……。			暗闇を彩りながら							
だが、私たちは知っているはずだ。偉大なる七大天竜、それが味方についてくれたとき、どれだけ心に力がみなぎるかを。			だが、私たちは知っているはずだ。偉大なる七大天竜、それが味方についてくれたとき、どれだけ心に力がみなぎるかを。			暗闇を彩りながら							
人が続々と集まってきてるわね。……ここに来られなかった人の代わりはできないけれど、そういう人がもう増えないことを願って、聞き届けましょう。			人が続々と集まってきてるわね。……ここに来られなかった人の代わりはできないけれど、そういう人がもう増えないことを願って、聞き届けましょう。			暗闇を彩りながら							
お前の方でも、声をかけてくれたみたいだな。助かる、あとはここで待機するばかりだ。			お前の方でも、声をかけてくれたみたいだな。助かる、あとはここで待機するばかりだ。			暗闇を彩りながら							
おかえりなさい。ヴリトラのこと、アルフィノたちから聞いたわよ。			おかえりなさい。ヴリトラのこと、アルフィノたちから聞いたわよ。			暗闇を彩りながら							
このまま太守を欠いていたら、ラザハンの民が終末を乗り切ることは難しい……。彼の決断が吉と出ることを、私も願っているわ。			このまま太守を欠いていたら、ラザハンの民が終末を乗り切ることは難しい……。彼の決断が吉と出ることを、私も願っているわ。			暗闇を彩りながら							
パーラカの里の混乱を、ひとまず鎮めることができたんだってな。こっちも、どうにか被害を広げずに済んだところだ……。			パーラカの里の混乱を、ひとまず鎮めることができたんだってな。こっちも、どうにか被害を広げずに済んだところだ……。			暗闇を彩りながら							
……あの場ではとっさに指揮を執ったが、オレはもう一生分、「大勢の命」を任された。何よりそれは、通りすがりの旅人が負っていいものじゃない。			……あの場ではとっさに指揮を執ったが、オレはもう一生分、「大勢の命」を任された。何よりそれは、通りすがりの旅人が負っていいものじゃない。			暗闇を彩りながら							
その街に想いがあって、願いがあって、大切なものがある……だからこそ、どんな苦境でも前を向けるものだ。ヴリトラなら、誰よりも確かに、ラザハンを護るさ。			その街に想いがあって、願いがあって、大切なものがある……だからこそ、どんな苦境でも前を向けるものだ。ヴリトラなら、誰よりも確かに、ラザハンを護るさ。			暗闇を彩りながら							
竜と人の融和、か…………。			竜と人の融和、か…………。			暗闇を彩りながら							
……わかってる。今の私たちには、月へ逃げるより安全な選択肢は提示できない。人々とヴリトラが、あんなにラザハンを想っていても……。			……わかってる。今の私たちには、月へ逃げるより安全な選択肢は提示できない。人々とヴリトラが、あんなにラザハンを想っていても……。			暗闇を彩りながら							
何とも歯がゆいな……。だが、俺たちがやるべきことは、宮殿に乗りこむことじゃない。現状をふまえて、次の手を探すぞ。			何とも歯がゆいな……。だが、俺たちがやるべきことは、宮殿に乗りこむことじゃない。現状をふまえて、次の手を探すぞ。			暗闇を彩りながら							
ヴリトラが、民を星外に逃がすことを承諾したとして……哲学者議会は、彼らをどうやって月へ移送するつもりかしら？			ヴリトラが、民を星外に逃がすことを承諾したとして……哲学者議会は、彼らをどうやって月へ移送するつもりかしら？			暗闇を彩りながら							
なあ、そこにいる星戦士って……ヴァナスパティ樹海で、アヒワーンを護衛してた奴じゃないか？ほら、ヴリトラの事情も知ってた、腹心の……。			なあ、そこにいる星戦士って……ヴァナスパティ樹海で、アヒワーンを護衛してた奴じゃないか？ほら、ヴリトラの事情も知ってた、腹心の……。			暗闇を彩りながら							
哲学者議会の提案は突拍子もなく聞こえるが、実際にこれだけの痛手を受けた後だ、逃げたいって奴がいてもおかしくない。			哲学者議会の提案は突拍子もなく聞こえるが、実際にこれだけの痛手を受けた後だ、逃げたいって奴がいてもおかしくない。			暗闇を彩りながら							
「ラザハン太守」は、それを無理に留めはしないだろうさ。あいつなら、恐らくな……。			「ラザハン太守」は、それを無理に留めはしないだろうさ。あいつなら、恐らくな……。			暗闇を彩りながら							
皆様宛に、伝言を預かって参りました。そちらのお話が終わったあとに、お伝えいたしましょう。			皆様宛に、伝言を預かって参りました。そちらのお話が終わったあとに、お伝えいたしましょう。			暗闇を彩りながら							
こうして現実に起きているのに、なおも正体が掴みきれない、終末の災厄……。			こうして現実に起きているのに、なおも正体が掴みきれない、終末の災厄……。			暗闇を彩りながら							
ニッダーナの言ったとおり、それが人の知り得る理の外で生じているとしたら。私たちには、いったい何ができる……？			ニッダーナの言ったとおり、それが人の知り得る理の外で生じているとしたら。私たちには、いったい何ができる……？			暗闇を彩りながら							
聖仙アガマの墳墓のエスティニアンは、静かに待っている。			聖仙アガマの墳墓のエスティニアンは、静かに待っている。			ちっぽけな日常							
ヴリトラと話す			ヴリトラと話す			ちっぽけな日常							
ニッダーナと話す			ニッダーナと話す			ちっぽけな日常							
パーラカの里の住民に熱々のチャイを渡す			パーラカの里の住民に熱々のチャイを渡す			ちっぽけな日常							
ニッダーナと話す			ニッダーナと話す			ちっぽけな日常							
………………。			………………。			ちっぽけな日常							
彼らの魂が、巡り巡って再会せんことを……。そのためにも、私たちは終末を退けなくては。			彼らの魂が、巡り巡って再会せんことを……。そのためにも、私たちは終末を退けなくては。			ちっぽけな日常							
……もういいのか？			……もういいのか？			ちっぽけな日常							
なら、パーラカの里に移動するぞ。ヴリトラたちが待っているだろうからな。			なら、パーラカの里に移動するぞ。ヴリトラたちが待っているだろうからな。			ちっぽけな日常							
お、おお、出迎えもせず申し訳ない。ご覧のとおり、えらいことになっておりまして……。			お、おお、出迎えもせず申し訳ない。ご覧のとおり、えらいことになっておりまして……。			ちっぽけな日常							
君たちも来たか。安心してくれ、こちらは事なきを得た。			君たちも来たか。安心してくれ、こちらは事なきを得た。			ちっぽけな日常							
マトシャは無事にこの里へ辿りつき、今は赤子の手当てに付き添っている。赤子本人も、快方に向かっているそうだ。			マトシャは無事にこの里へ辿りつき、今は赤子の手当てに付き添っている。赤子本人も、快方に向かっているそうだ。			ちっぽけな日常							
あの子の両親……ケラシャフとメヴァンについては聞いている。捜索の途中で、ほかにも多くの犠牲者や、元は人だったであろう獣たちに出会ったとも……。			あの子の両親……ケラシャフとメヴァンについては聞いている。捜索の途中で、ほかにも多くの犠牲者や、元は人だったであろう獣たちに出会ったとも……。			ちっぽけな日常							
……此度の災厄で亡くした者の数は、計り知れない。			……此度の災厄で亡くした者の数は、計り知れない。			ちっぽけな日常							
そして、そのひとりひとりが、あの赤子にとってのケラシャフであり、メヴァンなのだ。			そして、そのひとりひとりが、あの赤子にとってのケラシャフであり、メヴァンなのだ。			ちっぽけな日常							
同時に、助かった「ひとり」もまた、数以上の特別な存在といえるだろう……。			同時に、助かった「ひとり」もまた、数以上の特別な存在といえるだろう……。			ちっぽけな日常							
君たちが、あの赤子を救ってくれたことに、私からも礼を言わせてくれ。本当に……ありがとう……。			君たちが、あの赤子を救ってくれたことに、私からも礼を言わせてくれ。本当に……ありがとう……。			ちっぽけな日常							
偉大なる竜よ……あなたにも、感謝を伝えねばなりません。			偉大なる竜よ……あなたにも、感謝を伝えねばなりません。			ちっぽけな日常							
聞けば、あなたが来てくださらなければ、マトシャも赤子も無事ではなかっただろうとのこと……。			聞けば、あなたが来てくださらなければ、マトシャも赤子も無事ではなかっただろうとのこと……。			ちっぽけな日常							
太守様と盟友の契りを交わした竜がいると、かねてより噂を耳にしてはおりましたが……かように強く優しき方でいらっしゃったのですね。			太守様と盟友の契りを交わした竜がいると、かねてより噂を耳にしてはおりましたが……かように強く優しき方でいらっしゃったのですね。			ちっぽけな日常							
いや……私は…………			いや……私は…………			ちっぽけな日常							
……私は、ヴリトラ。いにしえよりこの島に棲む者だ。			……私は、ヴリトラ。いにしえよりこの島に棲む者だ。			ちっぽけな日常							
そして、アヒワーンら一族の助けを借り、ラザハンの真の太守を務めてきた者でもある。			そして、アヒワーンら一族の助けを借り、ラザハンの真の太守を務めてきた者でもある。			ちっぽけな日常							
(-？？？？-)ええーーーっ！？貴方が太守様だったのーーー！？			(-？？？？-)ええーーーっ！？貴方が太守様だったのーーー！？			ちっぽけな日常							
マトシャ……はともかく、ニッダーナ！？どうしてここに！？			マトシャ……はともかく、ニッダーナ！？どうしてここに！？			ちっぽけな日常							
星戦士団から、パーラカの里がピンチで、キミたちが救援に向かった……って話を聞いてね。			星戦士団から、パーラカの里がピンチで、キミたちが救援に向かった……って話を聞いてね。			ちっぽけな日常							
何か手を貸せることがあればと思って、遺烈郷の仲間を何人か連れてきたんだ。			何か手を貸せることがあればと思って、遺烈郷の仲間を何人か連れてきたんだ。			ちっぽけな日常							
赤ちゃんの治療にも、遺烈郷の錬金術師たちが、手を貸してくれたんだす！			赤ちゃんの治療にも、遺烈郷の錬金術師たちが、手を貸してくれたんだす！			ちっぽけな日常							
……って、アタシたちのことより、今は貴方のことだよ！			……って、アタシたちのことより、今は貴方のことだよ！			ちっぽけな日常							
貴方が本当の太守様だったってことは、もしかして、ヴァルシャンくんの正体だったり……？			貴方が本当の太守様だったってことは、もしかして、ヴァルシャンくんの正体だったり……？			ちっぽけな日常							
…………！ヴァルシャンが人形だと、気づいていたのか……！？			…………！ヴァルシャンが人形だと、気づいていたのか……！？			ちっぽけな日常							
アルキミヤ製薬堂が、太守一族からの依頼で特別な人形を製作してるって噂は、錬金術師の間で長年ささやかれてきたんだ。			アルキミヤ製薬堂が、太守一族からの依頼で特別な人形を製作してるって噂は、錬金術師の間で長年ささやかれてきたんだ。			ちっぽけな日常							
それを知った上で、ヴァルシャンくんを見れば……ね？			それを知った上で、ヴァルシャンくんを見れば……ね？			ちっぽけな日常							
ほかにも気づいた人はいただろうけど、人形を使って市井を知るのも公務のひとつだろうってことで、あえて口に出さなかったんじゃないかな。			ほかにも気づいた人はいただろうけど、人形を使って市井を知るのも公務のひとつだろうってことで、あえて口に出さなかったんじゃないかな。			ちっぽけな日常							
でも、アタシはてっきり、アヒワーン様か側近の誰かが使っているのかと……この真相は、さすがに予想外だったよ！			でも、アタシはてっきり、アヒワーン様か側近の誰かが使っているのかと……この真相は、さすがに予想外だったよ！			ちっぽけな日常							
……お会いできて光栄です、ヴリトラ様。それから、ずっとお礼を言いたかったの。			……お会いできて光栄です、ヴリトラ様。それから、ずっとお礼を言いたかったの。			ちっぽけな日常							
アタシたちを信じて、鱗を提供してくれて、どうもありがとうございました！			アタシたちを信じて、鱗を提供してくれて、どうもありがとうございました！			ちっぽけな日常							
……こちらこそ。霊鱗を完成させてくれた君たち錬金術師は、ラザハンの大いなる誇りだ。			……こちらこそ。霊鱗を完成させてくれた君たち錬金術師は、ラザハンの大いなる誇りだ。			ちっぽけな日常							
そんな風に褒められると、がんばらないわけにはいかないね。大変な状況になってるけど、アタシたち錬金術師も、引き続き尽力したいと思います。			そんな風に褒められると、がんばらないわけにはいかないね。大変な状況になってるけど、アタシたち錬金術師も、引き続き尽力したいと思います。			ちっぽけな日常							
彼女もこう言ってくれたことだ、ここは任せて、私はラザハンの様子を見に戻ろう。君たちはどうする？			彼女もこう言ってくれたことだ、ここは任せて、私はラザハンの様子を見に戻ろう。君たちはどうする？			ちっぽけな日常							
寺院で出会った人々が、無事に戻れているか気になるんだ。少しだけ、里の様子を見回ってから帰ってもいいだろうか？			寺院で出会った人々が、無事に戻れているか気になるんだ。少しだけ、里の様子を見回ってから帰ってもいいだろうか？			ちっぽけな日常							
そういうことなら、是非一緒にやってほしいことがあるんだ。よければ、あっちの焚火の方で話をさせて！			そういうことなら、是非一緒にやってほしいことがあるんだ。よければ、あっちの焚火の方で話をさせて！			ちっぽけな日常							
燃える空は禍々しく感じるけれど、焚火は気持ちが落ちつくね。過去の経験が、そうさせるのかな……。			燃える空は禍々しく感じるけれど、焚火は気持ちが落ちつくね。過去の経験が、そうさせるのかな……。			ちっぽけな日常							
何かしら……？スパイスのいい香りがする……。			何かしら……？スパイスのいい香りがする……。			ちっぽけな日常							
最初に「真の太守」だと明かした相手がこいつらだったのは、ヴリトラにとって幸運だったな。内心、拍子抜けしたんじゃないか？			最初に「真の太守」だと明かした相手がこいつらだったのは、ヴリトラにとって幸運だったな。内心、拍子抜けしたんじゃないか？			ちっぽけな日常							
なんにせよ、あれなら心配無用だろう。今後どういう接し方をするにせよ、な。			なんにせよ、あれなら心配無用だろう。今後どういう接し方をするにせよ、な。			ちっぽけな日常							
Forename、オラ、一生懸命走っただす！最後は結局、エスティニアンとヴリトラ様に、助けてもらっちゃったけど……。			Forename、オラ、一生懸命走っただす！最後は結局、エスティニアンとヴリトラ様に、助けてもらっちゃったけど……。			ちっぽけな日常							
でも、赤ちゃんが元気になりそうだから、オラが間抜けでもいいんだす。へへへ……。			でも、赤ちゃんが元気になりそうだから、オラが間抜けでもいいんだす。へへへ……。			ちっぽけな日常							
お鍋の具合は……うん、もう少しね……。			お鍋の具合は……うん、もう少しね……。			ちっぽけな日常							
じゃあその間に、今の状況について、キミたちが知ってることを聞かせてもらえないかな。燃える空に、異形の獣たち……サベネア島に何が起きてるの？			じゃあその間に、今の状況について、キミたちが知ってることを聞かせてもらえないかな。燃える空に、異形の獣たち……サベネア島に何が起きてるの？			ちっぽけな日常							
終末の災厄……。負の感情による獣への変化と、エーテルの消失……。			終末の災厄……。負の感情による獣への変化と、エーテルの消失……。			ちっぽけな日常							
想像以上にマズい感じだけど、聞けてよかったよ。アタシたちの方でも、何かわかることがないか、仲間たちと考えてみる。			想像以上にマズい感じだけど、聞けてよかったよ。アタシたちの方でも、何かわかることがないか、仲間たちと考えてみる。			ちっぽけな日常							
……って話してる間に、できあがり！遺烈郷で配合されたスパイスと茶葉を、少量の水で煮出して、たっぷりのミルクと砂糖を加えた、あま～い「チャイ」だよ！			……って話してる間に、できあがり！遺烈郷で配合されたスパイスと茶葉を、少量の水で煮出して、たっぷりのミルクと砂糖を加えた、あま～い「チャイ」だよ！			ちっぽけな日常							
これをカップに注いで渡すから、里のみんなに配ってもらいたいんだ。			これをカップに注いで渡すから、里のみんなに配ってもらいたいんだ。			ちっぽけな日常							
遺烈郷で配合されたとなると、特別な薬効があるのかい？			遺烈郷で配合されたとなると、特別な薬効があるのかい？			ちっぽけな日常							
ううん、アタシたちが、おいしさを追求したってだけ！いつも飲んでるやつだから、珍しい材料も使ってないよ。			ううん、アタシたちが、おいしさを追求したってだけ！いつも飲んでるやつだから、珍しい材料も使ってないよ。			ちっぽけな日常							
……チャイの香りや甘さはね、この島の「日常」なんだ。今のみんなに必要なのは、それなんじゃないかと思ったの。			……チャイの香りや甘さはね、この島の「日常」なんだ。今のみんなに必要なのは、それなんじゃないかと思ったの。			ちっぽけな日常							
名案だね。では、ありがたく頂戴して、配ってくるよ。			名案だね。では、ありがたく頂戴して、配ってくるよ。			ちっぽけな日常							
そういう役目は、お前たちに任せた。俺は周辺の見回りでもしてくる。何もなければ、ラザハンに続く「トラーナ関門」で合流だ。			そういう役目は、お前たちに任せた。俺は周辺の見回りでもしてくる。何もなければ、ラザハンに続く「トラーナ関門」で合流だ。			ちっぽけな日常							
プルシャ寺院で会った人たちも、里へ帰ってこられたようだ。家にいられるというだけでも、森の中を逃げ続けるより、よほど安心するんじゃないかな。			プルシャ寺院で会った人たちも、里へ帰ってこられたようだ。家にいられるというだけでも、森の中を逃げ続けるより、よほど安心するんじゃないかな。			ちっぽけな日常							
それにしても、このチャイ、いい香りね……。余りそうだったら、私ももらってみようかしら？			それにしても、このチャイ、いい香りね……。余りそうだったら、私ももらってみようかしら？			ちっぽけな日常							
よければキミも、里のみんなに「熱々のチャイ」を配ってあげて！どんな疲れもほっこり吹っ飛ぶ、遺烈郷仕立てなんだから！			よければキミも、里のみんなに「熱々のチャイ」を配ってあげて！どんな疲れもほっこり吹っ飛ぶ、遺烈郷仕立てなんだから！			ちっぽけな日常							
ん……おめぇさんは……プルシャ寺院で、化け物に襲われてた俺たちを、助けてくれた人じゃないか？			ん……おめぇさんは……プルシャ寺院で、化け物に襲われてた俺たちを、助けてくれた人じゃないか？			ちっぽけな日常							
あのときは、本当に助かった。おかげさまでこうして生きてるんだ、明日からも、腐らずにがんばって……			あのときは、本当に助かった。おかげさまでこうして生きてるんだ、明日からも、腐らずにがんばって……			ちっぽけな日常							
