モモディは冒険者に依頼人を紹介したいようだ。			モモディは冒険者に依頼人を紹介したいようだ。			カッパーベルで消える夢							
クイックサンドのペインテッド・メサと話す			クイックサンドのペインテッド・メサと話す			カッパーベルで消える夢							
モモディと話す			モモディと話す			カッパーベルで消える夢							
用心棒たちを倒せ！			用心棒たちを倒せ！			カッパーベルで消える夢							
……そろそろ依頼主がやってくる時間ね。			……そろそろ依頼主がやってくる時間ね。			カッパーベルで消える夢							
やれやれ、今日も暑いな。いつものを一杯もらえんか。			やれやれ、今日も暑いな。いつものを一杯もらえんか。			カッパーベルで消える夢							
あら、パパシャン所長。ちょうど良かった。依頼されてた件、冒険者が来てくれたわよ。			あら、パパシャン所長。ちょうど良かった。依頼されてた件、冒険者が来てくれたわよ。			カッパーベルで消える夢							
おや？お主は、Surname殿！			おや？お主は、Surname殿！			カッパーベルで消える夢							
いやいや、まさか、お主が来てくださるとは。このパパシャン、感激ですわい。			いやいや、まさか、お主が来てくださるとは。このパパシャン、感激ですわい。			カッパーベルで消える夢							
おや？お主が噂の冒険者殿か。			おや？お主が噂の冒険者殿か。			カッパーベルで消える夢							
私は元銀冑団のパパシャンと申す者。依頼を受けてくださって感謝しますぞ。			私は元銀冑団のパパシャンと申す者。依頼を受けてくださって感謝しますぞ。			カッパーベルで消える夢							
では、所長。依頼内容を説明してくださる？			では、所長。依頼内容を説明してくださる？			カッパーベルで消える夢							
……うむ。この件、「アマジナ鉱山社」の知人から頼まれたのですが、実は、ちと物騒な依頼でしてな。			……うむ。この件、「アマジナ鉱山社」の知人から頼まれたのですが、実は、ちと物騒な依頼でしてな。			カッパーベルで消える夢							
ウルダハ近郊の「カッパーベル銅山」で、再開発中の最下層から巨人族が現れ、暴れておるらしいのです。			ウルダハ近郊の「カッパーベル銅山」で、再開発中の最下層から巨人族が現れ、暴れておるらしいのです。			カッパーベルで消える夢							
巨人族とは、その昔、ソーン朝ウルダハ時代に封印されたはずの「ヘカトンケイレス族」。			巨人族とは、その昔、ソーン朝ウルダハ時代に封印されたはずの「ヘカトンケイレス族」。			カッパーベルで消える夢							
どうやら、最下層にあった封印の岩盤が打ち抜かれたようでしてな……。このままでは開発ができんと、助けを求められたのですよ。			どうやら、最下層にあった封印の岩盤が打ち抜かれたようでしてな……。このままでは開発ができんと、助けを求められたのですよ。			カッパーベルで消える夢							
ソーン朝ウルダハ時代と言えば、今から300年も昔の話よね？			ソーン朝ウルダハ時代と言えば、今から300年も昔の話よね？			カッパーベルで消える夢							
さよう……。			さよう……。			カッパーベルで消える夢							
ソーン朝時代のウルダハ人は、呪術をこめた金属冑を「ヘカトンケイレス族」にかぶせることで彼らを操り、怪力の鉱夫として酷使しておったという。			ソーン朝時代のウルダハ人は、呪術をこめた金属冑を「ヘカトンケイレス族」にかぶせることで彼らを操り、怪力の鉱夫として酷使しておったという。			カッパーベルで消える夢							
だが、呪術が不完全だったのか、反乱が勃発。当時のウルダハ人は、最下層の岩盤を崩落させ、閉じ込めることで、反乱を鎮圧していたようでしてな。			だが、呪術が不完全だったのか、反乱が勃発。当時のウルダハ人は、最下層の岩盤を崩落させ、閉じ込めることで、反乱を鎮圧していたようでしてな。			カッパーベルで消える夢							
そういえば、霊災後の復興特需に対応するためにアマジナ鉱山社は深層の採掘を決定した……って、以前「ミスリルアイ誌」に書かれていたわ。			そういえば、霊災後の復興特需に対応するためにアマジナ鉱山社は深層の採掘を決定した……って、以前「ミスリルアイ誌」に書かれていたわ。			カッパーベルで消える夢							
なるほど……。それで、再開発中に、最下層の封印ってのをうっかりブチ抜いちゃったと。			なるほど……。それで、再開発中に、最下層の封印ってのをうっかりブチ抜いちゃったと。			カッパーベルで消える夢							
彼らにしてみれば、300年越しの反乱なのね。過去からの反乱……何だか浪漫あふれる話だわ！			彼らにしてみれば、300年越しの反乱なのね。過去からの反乱……何だか浪漫あふれる話だわ！			カッパーベルで消える夢							
Surname殿！どうか「ヘカトンケイレス族」の反乱を鎮圧していただきたい！			Surname殿！どうか「ヘカトンケイレス族」の反乱を鎮圧していただきたい！			カッパーベルで消える夢							
冒険者殿！どうか「ヘカトンケイレス族」の反乱を鎮圧していただきたい！			冒険者殿！どうか「ヘカトンケイレス族」の反乱を鎮圧していただきたい！			カッパーベルで消える夢							
危険な依頼であるのは重々承知しておるが、何卒、引き受けてくださらぬか！			危険な依頼であるのは重々承知しておるが、何卒、引き受けてくださらぬか！			カッパーベルで消える夢							
ありがたい。心より、お礼申し上げますぞ！			ありがたい。心より、お礼申し上げますぞ！			カッパーベルで消える夢							
「カッパーベル銅山」は、西ザナラーンにあるわ。気を付けてね！			「カッパーベル銅山」は、西ザナラーンにあるわ。気を付けてね！			カッパーベルで消える夢							
すぐそこに、アマジナ鉱山社の者を待たせております。詳しいことは、その者から聞くと良いでしょう。よろしく頼みましたぞ。			すぐそこに、アマジナ鉱山社の者を待たせております。詳しいことは、その者から聞くと良いでしょう。よろしく頼みましたぞ。			カッパーベルで消える夢							
私はペインテッド・メサ。「アマジナ鉱山社」に勤めている者だ。			私はペインテッド・メサ。「アマジナ鉱山社」に勤めている者だ。			カッパーベルで消える夢							
「カッパーベル銅山」の「ヘカトンケイレス族」鎮圧の依頼を受けた冒険者殿かな？……うむ、ありがたい。			「カッパーベル銅山」の「ヘカトンケイレス族」鎮圧の依頼を受けた冒険者殿かな？……うむ、ありがたい。			カッパーベルで消える夢							
そもそも「カッパーベル銅山」の再開発は、第七霊災からの復興特需に対応するために計画されたものなのだ。			そもそも「カッパーベル銅山」の再開発は、第七霊災からの復興特需に対応するために計画されたものなのだ。			カッパーベルで消える夢							
それが今は、巨人族の反乱によって、開発中断を余儀なくされている。			それが今は、巨人族の反乱によって、開発中断を余儀なくされている。			カッパーベルで消える夢							
このまま開発が中断し続ければ、ウルダハの復興計画自体に支障が出てしまうのだ。それだけは、なんとしても避けねばならん！			このまま開発が中断し続ければ、ウルダハの復興計画自体に支障が出てしまうのだ。それだけは、なんとしても避けねばならん！			カッパーベルで消える夢							
現在「カッパーベル銅山」は、アマジナ鉱山社の自警組織「鉄灯団」が警備している。銅山内部への突入許可は、鉄灯団の者から取ってくれ。			現在「カッパーベル銅山」は、アマジナ鉱山社の自警組織「鉄灯団」が警備している。銅山内部への突入許可は、鉄灯団の者から取ってくれ。			カッパーベルで消える夢							
それでは、活躍を期待しているぞ。ウルダハの未来は、貴公の双肩にかかっておるのだ。			それでは、活躍を期待しているぞ。ウルダハの未来は、貴公の双肩にかかっておるのだ。			カッパーベルで消える夢							
ここはアマジナ鉱山社所有の「カッパーベル銅山」。君のような冒険者には無縁の場所だ。			ここはアマジナ鉱山社所有の「カッパーベル銅山」。君のような冒険者には無縁の場所だ。			カッパーベルで消える夢							
……なに？パパシャン所長たちから依頼を受けて「ヘカトンケイレス族」の鎮圧に来た、だと？			……なに？パパシャン所長たちから依頼を受けて「ヘカトンケイレス族」の鎮圧に来た、だと？			カッパーベルで消える夢							
おお、こんなに早く来てもらえるとは！ありがたい、さっそく鎮圧にかかってくれたまえ。			おお、こんなに早く来てもらえるとは！ありがたい、さっそく鎮圧にかかってくれたまえ。			カッパーベルで消える夢							
外の警備は我々「鉄灯団」に任せたまえ。事情を知らぬ興味本位の輩が迷いこまぬよう、しっかり見張っていよう！			外の警備は我々「鉄灯団」に任せたまえ。事情を知らぬ興味本位の輩が迷いこまぬよう、しっかり見張っていよう！			カッパーベルで消える夢							
わしらも長い間、冒険者をやっておるが、いつの時代も本質は変わらん。			わしらも長い間、冒険者をやっておるが、いつの時代も本質は変わらん。			カッパーベルで消える夢							
冒険者とは本来、「冒険」それ自体のために、挑戦を試みる者たちのことだ。			冒険者とは本来、「冒険」それ自体のために、挑戦を試みる者たちのことだ。			カッパーベルで消える夢							
冒険者は、冒険を通して成長していく。謙譲さ、勇敢さ、献身さ、そして正義の心がな。			冒険者は、冒険を通して成長していく。謙譲さ、勇敢さ、献身さ、そして正義の心がな。			カッパーベルで消える夢							
それらは、数字では現れるものではない。だが、人と人の絆に着実に根付き、自分という存在を大きくしていく。			それらは、数字では現れるものではない。だが、人と人の絆に着実に根付き、自分という存在を大きくしていく。			カッパーベルで消える夢							
わしは、お前さんに何か光るものを感じとる。立派な冒険者になることを祈っておるよ。			わしは、お前さんに何か光るものを感じとる。立派な冒険者になることを祈っておるよ。			カッパーベルで消える夢							
さっき、ドールラス・ベアーっていう冒険者のパーティの遺体を運び出したの……。あの人、ベテランの冒険者だったのに……。			さっき、ドールラス・ベアーっていう冒険者のパーティの遺体を運び出したの……。あの人、ベテランの冒険者だったのに……。			カッパーベルで消える夢							
彼らは、あなたに冒険者としての可能性を感じたのね。あなたの姿をみて焦っていたの。そして、その焦りが事故を生んだ……。			彼らは、あなたに冒険者としての可能性を感じたのね。あなたの姿をみて焦っていたの。そして、その焦りが事故を生んだ……。			カッパーベルで消える夢							
いつも、お爺ちゃんが言ってるわ。人は求めすぎると、足元を見失ってしまうものだって。			いつも、お爺ちゃんが言ってるわ。人は求めすぎると、足元を見失ってしまうものだって。			カッパーベルで消える夢							
富や名誉を目標に掲げるのは素晴らしいことよ。でも、目標を大きくしすぎて、あなたも足元を見失わないようにしてね。			富や名誉を目標に掲げるのは素晴らしいことよ。でも、目標を大きくしすぎて、あなたも足元を見失わないようにしてね。			カッパーベルで消える夢							
「カッパーベル銅山」の「ヘカトンケイレス族」を鎮圧してくれたまえ。活躍を期待しているぞ、冒険者殿。			「カッパーベル銅山」の「ヘカトンケイレス族」を鎮圧してくれたまえ。活躍を期待しているぞ、冒険者殿。			カッパーベルで消える夢							
「ヘカトンケイレス族」鎮圧は君に任せる。外の警備は、我々「鉄灯団」が引き受けよう。			「ヘカトンケイレス族」鎮圧は君に任せる。外の警備は、我々「鉄灯団」が引き受けよう。			カッパーベルで消える夢							
クエスト「カッパーベルで消える夢」のバトルを開始しますか？			クエスト「カッパーベルで消える夢」のバトルを開始しますか？			カッパーベルで消える夢							
はい			はい			カッパーベルで消える夢							
いいえ			いいえ			カッパーベルで消える夢							
おお、冒険者殿。話は聞いた！			おお、冒険者殿。話は聞いた！			カッパーベルで消える夢							
「カッパーベル銅山」を解放してくれたのだろう！よくやってくれた、助かったぞ！これで、開発を続けることもできよう。			「カッパーベル銅山」を解放してくれたのだろう！よくやってくれた、助かったぞ！これで、開発を続けることもできよう。			カッパーベルで消える夢							
パパシャン所長には、私から礼を言っておく。貴公は、モモディ女史に報告に行くといい。			パパシャン所長には、私から礼を言っておく。貴公は、モモディ女史に報告に行くといい。			カッパーベルで消える夢							
(-？？？？-)キャァァァァ！			(-？？？？-)キャァァァァ！			カッパーベルで消える夢							
(-ガラの悪い商人-)おおう！うちの店から、食い物を盗んだってのはわかってるんだ！			(-ガラの悪い商人-)おおう！うちの店から、食い物を盗んだってのはわかってるんだ！			カッパーベルで消える夢							
そ、そんな！私はやっていません……！			そ、そんな！私はやっていません……！			カッパーベルで消える夢							
これは、ちゃんと買ったものです！			これは、ちゃんと買ったものです！			カッパーベルで消える夢							
(-ガラの悪い商人-)うるせぇ！お前たち難民が、肉を買えるほどの金を持ってるわけがないだろう！			(-ガラの悪い商人-)うるせぇ！お前たち難民が、肉を買えるほどの金を持ってるわけがないだろう！			カッパーベルで消える夢							
(-ガラの悪い商人-)さっさと盗んだモールの肉を出しな！			(-ガラの悪い商人-)さっさと盗んだモールの肉を出しな！			カッパーベルで消える夢							
(-ガラの悪い商人-)それとも？別の稼ぎ方で返してもらってもいいんだぜ？……なぁ？			(-ガラの悪い商人-)それとも？別の稼ぎ方で返してもらってもいいんだぜ？……なぁ？			カッパーベルで消える夢							
ど、どなたかお助けを！			ど、どなたかお助けを！			カッパーベルで消える夢							
お、お願いです、冒険者様！助けてください！			お、お願いです、冒険者様！助けてください！			カッパーベルで消える夢							
私は何もしていません！本当に、ちゃんと買ったものなんです！			私は何もしていません！本当に、ちゃんと買ったものなんです！			カッパーベルで消える夢							
(-ガラの悪い商人-)なんだぁ？てめぇ、この女の仲間か！？			(-ガラの悪い商人-)なんだぁ？てめぇ、この女の仲間か！？			カッパーベルで消える夢							
(-ガラの悪い商人-)構わねぇ。お前ら、やっちまえ！			(-ガラの悪い商人-)構わねぇ。お前ら、やっちまえ！			カッパーベルで消える夢							
な、なんだこいつ！？ズラかるぞ！			な、なんだこいつ！？ズラかるぞ！			カッパーベルで消える夢							
(-ガラの悪い商人-)こ、こら待て！こんのやろう、使えない奴らめ！			(-ガラの悪い商人-)こ、こら待て！こんのやろう、使えない奴らめ！			カッパーベルで消える夢							
あ、ありがとうございます……。助かりました……。			あ、ありがとうございます……。助かりました……。			カッパーベルで消える夢							
また難民が増えたんじゃないか？			また難民が増えたんじゃないか？			カッパーベルで消える夢							
ああ、「霊災難民」ってやつだろ。			ああ、「霊災難民」ってやつだろ。			カッパーベルで消える夢							
第七霊災、それに先の大戦で、住むところを失った人々……か。			第七霊災、それに先の大戦で、住むところを失った人々……か。			カッパーベルで消える夢							
個人だけじゃない。一連の霊災の影響で物流が途切れて、村ごと捨てたってのも、よく聞く話だ。			個人だけじゃない。一連の霊災の影響で物流が途切れて、村ごと捨てたってのも、よく聞く話だ。			カッパーベルで消える夢							
生きてるのなら、まだ幸せかもしれん。食糧難で全滅した村も多いと言うからな……。			生きてるのなら、まだ幸せかもしれん。食糧難で全滅した村も多いと言うからな……。			カッパーベルで消える夢							
難民が、辺境から都市部へと移ってきているのは知っていたが……。			難民が、辺境から都市部へと移ってきているのは知っていたが……。			カッパーベルで消える夢							
増えているのは、ウルダハだけなのか？			増えているのは、ウルダハだけなのか？			カッパーベルで消える夢							
どの国も同じらしいぞ。			どの国も同じらしいぞ。			カッパーベルで消える夢							
もっとも、ウルダハは物資が豊かな「商都」だからな。食い扶持があるとでも思われているんだろ。ほかに比べれば多いかもしれん。			もっとも、ウルダハは物資が豊かな「商都」だからな。食い扶持があるとでも思われているんだろ。ほかに比べれば多いかもしれん。			カッパーベルで消える夢							
治安が悪化しないといいが。			治安が悪化しないといいが。			カッパーベルで消える夢							
そこは「不滅隊」を警備に回すとか。			そこは「不滅隊」を警備に回すとか。			カッパーベルで消える夢							
グランドカンパニーまで出してるのか？			グランドカンパニーまで出してるのか？			カッパーベルで消える夢							
ラウバーン様が上手くやるだろうさ。			ラウバーン様が上手くやるだろうさ。			カッパーベルで消える夢							
それより怖いのは暴動だよ。難民には家も職もない奴が多いからな。			それより怖いのは暴動だよ。難民には家も職もない奴が多いからな。			カッパーベルで消える夢							
富がものをいうウルダハで、そんな状況が長く続けばどうなるか。			富がものをいうウルダハで、そんな状況が長く続けばどうなるか。			カッパーベルで消える夢							
不安だな……。			不安だな……。			カッパーベルで消える夢							
まぁ、難民が全て悪いってわけじゃない。運良く職を見つけたヤツらは、まっとうな生活をしているわけだからな。			まぁ、難民が全て悪いってわけじゃない。運良く職を見つけたヤツらは、まっとうな生活をしているわけだからな。			カッパーベルで消える夢							
今日はモールの肉が大特価だ！奥さんどうだい、安くしとくよ！			今日はモールの肉が大特価だ！奥さんどうだい、安くしとくよ！			カッパーベルで消える夢							
毎度～！また来てちょうだいね～！			毎度～！また来てちょうだいね～！			カッパーベルで消える夢							
……復興が華やかに進んでいるように見えて、その裏で、増える一方の難民。			……復興が華やかに進んでいるように見えて、その裏で、増える一方の難民。			カッパーベルで消える夢							
エオルゼアの光と闇ってとこか……。			エオルゼアの光と闇ってとこか……。			カッパーベルで消える夢							
もし……？			もし……？			カッパーベルで消える夢							
(-ガラの悪い商人-)なんだ！や、やろうってのか！？			(-ガラの悪い商人-)なんだ！や、やろうってのか！？			カッパーベルで消える夢							
(-ガラの悪い商人-)……なんだと？この女が、ちゃんと買ってるところを見ただと！？			(-ガラの悪い商人-)……なんだと？この女が、ちゃんと買ってるところを見ただと！？			カッパーベルで消える夢							
(-？？？？-)そうだ、こっちもちゃんと見てたぞ！言い掛かりは止めろ！			(-？？？？-)そうだ、こっちもちゃんと見てたぞ！言い掛かりは止めろ！			カッパーベルで消える夢							
(-ガラの悪い商人-)だ、だれだ！？			(-ガラの悪い商人-)だ、だれだ！？			カッパーベルで消える夢							
(-ガラの悪い商人-)チッ！覚えとけよ！			(-ガラの悪い商人-)チッ！覚えとけよ！			カッパーベルで消える夢							
本当に助かりました。ありがとうございました。			本当に助かりました。ありがとうございました。			カッパーベルで消える夢							
(-？？？？-)一件落着……だね！			(-？？？？-)一件落着……だね！			カッパーベルで消える夢							
ヤッホー！			ヤッホー！			カッパーベルで消える夢							
君がグリダニアを発ってからの行動をしばらく見させてもらってたよ。			君がグリダニアを発ってからの行動をしばらく見させてもらってたよ。			カッパーベルで消える夢							
使者としての謙譲な振る舞い。危険を省みず困難に挑戦していく勇敢さ。			使者としての謙譲な振る舞い。危険を省みず困難に挑戦していく勇敢さ。			カッパーベルで消える夢							
自分の利益を顧みないで自己の力を尽くす献身さ。困った人を助ける正義の心！			自分の利益を顧みないで自己の力を尽くす献身さ。困った人を助ける正義の心！			カッパーベルで消える夢							
どれも冒険者として、十分な素質の持ち主だ。			どれも冒険者として、十分な素質の持ち主だ。			カッパーベルで消える夢							
ま、さっきのは、どっちかってゆーと巻き込まれてたけど。			ま、さっきのは、どっちかってゆーと巻き込まれてたけど。			カッパーベルで消える夢							
そして、君の持つ能力……「超える力」。君が見てきた「幻」が一体何なのか、興味はないかい？			そして、君の持つ能力……「超える力」。君が見てきた「幻」が一体何なのか、興味はないかい？			カッパーベルで消える夢							
あたしたちは、キミと同じ力を持つ人を知ってるんだ。その人と、ある計画を進めていてね。そのために、キミの力を借りたいんだ！			あたしたちは、キミと同じ力を持つ人を知ってるんだ。その人と、ある計画を進めていてね。そのために、キミの力を借りたいんだ！			カッパーベルで消える夢							
君が力を貸してくれれば、僕たちは、君が冒険者として活躍するための援助をすることもできる。			君が力を貸してくれれば、僕たちは、君が冒険者として活躍するための援助をすることもできる。			カッパーベルで消える夢							
これから、冒険者ギルドへ報告に戻るんだろ？クイックサンドのモモディには話を通してある。興味があるなら、彼女に話を聞いてみてくれよ。			これから、冒険者ギルドへ報告に戻るんだろ？クイックサンドのモモディには話を通してある。興味があるなら、彼女に話を聞いてみてくれよ。			カッパーベルで消える夢							
あたしたちは、秘密組織「暁の血盟」の一員なの。ちょっとした正義の味方ってわけ！			あたしたちは、秘密組織「暁の血盟」の一員なの。ちょっとした正義の味方ってわけ！			カッパーベルで消える夢							
(-？？？？-)一件落着……かしら？			(-？？？？-)一件落着……かしら？			カッパーベルで消える夢							
お久しぶりね。			お久しぶりね。			カッパーベルで消える夢							
あなたがリムサ・ロミンサを発ってからの行動をしばらく見させてもらっていたわ。			あなたがリムサ・ロミンサを発ってからの行動をしばらく見させてもらっていたわ。			カッパーベルで消える夢							
使者としての謙譲な振る舞い。危険を省みず困難に挑戦していく勇敢さ。			使者としての謙譲な振る舞い。危険を省みず困難に挑戦していく勇敢さ。			カッパーベルで消える夢							
自分の利益を顧みないで自己の力を尽くす献身さ。困った人を助ける正義の心。			自分の利益を顧みないで自己の力を尽くす献身さ。困った人を助ける正義の心。			カッパーベルで消える夢							
どれも冒険者として、十分な素質の持ち主ね。			どれも冒険者として、十分な素質の持ち主ね。			カッパーベルで消える夢							
まぁ……さっきのは、どっちかっていうと巻き込まれていたようだけど。			まぁ……さっきのは、どっちかっていうと巻き込まれていたようだけど。			カッパーベルで消える夢							
そして、あなたの持つ能力……「超える力」。あなたが見てきた「幻」が一体何なのか、興味はない？			そして、あなたの持つ能力……「超える力」。あなたが見てきた「幻」が一体何なのか、興味はない？			カッパーベルで消える夢							
私は、あなたと同じ力を持つ人を知っている。その人と、ある計画を進めているの。そのために、あなたの力を借りたいのよ。			私は、あなたと同じ力を持つ人を知っている。その人と、ある計画を進めているの。そのために、あなたの力を借りたいのよ。			カッパーベルで消える夢							
あなたが力を貸してくれれば、私たちは、あなたが冒険者として活躍するための援助をすることもできる。			あなたが力を貸してくれれば、私たちは、あなたが冒険者として活躍するための援助をすることもできる。			カッパーベルで消える夢							
これから、冒険者ギルドへ報告に戻るんでしょ？クイックサンドのモモディさんには話を通してあるわ。興味があるなら、彼女に話を聞いて。			これから、冒険者ギルドへ報告に戻るんでしょ？クイックサンドのモモディさんには話を通してあるわ。興味があるなら、彼女に話を聞いて。			カッパーベルで消える夢							
私たちは、秘密組織「暁の血盟」の一員。ちょっとした正義の味方ってところかな。			私たちは、秘密組織「暁の血盟」の一員。ちょっとした正義の味方ってところかな。			カッパーベルで消える夢							
(-？？？？-)一件落着……かな？			(-？？？？-)一件落着……かな？			カッパーベルで消える夢							
よっ！しばらくだな！			よっ！しばらくだな！			カッパーベルで消える夢							
君がウルダハを発ってからの行動をしばらく見させてもらっていたよ。			君がウルダハを発ってからの行動をしばらく見させてもらっていたよ。			カッパーベルで消える夢							
使者としての謙譲な振る舞い。危険を省みず困難に挑戦していく勇敢さ。			使者としての謙譲な振る舞い。危険を省みず困難に挑戦していく勇敢さ。			カッパーベルで消える夢							
自分の利益を顧みないで自己の力を尽くす献身さ。困った人を助ける正義の心。			自分の利益を顧みないで自己の力を尽くす献身さ。困った人を助ける正義の心。			カッパーベルで消える夢							
どれも冒険者として、十分な素質の持ち主だ。			どれも冒険者として、十分な素質の持ち主だ。			カッパーベルで消える夢							
まぁ、さっきのは、どっちかっていうと巻き込まれたけどな。			まぁ、さっきのは、どっちかっていうと巻き込まれたけどな。			カッパーベルで消える夢							
そして、君の持つ能力……「超える力」。君が見てきた「幻」が一体何なのか、興味はないか？			そして、君の持つ能力……「超える力」。君が見てきた「幻」が一体何なのか、興味はないか？			カッパーベルで消える夢							
俺は、君と同じ力を持つ人を知っている。その人と、ある計画を進めていてね。そのために、君の力を借りたいんだ。			俺は、君と同じ力を持つ人を知っている。その人と、ある計画を進めていてね。そのために、君の力を借りたいんだ。			カッパーベルで消える夢							
君が力を貸してくれれば、俺たちは、君が冒険者として活躍するための援助をすることもできる。			君が力を貸してくれれば、俺たちは、君が冒険者として活躍するための援助をすることもできる。			カッパーベルで消える夢							
これから、冒険者ギルドへ報告に戻るんだろ？クイックサンドのモモディさんには話を通してある。興味があるなら、彼女に話を聞いてみてくれ。			これから、冒険者ギルドへ報告に戻るんだろ？クイックサンドのモモディさんには話を通してある。興味があるなら、彼女に話を聞いてみてくれ。			カッパーベルで消える夢							
俺たちは、秘密組織「暁の血盟」の一員だ。ちょっとした正義の味方ってところさ。			俺たちは、秘密組織「暁の血盟」の一員だ。ちょっとした正義の味方ってところさ。			カッパーベルで消える夢							
あらあら……また揉め事があったみたいね。でも、ここじゃ日常茶飯事なの。ウルダハでがんばるなら、ああいう風になっちゃだめよ？			あらあら……また揉め事があったみたいね。でも、ここじゃ日常茶飯事なの。ウルダハでがんばるなら、ああいう風になっちゃだめよ？			カッパーベルで消える夢							
それじゃ、がんばってね。何かあれば相談に乗るわよ。			それじゃ、がんばってね。何かあれば相談に乗るわよ。			カッパーベルで消える夢							
……でも、人生相談はお断り。恋愛相談なら考えてあげてもいいわ。ウフフ。			……でも、人生相談はお断り。恋愛相談なら考えてあげてもいいわ。ウフフ。			カッパーベルで消える夢							
あら、おかえりなさい！新人の冒険者が登録に来ていたの。お待たせしたかしら。			あら、おかえりなさい！新人の冒険者が登録に来ていたの。お待たせしたかしら。			カッパーベルで消える夢							
そうそう、アマジナ鉱山社から連絡が来てたわ！よくやってくれたわね！			そうそう、アマジナ鉱山社から連絡が来てたわ！よくやってくれたわね！			カッパーベルで消える夢							
さすがは、Forename。あなたなら、解決してくれると思ってたの！パパシャン所長も喜んでいたわよ。			さすがは、Forename。あなたなら、解決してくれると思ってたの！パパシャン所長も喜んでいたわよ。			カッパーベルで消える夢							
さすがは噂の冒険者さん。評判通りの実力ね！パパシャン所長も喜んでいたわよ。			さすがは噂の冒険者さん。評判通りの実力ね！パパシャン所長も喜んでいたわよ。			カッパーベルで消える夢							
あなたに紹介したい人がいるの。こっちへいらっしゃい。			あなたに紹介したい人がいるの。こっちへいらっしゃい。			カッパーベルで消える夢							
は、はじめまして。わたしはエッダと言います。あなたと一度、お話がしたかったのです。			は、はじめまして。わたしはエッダと言います。あなたと一度、お話がしたかったのです。			カッパーベルで消える夢							
