忘れられたオアシスの族長ウ・オド・ヌンは、冒険者を試したいようだ。			忘れられたオアシスの族長ウ・オド・ヌンは、冒険者を試したいようだ。			ウ族の試練							
アングラーの死体を指定地点に配置、ラムトンウォーム×1がPOPするので倒す。ラムトンウォーム肉をゲット			アングラーの死体を指定地点に配置、ラムトンウォーム×1がPOPするので倒す。ラムトンウォーム肉をゲット			ラムトンウォームの肉							
やれやれ、とんだ冒険者が来たもんだな。「海雄旅団」がまだ残っていたら、勧誘していたところだぜ。			やれやれ、とんだ冒険者が来たもんだな。「海雄旅団」がまだ残っていたら、勧誘していたところだぜ。			ラムトンウォームの肉							
さあ、お前の求める情報に答えよう。この辺りで採れる「エオルゼア三大珍味」は、「ラムトンウォームの肉」だ。			さあ、お前の求める情報に答えよう。この辺りで採れる「エオルゼア三大珍味」は、「ラムトンウォームの肉」だ。			ラムトンウォームの肉							
ラムトンウォームとは、メスのサンドウォームのこと。だが、こいつは個体数が少ないうえ、滅多に姿を現さない。この周辺に現われる奴らは、全部オスなのだ。			ラムトンウォームとは、メスのサンドウォームのこと。だが、こいつは個体数が少ないうえ、滅多に姿を現さない。この周辺に現われる奴らは、全部オスなのだ。			ラムトンウォームの肉							
ラムトンウォームをおびき寄せるには餌で釣るしかない。			ラムトンウォームをおびき寄せるには餌で釣るしかない。			ラムトンウォームの肉							
奴の縄張りの近くに、好物である「アングラーの死体」を置いてみろ。場所は、地図に印をつけておいた。			奴の縄張りの近くに、好物である「アングラーの死体」を置いてみろ。場所は、地図に印をつけておいた。			ラムトンウォームの肉							
アングラーの死体は、アングラーを倒せば手に入るはずだ。			アングラーの死体は、アングラーを倒せば手に入るはずだ。			ラムトンウォームの肉							
腹を減らしたラムトンウォームは凶暴だが……。そこは、てめぇの技量で切り抜けるんだぜ？			腹を減らしたラムトンウォームは凶暴だが……。そこは、てめぇの技量で切り抜けるんだぜ？			ラムトンウォームの肉							
おう、調子はどうだ。「ラムトンウォームの肉」は手に入ったか？			おう、調子はどうだ。「ラムトンウォームの肉」は手に入ったか？			ラムトンウォームの肉							
……コイツはたまげた。いや、てめぇならできると思ってたぜ。てめぇの「技量」は、たしかに見届けた。			……コイツはたまげた。いや、てめぇならできると思ってたぜ。てめぇの「技量」は、たしかに見届けた。			ラムトンウォームの肉							
ラムトンウォームの肉は足が早いからな。日保ちするよう燻製にして、あとでヴェイスケート副団長に送っておいてやろう。			ラムトンウォームの肉は足が早いからな。日保ちするよう燻製にして、あとでヴェイスケート副団長に送っておいてやろう。			ラムトンウォームの肉							
さて、最後の「珍味」の在り処だが……お前にゃ悪いが、俺は知らねえんだ。「コスタ・デル・ソル」に戻って、副団長に聞いてくれ。			さて、最後の「珍味」の在り処だが……お前にゃ悪いが、俺は知らねえんだ。「コスタ・デル・ソル」に戻って、副団長に聞いてくれ。			ラムトンウォームの肉							
……っと、そうだ。どうせコスタ・デル・ソルまで帰るなら、副団長に、手土産を持っていってくれないか。			……っと、そうだ。どうせコスタ・デル・ソルまで帰るなら、副団長に、手土産を持っていってくれないか。			ラムトンウォームの肉							
敵の気配を感じた！！			敵の気配を感じた！！			ラムトンウォームの肉							
忘れられたオアシスの族長ウ・オド・ヌンは、冒険者に届けてほしいものがあるようだ。			忘れられたオアシスの族長ウ・オド・ヌンは、冒険者に届けてほしいものがあるようだ。			思い出の土産酒							
ウ・オド・ヌンは「オニキスブランデー」を届けてほしいようだ。コスタ・デル・ソルのヴェイスケートに届けよう。			ウ・オド・ヌンは「オニキスブランデー」を届けてほしいようだ。コスタ・デル・ソルのヴェイスケートに届けよう。			思い出の土産酒							
オニキスブランデーをヴェイスケートに届けた。最後の珍味の在り処はヴェイスケートが教えてくれるらしい。			オニキスブランデーをヴェイスケートに届けた。最後の珍味の在り処はヴェイスケートが教えてくれるらしい。			思い出の土産酒							
コスタ・デル・ソルのヴェイスケートにオニキスブランデーを渡す			コスタ・デル・ソルのヴェイスケートにオニキスブランデーを渡す			思い出の土産酒							
この「オニキスブランデー」を、「コスタ・デル・ソル」の「ヴェイスケート」副団長に、届けてほしいのさ。			この「オニキスブランデー」を、「コスタ・デル・ソル」の「ヴェイスケート」副団長に、届けてほしいのさ。			思い出の土産酒							
副団長には、昔、さんざん世話になってな。俺が若くて血気盛んだった頃は、何かと副団長に、つっかかっちまったのさ。			副団長には、昔、さんざん世話になってな。俺が若くて血気盛んだった頃は、何かと副団長に、つっかかっちまったのさ。			思い出の土産酒							
副団長は、どんなに俺が生意気なことを言おうと、俺の「力」だけは認めていてくれた。……わがままに随分付き合ってもらったもんだ。			副団長は、どんなに俺が生意気なことを言おうと、俺の「力」だけは認めていてくれた。……わがままに随分付き合ってもらったもんだ。			思い出の土産酒							
「三大珍味」を、もう2つも手に入れたんだ。さぁ、最後の珍味の情報を、副団長に聞いてきな！			「三大珍味」を、もう2つも手に入れたんだ。さぁ、最後の珍味の情報を、副団長に聞いてきな！			思い出の土産酒							
……ウ・オド・ヌンのもとから帰ってきたか。「珍味」の調達は、順調のようだな。			……ウ・オド・ヌンのもとから帰ってきたか。「珍味」の調達は、順調のようだな。			思い出の土産酒							
こいつは……。俺が好きな「オニキスブランデー」じゃないか。……ウ・オドの野郎、お前のことを気に入ったようだな。			こいつは……。俺が好きな「オニキスブランデー」じゃないか。……ウ・オドの野郎、お前のことを気に入ったようだな。			思い出の土産酒							
さぁ、次は「エオルゼア三大珍味」最後の品だ。準備ができたら、始めようじゃないか。			さぁ、次は「エオルゼア三大珍味」最後の品だ。準備ができたら、始めようじゃないか。			思い出の土産酒							
忘れられたオアシスの族長ウ・オド・ヌンは、冒険者を信用していないようだ。			忘れられたオアシスの族長ウ・オド・ヌンは、冒険者を信用していないようだ。			ウ・オド・ヌンの不文律							
*本クエストは調整されました。一度破棄し、忘れられたオアシスの「ウ・オド・ヌン」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			*本クエストは調整されました。一度破棄し、忘れられたオアシスの「ウ・オド・ヌン」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			ウ・オド・ヌンの不文律							
ドレイクの鮮血を7つ手に入れた。忘れられたオアシスの「ウ・オド・ヌン」に渡そう。			ドレイクの鮮血を7つ手に入れた。忘れられたオアシスの「ウ・オド・ヌン」に渡そう。			ウ・オド・ヌンの不文律							
ウ・オド・ヌンは、冒険者のことを少し認めてくれたようだが……。			ウ・オド・ヌンは、冒険者のことを少し認めてくれたようだが……。			ウ・オド・ヌンの不文律							
*本クエストは調整されました。一度破棄し、忘れられたオアシスのウ・オド・ヌンから再受注してください			*本クエストは調整されました。一度破棄し、忘れられたオアシスのウ・オド・ヌンから再受注してください			ウ・オド・ヌンの不文律							
ドレイクを倒し、ドレイクの血を入手×3			ドレイクを倒し、ドレイクの血を入手×3			ウ・オド・ヌンの不文律							
……フン。まだいたのか。			……フン。まだいたのか。			ウ・オド・ヌンの不文律							
……クソ野郎の臭いはしねぇようだな。ランドゥネルのところの「珍味」は採れたんだろう？なるほど、ただの木偶の坊じゃないってことか。			……クソ野郎の臭いはしねぇようだな。ランドゥネルのところの「珍味」は採れたんだろう？なるほど、ただの木偶の坊じゃないってことか。			ウ・オド・ヌンの不文律							
とはいえ、安易にてめぇの手助けなんかしねぇ。なんせ俺はこの「オアシス」を仕切る、ウ族の「ヌン」……つまり族長だ。			とはいえ、安易にてめぇの手助けなんかしねぇ。なんせ俺はこの「オアシス」を仕切る、ウ族の「ヌン」……つまり族長だ。			ウ・オド・ヌンの不文律							
ウ族ってのはな、徹底的な実力至上主義。俺が海雄旅団に入ったのだって、技を磨くためだ。			ウ族ってのはな、徹底的な実力至上主義。俺が海雄旅団に入ったのだって、技を磨くためだ。			ウ・オド・ヌンの不文律							
ウ族の族長を張ってるモンが、昔の上司の言付けひとつで、よそ者を助けちまったら、下のモンたちに示しがつかねぇ。			ウ族の族長を張ってるモンが、昔の上司の言付けひとつで、よそ者を助けちまったら、下のモンたちに示しがつかねぇ。			ウ・オド・ヌンの不文律							
どうしても「珍味」を手に入れたいのなら、この俺に、てめぇの技のほどを見せてみろ。			どうしても「珍味」を手に入れたいのなら、この俺に、てめぇの技のほどを見せてみろ。			ウ・オド・ヌンの不文律							
そうだな……ウ族のミコッテが、一人前の狩人になったことを示す儀式がある。こいつをてめぇに課す。			そうだな……ウ族のミコッテが、一人前の狩人になったことを示す儀式がある。こいつをてめぇに課す。			ウ・オド・ヌンの不文律							
「ドレイク」を7体狩り、その血を持ってくるんだ。さあ、わかったら、さっさと行ってこい。			「ドレイク」を7体狩り、その血を持ってくるんだ。さあ、わかったら、さっさと行ってこい。			ウ・オド・ヌンの不文律							
ドレイクを7体狩り、その血を持ってこい。こいつができなきゃ「珍味」は諦めな。			ドレイクを7体狩り、その血を持ってこい。こいつができなきゃ「珍味」は諦めな。			ウ・オド・ヌンの不文律							
……フン、最低限はできるようだ。だが、この程度で終わりだと思ってないだろうな？			……フン、最低限はできるようだ。だが、この程度で終わりだと思ってないだろうな？			ウ・オド・ヌンの不文律							
てめぇの技量は、この程度じゃ見きれねぇ。もういっちょ、課題を出させてもらうとしようか。			てめぇの技量は、この程度じゃ見きれねぇ。もういっちょ、課題を出させてもらうとしようか。			ウ・オド・ヌンの不文律							
