モルド・スークのケリッグは、テイナーの修行について悩んでいるようだ。			モルド・スークのケリッグは、テイナーの修行について悩んでいるようだ。			がんばれ、テイナー							
そうだな……魔法の威力は十分に見えたぞ。後は、うまく命中させるだけなんだが……。			そうだな……魔法の威力は十分に見えたぞ。後は、うまく命中させるだけなんだが……。			がんばれ、テイナー							
Forenameさんから見て、どうでした？ぼくの戦い方は……。			Forenameさんから見て、どうでした？ぼくの戦い方は……。			がんばれ、テイナー							
テイナーに何とアドバイスする？			テイナーに何とアドバイスする？			がんばれ、テイナー							
最初は、そんなものだ			最初は、そんなものだ			がんばれ、テイナー							
自信を持てば、大丈夫！			自信を持てば、大丈夫！			がんばれ、テイナー							
ありがとうございます……。一度の失敗くらいで、へこたれていられませんものね。もう一回、挑戦してみます！			ありがとうございます……。一度の失敗くらいで、へこたれていられませんものね。もう一回、挑戦してみます！			がんばれ、テイナー							
我慢……我慢だぞ、俺。テイナーなら、大丈夫……！			我慢……我慢だぞ、俺。テイナーなら、大丈夫……！			がんばれ、テイナー							
やった……やりました、ぼく！			やった……やりました、ぼく！			がんばれ、テイナー							
おお、見事に倒せたな！初勝利……しっかり見届けたぜ！			おお、見事に倒せたな！初勝利……しっかり見届けたぜ！			がんばれ、テイナー							
えへへ……嬉しい。Forenameさんのアドバイスのおかげです。			えへへ……嬉しい。Forenameさんのアドバイスのおかげです。			がんばれ、テイナー							
よし、この調子で、もう何戦かこなして、戦闘の感覚を染み込ませるぞ！			よし、この調子で、もう何戦かこなして、戦闘の感覚を染み込ませるぞ！			がんばれ、テイナー							
だいぶ落ち着いて戦えるようになってきたな。これなら、本番も大丈夫だろう！			だいぶ落ち着いて戦えるようになってきたな。これなら、本番も大丈夫だろう！			がんばれ、テイナー							
……ふぅ、たくさん苦戦しました。でも、ぼくだって立ち向かえるんだとわかって、自信がつきました……！			……ふぅ、たくさん苦戦しました。でも、ぼくだって立ち向かえるんだとわかって、自信がつきました……！			がんばれ、テイナー							
ああ、最後の方なんか、俺から見ても見事な戦いだった。そいじゃ、「モルド・スーク」へ戻ろうか。			ああ、最後の方なんか、俺から見ても見事な戦いだった。そいじゃ、「モルド・スーク」へ戻ろうか。			がんばれ、テイナー							
修行って、すごいですね！実力も自信もつくし、いつまでもやってられそうです。			修行って、すごいですね！実力も自信もつくし、いつまでもやってられそうです。			がんばれ、テイナー							
おかげで、テイナーの修行もはかどった。いい師匠ぶりだったぜ！　……邪魔した俺と違ってな。			おかげで、テイナーの修行もはかどった。いい師匠ぶりだったぜ！　……邪魔した俺と違ってな。			がんばれ、テイナー							
まあ、戦闘における魔道士の立ち振る舞いは、お前が伝えてくれた。ここからは、教わったことを完璧に発揮できるよう、俺がテイナーの指導を引き継ごう。			まあ、戦闘における魔道士の立ち振る舞いは、お前が伝えてくれた。ここからは、教わったことを完璧に発揮できるよう、俺がテイナーの指導を引き継ごう。			がんばれ、テイナー							
ふたりの足手まといにならないよう、がんばります！ぼく、先に向こうで、修行の内容を復習していますね。			ふたりの足手まといにならないよう、がんばります！ぼく、先に向こうで、修行の内容を復習していますね。			がんばれ、テイナー							
あんなに走っちゃって、まあ……。あの熱心さは、生来の性格かね。			あんなに走っちゃって、まあ……。あの熱心さは、生来の性格かね。			がんばれ、テイナー							
……俺たちのため、ナイルベルトのため、あいつは、プロネーシスを倒そうとしている。			……俺たちのため、ナイルベルトのため、あいつは、プロネーシスを倒そうとしている。			がんばれ、テイナー							
でも、プロネーシス討伐は、テイナーが過去を清算し、未来へと目を向けるためにも、必要なことだと思うんだ。			でも、プロネーシス討伐は、テイナーが過去を清算し、未来へと目を向けるためにも、必要なことだと思うんだ。			がんばれ、テイナー							
俺たちも、アム・アレーンに生きる奴らのため、テイナーのため……なんとしてもプロネーシスを倒そうぜ。			俺たちも、アム・アレーンに生きる奴らのため、テイナーのため……なんとしてもプロネーシスを倒そうぜ。			がんばれ、テイナー							
……おっと、ひとつ忘れてた。それと、俺とお前が手にする賞金のため……だな！これだけ背負っちまったんだ、俺らも万全を期しておこうぜ。			……おっと、ひとつ忘れてた。それと、俺とお前が手にする賞金のため……だな！これだけ背負っちまったんだ、俺らも万全を期しておこうぜ。			がんばれ、テイナー							
ゲートタウンのオルヴァラは、ルー・リークのことを心配しているようだ。			ゲートタウンのオルヴァラは、ルー・リークのことを心配しているようだ。			彷徨うアンドレイア							
オルヴァラから、ひとりぼっちのルー・リークの様子を見てくるよう頼まれた。クリスタリウムの彷徨う階段亭の「指定地点」で見渡そう。			オルヴァラから、ひとりぼっちのルー・リークの様子を見てくるよう頼まれた。クリスタリウムの彷徨う階段亭の「指定地点」で見渡そう。			彷徨うアンドレイア							
指定地点で見渡したが、ルー・リークの姿はなかった。彼の行方を知るため、彷徨う階段亭で情報を集めよう。			指定地点で見渡したが、ルー・リークの姿はなかった。彼の行方を知るため、彷徨う階段亭で情報を集めよう。			彷徨うアンドレイア							
情報を集めたところ、ルー・リークはひとりで、アンドレイアの討伐に向かったようだ。ラケティカ大森林のシチュア湿地で「ルー・リーク」を探そう。			情報を集めたところ、ルー・リークはひとりで、アンドレイアの討伐に向かったようだ。ラケティカ大森林のシチュア湿地で「ルー・リーク」を探そう。			彷徨うアンドレイア							
ルー・リークを見つけたところ、冒険者は過去視によって、アンドレイアが賞金稼ぎを罪喰い化して、光の戦士一行を再現したことを知る。ルー・リークと冒険者は仲直りして、アンドレイアの討伐を誓うのだった。ゲートタウンの「オルヴァラ」と話そう。			ルー・リークを見つけたところ、冒険者は過去視によって、アンドレイアが賞金稼ぎを罪喰い化して、光の戦士一行を再現したことを知る。ルー・リークと冒険者は仲直りして、アンドレイアの討伐を誓うのだった。ゲートタウンの「オルヴァラ」と話そう。			彷徨うアンドレイア							
オルヴァラと話した。ルー・リークは、次こそアンドレイアを討伐すると意気込むのだった。腕を磨いて、またルー・リークを訪ねよう。※いずれかのファイター系DPSジョブのレベルが80以上になると、ゲートタウンのルー・リークから次のファイター系DPSロールクエストを受注することができます。			オルヴァラと話した。ルー・リークは、次こそアンドレイアを討伐すると意気込むのだった。腕を磨いて、またルー・リークを訪ねよう。※いずれかのファイター系DPSジョブのレベルが80以上になると、ゲートタウンのルー・リークから次のファイター系DPSロールクエストを受注することができます。			彷徨うアンドレイア							
彷徨う階段亭の指定地点で見渡す			彷徨う階段亭の指定地点で見渡す			彷徨うアンドレイア							
彷徨う階段亭で情報を集める			彷徨う階段亭で情報を集める			彷徨うアンドレイア							
シチュア湿地でルー・リークを探す			シチュア湿地でルー・リークを探す			彷徨うアンドレイア							
ゲートタウンのオルヴァラと話す			ゲートタウンのオルヴァラと話す			彷徨うアンドレイア							
Forenameさん、こんな年寄りのもとに、わざわざ来てくれてどうもありがとう。			Forenameさん、こんな年寄りのもとに、わざわざ来てくれてどうもありがとう。			彷徨うアンドレイア							
リーク坊ちゃんは、あれから何度か私に会いにきてくれたわ。でも、新しいお友達もできず、ずっとひとりぼっちなの。心配だけど、私は歩くのもやっと……。			リーク坊ちゃんは、あれから何度か私に会いにきてくれたわ。でも、新しいお友達もできず、ずっとひとりぼっちなの。心配だけど、私は歩くのもやっと……。			彷徨うアンドレイア							
どうかお願い、クリスタリウムの彷徨う階段亭まで、リーク坊ちゃんの様子を見にいってもらえないかしら？お礼はこれから精魂込めて用意するわ……。			どうかお願い、クリスタリウムの彷徨う階段亭まで、リーク坊ちゃんの様子を見にいってもらえないかしら？お礼はこれから精魂込めて用意するわ……。			彷徨うアンドレイア							
クリスタリウムの彷徨う階段亭まで、リーク坊ちゃんの様子を見にいってもらえないかしら？お礼はこれから精魂込めて用意するわ……。			クリスタリウムの彷徨う階段亭まで、リーク坊ちゃんの様子を見にいってもらえないかしら？お礼はこれから精魂込めて用意するわ……。			彷徨うアンドレイア							
あんたは、どこかで会ったような……？			あんたは、どこかで会ったような……？			彷徨うアンドレイア							
ルー・リークの姿が見当たらないようだ……。辺りの者に彼の行方を訪ねてみよう。			ルー・リークの姿が見当たらないようだ……。辺りの者に彼の行方を訪ねてみよう。			彷徨うアンドレイア							
ルー・リーク……さん？ああ、あまり評判がよろしくない方ですね。いつもの席にいらっしゃらないなら、私はわかりません……。			ルー・リーク……さん？ああ、あまり評判がよろしくない方ですね。いつもの席にいらっしゃらないなら、私はわかりません……。			彷徨うアンドレイア							
ルー・リークか……。あの、「アホぼん」は金だけが取り柄だったが、どうやら、それもなくなっちまったらしいからな……。			ルー・リークか……。あの、「アホぼん」は金だけが取り柄だったが、どうやら、それもなくなっちまったらしいからな……。			彷徨うアンドレイア							
そうなると、いよいよ誰にも相手にされなくなって、ずっとひとりで、寂しそうにしていたよ。行く当てもなさそうだし、そのうち戻ってくるんじゃないか？			そうなると、いよいよ誰にも相手にされなくなって、ずっとひとりで、寂しそうにしていたよ。行く当てもなさそうだし、そのうち戻ってくるんじゃないか？			彷徨うアンドレイア							
あんたは、コルシア島でルー・リークといた……。覚えてないかもしれないが、俺はランビルドの仲間だった者だよ。			あんたは、コルシア島でルー・リークといた……。覚えてないかもしれないが、俺はランビルドの仲間だった者だよ。			彷徨うアンドレイア							
あれから、俺たちはラケティカ大森林に出没するようになった、アンドレイアの討伐に向かったんだ……。だが、ヤツの強さは規格外だった。			あれから、俺たちはラケティカ大森林に出没するようになった、アンドレイアの討伐に向かったんだ……。だが、ヤツの強さは規格外だった。			彷徨うアンドレイア							
ランビルドもほかの仲間も次々とやられてしまい、俺は命からがら何とか逃げてきたんだ。			ランビルドもほかの仲間も次々とやられてしまい、俺は命からがら何とか逃げてきたんだ。			彷徨うアンドレイア							
臆病者と言われても構わない、なんせヤツにやられたはずの、ランビルドが立ち上がり……。ああ、思い出すだけでも震え上がる！			臆病者と言われても構わない、なんせヤツにやられたはずの、ランビルドが立ち上がり……。ああ、思い出すだけでも震え上がる！			彷徨うアンドレイア							
その後も、次々と賞金稼ぎたちが討伐に向かったが、帰ってきた者は誰ひとりとしていない。			その後も、次々と賞金稼ぎたちが討伐に向かったが、帰ってきた者は誰ひとりとしていない。			彷徨うアンドレイア							
ルー・リークも、ついさっき、ひとりでラケティカ大森林のシチュア湿地に向かったよ。かわいそうに、もう見ることもないだろうな……。			ルー・リークも、ついさっき、ひとりでラケティカ大森林のシチュア湿地に向かったよ。かわいそうに、もう見ることもないだろうな……。			彷徨うアンドレイア							
ルー・リークさんが、いつもの席にいないのなら、私はわかりません……。			ルー・リークさんが、いつもの席にいないのなら、私はわかりません……。			彷徨うアンドレイア							
ルー・リークはずっとひとりで、寂しそうにしていたよ。行く当てもなさそうだし、そのうち戻ってくるんじゃないか？			ルー・リークはずっとひとりで、寂しそうにしていたよ。行く当てもなさそうだし、そのうち戻ってくるんじゃないか？			彷徨うアンドレイア							
ルー・リークは、ついさっき、ひとりでラケティカ大森林のシチュア湿地に向かったよ。かわいそうに、もう見ることもないだろうな……。			ルー・リークは、ついさっき、ひとりでラケティカ大森林のシチュア湿地に向かったよ。かわいそうに、もう見ることもないだろうな……。			彷徨うアンドレイア							
お、お前……。わざわざ駆けつけてくれたってのか……？			お、お前……。わざわざ駆けつけてくれたってのか……？			彷徨うアンドレイア							
大変なことになったんだ！アンドレイアが、アンドレイアが……！			大変なことになったんだ！アンドレイアが、アンドレイアが……！			彷徨うアンドレイア							
おい、アンドレイア！いや……レンダ・レイ！			おい、アンドレイア！いや……レンダ・レイ！			彷徨うアンドレイア							
お前がひとりでバラム・キツェーを倒したように、俺も仲間なんかに頼らず、ひとりでお前を倒してみせる……！			お前がひとりでバラム・キツェーを倒したように、俺も仲間なんかに頼らず、ひとりでお前を倒してみせる……！			彷徨うアンドレイア							
ラ、ランビルド……ッ！？			ラ、ランビルド……ッ！？			彷徨うアンドレイア							
お前、また過去を視たのか？今度は何を視たっていうんだ……？			お前、また過去を視たのか？今度は何を視たっていうんだ……？			彷徨うアンドレイア							
そうか、俺が見た直前の光景を……。過去を視る力ってのも、使いようによっては便利なもんだな。だがなぜ、あのとき敵前で使ったんだ？			そうか、俺が見た直前の光景を……。過去を視る力ってのも、使いようによっては便利なもんだな。だがなぜ、あのとき敵前で使ったんだ？			彷徨うアンドレイア							
何と言う？			何と言う？			彷徨うアンドレイア							
自分で制御できるわけじゃない			自分で制御できるわけじゃない			彷徨うアンドレイア							
いつ発動するかわからない			いつ発動するかわからない			彷徨うアンドレイア							
そ、そうだったのか……。俺はてっきり、お前の不注意かと……。			そ、そうだったのか……。俺はてっきり、お前の不注意かと……。			彷徨うアンドレイア							
お前もあの光景を視たのなら話が早い。ヤツは、ランビルドやほかの賞金稼ぎたちを、罪喰い化して仲間にしたようだ。			お前もあの光景を視たのなら話が早い。ヤツは、ランビルドやほかの賞金稼ぎたちを、罪喰い化して仲間にしたようだ。			彷徨うアンドレイア							
それも、ヒュム族の斧使いに、ガルジェント族の剣士、ドワーフ族の癒し手に、エルフ族の魔道士ときた。この面子は、「光の戦士たち」と符合する。			それも、ヒュム族の斧使いに、ガルジェント族の剣士、ドワーフ族の癒し手に、エルフ族の魔道士ときた。この面子は、「光の戦士たち」と符合する。			彷徨うアンドレイア							
つまり……アンドレイアは、かつての仲間たちを再現したってことだ！			つまり……アンドレイアは、かつての仲間たちを再現したってことだ！			彷徨うアンドレイア							
だが、腑に落ちない点もある……。アンドレイアがラケティカ大森林をうろつくのは、バラム・キツェーを探しているからに違いない。			だが、腑に落ちない点もある……。アンドレイアがラケティカ大森林をうろつくのは、バラム・キツェーを探しているからに違いない。			彷徨うアンドレイア							
レンダ・レイは、バラム・キツェーをひとりで討伐したはず。ここで仲間を作るのは、過去と食い違う……。			レンダ・レイは、バラム・キツェーをひとりで討伐したはず。ここで仲間を作るのは、過去と食い違う……。			彷徨うアンドレイア							
な、なんだって？レンダ・レイは仲間とともに討伐しただって？じゃあ……伝わっていた話は間違いだったのか……？			な、なんだって？レンダ・レイは仲間とともに討伐しただって？じゃあ……伝わっていた話は間違いだったのか……？			彷徨うアンドレイア							
なんてこった……俺はレンダ・レイに倣って、ひとりで戦おうとしたってのに……。			なんてこった……俺はレンダ・レイに倣って、ひとりで戦おうとしたってのに……。			彷徨うアンドレイア							
でも、お前が駆けつけてくれたときに痛感したよ。仲間って、やっぱりいいもんだなって……。			でも、お前が駆けつけてくれたときに痛感したよ。仲間って、やっぱりいいもんだなって……。			彷徨うアンドレイア							
Forename……。お前に暴言を吐いて、仲違いしてしまったこと、ずっと後悔していたんだ……。			Forename……。お前に暴言を吐いて、仲違いしてしまったこと、ずっと後悔していたんだ……。			彷徨うアンドレイア							
本当に、本当に、すまなかった……！			本当に、本当に、すまなかった……！			彷徨うアンドレイア							
何と言う？			何と言う？			彷徨うアンドレイア							
もういいんだ			もういいんだ			彷徨うアンドレイア							
…………			…………			彷徨うアンドレイア							
ありがとう……。俺の本当の仲間になってくれたのは、お前だけだ……。			ありがとう……。俺の本当の仲間になってくれたのは、お前だけだ……。			彷徨うアンドレイア							
やっぱり怒ってるよな……。絶対、埋め合わせをするからカンベンしてくれ！			やっぱり怒ってるよな……。絶対、埋め合わせをするからカンベンしてくれ！			彷徨うアンドレイア							
アンドレイアはこの先、バラム・キツェーとの決着をつけるために、罪喰い化した者たちとともに、延々と森をさまよい続けるだろう。			アンドレイアはこの先、バラム・キツェーとの決着をつけるために、罪喰い化した者たちとともに、延々と森をさまよい続けるだろう。			彷徨うアンドレイア							
ランビルドは、かつて一緒に組んでいたこともあったし、ほかの賞金稼ぎたちも、このままじゃ浮かばれない。討伐することで、その魂を救ってやりたいんだ。			ランビルドは、かつて一緒に組んでいたこともあったし、ほかの賞金稼ぎたちも、このままじゃ浮かばれない。討伐することで、その魂を救ってやりたいんだ。			彷徨うアンドレイア							
そして何より、俺が幼い頃に憧れた、レンダ・レイの魂を解き放ってやりたくなった。もう名声目当ての討伐じゃあない……！			そして何より、俺が幼い頃に憧れた、レンダ・レイの魂を解き放ってやりたくなった。もう名声目当ての討伐じゃあない……！			彷徨うアンドレイア							
だが、向こうに仲間ができたいま、俺にもお前という仲間が必要だ。どうかまた、アンドレイア討伐に力を貸してくれ……！			だが、向こうに仲間ができたいま、俺にもお前という仲間が必要だ。どうかまた、アンドレイア討伐に力を貸してくれ……！			彷徨うアンドレイア							
ありがとう、Forename……！さあ、オルヴァラが心配しているだろうから、ゲートタウンに戻るとしよう。			ありがとう、Forename……！さあ、オルヴァラが心配しているだろうから、ゲートタウンに戻るとしよう。			彷徨うアンドレイア							
オルヴァラにも感謝しないとな……。			オルヴァラにも感謝しないとな……。			彷徨うアンドレイア							
Forenameさん、この度は、本当にありがとうございました。リーク坊ちゃんが無事で安心したわ。			Forenameさん、この度は、本当にありがとうございました。リーク坊ちゃんが無事で安心したわ。			彷徨うアンドレイア							
オルヴァラ、心配かけてすまなかったな。おかげで、Forenameと、仲直りすることができたよ。			オルヴァラ、心配かけてすまなかったな。おかげで、Forenameと、仲直りすることができたよ。			彷徨うアンドレイア							
きっと彼女が俺のことを心配して、お前を寄こしたんだろ？そんなことはわかっていたけど、それでも感謝してるよ。しかし……いよいよ、お前に渡す報酬がまったくない。			きっと彼女が俺のことを心配して、お前を寄こしたんだろ？そんなことはわかっていたけど、それでも感謝してるよ。しかし……いよいよ、お前に渡す報酬がまったくない。			彷徨うアンドレイア							
大丈夫よ、リーク坊ちゃん。私が頼んだことだから、報酬を用意しておいたわ。口に合うかわからないけど、精魂込めてお料理も作ったのよ。			大丈夫よ、リーク坊ちゃん。私が頼んだことだから、報酬を用意しておいたわ。口に合うかわからないけど、精魂込めてお料理も作ったのよ。			彷徨うアンドレイア							
ありがとう、オルヴァラ。この借りはアンドレイアを討伐して、その懸賞金で必ず払うよ。			ありがとう、オルヴァラ。この借りはアンドレイアを討伐して、その懸賞金で必ず払うよ。			彷徨うアンドレイア							
さあ、リーク＆Forenameの再結成だな！アンドレイアは仲間ができたことで、より強力になった。しばらく、お互い腕を磨くことにしよう。			さあ、リーク＆Forenameの再結成だな！アンドレイアは仲間ができたことで、より強力になった。しばらく、お互い腕を磨くことにしよう。			彷徨うアンドレイア							
今度こそ、ヤツを討伐するぞ！その際には懸賞金が入るから、また必ず来てくれよな……！			今度こそ、ヤツを討伐するぞ！その際には懸賞金が入るから、また必ず来てくれよな……！			彷徨うアンドレイア							
プラ・エンニ茸窟のスール＝オールは、冒険者を待っていたようだ。			プラ・エンニ茸窟のスール＝オールは、冒険者を待っていたようだ。			揺れる天秤							
スール＝オールと話した。双頭狼の爪の在処を教える前に、昔話に付き合ってほしいという。イル・メグのリェー・ギア城にいる「スール＝オール」と話そう。			スール＝オールと話した。双頭狼の爪の在処を教える前に、昔話に付き合ってほしいという。イル・メグのリェー・ギア城にいる「スール＝オール」と話そう。			揺れる天秤							
