レヴナンツトールのグラウムントは、冒険者に情報を提供してくれるようだ。			レヴナンツトールのグラウムントは、冒険者に情報を提供してくれるようだ。			帝国軍あざむき作戦							
グラウムントと話すことができた。はたして、彼は力になってくれるだろうか……。			グラウムントと話すことができた。はたして、彼は力になってくれるだろうか……。			モードゥナに集う猛者たち							
レヴナンツトールの冒険者と話す			レヴナンツトールの冒険者と話す			モードゥナに集う猛者たち							
グラウムントと話す			グラウムントと話す			モードゥナに集う猛者たち							
お前には本当に感謝しているぜ。あの2人……ビッグスとウェッジに、こうやって、また会わせてくれたんだからな。			お前には本当に感謝しているぜ。あの2人……ビッグスとウェッジに、こうやって、また会わせてくれたんだからな。			モードゥナに集う猛者たち							
待たせちまったな、次こそミンフィリアの救出だ。ミンフィリアが捕らえられているのは、帝国軍の軍事拠点「カストルム・セントリ」だ。			待たせちまったな、次こそミンフィリアの救出だ。ミンフィリアが捕らえられているのは、帝国軍の軍事拠点「カストルム・セントリ」だ。			モードゥナに集う猛者たち							
まずは、ここから南東に進んでモードゥナへ行くぞ。谷間に「レヴナンツトール」という冒険者キャンプがある。			まずは、ここから南東に進んでモードゥナへ行くぞ。谷間に「レヴナンツトール」という冒険者キャンプがある。			モードゥナに集う猛者たち							
あそこには、モードゥナ方面を統括する、冒険者ギルドがあるはずだ。その顔役に話を聞こう。			あそこには、モードゥナ方面を統括する、冒険者ギルドがあるはずだ。その顔役に話を聞こう。			モードゥナに集う猛者たち							
冒険者ギルドには、さまざまな情報が集まる。きっと何かしらの情報が聞けるはずだぜ。			冒険者ギルドには、さまざまな情報が集まる。きっと何かしらの情報が聞けるはずだぜ。			モードゥナに集う猛者たち							
こんな辺境の冒険者キャンプに、一体何用かな？……ふむ、「カストルム・セントリ」の様子を知りたいと。			こんな辺境の冒険者キャンプに、一体何用かな？……ふむ、「カストルム・セントリ」の様子を知りたいと。			モードゥナに集う猛者たち							
むむう……帝国の要塞に仲間が囚われておるのか。ならば、手助けをしてやりたいところだが、近頃あの要塞は、やたらと警備を強化していてな……。			むむう……帝国の要塞に仲間が囚われておるのか。ならば、手助けをしてやりたいところだが、近頃あの要塞は、やたらと警備を強化していてな……。			モードゥナに集う猛者たち							
それに、冒険者ギルドにも、例の「新型兵器」の噂は届いている……。今の帝国を刺激するのは得策ではないぞ？			それに、冒険者ギルドにも、例の「新型兵器」の噂は届いている……。今の帝国を刺激するのは得策ではないぞ？			モードゥナに集う猛者たち							
そうね……パパリモやサンクレッドはともかく、ミンフィリアは戦い慣れていない。表立って動くのは、よした方がいいでしょうね。			そうね……パパリモやサンクレッドはともかく、ミンフィリアは戦い慣れていない。表立って動くのは、よした方がいいでしょうね。			モードゥナに集う猛者たち							
……となると、やはり潜入するしかないな。			……となると、やはり潜入するしかないな。			モードゥナに集う猛者たち							
でも、潜入っていったって、あそこは帝国の要塞だよ。警備も増えてるんでしょ？			でも、潜入っていったって、あそこは帝国の要塞だよ。警備も増えてるんでしょ？			モードゥナに集う猛者たち							
ああ、下手に潜り込んだところで見つかるだろう。……だから、正面から堂々と侵入すればいい。			ああ、下手に潜り込んだところで見つかるだろう。……だから、正面から堂々と侵入すればいい。			モードゥナに集う猛者たち							
ほえ？しょーめんから？			ほえ？しょーめんから？			モードゥナに集う猛者たち							
まずは、哨戒中の帝国兵を襲い、帝国の兵器である「魔導アーマー」を奪う。			まずは、哨戒中の帝国兵を襲い、帝国の兵器である「魔導アーマー」を奪う。			モードゥナに集う猛者たち							
その上で、俺たちが帝国兵に変装し、魔導アーマーを伴って要塞へ行けば、正面からでも潜入することは不可能ではないはずだ。			その上で、俺たちが帝国兵に変装し、魔導アーマーを伴って要塞へ行けば、正面からでも潜入することは不可能ではないはずだ。			モードゥナに集う猛者たち							
なるほどな……。帝国の要塞からは、周辺警備のために、定期的に帝国兵が出入りしている。			なるほどな……。帝国の要塞からは、周辺警備のために、定期的に帝国兵が出入りしている。			モードゥナに集う猛者たち							
魔導アーマーは帝国軍の魔導兵器。まさか、エオルゼアの住人が、それを使うとは思うまい。			魔導アーマーは帝国軍の魔導兵器。まさか、エオルゼアの住人が、それを使うとは思うまい。			モードゥナに集う猛者たち							
……決まりだな！			……決まりだな！			モードゥナに集う猛者たち							
ならば、このレヴナンツトールに居る、「グラウムント」に話を聞いてみるといい。			ならば、このレヴナンツトールに居る、「グラウムント」に話を聞いてみるといい。			モードゥナに集う猛者たち							
奴は帝国に個人的な恨みをもっているからな。それに「カストルム・セントリ」の情報にも詳しい。きっと力になってくれるだろう。			奴は帝国に個人的な恨みをもっているからな。それに「カストルム・セントリ」の情報にも詳しい。きっと力になってくれるだろう。			モードゥナに集う猛者たち							
私とイダは「カストルム・セントリ」の監視に行くわ。……簡単には始末されないとわかっていても、やはりミンフィリアのことが心配だもの。			私とイダは「カストルム・セントリ」の監視に行くわ。……簡単には始末されないとわかっていても、やはりミンフィリアのことが心配だもの。			モードゥナに集う猛者たち							
そっちの準備ができたら合流しようね！まった、あとでー！			そっちの準備ができたら合流しようね！まった、あとでー！			モードゥナに集う猛者たち							
……ところで、イダ。その言葉遣いはどうにかならないの？少しは危機感を持ちなさい。			……ところで、イダ。その言葉遣いはどうにかならないの？少しは危機感を持ちなさい。			モードゥナに集う猛者たち							
もってるてばー。ヤ・シュトラがピリピリしすぎなんだよー。あと、この喋りはねぇ……。			もってるてばー。ヤ・シュトラがピリピリしすぎなんだよー。あと、この喋りはねぇ……。			モードゥナに集う猛者たち							
ああ、オレがグラウムントだけど……。……誰だい、あんたら。ハッ……！？　まさか帝国軍のッ！？			ああ、オレがグラウムントだけど……。……誰だい、あんたら。ハッ……！？　まさか帝国軍のッ！？			モードゥナに集う猛者たち							
……なんだよ、同じ冒険者かよ。ったく、人をビビらせてんじゃねぇよ……。で、オレに何の話だ？			……なんだよ、同じ冒険者かよ。ったく、人をビビらせてんじゃねぇよ……。で、オレに何の話だ？			モードゥナに集う猛者たち							
ウェッジは冒険者に、さらなる人探しをお願いしたいようだ。			ウェッジは冒険者に、さらなる人探しをお願いしたいようだ。			炉には炎を、回せ歯車							
ウェッジは、なんとしても相棒のビッグスを見つけだしたいようだ。さらなる情報を得るため「秘石の塔」の「イニアス」に話を聞いてみよう。			ウェッジは、なんとしても相棒のビッグスを見つけだしたいようだ。さらなる情報を得るため「秘石の塔」の「イニアス」に話を聞いてみよう。			炉には炎を、回せ歯車							
ビッグスの逃亡先として残る可能性は、ホワイトブリム前哨地方面だという。ホワイトブリム方面へと抜ける洞穴「聖ダナフェンの旅程」に行ってみよう。			ビッグスの逃亡先として残る可能性は、ホワイトブリム前哨地方面だという。ホワイトブリム方面へと抜ける洞穴「聖ダナフェンの旅程」に行ってみよう。			炉には炎を、回せ歯車							
ヤ・シュトラらの協力もあり、無事にビッグスを救出することができた。秘石の塔へ戻り「ウェッジ」に報告しよう。			ヤ・シュトラらの協力もあり、無事にビッグスを救出することができた。秘石の塔へ戻り「ウェッジ」に報告しよう。			炉には炎を、回せ歯車							
ビッグスの救出によって「ガーロンド・アイアンワークス」の面々がそろった。今後は、よりいっそうの活躍を期待できそうだ。彼らに負けないよう、これからの戦いにも全力を尽くそう。			ビッグスの救出によって「ガーロンド・アイアンワークス」の面々がそろった。今後は、よりいっそうの活躍を期待できそうだ。彼らに負けないよう、これからの戦いにも全力を尽くそう。			炉には炎を、回せ歯車							
イニアスと話す			イニアスと話す			炉には炎を、回せ歯車							
聖ダナフェンの旅程へ行く			聖ダナフェンの旅程へ行く			炉には炎を、回せ歯車							
ウェッジに報告			ウェッジに報告			炉には炎を、回せ歯車							
Surname、お願いッス！もう一度……もう一度だけ、ビッグスを探してほしいッス……。			Surname、お願いッス！もう一度……もう一度だけ、ビッグスを探してほしいッス……。			炉には炎を、回せ歯車							
きっとあいつは、この雪の中、ひとり凍えてるッス……。どうしても助けてやりたいッス！			きっとあいつは、この雪の中、ひとり凍えてるッス……。どうしても助けてやりたいッス！			炉には炎を、回せ歯車							
でも、いったいどこに行ったッス……。……この辺りで、どこか行きそうな場所を知ってそうな人に聞いてみてほしいッス！			でも、いったいどこに行ったッス……。……この辺りで、どこか行きそうな場所を知ってそうな人に聞いてみてほしいッス！			炉には炎を、回せ歯車							
この雪の中、人探しだって？ご苦労なことだなぁ。			この雪の中、人探しだって？ご苦労なことだなぁ。			炉には炎を、回せ歯車							
……この辺りで行きそうなところねぇ。ここの周辺でも、ゼーメル要塞の方でもないとすると、ホワイトブリム方面に行ったのかもしれないな。			……この辺りで行きそうなところねぇ。ここの周辺でも、ゼーメル要塞の方でもないとすると、ホワイトブリム方面に行ったのかもしれないな。			炉には炎を、回せ歯車							
ここから北東、月の衛星「ダラガブ」の破片を越えた辺りに、ホワイトブリムへ抜けるための、「聖ダナフェンの旅程」という洞穴がある。			ここから北東、月の衛星「ダラガブ」の破片を越えた辺りに、ホワイトブリムへ抜けるための、「聖ダナフェンの旅程」という洞穴がある。			炉には炎を、回せ歯車							
何も手を打たないよりはマシだろう。行ってみちゃどうだい。			何も手を打たないよりはマシだろう。行ってみちゃどうだい。			炉には炎を、回せ歯車							
……しかし、いつも思うが、この塔は高いな。この間は足を滑らせて、天辺から落下しちまった。まったく、死ぬかと思ったぜ。			……しかし、いつも思うが、この塔は高いな。この間は足を滑らせて、天辺から落下しちまった。まったく、死ぬかと思ったぜ。			炉には炎を、回せ歯車							
あっ、Surname！ビッグスを見つけたよ！……ヤバイね、早く助けてあげないと。			あっ、Surname！ビッグスを見つけたよ！……ヤバイね、早く助けてあげないと。			炉には炎を、回せ歯車							
無駄な抵抗は止めろっ！おとなしく我々に従えば、命は保証する！			無駄な抵抗は止めろっ！おとなしく我々に従えば、命は保証する！			炉には炎を、回せ歯車							
くっそ……！ここまでなのか……！？			くっそ……！ここまでなのか……！？			炉には炎を、回せ歯車							
Surname、来たわね。……状況は見てのとおりよ、芳しくないわ。			Surname、来たわね。……状況は見てのとおりよ、芳しくないわ。			炉には炎を、回せ歯車							
ヤ・シュトラ……そろそろヤバイ。寒さと緊張の連続で、彼の体力はもう限界だよ。行ったほうがいい。			ヤ・シュトラ……そろそろヤバイ。寒さと緊張の連続で、彼の体力はもう限界だよ。行ったほうがいい。			炉には炎を、回せ歯車							
……イダの言うとおりね。この辺りにどれほどの帝国兵が潜んでいるのか、気がかりではあるけど……。			……イダの言うとおりね。この辺りにどれほどの帝国兵が潜んでいるのか、気がかりではあるけど……。			炉には炎を、回せ歯車							
行くわよ！ビッグスを助けるわ！			行くわよ！ビッグスを助けるわ！			炉には炎を、回せ歯車							
くっ……仲間か！？迎え撃てっ！			くっ……仲間か！？迎え撃てっ！			炉には炎を、回せ歯車							
（ＱＩＢ）			（ＱＩＢ）			炉には炎を、回せ歯車							
た、助かったぜ……。ありがとう……っく……。			た、助かったぜ……。ありがとう……っく……。			炉には炎を、回せ歯車							
まずい、かなり体力を消耗しているわね。……私とイダで彼を連れて行くわ。			まずい、かなり体力を消耗しているわね。……私とイダで彼を連れて行くわ。			炉には炎を、回せ歯車							
わかったわ、「秘石の塔」へ向かえばいいのね。先に行っておくから、あとで会いましょう。			わかったわ、「秘石の塔」へ向かえばいいのね。先に行っておくから、あとで会いましょう。			炉には炎を、回せ歯車							
うっし、ウェッジとビッグスが戻ってきたよー！早くシドに会わせたい！……じゃ、先に行ってるね！			うっし、ウェッジとビッグスが戻ってきたよー！早くシドに会わせたい！……じゃ、先に行ってるね！			炉には炎を、回せ歯車							
Surname……。ありがとう……ありがとうッス！ヤ・シュトラさんと、イダさんにも感謝ッス！			Surname……。ありがとう……ありがとうッス！ヤ・シュトラさんと、イダさんにも感謝ッス！			炉には炎を、回せ歯車							
ううん、2人が助かったんだから、よかったじゃない！			ううん、2人が助かったんだから、よかったじゃない！			炉には炎を、回せ歯車							
そうね、本当に無事でよかった。			そうね、本当に無事でよかった。			炉には炎を、回せ歯車							
よかったッス……。ビッグスが帰ってきたッス……えぐ……えぐ。			よかったッス……。ビッグスが帰ってきたッス……えぐ……えぐ。			炉には炎を、回せ歯車							
Surname、ありがとう。……おかげで命拾いできたぜ。			Surname、ありがとう。……おかげで命拾いできたぜ。			炉には炎を、回せ歯車							
ウェッジも助けてくれたんだってな。これで、俺たちを助けてくれたのは2度目だ。……感謝の言葉もない。			ウェッジも助けてくれたんだってな。これで、俺たちを助けてくれたのは2度目だ。……感謝の言葉もない。			炉には炎を、回せ歯車							
ウェッジ！　ビッグス！……お前たち、よく無事で！来るのが遅くなって悪かったな。			ウェッジ！　ビッグス！……お前たち、よく無事で！来るのが遅くなって悪かったな。			炉には炎を、回せ歯車							
親方ぁぁぁ、シド親方ぁぁぁ！えぐ、えぐ、親方も生きてたッスぅぅぅ……。			親方ぁぁぁ、シド親方ぁぁぁ！えぐ、えぐ、親方も生きてたッスぅぅぅ……。			炉には炎を、回せ歯車							
……心配しましたよ、シド親方。でも、無事でよかった……。			……心配しましたよ、シド親方。でも、無事でよかった……。			炉には炎を、回せ歯車							
それにしても、お前たち、これまでどうしてたんだ。砂の家が襲われた時、何があった？			それにしても、お前たち、これまでどうしてたんだ。砂の家が襲われた時、何があった？			炉には炎を、回せ歯車							
あの日、砂の家は帝国軍に襲われたんです……。奴ら、ベスパーベイにいきなり現れたかと思うと、あっという間に砂の家を制圧しちまった……。			あの日、砂の家は帝国軍に襲われたんです……。奴ら、ベスパーベイにいきなり現れたかと思うと、あっという間に砂の家を制圧しちまった……。			炉には炎を、回せ歯車							
その時、俺たち2人は、表で機材のメンテナンスをしてたんです。突然の出来事に、抵抗もできず捕まっちまいました……。			その時、俺たち2人は、表で機材のメンテナンスをしてたんです。突然の出来事に、抵抗もできず捕まっちまいました……。			炉には炎を、回せ歯車							
でも、ベスパーベイへの経路は、「不滅隊」が駐屯しているんだよー。そんなに簡単に突破されるなんて……。			でも、ベスパーベイへの経路は、「不滅隊」が駐屯しているんだよー。そんなに簡単に突破されるなんて……。			炉には炎を、回せ歯車							
私たちが帰った時も、ベスパーベイ、それにホライズンには被害がなかった……。……そうか、アシエンの時空転移を……。			私たちが帰った時も、ベスパーベイ、それにホライズンには被害がなかった……。……そうか、アシエンの時空転移を……。			炉には炎を、回せ歯車							
……それから？			……それから？			炉には炎を、回せ歯車							
……砂の家で捕まったオイラたちは、目隠しをされて、しばらく移動したあとに、帝国軍の飛空艇に乗せられたッス。			……砂の家で捕まったオイラたちは、目隠しをされて、しばらく移動したあとに、帝国軍の飛空艇に乗せられたッス。			炉には炎を、回せ歯車							
護送中は貨物庫の一角に閉じ込められていたから、具体的なことはわからないッス。			護送中は貨物庫の一角に閉じ込められていたから、具体的なことはわからないッス。			炉には炎を、回せ歯車							
そのうち「カストルム・セントリ」で、ミンフィリアさんたちだけが降ろされて、オイラとビッグスだけが最後まで残ってたッス。			そのうち「カストルム・セントリ」で、ミンフィリアさんたちだけが降ろされて、オイラとビッグスだけが最後まで残ってたッス。			炉には炎を、回せ歯車							
カストルム・セントリ……。			カストルム・セントリ……。			炉には炎を、回せ歯車							
……それで、お前たちは、どうやって脱出してきたんだ？			……それで、お前たちは、どうやって脱出してきたんだ？			炉には炎を、回せ歯車							
オイラとビッグスは、カストルム・セントリで、帝国方面への飛空艇に乗せ換えられたッス。			オイラとビッグスは、カストルム・セントリで、帝国方面への飛空艇に乗せ換えられたッス。			炉には炎を、回せ歯車							
その時に細工して、飛び立った後にひと騒ぎ起こしたッス。……で、不時着のどさくさに紛れて脱出してきたッス！			その時に細工して、飛び立った後にひと騒ぎ起こしたッス。……で、不時着のどさくさに紛れて脱出してきたッス！			炉には炎を、回せ歯車							
ビッグス、お前の仕業だな。……そういうことに頭が回るのは、大戦の時から変わんねぇな。			ビッグス、お前の仕業だな。……そういうことに頭が回るのは、大戦の時から変わんねぇな。			炉には炎を、回せ歯車							
Forename……。ふたりを助けてくれて恩に着る。本当にありがとうよ。			Forename……。ふたりを助けてくれて恩に着る。本当にありがとうよ。			炉には炎を、回せ歯車							
いろいろと疑問は残っているが、とにかく、こいつらは戻ってきてくれた。次は、ミンフィリアを救出する番だぜ。			いろいろと疑問は残っているが、とにかく、こいつらは戻ってきてくれた。次は、ミンフィリアを救出する番だぜ。			炉には炎を、回せ歯車							
よし、これで、「ガーロンド・アイアンワークス」の再始動ってわけだ！……野郎ども、気合入れていくぜ！			よし、これで、「ガーロンド・アイアンワークス」の再始動ってわけだ！……野郎ども、気合入れていくぜ！			炉には炎を、回せ歯車							
(-ビッグスとウェッジ-)オー！			(-ビッグスとウェッジ-)オー！			炉には炎を、回せ歯車							
ビッグスを守って帝国兵を倒せ！			ビッグスを守って帝国兵を倒せ！			炉には炎を、回せ歯車							
み、みんな……！ハハッ、諦めないでみるもんだな！			み、みんな……！ハハッ、諦めないでみるもんだな！			炉には炎を、回せ歯車							
うろたえるなッ！増援を要請した、すぐに到着するはずだ！			うろたえるなッ！増援を要請した、すぐに到着するはずだ！			炉には炎を、回せ歯車							
来るならこいッ！　まとめて相手したげるよ！			来るならこいッ！　まとめて相手したげるよ！			炉には炎を、回せ歯車							
イダ、安い挑発はやめなさい。……黙ってぶちのめす、それだけよ。			イダ、安い挑発はやめなさい。……黙ってぶちのめす、それだけよ。			炉には炎を、回せ歯車							
増援がきたぞ！魔導ヴァンガードで、ひねりつぶしてやる！			増援がきたぞ！魔導ヴァンガードで、ひねりつぶしてやる！			炉には炎を、回せ歯車							
Surname、ビッグスを守ってあげて！			Surname、ビッグスを守ってあげて！			炉には炎を、回せ歯車							
うわっ、また来た！？　張り切りすぎだって！			うわっ、また来た！？　張り切りすぎだって！			炉には炎を、回せ歯車							
あなたが挑発なんてするからでしょ！……これが終わったらお仕置きね。			あなたが挑発なんてするからでしょ！……これが終わったらお仕置きね。			炉には炎を、回せ歯車							
あとは……こいつらを倒せば……！			あとは……こいつらを倒せば……！			炉には炎を、回せ歯車							
ごめんなさい、少し休むわ……。			ごめんなさい、少し休むわ……。			炉には炎を、回せ歯車							
もーだめ、ヘトヘトだよぉ……！			もーだめ、ヘトヘトだよぉ……！			炉には炎を、回せ歯車							
ウ、ウェッジ……親方……。			ウ、ウェッジ……親方……。			炉には炎を、回せ歯車							
ウェッジは冒険者に、人探しをお願いしたいようだ。			ウェッジは冒険者に、人探しをお願いしたいようだ。			ビッグスの捜索							
ウェッジは、はぐれた相棒ビッグスを探している。秘石の塔の「アベリ」なら何か知っているかもしれない。話を聞いてみよう。			ウェッジは、はぐれた相棒ビッグスを探している。秘石の塔の「アベリ」なら何か知っているかもしれない。話を聞いてみよう。			ビッグスの捜索							
アベリは彼の居場所を知らなかったが、身を隠せそうな洞窟の情報を教えてくれた。「ハルオーネの射目」の指定地点を調べてみよう。			アベリは彼の居場所を知らなかったが、身を隠せそうな洞窟の情報を教えてくれた。「ハルオーネの射目」の指定地点を調べてみよう。			ビッグスの捜索							
残念ながらハルオーネの射目にビッグスはいなかった。秘石の塔に戻り「ウェッジ」に報告しよう。			残念ながらハルオーネの射目にビッグスはいなかった。秘石の塔に戻り「ウェッジ」に報告しよう。			ビッグスの捜索							
ビッグスがいなかったことを知ったウェッジは、落ちこんでしまったようだ。いったい、ビッグスはどこに行ってしまったのだろうか……。			ビッグスがいなかったことを知ったウェッジは、落ちこんでしまったようだ。いったい、ビッグスはどこに行ってしまったのだろうか……。			ビッグスの捜索							
アベリと話す			アベリと話す			ビッグスの捜索							
指定地点を調べる			指定地点を調べる			ビッグスの捜索							
ウェッジに報告			ウェッジに報告			ビッグスの捜索							
