アプカル滝のヤ・ミトラの調査は、難航しているようだ。			アプカル滝のヤ・ミトラの調査は、難航しているようだ。			闇に葬られた頁							
私めも、晩年のサリ様の行状は存じておらず……。現在まで残ったアラグの記録だけが頼りです。			私めも、晩年のサリ様の行状は存じておらず……。現在まで残ったアラグの記録だけが頼りです。			闇に葬られた頁							
そこで、ラムブルースにも協力してもらおうと思うの。彼のところには、新しい発掘品が集まってくるから。いっしょに、「聖コイナク財団の調査地」へ向かいましょう。			そこで、ラムブルースにも協力してもらおうと思うの。彼のところには、新しい発掘品が集まってくるから。いっしょに、「聖コイナク財団の調査地」へ向かいましょう。			闇に葬られた頁							
おつかれさま！ラムブルースには、これから話をするところよ。			おつかれさま！ラムブルースには、これから話をするところよ。			闇に葬られた頁							
いっしょに、「聖コイナク財団の調査地」へ向かいましょう。ラムブルースのところには、新しい発掘品が集まってくるから。			いっしょに、「聖コイナク財団の調査地」へ向かいましょう。ラムブルースのところには、新しい発掘品が集まってくるから。			闇に葬られた頁							
私めも、サリ様の晩年のことは存じあげないのです。サリ様の生前に保管庫に移され、その後は休眠状態にありましたので……。			私めも、サリ様の晩年のことは存じあげないのです。サリ様の生前に保管庫に移され、その後は休眠状態にありましたので……。			闇に葬られた頁							
事情はヤ・ミトラから聞いたところだよ。「サリ」について新しい発見があれば、すぐに知らせよう。ただ、そういう事情であれば、私よりも頼りになる人物がいる。			事情はヤ・ミトラから聞いたところだよ。「サリ」について新しい発見があれば、すぐに知らせよう。ただ、そういう事情であれば、私よりも頼りになる人物がいる。			闇に葬られた頁							
実は、古代アラグ帝国の未解読の記録媒体……すなわち、まだ内容のわからないアラガントームストーンを、我が聖コイナク財団よりも、精力的に収集している商人がいてね。			実は、古代アラグ帝国の未解読の記録媒体……すなわち、まだ内容のわからないアラガントームストーンを、我が聖コイナク財団よりも、精力的に収集している商人がいてね。			闇に葬られた頁							
ああ…………ロウェナ女史ね。			ああ…………ロウェナ女史ね。			闇に葬られた頁							
我が財団とロウェナ商会の結びつきは深い。資金提供を受ける一方、出土品の取引もしているからね。調査への協力を願いでても、無下にはあつかわれないだろう。			我が財団とロウェナ商会の結びつきは深い。資金提供を受ける一方、出土品の取引もしているからね。調査への協力を願いでても、無下にはあつかわれないだろう。			闇に葬られた頁							
君たちに、私からの書状を託そう。レヴナンツトールの「ロウェナ」女史に、未解読の記録媒体を借り受けられないか、頼んでみるといい。			君たちに、私からの書状を託そう。レヴナンツトールの「ロウェナ」女史に、未解読の記録媒体を借り受けられないか、頼んでみるといい。			闇に葬られた頁							
君たちに、私からの書状を託そう。レヴナンツトールの「ロウェナ」女史に、未解読の記録媒体を借り受けられないか、頼んでみるといい。			君たちに、私からの書状を託そう。レヴナンツトールの「ロウェナ」女史に、未解読の記録媒体を借り受けられないか、頼んでみるといい。			闇に葬られた頁							
ラムブルースから預かった書状を持ってるわよね？それを、ロウェナ女史に渡してちょうだい。			ラムブルースから預かった書状を持ってるわよね？それを、ロウェナ女史に渡してちょうだい。			闇に葬られた頁							
あら、Forename……？たしか、レヴナンツトールに向かったはずじゃなかったかしら？			あら、Forename……？たしか、レヴナンツトールに向かったはずじゃなかったかしら？			闇に葬られた頁							
アラグの記録媒体を、それほどまでに熱心に収集されている、ロウェナ様とは、いったい、どのような方なのでしょう……？			アラグの記録媒体を、それほどまでに熱心に収集されている、ロウェナ様とは、いったい、どのような方なのでしょう……？			闇に葬られた頁							
あら、何か用？			あら、何か用？			闇に葬られた頁							
「聖コイナク財団のラムブルースより」………？ふーん……まぁ、あの財団とは取引実績も多いし、発掘品を貸しだすくらい、してあげてもいいわ。			「聖コイナク財団のラムブルースより」………？ふーん……まぁ、あの財団とは取引実績も多いし、発掘品を貸しだすくらい、してあげてもいいわ。			闇に葬られた頁							
ふふ……それに、あらかじめ中身を知っておけば、好事家どもに、より高く売りつけることもできるしね。			ふふ……それに、あらかじめ中身を知っておけば、好事家どもに、より高く売りつけることもできるしね。			闇に葬られた頁							
いいわ、商会のアラガントームストーンを預けましょう。そのかわり、なかに何が書いてあったのか、返却のときに教えてちょうだい！			いいわ、商会のアラガントームストーンを預けましょう。そのかわり、なかに何が書いてあったのか、返却のときに教えてちょうだい！			闇に葬られた頁							
感謝します、ロウェナ女史。Forename、私はさっそく解読を始めるわ。よかったら、つきあってくれるかしら？			感謝します、ロウェナ女史。Forename、私はさっそく解読を始めるわ。よかったら、つきあってくれるかしら？			闇に葬られた頁							
ロウェナ女史から、借り受けることができたって？それは僥倖……。学術的にも、貴重な発見があるかもしれないしね。			ロウェナ女史から、借り受けることができたって？それは僥倖……。学術的にも、貴重な発見があるかもしれないしね。			闇に葬られた頁							
借りてきたアラガントームストーンの内容を解読して、さっそく興味深い内容が見つかったわ。そろそろプリンクにも起きてもらって、話を聞きたいところね。			借りてきたアラガントームストーンの内容を解読して、さっそく興味深い内容が見つかったわ。そろそろプリンクにも起きてもらって、話を聞きたいところね。			闇に葬られた頁							
あら、ラムブルース。わざわざ様子を見にきてくれたのかしら？			あら、ラムブルース。わざわざ様子を見にきてくれたのかしら？			闇に葬られた頁							
この子が使い魔のプリンク……古代アラグの生き証人よ。			この子が使い魔のプリンク……古代アラグの生き証人よ。			闇に葬られた頁							
初めまして、ラムブルース様。私めは、使い魔のプリンキピアと申します。			初めまして、ラムブルース様。私めは、使い魔のプリンキピアと申します。			闇に葬られた頁							
よろしく、プリンク君。なかなか賢そうな顔の書物だね。			よろしく、プリンク君。なかなか賢そうな顔の書物だね。			闇に葬られた頁							
顔……わかるのかしら……？それはともかく、大召喚士サリに関する新たな記述を見つけて、プリンクに話を聞いていたところなの。			顔……わかるのかしら……？それはともかく、大召喚士サリに関する新たな記述を見つけて、プリンクに話を聞いていたところなの。			闇に葬られた頁							
解読したアラグ帝国軍の通信記録の中に、「大召喚士の研究成果を確保すべし」という命令があってね。つまり弾圧側の軍部が、サリの研究に関心を持っていたようなの。			解読したアラグ帝国軍の通信記録の中に、「大召喚士の研究成果を確保すべし」という命令があってね。つまり弾圧側の軍部が、サリの研究に関心を持っていたようなの。			闇に葬られた頁							
ふむ……具体的には、サリはどのような研究を？			ふむ……具体的には、サリはどのような研究を？			闇に葬られた頁							
魔科学の情報技術を応用した召喚魔法……たとえば、魔道書にかわる記録媒体や端末、高速演算による、召喚獣のより精巧な顕現といった研究です。			魔科学の情報技術を応用した召喚魔法……たとえば、魔道書にかわる記録媒体や端末、高速演算による、召喚獣のより精巧な顕現といった研究です。			闇に葬られた頁							
つまり、魔道書なしで召喚を実行したり、機械の力を借りて、本物そっくりの魔物を召喚したり……ということかな？			つまり、魔道書なしで召喚を実行したり、機械の力を借りて、本物そっくりの魔物を召喚したり……ということかな？			闇に葬られた頁							
はい、そのような理解で結構です。ただサリ様は、それらの成果を濫用する方ではございませんでした。機械には誤動作も多く、信頼が置けない……と。			はい、そのような理解で結構です。ただサリ様は、それらの成果を濫用する方ではございませんでした。機械には誤動作も多く、信頼が置けない……と。			闇に葬られた頁							
通信記録の日付からすると、これはサリの晩年のこと……。プリンクを書き上げてから、軍部が命令を実行に移すまでの間に、サリの考えを、大きく変えるようなできごとが起きていた可能性は？			通信記録の日付からすると、これはサリの晩年のこと……。プリンクを書き上げてから、軍部が命令を実行に移すまでの間に、サリの考えを、大きく変えるようなできごとが起きていた可能性は？			闇に葬られた頁							
あるとすれば、ひとつ……アラグ帝国の弾圧によって、サリ様の弟子の大部分が、命を落とすという事件がありました。たしかにその後のサリ様は、研究室にこもりがちでしたが……。			あるとすれば、ひとつ……アラグ帝国の弾圧によって、サリ様の弟子の大部分が、命を落とすという事件がありました。たしかにその後のサリ様は、研究室にこもりがちでしたが……。			闇に葬られた頁							
サリの人格が豹変してしまっても、不思議がないくらいの事件だね。プリンク君は、それから間もなく休眠状態になって、サリのその後については、知らないと考えていいのかな？			サリの人格が豹変してしまっても、不思議がないくらいの事件だね。プリンク君は、それから間もなく休眠状態になって、サリのその後については、知らないと考えていいのかな？			闇に葬られた頁							
……いまのところ、私たちが遭遇した敵の正体は、サリの研究と関係がありそうに思えるわね。			……いまのところ、私たちが遭遇した敵の正体は、サリの研究と関係がありそうに思えるわね。			闇に葬られた頁							
もっとたくさんの記録を掘り下げたいところだけど、私たちだけじゃ手が足りないわ。ダンシング・ウルフ大闘士の特務隊に、応援を要請しましょう。			もっとたくさんの記録を掘り下げたいところだけど、私たちだけじゃ手が足りないわ。ダンシング・ウルフ大闘士の特務隊に、応援を要請しましょう。			闇に葬られた頁							
それなら、私の天幕を使うといい。資料も充実しているし、アラグの専門家が集まっているからね。			それなら、私の天幕を使うといい。資料も充実しているし、アラグの専門家が集まっているからね。			闇に葬られた頁							
お言葉に甘えることにするわ！それじゃ、Forename……「聖コイナク財団の調査地」へ向かいましょう！			お言葉に甘えることにするわ！それじゃ、Forename……「聖コイナク財団の調査地」へ向かいましょう！			闇に葬られた頁							
私も暇を見つけては、天幕に顔を出しているけれど、アラガントームストーンの解読は、なかなか順調なようだね。			私も暇を見つけては、天幕に顔を出しているけれど、アラガントームストーンの解読は、なかなか順調なようだね。			闇に葬られた頁							
この手の地道な作業は、おまかせください！魔道書の解読で慣れていますから。			この手の地道な作業は、おまかせください！魔道書の解読で慣れていますから。			闇に葬られた頁							
アラグの記録を漁ってると、頭が痛くなってくるね！異なる世界への扉だの、新しい月を創るだの、たとえじゃなくて、全部本当だったりするからね……。			アラグの記録を漁ってると、頭が痛くなってくるね！異なる世界への扉だの、新しい月を創るだの、たとえじゃなくて、全部本当だったりするからね……。			闇に葬られた頁							
アラグ帝国軍の記述に絞って、集中的に解読を進めている。手あたりしだいというのは、あまりにも効率が悪いからな。			アラグ帝国軍の記述に絞って、集中的に解読を進めている。手あたりしだいというのは、あまりにも効率が悪いからな。			闇に葬られた頁							
次の目的地は、モードゥナの「聖コイナク財団の調査地」よ。ラムブルースに天幕を借りるはずだったでしょ？			次の目的地は、モードゥナの「聖コイナク財団の調査地」よ。ラムブルースに天幕を借りるはずだったでしょ？			闇に葬られた頁							
私めの知っている時代から、本当に何千年も経っているのですね。サリ様のことが、現在では記録にしか残っていないというのは、とても奇妙なことに思われます。			私めの知っている時代から、本当に何千年も経っているのですね。サリ様のことが、現在では記録にしか残っていないというのは、とても奇妙なことに思われます。			闇に葬られた頁							
Forenameのためならって、みんな、すぐに駆けつけてくれたわ！怪我はよくなったみたいで、何よりね！			Forenameのためならって、みんな、すぐに駆けつけてくれたわ！怪我はよくなったみたいで、何よりね！			闇に葬られた頁							
プリンクにも解読を手伝ってもらいましょう。何か見つかるといいけれど……。			プリンクにも解読を手伝ってもらいましょう。何か見つかるといいけれど……。			闇に葬られた頁							
これだ…………こいつが探してた記録だ！大召喚士「サリ」が発見されたときの軍部の記録。発見当時、サリはすでに何者かに殺害されていたらしい！			これだ…………こいつが探してた記録だ！大召喚士「サリ」が発見されたときの軍部の記録。発見当時、サリはすでに何者かに殺害されていたらしい！			闇に葬られた頁							
やはりサリは、何千年も前に死んでいたということですか？では、僕たちを襲ったサリは…………			やはりサリは、何千年も前に死んでいたということですか？では、僕たちを襲ったサリは…………			闇に葬られた頁							
クローンとかいう、人造生命体だった可能性が高そうだね！で……話にはまだ、つづきがあるんだろ？			クローンとかいう、人造生命体だった可能性が高そうだね！で……話にはまだ、つづきがあるんだろ？			闇に葬られた頁							
ああ……サリが遺した研究成果は、「きわめて危険ながら、潜在的な有用性を秘めている」として、アラグ帝国軍によって研究が引き継がれたらしい。			ああ……サリが遺した研究成果は、「きわめて危険ながら、潜在的な有用性を秘めている」として、アラグ帝国軍によって研究が引き継がれたらしい。			闇に葬られた頁							
まもなく海洋移動型人工島で、実地試験が始まったものの、きわめて重篤な事故が起き、実験はすぐに中止となった……。			まもなく海洋移動型人工島で、実地試験が始まったものの、きわめて重篤な事故が起き、実験はすぐに中止となった……。			闇に葬られた頁							
海洋移動型人工島……そうか、動く島「シールロック」のことね！まさしく、私たちが「サリ」と遭遇した場所だわ！			海洋移動型人工島……そうか、動く島「シールロック」のことね！まさしく、私たちが「サリ」と遭遇した場所だわ！			闇に葬られた頁							
シールロックで遭遇した敵は、同時に多数の召喚獣を呼び出し、精巧に再現された、疑似魔物を使役していました。			シールロックで遭遇した敵は、同時に多数の召喚獣を呼び出し、精巧に再現された、疑似魔物を使役していました。			闇に葬られた頁							
これらの攻撃手段は、サリ様が進めていた研究……機械の高速演算による、召喚魔法の強化と一致します。			これらの攻撃手段は、サリ様が進めていた研究……機械の高速演算による、召喚魔法の強化と一致します。			闇に葬られた頁							
……それで、おおよその説明がつきますね。軍はシールロックで、死んだサリのクローンを使って、召喚魔法と魔科学を融合する、危険な実験をしていたのでしょう。			……それで、おおよその説明がつきますね。軍はシールロックで、死んだサリのクローンを使って、召喚魔法と魔科学を融合する、危険な実験をしていたのでしょう。			闇に葬られた頁							
あたしたちがシールロックに乗り込んだとき、何らかの理由で、そのクローンが目覚めたってことだね！？			あたしたちがシールロックに乗り込んだとき、何らかの理由で、そのクローンが目覚めたってことだね！？			闇に葬られた頁							
だけど、あの「サリ」はどこへ逃げたのかしら？次に向かいそうな場所は…………どこ？			だけど、あの「サリ」はどこへ逃げたのかしら？次に向かいそうな場所は…………どこ？			闇に葬られた頁							
サリの研究成果は、ある研究施設に極秘のうちに封じられたようだ。施設の名は「魔科学研究所」というらしいが……。			サリの研究成果は、ある研究施設に極秘のうちに封じられたようだ。施設の名は「魔科学研究所」というらしいが……。			闇に葬られた頁							
あんた、知ってるのかい！？その魔科学なんとかって、どこにあるわけ？			あんた、知ってるのかい！？その魔科学なんとかって、どこにあるわけ？			闇に葬られた頁							
アバラシア雲海に浮かぶ、魔大陸アジス・ラー……！サリの研究成果が保管されているのなら、クローンが、そこへ向かった可能性は高そうですね。			アバラシア雲海に浮かぶ、魔大陸アジス・ラー……！サリの研究成果が保管されているのなら、クローンが、そこへ向かった可能性は高そうですね。			闇に葬られた頁							
特務隊で、シールロックの調査も進めておくよ。ヒントになるものが、遺されてるかもしれないしね！			特務隊で、シールロックの調査も進めておくよ。ヒントになるものが、遺されてるかもしれないしね！			闇に葬られた頁							
お願いするわ。私たちはいったん、グリダニアへ戻りましょう。			お願いするわ。私たちはいったん、グリダニアへ戻りましょう。			闇に葬られた頁							
……目的の記述が、もう見つかったのかい？人海戦術も捨てたものではないね。ロウェナ女史に借り受けた記録媒体は、私から返却しておこう。			……目的の記述が、もう見つかったのかい？人海戦術も捨てたものではないね。ロウェナ女史に借り受けた記録媒体は、私から返却しておこう。			闇に葬られた頁							
たとえ相手が、サリ様を模した存在であろうとも、容赦するつもりはございません。お嬢様ご主人様に秘法を伝えるために、全力をつくすのみです。			たとえ相手が、サリ様を模した存在であろうとも、容赦するつもりはございません。お嬢様ご主人様に秘法を伝えるために、全力をつくすのみです。			闇に葬られた頁							
ダンシング・ウルフ大闘士から、さっそく連絡があったわ。シールロックの例の場所で、廃棄されていたアラグの機器が、起動した痕跡が見つかったそうよ！			ダンシング・ウルフ大闘士から、さっそく連絡があったわ。シールロックの例の場所で、廃棄されていたアラグの機器が、起動した痕跡が見つかったそうよ！			闇に葬られた頁							
ただ機器の損傷がひどくて、それ以上の成果はなし。やはり封印を解くには、魔科学研究所を探るしかなさそうだけど……サリが「次に会うときが楽しみだ」と言っていたのが気になるわ。			ただ機器の損傷がひどくて、それ以上の成果はなし。やはり封印を解くには、魔科学研究所を探るしかなさそうだけど……サリが「次に会うときが楽しみだ」と言っていたのが気になるわ。			闇に葬られた頁							
もしかすると、私たちを待っているのかもしれません。実は、サリ様の姿をした召喚士は、私めに封印を施すとき、最上位の権能を行使しませんでした。			もしかすると、私たちを待っているのかもしれません。実は、サリ様の姿をした召喚士は、私めに封印を施すとき、最上位の権能を行使しませんでした。			闇に葬られた頁							
かわりに、術者の消滅とともに解除される封印を施したのです。すなわち彼を探しだして倒せば、封印を解除できます。			かわりに、術者の消滅とともに解除される封印を施したのです。すなわち彼を探しだして倒せば、封印を解除できます。			闇に葬られた頁							
あえて弱い封印を施したのは、「自分を倒しにこい」というメッセージ…………？罠を張って、待っているのかもしれないわね。			あえて弱い封印を施したのは、「自分を倒しにこい」というメッセージ…………？罠を張って、待っているのかもしれないわね。			闇に葬られた頁							
やっぱり、闇雲に乗り込むのは危険か……。私は魔科学研究所について、新たな情報がないか確かめてみる。あなたは決戦にそなえて、しっかり準備をしておいて！			やっぱり、闇雲に乗り込むのは危険か……。私は魔科学研究所について、新たな情報がないか確かめてみる。あなたは決戦にそなえて、しっかり準備をしておいて！			闇に葬られた頁							
エラリグ墓地のグレインファルは、報告したいことがあるようだ。			エラリグ墓地のグレインファルは、報告したいことがあるようだ。			罪への報いか							
グレインファルたちは、過去に犯した過ちを悔いているようだ。「心の臓の刃」の行方を追うために、ウルダハ中の店に聞き込みを行うことになった。ウルダハのエラリグ墓地前にいる「グレインファル」と話そう。			グレインファルたちは、過去に犯した過ちを悔いているようだ。「心の臓の刃」の行方を追うために、ウルダハ中の店に聞き込みを行うことになった。ウルダハのエラリグ墓地前にいる「グレインファル」と話そう。			罪への報いか							
グレインファルと話し、聞き込みの分担を決めた。ウルダハのエシュテム宝飾店にいる「マルセル」と話そう。			グレインファルと話し、聞き込みの分担を決めた。ウルダハのエシュテム宝飾店にいる「マルセル」と話そう。			罪への報いか							
マルセルは、「心の臓の刃」をアンソベルトという商人に売却したという。マルセルとの話の途中で、フ・ラミンから連絡が入った。どうやら、グレインファルに何か異変が起こったようだ。ウルダハのフロンデール薬学院にいる「フ・ラミン」と話そう。			マルセルは、「心の臓の刃」をアンソベルトという商人に売却したという。マルセルとの話の途中で、フ・ラミンから連絡が入った。どうやら、グレインファルに何か異変が起こったようだ。ウルダハのフロンデール薬学院にいる「フ・ラミン」と話そう。			罪への報いか							
何者かの襲撃を受けたグレインファルは、犯人にも手傷を負わせていたようだ。ポポックリから、現場に残された血痕を辿る方法について相談を受けた。錬金術師ギルドの「セヴェリアン」と話そう。			何者かの襲撃を受けたグレインファルは、犯人にも手傷を負わせていたようだ。ポポックリから、現場に残された血痕を辿る方法について相談を受けた。錬金術師ギルドの「セヴェリアン」と話そう。			罪への報いか							
セヴェリアンによると、血中の成分を分解して発光反応を起こす薬があるという。　「血液反応薬の材料」をもとに「血液反応薬」を製作し、ザル回廊の「ポポックリ」に納品しよう。※「血液反応薬の材料」を失った場合は、セヴェリアンに話しかけましょう。材料を入手し、再挑戦が可能になります。			セヴェリアンによると、血中の成分を分解して発光反応を起こす薬があるという。　「血液反応薬の材料」をもとに「血液反応薬」を製作し、ザル回廊の「ポポックリ」に納品しよう。※「血液反応薬の材料」を失った場合は、セヴェリアンに話しかけましょう。材料を入手し、再挑戦が可能になります。			罪への報いか							
ポポックリに血液反応薬を渡した。道端の「発光する血痕」を追いかけ、サファイアアベニュー国際市場に向かい、「ポポックリ」と話そう。			ポポックリに血液反応薬を渡した。道端の「発光する血痕」を追いかけ、サファイアアベニュー国際市場に向かい、「ポポックリ」と話そう。			罪への報いか							
薬屋ララキャによると、腕から血を流した人物が傷薬を購入していったという。ウルダハのザル大門の方向へ向かった「ポポックリ」の後を追おう。			薬屋ララキャによると、腕から血を流した人物が傷薬を購入していったという。ウルダハのザル大門の方向へ向かった「ポポックリ」の後を追おう。			罪への報いか							
ポポックリとともに襲撃犯を追って、貸し倉庫へと辿り着いた。倉庫を借りているのは、エシュテム宝飾店から「心の臓の刃」を購入した商人、アンソベルトだという。犯人が立て籠もった場合に備え、今は身体を休めよう。※錬金術師のレベルが70以上になると、サファイアアベニュー国際市場にいるポポックリから次の錬金術師クエストを受注することができます。			ポポックリとともに襲撃犯を追って、貸し倉庫へと辿り着いた。倉庫を借りているのは、エシュテム宝飾店から「心の臓の刃」を購入した商人、アンソベルトだという。犯人が立て籠もった場合に備え、今は身体を休めよう。※錬金術師のレベルが70以上になると、サファイアアベニュー国際市場にいるポポックリから次の錬金術師クエストを受注することができます。			罪への報いか							
グレインファルと話す			グレインファルと話す			罪への報いか							
エシュテム宝飾店のマルセルと話す			エシュテム宝飾店のマルセルと話す			罪への報いか							
フロンデール薬学院のフ・ラミンと話す			フロンデール薬学院のフ・ラミンと話す			罪への報いか							
セヴェリアンと話す			セヴェリアンと話す			罪への報いか							
製作手帳 クラスクエスト：血液反応薬を製作パールレーン付近にいるポポックリに血液反応薬を納品			製作手帳 クラスクエスト：血液反応薬を製作パールレーン付近にいるポポックリに血液反応薬を納品			罪への報いか							
ポポックリを追う			ポポックリを追う			罪への報いか							
再度ポポックリを追う			再度ポポックリを追う			罪への報いか							
待たせたな……お前の「差し入れ」のおかげで、ムムエポから話を聞くことに成功したぞ。詳細は、俺っちの旧友たちが到着してから話そう。			待たせたな……お前の「差し入れ」のおかげで、ムムエポから話を聞くことに成功したぞ。詳細は、俺っちの旧友たちが到着してから話そう。			罪への報いか							
このふたりは、ポポックリとセセルッカ……。アマジナ鉱山社の御曹司兄弟で、俺っちたちの古い友人だ。今回、ムムエポとの面会でも便宜を図ってくれた……。			このふたりは、ポポックリとセセルッカ……。アマジナ鉱山社の御曹司兄弟で、俺っちたちの古い友人だ。今回、ムムエポとの面会でも便宜を図ってくれた……。			罪への報いか							
さて、ムムエポから聞いた「心の臓の刃」の真相を話す前に、俺っちたちが犯した罪について、話しておかなきゃならない。とある少女の幸せを奪った、決して許されない罪の話を……。			さて、ムムエポから聞いた「心の臓の刃」の真相を話す前に、俺っちたちが犯した罪について、話しておかなきゃならない。とある少女の幸せを奪った、決して許されない罪の話を……。			罪への報いか							
今から15年前のことだ……。ニエルフレーヌと俺っちたちは、ガレマール帝国の脅威に対して、弱腰な態度を見せるウルダハの指導者たちに反感を抱いていた。			今から15年前のことだ……。ニエルフレーヌと俺っちたちは、ガレマール帝国の脅威に対して、弱腰な態度を見せるウルダハの指導者たちに反感を抱いていた。			罪への報いか							
あるとき、俺たちは、民衆からの支持を集めたうえで、砂蠍衆に「帝国との早期開戦」を提言しようとした。……自作自演の騒動を、企ててな。			あるとき、俺たちは、民衆からの支持を集めたうえで、砂蠍衆に「帝国との早期開戦」を提言しようとした。……自作自演の騒動を、企ててな。			罪への報いか							
祝祭のパレードで、見世物の魔物を暴走させ、グレインファルとニエルフレーヌたちが華麗に解決する。そして、人気を得て発言力を高める……今思えば浅はかな計画ね。			祝祭のパレードで、見世物の魔物を暴走させ、グレインファルとニエルフレーヌたちが華麗に解決する。そして、人気を得て発言力を高める……今思えば浅はかな計画ね。			罪への報いか							
そして、この計画は失敗に終わり、暴れ回った魔物が、ミンフィリアの父親、ウォーバートンさんを……。私たちは、あの子から唯一の家族を奪ってしまったのよ！			そして、この計画は失敗に終わり、暴れ回った魔物が、ミンフィリアの父親、ウォーバートンさんを……。私たちは、あの子から唯一の家族を奪ってしまったのよ！			罪への報いか							
だがその後、ラミンはあの子にとって必要な存在になった。お前は、できる限りの償いをしたさ。ただ逃げ出しただけの俺っちとは違う……。			だがその後、ラミンはあの子にとって必要な存在になった。お前は、できる限りの償いをしたさ。ただ逃げ出しただけの俺っちとは違う……。			罪への報いか							
この先、どんな善行を積もうが、この罪が消えることはない。俺っちはこれからも、自分の犯した罪を背負って生きていく…………死んじまった、コイツの分まで。			この先、どんな善行を積もうが、この罪が消えることはない。俺っちはこれからも、自分の犯した罪を背負って生きていく…………死んじまった、コイツの分まで。			罪への報いか							
これが俺っちたちの犯した罪だ……受け入れろとは言わん。あんたはあんたの目的で、「心の臓の刃」の行方を追えばいい。だが、利害が一致する間は協力したい……セセルッカ、続きを。			これが俺っちたちの犯した罪だ……受け入れろとは言わん。あんたはあんたの目的で、「心の臓の刃」の行方を追えばいい。だが、利害が一致する間は協力したい……セセルッカ、続きを。			罪への報いか							
……帝国との二重間諜だったウォーバートン氏は、帝国以上の脅威が、ウルダハに迫っているという情報を得ていた。おそらく、第七霊災がらみのことだったと思うんだが……。			……帝国との二重間諜だったウォーバートン氏は、帝国以上の脅威が、ウルダハに迫っているという情報を得ていた。おそらく、第七霊災がらみのことだったと思うんだが……。			罪への報いか							
そんなことを想像だにしなかった俺っちたちは、その「脅威」を利用して、民衆を焚きつけようとした。帝国との開戦に向け、世論を盛り上げようとしたのさ。			そんなことを想像だにしなかった俺っちたちは、その「脅威」を利用して、民衆を焚きつけようとした。帝国との開戦に向け、世論を盛り上げようとしたのさ。			罪への報いか							
だが、情報を知るウォーバートン氏は、死んじまってるからな。ウルダハに迫る脅威ってのが何なのか、わからずじまいだ。それでも、ニエルフレーヌは諦めなかったようだ。			だが、情報を知るウォーバートン氏は、死んじまってるからな。ウルダハに迫る脅威ってのが何なのか、わからずじまいだ。それでも、ニエルフレーヌは諦めなかったようだ。			罪への報いか							
