トライヨラのボロガーは、冒険者に伝えたいことがあるようだ。			トライヨラのボロガーは、冒険者に伝えたいことがあるようだ。			トラル大陸のモブハント（リスキー）							
たびたびお手数ですが、ナピクエを訪ね、かの地のリスキーモブ情報を得ていただけると助かります。それから……。			たびたびお手数ですが、ナピクエを訪ね、かの地のリスキーモブ情報を得ていただけると助かります。それから……。			トラル大陸のモブハント（リスキー）							
困難に見舞われた人々を助け、その後も戦い続けた彼女は、我々ヴァイパーの誇りです。			困難に見舞われた人々を助け、その後も戦い続けた彼女は、我々ヴァイパーの誇りです。			トラル大陸のモブハント（リスキー）							
障壁の外に戻ってくる気はないか、もし戻るなら、最大限の敬意をもって迎える。どうかそう、お伝えいただけませんでしょうか。			障壁の外に戻ってくる気はないか、もし戻るなら、最大限の敬意をもって迎える。どうかそう、お伝えいただけませんでしょうか。			トラル大陸のモブハント（リスキー）							
隔絶した環境で、人々のため何年も戦い続けたナピクエは、我々ヴァイパーの誇りです。もしこちらへ戻るなら歓迎すると……どうかお伝えください。			隔絶した環境で、人々のため何年も戦い続けたナピクエは、我々ヴァイパーの誇りです。もしこちらへ戻るなら歓迎すると……どうかお伝えください。			トラル大陸のモブハント（リスキー）							
こんにちは、狩人さん。今日はどうしたの？			こんにちは、狩人さん。今日はどうしたの？			トラル大陸のモブハント（リスキー）							
そう、ボロガーがそんなことを。ありがとう、私を覚えていてくれる人が、障壁の外にもいる……忘れかけていたけれど、それはとても嬉しいことだわ。			そう、ボロガーがそんなことを。ありがとう、私を覚えていてくれる人が、障壁の外にもいる……忘れかけていたけれど、それはとても嬉しいことだわ。			トラル大陸のモブハント（リスキー）							
けれど、障壁の外に戻る気はないの。なぜって、外は30年前のあのときから、時間があまり経っていないのでしょう？			けれど、障壁の外に戻る気はないの。なぜって、外は30年前のあのときから、時間があまり経っていないのでしょう？			トラル大陸のモブハント（リスキー）							
もちろん、懐かしくはあるけれど……お婆ちゃんになったあたしは、却って混乱してしまいそうだもの。それに……。			もちろん、懐かしくはあるけれど……お婆ちゃんになったあたしは、却って混乱してしまいそうだもの。それに……。			トラル大陸のモブハント（リスキー）							
(-？？？？-)おーい、ナピクエさーん。			(-？？？？-)おーい、ナピクエさーん。			トラル大陸のモブハント（リスキー）							
(-？？？？-)あ、ごめん……来客中だったか。			(-？？？？-)あ、ごめん……来客中だったか。			トラル大陸のモブハント（リスキー）							
あら、ふたりとも。ちょうどいいところに来てくれたわ。			あら、ふたりとも。ちょうどいいところに来てくれたわ。			トラル大陸のモブハント（リスキー）							
狩人さん、ご紹介するわね。私が親しくしてもらっている友人のふたり……ローニネと、リヌリよ。			狩人さん、ご紹介するわね。私が親しくしてもらっている友人のふたり……ローニネと、リヌリよ。			トラル大陸のモブハント（リスキー）							
駆除人のローニネだ。ナピクエさんは二刀流武器の師匠でさ、その縁で、危険な魔物の情報集めに協力してるんだよ。			駆除人のローニネだ。ナピクエさんは二刀流武器の師匠でさ、その縁で、危険な魔物の情報集めに協力してるんだよ。			トラル大陸のモブハント（リスキー）							
Forenameさんよね？作戦時に何度か遠目で見かけてたけど、挨拶するのは初めて……あたしはリヌリ、オブリビオンの裏方みたいな仕事をやってるわ。			Forenameさんよね？作戦時に何度か遠目で見かけてたけど、挨拶するのは初めて……あたしはリヌリ、オブリビオンの裏方みたいな仕事をやってるわ。			トラル大陸のモブハント（リスキー）							
一連の騒動のあとでリビング・メモリーのことを調べていて、管理データベースから、いくつか気になる情報を見つけたのよ。危険な生物や兵器関連だから、彼女に相談していたの。			一連の騒動のあとでリビング・メモリーのことを調べていて、管理データベースから、いくつか気になる情報を見つけたのよ。危険な生物や兵器関連だから、彼女に相談していたの。			トラル大陸のモブハント（リスキー）							
もし狩人さんがリスキーモブの対処に協力してくれるなら、ぜひ、このおふたりから情報を得ていただけると嬉しいわ。			もし狩人さんがリスキーモブの対処に協力してくれるなら、ぜひ、このおふたりから情報を得ていただけると嬉しいわ。			トラル大陸のモブハント（リスキー）							
リビング・メモリーという場所については、まだ理解の追いついていないことも多いけど……。調べておいて、損はないものね。			リビング・メモリーという場所については、まだ理解の追いついていないことも多いけど……。調べておいて、損はないものね。			トラル大陸のモブハント（リスキー）							
あたしはレイノード・ナイン付近に、ローニネはアウトスカーツにいることが多いわ。情報が必要なら、またあとで声をかけてね！			あたしはレイノード・ナイン付近に、ローニネはアウトスカーツにいることが多いわ。情報が必要なら、またあとで声をかけてね！			トラル大陸のモブハント（リスキー）							
そんなわけで、私はこの先もきっと、ここで何かの役割を見つけて生きていく。だから外には戻らない。			そんなわけで、私はこの先もきっと、ここで何かの役割を見つけて生きていく。だから外には戻らない。			トラル大陸のモブハント（リスキー）							
けれど……温かく迎えると言ってくれたことは、本当に嬉しかったわ。ボロガーには、どうかそう伝えてくださいな。			けれど……温かく迎えると言ってくれたことは、本当に嬉しかったわ。ボロガーには、どうかそう伝えてくださいな。			トラル大陸のモブハント（リスキー）							
おかえりなさいForenameさん、障壁内で、リスキーモブの情報は得られそうでしたか？			おかえりなさいForenameさん、障壁内で、リスキーモブの情報は得られそうでしたか？			トラル大陸のモブハント（リスキー）							
彼女の友人から話を聞ける、と……それはよかった。何より、彼女がかの地で後任を見つけ、今もしっかりと生きていると知れて、本当によかった。			彼女の友人から話を聞ける、と……それはよかった。何より、彼女がかの地で後任を見つけ、今もしっかりと生きていると知れて、本当によかった。			トラル大陸のモブハント（リスキー）							
生きるために狩り、狩りを為して生を紡ぐ、これもまた、ヴァイパーの訓えですから。彼女はその体現者と言えるのかもしれませんね。			生きるために狩り、狩りを為して生を紡ぐ、これもまた、ヴァイパーの訓えですから。彼女はその体現者と言えるのかもしれませんね。			トラル大陸のモブハント（リスキー）							
どうか、Forenameさんも、今後も命を大事に、狩りに励んでいただければ幸いです。			どうか、Forenameさんも、今後も命を大事に、狩りに励んでいただければ幸いです。			トラル大陸のモブハント（リスキー）							
トライヨラの「トラルハントボード」から、「トラル・リスキーモブ手配書」を、入手できるようになりました。			トライヨラの「トラルハントボード」から、「トラル・リスキーモブ手配書」を、入手できるようになりました。			トラル大陸のモブハント（リスキー）							
満ちた玄関にいるモロコシ様は、助けを必要としているようだ。			満ちた玄関にいるモロコシ様は、助けを必要としているようだ。			はらへり旅情：再会篇							
モロコシ様と話した。非常に強いはらへりの気配を探すため、同行してほしいという。満ちた玄関の「モロコシ様」と話そう。			モロコシ様と話した。非常に強いはらへりの気配を探すため、同行してほしいという。満ちた玄関の「モロコシ様」と話そう。			はらへり旅情：再会篇							
モロコシ様と話した。モロコシ様を同行した状態でトライヨラのベイサイド・ベヴィーに移動し、「モロコシ様」と話そう。※同行状態が解除された場合、再度「モロコシ様」に話しかけることで同行を再開できます。			モロコシ様と話した。モロコシ様を同行した状態でトライヨラのベイサイド・ベヴィーに移動し、「モロコシ様」と話そう。※同行状態が解除された場合、再度「モロコシ様」に話しかけることで同行を再開できます。			はらへり旅情：再会篇							
モロコシ様と話した。強いはらへりの気配の正体は、ペルペル族の商人に取り憑いた古い精霊だった。ベイサイド・ベヴィーの「イケニエ様」と話そう。			モロコシ様と話した。強いはらへりの気配の正体は、ペルペル族の商人に取り憑いた古い精霊だった。ベイサイド・ベヴィーの「イケニエ様」と話そう。			はらへり旅情：再会篇							
イケニエ様と話した。なりゆきで、この古い精霊を旅の道連れにすることになった。またどこかで、モロコシ様と会うことはできるだろうか？			イケニエ様と話した。なりゆきで、この古い精霊を旅の道連れにすることになった。またどこかで、モロコシ様と会うことはできるだろうか？			はらへり旅情：再会篇							
モロコシ様と話して同行させる			モロコシ様と話して同行させる			はらへり旅情：再会篇							
連れているモロコシ様とベイサイド・ベヴィーで話す			連れているモロコシ様とベイサイド・ベヴィーで話す			はらへり旅情：再会篇							
イケニエ様と話す			イケニエ様と話す			はらへり旅情：再会篇							
ふぃ～、おぬしと会えるなんて、嬉しいのぉ！楽しくやっとったかの？　ひもじい思いはしとらんかの？			ふぃ～、おぬしと会えるなんて、嬉しいのぉ！楽しくやっとったかの？　ひもじい思いはしとらんかの？			はらへり旅情：再会篇							
そりゃあよかった。ほいじゃあ、またひとつ、この老いぼれを助けてくれんかの？			そりゃあよかった。ほいじゃあ、またひとつ、この老いぼれを助けてくれんかの？			はらへり旅情：再会篇							
実は、この先の商店街のあたりから、ぶちでかい、はらへりの気配を感じるんじゃ。			実は、この先の商店街のあたりから、ぶちでかい、はらへりの気配を感じるんじゃ。			はらへり旅情：再会篇							
じゃが、あまりにも強う、ひもじさが伝わってくるもんで、恐ろしゅうて、恐ろしゅうて……。おぬしが、いっしょに来てくれるなら心強いでの！			じゃが、あまりにも強う、ひもじさが伝わってくるもんで、恐ろしゅうて、恐ろしゅうて……。おぬしが、いっしょに来てくれるなら心強いでの！			はらへり旅情：再会篇							
ほいじゃあ、その気になったとき、わしに声をかけんしゃい。			ほいじゃあ、その気になったとき、わしに声をかけんしゃい。			はらへり旅情：再会篇							
ふぃ～、いっしょに来てくれるんか？やっぱり、おぬしの心は太陽のようじゃ！			ふぃ～、いっしょに来てくれるんか？やっぱり、おぬしの心は太陽のようじゃ！			はらへり旅情：再会篇							
この先の商店街まで行って、わしが気配を探るのを見守ってくれればいいんじゃ。頼りにしとるけえの！			この先の商店街まで行って、わしが気配を探るのを見守ってくれればいいんじゃ。頼りにしとるけえの！			はらへり旅情：再会篇							
何をする？			何をする？			はらへり旅情：再会篇							
話す			話す			はらへり旅情：再会篇							
同行状態を解除する			同行状態を解除する			はらへり旅情：再会篇							
キャンセル			キャンセル			はらへり旅情：再会篇							
何しよるんかいの？はよう、ぶちでかい、はらへりの気配を探しに行きたいんじゃ！			何しよるんかいの？はよう、ぶちでかい、はらへりの気配を探しに行きたいんじゃ！			はらへり旅情：再会篇							
急用でもあるんかいの？ほいじゃあ、わしゃ「満ちた玄関」で待っとるけえ、用事が済んだら声かけんしゃい。			急用でもあるんかいの？ほいじゃあ、わしゃ「満ちた玄関」で待っとるけえ、用事が済んだら声かけんしゃい。			はらへり旅情：再会篇							
同行状態を解除します。本当によろしいですか？			同行状態を解除します。本当によろしいですか？			はらへり旅情：再会篇							
この先の商店街まで行って、わしが気配を探るのを見守ってくれればいいんじゃ。頼りにしとるけえの！			この先の商店街まで行って、わしが気配を探るのを見守ってくれればいいんじゃ。頼りにしとるけえの！			はらへり旅情：再会篇							
ひとりでは、はらへりの気配は探れない。モロコシ様を同行させてこよう。			ひとりでは、はらへりの気配は探れない。モロコシ様を同行させてこよう。			はらへり旅情：再会篇							
ひとりでは、はらへりの気配は探れない。モロコシ様を同行させてこよう。			ひとりでは、はらへりの気配は探れない。モロコシ様を同行させてこよう。			はらへり旅情：再会篇							
「はらへりだった青年」について話す			「はらへりだった青年」について話す			はらへり旅情：再会篇							
「はらへりだった老婆」について話す			「はらへりだった老婆」について話す			はらへり旅情：再会篇							
「はらへりだったマムージャ族」について話す			「はらへりだったマムージャ族」について話す			はらへり旅情：再会篇							
さてと、仕事の時間まで何するかな……。			さてと、仕事の時間まで何するかな……。			はらへり旅情：再会篇							
ふぃ～、あの青年はいつぞやの……！			ふぃ～、あの青年はいつぞやの……！			はらへり旅情：再会篇							
おや、君は以前に「焼きモロコシ」をくれた、優しい人じゃないか！			おや、君は以前に「焼きモロコシ」をくれた、優しい人じゃないか！			はらへり旅情：再会篇							
あの時は、仕事をクビになったばかりで滅入ってたけど、今では新しい職も見つけて、万事順調さ！それもこれも、空きっ腹を満たしてくれた君のおかげだね！			あの時は、仕事をクビになったばかりで滅入ってたけど、今では新しい職も見つけて、万事順調さ！それもこれも、空きっ腹を満たしてくれた君のおかげだね！			はらへり旅情：再会篇							
お礼を言えてよかったよ。それじゃあ、またどこかで……！			お礼を言えてよかったよ。それじゃあ、またどこかで……！			はらへり旅情：再会篇							
ふむ、あの者は、もうひもじい思いはしとらんようじゃ。それは幸せなことじゃの！			ふむ、あの者は、もうひもじい思いはしとらんようじゃ。それは幸せなことじゃの！			はらへり旅情：再会篇							
そろそろ、あの子のところに帰ろうかしら……。			そろそろ、あの子のところに帰ろうかしら……。			はらへり旅情：再会篇							
ふぃ～、あの老婆はいつぞやの……！			ふぃ～、あの老婆はいつぞやの……！			はらへり旅情：再会篇							
あらあら、あなたは「焼きモロコシ」のお嬢さんお兄さん。お礼がしたくて、もう一度会いたかったのよ。			あらあら、あなたは「焼きモロコシ」のお嬢さんお兄さん。お礼がしたくて、もう一度会いたかったのよ。			はらへり旅情：再会篇							
実はね、ヤースラニ荒野に行ったまま、行方知れずになっていた娘が、ふらりと帰ってきたの！			実はね、ヤースラニ荒野に行ったまま、行方知れずになっていた娘が、ふらりと帰ってきたの！			はらへり旅情：再会篇							
私と同じような、おばあちゃんになっていて驚いたけど、それでも、また会えて夫の思い出話もできて……今は幸せよ。本当に、あの時はありがとう、感謝してるわ。			私と同じような、おばあちゃんになっていて驚いたけど、それでも、また会えて夫の思い出話もできて……今は幸せよ。本当に、あの時はありがとう、感謝してるわ。			はらへり旅情：再会篇							
ふむ、あの者は、幸せを感じとったようじゃ。旨いモロコシ料理でも食って、もっと幸せになるべきじゃの。			ふむ、あの者は、幸せを感じとったようじゃ。旨いモロコシ料理でも食って、もっと幸せになるべきじゃの。			はらへり旅情：再会篇							
今日も焼いて焼いて、焼きまくるぜ……。			今日も焼いて焼いて、焼きまくるぜ……。			はらへり旅情：再会篇							
ふぃ～、あのマムージャ族はいつぞやの……！			ふぃ～、あのマムージャ族はいつぞやの……！			はらへり旅情：再会篇							
アンタは、「焼きモロコシ」の姐サン兄チャンじゃないか！聞いてくれよ、オイラあれから賭博からは足を洗って、働き口を探し始めてさ……！			アンタは、「焼きモロコシ」の姐サン兄チャンじゃないか！聞いてくれよ、オイラあれから賭博からは足を洗って、働き口を探し始めてさ……！			はらへり旅情：再会篇							
そしたら同郷の知人を介して、「タコスのチーちゃん」で下働きさせてもらえることになったんだ！今じゃ毎日、トウモロコシ粉を挽いて、真面目にやってるよ！			そしたら同郷の知人を介して、「タコスのチーちゃん」で下働きさせてもらえることになったんだ！今じゃ毎日、トウモロコシ粉を挽いて、真面目にやってるよ！			はらへり旅情：再会篇							
アンタも、もしよかったら、タコスを食べにきてくれよな……！			アンタも、もしよかったら、タコスを食べにきてくれよな……！			はらへり旅情：再会篇							
おお、あの者は、モロコシ料理を作っとるんかいの？ふぃ～、嬉しゅうて、嬉しゅうて、たまらんの！			おお、あの者は、モロコシ料理を作っとるんかいの？ふぃ～、嬉しゅうて、嬉しゅうて、たまらんの！			はらへり旅情：再会篇							
こ、このあたりじゃ……！ぶちでかい、はらへりの気配が、誰から溢れとるのか探ってみるけえ、ちぃと待ちんしゃい！			こ、このあたりじゃ……！ぶちでかい、はらへりの気配が、誰から溢れとるのか探ってみるけえ、ちぃと待ちんしゃい！			はらへり旅情：再会篇							
ふぃ～、はらへりの気配は……			ふぃ～、はらへりの気配は……			はらへり旅情：再会篇							
むこうから感じるでの！あのペルペル族に、ひもじい思いをしとらんか聞いてみるんじゃ！			むこうから感じるでの！あのペルペル族に、ひもじい思いをしとらんか聞いてみるんじゃ！			はらへり旅情：再会篇							
(-ペルペル族の商人-)えっ、急に話しかけてきたと思ったら、空腹を感じていないか……ですって？			(-ペルペル族の商人-)えっ、急に話しかけてきたと思ったら、空腹を感じていないか……ですって？			はらへり旅情：再会篇							
(-ペルペル族の商人-)そんなことはないのですが……最近、妙に邪な考えが、とめどなく溢れてきて……			(-ペルペル族の商人-)そんなことはないのですが……最近、妙に邪な考えが、とめどなく溢れてきて……			はらへり旅情：再会篇							
(-ペルペル族の商人-)う、うぅ……駄目だ、駄目だ、駄目だ！			(-ペルペル族の商人-)う、うぅ……駄目だ、駄目だ、駄目だ！			はらへり旅情：再会篇							
(-ペルペル族の商人-)血だ……血をよこせェ！オレは、血に、飢えてるんだァ！			(-ペルペル族の商人-)血だ……血をよこせェ！オレは、血に、飢えてるんだァ！			はらへり旅情：再会篇							
この禍々しい、はらへりの気配……憑いとる者がおるな、姿をあらわさんかい！			この禍々しい、はらへりの気配……憑いとる者がおるな、姿をあらわさんかい！			はらへり旅情：再会篇							
(-？？？？-)テケケ、テケケケケケ……			(-？？？？-)テケケ、テケケケケケ……			はらへり旅情：再会篇							
こがいな奴が取り憑いとったとは驚きじゃ……。われも古い精霊じゃの？			こがいな奴が取り憑いとったとは驚きじゃ……。われも古い精霊じゃの？			はらへり旅情：再会篇							
とおい昔、飢饉で多くのヒトがはらへりで倒れたとき、豊作を願うて、イケニエを捧げてたことがあったんじゃ。			とおい昔、飢饉で多くのヒトがはらへりで倒れたとき、豊作を願うて、イケニエを捧げてたことがあったんじゃ。			はらへり旅情：再会篇							
そんとき、心の臓を抜くために使われとった石の小刀が、よーけ生命吸って、いつしか精霊になっての……。			そんとき、心の臓を抜くために使われとった石の小刀が、よーけ生命吸って、いつしか精霊になっての……。			はらへり旅情：再会篇							
じゃが、わしが実を撒いて畑を豊かにしたもんで、ヒトからはらへりは消え、恐ろしゅう供犠ものうなったんじゃ。そいで、あやつも土に埋められたはずなんじゃが……。			じゃが、わしが実を撒いて畑を豊かにしたもんで、ヒトからはらへりは消え、恐ろしゅう供犠ものうなったんじゃ。そいで、あやつも土に埋められたはずなんじゃが……。			はらへり旅情：再会篇							
何と言う？			何と言う？			はらへり旅情：再会篇							
討伐しようか？			討伐しようか？			はらへり旅情：再会篇							
トウモロコシ料理でどうにかならない？			トウモロコシ料理でどうにかならない？			はらへり旅情：再会篇							
そがいなことをすりゃ、あやつの怨念が、おぬしに取り憑きかねんでの。じゃけえ、腹を満たしてやって鎮めるんがええと思うんじゃ。			そがいなことをすりゃ、あやつの怨念が、おぬしに取り憑きかねんでの。じゃけえ、腹を満たしてやって鎮めるんがええと思うんじゃ。			はらへり旅情：再会篇							
あやつは、モロコシは食べんでの……。さしものわしも、力およばんのじゃ。			あやつは、モロコシは食べんでの……。さしものわしも、力およばんのじゃ。			はらへり旅情：再会篇							
そうじゃ！おぬしが、あやつを引き取るんがええ！			そうじゃ！おぬしが、あやつを引き取るんがええ！			はらへり旅情：再会篇							
旅の中で魔物に襲われりゃあ、おぬしも倒すじゃろ？そがいにして散りゆく生命を吸わせりゃ、そやつの腹も満たされ、宿った悪いもんも消えるはずじゃ。			旅の中で魔物に襲われりゃあ、おぬしも倒すじゃろ？そがいにして散りゆく生命を吸わせりゃ、そやつの腹も満たされ、宿った悪いもんも消えるはずじゃ。			はらへり旅情：再会篇							
さっそく、その男に提案してみんしゃい。			さっそく、その男に提案してみんしゃい。			はらへり旅情：再会篇							
(-ペルペル族の商人-)えっ……儀式用の短刀が、心の不調の原因ですって？			(-ペルペル族の商人-)えっ……儀式用の短刀が、心の不調の原因ですって？			はらへり旅情：再会篇							
(-ペルペル族の商人-)行商先で仕入れたものなんですがね、こいつは。なんでも大嵐の影響で崩れた土砂の中から、偶然に見つかったものだとか。			(-ペルペル族の商人-)行商先で仕入れたものなんですがね、こいつは。なんでも大嵐の影響で崩れた土砂の中から、偶然に見つかったものだとか。			はらへり旅情：再会篇							
(-ペルペル族の商人-)言われてみれば、異様な気持ちが芽生え始めたのも、この短刀を買い取った頃からだったような……。			(-ペルペル族の商人-)言われてみれば、異様な気持ちが芽生え始めたのも、この短刀を買い取った頃からだったような……。			はらへり旅情：再会篇							
(-ペルペル族の商人-)わかりました、この品は、あなたに託すとしましょう。お代はいりませんよ、こんな調子じゃ商売になりませんから。……それでは失礼します。			(-ペルペル族の商人-)わかりました、この品は、あなたに託すとしましょう。お代はいりませんよ、こんな調子じゃ商売になりませんから。……それでは失礼します。			はらへり旅情：再会篇							
ひとまず、この名もなき精霊を「イケニエ様」と呼ぶことにした。本当に旅の道連れとしても大丈夫なのだろうか……。			ひとまず、この名もなき精霊を「イケニエ様」と呼ぶことにした。本当に旅の道連れとしても大丈夫なのだろうか……。			はらへり旅情：再会篇							
テケケ、テケケケケケ！			テケケ、テケケケケケ！			はらへり旅情：再会篇							
ほいじゃあ、そやつを連れていくでの。声をかけてみんしゃい。			ほいじゃあ、そやつを連れていくでの。声をかけてみんしゃい。			はらへり旅情：再会篇							
ほいじゃあ、そやつを連れていくでの。声をかけてみんしゃい。			ほいじゃあ、そやつを連れていくでの。声をかけてみんしゃい。			はらへり旅情：再会篇							
テケケ、テケ・ケ！			テケケ、テケ・ケ！			はらへり旅情：再会篇							
こやつも喜んでおる様子じゃ！おぬしが、散りゆく魔物の生命を捧げておる限り、悪さはせんはずじゃけえ、安心するでの！			こやつも喜んでおる様子じゃ！おぬしが、散りゆく魔物の生命を捧げておる限り、悪さはせんはずじゃけえ、安心するでの！			はらへり旅情：再会篇							
ふい～、世の中には、いろんな種類のはらへりがあるもんじゃ。そのほとんどは、わしのモロコシ料理で満たしてやれるけれども、今回ばかりは無理じゃった。			ふい～、世の中には、いろんな種類のはらへりがあるもんじゃ。そのほとんどは、わしのモロコシ料理で満たしてやれるけれども、今回ばかりは無理じゃった。			はらへり旅情：再会篇							
じゃが、わしには、おぬしという友がおるけえ心配ないでの。わしゃ、それが嬉しゅうて、嬉しゅうて、たまらんのじゃ。			じゃが、わしには、おぬしという友がおるけえ心配ないでの。わしゃ、それが嬉しゅうて、嬉しゅうて、たまらんのじゃ。			はらへり旅情：再会篇							
ふぃ～、わしも心満たされて、実も肥えてきよった！おぬしに褒美のモロコシ料理をやるけえ、腹が減ったら食いんしゃい。			ふぃ～、わしも心満たされて、実も肥えてきよった！おぬしに褒美のモロコシ料理をやるけえ、腹が減ったら食いんしゃい。			はらへり旅情：再会篇							
……じゃあの、さいなら！			……じゃあの、さいなら！			はらへり旅情：再会篇							
ウィンドターミナルのウクラマトは、メインターミナルを見据えている。			ウィンドターミナルのウクラマトは、メインターミナルを見据えている。			黄金のレガシー							
ウクラマトたちと話した。リビング・メモリーのメインターミナル前にいる「ウクラマト」と話そう。			ウクラマトたちと話した。リビング・メモリーのメインターミナル前にいる「ウクラマト」と話そう。			黄金のレガシー							
スフェーンを止めるため、メインターミナルの記憶領域に侵入することになった。消えゆく記憶の幻想世界「アレクサンドリア」へと突入しよう。※進入地点付近にいる仲間たちと話し「パーティを編成して突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、仲間NPCと一緒に攻略ができます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。			スフェーンを止めるため、メインターミナルの記憶領域に侵入することになった。消えゆく記憶の幻想世界「アレクサンドリア」へと突入しよう。※進入地点付近にいる仲間たちと話し「パーティを編成して突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、仲間NPCと一緒に攻略ができます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。			黄金のレガシー							
スフェーンの記憶を辿り、「アレクサンドリア」の最深部へとたどり着いた。「世界を繋ぐ力」を発動しようとしているスフェーンを止めるため、「次元黄道」を目指そう。一度離れた場合は、リビング・メモリーの「エレンヴィル」と話せば再度向かえるようだ。			スフェーンの記憶を辿り、「アレクサンドリア」の最深部へとたどり着いた。「世界を繋ぐ力」を発動しようとしているスフェーンを止めるため、「次元黄道」を目指そう。一度離れた場合は、リビング・メモリーの「エレンヴィル」と話せば再度向かえるようだ。			黄金のレガシー							
永久人スフェーンの心を構成していた記憶は消滅し、彼女は心無い機械「エターナルクイーン」へと成り果ててしまった。鏡像世界の命を護るためには戦う以外の路はない。「エターナルクイーン」を討伐しよう。※コンテンツファインダーから攻略に参加できます。			永久人スフェーンの心を構成していた記憶は消滅し、彼女は心無い機械「エターナルクイーン」へと成り果ててしまった。鏡像世界の命を護るためには戦う以外の路はない。「エターナルクイーン」を討伐しよう。※コンテンツファインダーから攻略に参加できます。			黄金のレガシー							
「エターナルクイーン」を討伐した。愛する民のために戦った女王スフェーンの想いを胸に、トライヨラに帰ろう。			「エターナルクイーン」を討伐した。愛する民のために戦った女王スフェーンの想いを胸に、トライヨラに帰ろう。			黄金のレガシー							
仲間たちと共にトライヨラに帰還した。フォルアード・キャビンズ付近の「ウクラマト」と話そう。			仲間たちと共にトライヨラに帰還した。フォルアード・キャビンズ付近の「ウクラマト」と話そう。			黄金のレガシー							
